1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 50900.31),(2 123329.23),(3 219128.83),(4 324899.63),(5 439119.88),(6 546389.44),(7 664579.4),(8 787888.7),(9 898756.7),(10 1021412.06),(11 1128045),(12 1222803.4),(13 1316224.6),(14 1405020),(15 1501184),(16 1604731),(17 1701262.4),(18 1771726.5),(19 1840429.6),(20 1903832.9),(21 1952456.9),(22 2003388),(23 2034905),(24 2053026.1),(25 2061887.9),(26 2062357.6),(27 2061285.6),(28 2055313.1),(29 2047146.9),(30 2036040.9),(31 2032744.1),(32 2034475),(33 2054295.1),(34 2093974.9),(35 2115523.8),(36 2113689.3),(37 2143377.8),(38 2148064.8),(39 2226781.5),(40 2253813.3),(41 2269708),(42 2263451.5),(43 2258065.3),(44 2248286.8),(45 2229594.3),(46 2205581),(47 2194379),(48 2196177),(49 2199119.3),(50 2203802),(51 2217469.3),(52 2233803),(53 2271288.8),(54 2307051.3),(55 2346029.8),(56 2400000.3),(57 2465438.8),(58 2517887.3),(59 2588456.3),(60 2644462),(61 2732607.8),(62 2816180.8),(63 2904876.3),(64 2997486),(65 3095411.3),(66 3191014.8),(67 3281671.3),(68 3378961.3),(69 3465760),(70 3541805.8),(71 3590064.3),(72 3619614.3),(73 3647885.3),(74 3666914.8),(75 3646847.8),(76 3653321),(77 3659090.8),(78 3640463.3),(79 3630212),
(1 23239.281),(2 66503.14),(3 125091.836),(4 201497.97),(5 286027.34),(6 383682.75),(7 483401.6),(8 587483.6),(9 688441.4),(10 788469.56),(11 883159.7),(12 977030.4),(13 1063158.3),(14 1146614.3),(15 1236858.6),(16 1345536.1),(17 1453919.1),(18 1567996.6),(19 1692537.4),(20 1821217.3),(21 1947463.3),(22 2075192.4),(23 2230173.5),(24 2370541.3),(25 2483553.5),(26 2603506),(27 2712236.8),(28 2827853.3),(29 2937217.5),(30 3043670),(31 3157583.5),(32 3295914.5),(33 3422584.8),(34 3554455.3),(35 3674772),(36 3764488.8),(37 3845221.5),(38 3920738.8),(39 4070518.5),(40 4174764.8),(41 4273721),(42 4393909.5),(43 4515175),(44 4635101),(45 4739220),(46 4856800),(47 4963480),(48 5060520),(49 5141580),(50 5218003),(51 5307693.5),(52 5389044),(53 5477618),(54 5539277),(55 5601847.5),(56 5688977.5),(57 5779814.5),(58 5864073),(59 5974071),(60 6147523),(61 6275508),(62 6413108.5),(63 6535195),(64 6665253),(65 6784709),(66 6911494.5),(67 7058477.5),(68 7188379),(69 7302021),(70 7419469),(71 7512649.5),(72 7606132),(73 7699683),(74 7793372),(75 7851992),(76 7909189),(77 7983567),(78 8026344),(79 8081246.5),
(1 26226.094),(2 77387.07),(3 144435.39),(4 226797.92),(5 322731.28),(6 437138.5),(7 558615.44),(8 684641.44),(9 817751.8),(10 949547.25),(11 1083203.4),(12 1220923.1),(13 1356576.9),(14 1498665.1),(15 1652659.4),(16 1852602.6),(17 2049089.6),(18 2251577.3),(19 2456078.5),(20 2670765),(21 2885666),(22 3092702),(23 3322166),(24 3535828.3),(25 3716160.3),(26 3912618),(27 4112770.8),(28 4322074.5),(29 4531296.5),(30 4737065.5),(31 4949693.5),(32 5211658),(33 5434578),(34 5652620.5),(35 5874624.5),(36 6075068),(37 6235446.5),(38 6384126),(39 6577758.5),(40 6740496),(41 6898132),(42 7072072),(43 7223588),(44 7353558.5),(45 7496858),(46 7629809.5),(47 7745035.5),(48 7842693.5),(49 7914697.5),(50 7982294.5),(51 8071348),(52 8156167.5),(53 8218032.5),(54 8268820),(55 8335586),(56 8405275),(57 8466565),(58 8522577),(59 8569815),(60 8665991),(61 8713635),(62 8771719),(63 8815320),(64 8835916),(65 8870075),(66 8884837),(67 8921683),(68 8960265),(69 8987674),(70 9025065),(71 9071447),(72 9111449),(73 9144244),(74 9182029),(75 9185760),(76 9188569),(77 9181853),(78 9155088),(79 9154449),
(1 30683.508),(2 94655.164),(3 182275.69),(4 287932.34),(5 408267.84),(6 544810.6),(7 684273.5),(8 827014.1),(9 976097.3),(10 1129431.5),(11 1280968.3),(12 1431062),(13 1573923.5),(14 1717499.6),(15 1866678.3),(16 2042059.1),(17 2231127.8),(18 2393453.5),(19 2562417.8),(20 2734731.3),(21 2911995.5),(22 3083292.3),(23 3257131),(24 3416452),(25 3555296),(26 3691233.8),(27 3838260),(28 4000337.3),(29 4167729),(30 4337764),(31 4510392),(32 4714975),(33 4900985),(34 5076874),(35 5245373),(36 5405563.5),(37 5537810),(38 5640376),(39 5761376),(40 5870935.5),(41 5979478),(42 6067706),(43 6159987.5),(44 6231250),(45 6315220),(46 6406212),(47 6499370),(48 6582466),(49 6650732.5),(50 6718499.5),(51 6789674.5),(52 6861237.5),(53 6929682.5),(54 7000239.5),(55 7079771),(56 7155135),(57 7239461.5),(58 7306263),(59 7399794.5),(60 7437230),(61 7492697),(62 7524147.5),(63 7543394),(64 7543966),(65 7559928),(66 7551431),(67 7553468.5),(68 7570105),(69 7579039),(70 7586614),(71 7614151),(72 7635071),(73 7636709.5),(74 7616361),(75 7588498.5),(76 7535799),(77 7478018.5),(78 7427900.5),(79 7384130.5),
(1 40509.707),(2 134796.56),(3 272065.34),(4 445939.5),(5 651657.25),(6 899991.8),(7 1150985.6),(8 1410479.5),(9 1675154.9),(10 1943824.5),(11 2205419.8),(12 2459167),(13 2700013),(14 2930616.8),(15 3165753.5),(16 3437184),(17 3732135.8),(18 3965049),(19 4187187.8),(20 4388760.5),(21 4564380.5),(22 4726762),(23 4865073.5),(24 4976426),(25 5056994.5),(26 5120352),(27 5172197.5),(28 5222853.5),(29 5276339.5),(30 5341091.5),(31 5388525),(32 5449993.5),(33 5501330),(34 5546911.5),(35 5595287),(36 5644901),(37 5674444.5),(38 5665192.5),(39 5698200.5),(40 5721700.5),(41 5753634),(42 5803445),(43 5859149),(44 5916368.5),(45 5984049.5),(46 6067541),(47 6158081.5),(48 6252043.5),(49 6331869),(50 6433891),(51 6544035.5),(52 6641795),(53 6761585.5),(54 6872391.5),(55 6982379.5),(56 7102257.5),(57 7214253),(58 7306703.5),(59 7445389),(60 7539968),(61 7630802),(62 7691083.5),(63 7735883),(64 7762725),(65 7782918),(66 7775509),(67 7779030),(68 7782382.5),(69 7786267.5),(70 7768164.5),(71 7767796.5),(72 7725256),(73 7685492.5),(74 7624680.5),(75 7559531.5),(76 7475114),(77 7385674),(78 7282296.5),(79 7208952.5),
(1 45503.258),(2 149456.92),(3 301634.7),(4 501797.2),(5 743532.9),(6 1055240.3),(7 1365459.6),(8 1690376.8),(9 2028853.3),(10 2377830.3),(11 2716455.5),(12 3036772),(13 3336840),(14 3620987.3),(15 3897774),(16 4183516),(17 4460421),(18 4676168),(19 4858683.5),(20 4995702.5),(21 5080535),(22 5135783),(23 5125914.5),(24 5096211),(25 5027257.5),(26 4946219),(27 4838060.5),(28 4731720),(29 4618631),(30 4512021.5),(31 4406092),(32 4313271),(33 4221397.5),(34 4164976.8),(35 4118842.5),(36 4086583.3),(37 4055099.3),(38 4027678.5),(39 4021937.3),(40 4031866.8),(41 4055657.5),(42 4117247.5),(43 4207009),(44 4331651.5),(45 4467685.5),(46 4617805.5),(47 4785574),(48 4958930.5),(49 5131925.5),(50 5347348),(51 5540189),(52 5719801),(53 5898621),(54 6073197.5),(55 6226666.5),(56 6383565.5),(57 6512666),(58 6644806.5),(59 6783105.5),(60 6925465.5),(61 7012245),(62 7092432),(63 7152715),(64 7178833.5),(65 7196038.5),(66 7167331),(67 7149136),(68 7134284),(69 7107481.5),(70 7080951),(71 7045869),(72 7004763),(73 6975312),(74 6938595),(75 6881121.5),(76 6818545),(77 6755939),(78 6690407),(79 6626994),
(1 35818.4),(2 115421.05),(3 228010.52),(4 373230.3),(5 542245),(6 746415.94),(7 945128.94),(8 1150979.6),(9 1364496.6),(10 1583929.9),(11 1796575.8),(12 2002584.1),(13 2198558),(14 2387276.3),(15 2573051),(16 2784416),(17 2984342.5),(18 3160629),(19 3311070.5),(20 3443171),(21 3549097),(22 3655772.3),(23 3758655),(24 3839690.3),(25 3897485),(26 3956939),(27 3998120.5),(28 4048204.3),(29 4100470.8),(30 4153442.3),(31 4204596.5),(32 4258967.5),(33 4316822.5),(34 4388143),(35 4455088),(36 4513871),(37 4561493),(38 4618613),(39 4676483.5),(40 4743859.5),(41 4813543.5),(42 4896124.5),(43 4972141),(44 5049138),(45 5117696),(46 5178872.5),(47 5224712),(48 5272527.5),(49 5300618),(50 5341914.5),(51 5370762.5),(52 5393696),(53 5406206),(54 5420414),(55 5419309),(56 5418597.5),(57 5408077.5),(58 5403764.5),(59 5392151.5),(60 5394795),(61 5373706.5),(62 5351747.5),(63 5328911.5),(64 5290605),(65 5248324.5),(66 5188932.5),(67 5129604.5),(68 5069670.5),(69 4996234.5),(70 4946985.5),(71 4893454),(72 4845404.5),(73 4803674),(74 4774628),(75 4750638.5),(76 4733102),(77 4717927),(78 4705350),(79 4695687),
(1 40160.793),(2 132222.27),(3 262535.84),(4 431219.34),(5 622249.4),(6 852208.8),(7 1075707),(8 1299629.9),(9 1518692.6),(10 1729111.9),(11 1918770.9),(12 2092967.8),(13 2243982.8),(14 2383169),(15 2510510.5),(16 2659143),(17 2768993.5),(18 2851472.3),(19 2912083.3),(20 2960939.8),(21 2992155.3),(22 3026728),(23 3064510.3),(24 3110037.8),(25 3155707.5),(26 3222395),(27 3292415.5),(28 3370003.3),(29 3445573),(30 3534741),(31 3626375.8),(32 3729317.3),(33 3825652),(34 3932654.3),(35 4022882.8),(36 4102155.3),(37 4152278.5),(38 4199690),(39 4279769.5),(40 4343159.5),(41 4401147.5),(42 4482311),(43 4549944),(44 4627624.5),(45 4696484.5),(46 4764613),(47 4824369.5),(48 4879312),(49 4924443.5),(50 4966311),(51 5008841.5),(52 5048073.5),(53 5073426),(54 5098624),(55 5110885),(56 5128605.5),(57 5147011),(58 5162706),(59 5187070),(60 5226205),(61 5251311.5),(62 5273496.5),(63 5279069),(64 5280010.5),(65 5268659.5),(66 5253431.5),(67 5231967),(68 5205060.5),(69 5153191.5),(70 5105822),(71 5050086.5),(72 4990943.5),(73 4933553),(74 4888269),(75 4832221),(76 4794954),(77 4752079),(78 4724272),(79 4701552.5),
(1 53048.71),(2 177766.03),(3 356973),(4 584502.3),(5 852431.2),(6 1171168.4),(7 1472928),(8 1774716.9),(9 2061577.9),(10 2335142.3),(11 2576878),(12 2785959.3),(13 2964480.8),(14 3115367.5),(15 3234371.3),(16 3351968.8),(17 3432789.8),(18 3484474.8),(19 3509180.3),(20 3518510),(21 3513741.3),(22 3511288.8),(23 3504689.3),(24 3506007.5),(25 3501882.8),(26 3505855.5),(27 3522102.5),(28 3562316.8),(29 3612131.8),(30 3682345.5),(31 3769114),(32 3859505),(33 3943736),(34 4028008),(35 4101762.8),(36 4171797.8),(37 4212836),(38 4243267),(39 4292805),(40 4317059),(41 4325459.5),(42 4314487),(43 4289939.5),(44 4261616),(45 4224096.5),(46 4187531.3),(47 4140728),(48 4085825.5),(49 4036425.5),(50 3991521),(51 3961242.3),(52 3933165.3),(53 3913808.5),(54 3911159),(55 3917907.5),(56 3943511.5),(57 3972166),(58 4014582.5),(59 4090859.3),(60 4170354.3),(61 4244284),(62 4322805.5),(63 4390036.5),(64 4450460),(65 4505416.5),(66 4550099),(67 4593895.5),(68 4635062.5),(69 4679712),(70 4719178.5),(71 4729283.5),(72 4740304),(73 4741168.5),(74 4728481),(75 4704488),(76 4677419.5),(77 4641667),(78 4588397.5),(79 4558227),
(1 42671.207),(2 141277.06),(3 279309.72),(4 451917.13),(5 646919.06),(6 867850.8),(7 1074033),(8 1274671.5),(9 1468621.8),(10 1649135.8),(11 1802310.5),(12 1934485.5),(13 2045258.6),(14 2136478),(15 2220610.8),(16 2291700.5),(17 2366693.8),(18 2420401.3),(19 2455790.8),(20 2479796),(21 2492769),(22 2507021.3),(23 2539743.8),(24 2563431.5),(25 2587225.8),(26 2611662.8),(27 2637567.5),(28 2676087.5),(29 2727896),(30 2787487),(31 2867943.8),(32 2971030.3),(33 3058947.5),(34 3147715.3),(35 3230723),(36 3307770.8),(37 3383617),(38 3449439.3),(39 3507511),(40 3555281),(41 3597254.8),(42 3601749.5),(43 3595333),(44 3588531),(45 3571854.8),(46 3554821.3),(47 3525736.8),(48 3481746.5),(49 3442037.5),(50 3390795),(51 3359406),(52 3322660.3),(53 3287345),(54 3261285.8),(55 3251189.8),(56 3256571.3),(57 3272107),(58 3302812.5),(59 3365578.3),(60 3438113.8),(61 3521059.3),(62 3600285.3),(63 3679756.3),(64 3754011),(65 3812612.5),(66 3851444.5),(67 3881177.8),(68 3896065),(69 3903864.5),(70 3901532.5),(71 3876696.5),(72 3846240),(73 3806693.3),(74 3760786.8),(75 3711673.3),(76 3664202.8),(77 3614003.5),(78 3551205.8),(79 3494749),
(1 53049.387),(2 172125.73),(3 332045.56),(4 522432),(5 727261.6),(6 942716),(7 1125605.1),(8 1279946.6),(9 1402246.1),(10 1487240.5),(11 1543661.4),(12 1579306.4),(13 1603814.8),(14 1619338.3),(15 1644363.8),(16 1693826.8),(17 1754177.9),(18 1807812),(19 1859197),(20 1914648.4),(21 1975280),(22 2046255.5),(23 2137809.5),(24 2225673),(25 2309530.5),(26 2386074.3),(27 2442457.8),(28 2487968.5),(29 2523966.5),(30 2553130),(31 2577304.3),(32 2605157.3),(33 2615605.8),(34 2616284),(35 2611164),(36 2596856.5),(37 2598524.3),(38 2610495.8),(39 2639878),(40 2666787.8),(41 2697284),(42 2736411.3),(43 2766106.8),(44 2797690),(45 2830586.3),(46 2863528.3),(47 2903708.8),(48 2939000.5),(49 2967693.8),(50 3001059.3),(51 3048021),(52 3088954.3),(53 3123352.5),(54 3154565.5),(55 3183863.5),(56 3208304.3),(57 3236433.5),(58 3257322),(59 3300131.8),(60 3341285.3),(61 3384380.8),(62 3431860.3),(63 3475527),(64 3519498.5),(65 3560068.8),(66 3601309),(67 3644953.8),(68 3685731.8),(69 3717300.5),(70 3760155),(71 3780861),(72 3805319.5),(73 3820220.3),(74 3837857.5),(75 3847534.5),(76 3860151.8),(77 3866495.5),(78 3866211.3),(79 3868502),
