1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 68470.29),(2 195142.19),(3 352766.9),(4 555614.6),(5 699121.06),(6 850631.5),(7 1000039.06),(8 1132314.6),(9 1260431.6),(10 1390837.3),(11 1554579),(12 1712647),(13 1906019.4),(14 2105281.3),(15 2283410.8),(16 2410897.8),(17 2583342.3),(18 2739686.3),(19 2944720.8),(20 3129073.3),(21 3322092),(22 3499727),(23 3691559.3),(24 3897097),(25 4135188.8),(26 4432267.5),(27 4770297.5),(28 5084536.5),(29 5421706),(30 5757976.5),(31 6091812.5),(32 6446442),(33 6756978.5),(34 7054957.5),(35 7364610),(36 7691160.5),(37 8046268.5),(38 8359204),(39 8817907),(40 9226572),(41 9600441),(42 10069168),(43 10548935),(44 11130914),(45 11697375),(46 12289435),(47 13035627),(48 13699877),(49 14252195),(50 14791491),(51 15138804),(52 15456641),(53 15734407),(54 15862677),(55 16042788),(56 16162404),(57 16292532),(58 16325140),(59 16380367),(60 16414100),(61 16370028),(62 16349336),(63 16252040),(64 16096659),(65 15871848),(66 15507596),(67 15134241),(68 14567387),(69 13984040),(70 13344905),(71 12763711),(72 12226677),(73 11789711),(74 11355761),(75 11004051),(76 10718321),(77 10504428),(78 10234463),(79 10072769),
(1 39053.117),(2 120088.25),(3 233176.6),(4 363763.03),(5 496202.7),(6 635458.2),(7 781253.3),(8 933099.3),(9 1085451.3),(10 1254297.8),(11 1461839.5),(12 1708343.4),(13 1985512.6),(14 2291850.5),(15 2634512.5),(16 2993288),(17 3360794.8),(18 3760426.5),(19 4188661.5),(20 4611531),(21 4966771),(22 5287845),(23 5588777),(24 5905391),(25 6232957),(26 6575560.5),(27 6900523),(28 7195392),(29 7484830.5),(30 7715630.5),(31 7958783),(32 8184416),(33 8383901),(34 8527489),(35 8672279),(36 8805405),(37 8932469),(38 9007318),(39 9124598),(40 9246758),(41 9390737),(42 9577691),(43 9786451),(44 10049754),(45 10296098),(46 10538907),(47 10825793),(48 11082153),(49 11332938),(50 11589594),(51 11833767),(52 12028210),(53 12253626),(54 12460552),(55 12728549),(56 13034306),(57 13367358),(58 13668800),(59 13965888),(60 14231494),(61 14441674),(62 14649078),(63 14817221),(64 14962333),(65 15009138),(66 14960563),(67 14886930),(68 14655536),(69 14425997),(70 14077171),(71 13776658),(72 13448773),(73 13135181),(74 12831702),(75 12562690),(76 12260628),(77 11966344),(78 11633054),(79 11298016),
(1 33275.684),(2 105587.9),(3 203020.88),(4 328288.3),(5 464011.75),(6 605888.44),(7 767063.5),(8 922994.06),(9 1075813.1),(10 1220009.9),(11 1362894.4),(12 1560612.4),(13 1758220.4),(14 1943112.6),(15 2152740.8),(16 2355827.3),(17 2543518.8),(18 2746809.8),(19 2983214.3),(20 3223610.8),(21 3397140),(22 3549749.3),(23 3718738.3),(24 3897492),(25 4048711.3),(26 4165836.8),(27 4259704.5),(28 4344112),(29 4382032.5),(30 4383114.5),(31 4383458.5),(32 4404546),(33 4409488),(34 4383201.5),(35 4327729.5),(36 4313718),(37 4270589.5),(38 4203064),(39 4153567),(40 4093512),(41 4087101.3),(42 4096648),(43 4153787),(44 4221943),(45 4357432),(46 4490568),(47 4606788.5),(48 4790910),(49 4926554),(50 5115406.5),(51 5307112),(52 5533598),(53 5719551.5),(54 5877950),(55 6054929.5),(56 6185314),(57 6334722.5),(58 6459009.5),(59 6606413.5),(60 6728452.5),(61 6842129.5),(62 6953716),(63 7086432),(64 7186812),(65 7258802),(66 7317910.5),(67 7373917.5),(68 7443469.5),(69 7493554.5),(70 7529078),(71 7558672.5),(72 7600737.5),(73 7607760.5),(74 7645025.5),(75 7679453.5),(76 7699735.5),(77 7760429.5),(78 7833505.5),(79 7913300),
(1 42929.125),(2 138992.25),(3 261310.58),(4 401768.28),(5 553189.56),(6 711316.44),(7 867500.56),(8 1031614.75),(9 1195600.4),(10 1373502.6),(11 1549071),(12 1738851.1),(13 1923800.5),(14 2114014.5),(15 2313114.8),(16 2515821.8),(17 2697205.3),(18 2876454.5),(19 3083171.3),(20 3309222.5),(21 3517761),(22 3731674.8),(23 3966232),(24 4203969.5),(25 4398160),(26 4625832),(27 4865289),(28 5108748.5),(29 5307042),(30 5515282),(31 5718288),(32 5963474.5),(33 6207262),(34 6452914),(35 6683854),(36 6913085.5),(37 7127868.5),(38 7333982),(39 7573307.5),(40 7771495),(41 8033612.5),(42 8246784),(43 8474937),(44 8655479),(45 8798636),(46 8953052),(47 9102940),(48 9267611),(49 9410605),(50 9599849),(51 9801504),(52 10001689),(53 10192500),(54 10363865),(55 10515287),(56 10669148),(57 10803684),(58 10929055),(59 11059646),(60 11164711),(61 11213796),(62 11280213),(63 11335434),(64 11398085),(65 11463686),(66 11549908),(67 11666585),(68 11777791),(69 11851822),(70 11915415),(71 11936682),(72 11936686),(73 11944067),(74 11953205),(75 11960017),(76 11975740),(77 11982933),(78 12036183),(79 12161760),
(1 46795.773),(2 162815.48),(3 324021.38),(4 521687.5),(5 759147.06),(6 1008532.2),(7 1259382.4),(8 1513913.6),(9 1782406.8),(10 2061959.9),(11 2338271),(12 2628923.3),(13 2887321),(14 3159747.8),(15 3407339.8),(16 3637333.8),(17 3853630.3),(18 4076863.3),(19 4305186),(20 4573708.5),(21 4824111.5),(22 5070943.5),(23 5350289),(24 5639506.5),(25 5871197),(26 6145757),(27 6440416),(28 6756734),(29 7071644.5),(30 7377421),(31 7685919.5),(32 8008151.5),(33 8301785.5),(34 8596975),(35 8840516),(36 9112141),(37 9381969),(38 9702256),(39 10033273),(40 10371017),(41 10727735),(42 11010928),(43 11326761),(44 11582265),(45 11795407),(46 11986624),(47 12149436),(48 12269843),(49 12390144),(50 12492143),(51 12577961),(52 12605564),(53 12620637),(54 12632202),(55 12581718),(56 12547919),(57 12472080),(58 12400164),(59 12274237),(60 12114587),(61 11929999),(62 11726860),(63 11517252),(64 11343511),(65 11180865),(66 11018126),(67 10857017),(68 10730185),(69 10577207),(70 10455162),(71 10288807),(72 10088035),(73 9917452),(74 9720679),(75 9544793),(76 9378113),(77 9235530),(78 9143153),(79 9112264),
(1 38938.418),(2 128665.234),(3 254521.25),(4 413483.03),(5 591430.3),(6 780491.5),(7 980961.6),(8 1183013.9),(9 1395754.8),(10 1649268.6),(11 1927464.4),(12 2237255),(13 2517932.8),(14 2793354),(15 3060594.3),(16 3313970.5),(17 3549556.8),(18 3789446.5),(19 4015260.8),(20 4286296.5),(21 4523946.5),(22 4758552),(23 4991344.5),(24 5199026),(25 5359381.5),(26 5512386.5),(27 5634991),(28 5761866),(29 5841755),(30 5951502),(31 6008758.5),(32 6058632),(33 6058658),(34 6055232),(35 6049773),(36 6046926.5),(37 6030465.5),(38 6075033.5),(39 6100177.5),(40 6181689.5),(41 6270751.5),(42 6375963.5),(43 6466934),(44 6549326.5),(45 6666620.5),(46 6784725),(47 6886784),(48 6948672),(49 7039803),(50 7128016),(51 7179888),(52 7241790.5),(53 7290964),(54 7293048),(55 7286574.5),(56 7306675),(57 7274889),(58 7255109),(59 7218902.5),(60 7155087),(61 7093501.5),(62 7024858.5),(63 6961129.5),(64 6912494.5),(65 6885511),(66 6857507),(67 6798285.5),(68 6762737.5),(69 6745188),(70 6745413.5),(71 6743441),(72 6748809.5),(73 6767935),(74 6760656),(75 6761432),(76 6792213),(77 6832104),(78 6890509),(79 6972363),
(1 37601.95),(2 122556.055),(3 240523.73),(4 376930.38),(5 534987.94),(6 701561.75),(7 877729.6),(8 1044981.75),(9 1218375.3),(10 1395481.4),(11 1570171.9),(12 1751755.9),(13 1923864.1),(14 2067002.8),(15 2203865.8),(16 2352256.3),(17 2479156.5),(18 2609475.8),(19 2762454.3),(20 2955271.5),(21 3116529.3),(22 3255955.5),(23 3393374.3),(24 3523748),(25 3640721),(26 3745874.8),(27 3872274.3),(28 4006292.3),(29 4120478.8),(30 4248607),(31 4383599.5),(32 4525911),(33 4673205),(34 4842555),(35 5002828.5),(36 5180816),(37 5353499.5),(38 5542514.5),(39 5747258),(40 5963486),(41 6165854),(42 6396384.5),(43 6596401),(44 6809223.5),(45 7055187),(46 7279077),(47 7488717.5),(48 7678934),(49 7893088),(50 8113181.5),(51 8309729),(52 8477910),(53 8626617),(54 8784202),(55 8882726),(56 8955169),(57 9023352),(58 9063655),(59 9086071),(60 9073722),(61 9032375),(62 8952681),(63 8875470),(64 8782784),(65 8680812),(66 8555779),(67 8401352),(68 8262930),(69 8099669.5),(70 7932107),(71 7751906.5),(72 7578663),(73 7409124.5),(74 7206480),(75 7010995),(76 6839224.5),(77 6685693),(78 6531609),(79 6384410.5),
(1 45184.83),(2 148222.81),(3 298379.56),(4 478051),(5 680334),(6 897672),(7 1121301.6),(8 1352977.9),(9 1583467.5),(10 1810494.1),(11 2016431.6),(12 2206131),(13 2383246.5),(14 2527432.8),(15 2654849.3),(16 2786431),(17 2898636.3),(18 3011807),(19 3160965.3),(20 3346695),(21 3521412.3),(22 3692062.5),(23 3887216),(24 4076799.8),(25 4235198),(26 4371764.5),(27 4510278.5),(28 4630381.5),(29 4743106),(30 4831144),(31 4913261.5),(32 4996219.5),(33 5076285),(34 5168849.5),(35 5243925.5),(36 5307234),(37 5378269),(38 5445785.5),(39 5521504),(40 5579209),(41 5590575),(42 5592671.5),(43 5600703),(44 5595996.5),(45 5652548.5),(46 5684405.5),(47 5753858),(48 5878771.5),(49 6051990.5),(50 6241765.5),(51 6449349.5),(52 6658467),(53 6887080),(54 7147434.5),(55 7409608),(56 7670094),(57 7984063),(58 8272509),(59 8561597),(60 8841835),(61 9105632),(62 9377089),(63 9643511),(64 9889006),(65 10091772),(66 10236289),(67 10332697),(68 10401314),(69 10430002),(70 10388986),(71 10354971),(72 10300114),(73 10224229),(74 10093169),(75 9930630),(76 9760702),(77 9560253),(78 9315277),(79 9037434),
(1 42303.316),(2 143337.63),(3 293266.6),(4 479268.56),(5 691571.25),(6 910519.44),(7 1136018),(8 1367912.4),(9 1590911.6),(10 1803471),(11 1996221.1),(12 2176245.3),(13 2346355.8),(14 2488309.3),(15 2599926),(16 2693615),(17 2760835.3),(18 2843026.3),(19 2936808),(20 3068143.5),(21 3184846),(22 3303479),(23 3442198.5),(24 3588899.8),(25 3720492.8),(26 3837162.3),(27 3952824.5),(28 4082287),(29 4187160),(30 4282412.5),(31 4377083.5),(32 4479959.5),(33 4590630),(34 4703321.5),(35 4786870.5),(36 4877252.5),(37 5006002),(38 5131635),(39 5283116),(40 5452394.5),(41 5631864),(42 5816543),(43 6017699),(44 6215963.5),(45 6468762.5),(46 6673304.5),(47 6875904),(48 7051979),(49 7243896),(50 7406502),(51 7566269),(52 7715499),(53 7871420),(54 8041255.5),(55 8223408),(56 8419177),(57 8644793),(58 8859047),(59 9086340),(60 9340102),(61 9565696),(62 9807000),(63 10018778),(64 10252762),(65 10466613),(66 10660609),(67 10857193),(68 11050020),(69 11220891),(70 11400937),(71 11563337),(72 11715159),(73 11850922),(74 11988073),(75 12079121),(76 12153875),(77 12198441),(78 12212828),(79 12172728),
(1 38697.32),(2 124766.555),(3 252943.39),(4 405890.53),(5 582537.1),(6 772525),(7 972940.9),(8 1184059.1),(9 1398144.6),(10 1616566.9),(11 1835119.8),(12 2054028),(13 2274143.5),(14 2486608.8),(15 2684442.8),(16 2899379.5),(17 3097913),(18 3303592.3),(19 3534036.3),(20 3779749.3),(21 3987705.8),(22 4207986),(23 4432673.5),(24 4649781),(25 4840106.5),(26 4989490),(27 5135301.5),(28 5285115.5),(29 5408213.5),(30 5524357),(31 5636419.5),(32 5761140.5),(33 5846627.5),(34 5921887),(35 5962970),(36 6009971.5),(37 6069844.5),(38 6150954),(39 6223739),(40 6285237),(41 6368649),(42 6417605.5),(43 6444207),(44 6452221),(45 6454962),(46 6430529),(47 6376570),(48 6279936),(49 6186505),(50 6085978.5),(51 5973277.5),(52 5856748.5),(53 5759037.5),(54 5668922.5),(55 5585066),(56 5498939.5),(57 5440431),(58 5398473),(59 5358690),(60 5329318),(61 5300096.5),(62 5267017),(63 5232473),(64 5206338.5),(65 5177743),(66 5159721.5),(67 5128117.5),(68 5092506),(69 5078859),(70 5094138),(71 5073932.5),(72 5050183),(73 5036182.5),(74 5011937),(75 4977570.5),(76 4951794),(77 4945924.5),(78 4964748.5),(79 4999918),
(1 44709.758),(2 139307.6),(3 278034.7),(4 442587.7),(5 639694.1),(6 850426.2),(7 1075779.3),(8 1296594.8),(9 1513732.4),(10 1730198.4),(11 1949471.8),(12 2147789),(13 2328875.5),(14 2489975.8),(15 2642944.5),(16 2786035.3),(17 2893767),(18 2981107.5),(19 3072520),(20 3171490.8),(21 3238520.5),(22 3320809.5),(23 3395199.8),(24 3479749.3),(25 3540442.3),(26 3635702.5),(27 3738151.3),(28 3827993.8),(29 3907825.5),(30 4003015.5),(31 4104289),(32 4209322.5),(33 4299716.5),(34 4387668.5),(35 4433632.5),(36 4513472),(37 4573790),(38 4633495.5),(39 4694616.5),(40 4710420),(41 4743579),(42 4773289.5),(43 4819652.5),(44 4863181),(45 4971608.5),(46 5072022.5),(47 5146046),(48 5213837.5),(49 5280907),(50 5320859),(51 5352574),(52 5360479),(53 5341417),(54 5326413.5),(55 5295489),(56 5294945),(57 5238634.5),(58 5161908.5),(59 5096939),(60 5002532),(61 4921010),(62 4825508.5),(63 4734388.5),(64 4655732),(65 4570757.5),(66 4481923.5),(67 4385782.5),(68 4270582),(69 4175725.3),(70 4101731.3),(71 4019613.8),(72 3947116),(73 3897618.8),(74 3869847),(75 3854291.3),(76 3866953.8),(77 3908517),(78 3999324.8),(79 4116606.5),
