1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 188997.36),(2 444421.88),(3 728849.8),(4 1302254.3),(5 1960409.6),(6 2624098.3),(7 3582705.3),(8 4564520.5),(9 5538853.5),(10 6806086.5),(11 8099478.5),(12 9386329),(13 10926012),(14 12541963),(15 14012819),(16 15751984),(17 17643208),(18 19375764),(19 21558070),(20 23935978),(21 25823922),(22 28016654),(23 30368778),(24 32381698),(25 34594700),(26 36935868),(27 38792148),(28 40700420),(29 42898716),(30 44718496),(31 46897700),(32 49519884),(33 51615790),(34 54193268),(35 57555532),(36 60533132),(37 63678828),(38 67328030),(39 70488260),(40 73924730),(41 77806830),(42 81141384),(43 84477380),(44 88020700),(45 90758630),(46 93603480),(47 97255550),(48 100269270),(49 103664010),(50 107818180),(51 111378040),(52 114722390),(53 118414360),(54 121686080),(55 124394890),(56 127163240),(57 129586776),(58 131899140),(59 134674400),(60 137219920),(61 139162160),(62 140740140),(63 141227440),(64 141749090),(65 143124050),(66 144446720),(67 145946820),(68 147610800),(69 148513620),(70 149176450),(71 150113600),(72 150616690),(73 151348820),(74 152662350),(75 153746240),(76 155292350),(77 157092750),(78 159195090),(79 160688270),
(1 181734.1),(2 451556.56),(3 807114.44),(4 1494034),(5 2218274.5),(6 2974632.5),(7 4028623.3),(8 5034584),(9 5971538.5),(10 7202375),(11 8393250),(12 9532938),(13 11027622),(14 12454834),(15 13798034),(16 15569200),(17 17465190),(18 19244332),(19 21589044),(20 24045882),(21 26252950),(22 28849028),(23 31378726),(24 33597640),(25 36270184),(26 38832268),(27 41042196),(28 43742456),(29 46649684),(30 49463624),(31 52892044),(32 56493310),(33 59645580),(34 63265730),(35 67276070),(36 70775016),(37 74663470),(38 78973210),(39 82736856),(40 86699470),(41 91223096),(42 95036720),(43 99102830),(44 103392890),(45 106790130),(46 110541390),(47 115113840),(48 118887730),(49 122953370),(50 127497576),(51 130977704),(52 134385380),(53 138150140),(54 141116130),(55 143865180),(56 146972200),(57 149496640),(58 151909780),(59 154676850),(60 156902690),(61 158842450),(62 160722770),(63 161505500),(64 162171620),(65 163479120),(66 164020960),(67 164791200),(68 165613090),(69 165380600),(70 164707800),(71 164389600),(72 163772340),(73 163630420),(74 164306260),(75 164816430),(76 165619170),(77 166697010),(78 167883180),(79 168944000),
(1 216175.55),(2 640980.94),(3 1241503),(4 2266337),(5 3462439.3),(6 4785295.5),(7 6486142.5),(8 8276561.5),(9 10185783),(10 12444549),(11 14756901),(12 17147342),(13 20038424),(14 23028016),(15 25977176),(16 29169674),(17 32427128),(18 35623744),(19 39125124),(20 42615372),(21 46050932),(22 49584800),(23 53033164),(24 56348610),(25 59845108),(26 63174080),(27 66213040),(28 69225890),(29 71974720),(30 74521310),(31 77259090),(32 79903064),(33 82464376),(34 85134170),(35 87802310),(36 90189176),(37 92500520),(38 94833370),(39 96978300),(40 99180230),(41 101081570),(42 102897304),(43 105018170),(44 106997310),(45 108605720),(46 110338500),(47 112022570),(48 113705144),(49 115657496),(50 117583650),(51 119538536),(52 121615864),(53 123532104),(54 125267930),(55 127009640),(56 128477280),(57 129890216),(58 131600640),(59 133274890),(60 134777360),(61 136310820),(62 137577580),(63 138352880),(64 139441420),(65 140701060),(66 141585780),(67 142946530),(68 144181070),(69 144811500),(70 145257390),(71 145861500),(72 145991980),(73 146364020),(74 147056110),(75 147339200),(76 147704850),(77 147771180),(78 147536320),(79 147462830),
(1 213941.19),(2 779557),(3 1688113.9),(4 3022697.5),(5 4687759),(6 6541583.5),(7 8653764),(8 10887561),(9 13325612),(10 15957657),(11 18666152),(12 21500914),(13 24807538),(14 28240076),(15 31720840),(16 35274900),(17 38898736),(18 42456530),(19 46258630),(20 50148060),(21 53949640),(22 57629156),(23 61233400),(24 64542600),(25 67706780),(26 70554990),(27 73160590),(28 75504700),(29 77757256),(30 79794344),(31 81769950),(32 83596320),(33 85333280),(34 86977190),(35 88588720),(36 89981880),(37 91178980),(38 92358750),(39 93630180),(40 94735050),(41 95630240),(42 96617570),(43 97676600),(44 98480440),(45 99294480),(46 100076180),(47 100901740),(48 101875890),(49 103015970),(50 104197180),(51 105560470),(52 106683050),(53 107685670),(54 108733310),(55 109669140),(56 110373190),(57 111325110),(58 112513850),(59 113682870),(60 114909510),(61 115953464),(62 116755430),(63 117392980),(64 117933160),(65 118345700),(66 118843610),(67 119333780),(68 119552216),(69 119689050),(70 119832690),(71 119863780),(72 119824020),(73 119825720),(74 119812650),(75 119527390),(76 119139016),(77 118253940),(78 117200270),(79 116013700),
(1 320799.5),(2 1242614.6),(3 2733796.3),(4 4784334.5),(5 7319142.5),(6 10202543),(7 13386864),(8 16721494),(9 20210202),(10 23714514),(11 27093854),(12 30376078),(13 33662724),(14 36710468),(15 39484610),(16 41961052),(17 44112372),(18 45790756),(19 47097236),(20 47956496),(21 48426444),(22 48514290),(23 48230230),(24 47570076),(25 46568060),(26 45232590),(27 43846908),(28 42537950),(29 41350800),(30 40381936),(31 39648228),(32 39101670),(33 38813372),(34 38755012),(35 38981416),(36 39499496),(37 40281170),(38 41218480),(39 42465490),(40 43996950),(41 45860520),(42 47871180),(43 49906748),(44 51788100),(45 53640370),(46 55570384),(47 57596440),(48 59578804),(49 61535556),(50 63315676),(51 64933148),(52 66206580),(53 67289700),(54 68242790),(55 69073480),(56 69717790),(57 70230110),(58 70694690),(59 71125976),(60 71515750),(61 71789060),(62 72006290),(63 72235000),(64 72457800),(65 72756320),(66 73119330),(67 73530600),(68 73922210),(69 74407220),(70 74924024),(71 75544700),(72 76363820),(73 77368310),(74 78526210),(75 79743990),(76 80999350),(77 82102470),(78 83282680),(79 84245480),
(1 256626.1),(2 1028352.2),(3 2267811),(4 3921822.5),(5 6003905.5),(6 8372077.5),(7 11049834),(8 13950982),(9 17117044),(10 20397010),(11 23703556),(12 26992928),(13 30279468),(14 33390026),(15 36229880),(16 38716852),(17 40839530),(18 42481860),(19 43608660),(20 44075908),(21 44164984),(22 43771770),(23 42846984),(24 41478404),(25 39734496),(26 37670390),(27 35516480),(28 33267228),(29 31060212),(30 29086944),(31 27406150),(32 26068218),(33 25236572),(34 24797426),(35 24834716),(36 25408732),(37 26384028),(38 27824244),(39 29783804),(40 32032960),(41 34733800),(42 37623944),(43 40667092),(44 43740350),(45 46810504),(46 49822090),(47 52842790),(48 55597610),(49 58256770),(50 60608364),(51 62623244),(52 64125396),(53 65224570),(54 65884610),(55 66163692),(56 66030904),(57 65545332),(58 64689144),(59 63445484),(60 61905812),(61 60076456),(62 57955976),(63 55833530),(64 53628596),(65 51412670),(66 49337344),(67 47474988),(68 45878636),(69 44642200),(70 43612320),(71 42942920),(72 42651348),(73 42844652),(74 43445176),(75 44499080),(76 45997610),(77 47696040),(78 49746748),(79 51767660),
(1 194852.48),(2 765810.94),(3 1715523.3),(4 2985481.5),(5 4587323.5),(6 6483366),(7 8605601),(8 10898757),(9 13404982),(10 15991765),(11 18615320),(12 21263560),(13 23724562),(14 25882498),(15 27859458),(16 29352398),(17 30440270),(18 31252430),(19 31746244),(20 31877132),(21 31860252),(22 31695434),(23 31465668),(24 31356704),(25 31420770),(26 31655476),(27 32246936),(28 33049764),(29 33992700),(30 35056510),(31 36211784),(32 37399816),(33 38675450),(34 39893616),(35 40928744),(36 41897988),(37 42762156),(38 43471076),(39 44150428),(40 44736430),(41 45315492),(42 45887004),(43 46373052),(44 46690876),(45 46768812),(46 46784676),(47 46849316),(48 46634692),(49 46540508),(50 46409384),(51 46150268),(52 45757116),(53 45233700),(54 44514204),(55 43803820),(56 43119132),(57 42559804),(58 41991892),(59 41455720),(60 40927184),(61 40360330),(62 39653628),(63 38916180),(64 38161548),(65 37363960),(66 36614692),(67 36011336),(68 35487516),(69 35065956),(70 34734310),(71 34383228),(72 34116936),(73 34173016),(74 34283310),(75 34532960),(76 35083388),(77 35697420),(78 36398350),(79 37214556),
(1 184047.78),(2 698149),(3 1480126.5),(4 2489018.3),(5 3663300.8),(6 4929110.5),(7 6311131),(8 7798399.5),(9 9322938),(10 10945969),(11 12539810),(12 14009882),(13 15319249),(14 16442001),(15 17470498),(16 18297830),(17 18947140),(18 19602678),(19 20241976),(20 20826926),(21 21449010),(22 22095550),(23 22779488),(24 23547264),(25 24412238),(26 25344754),(27 26458060),(28 27671524),(29 28960366),(30 30368162),(31 31815436),(32 33202008),(33 34631116),(34 36028520),(35 37327210),(36 38494228),(37 39466170),(38 40219860),(39 40810660),(40 41186176),(41 41423444),(42 41379656),(43 41031560),(44 40376620),(45 39401692),(46 38308904),(47 37247236),(48 36104116),(49 35176520),(50 34523504),(51 34135896),(52 34034384),(53 34249544),(54 34689796),(55 35235292),(56 35841548),(57 36563108),(58 37282124),(59 37931390),(60 38474116),(61 38721716),(62 38612932),(63 38400810),(64 38166350),(65 37914812),(66 37800336),(67 37895148),(68 38007910),(69 38219920),(70 38449748),(71 38601864),(72 38838324),(73 39060516),(74 39045224),(75 38791412),(76 38411812),(77 37927676),(78 37425290),(79 36829908),
(1 187224.31),(2 711238.56),(3 1500974.3),(4 2497985),(5 3665130),(6 4925076.5),(7 6220484),(8 7487665),(9 8609404),(10 9620109),(11 10480666),(12 11155337),(13 11705128),(14 12175144),(15 12568905),(16 12864284),(17 13186899),(18 13583094),(19 14050457),(20 14570678),(21 15192413),(22 15862031),(23 16593122),(24 17359968),(25 18180732),(26 19059316),(27 20022908),(28 21067738),(29 22166202),(30 23290508),(31 24300586),(32 25092590),(33 25763018),(34 26245358),(35 26635138),(36 26905656),(37 27086178),(38 27243826),(39 27433742),(40 27674044),(41 28025162),(42 28429172),(43 28964088),(44 29625076),(45 30427456),(46 31237130),(47 32065776),(48 32791914),(49 33377800),(50 33775256),(51 33939070),(52 33892770),(53 33728140),(54 33412412),(55 32981102),(56 32529544),(57 32079078),(58 31695314),(59 31365670),(60 30980460),(61 30520764),(62 30021542),(63 29541304),(64 29128022),(65 28899738),(66 28936760),(67 29201940),(68 29530642),(69 29971374),(70 30464304),(71 31013286),(72 31716590),(73 32478426),(74 33196740),(75 33906710),(76 34603960),(77 35053176),(78 35373250),(79 35420100),
(1 227411.88),(2 873110),(3 1872292),(4 3172357.8),(5 4677642.5),(6 6270908.5),(7 7923468.5),(8 9473193),(9 10898183),(10 12088798),(11 13052532),(12 13893084),(13 14557572),(14 14946236),(15 15106124),(16 15022784),(17 14828837),(18 14641508),(19 14560150),(20 14657163),(21 14954788),(22 15507954),(23 16252261),(24 17087902),(25 18000984),(26 18883960),(27 19735438),(28 20603504),(29 21467880),(30 22254934),(31 23084814),(32 23887822),(33 24649816),(34 25383734),(35 26129912),(36 26903576),(37 27770746),(38 28668630),(39 29644420),(40 30660264),(41 31665880),(42 32622134),(43 33498856),(44 34120744),(45 34524308),(46 34762484),(47 35001052),(48 35090708),(49 35133540),(50 34984584),(51 34712656),(52 34410364),(53 34062900),(54 33611068),(55 33129848),(56 32654812),(57 32194506),(58 31711736),(59 31213622),(60 30698144),(61 30220252),(62 29838166),(63 29611164),(64 29505986),(65 29606776),(66 29809138),(67 30156650),(68 30498520),(69 30814052),(70 31051260),(71 31181078),(72 31234176),(73 31117578),(74 30796128),(75 30443868),(76 30131018),(77 29885128),(78 29710868),(79 29597770),
(1 223652.36),(2 879623.75),(3 1917898.8),(4 3286525.8),(5 4926386),(6 6666897),(7 8457909),(8 10135078),(9 11690942),(10 13032405),(11 14191919),(12 15115523),(13 15780268),(14 16167183),(15 16356883),(16 16449858),(17 16582912),(18 16882370),(19 17363992),(20 18014004),(21 18776278),(22 19550284),(23 20168878),(24 20555182),(25 20735432),(26 20680162),(27 20469662),(28 20146816),(29 19720716),(30 19242146),(31 18807566),(32 18455276),(33 18292154),(34 18296832),(35 18460048),(36 18768068),(37 19222256),(38 19769350),(39 20352716),(40 20850774),(41 21320486),(42 21588916),(43 21736038),(44 21858838),(45 21894648),(46 21801808),(47 21649796),(48 21259720),(49 20723472),(50 20028370),(51 19315884),(52 18672606),(53 18179298),(54 17891412),(55 17810592),(56 17938940),(57 18277022),(58 18783830),(59 19395530),(60 20064402),(61 20684728),(62 21176110),(63 21597064),(64 21913494),(65 22164306),(66 22360540),(67 22606948),(68 22831700),(69 23015976),(70 23196600),(71 23422690),(72 23663496),(73 23868062),(74 24007944),(75 23976106),(76 23882764),(77 23690348),(78 23513276),(79 23306808),
