1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 34422.285),(2 77969.66),(3 119128.805),(4 132347.25),(5 133922.81),(6 134284.44),(7 135584.56),(8 144653.1),(9 155672.83),(10 166568.22),(11 171609.16),(12 176047.67),(13 180648.73),(14 184146.63),(15 184509.8),(16 183642.33),(17 186313.81),(18 188979.42),(19 192279.39),(20 197505.86),(21 201385.78),(22 201081.56),(23 197950.4),(24 197522.3),(25 201828.73),(26 210050.36),(27 219372.77),(28 225161.05),(29 225252.05),(30 223450.67),(31 224474.06),(32 229439.92),(33 237969.1),(34 247362.44),(35 249529.17),(36 245899.45),(37 242620.22),(38 242594.88),(39 245399.25),(40 252092.16),(41 259671.47),(42 266396.6),(43 269328.97),(44 270090.44),(45 271088.53),(46 272968.53),(47 275181.84),(48 275079.3),(49 277746.63),(50 283162.5),(51 290216.28),(52 292559),(53 288197.63),(54 282558.6),(55 282837.38),(56 290005.8),(57 299266.06),(58 303371.44),(59 302869.94),(60 302399.06),(61 307559),(62 315077.97),(63 318832.2),(64 316815.28),(65 314019.88),(66 315947.9),(67 320859.6),(68 324190.2),(69 323644.1),(70 322962.53),(71 324093.1),(72 325366.34),(73 324365.06),(74 319535.97),(75 314959.63),(76 311948.84),(77 312460.38),(78 312298.75),(79 308464.28),
(1 33935.684),(2 77911.99),(3 118270.695),(4 131870.97),(5 135732.08),(6 135457.92),(7 136058.42),(8 139429.98),(9 145575.64),(10 151778.06),(11 155750.17),(12 161731.58),(13 167758.84),(14 171153.55),(15 172980.16),(16 174389.19),(17 175331.23),(18 176991.63),(19 182289.84),(20 187828.88),(21 190989.02),(22 190912.08),(23 191210.88),(24 191651.56),(25 192240.39),(26 193251.13),(27 196556.95),(28 197161.06),(29 195218.02),(30 193056.23),(31 193019.48),(32 196102.31),(33 199854.28),(34 202941.31),(35 206476.53),(36 210904.61),(37 214519.88),(38 217750.73),(39 222274.69),(40 229887.75),(41 235770.25),(42 239621.55),(43 242648.1),(44 245202.14),(45 247499.28),(46 246992.08),(47 247178.97),(48 249113.31),(49 253477.47),(50 257544.47),(51 258048.64),(52 252755.61),(53 249007.34),(54 250697.83),(55 255852),(56 259985.5),(57 260462.72),(58 259791.53),(59 260261.23),(60 264012.7),(61 269264.4),(62 274623.38),(63 277580.84),(64 279763.88),(65 283281.4),(66 283889.97),(67 281877.8),(68 279719.2),(69 279648.5),(70 283287),(71 286646.66),(72 287485.22),(73 288487.4),(74 290276.88),(75 292204.6),(76 293129.6),(77 289989.63),(78 284459.44),(79 282447.84),
(1 32293.918),(2 71759.35),(3 107680.35),(4 117974.516),(5 122862.73),(6 124797.555),(7 127884.14),(8 133244.25),(9 140551.05),(10 146053.9),(11 150634.58),(12 156804.78),(13 163266.11),(14 167740.39),(15 170483.66),(16 170705.81),(17 173200.63),(18 176400.94),(19 178723.16),(20 182325.9),(21 187567.06),(22 190576.47),(23 191792.9),(24 192030.16),(25 195087.03),(26 200926.33),(27 206679.02),(28 209045.02),(29 205811.83),(30 204803.47),(31 211971.42),(32 220106.92),(33 221818.56),(34 223296.16),(35 229707.13),(36 237977.94),(37 242115.1),(38 243584.36),(39 246520.72),(40 252264.63),(41 255431.72),(42 254756.02),(43 253106.64),(44 253098.44),(45 256854.19),(46 259490.61),(47 260339.36),(48 260201.42),(49 262228.44),(50 263942.34),(51 262447.78),(52 260737.45),(53 263820.16),(54 270789.75),(55 277194.63),(56 280933.6),(57 283892.3),(58 285621.2),(59 286393.3),(60 288817.56),(61 289500.34),(62 287686.66),(63 288076.5),(64 291291.06),(65 295411.2),(66 294813.5),(67 293427.72),(68 296450.53),(69 303218.94),(70 307101.78),(71 305619.56),(72 301572.47),(73 300239.34),(74 302635),(75 304495.5),(76 303196.78),(77 299122.16),(78 296473.75),(79 296630.06),
(1 30540.227),(2 67729.83),(3 100971.414),(4 111044.164),(5 118117.695),(6 122284.46),(7 128326.414),(8 135129.4),(9 143327.67),(10 148847.7),(11 151184.56),(12 155371.81),(13 161006.36),(14 165003.69),(15 165889.22),(16 167315.45),(17 171030.08),(18 174219.72),(19 177916.2),(20 182437.58),(21 185727.44),(22 186651.23),(23 185097.47),(24 183584.25),(25 184521.97),(26 188264.22),(27 194173.9),(28 197772.95),(29 195014.36),(30 191892.75),(31 195565.75),(32 203194.28),(33 208803.89),(34 208819.83),(35 207822.75),(36 210825.33),(37 215700.63),(38 219566.95),(39 224214.72),(40 231431.38),(41 235575.61),(42 235035.75),(43 231108),(44 228943.52),(45 232646.83),(46 237634.64),(47 240775.06),(48 239280.52),(49 239205.72),(50 241194.94),(51 244596.84),(52 248641.9),(53 254428.33),(54 258796.4),(55 262756.63),(56 265998.72),(57 269906.16),(58 273569.2),(59 276125.97),(60 277206.9),(61 278564.66),(62 282689.88),(63 288417.1),(64 291927.66),(65 293259.72),(66 293003.1),(67 291739.4),(68 290475.3),(69 290464.44),(70 291060.72),(71 289118.7),(72 287105.97),(73 285584.2),(74 282370.75),(75 279838.2),(76 276623.34),(77 275041.72),(78 273064.25),(79 268597.13),
(1 31863.719),(2 73771.36),(3 108701.59),(4 114039.78),(5 114355.49),(6 114971.484),(7 123054.36),(8 132573.92),(9 143474.55),(10 149694.33),(11 151995),(12 154291.53),(13 157273.39),(14 160101.67),(15 165511.5),(16 170896.45),(17 173649.33),(18 175720.6),(19 179804.34),(20 184820.08),(21 187995.61),(22 190172.81),(23 191715.4),(24 191829.47),(25 189815.31),(26 187053.03),(27 184520.1),(28 184696.8),(29 188109.31),(30 193327.31),(31 200995.34),(32 207057.58),(33 212134.66),(34 212961.72),(35 212731.64),(36 216183.17),(37 220201.75),(38 223653.63),(39 226352.53),(40 231205.28),(41 236245.83),(42 238514.06),(43 238297.31),(44 238664.52),(45 240691.02),(46 242438.38),(47 244399.13),(48 246919.31),(49 250837.66),(50 255472.73),(51 261928.6),(52 268191.78),(53 272695.34),(54 277027.84),(55 282381.6),(56 286300.2),(57 288049.88),(58 289395.53),(59 291753.7),(60 295948.4),(61 300189.47),(62 302827.6),(63 303961.47),(64 306299.06),(65 309934.06),(66 310713.8),(67 310947.3),(68 312991.53),(69 315478.13),(70 317794.9),(71 318329.44),(72 318399.75),(73 315957.44),(74 311121.44),(75 305731.53),(76 300027.38),(77 296430.16),(78 293842.22),(79 290422.13),
(1 30150.951),(2 68615.67),(3 98591.21),(4 103264.734),(5 107958.05),(6 110953.73),(7 118308.72),(8 124674.26),(9 132044.03),(10 134759.4),(11 135549.77),(12 137344.92),(13 139423.13),(14 142192.56),(15 148469.17),(16 155229.6),(17 159981.75),(18 163375.34),(19 164906.98),(20 165449.97),(21 165640.28),(22 167108.4),(23 167584.88),(24 169429.98),(25 174289.75),(26 178699.67),(27 179701.47),(28 178083.9),(29 176179.45),(30 178889.47),(31 186284.6),(32 192750.52),(33 194511.98),(34 196521.19),(35 197091.05),(36 196104),(37 196521.83),(38 200283.64),(39 204388.98),(40 207104.25),(41 206466.86),(42 205832.39),(43 206375.66),(44 209232.98),(45 214232.61),(46 217125.56),(47 216855.13),(48 214519.08),(49 215101.19),(50 219469.83),(51 224269.94),(52 226510.13),(53 229568),(54 233428.45),(55 235304.08),(56 235477.89),(57 239070.13),(58 246606.06),(59 252283.86),(60 252040.4),(61 249728.63),(62 249227.58),(63 251773.47),(64 253686.67),(65 255361.03),(66 258149.27),(67 257732.17),(68 253935.4),(69 253284.33),(70 255646.86),(71 256700.84),(72 255679.3),(73 254669.58),(74 253123.94),(75 250602),(76 248625.75),(77 247412.7),(78 244558.02),(79 243323.75),
(1 31082.41),(2 72334.88),(3 104107.85),(4 109333.06),(5 111262.5),(6 112193.86),(7 119768.9),(8 127414.48),(9 135405.56),(10 136021.8),(11 133263.97),(12 131446.31),(13 132577.02),(14 136528.06),(15 143009.84),(16 147069.39),(17 148780.14),(18 153021.34),(19 159758.23),(20 165195.16),(21 163536),(22 158889.6),(23 159902.33),(24 164499.17),(25 170152.86),(26 172664.45),(27 173464.28),(28 174736.55),(29 177298.88),(30 182519.72),(31 187077.06),(32 190207.33),(33 192171.67),(34 194602.6),(35 195971.33),(36 196037.03),(37 197358.94),(38 200546.98),(39 202604.48),(40 204592.31),(41 206845.52),(42 207835.02),(43 209481),(44 213901.89),(45 220614.53),(46 224400.39),(47 223666.88),(48 219723.55),(49 217626.19),(50 221144.9),(51 229747.16),(52 237945.27),(53 242423.8),(54 243767.83),(55 242493.44),(56 242717.28),(57 244830.81),(58 247436.34),(59 248481.3),(60 247928.72),(61 246933.03),(62 247823.1),(63 248872.39),(64 249693.97),(65 252812.17),(66 255250.02),(67 256945.39),(68 258024.2),(69 257692.39),(70 254941.7),(71 249656.13),(72 246001.38),(73 245025.63),(74 242874.84),(75 239336.9),(76 235026.3),(77 232007.44),(78 232193.63),(79 231221.06),
(1 28779.873),(2 66057.1),(3 95020.53),(4 101479.76),(5 105696.945),(6 105953.44),(7 110535.086),(8 116565.234),(9 125716.09),(10 129197.28),(11 128778.586),(12 126851.414),(13 127490.95),(14 132127.66),(15 138178.83),(16 141440.67),(17 142008.39),(18 144292.17),(19 149427.84),(20 153018.39),(21 151915.11),(22 150864.98),(23 154800.47),(24 159369.63),(25 162140.83),(26 163171.83),(27 164738.58),(28 168540.84),(29 174211.72),(30 178585.36),(31 181797.8),(32 185771.69),(33 190465.9),(34 196060.83),(35 201732.56),(36 204869.69),(37 204761.11),(38 205089.11),(39 205350.16),(40 207761.05),(41 211007.06),(42 214872.22),(43 218782.47),(44 219996.6),(45 219916.89),(46 220442.83),(47 222321.13),(48 224404.7),(49 227225.73),(50 229771.52),(51 232635.25),(52 235126.27),(53 237529.22),(54 238886.98),(55 240788.6),(56 241245.31),(57 239997.88),(58 240665.64),(59 244176.88),(60 246726.77),(61 248075.22),(62 246505.16),(63 244980.02),(64 248157.5),(65 254220.34),(66 256025.02),(67 253791.36),(68 253320.34),(69 254404),(70 253551.05),(71 249637.42),(72 246048.03),(73 245360.75),(74 246474.02),(75 245426.7),(76 240360.75),(77 237632.1),(78 237612.2),(79 238386.39),
(1 27983.748),(2 64739.273),(3 92107.73),(4 97377.516),(5 99561.19),(6 100316.086),(7 107012.59),(8 115529.14),(9 123667.18),(10 125621.59),(11 126855.805),(12 129169.89),(13 132243.28),(14 135737.25),(15 139289.6),(16 139667.94),(17 137589.89),(18 137082.14),(19 140768.97),(20 141215.3),(21 138695.31),(22 137688.75),(23 140346.56),(24 145718.08),(25 150374.39),(26 152355.33),(27 151001.88),(28 149989.1),(29 152629.52),(30 157741.81),(31 162198.03),(32 164160.66),(33 163384.64),(34 164467.72),(35 170603.36),(36 176390.69),(37 178106.28),(38 178255.13),(39 178969.03),(40 180999.47),(41 183037.52),(42 185957.31),(43 188339.02),(44 188680.02),(45 188117.89),(46 189148.03),(47 191505.36),(48 194308.89),(49 198933.36),(50 202277.56),(51 205331.47),(52 207021.42),(53 206740.95),(54 208593.34),(55 212051.44),(56 213985.48),(57 214846.8),(58 216421.63),(59 218495.78),(60 220211.63),(61 221831.25),(62 223186.4),(63 223150.02),(64 223955.64),(65 225345.17),(66 225865.9),(67 226475.73),(68 227540.48),(69 227642.9),(70 225376.38),(71 222784.45),(72 222480.03),(73 222813.5),(74 223327.88),(75 222547.78),(76 222824.42),(77 223719.16),(78 222792.5),(79 221442.69),
(1 26411.016),(2 61126.582),(3 86701.664),(4 92770.6),(5 96319.78),(6 98704.39),(7 104798.63),(8 109564.85),(9 114867.84),(10 117843.85),(11 120260.76),(12 121640.516),(13 122527.66),(14 125704.26),(15 129403.2),(16 131113.81),(17 134164.44),(18 137344.9),(19 139841.67),(20 142306.78),(21 145970.98),(22 149124.7),(23 151439.22),(24 156099.63),(25 162125.1),(26 164547.67),(27 162543.4),(28 161907.52),(29 168009.94),(30 172994.33),(31 172368.69),(32 173894.61),(33 178267.63),(34 182268.81),(35 187017.7),(36 193371.19),(37 199394.33),(38 202733.97),(39 203096.17),(40 204368.36),(41 206041.97),(42 208447.38),(43 209851.58),(44 210319.28),(45 211827.39),(46 214462.3),(47 217230.94),(48 217553.13),(49 218206.48),(50 218697.27),(51 219022.94),(52 219734.48),(53 220938.6),(54 222608.86),(55 222795.88),(56 223182.08),(57 226743.89),(58 229416.47),(59 226531.08),(60 223884.08),(61 225685),(62 229978.13),(63 233588.73),(64 236819.4),(65 239463.53),(66 240092.38),(67 241060.48),(68 244324.92),(69 245781.77),(70 244580.19),(71 242061.83),(72 240771.47),(73 241275.89),(74 241951.97),(75 242799.11),(76 242380.67),(77 239786.53),(78 234901.86),(79 229371.11),
(1 27161.396),(2 63341.406),(3 87083.81),(4 88544.71),(5 87495.805),(6 91621.39),(7 101206.98),(8 107951.88),(9 111900.92),(10 112574.06),(11 114419.78),(12 117609.26),(13 120351.35),(14 121026.484),(15 120660.195),(16 121725.516),(17 125194.42),(18 129631.75),(19 132996.66),(20 134614.19),(21 134128.86),(22 133427.56),(23 136504.83),(24 140970.16),(25 142057.06),(26 140106.63),(27 139493.44),(28 144611.78),(29 151579.67),(30 152229.63),(31 151080.89),(32 153834.11),(33 158428.48),(34 159977.5),(35 160821.2),(36 163655.03),(37 166137.08),(38 167547.03),(39 167835.86),(40 168369.75),(41 169528.17),(42 171372.06),(43 174162.94),(44 175538.28),(45 177362.78),(46 179256.22),(47 180609.89),(48 180485.98),(49 181076.67),(50 181813.28),(51 182841.27),(52 183586.02),(53 185729.77),(54 187369.27),(55 186761.38),(56 186057.53),(57 187290.97),(58 187060.08),(59 185107.25),(60 185961.08),(61 189852.55),(62 193783.28),(63 195867.05),(64 195657.84),(65 195776.34),(66 197097.9),(67 199726.38),(68 202611.39),(69 203400.53),(70 203449.45),(71 204296.08),(72 206084.56),(73 206814.28),(74 205993.13),(75 206837.2),(76 207669.36),(77 206470.34),(78 204742.44),(79 202244.14),
(1 25806.262),(2 60444.344),(3 82970.81),(4 86934.26),(5 88376.64),(6 90425.59),(7 95121.734),(8 99097.7),(9 101483.36),(10 102059.16),(11 104635.09),(12 108975.22),(13 111507.95),(14 112907.4),(15 115760.41),(16 118851.18),(17 122220.73),(18 124629.11),(19 126069.49),(20 127224.734),(21 128664.67),(22 131333.22),(23 133599.11),(24 134209),(25 134758.38),(26 135212.94),(27 136131.86),(28 141683.77),(29 147307.19),(30 148940.8),(31 150529.73),(32 156746.48),(33 163216.64),(34 166262.17),(35 167570.52),(36 168744.06),(37 169908.86),(38 170639.06),(39 172164.63),(40 176317.98),(41 178712.63),(42 179466.66),(43 179187.86),(44 180698.92),(45 184162.23),(46 187200.63),(47 188034.72),(48 187701.45),(49 188338.05),(50 190124.95),(51 192298.63),(52 194253.05),(53 195188.98),(54 194408.92),(55 195468.9),(56 198516.06),(57 200799.52),(58 199325.77),(59 197012.08),(60 198525.28),(61 203337.25),(62 209391.19),(63 212244.77),(64 212138.98),(65 213036.3),(66 215043.56),(67 217766.48),(68 219732.48),(69 220190.4),(70 219951.98),(71 219424.61),(72 219302.53),(73 218985.48),(74 217951.72),(75 216408.81),(76 212386.95),(77 210127.5),(78 209330.73),(79 207252.48),
(1 26517.305),(2 62596.055),(3 85850.71),(4 90547.06),(5 92807.53),(6 96279.484),(7 100945.836),(8 103742.25),(9 104109.53),(10 102437.15),(11 103091.766),(12 106700),(13 111292.38),(14 114016.555),(15 116567.695),(16 119698.74),(17 123512.15),(18 125120.91),(19 122508.33),(20 120071.62),(21 120920.27),(22 123857.664),(23 125696.04),(24 125175.04),(25 123065.65),(26 122581.95),(27 126712.55),(28 133351.02),(29 139019.27),(30 139749.4),(31 138560.28),(32 140570.22),(33 145231.95),(34 149871.2),(35 152260.67),(36 153494.58),(37 154173.84),(38 154564.69),(39 155074.5),(40 158798.6),(41 164001.03),(42 168034.52),(43 169519.92),(44 168551.52),(45 168497.45),(46 170650.25),(47 174274.05),(48 174616.33),(49 173964.5),(50 174518.47),(51 176159.95),(52 178451.61),(53 180462.67),(54 182029.52),(55 182688.6),(56 183413.6),(57 185736.03),(58 186656.19),(59 184366.28),(60 182543.23),(61 183805.2),(62 188095.72),(63 190684.4),(64 190865.06),(65 191194.39),(66 191076.03),(67 190465.56),(68 190596.44),(69 190033.81),(70 189036.19),(71 189360.66),(72 191895.67),(73 193305.45),(74 192398.06),(75 191110.3),(76 188703.64),(77 186802.23),(78 182962.9),(79 180583.5),
(1 26189.809),(2 62641.434),(3 85987.086),(4 89824.336),(5 89626.8),(6 91819.16),(7 97814.586),(8 102756.33),(9 103944.336),(10 101378.836),(11 100574.1),(12 103701.97),(13 109283.05),(14 113099.43),(15 115563.5),(16 117552.79),(17 121325.33),(18 123525.336),(19 122580.48),(20 122226.36),(21 123262.82),(22 124999.664),(23 126689.484),(24 125730.13),(25 125590.016),(26 128418.92),(27 133016.45),(28 136873.84),(29 139757.08),(30 139008.86),(31 136591.13),(32 137020.33),(33 140449.84),(34 144867.2),(35 149146.03),(36 150870.89),(37 151601.02),(38 155181.02),(39 158100.75),(40 160685.4),(41 164183.36),(42 169524.03),(43 170404.16),(44 166370.06),(45 162322.52),(46 162327.64),(47 163984.45),(48 163698.2),(49 165729.17),(50 170432.56),(51 176087.53),(52 178167.75),(53 177252.42),(54 177817.44),(55 180373.58),(56 181338.17),(57 181497.8),(58 181637.95),(59 180393.06),(60 179889.89),(61 182502.75),(62 185707.48),(63 185994.2),(64 186365.16),(65 188369.16),(66 189449.03),(67 190683.66),(68 191745.55),(69 191722.02),(70 192819.73),(71 195253.2),(72 195531.31),(73 193272.08),(74 192213.78),(75 193053.1),(76 194303.84),(77 191944.66),(78 188286.98),(79 187050.06),
(1 25683.541),(2 63077.406),(3 86687.45),(4 89903.47),(5 88487.734),(6 89543.63),(7 94005.23),(8 97982.45),(9 98169.75),(10 96028.13),(11 97165.72),(12 102701.85),(13 109847.58),(14 114112.055),(15 115868.875),(16 115785.78),(17 117187.02),(18 117836.65),(19 115782.73),(20 115115.164),(21 118299.305),(22 122097.805),(23 123523.41),(24 122262.76),(25 120936.06),(26 120746.984),(27 121921.086),(28 124696.91),(29 128888.11),(30 133157.06),(31 135111.75),(32 135738.5),(33 138684.5),(34 140441.52),(35 139884.45),(36 140152.92),(37 140058.22),(38 140295.23),(39 142158.34),(40 145616.03),(41 149918.1),(42 152141.36),(43 151545.36),(44 150182.38),(45 150920.28),(46 153176.08),(47 155148.3),(48 156279.69),(49 157153.53),(50 157887.83),(51 159414.69),(52 161536.89),(53 163613.75),(54 165122.58),(55 166685.3),(56 168153.48),(57 170072.13),(58 170010.02),(59 167266.67),(60 167061.03),(61 170081.94),(62 173282.8),(63 176373.34),(64 179691.67),(65 182442.44),(66 182412.77),(67 182125.8),(68 181011.73),(69 180176.64),(70 181404.39),(71 183976.53),(72 183920.6),(73 182035.19),(74 179632.47),(75 179462.08),(76 178310.16),(77 177532.56),(78 176219.7),(79 174494.16),
(1 24582.54),(2 60787.12),(3 83296.11),(4 84332.65),(5 79812.09),(6 78017.69),(7 81260.53),(8 88294.09),(9 91931.875),(10 90894.66),(11 91018.055),(12 96502.086),(13 102543.3),(14 107317.95),(15 109718.61),(16 109096.29),(17 108334.25),(18 108627.62),(19 109711.86),(20 113269.49),(21 116896.4),(22 118788.05),(23 119473.37),(24 119445.09),(25 120326.46),(26 122566.47),(27 124643.16),(28 124811.27),(29 124405.84),(30 128013.59),(31 132048.42),(32 133609.2),(33 134715.33),(34 135735.66),(35 137114.98),(36 139612.22),(37 140362.16),(38 140430.28),(39 143248.28),(40 149002.3),(41 152119.03),(42 153751.25),(43 153610.2),(44 151823.78),(45 151871.64),(46 156638.14),(47 161879.53),(48 164349.95),(49 165246.94),(50 164851.48),(51 165248.17),(52 165665.73),(53 165161.88),(54 165644.72),(55 167050.55),(56 168576.36),(57 170770.11),(58 172340.52),(59 172070.67),(60 172489.7),(61 172851.5),(62 173616.58),(63 176206.17),(64 179542.23),(65 180324.52),(66 178738.11),(67 178830.03),(68 179427.66),(69 178748.84),(70 178170.06),(71 178794.73),(72 179327.67),(73 179292.61),(74 177794.45),(75 176685.4),(76 175732.81),(77 174769.17),(78 173439.88),(79 170925.08),
(1 24296.605),(2 57749.016),(3 76251.87),(4 76796.22),(5 73077.13),(6 72963.305),(7 76241.42),(8 82012.41),(9 85923.484),(10 86532.484),(11 87921.59),(12 91025.28),(13 94117.03),(14 97329.52),(15 99794.62),(16 102024),(17 103295.59),(18 103416.77),(19 103863.53),(20 106765.234),(21 109804.91),(22 112341.664),(23 112065.01),(24 109164.93),(25 106633.266),(26 108026.516),(27 111228.91),(28 115044.8),(29 116934.016),(30 119257.58),(31 122381.336),(32 122403.32),(33 123341.62),(34 125770.125),(35 128481),(36 132415.17),(37 134706.47),(38 133770.31),(39 132964.42),(40 135712.9),(41 140669.06),(42 145752.72),(43 148470.77),(44 148988.78),(45 149174.4),(46 149876.42),(47 150395.3),(48 151406.92),(49 153519.34),(50 154507.03),(51 155366.5),(52 155237.9),(53 155522.44),(54 156352.34),(55 158547.5),(56 159573.27),(57 159906.73),(58 158812.72),(59 156869.48),(60 156685.36),(61 157106.11),(62 158043.4),(63 158649.28),(64 159178.06),(65 160193.08),(66 160265.84),(67 161241.44),(68 161064.6),(69 159093.31),(70 159281),(71 160850.03),(72 162319.95),(73 162139.78),(74 161398.77),(75 161967.84),(76 160857.94),(77 159084.9),(78 158693.73),(79 158110.23),
(1 23188.36),(2 54727.977),(3 70630.17),(4 69874.09),(5 67331.05),(6 69208.67),(7 74106.65),(8 78891.13),(9 81643.516),(10 82411.05),(11 83577.195),(12 87350.234),(13 91687.44),(14 94464.36),(15 96944.69),(16 98765.414),(17 99491.55),(18 98140.44),(19 97817.17),(20 98793.84),(21 101809.1),(22 105313.75),(23 105806.67),(24 104001.32),(25 105120.64),(26 109073.77),(27 112243.76),(28 114027.82),(29 115582.79),(30 118858.63),(31 120098.73),(32 119613.32),(33 121880.73),(34 126858.09),(35 128786.86),(36 129595.86),(37 131964.61),(38 133522.06),(39 134673.4),(40 136857.05),(41 139392.97),(42 141828.3),(43 143663.84),(44 145783.55),(45 146097.98),(46 143588.67),(47 142408.55),(48 141952.63),(49 143390.53),(50 145719.23),(51 147853.38),(52 149482.08),(53 149530.9),(54 149686.5),(55 152056.78),(56 155016.67),(57 156368.25),(58 155787.48),(59 155960.77),(60 155947.06),(61 156780.6),(62 158467.97),(63 159497.86),(64 161705.14),(65 165071.03),(66 166721.88),(67 165247.03),(68 162471.89),(69 161996.63),(70 163389.14),(71 164802.06),(72 166121.13),(73 166279.06),(74 165580.08),(75 162588.48),(76 158848.34),(77 158295.48),(78 158383.19),(79 156184.19),
(1 22349.232),(2 52525.566),(3 67496.445),(4 68457.71),(5 66627.58),(6 66432.4),(7 71517.836),(8 77602.39),(9 80214.08),(10 80806.39),(11 81551.664),(12 82600.53),(13 83472.4),(14 86449.45),(15 89522.875),(16 92397.695),(17 94021.836),(18 94727.016),(19 95456.93),(20 96385.32),(21 97340.22),(22 98343.64),(23 98650.984),(24 97307.055),(25 97358.18),(26 100587.836),(27 103571.68),(28 105304.38),(29 108207.44),(30 111370.02),(31 113485.99),(32 114966.46),(33 117562.24),(34 119517.7),(35 120129.6),(36 121319.49),(37 122532.78),(38 124896.195),(39 127445.36),(40 129983.41),(41 133412.8),(42 136516.56),(43 139631.7),(44 140572.36),(45 139572.16),(46 139206.19),(47 139809.67),(48 141937.44),(49 146010.5),(50 148447.7),(51 148696.63),(52 149604.1),(53 150969.1),(54 150840.88),(55 152221.7),(56 154983.92),(57 155914.39),(58 155091.14),(59 153833.4),(60 154456.98),(61 156227.48),(62 157230.17),(63 156977.42),(64 156928.47),(65 159227.14),(66 161207.2),(67 162133.94),(68 160731.97),(69 158122.47),(70 156876.31),(71 157687.23),(72 158364.11),(73 158367.02),(74 158705.11),(75 156937.98),(76 156089.61),(77 154711.67),(78 153803),(79 153167.48),
