1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 432386.16),(2 1674917),(3 3623847.3),(4 6234372.5),(5 9296859),(6 12606337),(7 16028977),(8 19484614),(9 23545232),(10 27542736),(11 31627210),(12 36026012),(13 40828144),(14 46010916),(15 51673684),(16 57781676),(17 64517228),(18 71526060),(19 78580824),(20 85621690),(21 92265384),(22 98555384),(23 104533224),(24 110209880),(25 115574910),(26 120657770),(27 125079360),(28 129382056),(29 133978696),(30 138760940),(31 144133260),(32 149867250),(33 155532740),(34 161094800),(35 166982380),(36 173390240),(37 180857680),(38 188309760),(39 196345600),(40 204814460),(41 213527100),(42 222109620),(43 231156910),(44 240656460),(45 251220820),(46 262911820),(47 275538270),(48 289458500),(49 304869980),(50 320672800),(51 335268860),(52 349888830),(53 363873120),(54 378741020),(55 394534300),(56 411170430),(57 429607040),(58 448189440),(59 466394100),(60 483573980),(61 501690140),(62 519324400),(63 537924300),(64 556693570),(65 575319230),(66 594368600),(67 611857900),(68 628852160),(69 645859500),(70 661636350),(71 677702900),(72 695090300),(73 714512450),(74 734454000),(75 755209900),(76 775533060),(77 796151040),(78 815628600),(79 833647400),
(1 776788.3),(2 3061894.5),(3 6797712),(4 11954349),(5 18172118),(6 25251882),(7 33137868),(8 41646560),(9 50777124),(10 60112190),(11 69696216),(12 79318520),(13 88995130),(14 98717840),(15 108536980),(16 118485170),(17 128690920),(18 138856460),(19 149049740),(20 159207180),(21 168976580),(22 178352220),(23 187524080),(24 196500320),(25 205621940),(26 214553250),(27 223223200),(28 231345820),(29 239813630),(30 249028600),(31 258582350),(32 267612670),(33 276138750),(34 284111650),(35 291874500),(36 299733280),(37 307493470),(38 313994900),(39 319534140),(40 324555360),(41 328502460),(42 331731940),(43 334458880),(44 336639400),(45 338341100),(46 339700900),(47 341233440),(48 342741860),(49 344051800),(50 344927420),(51 344884060),(52 344456160),(53 343895700),(54 343675330),(55 343623940),(56 343797440),(57 344055740),(58 343789820),(59 343712500),(60 343670700),(61 344302100),(62 345601920),(63 347441200),(64 349321500),(65 351413860),(66 353848260),(67 356491170),(68 359314940),(69 361512500),(70 363526080),(71 365564220),(72 367538370),(73 370062820),(74 373749470),(75 377554100),(76 381041730),(77 384381250),(78 387912450),(79 391858500),
(1 1084232.6),(2 4265008),(3 9354213),(4 16129332),(5 24314142),(6 33672388),(7 43858176),(8 54502036),(9 65574732),(10 76838700),(11 88435416),(12 99921450),(13 111170216),(14 122350730),(15 133141336),(16 143737020),(17 153787150),(18 163439420),(19 173127000),(20 182407040),(21 190806350),(22 198461060),(23 205357780),(24 211269180),(25 216503950),(26 221367150),(27 225529300),(28 229070900),(29 232552110),(30 236389970),(31 240234300),(32 243663310),(33 247213700),(34 250609920),(35 254445120),(36 259268420),(37 264889070),(38 270358700),(39 276267420),(40 282075100),(41 287660060),(42 293451100),(43 299569570),(44 306295330),(45 312726530),(46 319258020),(47 325873470),(48 332433060),(49 338485950),(50 344051620),(51 349676740),(52 355314460),(53 360892400),(54 365940480),(55 370677540),(56 374897060),(57 378733060),(58 382108640),(59 385605920),(60 388637340),(61 391909900),(62 395809400),(63 400054700),(64 403787170),(65 406757020),(66 408796830),(67 410963940),(68 412978530),(69 414534820),(70 415433600),(71 415525100),(72 414814850),(73 414101250),(74 413175650),(75 411660900),(76 409620130),(77 407403300),(78 404756380),(79 401520670),
(1 1214856.4),(2 4694254),(3 10103906),(4 17150816),(5 25563166),(6 35037584),(7 45247490),(8 55947440),(9 67140420),(10 78523430),(11 90452040),(12 102795590),(13 115069060),(14 127546024),(15 139919900),(16 152315580),(17 164495940),(18 176795400),(19 189249860),(20 201243420),(21 212942450),(22 223784260),(23 233952620),(24 243245970),(25 252202690),(26 260927420),(27 269072670),(28 276051600),(29 282466600),(30 288281250),(31 293972640),(32 299628500),(33 304812260),(34 309939200),(35 315031700),(36 320553100),(37 326480160),(38 333107260),(39 340329730),(40 346877570),(41 353350080),(42 359354340),(43 365005540),(44 370832640),(45 376367330),(46 381500300),(47 386268540),(48 391008400),(49 395380300),(50 398854700),(51 401657060),(52 403919070),(53 405337380),(54 406002660),(55 406308740),(56 406035870),(57 405191070),(58 403490340),(59 400245280),(60 395586300),(61 390160400),(62 384414400),(63 378144350),(64 371397700),(65 364129000),(66 356331970),(67 348258600),(68 340054850),(69 331433600),(70 322893300),(71 314216500),(72 305910560),(73 297732580),(74 289892580),(75 282602660),(76 275608480),(77 268625400),(78 261326160),(79 253911220),
(1 973598.94),(2 3786377.5),(3 8268816.5),(4 14342230),(5 21916384),(6 30709694),(7 40373212),(8 50629616),(9 61268890),(10 71998610),(11 82622230),(12 92870200),(13 102230880),(14 110889820),(15 119018140),(16 126466690),(17 133068700),(18 138969840),(19 144343920),(20 149066300),(21 152878370),(22 156166670),(23 159050430),(24 161205310),(25 162759170),(26 163815220),(27 164445680),(28 164446660),(29 164225780),(30 164028270),(31 163739090),(32 163364960),(33 162994420),(34 162687040),(35 162664160),(36 163166400),(37 164250610),(38 165882670),(39 168407460),(40 171638130),(41 175731440),(42 180316620),(43 185315440),(44 190452240),(45 195283220),(46 200180780),(47 204512210),(48 208623300),(49 212290750),(50 215544880),(51 218153230),(52 220317140),(53 221814130),(54 222522980),(55 223000740),(56 222837100),(57 222282430),(58 221358540),(59 219383860),(60 216520050),(61 213120780),(62 209285470),(63 205023900),(64 200466190),(65 195394860),(66 190068350),(67 184698060),(68 179655070),(69 174738960),(70 170429890),(71 166607340),(72 163408270),(73 160480240),(74 158256200),(75 156887950),(76 156108720),(77 155601260),(78 154884200),(79 154074660),
(1 954604.8),(2 3655108.8),(3 7894557),(4 13399629),(5 19774212),(6 26658372),(7 33645030),(8 40582120),(9 47282170),(10 53557560),(11 59089304),(12 63545332),(13 66897944),(14 69435864),(15 71331440),(16 72671190),(17 73493200),(18 74248150),(19 75062120),(20 75967530),(21 77068190),(22 78653224),(23 80704216),(24 82515380),(25 83970880),(26 85140420),(27 85817520),(28 85653490),(29 85172990),(30 84726970),(31 84258800),(32 83962580),(33 84332240),(34 85325580),(35 86534140),(36 87629224),(37 88841016),(38 90122650),(39 91232590),(40 92261680),(41 93060910),(42 93942230),(43 94745450),(44 95271890),(45 95620420),(46 96077010),(47 96799210),(48 97797970),(49 99242480),(50 101111340),(51 103239864),(52 105731600),(53 108288320),(54 111044376),(55 113762260),(56 116578180),(57 119560490),(58 122477544),(59 125163864),(60 127787304),(61 130303860),(62 132436200),(63 133968110),(64 135168000),(65 136128200),(66 136915150),(67 137560500),(68 137890080),(69 137770240),(70 137292800),(71 136556430),(72 136249000),(73 136179920),(74 135921760),(75 135881120),(76 135797400),(77 135498190),(78 134749440),(79 133525570),
(1 786311),(2 2924494.3),(3 6078759),(4 9951965),(5 14288190),(6 18883406),(7 23431336),(8 27846856),(9 31802844),(10 35173172),(11 38133744),(12 40653440),(13 42848044),(14 44971624),(15 46958692),(16 49022612),(17 51097160),(18 53222790),(19 55355270),(20 57265564),(21 59023536),(22 60724016),(23 62408452),(24 64232508),(25 66121730),(26 68207430),(27 70210424),(28 71705650),(29 72863736),(30 74009976),(31 75367464),(32 76665496),(33 77803820),(34 78686090),(35 79334480),(36 79845380),(37 80184010),(38 80743290),(39 81571400),(40 82295180),(41 83075370),(42 83724150),(43 84417810),(44 85102150),(45 85572856),(46 85787310),(47 85602640),(48 85055660),(49 84324296),(50 83594120),(51 82940660),(52 82091060),(53 80993850),(54 79805970),(55 78572080),(56 77513840),(57 76618310),(58 75900320),(59 75266860),(60 74593390),(61 73915000),(62 73100960),(63 72368264),(64 71807980),(65 71264070),(66 71037864),(67 71079944),(68 71090810),(69 70995570),(70 71005704),(71 70970670),(72 70788240),(73 70501240),(74 70415510),(75 70714530),(76 71199520),(77 71682020),(78 72142460),(79 72342984),
(1 775770.7),(2 2880324),(3 5995454),(4 9893183),(5 14304791),(6 18878342),(7 23410524),(8 27870122),(9 31917294),(10 35417890),(11 38229324),(12 40465800),(13 42369332),(14 44157704),(15 45832840),(16 47458250),(17 48911430),(18 50066280),(19 50965530),(20 51721852),(21 52348084),(22 52895064),(23 53236212),(24 53470570),(25 53492880),(26 53339250),(27 53058560),(28 52789360),(29 52434988),(30 52272936),(31 52463636),(32 53166530),(33 54388644),(34 56005076),(35 58066300),(36 60572736),(37 63324544),(38 66196188),(39 68979180),(40 71567930),(41 74084620),(42 76334650),(43 78366376),(44 80209576),(45 81870560),(46 83189500),(47 84250770),(48 85209000),(49 85899704),(50 86426080),(51 86543256),(52 86331064),(53 85785900),(54 85090990),(55 83992080),(56 82767390),(57 81670230),(58 80856680),(59 80354060),(60 79913816),(61 79537920),(62 79110810),(63 78833800),(64 78667770),(65 78364310),(66 77847540),(67 76988020),(68 75763960),(69 74340830),(70 72568210),(71 70389270),(72 67847760),(73 65256584),(74 62950810),(75 61091484),(76 59820744),(77 59036220),(78 58537870),(79 58064764),
(1 730488.94),(2 2750375),(3 5723852),(4 9233705),(5 12802988),(6 16261764),(7 19554480),(8 22687774),(9 25511204),(10 27980206),(11 30061194),(12 31773960),(13 33137924),(14 34153776),(15 34930100),(16 35517172),(17 35945468),(18 36352070),(19 36729012),(20 36974540),(21 36913796),(22 36636188),(23 36072836),(24 35324410),(25 34445384),(26 33522696),(27 32679984),(28 32258672),(29 32290048),(30 32796502),(31 34020180),(32 36028170),(33 38583704),(34 41341284),(35 43973620),(36 46290144),(37 48212280),(38 49417524),(39 49879132),(40 49758636),(41 49113630),(42 48135188),(43 46794588),(44 45095604),(45 43137060),(46 41020484),(47 38910790),(48 37084604),(49 35671370),(50 34605850),(51 33879570),(52 33545946),(53 33613824),(54 34104440),(55 34844204),(56 35778016),(57 36869980),(58 38181250),(59 39720972),(60 41401476),(61 43252984),(62 45211120),(63 47219740),(64 49264856),(65 51385624),(66 53492000),(67 55530350),(68 57485536),(69 59572224),(70 61320572),(71 62622830),(72 63322532),(73 63354510),(74 62833120),(75 61743600),(76 60265784),(77 58444828),(78 56218976),(79 53702604),
(1 676519.4),(2 2531389.5),(3 5167067),(4 8153327),(5 11142972),(6 14011467),(7 16668158),(8 19076778),(9 21120248),(10 22842460),(11 24285852),(12 25455192),(13 26485632),(14 27412280),(15 28223384),(16 28936078),(17 29503468),(18 29946794),(19 30155144),(20 30092232),(21 29682986),(22 28963698),(23 27976920),(24 26943864),(25 26049712),(26 25400846),(27 25034890),(28 24984512),(29 25214978),(30 25757508),(31 26571602),(32 27587492),(33 28680544),(34 29732326),(35 30690616),(36 31506482),(37 32078236),(38 32317056),(39 32359250),(40 32264952),(41 32123982),(42 31912904),(43 31699990),(44 31569348),(45 31498314),(46 31478606),(47 31473800),(48 31485856),(49 31409116),(50 31191768),(51 30806962),(52 30359986),(53 29794906),(54 29191480),(55 28697234),(56 28378340),(57 28214188),(58 28273464),(59 28559648),(60 29178894),(61 30121624),(62 31281814),(63 32600362),(64 33904640),(65 35065910),(66 36025230),(67 36660644),(68 36883204),(69 36700260),(70 36277016),(71 35758896),(72 35241416),(73 34625180),(74 33872668),(75 32955350),(76 31991210),(77 30952182),(78 30007240),(79 29254806),
(1 626786.4),(2 2268420.8),(3 4520582.5),(4 7085284.5),(5 9695844),(6 12224040),(7 14634273),(8 16929872),(9 19053730),(10 21041350),(11 22933956),(12 24915912),(13 26989328),(14 28991776),(15 30810778),(16 32326430),(17 33634636),(18 34911460),(19 35898250),(20 36352724),(21 35990680),(22 35037050),(23 33635884),(24 32142600),(25 30768046),(26 29632916),(27 28731354),(28 28012306),(29 27420954),(30 26891390),(31 26309882),(32 25699392),(33 25162344),(34 24725104),(35 24371328),(36 24065622),(37 23756030),(38 23505676),(39 23378304),(40 23443828),(41 23641366),(42 24036694),(43 24553204),(44 25069204),(45 25595590),(46 26207410),(47 26667076),(48 26968136),(49 27193510),(50 27296120),(51 27270736),(52 27115068),(53 26747534),(54 26255664),(55 25770236),(56 25400378),(57 25223800),(58 25358644),(59 25796944),(60 26426602),(61 27206434),(62 28043684),(63 28928912),(64 29818964),(65 30665626),(66 31484912),(67 32208042),(68 32888520),(69 33396284),(70 33637504),(71 33742480),(72 33837370),(73 34022296),(74 34258428),(75 34477916),(76 34618180),(77 34608060),(78 34566444),(79 34350136),
