1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 182213.13),(2 667266.56),(3 1438462.1),(4 2441031.5),(5 3599467.3),(6 4935440.5),(7 6388870.5),(8 7955724.5),(9 9629229),(10 11321773),(11 12964251),(12 14694816),(13 16535397),(14 18594666),(15 20802070),(16 23141662),(17 25647750),(18 28206742),(19 30909590),(20 33700350),(21 36620532),(22 39861908),(23 43354012),(24 47102348),(25 51183956),(26 55287684),(27 59520252),(28 63900020),(29 68925064),(30 74950440),(31 82186490),(32 90337370),(33 98323030),(34 106546504),(35 115123256),(36 123917530),(37 133097660),(38 142282300),(39 151599220),(40 161342510),(41 170954190),(42 180980860),(43 191133000),(44 200980590),(45 211368960),(46 221447630),(47 231930420),(48 242176750),(49 252710530),(50 262518800),(51 272119520),(52 280696500),(53 288894300),(54 296926100),(55 305202000),(56 313332580),(57 321929380),(58 330092130),(59 338061020),(60 345782240),(61 353467420),(62 360411680),(63 367299100),(64 373212160),(65 379160220),(66 384839070),(67 390397800),(68 395438240),(69 400808480),(70 406129540),(71 411518560),(72 416028200),(73 421196500),(74 426008480),(75 430929060),(76 435337730),(77 439562750),(78 442947330),(79 445867520),
(1 280580.06),(2 1071310.4),(3 2330765.5),(4 3955631.3),(5 5884087),(6 8145490.5),(7 10607135),(8 13157294),(9 15922515),(10 18803252),(11 21657290),(12 24773120),(13 27895526),(14 31405004),(15 35124160),(16 38813300),(17 42684004),(18 46449944),(19 50262732),(20 54229784),(21 58124630),(22 62355916),(23 66380160),(24 70295340),(25 74350610),(26 78236760),(27 81912230),(28 85430190),(29 89103920),(30 93436390),(31 97849310),(32 102466540),(33 106762580),(34 111010840),(35 114927464),(36 118769410),(37 122552960),(38 126045900),(39 129496270),(40 132904660),(41 136144220),(42 139308640),(43 142758560),(44 146082200),(45 149578880),(46 153264380),(47 157334820),(48 161206350),(49 164966400),(50 168485460),(51 171377810),(52 173776020),(53 175773700),(54 177378530),(55 178857420),(56 180153550),(57 181472430),(58 182644020),(59 183793400),(60 184729260),(61 185627800),(62 186588000),(63 187104430),(64 187492200),(65 187595340),(66 187585280),(67 187425650),(68 186840350),(69 186168030),(70 185168900),(71 183884640),(72 182472000),(73 180872220),(74 178925630),(75 177130700),(76 175281500),(77 173682270),(78 172025380),(79 170290640),
(1 375686.84),(2 1451870),(3 3204558),(4 5521434),(5 8252074.5),(6 11515823),(7 15017221),(8 18702632),(9 22721560),(10 27009158),(11 31373392),(12 36191680),(13 41252596),(14 46554700),(15 52055748),(16 57598676),(17 63366076),(18 69027120),(19 74645550),(20 80141176),(21 85549030),(22 90996330),(23 96128410),(24 101116000),(25 106102170),(26 111076840),(27 115939944),(28 120510200),(29 125090310),(30 129455680),(31 133757784),(32 138039740),(33 142131980),(34 145996110),(35 149617900),(36 152911150),(37 155868480),(38 158621540),(39 161161460),(40 163387820),(41 165066540),(42 166467840),(43 167903890),(44 169222960),(45 170545220),(46 171510340),(47 172417020),(48 173026130),(49 173386750),(50 173299150),(51 172958220),(52 172262610),(53 171308720),(54 169823340),(55 168206670),(56 166136210),(57 163822000),(58 161314220),(59 158596930),(60 155343940),(61 151999360),(62 148700370),(63 145375280),(64 141772100),(65 138127760),(66 134178776),(67 130355710),(68 126516860),(69 122844970),(70 119411840),(71 115969880),(72 112967870),(73 110178090),(74 107567016),(75 105679320),(76 104245700),(77 103063070),(78 102234456),(79 101637544),
(1 470476.78),(2 1829549.4),(3 4046020),(4 6898866.5),(5 10320727),(6 14324982),(7 18613364),(8 23094408),(9 28033146),(10 33264508),(11 38500450),(12 44012590),(13 49553244),(14 55193776),(15 60575516),(16 65644370),(17 70666560),(18 75382984),(19 79829976),(20 84114350),(21 88122680),(22 92058650),(23 95685920),(24 99028010),(25 102305690),(26 105482184),(27 108440480),(28 111091840),(29 113534984),(30 115830056),(31 117669540),(32 119135220),(33 120221570),(34 121065950),(35 121735640),(36 122440960),(37 123032800),(38 123580104),(39 123967090),(40 124130560),(41 123896120),(42 123471730),(43 122881960),(44 122052010),(45 120982870),(46 119860550),(47 118485950),(48 116888050),(49 115011736),(50 112854890),(51 110575800),(52 108102860),(53 105648130),(54 102838170),(55 100007816),(56 97106136),(57 93934430),(58 90701700),(59 87335780),(60 83858650),(61 80651630),(62 77579290),(63 74629064),(64 71890590),(65 69188050),(66 66701256),(67 64503296),(68 62590820),(69 60886416),(70 59446870),(71 58239376),(72 57332052),(73 56573240),(74 56063124),(75 55888330),(76 55984524),(77 56389148),(78 57040050),(79 57829760),
(1 657737.1),(2 2568916.3),(3 5719411.5),(4 9807473),(5 14799892),(6 20666182),(7 26913664),(8 33421422),(9 40609520),(10 48144240),(11 55611788),(12 63388996),(13 71065350),(14 78872210),(15 86218460),(16 93125020),(17 99891150),(18 106015210),(19 111643470),(20 116777820),(21 121450340),(22 125832240),(23 129475640),(24 132649910),(25 135361980),(26 137620350),(27 139370380),(28 140469040),(29 141220290),(30 141488220),(31 141312080),(32 140691300),(33 139551090),(34 138124080),(35 136552590),(36 134960400),(37 133306140),(38 131687730),(39 129923256),(40 128296320),(41 126617190),(42 124899256),(43 123224220),(44 121655200),(45 120014590),(46 118329990),(47 116473860),(48 114501980),(49 112359030),(50 110145790),(51 107960550),(52 105842360),(53 103874590),(54 101998980),(55 100191350),(56 98406960),(57 96662300),(58 94934216),(59 93080350),(60 91182904),(61 89470216),(62 87937560),(63 86566050),(64 85461816),(65 84459064),(66 83453944),(67 82595336),(68 81873990),(69 81152010),(70 80627040),(71 80169290),(72 79975690),(73 79915420),(74 79985490),(75 80277176),(76 80819890),(77 81460070),(78 82051816),(79 82660570),
(1 335895.16),(2 1249416.3),(3 2658542.8),(4 4451203),(5 6531039),(6 8868172),(7 11308326),(8 13851222),(9 16516302),(10 19205286),(11 21815926),(12 24453846),(13 26965780),(14 29410132),(15 31603852),(16 33637876),(17 35560456),(18 37169320),(19 38630124),(20 39796930),(21 40846096),(22 41991784),(23 43058390),(24 44120960),(25 45250416),(26 46354856),(27 47308650),(28 48302280),(29 49253524),(30 50081092),(31 51012950),(32 52054250),(33 53090604),(34 54190910),(35 55388864),(36 56819700),(37 58431190),(38 60270250),(39 62252780),(40 64462540),(41 66767816),(42 69107336),(43 71324056),(44 73458740),(45 75514904),(46 77374480),(47 78989550),(48 80559360),(49 81958610),(50 83234460),(51 84396376),(52 85514650),(53 86484456),(54 87247370),(55 87829950),(56 88284370),(57 88605330),(58 88660456),(59 88396536),(60 87926680),(61 87229850),(62 86286670),(63 85295630),(64 84251320),(65 83246830),(66 82295120),(67 81342860),(68 80460430),(69 79547140),(70 78507280),(71 77417864),(72 76184560),(73 74920480),(74 73576776),(75 72038104),(76 70482296),(77 68928560),(78 67301080),(79 65691852),
(1 462949.47),(2 1771241.5),(3 3829467.8),(4 6410216.5),(5 9450617),(6 12912258),(7 16532431),(8 20268532),(9 24332036),(10 28500830),(11 32653368),(12 36752188),(13 40593810),(14 44085292),(15 47044824),(16 49456390),(17 51478800),(18 52974730),(19 54145624),(20 54993884),(21 55530348),(22 55840240),(23 55743076),(24 55425724),(25 54909770),(26 54292310),(27 53490196),(28 52534520),(29 51531812),(30 50486650),(31 49475028),(32 48603796),(33 47767630),(34 47128950),(35 46677156),(36 46377520),(37 46276804),(38 46305660),(39 46503400),(40 46796424),(41 47269870),(42 47912748),(43 48442890),(44 48985490),(45 49582910),(46 50155116),(47 50673556),(48 51256036),(49 51781732),(50 52211236),(51 52490010),(52 52651970),(53 52764676),(54 52833436),(55 52837680),(56 52762852),(57 52542976),(58 52229690),(59 51715850),(60 51065510),(61 50173824),(62 49117120),(63 47797572),(64 46334172),(65 44943812),(66 43496890),(67 42119280),(68 40683996),(69 39303990),(70 37984708),(71 36590330),(72 35289252),(73 34034130),(74 32844132),(75 31812920),(76 30841224),(77 30090072),(78 29515714),(79 29127140),
(1 338385.47),(2 1249526.5),(3 2615225.5),(4 4245129),(5 6094134),(6 8139900.5),(7 10267012),(8 12438788),(9 14795355),(10 17110866),(11 19331806),(12 21469522),(13 23393922),(14 25115340),(15 26509730),(16 27523016),(17 28330382),(18 28799492),(19 29092800),(20 29313854),(21 29370440),(22 29405566),(23 29352018),(24 29178624),(25 28986892),(26 28810986),(27 28621634),(28 28441900),(29 28363686),(30 28405798),(31 28563432),(32 28832256),(33 29138888),(34 29502890),(35 29919114),(36 30413572),(37 31016350),(38 31720524),(39 32561732),(40 33525758),(41 34522064),(42 35550970),(43 36467416),(44 37352780),(45 38262892),(46 39110148),(47 39849172),(48 40552468),(49 41153740),(50 41681560),(51 42104740),(52 42408440),(53 42593230),(54 42697090),(55 42643060),(56 42448380),(57 42134664),(58 41707904),(59 41191772),(60 40553692),(61 39780540),(62 38786708),(63 37656424),(64 36438348),(65 35130780),(66 33829336),(67 32570172),(68 31339226),(69 30178354),(70 29120568),(71 28169494),(72 27308914),(73 26526916),(74 25872392),(75 25392378),(76 25077756),(77 24932202),(78 24961578),(79 25130884),
(1 445140.44),(2 1689306),(3 3626133),(4 5981091),(5 8682471),(6 11680344),(7 14773821),(8 17846668),(9 21077268),(10 24246886),(11 27209852),(12 29942030),(13 32324468),(14 34439776),(15 36057572),(16 37250428),(17 38159630),(18 38728540),(19 38999500),(20 39104108),(21 39047444),(22 38867464),(23 38514850),(24 38120780),(25 37683964),(26 37240732),(27 36886844),(28 36561324),(29 36239384),(30 36003464),(31 35702076),(32 35501050),(33 35334880),(34 35265736),(35 35271940),(36 35316004),(37 35324960),(38 35304892),(39 35235748),(40 35159296),(41 35062228),(42 35020016),(43 35009800),(44 35077816),(45 35225840),(46 35412390),(47 35570296),(48 35754350),(49 35955556),(50 36129956),(51 36313264),(52 36493560),(53 36710180),(54 36977050),(55 37296708),(56 37564804),(57 37815296),(58 38055056),(59 38163744),(60 38234870),(61 38115588),(62 37841790),(63 37520440),(64 37107156),(65 36563116),(66 36017996),(67 35444750),(68 35002070),(69 34642000),(70 34299770),(71 34032390),(72 33744548),(73 33356024),(74 32913024),(75 32472026),(76 32056410),(77 31576656),(78 31132438),(79 30761988),
(1 486335.44),(2 1834331.1),(3 3918298.8),(4 6382673.5),(5 9153614),(6 12220380),(7 15337074),(8 18418308),(9 21667048),(10 24806616),(11 27635154),(12 30212074),(13 32336040),(14 34078180),(15 35268490),(16 36019180),(17 36405012),(18 36462170),(19 36304110),(20 35919836),(21 35398940),(22 34687470),(23 33896000),(24 33145576),(25 32505130),(26 31973256),(27 31577252),(28 31289088),(29 31126884),(30 31031576),(31 30918614),(32 30797198),(33 30562496),(34 30361280),(35 30210008),(36 30100846),(37 29974520),(38 29784968),(39 29572840),(40 29342072),(41 29186424),(42 29048424),(43 29019452),(44 29115174),(45 29267212),(46 29432546),(47 29508914),(48 29541198),(49 29625322),(50 29660268),(51 29636732),(52 29531666),(53 29296280),(54 29000632),(55 28662870),(56 28292068),(57 27911360),(58 27546654),(59 27194264),(60 26908208),(61 26592472),(62 26221128),(63 25804882),(64 25384930),(65 24937292),(66 24522436),(67 24132156),(68 23817952),(69 23553618),(70 23433604),(71 23439960),(72 23452888),(73 23548150),(74 23666874),(75 23809070),(76 24012542),(77 24155068),(78 24252216),(79 24310322),
(1 386537.25),(2 1435456),(3 2993848),(4 4793647),(5 6744606),(6 8842365),(7 10893606),(8 12875318),(9 14871634),(10 16694140),(11 18233900),(12 19524468),(13 20439198),(14 21052368),(15 21321578),(16 21386608),(17 21296332),(18 21101712),(19 20926650),(20 20828160),(21 20838912),(22 20954774),(23 21203620),(24 21573612),(25 22073770),(26 22657222),(27 23324126),(28 24008772),(29 24731166),(30 25413848),(31 25957208),(32 26394572),(33 26636852),(34 26741374),(35 26762504),(36 26737128),(37 26750202),(38 26795242),(39 26912518),(40 27090170),(41 27354154),(42 27671032),(43 28003802),(44 28322854),(45 28633438),(46 28872236),(47 29016084),(48 29047304),(49 28990090),(50 28967148),(51 28927396),(52 28833296),(53 28665600),(54 28424208),(55 28098452),(56 27746536),(57 27410480),(58 27068770),(59 26688022),(60 26281356),(61 25794370),(62 25224244),(63 24558584),(64 23887380),(65 23238128),(66 22583058),(67 21997422),(68 21453140),(69 21011830),(70 20659848),(71 20375488),(72 20230430),(73 20206842),(74 20285266),(75 20429488),(76 20678648),(77 21016386),(78 21359808),(79 21685800),
