1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 58842.574),(2 31528.922),(3 121242.664),(4 121859.53),(5 234717.33),(6 256879.36),(7 389852.88),(8 430593.72),(9 578805.3),(10 640119.6),(11 802896.7),(12 886735),(13 1068592.6),(14 1163564),(15 1339602.6),(16 1443457.5),(17 1652771.5),(18 1791450),(19 2013953.4),(20 2173581.8),(21 2429050.3),(22 2620841),(23 2881386.8),(24 3079138),(25 3361009),(26 3568547.3),(27 3884757),(28 4109508.8),(29 4424334.5),(30 4652320.5),(31 4953109.5),(32 5155605.5),(33 5455822),(34 5614805.5),(35 5831276.5),(36 5986150.5),(37 6217344),(38 6374432),(39 6577030.5),(40 6716812),(41 6918662.5),(42 7049838.5),(43 7212275.5),(44 7314622.5),(45 7440064.5),(46 7512197.5),(47 7616222.5),(48 7637705.5),(49 7712081.5),(50 7717224),(51 7768900),(52 7772518.5),(53 7829118),(54 7815086.5),(55 7873977.5),(56 7888916.5),(57 7971606.5),(58 7976929.5),(59 8047630.5),(60 8062290.5),(61 8134794.5),(62 8148311.5),(63 8249525.5),(64 8287009.5),(65 8409230),(66 8473760),(67 8596263),(68 8680116),(69 8829936),(70 8959995),(71 9165261),(72 9334968),(73 9524505),(74 9665278),(75 9878207),(76 9989256),(77 10145623),(78 10220636),(79 10346212),
(1 42612.445),(2 38482.664),(3 113049.19),(4 136193.83),(5 236839.05),(6 280739.34),(7 403018.66),(8 454776.7),(9 584200.5),(10 649123.7),(11 792819.9),(12 866679.6),(13 1011311),(14 1075480.3),(15 1212987.4),(16 1273019),(17 1419990.6),(18 1494887.3),(19 1661263.8),(20 1755262.8),(21 1957482.3),(22 2087181.4),(23 2310966.3),(24 2453791.3),(25 2695846.3),(26 2855715.5),(27 3109707.3),(28 3277392.5),(29 3550357.5),(30 3727161.5),(31 4005018),(32 4167968.8),(33 4431385),(34 4576997),(35 4815364),(36 4973450.5),(37 5223954),(38 5366810.5),(39 5596652),(40 5719594.5),(41 5934990),(42 6040277),(43 6238280),(44 6318513),(45 6474602.5),(46 6520103),(47 6634728),(48 6656835.5),(49 6759185.5),(50 6762585.5),(51 6861069.5),(52 6869053.5),(53 6988129.5),(54 7021077.5),(55 7171408),(56 7231535),(57 7396749.5),(58 7471843),(59 7659712),(60 7773435),(61 7972485.5),(62 8089065.5),(63 8317177.5),(64 8432024),(65 8649485),(66 8773333),(67 8995012),(68 9151285),(69 9413985),(70 9598538),(71 9872694),(72 10085726),(73 10384229),(74 10587454),(75 10892501),(76 11061070),(77 11295970),(78 11417324),(79 11609400),
(1 41139.02),(2 50644.61),(3 133031.2),(4 180643.42),(5 298402.63),(6 382268.63),(7 530899.25),(8 637817.25),(9 811460.5),(10 945248.2),(11 1142767.9),(12 1298379.9),(13 1511024.6),(14 1692847.1),(15 1934253.1),(16 2141953.8),(17 2419987.8),(18 2687950.3),(19 3008804.3),(20 3309846),(21 3668484.8),(22 3995497.3),(23 4353162),(24 4685612.5),(25 5057806),(26 5385456),(27 5762575.5),(28 6079298),(29 6436774.5),(30 6772932.5),(31 7140870.5),(32 7477260),(33 7844066),(34 8175309.5),(35 8521136),(36 8840351),(37 9155588),(38 9434983),(39 9706613),(40 9928605),(41 10131935),(42 10307057),(43 10494417),(44 10649082),(45 10807336),(46 10939217),(47 11080277),(48 11209517),(49 11348123),(50 11478336),(51 11629885),(52 11763241),(53 11915043),(54 12080792),(55 12256943),(56 12410579),(57 12577343),(58 12745151),(59 12930515),(60 13112740),(61 13294119),(62 13485717),(63 13715387),(64 13908051),(65 14104032),(66 14299689),(67 14509464),(68 14706876),(69 14915251),(70 15105176),(71 15303512),(72 15475008),(73 15672075),(74 15839920),(75 16029268),(76 16158809),(77 16281405),(78 16349577),(79 16422216),
(1 33392.594),(2 56825.72),(3 142741.2),(4 216103.67),(5 347244.28),(6 464652.38),(7 636376),(8 789575.1),(9 992601.44),(10 1170280),(11 1393236.5),(12 1594917.3),(13 1848797.1),(14 2085704.9),(15 2374925.3),(16 2633044.3),(17 2933815),(18 3207661.3),(19 3511934.5),(20 3790059.5),(21 4102999),(22 4388045.5),(23 4711618.5),(24 5003366),(25 5325210),(26 5620934.5),(27 5944413.5),(28 6225699),(29 6540447.5),(30 6845357.5),(31 7183679.5),(32 7499175),(33 7853091.5),(34 8157031),(35 8477386),(36 8754863),(37 9063137),(38 9339168),(39 9629262),(40 9868164),(41 10111337),(42 10311233),(43 10534160),(44 10706441),(45 10884105),(46 11005000),(47 11137292),(48 11244716),(49 11336188),(50 11382043),(51 11439136),(52 11463796),(53 11500096),(54 11504803),(55 11530748),(56 11520876),(57 11516973),(58 11473985),(59 11451968),(60 11414100),(61 11400660),(62 11365582),(63 11342647),(64 11314873),(65 11307948),(66 11265416),(67 11247256),(68 11210654),(69 11187954),(70 11140097),(71 11125598),(72 11106089),(73 11131156),(74 11137608),(75 11170188),(76 11173122),(77 11204443),(78 11194711),(79 11214336),
(1 33084.914),(2 68257.76),(3 164224.3),(4 255145.27),(5 403529.2),(6 546160.44),(7 740446.2),(8 922300),(9 1151142.1),(10 1362268.5),(11 1623137.1),(12 1861835.6),(13 2151321),(14 2416816.3),(15 2724603),(16 3004281.5),(17 3330663.3),(18 3626981.5),(19 3958320.8),(20 4258070.5),(21 4594148.5),(22 4888463.5),(23 5235790),(24 5542936.5),(25 5892769.5),(26 6194128.5),(27 6539664),(28 6812870.5),(29 7121464.5),(30 7379675),(31 7668607.5),(32 7876249.5),(33 8137020.5),(34 8318705.5),(35 8516733),(36 8640065),(37 8805725),(38 8882480),(39 8999108),(40 9019519),(41 9070692),(42 9036321),(43 9034090),(44 8959233),(45 8908672),(46 8783261),(47 8701705),(48 8550084),(49 8451671),(50 8286182),(51 8178477),(52 8009896.5),(53 7910888.5),(54 7771009.5),(55 7707613),(56 7604280.5),(57 7565539),(58 7471661),(59 7447590.5),(60 7380950),(61 7394498),(62 7359433.5),(63 7395062),(64 7381073.5),(65 7447702),(66 7450695.5),(67 7525332.5),(68 7544326),(69 7630811.5),(70 7666765),(71 7778390.5),(72 7846688),(73 7987542),(74 8059291.5),(75 8186538),(76 8245344),(77 8353955),(78 8389505),(79 8469618),
(1 37523.824),(2 85071.27),(3 203853.72),(4 328470.34),(5 523214.2),(6 728571.56),(7 998382.2),(8 1277002.8),(9 1617819.4),(10 1957765.8),(11 2348979),(12 2728274.5),(13 3161821.5),(14 3583593.3),(15 4044792.8),(16 4477657.5),(17 4936591),(18 5373008.5),(19 5825096),(20 6248725),(21 6687629),(22 7106962.5),(23 7548030.5),(24 7959101),(25 8374362.5),(26 8739499),(27 9096953),(28 9391066),(29 9677050),(30 9915812),(31 10140720),(32 10318557),(33 10491790),(34 10596658),(35 10678901),(36 10721418),(37 10754643),(38 10764758),(39 10780235),(40 10752940),(41 10722257),(42 10659184),(43 10583694),(44 10492315),(45 10386488),(46 10260019),(47 10155893),(48 10038226),(49 9951268),(50 9845334),(51 9768608),(52 9696804),(53 9658834),(54 9621540),(55 9608224),(56 9596524),(57 9595898),(58 9586823),(59 9574843),(60 9553117),(61 9534549),(62 9499648),(63 9458873),(64 9407094),(65 9354701),(66 9277605),(67 9203958),(68 9101571),(69 9004851),(70 8881674),(71 8760201),(72 8631318),(73 8497275),(74 8356667),(75 8207072),(76 8041285.5),(77 7870669),(78 7688025),(79 7505354.5),
(1 36627.336),(2 94780.49),(3 215512.06),(4 349927.88),(5 538012.1),(6 734027.6),(7 972880.06),(8 1206921.4),(9 1477810.1),(10 1737754.6),(11 2023843.4),(12 2290824.5),(13 2581554.3),(14 2851477.5),(15 3133192),(16 3387458.8),(17 3650222.5),(18 3880302.5),(19 4116192.3),(20 4314434),(21 4517695),(22 4695686.5),(23 4888037),(24 5052326),(25 5221199.5),(26 5350153),(27 5485381),(28 5579164.5),(29 5679350),(30 5740345),(31 5808279.5),(32 5848943),(33 5899051),(34 5912184.5),(35 5933180.5),(36 5916109),(37 5913851.5),(38 5900568.5),(39 5905409),(40 5895553),(41 5919944),(42 5933024),(43 5972048),(44 5997831),(45 6058683),(46 6112117),(47 6213864.5),(48 6317802.5),(49 6462823),(50 6603370),(51 6804406),(52 6998733.5),(53 7253529),(54 7497909),(55 7769568.5),(56 8036695),(57 8330882),(58 8614814),(59 8901025),(60 9154553),(61 9393025),(62 9601574),(63 9796135),(64 9946799),(65 10096146),(66 10163655),(67 10207924),(68 10207380),(69 10194468),(70 10135913),(71 10085607),(72 9984406),(73 9869038),(74 9721585),(75 9585542),(76 9425714),(77 9278657),(78 9104814),(79 8945484),
(1 28546.441),(2 65570.15),(3 149680.72),(4 236881.47),(5 363406.47),(6 489598.16),(7 649469.6),(8 804001.4),(9 987938.25),(10 1157867.8),(11 1352695.5),(12 1531470.3),(13 1740357.5),(14 1938271.3),(15 2165601.5),(16 2377718.5),(17 2610502.5),(18 2822801.5),(19 3048009.5),(20 3252550.8),(21 3473585),(22 3681876.3),(23 3912281.3),(24 4123160.5),(25 4339406.5),(26 4533890.5),(27 4740711.5),(28 4909262.5),(29 5081405),(30 5229942.5),(31 5383631.5),(32 5508711.5),(33 5633318.5),(34 5723872),(35 5808353),(36 5861657.5),(37 5934230.5),(38 5974089.5),(39 6029349.5),(40 6071055.5),(41 6139253.5),(42 6188643),(43 6270616.5),(44 6344174),(45 6444444.5),(46 6541973),(47 6675113),(48 6817312),(49 6992610),(50 7171839),(51 7384126),(52 7582365),(53 7816015),(54 8030366),(55 8268040.5),(56 8484669),(57 8717781),(58 8922187),(59 9135354),(60 9302369),(61 9468409),(62 9599475),(63 9733187),(64 9812717),(65 9885440),(66 9900606),(67 9914477),(68 9892217),(69 9862363),(70 9795084),(71 9727882),(72 9637545),(73 9554917),(74 9445909),(75 9361830),(76 9248573),(77 9167040),(78 9060781),(79 8974423),
(1 26215.266),(2 62147.36),(3 143420.7),(4 228670.31),(5 355895.6),(6 484627.8),(7 647490.7),(8 810021.44),(9 996879.06),(10 1175868.4),(11 1373253.4),(12 1558186.8),(13 1769509.8),(14 1973062.1),(15 2186826),(16 2373463.5),(17 2565506.8),(18 2725839.5),(19 2887940.8),(20 3022346.3),(21 3158299.8),(22 3274418.5),(23 3399884.8),(24 3495256),(25 3596366.8),(26 3667315.8),(27 3739437.8),(28 3786248),(29 3845511.5),(30 3882036.3),(31 3933375),(32 3972793.5),(33 4028333.8),(34 4058954),(35 4095316.8),(36 4113514.8),(37 4154232.5),(38 4184682),(39 4233097),(40 4269990.5),(41 4327251),(42 4360892),(43 4406076),(44 4428226.5),(45 4461964),(46 4472584.5),(47 4493169),(48 4496174.5),(49 4509441),(50 4506548),(51 4509909),(52 4491547),(53 4490151),(54 4468107.5),(55 4464482),(56 4441520),(57 4436768),(58 4417329),(59 4415059),(60 4399096),(61 4406437),(62 4404905.5),(63 4422476),(64 4434277.5),(65 4460304),(66 4469454.5),(67 4500887),(68 4529872.5),(69 4572250),(70 4608653.5),(71 4657757.5),(72 4704740),(73 4772636),(74 4822646.5),(75 4885414),(76 4934567),(77 4995591.5),(78 5034580.5),(79 5071184),
(1 32332.555),(2 86859.64),(3 198581.05),(4 322588.6),(5 498232.56),(6 679169.3),(7 896771.25),(8 1103443.5),(9 1333181),(10 1540136.8),(11 1762228.9),(12 1947553.8),(13 2147616),(14 2300549),(15 2462866),(16 2573713.8),(17 2695233),(18 2776115),(19 2878091.8),(20 2951582.8),(21 3047347.5),(22 3107047),(23 3186559.8),(24 3234114.8),(25 3309884.3),(26 3360477),(27 3433657.3),(28 3472335),(29 3544337.8),(30 3578237),(31 3653059.5),(32 3697767.8),(33 3772584),(34 3813132),(35 3875678.3),(36 3913819.5),(37 3994042.8),(38 4036702.3),(39 4111201),(40 4154185),(41 4215809),(42 4234922),(43 4276719),(44 4273206),(45 4286212.5),(46 4269214.5),(47 4266320),(48 4236454.5),(49 4222405),(50 4188788.5),(51 4180281.3),(52 4151820.5),(53 4159328),(54 4156365.3),(55 4185738.3),(56 4206207),(57 4261244.5),(58 4312271),(59 4397638),(60 4457375),(61 4543817),(62 4614813.5),(63 4702772),(64 4767786.5),(65 4838877.5),(66 4860294),(67 4885546.5),(68 4882137.5),(69 4882282),(70 4846771.5),(71 4814257),(72 4761035),(73 4715102.5),(74 4638800),(75 4569020.5),(76 4470474.5),(77 4385099.5),(78 4283194),(79 4192593.8),
(1 36306.566),(2 101107.766),(3 228903.02),(4 374895.6),(5 571038),(6 774288.75),(7 1012294.1),(8 1240679.5),(9 1489204.9),(10 1710479.8),(11 1936638.6),(12 2123579.8),(13 2315032.3),(14 2469311),(15 2626871.3),(16 2743497),(17 2862514.8),(18 2937941.5),(19 3028758),(20 3086767),(21 3168342.5),(22 3226614.5),(23 3315580.8),(24 3378561.3),(25 3466599.8),(26 3533890.8),(27 3630887.5),(28 3695526.3),(29 3797422.5),(30 3868441.5),(31 3980402.8),(32 4066041.5),(33 4190134),(34 4279488.5),(35 4401031),(36 4488729.5),(37 4605728),(38 4686384.5),(39 4789972),(40 4851899),(41 4926570.5),(42 4954689.5),(43 5000506.5),(44 4990399.5),(45 4994859.5),(46 4953501),(47 4932140),(48 4877046.5),(49 4844639.5),(50 4785707.5),(51 4761361),(52 4709892),(53 4701064.5),(54 4676086.5),(55 4695146.5),(56 4694967),(57 4749245),(58 4798530),(59 4885307),(60 4941082.5),(61 5027151.5),(62 5079629.5),(63 5146766),(64 5168273),(65 5200378.5),(66 5163525.5),(67 5141657.5),(68 5075264),(69 5031539.5),(70 4942731.5),(71 4875378),(72 4772608),(73 4697348),(74 4592323),(75 4528581.5),(76 4441204),(77 4395275.5),(78 4329719.5),(79 4302472.5),
