1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 77813.41),(2 82611.09),(3 54875.72),(4 122512.49),(5 135674.55),(6 108416.65),(7 186963.08),(8 201988.75),(9 170774.14),(10 249653.75),(11 253128.89),(12 223621.5),(13 306970.6),(14 323153.25),(15 304287.75),(16 418155.9),(17 444626.16),(18 438037.34),(19 556206.94),(20 592965.56),(21 585798.3),(22 727510.2),(23 762670.2),(24 747906.2),(25 865832.5),(26 869617.5),(27 840925.2),(28 950201.7),(29 946946.8),(30 919869.25),(31 1043186.5),(32 1061952.6),(33 1129046.6),(34 1618416.6),(35 2264421.8),(36 3098835.3),(37 3935260.3),(38 4468744.5),(39 4960107.5),(40 5700884.5),(41 6308958),(42 6867840.5),(43 7690461.5),(44 8305494.5),(45 8953484),(46 9703890),(47 10308339),(48 10733067),(49 11534549),(50 12093189),(51 12620432),(52 13343823),(53 13886733),(54 14345212),(55 14961028),(56 15250703),(57 15333801),(58 15517324),(59 15584215),(60 15558095),(61 15759612),(62 15761795),(63 15468049),(64 15541069),(65 15487305),(66 15303039),(67 15339399),(68 15191651),(69 15014999),(70 15004433),(71 14887847),(72 14668535),(73 14711515),(74 14575508),(75 14436931),(76 14545667),(77 14511300),(78 14235995),(79 14343832),
(1 68392.48),(2 90081.05),(3 76401.414),(4 146813.55),(5 190371.48),(6 183471.86),(7 265388.9),(8 315149.8),(9 314728.44),(10 408989.84),(11 467765.3),(12 481384.8),(13 586540.4),(14 661197.2),(15 683596.8),(16 801119.9),(17 879171.4),(18 901287.6),(19 1017698.9),(20 1087652),(21 1103153),(22 1219648.5),(23 1281212.5),(24 1283858.8),(25 1393126.3),(26 1447917.4),(27 1448305.3),(28 1558484.8),(29 1602924.4),(30 1597440.3),(31 1695248.8),(32 1733061),(33 1719176.8),(34 1813066.3),(35 1855224.4),(36 1948511),(37 2085392.3),(38 2123725.5),(39 2147443.5),(40 2290179.5),(41 2336075.5),(42 2367267.5),(43 2515531.3),(44 2568164.5),(45 2611800.5),(46 2760178.5),(47 2808258.5),(48 2858089),(49 3017732.5),(50 3075407.3),(51 3120689.8),(52 3286890.8),(53 3346539.3),(54 3376483.5),(55 3537275.5),(56 3591950.8),(57 3585358),(58 3663348),(59 3680062.5),(60 3676082),(61 3772089.5),(62 3804949.3),(63 3826824.5),(64 3925025.3),(65 3962770.8),(66 3953999.3),(67 4049427.3),(68 4087449.5),(69 4060093.5),(70 4145950.8),(71 4164957.5),(72 4120096),(73 4192136.8),(74 4192235.3),(75 4150943.3),(76 4217748),(77 4225739),(78 4204929.5),(79 4279074.5),
(1 53454.19),(2 78439.555),(3 87654.97),(4 157132.2),(5 206229.52),(6 232664.56),(7 320099.78),(8 382413.63),(9 429888.22),(10 546532.56),(11 629997.25),(12 701758.06),(13 833738.5),(14 933383.56),(15 1016980.5),(16 1160459.9),(17 1275410.4),(18 1373030.8),(19 1535545.6),(20 1647691.4),(21 1755546),(22 1933188.4),(23 2057746.4),(24 2175445.5),(25 2367066.3),(26 2487462.3),(27 2614345),(28 2808366),(29 2934740.8),(30 3067784),(31 3270433),(32 3398070.3),(33 3529020.3),(34 3739529.3),(35 3844280.8),(36 3963719.3),(37 4169111.8),(38 4266887.5),(39 4358719.5),(40 4545118.5),(41 4644117.5),(42 4726902.5),(43 4916809.5),(44 4993801.5),(45 5062808.5),(46 5251638.5),(47 5329279.5),(48 5420821),(49 5628218.5),(50 5722149.5),(51 5805533.5),(52 6010677.5),(53 6099088.5),(54 6175296.5),(55 6372091.5),(56 6449821.5),(57 6519680.5),(58 6700257.5),(59 6801830.5),(60 6912428),(61 7141998.5),(62 7258765.5),(63 7408374.5),(64 7673941.5),(65 7833100.5),(66 7991050.5),(67 8268068),(68 8427296),(69 8580368),(70 8868765),(71 9014173),(72 9155584),(73 9425203),(74 9541171),(75 9639909),(76 9879920),(77 9955278),(78 10062513),(79 10317513),
(1 40679.555),(2 68506.06),(3 92416.51),(4 150943),(5 205596.11),(6 253813.89),(7 333969.34),(8 412726.72),(9 485275.16),(10 592750.3),(11 697761.75),(12 794353.2),(13 921749.56),(14 1054508),(15 1171903.1),(16 1323397.4),(17 1480434),(18 1619703.8),(19 1798044.5),(20 1974411.1),(21 2133085.3),(22 2322345),(23 2504828.8),(24 2669061),(25 2865666.5),(26 3052593.3),(27 3207400.5),(28 3392523),(29 3568057.5),(30 3710281.8),(31 3885464),(32 4042290.8),(33 4178431.5),(34 4354227),(35 4518415),(36 4671793),(37 4822922.5),(38 4968824),(39 5072394.5),(40 5178680),(41 5299090.5),(42 5361946),(43 5440075.5),(44 5533971.5),(45 5583346.5),(46 5637811.5),(47 5717155.5),(48 5761440),(49 5825882),(50 5898762.5),(51 5929580.5),(52 5986806),(53 6058806),(54 6095968),(55 6146262),(56 6192311),(57 6192198),(58 6221583),(59 6258203.5),(60 6296808),(61 6369274),(62 6450762.5),(63 6505923),(64 6608921.5),(65 6720661.5),(66 6803587.5),(67 6935875),(68 7072698),(69 7172108.5),(70 7307849.5),(71 7432264),(72 7535100.5),(73 7666290.5),(74 7793984),(75 7877381.5),(76 8016294),(77 8126700.5),(78 8228545),(79 8381450.5),
(1 35536.797),(2 61457.137),(3 90566.305),(4 148800.34),(5 209679.02),(6 272079.38),(7 362257.75),(8 458422.53),(9 550599.44),(10 669310.94),(11 793004.44),(12 908562.44),(13 1045960),(14 1194370.1),(15 1331836.4),(16 1492022.1),(17 1666497.9),(18 1821076.8),(19 2001360),(20 2181853.8),(21 2348103.8),(22 2524651.5),(23 2696820.3),(24 2841307.8),(25 3002459.3),(26 3154120),(27 3285602.5),(28 3426463.8),(29 3561857.8),(30 3671481.5),(31 3796460.3),(32 3911339.3),(33 4025311),(34 4176510.5),(35 4318438),(36 4444785.5),(37 4570681.5),(38 4688263.5),(39 4774639.5),(40 4864727.5),(41 4962434),(42 5018809.5),(43 5088673),(44 5168863.5),(45 5236320),(46 5329867),(47 5428912),(48 5532910.5),(49 5676305),(50 5825151),(51 5967106.5),(52 6143832.5),(53 6326250),(54 6480276.5),(55 6673542),(56 6853754),(57 7011525),(58 7209418),(59 7412792.5),(60 7614305.5),(61 7886132.5),(62 8132232.5),(63 8357958),(64 8639580),(65 8913559),(66 9155386),(67 9473614),(68 9767740),(69 10045939),(70 10380101),(71 10664679),(72 10912131),(73 11208022),(74 11472237),(75 11719196),(76 12025699),(77 12259735),(78 12500369),(79 12818929),
(1 32420.938),(2 63871.977),(3 109917.4),(4 179298.61),(5 256909),(6 344445.6),(7 452433.3),(8 562170.4),(9 683421.9),(10 823438),(11 968288.8),(12 1119053.8),(13 1289062.3),(14 1478834.6),(15 1672860.5),(16 1887787.4),(17 2119585),(18 2357813.5),(19 2607022.8),(20 2867334),(21 3132018.5),(22 3394309.5),(23 3649463.3),(24 3890561.5),(25 4124439.5),(26 4348584),(27 4566705),(28 4764949),(29 4956041.5),(30 5130245),(31 5284313.5),(32 5434601),(33 5588638.5),(34 5718794.5),(35 5828020),(36 5940404),(37 6004397),(38 6062490.5),(39 6113727),(40 6123309.5),(41 6128926.5),(42 6117109),(43 6081210.5),(44 6051731),(45 6023099.5),(46 5979705),(47 5961817),(48 5966397),(49 5933246.5),(50 5934475),(51 5950157.5),(52 5944561.5),(53 5964853),(54 5981595.5),(55 5979183.5),(56 5994837.5),(57 6029251),(58 6042578),(59 6087357.5),(60 6151474),(61 6203952),(62 6278467),(63 6384051),(64 6452880),(65 6562791.5),(66 6683382.5),(67 6800749),(68 6930752),(69 7074675),(70 7195969),(71 7339757),(72 7487789),(73 7615426.5),(74 7765445),(75 7934813),(76 8080232),(77 8251305.5),(78 8466071),(79 8662021),
(1 34594.32),(2 69975.07),(3 121125.445),(4 197805.73),(5 281651.2),(6 376989.3),(7 493968.63),(8 611834.4),(9 740573),(10 889389.6),(11 1039805),(12 1197165.8),(13 1370521.5),(14 1546608.5),(15 1737776.1),(16 1945645.8),(17 2146572.5),(18 2366677),(19 2603623.8),(20 2835281.5),(21 3077533.5),(22 3322394.5),(23 3560403.5),(24 3799101),(25 4043316.5),(26 4271347.5),(27 4505118),(28 4733997),(29 4942788),(30 5142369),(31 5341408.5),(32 5519810),(33 5712362.5),(34 5910600),(35 6106520),(36 6298619.5),(37 6481264.5),(38 6651973),(39 6820262),(40 6974620.5),(41 7121976),(42 7228080.5),(43 7341775),(44 7435261.5),(45 7504313),(46 7579631.5),(47 7650343),(48 7713347.5),(49 7787758),(50 7856836.5),(51 7927980.5),(52 8012918),(53 8104743),(54 8188008),(55 8270851.5),(56 8344184.5),(57 8396341),(58 8460437),(59 8538500),(60 8609164),(61 8700593),(62 8788675),(63 8881434),(64 9002545),(65 9126820),(66 9255224),(67 9416383),(68 9574892),(69 9735214),(70 9909484),(71 10082556),(72 10229838),(73 10389009),(74 10537109),(75 10672620),(76 10800327),(77 10931012),(78 11038400),(79 11173847),
(1 31413.125),(2 68899.59),(3 124532.68),(4 202649.08),(5 291768),(6 392544.06),(7 515881.06),(8 645022.94),(9 787380.6),(10 948784.25),(11 1113727.5),(12 1285947.8),(13 1475580.3),(14 1670842),(15 1869324),(16 2080738.4),(17 2290536.5),(18 2505274.8),(19 2721055.5),(20 2934426.5),(21 3149937.5),(22 3360657),(23 3576621.3),(24 3782944),(25 4006785.5),(26 4217009.5),(27 4428851),(28 4641467.5),(29 4839671.5),(30 5031546.5),(31 5225660.5),(32 5402607.5),(33 5590440),(34 5797271.5),(35 5985472.5),(36 6166767.5),(37 6355710.5),(38 6527486),(39 6702089.5),(40 6878219),(41 7041551),(42 7188349.5),(43 7349099.5),(44 7481354),(45 7597137.5),(46 7710990),(47 7800378.5),(48 7885016.5),(49 7963368.5),(50 8014760.5),(51 8067855),(52 8119171),(53 8148365.5),(54 8151437),(55 8152315.5),(56 8108103.5),(57 8049798),(58 7991115.5),(59 7914269),(60 7828723.5),(61 7750292.5),(62 7652395.5),(63 7558059.5),(64 7471577.5),(65 7366935.5),(66 7284957),(67 7217329),(68 7139431.5),(69 7083377),(70 7057243),(71 7020287),(72 7002901.5),(73 7008531.5),(74 7008923.5),(75 7042296.5),(76 7084905.5),(77 7123463.5),(78 7193659.5),(79 7263333),
(1 31483.842),(2 73173.05),(3 135093.33),(4 218449.05),(5 320241.34),(6 434444.75),(7 568513.7),(8 717308.56),(9 876650.94),(10 1051276.8),(11 1237622.9),(12 1429356.4),(13 1632529),(14 1844242.9),(15 2053317.4),(16 2274050),(17 2493782),(18 2710788.5),(19 2933391.8),(20 3146753.5),(21 3354171),(22 3558015),(23 3753331.3),(24 3930540.8),(25 4107883.8),(26 4270322),(27 4424891),(28 4576200),(29 4719822),(30 4846473.5),(31 4971700),(32 5080203.5),(33 5194676.5),(34 5306307),(35 5424053.5),(36 5538872.5),(37 5663505.5),(38 5769972.5),(39 5867813.5),(40 5972820),(41 6066016),(42 6153024),(43 6260607),(44 6354814),(45 6449354),(46 6554465),(47 6657880.5),(48 6777948),(49 6907337.5),(50 7041236.5),(51 7189941.5),(52 7335404),(53 7492945),(54 7638035.5),(55 7771979.5),(56 7882941),(57 7978780),(58 8059534),(59 8133206.5),(60 8203136),(61 8267360),(62 8318625),(63 8366398),(64 8410601),(65 8442384),(66 8454398),(67 8461849),(68 8437551),(69 8383649),(70 8323595.5),(71 8251220),(72 8166394.5),(73 8085103),(74 7992638),(75 7888565.5),(76 7788503.5),(77 7698715.5),(78 7617476),(79 7559882.5),
(1 28663.303),(2 69306.21),(3 128651.47),(4 210366.38),(5 309652.88),(6 421365.78),(7 550891.56),(8 693264.56),(9 843827.3),(10 1009810.7),(11 1182517.5),(12 1357595),(13 1537844.5),(14 1726587.6),(15 1907426.6),(16 2094293.4),(17 2283856.5),(18 2462240.5),(19 2640397.3),(20 2817035.3),(21 2985090.8),(22 3145934.3),(23 3310509),(24 3456805),(25 3602896.8),(26 3743242.8),(27 3867621.3),(28 3984085.3),(29 4101869.8),(30 4209962.5),(31 4319383),(32 4426978.5),(33 4539065),(34 4668177.5),(35 4811229.5),(36 4967019.5),(37 5115636),(38 5274027.5),(39 5423071),(40 5576032),(41 5741996.5),(42 5897903),(43 6068469.5),(44 6242665),(45 6413009),(46 6590983),(47 6771707),(48 6954308.5),(49 7133970.5),(50 7308035.5),(51 7475990),(52 7641296),(53 7800393),(54 7936124.5),(55 8047683.5),(56 8135887),(57 8196058.5),(58 8240906.5),(59 8279475.5),(60 8308744),(61 8325444.5),(62 8328090),(63 8317534),(64 8287318),(65 8236466),(66 8159147.5),(67 8070083.5),(68 7957698),(69 7822816),(70 7681903),(71 7544236.5),(72 7400597),(73 7255233.5),(74 7110182),(75 6971367),(76 6837568),(77 6721602),(78 6606754.5),(79 6513991),
(1 31279.379),(2 85418.516),(3 167593.36),(4 276850.88),(5 407419.72),(6 555475.5),(7 726234.06),(8 913035.9),(9 1110570.9),(10 1323826.4),(11 1545792.3),(12 1769333.1),(13 1996981.1),(14 2229075.3),(15 2450853.5),(16 2667464.5),(17 2877225.3),(18 3075412.5),(19 3259523.5),(20 3432445.8),(21 3584832.5),(22 3723217.5),(23 3853065.5),(24 3964079),(25 4072077.3),(26 4173347.8),(27 4257586),(28 4327646.5),(29 4397010.5),(30 4446832),(31 4493078.5),(32 4529901.5),(33 4569477.5),(34 4614305),(35 4654318),(36 4688582.5),(37 4724035),(38 4760013.5),(39 4781503),(40 4808733),(41 4838039.5),(42 4857698.5),(43 4881355.5),(44 4900307),(45 4903821),(46 4919370.5),(47 4923646),(48 4921323),(49 4929588),(50 4938007),(51 4944963),(52 4968911),(53 4998110),(54 5019294),(55 5051858.5),(56 5080446),(57 5092985.5),(58 5124916.5),(59 5152081.5),(60 5177386.5),(61 5218664.5),(62 5265416),(63 5308407.5),(64 5362500.5),(65 5427043.5),(66 5490934),(67 5573238.5),(68 5658422.5),(69 5747464.5),(70 5856918),(71 5974274.5),(72 6079806),(73 6197890.5),(74 6313780.5),(75 6419511.5),(76 6516729.5),(77 6621405),(78 6699215),(79 6795092),
