1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 13516.189),(2 42618.53),(3 79633.76),(4 117965.09),(5 152790.38),(6 178686.78),(7 197453.31),(8 211033.66),(9 221310.61),(10 229851.92),(11 239071.11),(12 250351.88),(13 259533.7),(14 265397),(15 268035.03),(16 267786.13),(17 265398.22),(18 262746.53),(19 260201.2),(20 258649.08),(21 260276.5),(22 263054.22),(23 265870.63),(24 267323.97),(25 267597.72),(26 266937.78),(27 266967.88),(28 265861.38),(29 265279.9),(30 263874.4),(31 262708.28),(32 261457.64),(33 262495.06),(34 264533.3),(35 266835.38),(36 269075.66),(37 271398.1),(38 271056.88),(39 269416.88),(40 268042.8),(41 267307.44),(42 266860.7),(43 265766.1),(44 265842.84),(45 264528.1),(46 263105.8),(47 263019.88),(48 263974.78),(49 265198.84),(50 266499.1),(51 267302.88),(52 268317.97),(53 267876.25),(54 269769.6),(55 271983.28),(56 273867.75),(57 275668.72),(58 277235.03),(59 279566.2),(60 281595.2),(61 282470.75),(62 283566.63),(63 283694.6),(64 283065.75),(65 282046.44),(66 282433.72),(67 281605.1),(68 279608.75),(69 279560.63),(70 278380.8),(71 277965.6),(72 277403.38),(73 275387),(74 272532.44),(75 269057.25),(76 265954.47),(77 264291.53),(78 263003.44),(79 262536.03),
(1 13451.497),(2 41415.754),(3 75856.55),(4 110615.49),(5 143572.97),(6 169513.75),(7 190258.16),(8 205253.42),(9 216156.83),(10 225029.16),(11 233243.06),(12 241034.08),(13 248802.83),(14 253849.92),(15 256475.45),(16 258142.14),(17 260309.55),(18 262637.38),(19 265176.44),(20 266259.4),(21 267324.56),(22 267923.9),(23 267853.53),(24 267493.44),(25 268010.03),(26 268924.84),(27 269976.34),(28 271660.84),(29 272464.47),(30 274990.4),(31 277720.16),(32 279410.34),(33 281761.7),(34 284353.63),(35 286871.97),(36 289000.06),(37 289736.4),(38 290119),(39 290676.72),(40 288583.88),(41 287362.3),(42 286394.53),(43 284307.66),(44 282824.5),(45 280894.47),(46 278757),(47 276735.53),(48 275509.53),(49 274032.38),(50 273838.8),(51 275309.78),(52 276594.3),(53 277462.72),(54 277735.7),(55 276397.13),(56 277921.94),(57 282186.47),(58 285483.88),(59 288527.53),(60 291086.3),(61 292830.47),(62 293379.3),(63 294372.13),(64 294858.47),(65 294359.16),(66 296066.25),(67 296528.3),(68 297149.84),(69 299167.06),(70 299728.75),(71 301173.22),(72 302184.56),(73 300394.13),(74 299912.63),(75 300308.03),(76 299967.97),(77 298474.9),(78 295543.72),(79 294518.53),
(1 13488.819),(2 41615.96),(3 76951.65),(4 111617.836),(5 144786.69),(6 169861.25),(7 189207),(8 202678.75),(9 211518.11),(10 216983.31),(11 221809.4),(12 229737.52),(13 237011.88),(14 241446.6),(15 246157.45),(16 249889.58),(17 253554.78),(18 255944.98),(19 258378.33),(20 261165.69),(21 264073.53),(22 266208.72),(23 267973.84),(24 269242.13),(25 270917.16),(26 273002.1),(27 274667.44),(28 276038.63),(29 276649.97),(30 274491.1),(31 272197.88),(32 271557.3),(33 273467.44),(34 275132.88),(35 276151.53),(36 277547.1),(37 278620.44),(38 276723.38),(39 273754.9),(40 269902.56),(41 268032.47),(42 268359.22),(43 268196.03),(44 267111.75),(45 266432.78),(46 264044.38),(47 262778.6),(48 261143.39),(49 260912.89),(50 261990.28),(51 263160.06),(52 262991.75),(53 262090.61),(54 260961.88),(55 258749.16),(56 258994.6),(57 259872.39),(58 260671.38),(59 262645.38),(60 264227.03),(61 265954.7),(62 267129.1),(63 267701.56),(64 267333.63),(65 266811.28),(66 267021.6),(67 267794.9),(68 269756.9),(69 273071.72),(70 276967.44),(71 280657.78),(72 284484.28),(73 287001.38),(74 290820.4),(75 294804.56),(76 296194.53),(77 296763.25),(78 295636.2),(79 294917.88),
(1 12275.883),(2 37676.434),(3 69537.734),(4 101276.97),(5 132387.8),(6 154851.19),(7 172795.94),(8 186323.73),(9 197502.1),(10 206801.86),(11 215755.27),(12 226121.66),(13 237159.25),(14 244055.47),(15 249848.75),(16 255084.22),(17 258067.05),(18 260556.7),(19 263850.66),(20 266209.47),(21 268973.2),(22 271966.94),(23 272932.53),(24 273319.63),(25 271196.16),(26 268430.2),(27 264009.97),(28 261728.58),(29 258627.67),(30 257673.7),(31 259067.8),(32 261908.7),(33 264023.06),(34 265206.4),(35 265432.56),(36 264418.84),(37 259790.55),(38 254835.86),(39 252270.67),(40 251414.47),(41 251065.9),(42 252066.75),(43 250704.48),(44 249755.03),(45 249645.8),(46 249131.08),(47 248070.7),(48 247465.67),(49 246970.34),(50 246937.45),(51 246373.11),(52 246844.36),(53 249024.47),(54 252858.77),(55 255300.47),(56 257457.6),(57 258910.97),(58 258568.7),(59 258033.52),(60 258935.8),(61 260163.23),(62 262593.63),(63 263668.25),(64 261924.34),(65 261570.58),(66 262283.16),(67 263182.97),(68 263549.22),(69 264140.5),(70 264615.5),(71 265841.44),(72 267316.44),(73 268626.53),(74 269146.6),(75 268659.34),(76 267687.3),(77 268335.72),(78 266800.97),(79 265615.63),
(1 12065.385),(2 36541.457),(3 66668.58),(4 96094.58),(5 124155.03),(6 143446.14),(7 156792.88),(8 167136.2),(9 175566.42),(10 184531.58),(11 193616.25),(12 202897.64),(13 210924.72),(14 215461.33),(15 219455.56),(16 224799.58),(17 228126),(18 232834.38),(19 238104.05),(20 242129.61),(21 245386.66),(22 247590.06),(23 247500.16),(24 246047.17),(25 242688.98),(26 241216.31),(27 241014.75),(28 242019.28),(29 240888.6),(30 241842.08),(31 241156.95),(32 240693.92),(33 240328.28),(34 239447.5),(35 238004.83),(36 234945.19),(37 231949.17),(38 229679.25),(39 229329.48),(40 229692.58),(41 229667.4),(42 231865.55),(43 233043.27),(44 235258.08),(45 238310.25),(46 240230.8),(47 242545.78),(48 244796.64),(49 245347.72),(50 246789.13),(51 248054.88),(52 248130.55),(53 247184.52),(54 247196.14),(55 246290.6),(56 247232.42),(57 249261.84),(58 249699.19),(59 251672.72),(60 252840.88),(61 254560.8),(62 256301.78),(63 257554.14),(64 256947.86),(65 255757.92),(66 254156.9),(67 251065.25),(68 249524.72),(69 249217.9),(70 247773.28),(71 246931.94),(72 246291.78),(73 244756.75),(74 243873.66),(75 242715.58),(76 241559.42),(77 240398.89),(78 238759.86),(79 238363.88),
(1 11797.875),(2 35158.227),(3 64021.766),(4 91537.516),(5 116788.24),(6 136212.8),(7 152111.97),(8 163065.97),(9 171776.61),(10 178789.56),(11 186003.17),(12 193463.19),(13 199870.89),(14 204804.11),(15 211026.48),(16 217442.1),(17 223897.33),(18 231044.48),(19 238220.63),(20 244025.22),(21 247398.8),(22 248300.61),(23 248615.75),(24 248049.02),(25 248260.89),(26 247949.84),(27 248648.19),(28 249865.64),(29 248464.75),(30 248059.36),(31 249053.72),(32 248755.55),(33 249442.06),(34 249042.13),(35 247622.88),(36 246375.39),(37 244619.11),(38 243199.78),(39 244460.3),(40 244484.3),(41 245521.78),(42 247289.28),(43 245615.7),(44 244292.13),(45 243750.06),(46 241290.42),(47 239105.88),(48 238402.22),(49 237884.03),(50 236655.7),(51 236220.88),(52 234724.53),(53 232945.61),(54 233274.02),(55 232887.13),(56 231945.11),(57 231625.3),(58 231154.58),(59 233033.94),(60 234925.42),(61 236170.47),(62 237769.89),(63 237655.73),(64 235637.33),(65 233549.48),(66 232425.16),(67 230570.83),(68 228595.2),(69 228270.92),(70 227123.84),(71 227240.58),(72 227376.75),(73 227418.81),(74 227178.84),(75 227447.83),(76 228373.66),(77 229417.16),(78 229290.81),(79 227706.64),
(1 11446.397),(2 34779.508),(3 63324.957),(4 91622.28),(5 117561.96),(6 135614.38),(7 149787.6),(8 159546.83),(9 167173.44),(10 173631.25),(11 178665.48),(12 183906.6),(13 189607.8),(14 194389.64),(15 199723.36),(16 205400.53),(17 211411.64),(18 216629.66),(19 220376.88),(20 222828.6),(21 224630.9),(22 227136.7),(23 228446.92),(24 229283.58),(25 231411.75),(26 233970.92),(27 234998.83),(28 235215.36),(29 235085.44),(30 234306.78),(31 233530.55),(32 233839.27),(33 234617.92),(34 235466.52),(35 234612.9),(36 233676.86),(37 232482.28),(38 232840.5),(39 233110.02),(40 231630.6),(41 230886.88),(42 231235.06),(43 230118.02),(44 229390.3),(45 229419.1),(46 229286.64),(47 228983.23),(48 229534.13),(49 227908.77),(50 225521.27),(51 223411.98),(52 220858.44),(53 218802.55),(54 217559.06),(55 216788.1),(56 216689.13),(57 216963.39),(58 217508.95),(59 218394.23),(60 218699.89),(61 217764.66),(62 218918.61),(63 220383.75),(64 220662.61),(65 221820.72),(66 221454.34),(67 219910.84),(68 219439.4),(69 219218.11),(70 218196.22),(71 218507.1),(72 217275.56),(73 214423.7),(74 213075.94),(75 212349.16),(76 212108.03),(77 212870.64),(78 214382.17),(79 214807.16),
(1 12244.698),(2 36793.367),(3 66553.27),(4 94619.48),(5 119356.805),(6 136206.23),(7 148808.77),(8 157764.27),(9 165265.97),(10 171208.2),(11 176173.1),(12 181855.23),(13 187566.88),(14 190956.31),(15 194422.81),(16 199770.75),(17 204846.23),(18 209290.08),(19 214212.47),(20 217708.34),(21 220279.98),(22 223342.17),(23 226008.88),(24 230190.77),(25 234888.45),(26 236758.5),(27 238060.36),(28 239820.39),(29 239985.13),(30 238651.95),(31 238434.45),(32 237726.3),(33 237160),(34 235249.45),(35 232399.94),(36 229625.47),(37 226446.34),(38 224394.25),(39 223411.03),(40 223483.5),(41 223934.17),(42 224665.16),(43 224384.95),(44 223474.44),(45 223352.6),(46 222077.78),(47 221034),(48 219537.78),(49 218413.17),(50 218512.31),(51 217846.75),(52 216688.06),(53 215849.95),(54 214397.06),(55 211096.45),(56 209016.67),(57 209157.11),(58 209845.31),(59 211265.17),(60 210917.58),(61 210166.17),(62 209560.84),(63 210277.58),(64 209681.03),(65 210947.88),(66 213063.61),(67 215530.31),(68 218670.13),(69 221402.25),(70 222021.83),(71 222991.13),(72 223102.23),(73 223809.66),(74 225513.77),(75 227204.38),(76 227452.13),(77 227640.14),(78 226945.63),(79 227120.75),
(1 11768.127),(2 35295.492),(3 63541.12),(4 90278.26),(5 114493.12),(6 131164.66),(7 143919.9),(8 152341.27),(9 160012.36),(10 166074.94),(11 171792.31),(12 178559.08),(13 183888.98),(14 186930.33),(15 190500.44),(16 195853.7),(17 200377.16),(18 205282.73),(19 210227.02),(20 215236.03),(21 219331.3),(22 222593.56),(23 222691.33),(24 223216.19),(25 224496.53),(26 225611.17),(27 227823.56),(28 230566.94),(29 232629.02),(30 233805.22),(31 234180.66),(32 233109.88),(33 231249.81),(34 227564.75),(35 223282.17),(36 220298.02),(37 216973.66),(38 214423.47),(39 213195.16),(40 214347.02),(41 215330.02),(42 216673.6),(43 218326),(44 220768.64),(45 223311.55),(46 225015.34),(47 225537.66),(48 226454.23),(49 227732.72),(50 229358.92),(51 229662.53),(52 229932.17),(53 227927.75),(54 225633.23),(55 221380.36),(56 218999.22),(57 216663.77),(58 213899.02),(59 212274.67),(60 211135.28),(61 211094.72),(62 212107.4),(63 213963.25),(64 214730.75),(65 215346.19),(66 216678.9),(67 215903.16),(68 214212.84),(69 213848.97),(70 212810.78),(71 211408.13),(72 211825.8),(73 212424.64),(74 214235.03),(75 215891.33),(76 217389.52),(77 220419.66),(78 222573.58),(79 223212.25),
(1 11933.346),(2 36104.027),(3 64949.016),(4 92070.12),(5 116243.234),(6 132755.98),(7 146245.9),(8 156379.31),(9 165209.86),(10 173252.56),(11 181340.1),(12 189238.42),(13 195746.17),(14 199226.63),(15 203925.66),(16 209147.47),(17 213436.02),(18 218131.95),(19 223131.48),(20 228727.03),(21 232580.72),(22 233872.7),(23 230904.34),(24 228519.58),(25 226546.58),(26 226667.28),(27 227546.89),(28 228133.83),(29 227729.55),(30 228243.38),(31 228703.28),(32 228911.7),(33 228591.56),(34 227234.69),(35 226538.48),(36 227535.89),(37 227949.52),(38 228038.56),(39 228552.06),(40 228033.63),(41 227937.66),(42 228841.8),(43 228489.8),(44 227429.42),(45 226098.55),(46 223606.88),(47 222490.73),(48 221941.42),(49 221220.13),(50 221728.38),(51 222266.34),(52 222109.69),(53 222136.38),(54 221140.6),(55 218618.47),(56 217305.05),(57 216443.4),(58 216803.05),(59 218442.44),(60 219522.48),(61 218995.7),(62 218058.89),(63 216677.8),(64 214590.25),(65 213540.63),(66 213573.47),(67 213449.56),(68 214761.53),(69 217145.88),(70 216549.69),(71 215774.7),(72 215771.72),(73 216093.9),(74 218206.8),(75 220552.56),(76 220909.66),(77 219564.33),(78 219235.63),(79 219921.39),
(1 11722.43),(2 35297.57),(3 63521.77),(4 90377.555),(5 115556.91),(6 133840.98),(7 148277.92),(8 158505.31),(9 166138.78),(10 172336.48),(11 177441.08),(12 182920.78),(13 188597.36),(14 193725.7),(15 200689.17),(16 207833.55),(17 213318.25),(18 219222.4),(19 225508.5),(20 230314.95),(21 233182.39),(22 235133.88),(23 234576.2),(24 232997.53),(25 231221.78),(26 229033.92),(27 226941.83),(28 225960.84),(29 223889.45),(30 222533.83),(31 221120),(32 220156.55),(33 218973.03),(34 217492.97),(35 216693.98),(36 217177.16),(37 218437.25),(38 220078.4),(39 222449.81),(40 223841.22),(41 224096.36),(42 224672.45),(43 223323.06),(44 223023.84),(45 223859.42),(46 223481.2),(47 223081.63),(48 222498.97),(49 221303.31),(50 221688.73),(51 221767.83),(52 221732.17),(53 222464.16),(54 222020.86),(55 221243.39),(56 221086.66),(57 221414.89),(58 222191.45),(59 224635.55),(60 226932.67),(61 227276.39),(62 228028.97),(63 229000.56),(64 229708.08),(65 230007.34),(66 229016.8),(67 225670.94),(68 223073.83),(69 220653.9),(70 218455.66),(71 217812.39),(72 217846.66),(73 218471.55),(74 218629.44),(75 219032.77),(76 218937.34),(77 219074.39),(78 219013.8),(79 218476.73),
(1 11436.532),(2 33977.996),(3 60893.953),(4 86608.2),(5 112030.41),(6 128888.64),(7 141355.34),(8 149833.89),(9 157421.64),(10 162999.11),(11 167674.84),(12 171722),(13 176126.3),(14 180028.56),(15 186416.25),(16 193968.5),(17 200879.83),(18 208231.44),(19 214039.06),(20 218055.36),(21 221083.75),(22 222577.73),(23 221544.28),(24 219504.88),(25 218659.66),(26 218300.56),(27 219253.2),(28 219222.69),(29 218658.63),(30 219597.13),(31 221069.56),(32 222396.78),(33 222267.3),(34 221026.52),(35 218791.25),(36 217087.61),(37 215661.34),(38 213592.17),(39 211802.05),(40 209945.95),(41 208484.98),(42 207907.13),(43 206443.08),(44 205553.58),(45 204626.55),(46 202411.64),(47 200964.88),(48 202051.11),(49 203292.19),(50 203674.02),(51 204215.55),(52 205651.95),(53 205962.5),(54 206156.8),(55 207026.7),(56 207556),(57 207632.05),(58 207938.3),(59 208781.9),(60 208385.98),(61 206551.16),(62 205881.88),(63 205363.13),(64 205850.98),(65 207501.5),(66 210313.78),(67 210648.78),(68 210587.3),(69 211498.52),(70 211398.61),(71 210672.08),(72 208993.81),(73 206183.78),(74 204701.05),(75 205876.3),(76 208391.16),(77 211286.64),(78 213216.19),(79 215635.73),
(1 11037.089),(2 32517.701),(3 58719.703),(4 84338.055),(5 108029.71),(6 124155.8),(7 136847.98),(8 145937.67),(9 154431.81),(10 162546.23),(11 169039.63),(12 174771.02),(13 179904.8),(14 184903.27),(15 191422.08),(16 198547.52),(17 203729.06),(18 209999.19),(19 215448.1),(20 219683.92),(21 224014.78),(22 226915.6),(23 227212.81),(24 227134.19),(25 226992.31),(26 225927.56),(27 225825.17),(28 224925.3),(29 223689.38),(30 223440.03),(31 221622.69),(32 220420.4),(33 218464.08),(34 215137.1),(35 212744.63),(36 212127.86),(37 212258.31),(38 212796.06),(39 213268.47),(40 213405.98),(41 213116.63),(42 212401.5),(43 211614.52),(44 210495.9),(45 209797.97),(46 210314.73),(47 212007.78),(48 214065.64),(49 214730.92),(50 215464.48),(51 216134.86),(52 216671.53),(53 218753.83),(54 220556.19),(55 222706.69),(56 224244.67),(57 225403.17),(58 225870.88),(59 225020.56),(60 223101.78),(61 220444.73),(62 219410.17),(63 218652.5),(64 217687.77),(65 217823.7),(66 217773.11),(67 217104.63),(68 218104.56),(69 219519.19),(70 219370.8),(71 219156.31),(72 219325.94),(73 218299.47),(74 217563.78),(75 218032.98),(76 217429.94),(77 216303.6),(78 216660.17),(79 215728.58),
(1 10781.525),(2 31519.014),(3 55819.324),(4 78631.18),(5 98903.75),(6 113977.38),(7 126666.2),(8 137460.73),(9 146507.48),(10 155348.66),(11 162112.95),(12 167972.53),(13 173297.53),(14 177695.19),(15 183296.97),(16 189659.22),(17 193751.61),(18 197918.84),(19 201241.33),(20 203779.47),(21 205739.25),(22 206688.92),(23 206188.06),(24 206750.13),(25 207145.77),(26 207611.89),(27 208590.67),(28 208877.95),(29 207774.75),(30 207820.14),(31 207974.73),(32 208765.38),(33 210084.95),(34 210768.38),(35 212378.94),(36 215416.8),(37 216111.92),(38 215359.05),(39 214382.61),(40 212110.3),(41 210152.77),(42 208118.19),(43 205847.75),(44 204770.78),(45 204384.98),(46 203482.72),(47 202163.53),(48 202845.05),(49 202606.25),(50 201785.53),(51 200295.2),(52 198864.17),(53 198983.05),(54 198327.3),(55 197865.73),(56 197810.17),(57 197800.94),(58 197467.44),(59 196714.31),(60 195593.17),(61 194234.94),(62 194510.52),(63 195528.64),(64 195485.36),(65 194450.19),(66 193024.27),(67 191008.92),(68 190597.9),(69 191400.84),(70 192334.98),(71 194045.16),(72 195236.44),(73 194922.8),(74 194782.34),(75 196030.77),(76 196734.92),(77 197971.77),(78 199662.84),(79 201408.83),
(1 10723.752),(2 31245.836),(3 55145.254),(4 77076.43),(5 98506.414),(6 113683.38),(7 126000.19),(8 136131.9),(9 144656.34),(10 153306.55),(11 159949.56),(12 166095.83),(13 172703.53),(14 178671.69),(15 186140.25),(16 193178.64),(17 199265.97),(18 205699.06),(19 211381.86),(20 214337.58),(21 215359.08),(22 215185.92),(23 213647.2),(24 213121.02),(25 212122.89),(26 211634.95),(27 210761.97),(28 210990.13),(29 210590.45),(30 210323.06),(31 209895.02),(32 208845.39),(33 208299.31),(34 207991.94),(35 208221.47),(36 207998.06),(37 208226.02),(38 207795.34),(39 207956.64),(40 207148.2),(41 207286.38),(42 207496.4),(43 207061.84),(44 207318.45),(45 207892.58),(46 208617.1),(47 208592.61),(48 209094.88),(49 207618.03),(50 206127.2),(51 205164.16),(52 203499.53),(53 202810.47),(54 202090.22),(55 201755.73),(56 202215.88),(57 203140.31),(58 204052.69),(59 204088),(60 204005.69),(61 204769.19),(62 206380.92),(63 207831.33),(64 206830.89),(65 206302.75),(66 205988.14),(67 204389.45),(68 202934.7),(69 201802.1),(70 201507.47),(71 201380.92),(72 201453.19),(73 200154.97),(74 199244.42),(75 199326.08),(76 199166.14),(77 200605.38),(78 201919.95),(79 201446.83),
(1 10340.929),(2 30332.668),(3 53030.156),(4 74327.03),(5 92530.66),(6 106257.61),(7 117136.86),(8 125449.76),(9 132531.22),(10 139671.03),(11 145612.44),(12 151980.7),(13 158456),(14 163795.02),(15 169348.45),(16 175118.95),(17 179468.5),(18 183700.5),(19 187142.86),(20 188368.94),(21 187485.44),(22 186974.4),(23 186024.73),(24 186023.61),(25 186638.25),(26 186528.03),(27 187298.33),(28 187836.97),(29 188096.81),(30 189137.2),(31 190528.33),(32 192120.4),(33 193246.05),(34 193044.89),(35 192900.61),(36 192558.48),(37 192504.92),(38 191861.81),(39 192081.61),(40 192193.3),(41 192482.08),(42 192541.67),(43 191828.45),(44 191463.78),(45 191028.73),(46 190331.39),(47 189651.06),(48 189137.08),(49 188202.78),(50 188525.75),(51 187943.78),(52 186030.61),(53 183644.61),(54 181175.48),(55 180142.52),(56 179573.88),(57 179874.88),(58 180346.16),(59 180428.33),(60 180066.19),(61 179221.72),(62 179400.06),(63 179423.27),(64 179611.9),(65 181070.5),(66 182011.97),(67 180465.89),(68 179039.3),(69 178546.11),(70 178153.48),(71 178469.48),(72 178887.03),(73 179738.88),(74 180276.8),(75 180874.86),(76 181856.25),(77 182484.2),(78 182810.03),(79 182538.7),
(1 10155.803),(2 29319.438),(3 51358.29),(4 71877.2),(5 89580.48),(6 102210.91),(7 112423.734),(8 120500.75),(9 128406.68),(10 136349.42),(11 142924.05),(12 148263.31),(13 153063.23),(14 156831.56),(15 162269.89),(16 167159.48),(17 171630.47),(18 175262.27),(19 177477.06),(20 177952.16),(21 178300.11),(22 179011.34),(23 178699.44),(24 178024.66),(25 176995.27),(26 175267.9),(27 174060.77),(28 171839.47),(29 171418.14),(30 174151.75),(31 175728.58),(32 176532.11),(33 178511.03),(34 180127.27),(35 181396.73),(36 183024.84),(37 183570.33),(38 184272.42),(39 184714),(40 184508.64),(41 185343.89),(42 185958.33),(43 184676.8),(44 183617.23),(45 184315.34),(46 185707.8),(47 187599.42),(48 189953.06),(49 190180.55),(50 190487.83),(51 189724.83),(52 187466.77),(53 184813.06),(54 181599.17),(55 179245.3),(56 177390.02),(57 175234.02),(58 173993.8),(59 173289.6),(60 172697.81),(61 172104.16),(62 172601.67),(63 172633.47),(64 172291.2),(65 173736.42),(66 176101.42),(67 176658.3),(68 178069.44),(69 179093.5),(70 178873.81),(71 179172.39),(72 179008.66),(73 178276.95),(74 178074.1),(75 178896.8),(76 180522.19),(77 181738.27),(78 182246.14),(79 182124.42),
(1 9866.161),(2 28196.813),(3 48990.934),(4 68705.41),(5 86870.05),(6 100195.586),(7 112229.22),(8 121308.81),(9 128579.234),(10 136290.81),(11 142315.81),(12 147264.52),(13 151416.88),(14 153683.1),(15 156029.1),(16 158682.64),(17 160113.39),(18 161351.03),(19 162284.77),(20 162076.56),(21 161972.86),(22 161831.63),(23 161876.64),(24 163138.23),(25 164228.34),(26 163893.88),(27 164586.9),(28 165822.73),(29 167497.89),(30 169010.92),(31 169115.56),(32 168914.13),(33 169358.22),(34 170097.4),(35 171497.9),(36 173475.66),(37 174800.22),(38 175854.31),(39 177938.55),(40 179512.89),(41 181570.97),(42 183693.17),(43 183547.05),(44 184810.77),(45 186531.2),(46 189644.1),(47 193136.53),(48 195566.94),(49 195888.16),(50 197618.7),(51 198032.7),(52 198207.64),(53 197931.53),(54 198346.81),(55 198562.56),(56 198625.66),(57 198934.89),(58 198469.98),(59 198016.67),(60 196234.44),(61 193653.7),(62 191717.6),(63 189359.64),(64 187258.94),(65 186600.78),(66 186395.63),(67 185907.61),(68 185792.28),(69 185733.33),(70 184099.53),(71 182649.25),(72 182227.61),(73 181127.06),(74 179942.63),(75 178830.4),(76 178069.77),(77 178826.06),(78 179055.4),(79 177942.3),
(1 9754.734),(2 27856.342),(3 48628.52),(4 68224.46),(5 86458.8),(6 100693.1),(7 112981.25),(8 123128.76),(9 132043.73),(10 139479.83),(11 144867.38),(12 150339.69),(13 154927.08),(14 156341.67),(15 158187.75),(16 159607.97),(17 159762.55),(18 160300.44),(19 161243.4),(20 160551.19),(21 160613.86),(22 162009.31),(23 163884.42),(24 164009.98),(25 163591.34),(26 163045.77),(27 163788.25),(28 164915.7),(29 165862.16),(30 166035.78),(31 166282.83),(32 165542.42),(33 164936.19),(34 164812.94),(35 164966.48),(36 165902.11),(37 166263.42),(38 167457.77),(39 168869.9),(40 168521.56),(41 167362.92),(42 166977.2),(43 167138.11),(44 168572.16),(45 170115.23),(46 170492.81),(47 171216.89),(48 172291.1),(49 172199.11),(50 173389.45),(51 173709.77),(52 173717.9),(53 174374.17),(54 176071.25),(55 178353.97),(56 179762.36),(57 180977.63),(58 180859.16),(59 180936.6),(60 180437.2),(61 179371.81),(62 178989.52),(63 179470.44),(64 178984.73),(65 179138.83),(66 179501.47),(67 178176.16),(68 178253.8),(69 178250.42),(70 178420.53),(71 179171.34),(72 180769.45),(73 181405.7),(74 182141.86),(75 183705.7),(76 185401.95),(77 186793.14),(78 187684.31),(79 186788),
