1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 99121.53),(2 311425.66),(3 629397.8),(4 1139418),(5 1736457.9),(6 2416208.3),(7 3274217),(8 4224550.5),(9 5213531.5),(10 6389996),(11 7671044),(12 9005787),(13 10562697),(14 12191344),(15 13952037),(16 15820727),(17 17775282),(18 19825786),(19 22073730),(20 24481750),(21 26960678),(22 29721776),(23 32700090),(24 35678420),(25 38874870),(26 42190690),(27 45615148),(28 49209876),(29 52836000),(30 56418910),(31 60230176),(32 64120436),(33 68063520),(34 72172560),(35 76464216),(36 80767380),(37 85198400),(38 89988504),(39 94618776),(40 99438040),(41 104365304),(42 109288216),(43 114488984),(44 119782950),(45 125120440),(46 130635390),(47 136289260),(48 141884560),(49 147600750),(50 153404590),(51 159327800),(52 165614020),(53 172292670),(54 178610450),(55 185225140),(56 191720460),(57 197958610),(58 204391380),(59 210762380),(60 216908180),(61 223533490),(62 230139700),(63 236386450),(64 242743980),(65 248709390),(66 254393020),(67 260187220),(68 265576720),(69 270697630),(70 276197220),(71 281362720),(72 286214880),(73 291372220),(74 295761340),(75 299910820),(76 303949660),(77 307897380),(78 311708320),(79 315943970),
(1 68361.81),(2 205350.63),(3 410084.7),(4 756127.7),(5 1138211.4),(6 1565818.3),(7 2119342),(8 2696281.3),(9 3319201.8),(10 4101926.5),(11 4898891),(12 5728786),(13 6749906.5),(14 7765365),(15 8868594),(16 10113350),(17 11386808),(18 12784190),(19 14414902),(20 16132762),(21 17987410),(22 20120048),(23 22435376),(24 24789796),(25 27345306),(26 29916934),(27 32550420),(28 35331724),(29 38157390),(30 41042636),(31 44004100),(32 46961190),(33 49960660),(34 53095104),(35 56123660),(36 59184760),(37 62295416),(38 65420160),(39 68411200),(40 71500776),(41 74380660),(42 77221630),(43 80083180),(44 82722856),(45 85283610),(46 87853440),(47 90320180),(48 92770110),(49 95313390),(50 97610264),(51 99883340),(52 102278440),(53 104565030),(54 106637060),(55 108740140),(56 110746100),(57 112898664),(58 115496870),(59 118005140),(60 120514740),(61 123120744),(62 125623660),(63 127998510),(64 130475370),(65 132664600),(66 134945440),(67 137267730),(68 139411360),(69 141323230),(70 143251040),(71 144872350),(72 146574350),(73 148306140),(74 149826130),(75 151532450),(76 153154380),(77 154529730),(78 155944300),(79 157271330),
(1 71707.04),(2 238895.2),(3 501025),(4 893640.5),(5 1373711.1),(6 1936527.9),(7 2595496.3),(8 3269952.3),(9 4039889),(10 4930943),(11 5851434),(12 6895707.5),(13 8055978.5),(14 9239196),(15 10513080),(16 11898507),(17 13314725),(18 14828859),(19 16460755),(20 18122430),(21 19898158),(22 21803670),(23 23815922),(24 25871362),(25 27957794),(26 29968424),(27 31873616),(28 33765868),(29 35753024),(30 37636716),(31 39438390),(32 41229756),(33 42940684),(34 44680456),(35 46413972),(36 48168784),(37 49900828),(38 51756556),(39 53438828),(40 55149940),(41 56811776),(42 58389984),(43 59965580),(44 61523428),(45 63004560),(46 64462828),(47 65852060),(48 67291750),(49 68847330),(50 70340984),(51 71829350),(52 73471304),(53 75179944),(54 76828170),(55 78379830),(56 79797410),(57 81166190),(58 82646616),(59 84043256),(60 85417224),(61 86719280),(62 87791360),(63 88643010),(64 89457656),(65 90200730),(66 90900330),(67 91604216),(68 92399190),(69 93157240),(70 93941464),(71 94617176),(72 95292090),(73 95977816),(74 96518696),(75 97037960),(76 97711496),(77 98248650),(78 98615750),(79 98917850),
(1 77944.97),(2 290447.13),(3 620617.6),(4 1063951.4),(5 1603334.3),(6 2236093),(7 2953503.8),(8 3716215),(9 4532457),(10 5446895.5),(11 6457844.5),(12 7539291.5),(13 8709642),(14 9923358),(15 11165452),(16 12464946),(17 13816527),(18 15185129),(19 16609806),(20 18069064),(21 19550396),(22 21042824),(23 22558742),(24 24130502),(25 25704526),(26 27308316),(27 28901066),(28 30418038),(29 32033628),(30 33665040),(31 35290276),(32 36919104),(33 38491164),(34 40059724),(35 41628624),(36 43190180),(37 44716428),(38 46304910),(39 47766724),(40 49214852),(41 50604644),(42 51939730),(43 53251490),(44 54625344),(45 55846184),(46 56944548),(47 57955564),(48 58917456),(49 59849330),(50 60691456),(51 61494510),(52 62230070),(53 62997740),(54 63662984),(55 64277110),(56 64767560),(57 65257116),(58 65811070),(59 66251210),(60 66604550),(61 66896400),(62 67105464),(63 67259370),(64 67382280),(65 67405920),(66 67296680),(67 67229530),(68 67202490),(69 67141080),(70 67082440),(71 66963200),(72 66859336),(73 66749710),(74 66511630),(75 66285788),(76 66231084),(77 66227220),(78 66231990),(79 66306680),
(1 110355.16),(2 419609.7),(3 908015.25),(4 1570861.1),(5 2386062.5),(6 3336360.8),(7 4411431.5),(8 5579611),(9 6826679.5),(10 8193495.5),(11 9641436),(12 11171594),(13 12787839),(14 14445056),(15 16148681),(16 17934746),(17 19754466),(18 21597864),(19 23525214),(20 25469064),(21 27422284),(22 29411290),(23 31454828),(24 33475042),(25 35456984),(26 37373696),(27 39201190),(28 40935204),(29 42612776),(30 44191010),(31 45710210),(32 47179600),(33 48587510),(34 50065710),(35 51454976),(36 52763096),(37 53954350),(38 55025560),(39 55979764),(40 56838680),(41 57595730),(42 58275990),(43 58898180),(44 59446844),(45 59968012),(46 60395484),(47 60739110),(48 61018330),(49 61241060),(50 61424036),(51 61610670),(52 61747664),(53 61860184),(54 61911704),(55 61923136),(56 61896470),(57 61846250),(58 61777692),(59 61651596),(60 61480190),(61 61315460),(62 61128370),(63 60936110),(64 60805492),(65 60661680),(66 60487092),(67 60294692),(68 60129036),(69 59961924),(70 59745436),(71 59543656),(72 59352750),(73 59180944),(74 59060796),(75 58935844),(76 58876056),(77 58883790),(78 58916656),(79 58966350),
(1 88407.33),(2 331910.7),(3 707078.3),(4 1209887),(5 1833681.3),(6 2555066.5),(7 3368731.3),(8 4254460),(9 5216942.5),(10 6249205),(11 7344365),(12 8478536),(13 9669370),(14 10897175),(15 12185467),(16 13470141),(17 14769280),(18 16083488),(19 17371222),(20 18640812),(21 19894256),(22 21121524),(23 22366694),(24 23560404),(25 24709270),(26 25833380),(27 26953312),(28 28092544),(29 29260934),(30 30410688),(31 31552932),(32 32652602),(33 33732532),(34 34824988),(35 35900616),(36 36937524),(37 37949276),(38 38923930),(39 39854356),(40 40724390),(41 41555336),(42 42328024),(43 43025850),(44 43704224),(45 44340428),(46 44915910),(47 45487840),(48 46037292),(49 46504440),(50 46906560),(51 47220664),(52 47424244),(53 47580010),(54 47668544),(55 47701996),(56 47733984),(57 47753292),(58 47751510),(59 47797748),(60 47878456),(61 47940076),(62 47978264),(63 47972664),(64 47947276),(65 47929630),(66 47893980),(67 47841972),(68 47799520),(69 47777764),(70 47724756),(71 47681108),(72 47653480),(73 47652640),(74 47678604),(75 47677784),(76 47643864),(77 47617620),(78 47587450),(79 47569670),
(1 97375.26),(2 366503.28),(3 791132.3),(4 1365734.1),(5 2075630),(6 2905942.8),(7 3856120.5),(8 4907673),(9 6045010.5),(10 7261465),(11 8557317),(12 9917212),(13 11325710),(14 12772726),(15 14242730),(16 15705786),(17 17151442),(18 18573016),(19 19999348),(20 21381892),(21 22682500),(22 23977046),(23 25259584),(24 26416904),(25 27510600),(26 28540782),(27 29501472),(28 30379748),(29 31199240),(30 31918812),(31 32530558),(32 33022526),(33 33402978),(34 33699780),(35 33920584),(36 34041530),(37 34113364),(38 34114320),(39 34028090),(40 33857560),(41 33605680),(42 33286632),(43 32922760),(44 32526268),(45 32131314),(46 31757390),(47 31424824),(48 31156770),(49 30949020),(50 30746720),(51 30572160),(52 30418270),(53 30277784),(54 30158962),(55 30089886),(56 30014676),(57 29982792),(58 30002600),(59 30030798),(60 30077588),(61 30082366),(62 30032248),(63 29975092),(64 29896030),(65 29780440),(66 29625752),(67 29470274),(68 29315036),(69 29120288),(70 28836542),(71 28518514),(72 28198530),(73 27814902),(74 27398626),(75 26976580),(76 26528970),(77 26058504),(78 25584168),(79 25076462),
(1 107774.1),(2 410840.06),(3 893789.25),(4 1533035.5),(5 2325336.8),(6 3257015.8),(7 4302113.5),(8 5445823),(9 6674517.5),(10 7965275.5),(11 9312608),(12 10683936),(13 12058261),(14 13404213),(15 14727856),(16 16019521),(17 17225104),(18 18349974),(19 19386286),(20 20269930),(21 21031526),(22 21666740),(23 22155566),(24 22493510),(25 22719068),(26 22824274),(27 22787316),(28 22703156),(29 22557502),(30 22340394),(31 22043672),(32 21652772),(33 21180868),(34 20687500),(35 20179502),(36 19666936),(37 19176646),(38 18715692),(39 18295470),(40 17922278),(41 17615636),(42 17381364),(43 17215618),(44 17121392),(45 17067602),(46 17027350),(47 17028034),(48 17066122),(49 17160136),(50 17341102),(51 17571870),(52 17828196),(53 18131342),(54 18456474),(55 18798846),(56 19190942),(57 19664282),(58 20155828),(59 20620036),(60 21040588),(61 21384888),(62 21662464),(63 21884604),(64 21971242),(65 21951800),(66 21850560),(67 21678996),(68 21467068),(69 21196716),(70 20919660),(71 20626066),(72 20346396),(73 20060804),(74 19783872),(75 19573746),(76 19393506),(77 19282052),(78 19232390),(79 19251966),
(1 95280.25),(2 361635.25),(3 781077.3),(4 1329823.8),(5 1997553.4),(6 2763401.5),(7 3624883.3),(8 4560749),(9 5553027),(10 6604001),(11 7697954.5),(12 8826708),(13 9966849),(14 11109719),(15 12261452),(16 13390467),(17 14498373),(18 15573438),(19 16590072),(20 17504034),(21 18297670),(22 19004852),(23 19633468),(24 20153408),(25 20578680),(26 20899064),(27 21123262),(28 21313920),(29 21426400),(30 21481390),(31 21477116),(32 21417286),(33 21311650),(34 21137588),(35 20940354),(36 20732994),(37 20507728),(38 20259840),(39 19989812),(40 19691350),(41 19414000),(42 19179276),(43 18963578),(44 18791342),(45 18658718),(46 18538786),(47 18471642),(48 18454838),(49 18475498),(50 18588144),(51 18753928),(52 18952840),(53 19195664),(54 19451534),(55 19733536),(56 20024600),(57 20322740),(58 20572386),(59 20807716),(60 21021294),(61 21226736),(62 21406438),(63 21528804),(64 21559628),(65 21560500),(66 21518750),(67 21447760),(68 21363798),(69 21259408),(70 21134194),(71 20993906),(72 20826994),(73 20626236),(74 20416908),(75 20173648),(76 19886448),(77 19603364),(78 19298634),(79 19001546),
(1 99673.664),(2 380724.44),(3 832647.3),(4 1439860.4),(5 2186899.5),(6 3033311),(7 3955629.3),(8 4936546),(9 5988269.5),(10 7101708),(11 8267584),(12 9443386),(13 10606674),(14 11729700),(15 12792761),(16 13774700),(17 14680324),(18 15506923),(19 16245627),(20 16810824),(21 17257264),(22 17567542),(23 17797240),(24 17957554),(25 18050908),(26 18069806),(27 18012790),(28 17942094),(29 17852786),(30 17769648),(31 17677256),(32 17578448),(33 17464836),(34 17348302),(35 17245074),(36 17158324),(37 17092906),(38 17043330),(39 16986286),(40 16924266),(41 16869770),(42 16807816),(43 16762524),(44 16700804),(45 16653973),(46 16611904),(47 16566197),(48 16515552),(49 16451680),(50 16382667),(51 16306478),(52 16223673),(53 16142450),(54 16032491),(55 15897031),(56 15741237),(57 15612734),(58 15518254),(59 15460389),(60 15431799),(61 15457774),(62 15541420),(63 15654983),(64 15804665),(65 15988564),(66 16200880),(67 16455787),(68 16755758),(69 17066272),(70 17370882),(71 17679608),(72 17943300),(73 18215118),(74 18505888),(75 18796084),(76 19055540),(77 19272900),(78 19402588),(79 19453658),
(1 101723.07),(2 379360.7),(3 802602.4),(4 1343790.5),(5 1989838.1),(6 2707435.3),(7 3475446.8),(8 4269486),(9 5085574.5),(10 5908968.5),(11 6739091),(12 7546181.5),(13 8307399.5),(14 8997264),(15 9623517),(16 10179363),(17 10652218),(18 11049632),(19 11392666),(20 11649112),(21 11820332),(22 11943901),(23 12035915),(24 12097768),(25 12156087),(26 12228477),(27 12312527),(28 12458667),(29 12649299),(30 12891677),(31 13206409),(32 13583329),(33 13991791),(34 14476909),(35 14990984),(36 15518507),(37 16051063),(38 16596280),(39 17137980),(40 17645380),(41 18115886),(42 18571542),(43 18983458),(44 19320048),(45 19605240),(46 19841370),(47 20022690),(48 20144494),(49 20239024),(50 20264558),(51 20225712),(52 20101534),(53 19922526),(54 19708134),(55 19472878),(56 19211602),(57 18963750),(58 18720692),(59 18473050),(60 18249462),(61 18112884),(62 18034300),(63 17991496),(64 17991536),(65 18036902),(66 18150986),(67 18326702),(68 18569570),(69 18846720),(70 19148032),(71 19438796),(72 19732766),(73 20006544),(74 20269598),(75 20563946),(76 20809200),(77 21004784),(78 21139686),(79 21230476),
