1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 132543.56),(2 350363.66),(3 735138.8),(4 1140684),(5 1676878.1),(6 2220630),(7 2854897.3),(8 3444966.8),(9 4146561.3),(10 4843720.5),(11 5685043.5),(12 6582182.5),(13 7635706.5),(14 8799037),(15 10184883),(16 11606072),(17 13128472),(18 14746492),(19 16324737),(20 17783534),(21 19279882),(22 20742718),(23 22450178),(24 23994480),(25 26090520),(26 27887952),(27 29853470),(28 31802064),(29 33739750),(30 35716590),(31 37607664),(32 39559284),(33 41426240),(34 43296476),(35 45051244),(36 46901136),(37 48611644),(38 50457388),(39 52221744),(40 54123890),(41 55935444),(42 57918224),(43 59865810),(44 61786268),(45 63732940),(46 65533140),(47 67304900),(48 68935780),(49 70715704),(50 72957610),(51 74637730),(52 76404440),(53 78181150),(54 79902230),(55 81818070),(56 83911624),(57 85859624),(58 87810056),(59 89857920),(60 91674600),(61 93621310),(62 95597560),(63 97607960),(64 100104424),(65 102531736),(66 104858410),(67 107319580),(68 109965290),(69 112988190),(70 115876320),(71 118747864),(72 121816856),(73 124699990),(74 127978370),(75 131561240),(76 134634770),(77 137587020),(78 140528140),(79 143155250),
(1 89274.29),(2 287533.6),(3 585018.9),(4 960721.8),(5 1434067.6),(6 1992336.8),(7 2628837),(8 3289829.8),(9 4024226.5),(10 4807563),(11 5633126.5),(12 6460477.5),(13 7362921),(14 8299017.5),(15 9335701),(16 10349766),(17 11407054),(18 12481558),(19 13636282),(20 14836394),(21 16047040),(22 17245412),(23 18522582),(24 19757476),(25 21144986),(26 22378452),(27 23542810),(28 24691144),(29 25755716),(30 26814828),(31 27827302),(32 28855052),(33 29966228),(34 31142746),(35 32389862),(36 33666172),(37 34909556),(38 36184904),(39 37386188),(40 38572372),(41 39698650),(42 40866476),(43 41878616),(44 42851396),(45 43834884),(46 44804730),(47 45747544),(48 46649744),(49 47592870),(50 48778584),(51 49779740),(52 50807548),(53 51946252),(54 53025108),(55 54021416),(56 55005844),(57 56109150),(58 57022700),(59 58057708),(60 59056588),(61 60100376),(62 61173260),(63 62216896),(64 63406656),(65 64705396),(66 66094868),(67 67466600),(68 68976270),(69 70488960),(70 71858100),(71 73088560),(72 74304630),(73 75536050),(74 76828050),(75 78063100),(76 79223680),(77 80306360),(78 81463576),(79 82459630),
(1 70891.76),(2 230564.52),(3 461835.38),(4 735605.7),(5 1062527.1),(6 1418635.6),(7 1826477.1),(8 2243511.3),(9 2695626.8),(10 3169866),(11 3701958.8),(12 4258358.5),(13 4838506.5),(14 5463413.5),(15 6150461.5),(16 6812024.5),(17 7498493.5),(18 8150574.5),(19 8856633),(20 9502333),(21 10171843),(22 10807668),(23 11526064),(24 12222841),(25 13059621),(26 13755720),(27 14485987),(28 15250608),(29 15944181),(30 16648057),(31 17400770),(32 18165358),(33 18954358),(34 19774706),(35 20590986),(36 21414390),(37 22210938),(38 23100360),(39 23978782),(40 24799306),(41 25710632),(42 26655742),(43 27620882),(44 28546424),(45 29490102),(46 30386686),(47 31408696),(48 32378624),(49 33509318),(50 34877388),(51 36075510),(52 37239996),(53 38526464),(54 39715700),(55 40962940),(56 42125000),(57 43431520),(58 44590868),(59 45807010),(60 46990556),(61 48107564),(62 49117084),(63 50102110),(64 51036784),(65 52028812),(66 52908116),(67 53814320),(68 54676516),(69 55554612),(70 56261360),(71 56846880),(72 57150652),(73 57333716),(74 57501090),(75 57750930),(76 57759584),(77 57791840),(78 57698784),(79 57527810),
(1 87306.41),(2 292650.7),(3 593091.9),(4 958185.1),(5 1384678.9),(6 1851782.3),(7 2378629),(8 2937719.8),(9 3539358.5),(10 4182732.5),(11 4871113),(12 5556374.5),(13 6249961.5),(14 6932926),(15 7613556.5),(16 8271806),(17 8923625),(18 9610128),(19 10373527),(20 11146395),(21 11860974),(22 12554162),(23 13322838),(24 14053326),(25 14840124),(26 15606146),(27 16437988),(28 17280026),(29 18179526),(30 19106286),(31 20023306),(32 20967850),(33 21915794),(34 22846204),(35 23800394),(36 24742702),(37 25622372),(38 26576584),(39 27479776),(40 28323816),(41 29061124),(42 29817862),(43 30586226),(44 31280344),(45 31999402),(46 32732330),(47 33502730),(48 34271572),(49 35083856),(50 35902052),(51 36688612),(52 37456076),(53 38401228),(54 39342296),(55 40319788),(56 41355500),(57 42402436),(58 43339132),(59 44317640),(60 45265800),(61 46253390),(62 47157760),(63 48215110),(64 49163824),(65 50086896),(66 50990390),(67 51793040),(68 52656236),(69 53499308),(70 54308230),(71 54961776),(72 55562550),(73 55970132),(74 56321560),(75 56617296),(76 56802190),(77 56844500),(78 56884124),(79 56722960),
(1 83502.39),(2 277962.97),(3 567347),(4 930168),(5 1348971.3),(6 1809801.5),(7 2352428.3),(8 2920105.5),(9 3532315.3),(10 4160458.3),(11 4775396.5),(12 5353931),(13 5911456),(14 6447976),(15 6970407.5),(16 7452811.5),(17 7910790),(18 8414457),(19 8926940),(20 9443136),(21 9921900),(22 10384665),(23 10855209),(24 11310291),(25 11787906),(26 12279791),(27 12820038),(28 13391517),(29 13987658),(30 14602921),(31 15203828),(32 15846673),(33 16529324),(34 17228178),(35 17947342),(36 18666926),(37 19356582),(38 20130258),(39 20871630),(40 21597460),(41 22238126),(42 22917602),(43 23559842),(44 24218636),(45 24925062),(46 25588972),(47 26248274),(48 26935276),(49 27617658),(50 28233522),(51 28838158),(52 29443150),(53 30108178),(54 30760674),(55 31407134),(56 32107170),(57 32731706),(58 33231902),(59 33761116),(60 34254510),(61 34773116),(62 35346756),(63 35912372),(64 36463710),(65 36879836),(66 37333216),(67 37694230),(68 38081612),(69 38466896),(70 38933750),(71 39261436),(72 39661892),(73 39980580),(74 40239076),(75 40558660),(76 40816412),(77 41014536),(78 41202116),(79 41299470),
(1 92467.98),(2 316794.5),(3 651742.3),(4 1089700.3),(5 1614259),(6 2194956.8),(7 2849986.5),(8 3555316),(9 4290353),(10 5020811),(11 5771967),(12 6491567),(13 7185550.5),(14 7865924),(15 8515929),(16 9143034),(17 9722388),(18 10294340),(19 10892573),(20 11475910),(21 12063960),(22 12623542),(23 13145853),(24 13604398),(25 13995686),(26 14335728),(27 14704307),(28 15025142),(29 15325469),(30 15584104),(31 15847622),(32 16076128),(33 16339611),(34 16552454),(35 16755226),(36 16954262),(37 17116356),(38 17296302),(39 17485820),(40 17663724),(41 17777684),(42 17887424),(43 17924934),(44 17946932),(45 18018712),(46 18096614),(47 18214418),(48 18339484),(49 18548842),(50 18771734),(51 18961556),(52 19155018),(53 19350932),(54 19516902),(55 19716956),(56 19909610),(57 20069504),(58 20166618),(59 20276460),(60 20345628),(61 20345724),(62 20390980),(63 20359402),(64 20365332),(65 20336068),(66 20304506),(67 20192196),(68 20143300),(69 20168138),(70 20185024),(71 20220118),(72 20289254),(73 20426234),(74 20514380),(75 20679594),(76 20790992),(77 20922084),(78 21035200),(79 21165768),
(1 110695.805),(2 387438.7),(3 817057.7),(4 1372217.1),(5 2055080.6),(6 2795627.5),(7 3625294.3),(8 4460907),(9 5329892.5),(10 6167147),(11 6995461),(12 7834196.5),(13 8621641),(14 9394068),(15 10140959),(16 10857339),(17 11496311),(18 12052478),(19 12535781),(20 12965711),(21 13299804),(22 13560663),(23 13780368),(24 13946161),(25 14090634),(26 14137813),(27 14148868),(28 14101904),(29 14046255),(30 13978906),(31 13902742),(32 13835522),(33 13772734),(34 13737307),(35 13719342),(36 13721510),(37 13759964),(38 13840710),(39 13951685),(40 14090075),(41 14270841),(42 14499045),(43 14796366),(44 15149689),(45 15551249),(46 15981388),(47 16425620),(48 16871464),(49 17354676),(50 17866976),(51 18336892),(52 18824696),(53 19294112),(54 19769634),(55 20168040),(56 20548702),(57 20943826),(58 21340960),(59 21734410),(60 22099902),(61 22444140),(62 22798418),(63 23012514),(64 23173120),(65 23312482),(66 23428548),(67 23442414),(68 23464472),(69 23447630),(70 23366606),(71 23229898),(72 23085696),(73 22968108),(74 22828736),(75 22711160),(76 22546174),(77 22435476),(78 22347978),(79 22200588),
(1 111418.07),(2 393951.34),(3 825532.56),(4 1376505.6),(5 2013378),(6 2720476.3),(7 3498391),(8 4299564),(9 5164195.5),(10 6030443.5),(11 6945509.5),(12 7809282.5),(13 8626644),(14 9389058),(15 10057965),(16 10677165),(17 11209689),(18 11637901),(19 11969841),(20 12180230),(21 12339686),(22 12453758),(23 12557328),(24 12649011),(25 12799264),(26 12859315),(27 12967630),(28 13071842),(29 13165017),(30 13277866),(31 13356853),(32 13417897),(33 13512382),(34 13616396),(35 13750641),(36 13892698),(37 14033331),(38 14150274),(39 14233238),(40 14290129),(41 14339149),(42 14392977),(43 14448861),(44 14476450),(45 14501830),(46 14532305),(47 14593819),(48 14651594),(49 14719456),(50 14736667),(51 14775187),(52 14839633),(53 14962821),(54 15100567),(55 15205486),(56 15336627),(57 15411356),(58 15455706),(59 15539961),(60 15625348),(61 15716978),(62 15765247),(63 15789891),(64 15775038),(65 15802463),(66 15796091),(67 15758865),(68 15705733),(69 15641327),(70 15546653),(71 15480726),(72 15401957),(73 15330256),(74 15264925),(75 15199374),(76 15119315),(77 15081180),(78 15079825),(79 15072167),
(1 109658.32),(2 387827.44),(3 809322.1),(4 1349889.9),(5 1989282.9),(6 2701876.8),(7 3486659.8),(8 4299876),(9 5156676.5),(10 6024786),(11 6901162),(12 7747906),(13 8543436),(14 9297538),(15 9998820),(16 10674659),(17 11257882),(18 11731963),(19 12091386),(20 12354505),(21 12528928),(22 12631304),(23 12658366),(24 12699132),(25 12727469),(26 12734766),(27 12722344),(28 12729403),(29 12729625),(30 12783164),(31 12849143),(32 12943748),(33 13067504),(34 13211640),(35 13386571),(36 13565582),(37 13739429),(38 13928645),(39 14120791),(40 14304134),(41 14438579),(42 14563112),(43 14669833),(44 14743183),(45 14791624),(46 14793798),(47 14804995),(48 14776213),(49 14713990),(50 14584497),(51 14455085),(52 14306787),(53 14173813),(54 14022942),(55 13891529),(56 13738717),(57 13609842),(58 13465304),(59 13305976),(60 13166178),(61 13061318),(62 12981185),(63 12891514),(64 12887230),(65 12915055),(66 12967734),(67 13012090),(68 13074399),(69 13178229),(70 13268738),(71 13342165),(72 13434554),(73 13515185),(74 13536675),(75 13541351),(76 13523721),(77 13489905),(78 13450608),(79 13377540),
(1 107549.14),(2 378220.25),(3 779114.6),(4 1281419),(5 1893261.8),(6 2563988.8),(7 3282604.3),(8 4023996.5),(9 4795060.5),(10 5564898),(11 6306511),(12 7006738.5),(13 7633381.5),(14 8235026),(15 8798349),(16 9337868),(17 9833857),(18 10289037),(19 10678012),(20 11003260),(21 11277033),(22 11470004),(23 11587964),(24 11666881),(25 11780313),(26 11790953),(27 11744384),(28 11672596),(29 11600945),(30 11513879),(31 11416772),(32 11324989),(33 11221616),(34 11128821),(35 11079614),(36 11013896),(37 10984117),(38 10952693),(39 10948892),(40 10943738),(41 10969492),(42 10995170),(43 11027614),(44 11058736),(45 11090654),(46 11131401),(47 11155627),(48 11177250),(49 11158103),(50 11142300),(51 11108652),(52 11044988),(53 10953055),(54 10887125),(55 10811785),(56 10749633),(57 10685749),(58 10620103),(59 10550140),(60 10494098),(61 10476734),(62 10469819),(63 10457837),(64 10498278),(65 10576415),(66 10730110),(67 10902525),(68 11082512),(69 11286338),(70 11504086),(71 11724116),(72 11946403),(73 12159780),(74 12370747),(75 12582428),(76 12774878),(77 12900555),(78 13019337),(79 13097946),
(1 96944.56),(2 340184.8),(3 709048.5),(4 1172006.9),(5 1714976.4),(6 2309149.3),(7 2964373.8),(8 3611041),(9 4279823.5),(10 4920383),(11 5503691.5),(12 6031317),(13 6511585),(14 6926129),(15 7292756),(16 7614677),(17 7885041),(18 8143060.5),(19 8363827),(20 8599951),(21 8831491),(22 9052222),(23 9215078),(24 9328148),(25 9433918),(26 9486400),(27 9517352),(28 9525571),(29 9511742),(30 9449877),(31 9350491),(32 9273675),(33 9191206),(34 9134159),(35 9110908),(36 9108670),(37 9138989),(38 9186294),(39 9256137),(40 9307415),(41 9356532),(42 9388114),(43 9404216),(44 9406357),(45 9414543),(46 9422945),(47 9411953),(48 9397320),(49 9362349),(50 9298465),(51 9251729),(52 9229212),(53 9192313),(54 9176122),(55 9136149),(56 9082483),(57 9043329),(58 9009886),(59 8975413),(60 8945767),(61 8946935),(62 8938553),(63 8926429),(64 8906530),(65 8910032),(66 8920664),(67 8915716),(68 8922700),(69 8907756),(70 8918633),(71 8963776),(72 8989848),(73 9042982),(74 9090173),(75 9182833),(76 9262580),(77 9354714),(78 9475212),(79 9610696),
