1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 269539.78),(2 909428.94),(3 1874665.9),(4 3147878),(5 4636596),(6 6351568.5),(7 8217545.5),(8 10166132),(9 12215216),(10 14369777),(11 16664520),(12 18878658),(13 21021994),(14 22967072),(15 24835546),(16 26524624),(17 28026928),(18 29366784),(19 30428862),(20 31291448),(21 32174090),(22 33010454),(23 34108268),(24 34970596),(25 35618148),(26 35992668),(27 36049948),(28 36003324),(29 35701204),(30 35484140),(31 35262684),(32 34520596),(33 33565600),(34 32617922),(35 31944274),(36 31568464),(37 31478666),(38 31415960),(39 31460134),(40 32001482),(41 32860464),(42 34153664),(43 35584852),(44 37157164),(45 38731412),(46 40640068),(47 42384868),(48 44089720),(49 45809100),(50 47272724),(51 48609936),(52 49932220),(53 51281572),(54 52670612),(55 53927620),(56 55130290),(57 56435744),(58 57777036),(59 59269652),(60 60815532),(61 62526572),(62 64283780),(63 66156096),(64 68201550),(65 70298090),(66 72531930),(67 75049760),(68 77658640),(69 80192510),(70 83087016),(71 86160390),(72 88927880),(73 91617090),(74 94230216),(75 96367864),(76 97894530),(77 98756260),(78 99305730),(79 99444840),
(1 288852.8),(2 1067804.4),(3 2312696.8),(4 3964640),(5 5995271.5),(6 8376253),(7 11025600),(8 13973712),(9 17115890),(10 20524212),(11 24135030),(12 27727002),(13 31228986),(14 34651050),(15 37975340),(16 41102988),(17 44083530),(18 46925264),(19 49363490),(20 51439944),(21 53312776),(22 55134964),(23 56953716),(24 58543820),(25 59893496),(26 60978710),(27 61689770),(28 62214412),(29 62609880),(30 63161120),(31 63747136),(32 63990664),(33 63850824),(34 63752630),(35 63719390),(36 63733250),(37 63982170),(38 64355052),(39 64672012),(40 65227096),(41 66046964),(42 67094120),(43 68207070),(44 69341940),(45 70389260),(46 71675570),(47 72840880),(48 73950380),(49 74985900),(50 75853860),(51 76531570),(52 77298680),(53 78193590),(54 79112530),(55 79931910),(56 80823816),(57 81802750),(58 82937496),(59 84295020),(60 85878460),(61 87619930),(62 89432270),(63 91207900),(64 92949300),(65 94533890),(66 96213830),(67 98133740),(68 100079624),(69 101977410),(70 104271400),(71 106247280),(72 108461400),(73 110359380),(74 112272460),(75 113964560),(76 115201510),(77 116052610),(78 116772970),(79 117328980),
(1 361241.03),(2 1350182.1),(3 2883708),(4 4871154.5),(5 7263626.5),(6 10057355),(7 13192477),(8 16717413),(9 20557048),(10 24790774),(11 29359642),(12 34010996),(13 38684210),(14 43431456),(15 48130576),(16 52836348),(17 57518236),(18 62066260),(19 66250308),(20 70127320),(21 73798696),(22 77332730),(23 80619190),(24 83557230),(25 86082730),(26 88236670),(27 89966296),(28 91429510),(29 92452290),(30 93390890),(31 94475750),(32 95146360),(33 95503240),(34 95798170),(35 95757384),(36 95528024),(37 95353930),(38 95358780),(39 95387430),(40 95589730),(41 96037384),(42 96543704),(43 97131496),(44 97775170),(45 98392230),(46 99211270),(47 100109270),(48 101268380),(49 102479170),(50 103708610),(51 104707224),(52 105762660),(53 106985020),(54 107998056),(55 108878056),(56 109790150),(57 110859896),(58 111994680),(59 113137816),(60 114317400),(61 115449400),(62 116475800),(63 117275880),(64 117799140),(65 118077190),(66 118098110),(67 117878310),(68 117313784),(69 116250730),(70 114913240),(71 113252680),(72 111642890),(73 109910140),(74 108241190),(75 106520440),(76 104741590),(77 103001370),(78 101321820),(79 99780344),
(1 431106.38),(2 1631143.5),(3 3516003.5),(4 6000444),(5 9014006),(6 12504441),(7 16423033),(8 20825334),(9 25540936),(10 30686400),(11 36173070),(12 41883120),(13 47719440),(14 53722870),(15 59798000),(16 65841264),(17 71828696),(18 77695850),(19 83305750),(20 88564340),(21 93506730),(22 98170970),(23 102266710),(24 105806860),(25 108770616),(26 111232216),(27 112980740),(28 114360920),(29 115170210),(30 115327070),(31 115057940),(32 114093400),(33 112557180),(34 110359740),(35 107463060),(36 104064270),(37 100485390),(38 96954150),(39 93393624),(40 89989020),(41 86791510),(42 83639940),(43 80491370),(44 77413096),(45 74411190),(46 71794690),(47 69341180),(48 67352900),(49 65777200),(50 64596240),(51 63753964),(52 63236400),(53 63129388),(54 63138830),(55 63542576),(56 64331584),(57 65563190),(58 67043904),(59 68692920),(60 70556190),(61 72592450),(62 74597390),(63 76343840),(64 77878060),(65 79153220),(66 80163600),(67 80797340),(68 81098380),(69 81112936),(70 80681710),(71 79709544),(72 78673690),(73 77343580),(74 75834310),(75 74335360),(76 72907784),(77 71516290),(78 70175030),(79 68821320),
(1 382647.3),(2 1445898.9),(3 3098143.3),(4 5261755),(5 7866036.5),(6 10853706),(7 14156700),(8 17839662),(9 21722516),(10 25906386),(11 30257338),(12 34698990),(13 39262090),(14 43896476),(15 48518172),(16 53154364),(17 57726660),(18 62211188),(19 66535130),(20 70657736),(21 74488610),(22 78138680),(23 81305710),(24 84092810),(25 86481850),(26 88505350),(27 90121200),(28 91250590),(29 91965440),(30 92025630),(31 91561550),(32 90408776),(33 88677130),(34 86532536),(35 83861170),(36 80641040),(37 77244470),(38 73813496),(39 70339224),(40 66866840),(41 63505280),(42 60219428),(43 56960060),(44 53785660),(45 50718616),(46 47790820),(47 45162410),(48 42932188),(49 41216830),(50 39998670),(51 39249176),(52 38897948),(53 38959776),(54 39452784),(55 40319412),(56 41543484),(57 43156224),(58 45002684),(59 47092976),(60 49398704),(61 51764900),(62 54133336),(63 56467136),(64 58714290),(65 60794764),(66 62757136),(67 64620812),(68 66462620),(69 68248800),(70 70010904),(71 71409480),(72 72771760),(73 73987610),(74 75040080),(75 75932800),(76 76624420),(77 77096030),(78 77425630),(79 77446390),
(1 462991.44),(2 1762484.8),(3 3808612.8),(4 6508176),(5 9811915),(6 13610192),(7 17802056),(8 22346724),(9 27017204),(10 31847920),(11 36717130),(12 41585736),(13 46421344),(14 51015756),(15 55394750),(16 59330344),(17 62856150),(18 65929960),(19 68611730),(20 71002190),(21 73050640),(22 75028970),(23 76599730),(24 77905260),(25 78981830),(26 79860910),(27 80444376),(28 80765250),(29 80896490),(30 80734590),(31 80132460),(32 79035840),(33 77525170),(34 75721230),(35 73653510),(36 71411700),(37 68965400),(38 66545736),(39 64180052),(40 61965708),(41 59888856),(42 57956940),(43 56172852),(44 54574804),(45 53216150),(46 52112064),(47 51326010),(48 50821740),(49 50768310),(50 51116570),(51 51849868),(52 52817224),(53 53957708),(54 55323636),(55 56928170),(56 58733250),(57 60674316),(58 62884456),(59 65305110),(60 67818990),(61 70361816),(62 72814570),(63 75175200),(64 77404104),(65 79479816),(66 81321064),(67 82957530),(68 84538210),(69 85888170),(70 86992856),(71 87727230),(72 88262970),(73 88665550),(74 88989050),(75 89092110),(76 88821420),(77 88189160),(78 87152880),(79 85795180),
(1 376991.16),(2 1431586),(3 3083362.8),(4 5282355),(5 7965336),(6 11065588),(7 14528716),(8 18314268),(9 22171254),(10 26067104),(11 29928716),(12 33680110),(13 37261796),(14 40634148),(15 43627172),(16 46159972),(17 48127012),(18 49482024),(19 50440920),(20 51067844),(21 51356948),(22 51413530),(23 51192576),(24 50819860),(25 50397950),(26 49984200),(27 49646932),(28 49336836),(29 49065320),(30 48822616),(31 48564124),(32 48233940),(33 47963064),(34 47752376),(35 47558292),(36 47098320),(37 46402944),(38 45733548),(39 45114296),(40 44381904),(41 43606548),(42 42780096),(43 41904390),(44 40990744),(45 40098444),(46 39173188),(47 38278948),(48 37520988),(49 36917200),(50 36458890),(51 36133610),(52 35925496),(53 35836976),(54 35873790),(55 35909268),(56 36026184),(57 36211096),(58 36489132),(59 36848670),(60 37291450),(61 37846136),(62 38455990),(63 39126184),(64 39919044),(65 40871332),(66 41919188),(67 43031364),(68 44310380),(69 45501800),(70 46532600),(71 47254710),(72 47801132),(73 48162030),(74 48390656),(75 48470684),(76 48320620),(77 48005416),(78 47490532),(79 46803676),
(1 298178.2),(2 1118097.6),(3 2369256.5),(4 3975936.8),(5 5853991.5),(6 7920945),(7 10120775),(8 12429335),(9 14687744),(10 16952548),(11 19208000),(12 21420466),(13 23585870),(14 25713434),(15 27751630),(16 29671352),(17 31368772),(18 32818274),(19 34042924),(20 34993150),(21 35683100),(22 36109810),(23 36250030),(24 36248500),(25 36073070),(26 35826070),(27 35530748),(28 35182350),(29 34748732),(30 34321860),(31 33891204),(32 33452918),(33 33036650),(34 32599020),(35 32168860),(36 31625602),(37 31010514),(38 30484696),(39 30081460),(40 29787676),(41 29526660),(42 29373094),(43 29311938),(44 29382988),(45 29586088),(46 29919918),(47 30365284),(48 30927210),(49 31546880),(50 32210206),(51 32897014),(52 33543296),(53 34201710),(54 34787404),(55 35254650),(56 35691670),(57 36116480),(58 36554300),(59 36946790),(60 37240252),(61 37425612),(62 37512636),(63 37566080),(64 37612892),(65 37662210),(66 37730212),(67 37858652),(68 38063790),(69 38248680),(70 38334884),(71 38258920),(72 38150416),(73 37966870),(74 37727748),(75 37356290),(76 36882136),(77 36365184),(78 35825080),(79 35288820),
(1 254758.23),(2 939258.25),(3 1946137.3),(4 3149412.8),(5 4466667.5),(6 5848913.5),(7 7268604),(8 8727851),(9 10152998),(10 11527780),(11 12819980),(12 14036146),(13 15173133),(14 16206656),(15 17126912),(16 17936978),(17 18655470),(18 19341458),(19 19968912),(20 20526170),(21 20975400),(22 21366280),(23 21605282),(24 21761264),(25 21836976),(26 21841640),(27 21818022),(28 21735732),(29 21580888),(30 21336222),(31 21061442),(32 20835416),(33 20646334),(34 20484602),(35 20391982),(36 20311160),(37 20231408),(38 20185856),(39 20143798),(40 20110172),(41 20114894),(42 20120458),(43 20142592),(44 20224454),(45 20359514),(46 20619312),(47 20915338),(48 21209380),(49 21462714),(50 21629168),(51 21745254),(52 21795442),(53 21856378),(54 21887050),(55 21960592),(56 22069538),(57 22231940),(58 22470942),(59 22750352),(60 23082728),(61 23445252),(62 23852224),(63 24260384),(64 24692740),(65 25161904),(66 25622804),(67 26062640),(68 26503202),(69 26930944),(70 27302626),(71 27532462),(72 27701744),(73 27803148),(74 27900054),(75 27990108),(76 28089600),(77 28180970),(78 28226436),(79 28266236),
(1 250850.56),(2 899349.1),(3 1836678),(4 2923344.5),(5 4062729.3),(6 5214685.5),(7 6370921.5),(8 7535810),(9 8680664),(10 9794489),(11 10896939),(12 11937397),(13 12880213),(14 13714198),(15 14435536),(16 15091787),(17 15686937),(18 16238521),(19 16833236),(20 17399038),(21 17907958),(22 18382014),(23 18806434),(24 19169542),(25 19501640),(26 19812100),(27 20121454),(28 20458520),(29 20797278),(30 21074204),(31 21329672),(32 21544750),(33 21664728),(34 21682576),(35 21630678),(36 21643276),(37 21643460),(38 21625512),(39 21580526),(40 21532464),(41 21471042),(42 21401642),(43 21278094),(44 21124560),(45 20974538),(46 20893368),(47 20782458),(48 20623848),(49 20417232),(50 20198416),(51 19988932),(52 19768050),(53 19566798),(54 19367420),(55 19176446),(56 19033216),(57 18929646),(58 18834354),(59 18769928),(60 18798744),(61 18910706),(62 19128280),(63 19392048),(64 19753436),(65 20159546),(66 20590230),(67 21107912),(68 21686044),(69 22310008),(70 22993002),(71 23677914),(72 24377256),(73 24992216),(74 25498438),(75 25923092),(76 26195730),(77 26367540),(78 26439374),(79 26416270),
(1 258290.6),(2 931253.3),(3 1909903.5),(4 3079793.3),(5 4336067),(6 5595047.5),(7 6770978),(8 7866372),(9 8864156),(10 9783926),(11 10629435),(12 11404587),(13 12159235),(14 12819976),(15 13410726),(16 14039676),(17 14647816),(18 15174551),(19 15648913),(20 16089557),(21 16458127),(22 16740408),(23 16902536),(24 16958968),(25 16971784),(26 16904606),(27 16762624),(28 16551934),(29 16315942),(30 15997828),(31 15695331),(32 15483817),(33 15371749),(34 15295531),(35 15140352),(36 14972711),(37 14906728),(38 14896211),(39 14889210),(40 14922236),(41 15004390),(42 15117720),(43 15250744),(44 15378703),(45 15471014),(46 15578052),(47 15726045),(48 15784218),(49 15723106),(50 15571233),(51 15424618),(52 15312837),(53 15233183),(54 15170635),(55 15099307),(56 15058215),(57 15081947),(58 15165216),(59 15286696),(60 15446615),(61 15619362),(62 15832497),(63 16082492),(64 16308683),(65 16515900),(66 16642662),(67 16747659),(68 16819352),(69 16829888),(70 16845414),(71 16852108),(72 16901784),(73 16958298),(74 17017100),(75 17072178),(76 17055040),(77 16943108),(78 16724826),(79 16393257),
