1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 22294.39),(2 35278.742),(3 38478.574),(4 40481.004),(5 42516.58),(6 44332.547),(7 44210.34),(8 43430.66),(9 43979.89),(10 45995.145),(11 47954.875),(12 48458.836),(13 48665.617),(14 50271.902),(15 51229.297),(16 50103.35),(17 49082.996),(18 49974.54),(19 50969.832),(20 51572.258),(21 51167.254),(22 52148.902),(23 53377.254),(24 53549.07),(25 53028.234),(26 52200.32),(27 52094.67),(28 52944.03),(29 52102.617),(30 51847.254),(31 51225.977),(32 51546.9),(33 50806.547),(34 51259.957),(35 50269.59),(36 50506.03),(37 49858.03),(38 48145.746),(39 48911.453),(40 49054.813),(41 48399.688),(42 48278.68),(43 49019.027),(44 50050.582),(45 50285.34),(46 51724.324),(47 52344.367),(48 52823.47),(49 54481.9),(50 55109.043),(51 55622.01),(52 56598.53),(53 57336.79),(54 57410.582),(55 58602.324),(56 59145.758),(57 59980.574),(58 61478.28),(59 62603.54),(60 63688.098),(61 64745.914),(62 64851.926),(63 65492.566),(64 64693.184),(65 64816.137),(66 65039.8),(67 64986.47),(68 64468.93),(69 64820.207),(70 63580.563),(71 63212.24),(72 63709.855),(73 64071.633),(74 64804.766),(75 65163.59),(76 65395.676),(77 64905.945),(78 65454.547),(79 65566.16),
(1 21401.457),(2 33765.23),(3 37184.934),(4 38812.85),(5 41450.68),(6 42857.848),(7 43163.99),(8 42659.445),(9 43983.707),(10 45623.016),(11 47034.742),(12 47917.46),(13 47993.95),(14 49190.727),(15 49482.26),(16 48627.55),(17 48011.906),(18 48153.164),(19 48078.68),(20 48659.527),(21 49074.137),(22 49129.766),(23 49155.445),(24 49965.51),(25 50452.266),(26 50056.645),(27 49927.52),(28 50364.656),(29 49387.004),(30 48932.785),(31 49469.066),(32 49048.867),(33 47673.094),(34 48114.973),(35 48273.367),(36 48648.875),(37 48171.875),(38 47744.234),(39 48115.168),(40 48675.355),(41 48262.867),(42 48547.227),(43 48847.31),(44 49275.52),(45 49988.32),(46 51020.113),(47 51245.633),(48 50767.832),(49 51884.79),(50 52924.066),(51 53661.535),(52 54421.17),(53 54541.457),(54 55238.035),(55 57303.645),(56 57701.277),(57 58410.215),(58 60219.844),(59 60893.152),(60 60941.09),(61 60995.586),(62 61026.504),(63 62190.125),(64 62756.906),(65 63360.734),(66 63671.926),(67 63773.63),(68 63067.12),(69 62549.168),(70 61376.605),(71 61528.797),(72 61585.133),(73 61047.445),(74 61785.293),(75 62720.305),(76 63054.766),(77 63619.44),(78 64891.55),(79 65464.48),
(1 19910.432),(2 32023.385),(3 36599.953),(4 38253.57),(5 40213.063),(6 42075.08),(7 42685.066),(8 42461.3),(9 43795.734),(10 45034.176),(11 45603.363),(12 46388.188),(13 46768.066),(14 48489.36),(15 48357.684),(16 47466.03),(17 47879.58),(18 48442.246),(19 48131.137),(20 48976.47),(21 50375.36),(22 50611.035),(23 50907.355),(24 51029.77),(25 51386.246),(26 50794.582),(27 50316.184),(28 49959.01),(29 48761.953),(30 49306.223),(31 50274.613),(32 49829.246),(33 49004.887),(34 49504.34),(35 49008.543),(36 48295.438),(37 48580.44),(38 48869.016),(39 48815.293),(40 48294.37),(41 47791.652),(42 47879.59),(43 47818.766),(44 47949.363),(45 48425.938),(46 49388.824),(47 49663.953),(48 50090.14),(49 51027.84),(50 51774.813),(51 52264.957),(52 52246.19),(53 52536.484),(54 53593.734),(55 55183.56),(56 56253.652),(57 56873.73),(58 57310.484),(59 57678),(60 58303.98),(61 58805.074),(62 58971.188),(63 59912.656),(64 60467.098),(65 61873.535),(66 62805.176),(67 62378.746),(68 62369.063),(69 61629.44),(70 60526.938),(71 60916.28),(72 60947.156),(73 61299.625),(74 61680.84),(75 61631.984),(76 62202.066),(77 62209.902),(78 62662.645),(79 62744.395),
(1 19181.773),(2 30854.127),(3 35314.125),(4 37527.547),(5 39199.57),(6 40871.957),(7 41387.313),(8 41334.004),(9 42749.31),(10 44093.4),(11 44648.375),(12 45625.055),(13 46972.28),(14 48922.508),(15 47618.89),(16 46967.33),(17 47546.168),(18 48388.453),(19 48115.234),(20 48589.383),(21 49867.355),(22 50246.42),(23 50750.594),(24 51295.914),(25 50975.055),(26 50547.074),(27 49927.727),(28 49623.51),(29 48755.87),(30 48733.184),(31 49237.152),(32 48954.734),(33 48268.266),(34 47844.855),(35 46286.15),(36 45000.31),(37 45155.152),(38 45585.555),(39 46047.473),(40 45663.047),(41 45992.645),(42 45740.535),(43 46332.348),(44 46769.31),(45 47526.703),(46 49034.816),(47 49437.1),(48 50010.984),(49 50736.043),(50 52287.88),(51 52757.555),(52 52396.273),(53 52650.12),(54 53196.18),(55 54626.42),(56 55739.926),(57 56408.984),(58 57805.66),(59 59166.31),(60 58938.82),(61 58803.004),(62 58374.81),(63 59174.73),(64 59889.06),(65 60788.035),(66 62238.73),(67 62736.81),(68 62478.43),(69 61797.863),(70 61633.78),(71 62524.703),(72 63161.55),(73 63188.72),(74 62979.816),(75 63082.086),(76 63943.566),(77 64495.996),(78 64698.637),(79 64665.625),
(1 19518.35),(2 30581.215),(3 34188.883),(4 36470.57),(5 39440.65),(6 41285.31),(7 42032.64),(8 41125.98),(9 42673.453),(10 43862.54),(11 43929.67),(12 44548.887),(13 46539.652),(14 49197.883),(15 48850.88),(16 48341.656),(17 48299.51),(18 47891.926),(19 47810.117),(20 48360.742),(21 49001.098),(22 49778.902),(23 49745.33),(24 49978.367),(25 49692.344),(26 49243.12),(27 49840.42),(28 48767.62),(29 48110.46),(30 48159.375),(31 47830.2),(32 47705.016),(33 47682.207),(34 47895.184),(35 47351.17),(36 47430.996),(37 46300.105),(38 45576.957),(39 46728.59),(40 46307.492),(41 46507.97),(42 46575.594),(43 47343.656),(44 47415.766),(45 47419.36),(46 48750.723),(47 49717.594),(48 49937.867),(49 50339.42),(50 51242.26),(51 51620.695),(52 51475.496),(53 52600.105),(54 53787.25),(55 55316.3),(56 56444.51),(57 56738.74),(58 57462.465),(59 58535.836),(60 58947.305),(61 59432.55),(62 59279.555),(63 59747.52),(64 60393.996),(65 60751.43),(66 60842.492),(67 60602.83),(68 60359.723),(69 60724.105),(70 61668.285),(71 62831.52),(72 63278.55),(73 63259.445),(74 63189.813),(75 63581.273),(76 63650.215),(77 63798.22),(78 64607.42),(79 65331.38),
(1 19475.14),(2 30530.27),(3 34334.355),(4 36367.387),(5 38756.43),(6 40190.42),(7 40869.637),(8 41231.645),(9 42190.387),(10 42640.902),(11 43335.117),(12 44321.254),(13 46151.305),(14 47615.92),(15 47604.02),(16 47368.953),(17 46882.04),(18 46626.48),(19 46870.777),(20 47189.695),(21 47407.055),(22 48585.83),(23 49223.953),(24 48940.8),(25 48644.4),(26 48218.688),(27 48084.74),(28 47679.777),(29 46837.914),(30 47152.88),(31 47168.35),(32 47117.62),(33 47502.363),(34 47864.715),(35 47567.465),(36 47169.45),(37 45764.145),(38 45461.813),(39 46999.332),(40 46354.17),(41 46232.383),(42 46562.29),(43 47233.98),(44 47595.406),(45 47222.348),(46 47735.27),(47 47828.582),(48 47923.473),(49 47703.88),(50 48364.9),(51 49464.934),(52 50316.58),(53 51282.945),(54 51941.79),(55 52747.688),(56 53704.117),(57 53413.703),(58 54020.527),(59 55192.47),(60 55913.316),(61 56596.152),(62 56364.4),(63 56477.48),(64 56532.21),(65 56662.004),(66 57381.938),(67 57319.01),(68 57377.098),(69 58510.96),(70 59379.22),(71 59010.87),(72 58812.703),(73 59595.152),(74 60159.24),(75 59742.9),(76 59968.18),(77 60758.152),(78 61438.195),(79 62360.367),
(1 19141.951),(2 29314.174),(3 32730.191),(4 34575.34),(5 36320.844),(6 37984.816),(7 38267.02),(8 38325.293),(9 39698.07),(10 40489.37),(11 42353),(12 43271.168),(13 45343.742),(14 46564.844),(15 46177.273),(16 46060.285),(17 46393.938),(18 46497.88),(19 45604.613),(20 45475.68),(21 45606.605),(22 46189.96),(23 46715.043),(24 46534.367),(25 46395.004),(26 46029.457),(27 46078.504),(28 45440.68),(29 45067.938),(30 44674.734),(31 43962.04),(32 43837.91),(33 43195.51),(34 42873.11),(35 42371.7),(36 41817.65),(37 41651.883),(38 41911.715),(39 41884.08),(40 41779.164),(41 42300.77),(42 42612.96),(43 42751.69),(44 43282.734),(45 43791.914),(46 43834.77),(47 44902.504),(48 45479.39),(49 45898.727),(50 46361.25),(51 47478.06),(52 48360.188),(53 48878.625),(54 49086.934),(55 50293.19),(56 51474.492),(57 51868.08),(58 51724.36),(59 52407.22),(60 52187.004),(61 52081.473),(62 52149.715),(63 53277.984),(64 53582.332),(65 53188.18),(66 53099.734),(67 53067.285),(68 53001.137),(69 53626.574),(70 54820.332),(71 54704.344),(72 54996.844),(73 54666.098),(74 54834.047),(75 54940.977),(76 55028.777),(77 54936.258),(78 56316.82),(79 57379.75),
(1 18660.969),(2 27993.744),(3 30845.09),(4 32847.305),(5 34936.316),(6 36567.273),(7 36944.543),(8 37615.87),(9 39107.234),(10 39764.402),(11 40586.85),(12 40727.49),(13 42024.785),(14 43325.535),(15 43865.57),(16 44185.785),(17 44864.348),(18 44692.652),(19 44545.426),(20 44215.918),(21 44490.28),(22 44788.71),(23 45048.586),(24 44772.906),(25 44396.605),(26 44557.867),(27 44624.152),(28 43846.28),(29 42891.273),(30 41925.67),(31 41152.758),(32 41310.43),(33 40971.645),(34 40662.727),(35 40648.23),(36 40617.19),(37 40077.777),(38 40036.098),(39 39731.84),(40 39625.094),(41 40493.938),(42 41149.21),(43 41561.72),(44 41915.72),(45 42437.31),(46 42939.69),(47 44711.72),(48 45317.816),(49 46207.43),(50 47177.934),(51 47099.22),(52 47141.77),(53 47442.08),(54 47599.867),(55 48736.97),(56 49170.75),(57 49727.734),(58 50757.258),(59 51550.61),(60 51658.996),(61 52008.445),(62 52752.4),(63 53286.7),(64 52697.594),(65 52502.563),(66 52297.07),(67 51748.97),(68 52240.758),(69 52583.242),(70 52967.945),(71 53437.54),(72 53685.496),(73 54016.133),(74 53925.906),(75 54118.703),(76 54087.78),(77 54104.125),(78 54642.535),(79 55547.867),
(1 18443.041),(2 28203.793),(3 31016.813),(4 32045.615),(5 34971.277),(6 37089.18),(7 37153.047),(8 36829.04),(9 38175.91),(10 39449.203),(11 40151.016),(12 40331.773),(13 42159.035),(14 43063.754),(15 43949.156),(16 44180.676),(17 44663.93),(18 43485.1),(19 43019.85),(20 42914.89),(21 42918.004),(22 43060.336),(23 43519.043),(24 43805.258),(25 43483.887),(26 43487.6),(27 43150.957),(28 42914.734),(29 41784.55),(30 41743.83),(31 41531.43),(32 40566.33),(33 39835.824),(34 39593.742),(35 39740.508),(36 39479.45),(37 39099.883),(38 39040.22),(39 39508.027),(40 40089.51),(41 40303.44),(42 40845.996),(43 40804.367),(44 40668.9),(45 40940.195),(46 41194.785),(47 41810.297),(48 42198.723),(49 42597.547),(50 43566.188),(51 43523.004),(52 43306.266),(53 43036.715),(54 43961.824),(55 44494.41),(56 44623.844),(57 45280.02),(58 46298.535),(59 46788.777),(60 47467.203),(61 47136.797),(62 47941.33),(63 48545.242),(64 48048.03),(65 47934.36),(66 48323.016),(67 48885.63),(68 49529.93),(69 49606.67),(70 49857.023),(71 50275.98),(72 50747.49),(73 51336.38),(74 52311.813),(75 52754.67),(76 52060.24),(77 51776.465),(78 52098.957),(79 52458.043),
(1 18861.404),(2 28680.348),(3 31338.516),(4 31943.6),(5 34719.742),(6 37061.227),(7 37169.324),(8 36319.594),(9 37856.742),(10 39874.375),(11 40795.273),(12 40973.055),(13 42375.99),(14 43477.535),(15 44247.17),(16 44344.61),(17 44572.277),(18 44098.77),(19 43292.48),(20 43118.504),(21 43827.92),(22 43693.973),(23 43860.62),(24 43736.11),(25 43215.246),(26 43127.934),(27 42212.457),(28 42452.52),(29 41537.414),(30 41653.58),(31 41833.31),(32 41753.457),(33 40649.24),(34 40918.87),(35 40916.86),(36 40841.363),(37 40410.105),(38 40191.105),(39 41010.01),(40 41111.758),(41 41124.246),(42 40534.105),(43 40446.766),(44 40338.48),(45 40296.35),(46 40990.64),(47 41849.707),(48 42337.137),(49 42815.035),(50 43961.86),(51 44596.336),(52 44679.027),(53 45055.684),(54 45949.67),(55 46868.004),(56 46619.45),(57 46890.473),(58 47891.395),(59 48104.49),(60 49081.453),(61 49304.02),(62 49186.81),(63 50003.332),(64 50504.633),(65 51333.938),(66 51369.33),(67 50590.965),(68 49886.82),(69 49614.953),(70 49710.367),(71 50698.62),(72 50301.19),(73 50040.33),(74 50881.8),(75 51276.15),(76 50574.98),(77 50740.875),(78 51066.063),(79 51664.336),
(1 18108.547),(2 27205.771),(3 30539.781),(4 32056.355),(5 34098.26),(6 35998.906),(7 36259.254),(8 36195.492),(9 37282.066),(10 38304.26),(11 39336.805),(12 39945.12),(13 41638.063),(14 43086.547),(15 43463.727),(16 44005.875),(17 43693.22),(18 44009.406),(19 43986.26),(20 43484.086),(21 43587.563),(22 43364.508),(23 43393.688),(24 42439.297),(25 42411.977),(26 42745.516),(27 42206.67),(28 41861.2),(29 41339.016),(30 40981.016),(31 40915.55),(32 40828.926),(33 40212.15),(34 39790.887),(35 40287.125),(36 40430.945),(37 40100.082),(38 39638.74),(39 39426),(40 39499.457),(41 40029.918),(42 39921.71),(43 39527.5),(44 39795.21),(45 39521.625),(46 39319.723),(47 39634.16),(48 39804.99),(49 40498.703),(50 41532.176),(51 41680.32),(52 41989.22),(53 42127.152),(54 42539.992),(55 43506.72),(56 44284.484),(57 44797.992),(58 45100.02),(59 45315.707),(60 46760.258),(61 47398.152),(62 47192.234),(63 48145.43),(64 48672.47),(65 49286.332),(66 49784.426),(67 49117.29),(68 49257.64),(69 49579.426),(70 49042.887),(71 48758.527),(72 48439.875),(73 47998.164),(74 47815.566),(75 47891.465),(76 48143.23),(77 47852.008),(78 47807.566),(79 48079.75),
(1 17545.723),(2 26788.318),(3 29847.129),(4 31900.002),(5 34333.863),(6 35959.61),(7 35489.22),(8 35808.246),(9 37817.86),(10 38850.676),(11 40180.418),(12 41104.85),(13 42330.344),(14 43138.535),(15 43857.13),(16 44318.117),(17 44030.023),(18 44026.367),(19 44085.344),(20 43521.984),(21 43996.168),(22 43639.242),(23 43748.02),(24 43342.27),(25 43069.445),(26 43219.688),(27 43031.258),(28 42927.035),(29 41785.504),(30 40978.324),(31 40151.074),(32 39711.016),(33 38858.44),(34 38685.895),(35 38974.27),(36 39019.086),(37 38527.813),(38 38124.33),(39 38199.12),(40 37998.176),(41 39117.75),(42 38873.04),(43 38514.055),(44 39175.47),(45 39305.85),(46 39370.156),(47 39346.31),(48 39780.12),(49 40224.92),(50 41032.504),(51 41809.125),(52 42499.516),(53 42281.063),(54 43112.67),(55 44114.426),(56 44698.676),(57 44937.656),(58 45539.402),(59 46690.633),(60 47661.7),(61 48354.63),(62 48029.863),(63 48967.047),(64 49337.02),(65 49233.992),(66 49218.496),(67 49338.137),(68 50235.285),(69 50581.016),(70 51069.977),(71 51008.035),(72 51021.3),(73 51191.477),(74 51690.074),(75 52373.09),(76 53010.984),(77 52637.625),(78 52292.56),(79 52542.14),
(1 17966.617),(2 26522.584),(3 29506.184),(4 30711.512),(5 33243.645),(6 35008.7),(7 34673.105),(8 35354.266),(9 36789.715),(10 37832.742),(11 39639.082),(12 40541.91),(13 41504.32),(14 41677.227),(15 43423.234),(16 44292.137),(17 44461.08),(18 44650.594),(19 43807.12),(20 42880.434),(21 43036.766),(22 42612.895),(23 43227.813),(24 43247.168),(25 42765.465),(26 42894.633),(27 42557.105),(28 41925.76),(29 40639.387),(30 40318.125),(31 39113.055),(32 38531.992),(33 38812.336),(34 38552.945),(35 38582.957),(36 39115.7),(37 39037.586),(38 38776.14),(39 39103.527),(40 38877.016),(41 38608.316),(42 38403.656),(43 38355.074),(44 38698.152),(45 39297.973),(46 39774.2),(47 40065.965),(48 40144.7),(49 39892.504),(50 40492.293),(51 41051.348),(52 42035.836),(53 41867.832),(54 42158.504),(55 42847.336),(56 43654.992),(57 43901.777),(58 44278.06),(59 45186.082),(60 46337.74),(61 46811.92),(62 46866.195),(63 46840.977),(64 46315.44),(65 46364.574),(66 46637.465),(67 46558.953),(68 47171.68),(69 47097.82),(70 47666.586),(71 47984.047),(72 48287.06),(73 48518.098),(74 48349.965),(75 48599.336),(76 49088.996),(77 49075.92),(78 49871.676),(79 50664.063),
(1 17955.133),(2 26011.63),(3 29150.91),(4 30378.031),(5 32401.625),(6 33638.97),(7 33663.363),(8 34197.08),(9 35153.527),(10 36205.043),(11 37395.69),(12 38258.26),(13 39558.51),(14 39919.113),(15 40958.938),(16 41317.516),(17 41791.62),(18 42065.535),(19 41623.258),(20 40601.305),(21 40362.86),(22 40407.664),(23 40343.984),(24 40248.047),(25 40114.93),(26 40476.6),(27 40866.758),(28 40057.777),(29 38879.484),(30 38700.996),(31 38749.98),(32 38552.21),(33 38272.074),(34 37726.547),(35 37604.96),(36 37915.063),(37 37453.477),(38 37062.113),(39 37453.71),(40 37547.844),(41 37450.64),(42 37590.254),(43 37805.402),(44 37897.004),(45 38262.402),(46 38325.15),(47 38429.047),(48 38801.305),(49 39422.746),(50 40553.734),(51 40965.75),(52 42012.098),(53 41462.02),(54 41334.152),(55 41882.54),(56 43070.883),(57 43548.043),(58 44118.625),(59 44195.563),(60 44605.867),(61 45367.227),(62 46272.664),(63 46013.64),(64 45395.652),(65 45693.37),(66 45922.24),(67 45686.508),(68 46297.902),(69 46514.63),(70 46898.56),(71 47853.57),(72 48207.07),(73 48155.94),(74 48520.17),(75 48799.195),(76 49205),(77 49540.54),(78 49854.023),(79 50108.63),
(1 17714.576),(2 25799.871),(3 28084.135),(4 29828.428),(5 32125.748),(6 33139.78),(7 32635.438),(8 33309.47),(9 34469.918),(10 35748.65),(11 36899.484),(12 37201.7),(13 38331.71),(14 38823.465),(15 39660.91),(16 39865.023),(17 39724.54),(18 39895.56),(19 39507.758),(20 39163.094),(21 38828.117),(22 38763.12),(23 38897.15),(24 38765.06),(25 38928.42),(26 38839.855),(27 39392.555),(28 39594.082),(29 38543.37),(30 38275.77),(31 37787.082),(32 37719.84),(33 37900.973),(34 37910.6),(35 37991.785),(36 37632.71),(37 37238.117),(38 37488.754),(39 37984.617),(40 37966.67),(41 37380.695),(42 36812.453),(43 36853.965),(44 37043.86),(45 37613.543),(46 37632.535),(47 37756.98),(48 37631.65),(49 38443.777),(50 39467.457),(51 40095.184),(52 40476.656),(53 40755.58),(54 40948.035),(55 41520.25),(56 42005.62),(57 42343.96),(58 43298.55),(59 44155.516),(60 44244.133),(61 44491.742),(62 45562.188),(63 46248.41),(64 45457.35),(65 45209.94),(66 45830.19),(67 45965.016),(68 46256.56),(69 46182.72),(70 46274.79),(71 46818.223),(72 46905.94),(73 46422.523),(74 45992.586),(75 46254.05),(76 46812.336),(77 47032.09),(78 47417.402),(79 48090.586),
(1 17253.105),(2 25484.72),(3 28727.479),(4 30182.617),(5 32540.012),(6 33575.848),(7 33240.17),(8 34329.117),(9 34924.773),(10 36396.887),(11 37867.824),(12 39196.895),(13 39812.52),(14 40383.973),(15 41226.805),(16 41624.914),(17 41623.082),(18 41735.805),(19 41399.62),(20 41069.902),(21 40938.414),(22 40771.406),(23 40572.05),(24 40236.492),(25 40098.3),(26 40130.918),(27 40354.67),(28 39468.13),(29 38061.863),(30 38032.945),(31 38079.934),(32 37199.895),(33 36841.88),(34 37177.484),(35 37143.16),(36 36702.547),(37 36312.24),(38 36280.035),(39 36713.598),(40 36882.7),(41 36689.055),(42 36304.727),(43 36092.203),(44 36685.82),(45 37710.84),(46 38047.57),(47 38197.75),(48 38497.367),(49 39163.008),(50 40050.934),(51 40635.324),(52 41605.027),(53 42784.336),(54 43404.855),(55 44330.457),(56 44334.547),(57 44587.16),(58 45780.742),(59 46949.004),(60 46987.516),(61 47510.258),(62 47808.727),(63 47520.24),(64 47582.355),(65 47667.156),(66 47711.44),(67 48196.26),(68 48700.895),(69 49138.535),(70 48935.566),(71 48681.465),(72 48066.07),(73 47935.863),(74 47819.254),(75 47953.57),(76 48465.43),(77 49173.773),(78 49216.363),(79 49340.31),
(1 16532.246),(2 24826.117),(3 27869.09),(4 29028.424),(5 31118.799),(6 31879.25),(7 31827.783),(8 32722.996),(9 33604.145),(10 34291.484),(11 35947.902),(12 37676.03),(13 38183.105),(14 38646.082),(15 39222.03),(16 39469.926),(17 39488.832),(18 39421.293),(19 39116.32),(20 39054.094),(21 38519.55),(22 38262.53),(23 38749.28),(24 38179.223),(25 38510.67),(26 39466.71),(27 39457.742),(28 38571.703),(29 37425.457),(30 37292.07),(31 37375.098),(32 36414.984),(33 35871.34),(34 35972.508),(35 35831.04),(36 36391.203),(37 35986.39),(38 35661.15),(39 35648.477),(40 35883.996),(41 35886.914),(42 35350.3),(43 34888.105),(44 35179.074),(45 35834.11),(46 36321.73),(47 36972.066),(48 38046.727),(49 39178.8),(50 39920.684),(51 40274.973),(52 40436.367),(53 40942.457),(54 40999.953),(55 41799.023),(56 42033.613),(57 42667.344),(58 43373.98),(59 44066.086),(60 44826.234),(61 45856.926),(62 46041.273),(63 45958.887),(64 46498.586),(65 46738.27),(66 46424.184),(67 46872.594),(68 46700.203),(69 47055.492),(70 47115.156),(71 47055.043),(72 47300.586),(73 47301.223),(74 47502.555),(75 47570.62),(76 47940.62),(77 48618.293),(78 48416.445),(79 48253.047),
(1 16646.092),(2 25287.742),(3 28148.309),(4 29970.758),(5 31628.805),(6 31926.098),(7 32065.652),(8 32628.367),(9 34237.01),(10 35538.176),(11 36657.676),(12 38085.96),(13 39396.62),(14 39728.023),(15 40153.832),(16 40860.1),(17 40348.98),(18 40484.25),(19 40695.98),(20 40694.094),(21 39979.35),(22 39663.1),(23 39902.676),(24 39396.11),(25 38526.492),(26 38713.316),(27 38747.61),(28 38741.1),(29 38163.137),(30 37617.27),(31 37284.44),(32 37064.22),(33 36709.918),(34 36620.44),(35 36366.758),(36 36891.363),(37 36271.668),(38 36202.56),(39 36695.57),(40 36495.402),(41 36491.563),(42 37277.875),(43 37134.73),(44 36697.74),(45 36321.926),(46 36603.84),(47 37622.836),(48 38168.246),(49 39411.48),(50 40367.08),(51 41135.254),(52 41477.31),(53 43044.65),(54 43202.016),(55 43768.098),(56 43511.19),(57 43596.97),(58 44496.09),(59 45234.402),(60 45812.395),(61 46264.383),(62 45780.297),(63 46092.703),(64 46455.863),(65 46182.543),(66 46344.063),(67 46843.39),(68 46260.996),(69 46669.754),(70 46257.883),(71 46399.266),(72 46325.336),(73 46162.39),(74 47016.742),(75 47901.336),(76 48538.516),(77 48662.65),(78 49003.37),(79 49180.71),
