(1 0.0018729692),(2 11.406319),(3 39.433914),(4 47.359882),(5 47.405197),(6 54.889954),(7 65.599174),(8 62.21381),(9 62.17139),(10 63.39056),(11 69.27867),(12 71.56547),(13 71.62017),(14 74.3654),(15 87.83626),(16 89.02647),(17 89.185074),(18 92.42374),(19 85.208916),(20 81.964806),(21 82.02735),(22 77.238594),(23 88.59082),(24 93.79499),(25 93.9147),(26 103.78097),(27 103.17461),(28 101.61662),(29 101.61114),(30 102.919075),(31 99.63716),(32 95.886086),(33 95.94642),(34 95.21117),(35 96.00025),(36 97.006485),(37 96.96325),(38 96.13123),(39 93.17529),(40 93.401115),(41 93.3803),
(1 0.0020115112),(2 11.330363),(3 38.365982),(4 43.00584),(5 43.034096),(6 52.751602),(7 62.82936),(8 59.23475),(9 59.19249),(10 60.49551),(11 64.74584),(12 70.10452),(13 70.18319),(14 74.97442),(15 83.72938),(16 83.383575),(17 83.360825),(18 85.098595),(19 83.33124),(20 76.14151),(21 76.14222),(22 72.02719),(23 75.45258),(24 84.099625),(25 84.236275),(26 92.27266),(27 91.949425),(28 94.34274),(29 94.37188),(30 88.80293),(31 77.31869),(32 80.29182),(33 80.29709),(34 82.638145),(35 91.14707),(36 91.08807),(37 91.05146),(38 90.610306),(39 89.3855),(40 90.467224),(41 90.47445),
(1 0.002104144),(2 10.305072),(3 32.440643),(4 38.67879),(5 38.683132),(6 42.76533),(7 53.7101),(8 56.303432),(9 56.271793),(10 55.961792),(11 56.113567),(12 60.075527),(13 60.10683),(14 65.86034),(15 75.82886),(16 76.531555),(17 76.59124),(18 75.16097),(19 76.238625),(20 75.42321),(21 75.39606),(22 70.765045),(23 73.26813),(24 77.52349),(25 77.62815),(26 84.67489),(27 87.61049),(28 85.52712),(29 85.584305),(30 87.013695),(31 81.56074),(32 83.16357),(33 83.187225),(34 83.4131),(35 85.99071),(36 91.725365),(37 91.69105),(38 91.893875),(39 84.04768),(40 86.22555),(41 86.177704),
(1 0.0017906112),(2 9.336622),(3 28.596365),(4 31.832733),(5 31.90073),(6 38.58594),(7 44.973534),(8 46.036507),(9 46.039913),(10 45.039677),(11 45.83122),(12 48.63828),(13 48.68792),(14 53.279846),(15 60.977863),(16 62.195988),(17 62.27023),(18 61.716133),(19 61.033176),(20 61.03041),(21 61.00664),(22 56.919704),(23 60.01998),(24 64.12646),(25 64.29884),(26 67.443665),(27 73.50345),(28 74.43122),(29 74.65875),(30 72.85537),(31 70.65317),(32 66.68161),(33 66.72889),(34 67.363625),(35 73.16068),(36 69.84492),(37 69.90533),(38 72.02868),(39 72.4858),(40 73.737236),(41 73.73874),
(1 0.0019287805),(2 9.976967),(3 29.126133),(4 33.613174),(5 33.63908),(6 40.624092),(7 46.639534),(8 46.622547),(9 46.61426),(10 46.973663),(11 45.180866),(12 47.79698),(13 47.805695),(14 51.568863),(15 57.29795),(16 60.477894),(17 60.514194),(18 61.279396),(19 60.103146),(20 59.86975),(21 59.88466),(22 56.93819),(23 60.400036),(24 64.12172),(25 64.069756),(26 69.988396),(27 67.73943),(28 69.64832),(29 69.728516),(30 67.47124),(31 67.84247),(32 71.32694),(33 71.272224),(34 67.4335),(35 67.2214),(36 70.99931),(37 71.00256),(38 72.664825),(39 73.47779),(40 73.646935),(41 73.64893),
(1 0.0018361773),(2 10.155815),(3 25.780706),(4 32.178913),(5 32.220436),(6 38.52832),(7 44.024925),(8 45.816216),(9 45.848984),(10 46.4162),(11 43.42971),(12 48.037586),(13 48.02344),(14 49.555073),(15 54.96246),(16 57.563038),(17 57.59408),(18 55.952152),(19 56.93873),(20 58.877346),(21 58.902035),(22 57.79726),(23 57.520203),(24 58.6176),(25 58.682755),(26 61.798332),(27 64.94457),(28 67.923584),(29 68.04567),(30 67.06635),(31 65.995255),(32 66.44678),(33 66.42427),(34 64.52037),(35 67.68873),(36 64.97343),(37 64.9788),(38 64.271416),(39 62.004887),(40 61.780396),(41 61.777863),
(1 0.002075648),(2 9.59992),(3 24.399006),(4 31.63298),(5 31.671253),(6 36.819263),(7 41.05918),(8 42.71273),(9 42.739605),(10 38.962284),(11 38.59997),(12 42.46785),(13 42.474598),(14 44.4095),(15 50.496502),(16 52.461617),(17 52.508774),(18 50.31654),(19 48.367844),(20 47.931976),(21 47.97658),(22 46.464283),(23 47.33313),(24 52.31266),(25 52.38307),(26 56.047832),(27 63.01304),(28 62.591618),(29 62.64272),(30 62.11531),(31 61.71125),(32 60.74227),(33 60.682735),(34 57.77271),(35 58.95059),(36 60.412262),(37 60.367664),(38 61.56672),(39 61.36246),(40 59.103214),(41 59.0991),
(1 0.0023625435),(2 9.520828),(3 24.45853),(4 29.141127),(5 29.126024),(6 35.027134),(7 38.763996),(8 41.05449),(9 41.096657),(10 40.0224),(11 42.536118),(12 47.068275),(13 47.12922),(14 49.15801),(15 45.58423),(16 49.828896),(17 49.826878),(18 48.40027),(19 50.056522),(20 50.1195),(21 50.160015),(22 48.90015),(23 51.623707),(24 55.51312),(25 55.46378),(26 56.19673),(27 56.084255),(28 58.405865),(29 58.509968),(30 56.666634),(31 56.36366),(32 58.734234),(33 58.721382),(34 55.05592),(35 57.306175),(36 57.891144),(37 57.930264),(38 56.09091),(39 54.45378),(40 57.591442),(41 57.584614),
(1 0.0020497402),(2 7.3952847),(3 20.343845),(4 26.868902),(5 26.893286),(6 30.694353),(7 34.169315),(8 36.878506),(9 36.95692),(10 35.38451),(11 37.63823),(12 43.374073),(13 43.414314),(14 42.112804),(15 45.338985),(16 46.23718),(17 46.24572),(18 46.416626),(19 46.694305),(20 45.993954),(21 46.056705),(22 45.036366),(23 43.052254),(24 47.909645),(25 47.958244),(26 48.95139),(27 52.043377),(28 53.781147),(29 53.95947),(30 52.867004),(31 52.517597),(32 53.141495),(33 53.168327),(34 49.789185),(35 51.913116),(36 56.233852),(37 56.225018),(38 55.140263),(39 53.787502),(40 54.06822),(41 54.03761),
(1 0.0022887555),(2 8.276201),(3 20.262278),(4 25.957237),(5 25.987057),(6 31.010012),(7 34.899822),(8 34.84034),(9 34.903088),(10 33.494038),(11 33.58483),(12 37.312763),(13 37.34752),(14 37.8715),(15 41.57146),(16 45.546234),(17 45.56152),(18 45.32258),(19 43.119167),(20 40.10768),(21 40.157368),(22 39.228386),(23 41.79994),(24 43.692898),(25 43.764698),(26 47.772293),(27 53.09268),(28 53.32409),(29 53.349403),(30 54.243282),(31 52.47541),(32 52.70828),(33 52.67188),(34 49.38853),(35 50.051067),(36 51.543827),(37 51.543827),(38 51.915302),(39 51.97624),(40 54.609646),(41 54.613407),
(1 0.0021140066),(2 6.973707),(3 18.838146),(4 25.273663),(5 25.265448),(6 28.20085),(7 31.448547),(8 32.407227),(9 32.384777),(10 31.93928),(11 32.819305),(12 35.002686),(13 34.990105),(14 36.481182),(15 37.913742),(16 40.06205),(17 40.124336),(18 39.24888),(19 40.253498),(20 39.80169),(21 39.838654),(22 38.34977),(23 38.24506),(24 40.20152),(25 40.26433),(26 41.858833),(27 43.56272),(28 42.80255),(29 42.90077),(30 43.734776),(31 42.99865),(32 43.51269),(33 43.516006),(34 43.67348),(35 46.97443),(36 46.945023),(37 46.92951),(38 46.92383),(39 44.530468),(40 46.161602),(41 46.161694),
(1 0.002304843),(2 6.9928007),(3 16.898745),(4 21.958551),(5 22.034042),(6 24.371012),(7 27.109945),(8 29.224148),(9 29.286242),(10 28.162542),(11 27.950829),(12 31.048168),(13 31.06073),(14 31.784782),(15 34.615055),(16 35.94263),(17 35.896675),(18 37.601),(19 36.25452),(20 36.58068),(21 36.64616),(22 35.70678),(23 36.599586),(24 39.192307),(25 39.16212),(26 40.874302),(27 42.6408),(28 43.509792),(29 43.58931),(30 43.746586),(31 41.399975),(32 42.666733),(33 42.715374),(34 38.54604),(35 40.7914),(36 41.609943),(37 41.611725),(38 44.279648),(39 45.323914),(40 45.69983),(41 45.67707),
(1 0.0023791215),(2 7.5389094),(3 18.78901),(4 24.835316),(5 24.90876),(6 27.137503),(7 29.533155),(8 29.638687),(9 29.666138),(10 31.284325),(11 34.061855),(12 36.388184),(13 36.397114),(14 36.723007),(15 38.676987),(16 41.403126),(17 41.43468),(18 42.495945),(19 40.497913),(20 41.526875),(21 41.501537),(22 39.780697),(23 40.738564),(24 42.158863),(25 42.179226),(26 44.6436),(27 45.204823),(28 44.83933),(29 44.94483),(30 45.09032),(31 44.723488),(32 44.128586),(33 44.1998),(34 42.893368),(35 46.12081),(36 47.68722),(37 47.707634),(38 46.317966),(39 43.19195),(40 44.944523),(41 44.94925),
(1 0.002629571),(2 6.596747),(3 17.71995),(4 22.406286),(5 22.462265),(6 25.660788),(7 28.043932),(8 29.2155),(9 29.250498),(10 28.312325),(11 27.832418),(12 30.831818),(13 30.888912),(14 31.355135),(15 33.097473),(16 35.83036),(17 35.833527),(18 36.799),(19 37.920982),(20 37.90056),(21 37.89903),(22 36.33624),(23 36.74909),(24 39.480785),(25 39.45788),(26 41.05935),(27 41.388107),(28 43.9302),(29 44.129196),(30 44.365177),(31 43.731636),(32 43.621254),(33 43.644943),(34 44.147644),(35 47.91008),(36 46.53528),(37 46.563046),(38 44.738598),(39 43.28796),(40 43.833996),(41 43.8249),
(1 0.002384828),(2 6.5519032),(3 17.692179),(4 22.973536),(5 23.008066),(6 24.653793),(7 28.629404),(8 30.266123),(9 30.253853),(10 30.211699),(11 28.810495),(12 31.823723),(13 31.867792),(14 32.151196),(15 34.151955),(16 35.868458),(17 35.876286),(18 36.636063),(19 37.09226),(20 37.991215),(21 37.9929),(22 36.11551),(23 34.179787),(24 34.574074),(25 34.58534),(26 37.105164),(27 38.245197),(28 39.94982),(29 40.037544),(30 40.751553),(31 37.309513),(32 38.02562),(33 38.009956),(34 37.728832),(35 38.33026),(36 41.150116),(37 41.15433),(38 40.87333),(39 40.70326),(40 40.258476),(41 40.257336),
(1 0.0022609876),(2 5.8893633),(3 14.985609),(4 19.12219),(5 19.137568),(6 19.978996),(7 22.5322),(8 23.27475),(9 23.297552),(10 22.805899),(11 22.160782),(12 24.106363),(13 24.132053),(14 25.217535),(15 27.512291),(16 29.722176),(17 29.725851),(18 31.301283),(19 29.770187),(20 30.950544),(21 30.944357),(22 30.768091),(23 30.56163),(24 33.33493),(25 33.379242),(26 31.883924),(27 32.05894),(28 33.651398),(29 33.737167),(30 34.35264),(31 32.83764),(32 34.228764),(33 34.28591),(34 35.645832),(35 34.84724),(36 35.118404),(37 35.135384),(38 35.90545),(39 36.001724),(40 35.58296),(41 35.572815),
(1 0.0022944803),(2 5.624032),(3 15.262436),(4 18.596123),(5 18.607903),(6 20.114191),(7 22.22784),(8 23.683472),(9 23.685055),(10 23.872906),(11 23.737944),(12 25.9316),(13 25.958094),(14 26.206577),(15 27.792908),(16 29.167963),(17 29.178446),(18 28.703434),(19 28.467533),(20 29.621792),(21 29.670439),(22 29.774788),(23 29.606047),(24 31.277044),(25 31.332378),(26 33.362904),(27 32.406742),(28 34.536312),(29 34.618973),(30 34.468315),(31 31.751738),(32 32.53125),(33 32.56281),(34 32.291912),(35 32.410725),(36 33.559406),(37 33.584095),(38 34.22445),(39 32.181343),(40 32.434017),(41 32.43752),
