1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,
(1 0.0017675078),(2 9.622787),(3 24.891045),(4 28.925869),(5 28.973175),(6 36.206356),(7 38.72573),(8 41.080032),(9 41.11861),(10 40.25788),(11 39.700638),(12 42.527737),(13 42.54219),(14 46.39549),(15 48.3174),(16 48.635998),(17 48.59783),(18 49.31575),(19 53.222168),(20 54.344368),(21 54.415512),(22 51.323994),(23 48.562588),(24 52.410572),(25 52.418243),(26 56.208862),(27 57.945538),(28 59.3824),(29 59.498306),(30 59.635902),(31 58.103363),(32 58.85404),(33 58.868793),(34 56.682873),(35 58.052803),(36 60.328552),(37 60.329636),(38 62.135796),(39 62.287773),(40 61.067593),(41 61.054752),
(1 0.0018468603),(2 8.594143),(3 22.844933),(4 29.466541),(5 29.516117),(6 33.371037),(7 36.08237),(8 38.397392),(9 38.47235),(10 36.68016),(11 37.52611),(12 40.360413),(13 40.425457),(14 43.34931),(15 42.535187),(16 43.968185),(17 43.98347),(18 42.36473),(19 43.05031),(20 46.49085),(21 46.56475),(22 45.40431),(23 47.599236),(24 50.998142),(25 51.012997),(26 52.049778),(27 52.756916),(28 55.460247),(29 55.46886),(30 55.475124),(31 54.441525),(32 54.1546),(33 54.132416),(34 50.326256),(35 51.471714),(36 50.786053),(37 50.82201),(38 51.517784),(39 52.14188),(40 52.356487),(41 52.363106),
(1 0.0017904658),(2 7.7350087),(3 18.853615),(4 23.973337),(5 23.952797),(6 26.884544),(7 28.626379),(8 30.389267),(9 30.412748),(10 30.019869),(11 29.820972),(12 32.61449),(13 32.644974),(14 34.271374),(15 36.84927),(16 40.568005),(17 40.629192),(18 38.803623),(19 39.459972),(20 37.787186),(21 37.830677),(22 37.463646),(23 36.578205),(24 40.401493),(25 40.4547),(26 40.82041),(27 46.553944),(28 49.724365),(29 49.879456),(30 50.429398),(31 46.177708),(32 45.903427),(33 45.889603),(34 42.885143),(35 43.134144),(36 45.88355),(37 45.86328),(38 47.10604),(39 47.18707),(40 48.946644),(41 48.93879),
(1 0.0016921056),(2 6.924443),(3 16.240965),(4 21.377184),(5 21.406286),(6 25.7986),(7 26.897352),(8 28.06523),(9 28.111172),(10 28.245625),(11 27.08724),(12 30.362814),(13 30.36429),(14 30.894114),(15 33.541363),(16 37.092316),(17 37.07517),(18 37.768738),(19 36.189625),(20 35.979366),(21 36.033886),(22 34.413628),(23 35.481903),(24 37.80788),(25 37.86746),(26 38.5993),(27 41.977657),(28 40.125813),(29 40.367756),(30 39.074265),(31 39.305523),(32 41.122894),(33 41.085953),(34 39.0175),(35 38.863255),(36 41.09241),(37 41.069252),(38 40.929966),(39 41.69912),(40 43.31258),(41 43.305527),
(1 0.0019317219),(2 6.190495),(3 16.476713),(4 22.24278),(5 22.274223),(6 24.151556),(7 26.864613),(8 26.849657),(9 26.888733),(10 27.136688),(11 27.147963),(12 29.075317),(13 29.0779),(14 29.627253),(15 31.794209),(16 32.384884),(17 32.423527),(18 33.238728),(19 31.628067),(20 31.41086),(21 31.435316),(22 29.720934),(23 32.567734),(24 34.82362),(25 34.861607),(26 36.876694),(27 38.345486),(28 38.499435),(29 38.46984),(30 38.816936),(31 38.25474),(32 37.43884),(33 37.48602),(34 35.43376),(35 38.030674),(36 40.05493),(37 40.083206),(38 40.44482),(39 39.892715),(40 39.737335),(41 39.72576),
(1 0.0019129779),(2 6.184251),(3 15.772362),(4 19.437216),(5 19.456505),(6 22.3399),(7 25.48409),(8 26.501217),(9 26.485413),(10 25.837616),(11 24.74),(12 26.721914),(13 26.767319),(14 29.230997),(15 30.78319),(16 33.78138),(17 33.756546),(18 33.271893),(19 33.565968),(20 34.431606),(21 34.432087),(22 32.086388),(23 32.331467),(24 35.679214),(25 35.668457),(26 37.09846),(27 35.25541),(28 35.43281),(29 35.584686),(30 36.063847),(31 34.88862),(32 35.875122),(33 35.8747),(34 34.047012),(35 36.999958),(36 37.39828),(37 37.426167),(38 36.517303),(39 36.451836),(40 37.898376),(41 37.900608),
(1 0.0018949803),(2 5.798447),(3 14.85741),(4 19.003807),(5 19.058294),(6 20.630354),(7 22.27281),(8 23.131851),(9 23.165962),(10 22.148514),(11 23.261826),(12 25.723555),(13 25.741087),(14 25.73302),(15 27.63014),(16 29.747747),(17 29.75622),(18 31.334442),(19 31.077787),(20 28.995594),(21 29.027903),(22 28.900517),(23 29.317238),(24 30.385836),(25 30.384293),(26 31.38794),(27 33.749073),(28 34.847965),(29 34.965843),(30 35.501183),(31 33.334614),(32 34.053593),(33 34.055557),(34 33.36728),(35 32.94283),(36 34.87892),(37 34.87422),(38 33.77209),(39 32.633266),(40 32.409245),(41 32.400818),
(1 0.0019422445),(2 5.4550905),(3 14.198967),(4 17.128141),(5 17.135323),(6 19.558693),(7 22.257053),(8 22.363176),(9 22.36527),(10 22.441483),(11 22.084913),(12 23.100098),(13 23.098217),(14 23.435854),(15 25.844067),(16 28.248747),(17 28.28756),(18 27.578356),(19 26.941492),(20 27.715826),(21 27.70228),(22 27.140099),(23 27.496902),(24 28.980883),(25 28.966738),(26 29.724865),(27 29.371298),(28 30.3742),(29 30.399654),(30 30.880087),(31 29.43811),(32 30.348516),(33 30.35162),(34 31.867853),(35 31.298439),(36 32.58077),(37 32.619778),(38 32.046013),(39 30.96455),(40 30.286915),(41 30.293034),
(1 0.0017836001),(2 5.058424),(3 12.715453),(4 15.676793),(5 15.702147),(6 16.982307),(7 18.047564),(8 19.083893),(9 19.10373),(10 18.918055),(11 18.179596),(12 20.783646),(13 20.827414),(14 22.331669),(15 23.070068),(16 23.798948),(17 23.781834),(18 24.88909),(19 25.553658),(20 27.594746),(21 27.59905),(22 27.092129),(23 26.982754),(24 28.170189),(25 28.21974),(26 28.174147),(27 28.908281),(28 30.03416),(29 30.044983),(30 29.321524),(31 28.958752),(32 29.704506),(33 29.726664),(34 29.42576),(35 28.254494),(36 29.714327),(37 29.727869),(38 29.471987),(39 28.0078),(40 28.790577),(41 28.788435),
(1 0.0020475306),(2 4.950948),(3 12.037973),(4 15.1698885),(5 15.170245),(6 15.38757),(7 16.74368),(8 17.574472),(9 17.591152),(10 16.741173),(11 17.827555),(12 19.182999),(13 19.173578),(14 20.259867),(15 21.658495),(16 23.048574),(17 23.04871),(18 23.137835),(19 23.135967),(20 23.85286),(21 23.857824),(22 23.469582),(23 23.511898),(24 24.299032),(25 24.35153),(26 24.721111),(27 24.76525),(28 26.32304),(29 26.42441),(30 25.52914),(31 24.45286),(32 25.01529),(33 25.01302),(34 25.27016),(35 26.365774),(36 25.548733),(37 25.572588),(38 25.71956),(39 25.99538),(40 26.644268),(41 26.63731),
