1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.0004183212),(2 3.685094),(3 13.74344),(4 17.602785),(5 17.606525),(6 20.576488),(7 23.37666),(8 25.1211),(9 25.118628),(10 26.28575),(11 26.144365),(12 27.079758),(13 27.076515),(14 29.691025),(15 33.184483),(16 33.686703),(17 33.70044),(18 33.641346),(19 33.79466),(20 33.983727),(21 33.98196),(22 33.616943),(23 35.362896),(24 37.383316),(25 37.385864),(26 38.101818),(27 40.04478),(28 40.966293),(29 40.991974),(30 39.786613),(31 37.592583),(32 36.78926),(33 36.782314),(34 35.35431),(35 34.778152),(36 36.21977),(37 36.215702),(38 36.437183),(39 36.100403),(40 36.48512),(41 36.48845),
(1 0.0005483401),(2 3.4208586),(3 11.537021),(4 14.038195),(5 14.045567),(6 15.548013),(7 17.87102),(8 18.539595),(9 18.536736),(10 18.459251),(11 18.617338),(12 19.78531),(13 19.794949),(14 21.549852),(15 23.643906),(16 24.379732),(17 24.389925),(18 24.87169),(19 24.20021),(20 23.882732),(21 23.891901),(22 23.452265),(23 23.877659),(24 25.242271),(25 25.270876),(26 26.471771),(27 27.795326),(28 28.00777),(29 28.042078),(30 27.190577),(31 26.754545),(32 26.353836),(33 26.362288),(34 24.719378),(35 24.523382),(36 25.79151),(37 25.80092),(38 26.55202),(39 26.365755),(40 25.942312),(41 25.939987),
(1 0.00052194955),(2 2.66567),(3 7.8980627),(4 9.302152),(5 9.306226),(6 9.956731),(7 11.168103),(8 11.646779),(9 11.651152),(10 11.635906),(11 11.809828),(12 12.329201),(13 12.333136),(14 13.321321),(15 13.78912),(16 14.454166),(17 14.454657),(18 14.248741),(19 14.457865),(20 14.857613),(21 14.866674),(22 14.654268),(23 14.584017),(24 15.288496),(25 15.299722),(26 15.701787),(27 16.08727),(28 16.442177),(29 16.45245),(30 16.601162),(31 16.807154),(32 16.454107),(33 16.459545),(34 15.4990425),(35 15.963154),(36 16.220211),(37 16.226368),(38 16.166195),(39 16.202),(40 16.325716),(41 16.32501),
(1 0.00068123895),(2 2.254309),(3 6.0327535),(4 7.296615),(5 7.302123),(6 7.72521),(7 8.335082),(8 8.88406),(9 8.885392),(10 8.968456),(11 8.77406),(12 9.109388),(13 9.115033),(14 9.46258),(15 10.153814),(16 10.779871),(17 10.781664),(18 10.873065),(19 10.905834),(20 11.277354),(21 11.279148),(22 10.663204),(23 10.711121),(24 11.207444),(25 11.21693),(26 11.816076),(27 11.909279),(28 12.133926),(29 12.16461),(30 12.261871),(31 11.903264),(32 12.081815),(33 12.085308),(34 11.9600725),(35 11.930003),(36 12.219395),(37 12.226205),(38 12.200209),(39 12.04143),(40 12.397297),(41 12.395608),
(1 0.00067439134),(2 1.9239964),(3 4.5053797),(4 5.472895),(5 5.477021),(6 5.760764),(7 6.25661),(8 6.6760764),(9 6.6758432),(10 6.564823),(11 6.584134),(12 6.9714837),(13 6.9745975),(14 7.0643897),(15 7.557483),(16 8.123506),(17 8.122516),(18 8.3461485),(19 8.21194),(20 8.457952),(21 8.461436),(22 8.22492),(23 8.342424),(24 8.776775),(25 8.780905),(26 8.975553),(27 9.085126),(28 9.301842),(29 9.315367),(30 8.939782),(31 8.792418),(32 9.047889),(33 9.048685),(34 9.0774145),(35 8.910099),(36 9.286293),(37 9.283776),(38 9.185329),(39 9.00922),(40 9.154288),(41 9.152715),
(1 0.00052313885),(2 1.1655858),(3 2.5476105),(4 3.1085265),(5 3.1115172),(6 3.234832),(7 3.474421),(8 3.7319574),(9 3.7325017),(10 3.687108),(11 3.6748075),(12 3.8493614),(13 3.8492167),(14 3.9826026),(15 4.218166),(16 4.440525),(17 4.440237),(18 4.50931),(19 4.5974545),(20 4.6876388),(21 4.6873074),(22 4.614292),(23 4.678411),(24 4.9189157),(25 4.9203916),(26 4.899794),(27 4.924819),(28 5.097828),(29 5.0894217),(30 4.859044),(31 4.807184),(32 5.003666),(33 5.0036287),(34 4.8653817),(35 4.933805),(36 5.2013483),(37 5.2012615),(38 5.0832076),(39 5.156878),(40 5.2254424),(41 5.2253633),
(1 0.0005571805),(2 0.9810073),(3 2.1046538),(4 2.4500475),(5 2.450766),(6 2.4849248),(7 2.6423001),(8 2.8626115),(9 2.863066),(10 2.8835068),(11 2.879339),(12 3.1271627),(13 3.1271925),(14 3.1366804),(15 3.2996042),(16 3.5338352),(17 3.5336556),(18 3.5233567),(19 3.5677764),(20 3.774073),(21 3.7711225),(22 3.7321098),(23 3.6967473),(24 3.883169),(25 3.8792353),(26 3.8302748),(27 3.900996),(28 4.086664),(29 4.077923),(30 3.9656763),(31 3.8999307),(32 3.9384522),(33 3.9365234),(34 3.9147036),(35 3.901317),(36 4.054602),(37 4.051839),(38 3.9130495),(39 3.8397217),(40 3.9712915),(41 3.9711647),
(1 0.0005079906),(2 0.74465346),(3 1.556111),(4 1.8043588),(5 1.8053488),(6 1.8808126),(7 1.9082186),(8 2.0844316),(9 2.084306),(10 2.072481),(11 2.1083217),(12 2.2362552),(13 2.2340798),(14 2.28283),(15 2.4012213),(16 2.5701542),(17 2.5706377),(18 2.5643237),(19 2.6074724),(20 2.760476),(21 2.7595756),(22 2.631672),(23 2.6473873),(24 2.7748837),(25 2.7733603),(26 2.7486534),(27 2.8251274),(28 2.9463027),(29 2.9352038),(30 2.79977),(31 2.720733),(32 2.8060598),(33 2.8021765),(34 2.7371373),(35 2.7284636),(36 2.8500135),(37 2.8482099),(38 2.8026915),(39 2.7647467),(40 2.8109848),(41 2.810904),
(1 0.00046684788),(2 0.5782894),(3 1.115034),(4 1.3228939),(5 1.323228),(6 1.3934001),(7 1.4170076),(8 1.5660015),(9 1.5658714),(10 1.5437086),(11 1.5858203),(12 1.6749995),(13 1.6744205),(14 1.6979761),(15 1.7641761),(16 1.9077886),(17 1.9070947),(18 1.8575792),(19 1.884265),(20 1.9744767),(21 1.9745128),(22 1.9114491),(23 1.8930044),(24 2.0400715),(25 2.0387635),(26 2.0374386),(27 2.0588105),(28 2.203317),(29 2.1907046),(30 2.0887134),(31 1.9991984),(32 2.0719914),(33 2.0695627),(34 2.0011404),(35 1.9550592),(36 2.0522726),(37 2.0489464),(38 1.9965136),(39 1.9666522),(40 2.044875),(41 2.0442085),
(1 0.00041545133),(2 0.44479665),(3 0.8531007),(4 1.0235955),(5 1.0239469),(6 1.0368112),(7 1.0714365),(8 1.2104194),(9 1.2106106),(10 1.1545702),(11 1.199353),(12 1.2728083),(13 1.271508),(14 1.2587378),(15 1.3475301),(16 1.4417677),(17 1.4411962),(18 1.3875769),(19 1.4190065),(20 1.4869871),(21 1.4857618),(22 1.4659262),(23 1.4674461),(24 1.5549273),(25 1.5531772),(26 1.5355426),(27 1.5549623),(28 1.6219352),(29 1.6172202),(30 1.5553617),(31 1.5392491),(32 1.5993576),(33 1.597723),(34 1.5842679),(35 1.4891111),(36 1.5534929),(37 1.5512906),(38 1.5070696),(39 1.4894078),(40 1.5385959),(41 1.5383685),
(1 0.0003353043),(2 0.31488144),(3 0.5953702),(4 0.6999159),(5 0.69910437),(6 0.7036971),(7 0.7422383),(8 0.8065109),(9 0.8064088),(10 0.7837959),(11 0.8165989),(12 0.8797731),(13 0.8788884),(14 0.87854993),(15 0.92868257),(16 0.9888264),(17 0.98780143),(18 0.9591313),(19 0.97764814),(20 1.0338295),(21 1.0334011),(22 0.9718793),(23 0.9806313),(24 1.0608335),(25 1.0584687),(26 1.0297186),(27 1.0489053),(28 1.0893186),(29 1.0832607),(30 1.0620388),(31 1.0288595),(32 1.0784987),(33 1.0764725),(34 1.0586547),(35 1.0141425),(36 1.0380523),(37 1.0362908),(38 1.0206141),(39 0.9945738),(40 1.0379063),(41 1.0380391),
