1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 642109.06),(2 2420628.8),(3 5215188.5),(4 8818836),(5 13018160),(6 17579430),(7 22299938),(8 27047616),(9 31611146),(10 35819444),(11 39675244),(12 43170452),(13 46295900),(14 48827988),(15 50762656),(16 52657204),(17 54453612),(18 56034476),(19 57293676),(20 58453010),(21 59155436),(22 59576000),(23 59968116),(24 60188176),(25 60462540),(26 60645508),(27 60937132),(28 61294156),(29 61784716),(30 62422884),(31 63227780),(32 63998932),(33 64857676),(34 65923948),(35 67018176),(36 67857930),(37 68801064),(38 69601690),(39 70371610),(40 71698400),(41 73488824),(42 75268216),(43 77324920),(44 79328670),(45 81309670),(46 83713210),(47 86377370),(48 88550120),(49 90515710),(50 92851680),(51 94970136),(52 97183896),(53 99479230),(54 100515960),(55 100972424),(56 102031810),(57 103463336),(58 105705370),(59 108642850),(60 112573050),(61 117135784),(62 122043930),(63 126600090),(64 130514340),(65 133652350),(66 136131470),(67 138180460),(68 140028590),(69 141377360),(70 141953540),(71 142761100),(72 143396130),(73 143449890),(74 143419120),(75 143665300),(76 143826940),(77 144636510),(78 145639540),(79 146235440),
(1 376333.9),(2 1413260.3),(3 3013777.5),(4 5018005),(5 7303745),(6 9798684),(7 12363882),(8 14884754),(9 17308542),(10 19512880),(11 21471170),(12 23274514),(13 24960118),(14 26504272),(15 27807936),(16 29085728),(17 30365882),(18 31570508),(19 32684182),(20 33793990),(21 34862024),(22 35805270),(23 36578176),(24 37171790),(25 37730484),(26 38221964),(27 38683970),(28 39033596),(29 39455116),(30 39864484),(31 40087624),(32 40366530),(33 40756104),(34 41045510),(35 41195400),(36 41272936),(37 41446660),(38 41662310),(39 41986010),(40 42453290),(41 43052024),(42 43542892),(43 43998536),(44 44402560),(45 44923828),(46 45416630),(47 45918748),(48 46343350),(49 46741470),(50 47260640),(51 47661730),(52 47922630),(53 48271308),(54 48275320),(55 48267760),(56 48387276),(57 48741164),(58 49342120),(59 50287052),(60 51762664),(61 53563930),(62 55511500),(63 57328704),(64 59066924),(65 60799976),(66 62361056),(67 63773080),(68 64825256),(69 65632890),(70 66292364),(71 66996630),(72 67721100),(73 68189144),(74 68725750),(75 69434990),(76 70348290),(77 71825230),(78 73457390),(79 74975410),
(1 379837.1),(2 1378704.4),(3 2838245.8),(4 4621684),(5 6616872.5),(6 8782839),(7 11000041),(8 13121308),(9 15062661),(10 16851438),(11 18410104),(12 19757250),(13 20962000),(14 22105098),(15 23098096),(16 24017322),(17 24943802),(18 25946608),(19 27044680),(20 28201938),(21 29489510),(22 30643942),(23 31605530),(24 32536662),(25 33479398),(26 34390364),(27 35198320),(28 35895956),(29 36521476),(30 37235630),(31 37896716),(32 38572580),(33 39194084),(34 39679460),(35 39925330),(36 39959372),(37 39884040),(38 39709332),(39 39493040),(40 39152428),(41 38812640),(42 38389572),(43 38006204),(44 37831532),(45 37933264),(46 38249228),(47 38690236),(48 39121710),(49 39501596),(50 39905044),(51 40135732),(52 40123050),(53 40064980),(54 39997932),(55 39916308),(56 39817412),(57 40032480),(58 40152780),(59 40256188),(60 40308736),(61 40187750),(62 40060908),(63 39966990),(64 39999300),(65 40289590),(66 40806624),(67 41361610),(68 41648270),(69 41924500),(70 42436012),(71 42840370),(72 43466124),(73 44205856),(74 45173664),(75 46508812),(76 48076196),(77 50071216),(78 52139744),(79 54042784),
(1 262324.5),(2 950415.7),(3 1979172.9),(4 3226986.5),(5 4647338),(6 6256371.5),(7 8005136),(8 9817746),(9 11647678),(10 13523941),(11 15420741),(12 17233682),(13 18970646),(14 20740920),(15 22443816),(16 24047744),(17 25604712),(18 27105352),(19 28643000),(20 30275346),(21 32098752),(22 34030692),(23 35806480),(24 37461330),(25 39018640),(26 40632110),(27 42209800),(28 43745864),(29 45100116),(30 46347090),(31 47580996),(32 48690170),(33 49868364),(34 51099590),(35 52303436),(36 53268264),(37 54102150),(38 54826864),(39 55480556),(40 55768656),(41 55878636),(42 55678170),(43 55173880),(44 54423240),(45 53571948),(46 52874276),(47 52317452),(48 51783120),(49 51199376),(50 50601680),(51 49992016),(52 49493364),(53 49245268),(54 49049124),(55 49016780),(56 48846256),(57 48758944),(58 48883000),(59 49182600),(60 49536612),(61 49852064),(62 50212616),(63 50614892),(64 51055290),(65 51749404),(66 52428160),(67 52998136),(68 53377684),(69 53765668),(70 54394596),(71 55107900),(72 55976950),(73 56706980),(74 57565304),(75 58793840),(76 60200356),(77 61842204),(78 63657984),(79 65494800),
(1 252174),(2 939093.06),(3 1992254.9),(4 3328188.8),(5 4901166),(6 6731035.5),(7 8770562),(8 10981162),(9 13376708),(10 15885127),(11 18426656),(12 20996822),(13 23565248),(14 26178546),(15 28828282),(16 31419814),(17 34018680),(18 36458816),(19 38852172),(20 41300970),(21 43950090),(22 46618692),(23 49173480),(24 51580348),(25 53763316),(26 55913076),(27 58017572),(28 60021480),(29 61819748),(30 63361344),(31 64646184),(32 65616920),(33 66567484),(34 67565410),(35 68520760),(36 69277940),(37 69790840),(38 70202830),(39 70574856),(40 70739270),(41 70741864),(42 70479440),(43 69965470),(44 69221880),(45 68396264),(46 67520616),(47 66689664),(48 65889390),(49 64946700),(50 63886640),(51 62718884),(52 61481572),(53 60363844),(54 59152764),(55 57892110),(56 56463708),(57 55069372),(58 53759268),(59 52569640),(60 51425430),(61 50278468),(62 49188824),(63 48158372),(64 47187524),(65 46497028),(66 45893532),(67 45419600),(68 45020284),(69 44718236),(70 44590190),(71 44524784),(72 44656676),(73 44869724),(74 45136996),(75 45457300),(76 45833852),(77 46287950),(78 46786028),(79 47273172),
(1 197744.9),(2 711840.2),(3 1465484.4),(4 2400288),(5 3453693.3),(6 4605382),(7 5814933.5),(8 7071224),(9 8354450.5),(10 9693741),(11 11042090),(12 12420661),(13 13861731),(14 15309283),(15 16843628),(16 18421380),(17 20061268),(18 21720760),(19 23316868),(20 24832996),(21 26226804),(22 27457868),(23 28661932),(24 29803148),(25 30812800),(26 31785978),(27 32697146),(28 33525372),(29 34184252),(30 34660300),(31 35122824),(32 35711020),(33 36362456),(34 36921640),(35 37343736),(36 37765148),(37 38188924),(38 38530176),(39 38877284),(40 39263276),(41 39527736),(42 39681500),(43 39616160),(44 39551880),(45 39367124),(46 39197256),(47 39030604),(48 39039700),(49 38959580),(50 38900550),(51 38822770),(52 38744544),(53 38560296),(54 38278456),(55 37803828),(56 37206504),(57 36690604),(58 36008970),(59 35305510),(60 34670420),(61 33931416),(62 33192954),(63 32494912),(64 31958022),(65 31728186),(66 31706196),(67 31763450),(68 31737530),(69 31569210),(70 31451648),(71 31379878),(72 31298240),(73 31206342),(74 31024980),(75 30861984),(76 30734854),(77 30631136),(78 30602330),(79 30656918),
(1 203608.06),(2 751048.75),(3 1559379.8),(4 2560843),(5 3718281.3),(6 5017039),(7 6404303.5),(8 7806207.5),(9 9252386),(10 10717215),(11 12157474),(12 13601650),(13 15139600),(14 16731910),(15 18358774),(16 19850784),(17 21231848),(18 22465380),(19 23581154),(20 24740156),(21 25803886),(22 26834750),(23 27675484),(24 28469076),(25 29221538),(26 29785720),(27 30284920),(28 30605568),(29 30818866),(30 30916458),(31 31041752),(32 31201526),(33 31303524),(34 31253076),(35 31020872),(36 30708174),(37 30427864),(38 30138760),(39 29857144),(40 29614930),(41 29250356),(42 28738952),(43 28110482),(44 27599710),(45 27013516),(46 26420640),(47 25728650),(48 25111330),(49 24427442),(50 23826090),(51 23316072),(52 22882952),(53 22463048),(54 21973984),(55 21463650),(56 20969832),(57 20607460),(58 20459502),(59 20415742),(60 20501330),(61 20589220),(62 20752494),(63 20945956),(64 21009186),(65 21064856),(66 21212124),(67 21444182),(68 21646104),(69 21767310),(70 21914776),(71 22032610),(72 22055826),(73 21963594),(74 21723008),(75 21424414),(76 21099864),(77 20907146),(78 20760242),(79 20775026),
(1 244920.7),(2 879116.56),(3 1789748.5),(4 2910432.3),(5 4198292.5),(6 5610697.5),(7 7080667),(8 8540837),(9 10078828),(10 11696583),(11 13414153),(12 15174385),(13 17042072),(14 18835938),(15 20590494),(16 22018436),(17 23189786),(18 24105976),(19 24809982),(20 25442138),(21 25967838),(22 26309034),(23 26345076),(24 26289548),(25 26052118),(26 25536446),(27 24921480),(28 24172836),(29 23499550),(30 22809892),(31 22184860),(32 21653026),(33 21124062),(34 20616326),(35 20080294),(36 19597782),(37 19163438),(38 18750878),(39 18397708),(40 18079104),(41 17772702),(42 17470920),(43 17115658),(44 16722441),(45 16280290),(46 15920269),(47 15660049),(48 15560034),(49 15582401),(50 15722976),(51 15988809),(52 16374291),(53 16814348),(54 17373234),(55 17997704),(56 18702110),(57 19468674),(58 20359940),(59 21313062),(60 22261184),(61 23073940),(62 23742996),(63 24283162),(64 24709044),(65 24976648),(66 25224738),(67 25347778),(68 25296372),(69 25141610),(70 24871958),(71 24543794),(72 24178060),(73 23721610),(74 23147784),(75 22503068),(76 21706752),(77 20955330),(78 20313728),(79 19829824),
(1 342460.06),(2 1276468.1),(3 2630093.8),(4 4306386),(5 6253225.5),(6 8412073),(7 10603358),(8 12767843),(9 14861489),(10 16886784),(11 18837970),(12 20629700),(13 22290504),(14 23758186),(15 24943898),(16 25884500),(17 26649560),(18 27245276),(19 27692830),(20 27994004),(21 28257558),(22 28406702),(23 28355346),(24 28238882),(25 28042142),(26 27713018),(27 27405714),(28 26938412),(29 26499126),(30 26009530),(31 25607698),(32 25325436),(33 24983930),(34 24627118),(35 24333716),(36 24176872),(37 24112086),(38 24086320),(39 24077610),(40 24124206),(41 24192048),(42 24235184),(43 24244836),(44 24155046),(45 24008276),(46 23861520),(47 23671800),(48 23413936),(49 23119740),(50 22767300),(51 22422418),(52 22145274),(53 21820186),(54 21482008),(55 21155940),(56 20854550),(57 20577818),(58 20321770),(59 20046984),(60 19781176),(61 19596402),(62 19447736),(63 19318594),(64 19247364),(65 19248158),(66 19265750),(67 19251136),(68 19311904),(69 19419076),(70 19643256),(71 20028006),(72 20465434),(73 20853292),(74 21328422),(75 21906170),(76 22518864),(77 23184432),(78 23952788),(79 24858572),
(1 403812.7),(2 1510628.6),(3 3157419),(4 5238386),(5 7681013.5),(6 10376972),(7 13192356),(8 15998368),(9 18672124),(10 21159644),(11 23345024),(12 25223462),(13 26800376),(14 28099726),(15 29067716),(16 29735204),(17 30062638),(18 30038472),(19 29743058),(20 29237206),(21 28604930),(22 27787330),(23 26789398),(24 25629408),(25 24369674),(26 23097816),(27 21887624),(28 20748732),(29 19794272),(30 18987138),(31 18483584),(32 18295216),(33 18338796),(34 18590862),(35 19105794),(36 19851212),(37 20861748),(38 22100328),(39 23503452),(40 25066084),(41 26702158),(42 28269724),(43 29691898),(44 31031008),(45 32284580),(46 33468182),(47 34572396),(48 35476790),(49 36161476),(50 36534090),(51 36504370),(52 36207028),(53 35593044),(54 34636650),(55 33451150),(56 31978254),(57 30237852),(58 28346854),(59 26386340),(60 24484248),(61 22721102),(62 21125486),(63 19791694),(64 18824402),(65 18235112),(66 18042258),(67 18142944),(68 18492620),(69 19122658),(70 19935386),(71 20888558),(72 21858446),(73 22727684),(74 23515720),(75 24200712),(76 24852910),(77 25348312),(78 25840652),(79 26299830),
(1 436446.66),(2 1666612.5),(3 3527814.3),(4 5895015),(5 8659064),(6 11694675),(7 14939209),(8 18333640),(9 21648474),(10 24807504),(11 27616448),(12 30149890),(13 32357368),(14 34191390),(15 35448170),(16 36233630),(17 36446940),(18 36193684),(19 35440044),(20 34131316),(21 32593584),(22 30738256),(23 28764718),(24 26682000),(25 24534736),(26 22477004),(27 20561152),(28 18873670),(29 17498644),(30 16395639),(31 15619731),(32 15134165),(33 15020146),(34 15233638),(35 15646221),(36 16223627),(37 17019982),(38 18097412),(39 19349332),(40 20692682),(41 22128368),(42 23600768),(43 25108446),(44 26555748),(45 27801520),(46 28714256),(47 29376246),(48 29736038),(49 29820236),(50 29685112),(51 29342476),(52 28915460),(53 28371644),(54 27687904),(55 26791888),(56 25774920),(57 24553592),(58 23206816),(59 21924752),(60 20760050),(61 19682144),(62 18723118),(63 17949040),(64 17544028),(65 17518096),(66 17940888),(67 18598840),(68 19471364),(69 20658224),(70 22059508),(71 23654086),(72 25191702),(73 26661878),(74 27912914),(75 28837904),(76 29476968),(77 29714844),(78 29746616),(79 29460884),
