1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 32544.95),(2 91436.88),(3 142531.64),(4 194184.02),(5 244590.44),(6 289424.2),(7 324309.03),(8 352911.34),(9 379349.94),(10 396865.53),(11 413513.8),(12 426965.72),(13 439012.2),(14 448639.75),(15 456431.53),(16 468348.47),(17 484791.7),(18 497909.4),(19 503164.2),(20 506211.7),(21 510759.2),(22 517158.22),(23 518932.2),(24 516046.38),(25 515198.03),(26 516467.53),(27 518759.34),(28 518099.03),(29 518456.2),(30 521296.34),(31 527596.25),(32 531301.56),(33 535332.94),(34 539591),(35 543884.06),(36 547969.8),(37 549882),(38 548083.06),(39 546956.7),(40 545863.8),(41 545518.1),(42 543974.25),(43 542491.75),(44 540723.9),(45 536518.8),(46 535272.8),(47 537386.4),(48 541980.25),(49 548048.4),(50 554558),(51 560432.7),(52 563524.1),(53 566230.9),(54 568408.6),(55 571623.7),(56 572798.2),(57 575465.56),(58 576159.9),(59 577843.7),(60 580053.6),(61 583133.6),(62 587763),(63 594072.56),(64 602644.9),(65 611740),(66 618794.75),(67 622874.44),(68 622601.56),(69 620292.7),(70 618822.5),(71 618373.94),(72 621820.4),(73 626930),(74 631807.06),(75 636763.7),(76 638878.1),(77 640805),(78 642385.75),(79 642417.75),
(1 31820.611),(2 89153.086),(3 136595.4),(4 180764.77),(5 223629.88),(6 261979.67),(7 295054.38),(8 325407.56),(9 354862.47),(10 380150.78),(11 400544.75),(12 415994.63),(13 431640.7),(14 445166.22),(15 453628.66),(16 461513),(17 472043.6),(18 482538.8),(19 488208.53),(20 490602.4),(21 492744.06),(22 497709.94),(23 500779.22),(24 501019.06),(25 500247.3),(26 504234.53),(27 508169.38),(28 510575.34),(29 511994.63),(30 512951.4),(31 515152),(32 515927.13),(33 512942.38),(34 511567.66),(35 511157.13),(36 512226.88),(37 516299.3),(38 523515.25),(39 529897.94),(40 537447.8),(41 541972.75),(42 549866.7),(43 557361.2),(44 562751.6),(45 570827.1),(46 580809.56),(47 592334.3),(48 599666.8),(49 603315.06),(50 603739.25),(51 602626.44),(52 602481.6),(53 606257.06),(54 611883.6),(55 620173.75),(56 626730.25),(57 632727.9),(58 634315.25),(59 636197.4),(60 639810.9),(61 644499.94),(62 649653.9),(63 654595.4),(64 658704),(65 660915.4),(66 662863.44),(67 665382.6),(68 666684.6),(69 667893.3),(70 668424.2),(71 667122.94),(72 667243.6),(73 666088.25),(74 663834.75),(75 659206.3),(76 650941.06),(77 644103.75),(78 636379.75),(79 628536.8),
(1 30593.041),(2 85202.1),(3 128060.266),(4 167214.16),(5 207992.94),(6 248733.72),(7 281451.75),(8 308216.9),(9 332318.56),(10 352914.63),(11 371631.63),(12 385533.8),(13 395529.56),(14 403657),(15 408563.8),(16 412608.22),(17 418364.78),(18 424960.78),(19 427182.25),(20 426596.03),(21 429687.78),(22 435760.03),(23 439671.7),(24 443108.1),(25 448661),(26 457686.94),(27 465110.3),(28 469750.84),(29 474215.8),(30 482039.03),(31 489642.34),(32 493782.66),(33 494101.6),(34 493882.16),(35 494929),(36 492507.03),(37 488462.63),(38 486206.4),(39 484659.4),(40 482506.72),(41 480549.88),(42 480530.56),(43 481708.03),(44 480613.75),(45 477245.44),(46 475098.03),(47 474102.53),(48 474212.3),(49 474333.38),(50 477243.78),(51 481213.1),(52 487481.75),(53 495051),(54 503077.47),(55 510210.06),(56 515068.28),(57 518924.13),(58 521829.06),(59 527209.25),(60 533437.06),(61 539848.5),(62 546883.06),(63 554790.2),(64 564538.2),(65 571896.75),(66 578093.5),(67 581964.06),(68 585676.06),(69 585282.5),(70 584683.7),(71 584219.06),(72 583406.4),(73 582276.75),(74 580907.3),(75 576866.2),(76 572974.2),(77 573052.8),(78 574531.75),(79 575402.5),
(1 30644.664),(2 84067.45),(3 126703.016),(4 166689.72),(5 207842.03),(6 246488.9),(7 275883.16),(8 299905),(9 323604.94),(10 343939.03),(11 360478.34),(12 373354.38),(13 384627.97),(14 392257.88),(15 397156.84),(16 404331.28),(17 414160.47),(18 422866.28),(19 429180.94),(20 435016.38),(21 442951),(22 451545.72),(23 459218.84),(24 465834.28),(25 469631.28),(26 474469.38),(27 480006.75),(28 485314.63),(29 486592.72),(30 486636.47),(31 486727.44),(32 485719.38),(33 483136.25),(34 480062.34),(35 479162.38),(36 480275.06),(37 483302.56),(38 490645.63),(39 495298.34),(40 498918.72),(41 499429),(42 498932.56),(43 496546.25),(44 491547.06),(45 484413.44),(46 479809.28),(47 478404.84),(48 478857.38),(49 479795.16),(50 479667.53),(51 481495.16),(52 485128.53),(53 490615.47),(54 497078.1),(55 503392.66),(56 507848.44),(57 509852.2),(58 508442.28),(59 508651.63),(60 504370.8),(61 498009.56),(62 495424.94),(63 497308.47),(64 502433.72),(65 506568.8),(66 510881.16),(67 517038.16),(68 523043.38),(69 526026.2),(70 523469.84),(71 520297.94),(72 516686.2),(73 514946.25),(74 515556),(75 516178.72),(76 514596.06),(77 513673.16),(78 517634.56),(79 521783.63),
(1 30150.916),(2 82949.89),(3 123032.95),(4 159832.77),(5 196801.03),(6 230473.97),(7 256728.08),(8 277808.3),(9 296600.8),(10 312745.1),(11 324559.56),(12 333786.03),(13 345706.3),(14 354936.22),(15 358369.06),(16 361525.2),(17 368144.47),(18 376822.9),(19 383281.94),(20 389736.2),(21 398439.8),(22 406228.16),(23 411530.3),(24 416015.56),(25 422088.2),(26 429119.22),(27 433962.3),(28 437532.06),(29 439880.78),(30 445814.53),(31 449873.1),(32 451639.94),(33 453721.2),(34 457678.3),(35 461820.5),(36 466234.75),(37 470906.06),(38 478020.5),(39 483569.94),(40 487269.47),(41 489325.63),(42 492152.16),(43 494220.16),(44 495785.44),(45 496153.13),(46 495225.97),(47 496191.3),(48 495953.88),(49 493170.06),(50 490994.28),(51 488380.28),(52 488844.1),(53 490654.9),(54 494901.38),(55 499875.47),(56 505308.16),(57 506936.34),(58 504264.88),(59 500281),(60 497392.88),(61 496522.06),(62 498306.8),(63 502053.44),(64 504329.2),(65 505035.3),(66 505509.8),(67 506530.9),(68 508327.84),(69 508424.5),(70 508136.25),(71 506140.28),(72 504747.06),(73 504065.78),(74 506433.8),(75 510239.6),(76 512284.06),(77 513642.75),(78 515973.47),(79 518355.25),
(1 29944.19),(2 80617.84),(3 118615.75),(4 153559.89),(5 190132.48),(6 225310.94),(7 252689.47),(8 272389.2),(9 289456.44),(10 302273.78),(11 310855.7),(12 316983.2),(13 324829.78),(14 330708.3),(15 335800.4),(16 341784.34),(17 348690.34),(18 356548.88),(19 360026.44),(20 363877.25),(21 368104.5),(22 374007.06),(23 377446.63),(24 377595.44),(25 380649.06),(26 386921.94),(27 390887.72),(28 390163.72),(29 388565.78),(30 391318.8),(31 394671.34),(32 397171.25),(33 398908.7),(34 402290.4),(35 408010.94),(36 411527.9),(37 413524.56),(38 418183.97),(39 422708.1),(40 426585.78),(41 428999.34),(42 433808.66),(43 439900.5),(44 443892.03),(45 448575.63),(46 452041.47),(47 455667.4),(48 458258.47),(49 462624.75),(50 469013.25),(51 473169.2),(52 475944.9),(53 480101.25),(54 485521.94),(55 488293.56),(56 490369.44),(57 492357.44),(58 492445.7),(59 492518.63),(60 493008.5),(61 495765.75),(62 499609.66),(63 500513.53),(64 500748.88),(65 500572.2),(66 498339.4),(67 496099.1),(68 495045.78),(69 497095.25),(70 500705.84),(71 502305.84),(72 503418.75),(73 501324.5),(74 500613),(75 501076.8),(76 498823.13),(77 491554.8),(78 484047.6),(79 478571.7),
(1 30293.033),(2 81390.055),(3 119961.61),(4 155522.47),(5 191739.17),(6 223234.81),(7 244609.9),(8 262484.56),(9 280732.16),(10 296221),(11 308614.84),(12 318919.6),(13 330022.88),(14 342030.72),(15 352237.8),(16 363532.1),(17 373792.25),(18 381182.66),(19 384290.66),(20 387490.16),(21 393340.9),(22 396605.84),(23 397759.66),(24 398652.84),(25 401575.63),(26 406271.06),(27 410503.1),(28 413040.1),(29 416873.34),(30 422021.16),(31 424621.66),(32 425782.06),(33 426192.75),(34 428199.53),(35 429528.8),(36 428628.94),(37 427044.66),(38 428740.44),(39 430790.56),(40 432002.2),(41 432144.1),(42 433595.9),(43 437890.72),(44 439468.72),(45 441527.72),(46 443315.53),(47 448554.75),(48 451100.25),(49 452880.8),(50 455184.2),(51 457855.47),(52 461386.66),(53 463755.16),(54 465456),(55 465154.72),(56 464322.56),(57 461913.2),(58 461046.2),(59 462319.2),(60 464046.1),(61 463955.38),(62 463711.44),(63 463923.9),(64 464156.47),(65 464518.84),(66 464189.2),(67 465547.63),(68 467070.66),(69 471348.44),(70 472941.84),(71 472107.84),(72 474498.34),(73 476688.84),(74 481129.84),(75 487220.75),(76 493428.72),(77 498386.47),(78 501772.38),(79 504097.75),
(1 27069.611),(2 72926.76),(3 107676.81),(4 138997.95),(5 171058),(6 200551.2),(7 223920.08),(8 244534.14),(9 265409.2),(10 283007.66),(11 296658.4),(12 307304.6),(13 317567.2),(14 326835.06),(15 332411.53),(16 336403.16),(17 343464.28),(18 351570.88),(19 357281.8),(20 362229.1),(21 368160.6),(22 372404.28),(23 375195),(24 377967.97),(25 380722.66),(26 385451.9),(27 388473.94),(28 388191.75),(29 387371.72),(30 387467.3),(31 388369.34),(32 389818.88),(33 391596.1),(34 395520.1),(35 397727.44),(36 397393.44),(37 396732.5),(38 397996.8),(39 399558.47),(40 398001.38),(41 394601.47),(42 392679.84),(43 392698.28),(44 394829.66),(45 395790.06),(46 397118.63),(47 399168.34),(48 401418.78),(49 405025.53),(50 408195.72),(51 408618.9),(52 409746.63),(53 409937.66),(54 409809.94),(55 410401.53),(56 411720.7),(57 412796.03),(58 414041.1),(59 415832.34),(60 419113.7),(61 420087.63),(62 422140.84),(63 424013.3),(64 426316.88),(65 425841.53),(66 424897.78),(67 424315.63),(68 422781.84),(69 423152.4),(70 421887.75),(71 419917.9),(72 418396.22),(73 417443.97),(74 418780.03),(75 420971.78),(76 422920.5),(77 425220.6),(78 427219.97),(79 429452.16),
(1 27313.531),(2 73518.44),(3 109688.85),(4 141938.89),(5 173580.52),(6 200446.84),(7 219418.14),(8 233576.64),(9 246988.78),(10 260311.63),(11 271938.44),(12 281428.47),(13 291294.22),(14 298981.44),(15 304878.47),(16 309609.8),(17 318833.84),(18 330344.66),(19 337853.53),(20 343411.66),(21 351255.03),(22 358049.6),(23 360787.22),(24 362627.06),(25 364619.34),(26 370993.06),(27 376443.1),(28 381727.78),(29 387808.22),(30 392616.9),(31 395017.56),(32 395230.34),(33 397563.9),(34 403168.78),(35 408836.56),(36 413949.44),(37 417904.75),(38 420130.75),(39 419445.94),(40 416722.56),(41 413257.44),(42 411226.66),(43 409293.97),(44 407882.72),(45 403906.84),(46 400173.78),(47 397953.28),(48 396615.03),(49 395914.53),(50 392147.1),(51 388309.44),(52 384721.5),(53 382287.34),(54 380779.28),(55 381248.97),(56 383709.3),(57 384620.8),(58 385840.28),(59 389062.16),(60 392778.06),(61 393076.56),(62 396338.66),(63 402707.7),(64 408936.3),(65 412355.7),(66 414051.6),(67 418025.44),(68 420408.75),(69 424337.16),(70 426364),(71 427913.16),(72 429957),(73 430049.16),(74 431150.4),(75 434933.28),(76 440373.94),(77 445090.16),(78 447562.06),(79 450316.13),
(1 25650.63),(2 68491.34),(3 102825.01),(4 136561.67),(5 168304.9),(6 195354.73),(7 216055.03),(8 232202.28),(9 247609.53),(10 260641.16),(11 272640.72),(12 284925.72),(13 295785.56),(14 303688.66),(15 308747.63),(16 312652.44),(17 319180.94),(18 324229.97),(19 325530.47),(20 324731.28),(21 324314.6),(22 324129.22),(23 321350.7),(24 317422.8),(25 315289.84),(26 315714.34),(27 318027.53),(28 321906.6),(29 326833.03),(30 331533.56),(31 335287.06),(32 336972.16),(33 336548.94),(34 338973.47),(35 343741.97),(36 345501.88),(37 345892.88),(38 349415.75),(39 352847.56),(40 355710.4),(41 358471.06),(42 361699.56),(43 365021.56),(44 368195.88),(45 368148.66),(46 368220.3),(47 369112.9),(48 370518.84),(49 372243.7),(50 372741.38),(51 372104.66),(52 370354.72),(53 370384),(54 372501.9),(55 374790.53),(56 375454.28),(57 375913.22),(58 378308.8),(59 379176.34),(60 380518.38),(61 381943.66),(62 384793.06),(63 391065.56),(64 397203.88),(65 400891.97),(66 404188.44),(67 406492.56),(68 406904.7),(69 409043.06),(70 408787.34),(71 407079.13),(72 404107.3),(73 401553.03),(74 400474.94),(75 400386.53),(76 400424.2),(77 398585.63),(78 397194.72),(79 397150.53),
(1 26647.668),(2 69571.06),(3 99143.69),(4 125857.7),(5 153464.6),(6 180527.47),(7 200984.23),(8 217496.11),(9 232671.84),(10 246080.5),(11 256157.33),(12 265902.53),(13 275460.06),(14 284097.72),(15 291331.22),(16 295982.38),(17 299288.16),(18 302645.8),(19 303975.44),(20 304889.53),(21 307752.44),(22 310971.25),(23 312332.6),(24 312697.47),(25 314835.13),(26 318027.25),(27 319357.63),(28 319331.56),(29 318435.25),(30 318470.75),(31 319798.75),(32 319249.06),(33 316970.2),(34 319396.72),(35 324270.7),(36 326239.13),(37 327548.4),(38 332311.6),(39 336320.53),(40 338946.56),(41 340678.53),(42 344272.47),(43 349115.3),(44 352733.47),(45 356214.9),(46 359916.44),(47 364719.53),(48 368059.78),(49 370053.25),(50 372045.25),(51 372590.7),(52 371768.78),(53 372394.53),(54 374890.2),(55 378718.22),(56 382269.66),(57 384761.34),(58 387335.47),(59 389623.75),(60 390869.56),(61 391551.13),(62 394457.13),(63 397358.13),(64 398531.6),(65 398178.75),(66 396747.75),(67 394577.75),(68 393669.7),(69 393961.13),(70 391650.75),(71 388769.1),(72 385760.66),(73 380373.88),(74 377227.6),(75 374506.3),(76 370845.75),(77 367667.22),(78 364742.7),(79 364183.4),
(1 25745.596),(2 67705.25),(3 96902.45),(4 123407.445),(5 152300.72),(6 180613.63),(7 201465.64),(8 217173.56),(9 228983.14),(10 237367.05),(11 243669.34),(12 248508.31),(13 254341.95),(14 258898.6),(15 261436.66),(16 263339.2),(17 268510.97),(18 275084.72),(19 278599.13),(20 281778.6),(21 287437.9),(22 295574.72),(23 301099.06),(24 304660.75),(25 307707.13),(26 312634.63),(27 316109.3),(28 317982.63),(29 318073.34),(30 319084.88),(31 320624.63),(32 320038.28),(33 318319.28),(34 318554.28),(35 319603),(36 320541.7),(37 322880.56),(38 326588.47),(39 328466.63),(40 330695.38),(41 332960.47),(42 336107.38),(43 338081.38),(44 338096.78),(45 337585.25),(46 336383.53),(47 334986.88),(48 332831.22),(49 330414.1),(50 327814.3),(51 326503.84),(52 324367.44),(53 323428.38),(54 324495.88),(55 326488.25),(56 329200.38),(57 328919.9),(58 327718.34),(59 326733.78),(60 324734.47),(61 321822.2),(62 319504.25),(63 318160.16),(64 319805.84),(65 321043.2),(66 321569.03),(67 321459.44),(68 323625.1),(69 327767.66),(70 332414.7),(71 336053.4),(72 337792.1),(73 337697.72),(74 335453.3),(75 335397.72),(76 334953.25),(77 335499.13),(78 334733.22),(79 331704.3),
(1 25499.25),(2 67175.82),(3 96376.195),(4 123221.62),(5 151264.95),(6 178303.42),(7 197730.2),(8 212062.23),(9 225523.53),(10 239102.08),(11 251180.5),(12 260756.17),(13 269909.28),(14 278048.56),(15 283790.03),(16 287180.34),(17 291669.66),(18 296881.16),(19 298512.47),(20 299347.66),(21 302704.38),(22 308855.75),(23 313806.44),(24 317200.28),(25 320636.22),(26 326489.94),(27 328877.06),(28 327730.4),(29 326546.3),(30 326309.66),(31 326430.63),(32 323486.28),(33 321415.88),(34 321949.22),(35 323702.44),(36 323211.6),(37 321608.97),(38 322697.28),(39 326090.53),(40 331055.1),(41 336005.88),(42 340046.8),(43 344968.13),(44 346370.25),(45 344218.38),(46 342249.78),(47 343001.66),(48 344366.13),(49 344946.34),(50 345002.5),(51 345244.44),(52 345228.94),(53 347946.63),(54 351309.63),(55 355150.38),(56 357878.9),(57 359748.13),(58 361051.66),(59 363021.78),(60 362879.44),(61 360426.53),(62 357932.6),(63 357321.8),(64 356971),(65 356871.7),(66 357210.22),(67 359520.47),(68 362663.72),(69 366800.7),(70 370037.34),(71 370237.7),(72 369006.1),(73 365938.63),(74 361619),(75 358347.75),(76 355303.84),(77 353181.1),(78 348679.66),(79 345110.47),
(1 25189.678),(2 65209.863),(3 91215.305),(4 114271.42),(5 139008.13),(6 163179.95),(7 182737.02),(8 197030.73),(9 208980.67),(10 219677.61),(11 229567.8),(12 237166.2),(13 243050.42),(14 247867.11),(15 251868.81),(16 255571.08),(17 263282.75),(18 271113.38),(19 274188.7),(20 275826),(21 279968.97),(22 284590.84),(23 285277.9),(24 283967.66),(25 284402.25),(26 287302.06),(27 288714.3),(28 288264.44),(29 287382.8),(30 288974.63),(31 289920.97),(32 287483.6),(33 285276.7),(34 287599.8),(35 292382.97),(36 295533.3),(37 296693.7),(38 298953.38),(39 302815.25),(40 307021.2),(41 311190.4),(42 315780.7),(43 321752.75),(44 328096),(45 331812.97),(46 335891.25),(47 338888.56),(48 340222.06),(49 340057.66),(50 340962.7),(51 343146.63),(52 345704.97),(53 349365.6),(54 352350.44),(55 354106.3),(56 353857.9),(57 355883.7),(58 355297.88),(59 353761.63),(60 352896.7),(61 351907.78),(62 351800.22),(63 353511.6),(64 353969.88),(65 352681.6),(66 351143.22),(67 350410.5),(68 350420.3),(69 350608.4),(70 351217.22),(71 353195.38),(72 354133.56),(73 352656.16),(74 350312.5),(75 348020.84),(76 344554.4),(77 340713.6),(78 337274.56),(79 335211.2),
(1 24974.727),(2 64632.703),(3 90050.79),(4 111611.96),(5 136457.17),(6 161963.73),(7 180554.58),(8 192691.31),(9 201355.17),(10 209295.67),(11 216928.25),(12 222176.61),(13 229912.67),(14 239393.45),(15 246842.34),(16 252137.9),(17 257005.9),(18 260172.98),(19 259388.47),(20 258717.52),(21 259662.06),(22 263603.56),(23 264128.22),(24 265234.38),(25 268119.22),(26 273428.25),(27 276730.94),(28 276582.28),(29 276724.44),(30 279136.56),(31 282685.5),(32 283734.72),(33 283939.72),(34 287662.6),(35 290852.1),(36 293002.28),(37 295602.7),(38 298605.72),(39 301933.1),(40 305629.06),(41 307016.44),(42 308246.28),(43 311909.72),(44 316046.38),(45 318731.38),(46 322731.78),(47 326594.25),(48 329052.66),(49 330420.03),(50 332486.44),(51 334751.22),(52 336028.1),(53 337027.84),(54 338356.3),(55 338631.84),(56 338879.38),(57 339890.3),(58 340650.3),(59 340992.72),(60 340287.2),(61 338015.63),(62 336742.5),(63 338469.94),(64 341177.38),(65 344119.44),(66 344512.53),(67 343977.47),(68 343590.38),(69 342584),(70 341274.06),(71 340179.06),(72 339582.06),(73 338452.25),(74 337321.4),(75 335414.38),(76 334303.2),(77 333177.28),(78 332292.28),(79 332069.63),
(1 23136.271),(2 60247.438),(3 84977.9),(4 105595.85),(5 127359.805),(6 148862.69),(7 164739.66),(8 176553.31),(9 186135.4),(10 195993.8),(11 204093.77),(12 212024.6),(13 220637.7),(14 227601.19),(15 233074.1),(16 236719.47),(17 238375.05),(18 240171.61),(19 239705.34),(20 238407.88),(21 237975.23),(22 241642.2),(23 244037.19),(24 244384.58),(25 244813.72),(26 247947.2),(27 249925.34),(28 250594.9),(29 251051.05),(30 253007.36),(31 256629.4),(32 257366.39),(33 255358.64),(34 254326.45),(35 254703.8),(36 254023.77),(37 253555.7),(38 255251.61),(39 258660.44),(40 263260.5),(41 266810.34),(42 271198.56),(43 276555.53),(44 281669.25),(45 283824.72),(46 286154.03),(47 286251.7),(48 286197.06),(49 285667.4),(50 286616.16),(51 287664.1),(52 288897.94),(53 289152.94),(54 290433.06),(55 291907.5),(56 292688),(57 294864.66),(58 295784.94),(59 296975.6),(60 297849.34),(61 297719.6),(62 296414.9),(63 296016.94),(64 295733.34),(65 296094.7),(66 295428.94),(67 294436.47),(68 293754.38),(69 293263.06),(70 293159.78),(71 293866.7),(72 295035.66),(73 295157.8),(74 296190.5),(75 297105.1),(76 298175.6),(77 298306.38),(78 297056.7),(79 296568.7),
(1 23169.172),(2 60000.184),(3 85589.914),(4 107542.586),(5 129207.516),(6 148868.1),(7 163546.38),(8 175523.88),(9 185156.11),(10 192655.56),(11 200396.67),(12 207204.48),(13 214225),(14 220732.94),(15 225877.3),(16 230173.97),(17 233412.19),(18 236145.94),(19 236226.3),(20 235773.64),(21 237861.92),(22 242790.52),(23 245616.94),(24 246199),(25 246754.83),(26 249217.17),(27 251611.08),(28 253778.47),(29 254400.72),(30 255702.75),(31 256489.67),(32 255084.83),(33 253883.13),(34 254731.52),(35 257982.45),(36 260579.67),(37 262497.16),(38 266102.9),(39 269877.44),(40 273269.56),(41 275459.13),(42 279467.47),(43 281806.66),(44 283545.6),(45 285180.25),(46 286019.6),(47 286218.88),(48 285363.75),(49 284174.8),(50 282887.63),(51 282033.84),(52 282395.22),(53 285968.6),(54 289808.94),(55 292202.47),(56 292978.88),(57 293446.84),(58 293858.5),(59 294629.88),(60 295464.28),(61 295096.88),(62 293782.5),(63 292303.4),(64 291005.3),(65 288833.38),(66 285775.22),(67 282711.72),(68 281450.78),(69 280859.5),(70 280227.16),(71 279979.66),(72 279727.47),(73 280783.13),(74 281351.2),(75 280507.34),(76 279878.66),(77 281602.94),(78 283980.53),(79 286545.44),
(1 24304.313),(2 61665.66),(3 86247.72),(4 106604.14),(5 127898.39),(6 147470.4),(7 162223.47),(8 172806.63),(9 181936.11),(10 189802.02),(11 195517.25),(12 200356),(13 206516.3),(14 212779.06),(15 217863.67),(16 221700.64),(17 226842.6),(18 230919.22),(19 231628.22),(20 230803.64),(21 230519.13),(22 232883.19),(23 233810),(24 232078),(25 231637.83),(26 233559.03),(27 233768.72),(28 232628.5),(29 232657.02),(30 234251.58),(31 236496.66),(32 237022.03),(33 239015.83),(34 240840.28),(35 244335.5),(36 247840.52),(37 249323.39),(38 250896),(39 254477.81),(40 257518.55),(41 258475.1),(42 260680.33),(43 263706.03),(44 266429.56),(45 267671.8),(46 269455.3),(47 271654.16),(48 274852.38),(49 277801.13),(50 281549.53),(51 286998.66),(52 289973),(53 293080.13),(54 294325.56),(55 294249.3),(56 294637.13),(57 295557.44),(58 295037.2),(59 295382.75),(60 295324.84),(61 294268.4),(62 293833.34),(63 293584.34),(64 293856.1),(65 293829.84),(66 292436.25),(67 291947.38),(68 293651.66),(69 295611.56),(70 296044.8),(71 296009.97),(72 296666.8),(73 296248.28),(74 294813.84),(75 293487.8),(76 292476.78),(77 292603.25),(78 290852.44),(79 289544.38),
(1 24408.684),(2 60958.703),(3 80320.32),(4 96237.336),(5 118109.56),(6 141363.77),(7 156461.66),(8 166052.88),(9 175798.38),(10 184395.19),(11 191911.17),(12 196358.17),(13 200140.13),(14 203652.47),(15 204212.75),(16 204023.61),(17 206884.38),(18 211272.06),(19 210851.45),(20 210031.84),(21 212871.05),(22 218795.17),(23 222507.05),(24 222685.75),(25 224047.69),(26 229894.28),(27 233623.06),(28 233473.45),(29 234254.58),(30 237845.19),(31 241234.13),(32 240946.72),(33 239915.25),(34 239929.19),(35 240072.06),(36 238752.55),(37 237737.47),(38 239542.06),(39 242939.25),(40 246055.72),(41 246309.83),(42 247201.75),(43 247313.13),(44 247325.13),(45 243460.16),(46 241596.14),(47 239995.75),(48 239054.58),(49 237518.64),(50 239212.08),(51 242464.17),(52 245922.16),(53 248735.95),(54 252310.73),(55 255551.8),(56 258779.86),(57 259368.6),(58 259279.78),(59 260787.19),(60 262729.5),(61 264612.28),(62 266032.25),(63 267077.9),(64 267255.8),(65 265524.2),(66 264659.1),(67 266267.8),(68 268958.06),(69 272805.28),(70 276555.4),(71 279499),(72 283001.44),(73 284936.84),(74 287007.66),(75 288996.16),(76 288475.25),(77 286295.4),(78 283402.63),(79 281033.5),
