1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 18812.049),(2 52842.332),(3 154064.94),(4 238775.33),(5 305641.7),(6 391292.6),(7 479315),(8 548039.94),(9 616642.9),(10 698963.7),(11 748801.3),(12 801576),(13 860886.56),(14 909127.94),(15 957738.2),(16 1020494.56),(17 1065824.5),(18 1122645.1),(19 1192329.1),(20 1253975.1),(21 1318782.4),(22 1394245),(23 1444536),(24 1461697.4),(25 1489392.4),(26 1527271.6),(27 1572642),(28 1648674.9),(29 1674551.4),(30 1724728),(31 1783598.5),(32 1860178),(33 1966887.4),(34 2086383.4),(35 2192411.3),(36 2298915.8),(37 2389718.3),(38 2459017.3),(39 2515248.8),(40 2563300.3),(41 2588299),(42 2617510.8),(43 2655716.3),(44 2673910.8),(45 2704146.3),(46 2719748.5),(47 2721159.8),(48 2713650),(49 2696006.3),(50 2684133.3),(51 2680527.3),(52 2688214.8),(53 2763570.5),(54 2791055.5),(55 2825477.3),(56 2860287.3),(57 2924668.8),(58 3025891),(59 3125353.3),(60 3277516),(61 3470436.8),(62 3691729.3),(63 3944413.3),(64 4258251),(65 4495230),(66 4737581.5),(67 5009884.5),(68 5247468.5),(69 5501891.5),(70 5757274),(71 5982065.5),(72 6225716.5),(73 6444844.5),(74 6580032.5),(75 6763980.5),(76 6942508.5),(77 7130767.5),(78 7398614),(79 7604016.5),
(1 2384.2524),(2 5581.6445),(3 9077.383),(4 11302.858),(5 12882.294),(6 14221.782),(7 15555.568),(8 16501.959),(9 17243.031),(10 17904.977),(11 18274.703),(12 18730.848),(13 19120.967),(14 19419.146),(15 19731.031),(16 20017.191),(17 20222.473),(18 20556.691),(19 20969.242),(20 21333.117),(21 21656.666),(22 21916.412),(23 21829.883),(24 21827.145),(25 21818.014),(26 21840.934),(27 21933.057),(28 22283.771),(29 22544.96),(30 22862.719),(31 23220.338),(32 23346.344),(33 23679.986),(34 23888.14),(35 23778.143),(36 23784.693),(37 23773.98),(38 23528.746),(39 23668.436),(40 23781.104),(41 23683.602),(42 23705.533),(43 23850.951),(44 23717.436),(45 23709.688),(46 23769.6),(47 23737.455),(48 23844.016),(49 23894.512),(50 23819.398),(51 23639.277),(52 23638.475),(53 23558.932),(54 23680.898),(55 23671.16),(56 23774.883),(57 23901.424),(58 24138.611),(59 24159.445),(60 24253.834),(61 24297.768),(62 24315.959),(63 24558.787),(64 24742.814),(65 24788.08),(66 25053.373),(67 25433.744),(68 25498.164),(69 25627.262),(70 25791.729),(71 25519.684),(72 25331.215),(73 25167.115),(74 24893.031),(75 24725.334),(76 24579.129),(77 24288.598),(78 24208.076),(79 24090.521),
(1 2330.8481),(2 5449.2085),(3 8811.001),(4 10888.577),(5 12432.936),(6 13730.747),(7 15048.59),(8 16030.742),(9 16745.375),(10 17333.174),(11 17675.047),(12 18150.1),(13 18645.281),(14 19002.656),(15 19419.541),(16 19697.367),(17 19847.645),(18 20187.654),(19 20507.822),(20 20686.025),(21 20816.008),(22 21042.154),(23 20953.414),(24 20964.021),(25 21107.568),(26 21185.97),(27 21408.293),(28 21812.873),(29 22044.873),(30 22263.621),(31 22529.906),(32 22535.72),(33 22567),(34 22497.635),(35 22377.438),(36 22432.201),(37 22548.166),(38 22337.037),(39 22379.785),(40 22491.893),(41 22404.107),(42 22532.72),(43 22603.535),(44 22645.008),(45 22710.906),(46 22851.652),(47 22938.79),(48 23267.434),(49 23416.266),(50 23407.895),(51 23542.332),(52 23696.648),(53 23685.674),(54 23895.492),(55 24008.693),(56 24013.303),(57 23896.152),(58 23892.363),(59 23582.86),(60 23388.086),(61 23251.033),(62 23193.994),(63 23205.773),(64 23452.375),(65 23286.387),(66 23375.223),(67 23557.574),(68 23524.404),(69 23503.03),(70 23573.596),(71 23566.752),(72 23445.512),(73 23374.945),(74 23158.598),(75 23189.248),(76 23315.008),(77 23258.049),(78 23315.002),(79 23411.627),
(1 2265.276),(2 5193.3936),(3 8488.474),(4 10570.329),(5 12159.122),(6 13472.946),(7 14745.254),(8 15719.061),(9 16589.29),(10 17332.773),(11 17848.7),(12 18430.713),(13 19090.164),(14 19334.867),(15 19660.408),(16 19903.94),(17 19973.303),(18 20221.814),(19 20609.947),(20 20795.195),(21 20911.63),(22 21246.889),(23 21311.174),(24 21292.676),(25 21376.402),(26 21395.525),(27 21539.076),(28 21819.154),(29 22036.328),(30 22066.182),(31 22157.252),(32 22137.838),(33 22075.766),(34 21983.506),(35 21813.74),(36 21744.139),(37 22001.975),(38 22075.793),(39 22174.512),(40 22151.451),(41 21972.357),(42 22005.838),(43 21996.143),(44 21831.215),(45 21747.682),(46 21790.598),(47 21994.807),(48 22219.68),(49 22436.008),(50 22472.035),(51 22626.61),(52 22706.256),(53 22859.885),(54 22961.818),(55 22940.62),(56 22818.912),(57 22636.83),(58 22543.5),(59 22365.61),(60 22233.533),(61 22089.705),(62 21888.156),(63 21885.37),(64 21974.355),(65 21885.102),(66 21876.473),(67 21999.213),(68 21813.516),(69 21740.592),(70 21847.34),(71 21846.299),(72 21814.459),(73 21890.506),(74 21752.818),(75 21869.93),(76 22006.723),(77 22094.338),(78 22476.299),(79 22835.42),
(1 2255.479),(2 5167.7554),(3 8419.62),(4 10376.364),(5 11692.05),(6 12783.476),(7 13964.466),(8 14780.769),(9 15659.038),(10 16249.198),(11 16782.287),(12 17273.955),(13 17861.617),(14 18174.092),(15 18486.746),(16 18686.758),(17 18778.393),(18 18969.893),(19 19310.846),(20 19537.563),(21 19730.234),(22 20108.611),(23 20331.506),(24 20508.594),(25 20691.938),(26 20724.516),(27 21022.602),(28 21423.41),(29 21678.203),(30 21809.123),(31 22079.688),(32 22086.494),(33 22110.752),(34 22173.867),(35 22099.285),(36 22068.38),(37 22112.379),(38 22067.346),(39 22087.188),(40 22071.44),(41 21929.377),(42 21945.797),(43 21949.781),(44 21783.012),(45 21736.533),(46 21797.03),(47 21901.846),(48 21929.035),(49 22035.025),(50 22149.299),(51 22217.367),(52 22222.451),(53 22418.201),(54 22453.076),(55 22365.988),(56 22075.084),(57 21881.697),(58 21801.7),(59 21690.64),(60 21685.16),(61 21745.205),(62 21695.42),(63 21669.25),(64 21766.563),(65 21660.588),(66 21691.656),(67 21713.354),(68 21477.225),(69 21411.84),(70 21516.85),(71 21461.53),(72 21497.19),(73 21646.107),(74 21679.252),(75 21859.549),(76 22103.102),(77 22227.44),(78 22615.953),(79 23002.412),
(1 2279.1558),(2 5289.789),(3 8547.564),(4 10509.66),(5 11898.893),(6 13013.307),(7 14178.991),(8 15010.95),(9 15809.146),(10 16258.549),(11 16633.396),(12 17112.639),(13 17508.754),(14 17780.91),(15 18127.266),(16 18374.072),(17 18625.64),(18 19007.209),(19 19392.656),(20 19544.504),(21 19792.365),(22 20126.701),(23 20258.701),(24 20343.932),(25 20305.236),(26 20196.068),(27 20400.725),(28 20479.352),(29 20619.178),(30 20784.934),(31 20981.1),(32 21093.938),(33 21203.307),(34 21388.84),(35 21338.736),(36 21312.98),(37 21312.002),(38 21132.26),(39 21087.775),(40 20962.732),(41 20876.643),(42 20861.002),(43 20807.695),(44 20645.193),(45 20564.008),(46 20652.793),(47 20743.766),(48 20924.014),(49 21136.932),(50 21239.984),(51 21245.236),(52 21154.604),(53 21351.514),(54 21473.36),(55 21467.643),(56 21457.955),(57 21454.354),(58 21568.607),(59 21517.834),(60 21456.059),(61 21511.389),(62 21406.703),(63 21522.074),(64 21650.54),(65 21608.004),(66 21693.477),(67 21786.184),(68 21654.588),(69 21635.111),(70 21733.1),(71 21689.291),(72 21813.02),(73 22110.053),(74 22149.564),(75 22347.438),(76 22496.725),(77 22541.994),(78 22850.258),(79 23109.701),
(1 2146.996),(2 4955.866),(3 8034.0728),(4 9902.683),(5 11282.213),(6 12435.83),(7 13514.794),(8 14372.832),(9 15092.586),(10 15597.364),(11 15882.6455),(12 16247.859),(13 16628.627),(14 16821.506),(15 17166.04),(16 17485.064),(17 17493.738),(18 17525.799),(19 17676.377),(20 17750.477),(21 17861.781),(22 18154.09),(23 18333.729),(24 18539.59),(25 18732.244),(26 18769.842),(27 18863.15),(28 18908.336),(29 19125.766),(30 19384.844),(31 19604.436),(32 19598.754),(33 19548.926),(34 19579.86),(35 19453.951),(36 19358.113),(37 19225.482),(38 19114.988),(39 19163.99),(40 19088.41),(41 19002.91),(42 18976.852),(43 18942.41),(44 18711.822),(45 18556.271),(46 18634.756),(47 18732.385),(48 18819.645),(49 18873.408),(50 18731.996),(51 18614.096),(52 18536.766),(53 18612.959),(54 18643.996),(55 18779.031),(56 18821.26),(57 18955.88),(58 19086.637),(59 19038.756),(60 19072.596),(61 19147.959),(62 19117.82),(63 19267.207),(64 19529.96),(65 19451.418),(66 19547.033),(67 19744.506),(68 19689.24),(69 19728.668),(70 19788.12),(71 19767.902),(72 19739.963),(73 19868.01),(74 19846.64),(75 20019.23),(76 20156.553),(77 20066.91),(78 20272.537),(79 20352.38),
(1 2181.2478),(2 5014.564),(3 8224.636),(4 10184.667),(5 11624.024),(6 12884.735),(7 14056.758),(8 14967.774),(9 15791.457),(10 16410.22),(11 16774.203),(12 17118.156),(13 17505.28),(14 17620.775),(15 17926.72),(16 18243.613),(17 18357.5),(18 18549.49),(19 18756.344),(20 18785.887),(21 18933.059),(22 19061.334),(23 19088.477),(24 19115.309),(25 19239.445),(26 19207.992),(27 19240.479),(28 19284.506),(29 19364.873),(30 19599.809),(31 19931.574),(32 19926.857),(33 19973.371),(34 19956.094),(35 19843.59),(36 19789.39),(37 19734.928),(38 19566.602),(39 19598.76),(40 19670.084),(41 19528.44),(42 19488.432),(43 19456.11),(44 19333.79),(45 19243.604),(46 19376.594),(47 19350.11),(48 19366.078),(49 19448.596),(50 19378.695),(51 19362.35),(52 19360.441),(53 19572.496),(54 19617.023),(55 19859.602),(56 19926.719),(57 19997.967),(58 20102.615),(59 20046.523),(60 20013.56),(61 19999.389),(62 19928.242),(63 19968.96),(64 20187.592),(65 20237.518),(66 20459.832),(67 20593.41),(68 20499.072),(69 20518.193),(70 20519.86),(71 20321.008),(72 20202.133),(73 20022.951),(74 19920.084),(75 20049.283),(76 20206.553),(77 20126.197),(78 20364.633),(79 20472.871),
(1 2062.071),(2 4724.1655),(3 7721.459),(4 9597.293),(5 10998.213),(6 12190.114),(7 13190),(8 13917.842),(9 14500.6045),(10 14918.512),(11 15175.574),(12 15457.673),(13 15728.578),(14 15877.233),(15 16080.511),(16 16350.084),(17 16537.863),(18 16855.361),(19 17294.316),(20 17606.191),(21 17986.559),(22 18164.361),(23 18193.576),(24 18171.133),(25 18276.303),(26 18180.8),(27 18079.053),(28 18064.564),(29 18027.111),(30 18020.44),(31 18171.617),(32 18134.625),(33 18219.281),(34 18301.3),(35 18363.748),(36 18552.568),(37 18801.213),(38 18808.928),(39 18865.14),(40 18956.018),(41 18852.412),(42 19033.227),(43 19123.564),(44 19097.895),(45 19141.484),(46 19273.01),(47 19375.354),(48 19524.938),(49 19624.03),(50 19560.73),(51 19548.998),(52 19484.158),(53 19523.451),(54 19550.154),(55 19572.494),(56 19529.064),(57 19424.613),(58 19368.79),(59 19192.377),(60 19286.61),(61 19378.424),(62 19174.838),(63 19242.84),(64 19264.928),(65 19198.156),(66 19323.027),(67 19378.885),(68 19234.84),(69 19148.371),(70 19123.982),(71 18846.092),(72 18724.773),(73 18549.012),(74 18511.533),(75 18622.152),(76 18767.012),(77 18845.883),(78 19165.281),(79 19387.379),
(1 2030.7484),(2 4602.7373),(3 7492.4897),(4 9345.214),(5 10707.135),(6 11794.078),(7 12710.592),(8 13444.341),(9 14067.244),(10 14584.924),(11 14982.386),(12 15384.309),(13 15718.773),(14 15868.245),(15 16272.514),(16 16661.842),(17 16915.732),(18 17197.604),(19 17734.834),(20 18143.947),(21 18496.277),(22 18679.723),(23 18691.004),(24 18532.646),(25 18408.84),(26 18208.072),(27 18057.951),(28 18027.658),(29 17983.285),(30 18009.055),(31 18213.764),(32 18171.148),(33 18229.643),(34 18320.045),(35 18346.08),(36 18463.15),(37 18659.459),(38 18626.916),(39 18880.37),(40 19005.854),(41 19025.527),(42 19273.465),(43 19543.412),(44 19539.05),(45 19639.482),(46 19851.254),(47 20090.781),(48 20316.297),(49 20582.482),(50 20596.824),(51 20612.477),(52 20488.342),(53 20525.844),(54 20572.316),(55 20709.268),(56 20752.355),(57 20756.582),(58 20779.508),(59 20670.387),(60 20670.738),(61 20774.773),(62 20726.332),(63 20792.092),(64 20843.371),(65 20627.762),(66 20677.28),(67 20790.895),(68 20540.39),(69 20444.45),(70 20301.053),(71 19981.662),(72 19802.063),(73 19743.361),(74 19617.924),(75 19549.197),(76 19624.465),(77 19557.89),(78 19895.22),(79 20040.791),
(1 2023.3263),(2 4559.3643),(3 7387.5034),(4 9150.429),(5 10405.948),(6 11439.326),(7 12408.63),(8 13129.239),(9 13774.386),(10 14239.077),(11 14755.349),(12 15256.649),(13 15605.197),(14 15716.115),(15 15995.559),(16 16379.234),(17 16623.537),(18 16925.807),(19 17272.596),(20 17396.053),(21 17560.723),(22 17738.611),(23 17903.764),(24 17952.932),(25 17941.188),(26 17908.502),(27 18015.58),(28 18153.352),(29 18107.2),(30 18082.168),(31 18222.379),(32 18317.11),(33 18599.191),(34 18786.514),(35 18763.045),(36 18812.408),(37 18917.484),(38 18965.785),(39 19098.893),(40 19197.273),(41 19044.137),(42 19001.895),(43 19007.645),(44 18900.549),(45 18946.633),(46 18973.559),(47 19020.621),(48 19079.188),(49 19210.453),(50 19094.879),(51 19086.793),(52 19101.531),(53 19189.129),(54 19224.748),(55 19459.035),(56 19573.748),(57 19575.402),(58 19572.84),(59 19401.521),(60 19280.281),(61 19138.258),(62 19000.79),(63 18974.016),(64 19096.135),(65 19078.508),(66 19148.43),(67 19299.133),(68 19166.656),(69 19096.904),(70 19009.38),(71 18834.799),(72 18798.125),(73 18803.248),(74 18578.518),(75 18549.848),(76 18560.24),(77 18393.605),(78 18570.773),(79 18642.799),
(1 1960.201),(2 4392.4272),(3 7170.2217),(4 8848.05),(5 10020.443),(6 11043.1455),(7 12012.62),(8 12681.959),(9 13269.235),(10 13774.243),(11 14232.363),(12 14726.343),(13 15182.882),(14 15321.9375),(15 15591.671),(16 15883.855),(17 16153.543),(18 16467.684),(19 16865.135),(20 17003.506),(21 17256.904),(22 17471.658),(23 17501.744),(24 17436.115),(25 17359.38),(26 17268.889),(27 17310.703),(28 17514.791),(29 17470.75),(30 17375.795),(31 17416.188),(32 17381.395),(33 17480.275),(34 17612.7),(35 17476.086),(36 17390.928),(37 17400.096),(38 17371.006),(39 17439.01),(40 17467.783),(41 17381.213),(42 17354.324),(43 17372.809),(44 17267.436),(45 17260.455),(46 17194.756),(47 17255.42),(48 17337.57),(49 17366.201),(50 17223.55),(51 17340.012),(52 17407.951),(53 17487.924),(54 17569.262),(55 17694.879),(56 17820.87),(57 17967.807),(58 18057.002),(59 17918.295),(60 17978.223),(61 18114.145),(62 18099.38),(63 18230.848),(64 18338.244),(65 18264.758),(66 18386.85),(67 18666.707),(68 18664.377),(69 18720.277),(70 18812.643),(71 18725.027),(72 18768.795),(73 18819.791),(74 18600.412),(75 18609.67),(76 18552.035),(77 18276.627),(78 18362.563),(79 18460.443),
(1 1896.4497),(2 4174.743),(3 6915.0425),(4 8481.267),(5 9585.96),(6 10566.414),(7 11512.638),(8 12126.558),(9 12678.41),(10 13155.967),(11 13562.591),(12 14076.6875),(13 14528.177),(14 14721.352),(15 15024.627),(16 15310.953),(17 15574.056),(18 15835.295),(19 16178.052),(20 16347.488),(21 16601.348),(22 16807.998),(23 16961.484),(24 17036.842),(25 17077.482),(26 17025.61),(27 17132.994),(28 17321.916),(29 17399.979),(30 17428.025),(31 17440.793),(32 17407.592),(33 17388.004),(34 17545.883),(35 17366.45),(36 17271.93),(37 17254.557),(38 17196.879),(39 17194.836),(40 17266.834),(41 17281.3),(42 17420.17),(43 17596.37),(44 17560.832),(45 17675.639),(46 17733.314),(47 17767.223),(48 17734.344),(49 17606.998),(50 17448.465),(51 17512.33),(52 17643.887),(53 17536.533),(54 17638.19),(55 17547.584),(56 17528.594),(57 17629.957),(58 17631.533),(59 17566.201),(60 17714.97),(61 17959.705),(62 17988.855),(63 18006.24),(64 18069.852),(65 17863.934),(66 17781.168),(67 17974.219),(68 17943.137),(69 17979.945),(70 18109.45),(71 18110.686),(72 18217.979),(73 18227.766),(74 18173.723),(75 18245.363),(76 18194.293),(77 18018.414),(78 18063.35),(79 18059.045),
(1 1881.2683),(2 4116.247),(3 6638.5376),(4 8122.875),(5 9197.151),(6 10155.971),(7 11048.709),(8 11734.657),(9 12210.212),(10 12702.827),(11 13045.815),(12 13377.201),(13 13735.984),(14 13885.713),(15 14172.0625),(16 14464.81),(17 14782.791),(18 15028.543),(19 15264.486),(20 15413.873),(21 15517.124),(22 15625.08),(23 15752.859),(24 15877.751),(25 15999.379),(26 16036.285),(27 16050.551),(28 16229.865),(29 16226.328),(30 16267.453),(31 16317.236),(32 16260.573),(33 16301.03),(34 16519.943),(35 16588.684),(36 16596.61),(37 16663.004),(38 16648.904),(39 16782.012),(40 16896.469),(41 16945.854),(42 17036.701),(43 17283.566),(44 17317.473),(45 17420.023),(46 17495.514),(47 17450.607),(48 17422.705),(49 17366.336),(50 17280.502),(51 17263.033),(52 17399.41),(53 17582.988),(54 17710.275),(55 17867.672),(56 17969.896),(57 18181.314),(58 18217.906),(59 18207.865),(60 18333.193),(61 18475.814),(62 18355.703),(63 18272.318),(64 18210.191),(65 18016.766),(66 17945.143),(67 18070.654),(68 18000.45),(69 18105.148),(70 18312.559),(71 18337.93),(72 18309.998),(73 18299.217),(74 18256.969),(75 18387.422),(76 18515.232),(77 18428.71),(78 18431.06),(79 18454.223),
(1 1824.2006),(2 4048.8),(3 6618.8037),(4 8182.3833),(5 9354.834),(6 10346.904),(7 11194.516),(8 11771.754),(9 12131.894),(10 12591.91),(11 12929.792),(12 13220.409),(13 13612.722),(14 13784.793),(15 14045.08),(16 14341.753),(17 14572.58),(18 14804.897),(19 15099.727),(20 15217.823),(21 15406.357),(22 15455.525),(23 15554.127),(24 15527.304),(25 15623.832),(26 15617.661),(27 15651.212),(28 15937.652),(29 16005.304),(30 16164.517),(31 16233.199),(32 16181.743),(33 16180.565),(34 16288.275),(35 16224.343),(36 16156.29),(37 16133.927),(38 15957.938),(39 15959.177),(40 16080.063),(41 16041.551),(42 16149.604),(43 16294.778),(44 16368.758),(45 16430.963),(46 16577.965),(47 16612.035),(48 16671.508),(49 16681.645),(50 16540.926),(51 16466.857),(52 16513.8),(53 16558.088),(54 16559.2),(55 16644.229),(56 16689.41),(57 16815.621),(58 16845.02),(59 16834.887),(60 16985.297),(61 17047.738),(62 16922.258),(63 16800.45),(64 16757.943),(65 16733.465),(66 16809.023),(67 17009.725),(68 16982.33),(69 17004.29),(70 17064.889),(71 16974.467),(72 16930.537),(73 16910.33),(74 16793.582),(75 16876.125),(76 17006.953),(77 17080.826),(78 17150.893),(79 17198.97),
(1 1725.0856),(2 3724.0881),(3 6015.82),(4 7373.028),(5 8434.806),(6 9359.093),(7 10253.071),(8 10792.613),(9 11212.342),(10 11563.799),(11 11832.875),(12 12139.044),(13 12538.586),(14 12644.178),(15 12838.891),(16 13142.76),(17 13434.993),(18 13852.875),(19 14261.658),(20 14449.5625),(21 14629.014),(22 14735.348),(23 14787.515),(24 14840.888),(25 14877.977),(26 14778.571),(27 14751.725),(28 15029.953),(29 15139.806),(30 15256.351),(31 15451.647),(32 15505.411),(33 15574.852),(34 15699.545),(35 15660.806),(36 15695.223),(37 15733.726),(38 15467.932),(39 15282.721),(40 15257.396),(41 15109.107),(42 15140.519),(43 15284.01),(44 15301.941),(45 15317.893),(46 15460.1455),(47 15431.522),(48 15499.706),(49 15535.823),(50 15472.35),(51 15548.72),(52 15515.568),(53 15585.941),(54 15656.987),(55 15752.422),(56 15752.858),(57 15884.017),(58 15981.84),(59 16005.985),(60 16145.851),(61 16272.132),(62 16254.351),(63 16296.902),(64 16316.346),(65 16201.986),(66 16203.804),(67 16196.736),(68 16073.338),(69 16100.1455),(70 16157.846),(71 16072.512),(72 16008.617),(73 16040.176),(74 15885.251),(75 15885.188),(76 15899.84),(77 15955.409),(78 16151.743),(79 16212.338),
(1 1776.0032),(2 3794.7593),(3 5887.2188),(4 7217.558),(5 8245.887),(6 9207.859),(7 10103.751),(8 10748.994),(9 11161.067),(10 11555.28),(11 11797.558),(12 12080.351),(13 12464.927),(14 12608.091),(15 12747.909),(16 12986.267),(17 13350.536),(18 13806.293),(19 14228.31),(20 14482.703),(21 14653.341),(22 14755.088),(23 14786.459),(24 14881.869),(25 14917.34),(26 14719.957),(27 14659.555),(28 14850.02),(29 14909.115),(30 14981.053),(31 15038.078),(32 15038.862),(33 15090.595),(34 15216.447),(35 15216.722),(36 15289.774),(37 15405.979),(38 15302.906),(39 15281.151),(40 15361.951),(41 15367.99),(42 15434.588),(43 15560.614),(44 15611.563),(45 15732.856),(46 15775.747),(47 15765.407),(48 15806.955),(49 15807.505),(50 15798.029),(51 15770.413),(52 15817.076),(53 15986.255),(54 16161.542),(55 16382.908),(56 16562.21),(57 16699.633),(58 16833.035),(59 16807.992),(60 16880.234),(61 17002.65),(62 16916.926),(63 16959.473),(64 16936.553),(65 16719.807),(66 16594.146),(67 16521.307),(68 16339.596),(69 16343.651),(70 16440.781),(71 16372.7705),(72 16340.611),(73 16413.986),(74 16334.098),(75 16405.484),(76 16511.314),(77 16467.475),(78 16514.248),(79 16445.16),
(1 1743.2483),(2 3669.2085),(3 5747.217),(4 6966.4707),(5 7921.214),(6 8791.708),(7 9625.233),(8 10124.69),(9 10492.978),(10 10826.688),(11 11044.117),(12 11326.445),(13 11591.326),(14 11704.112),(15 11909.619),(16 12191.691),(17 12462.384),(18 12867.217),(19 13208.635),(20 13310.004),(21 13450.176),(22 13569.72),(23 13664.142),(24 13822.793),(25 13979.355),(26 13960.383),(27 14013.565),(28 14148.7295),(29 14236.731),(30 14332.721),(31 14522.794),(32 14606.747),(33 14737.968),(34 14965.274),(35 15033.285),(36 15125.783),(37 15278.697),(38 15268.089),(39 15325.618),(40 15336.124),(41 15276.212),(42 15317.423),(43 15442.679),(44 15434.892),(45 15461.638),(46 15475.871),(47 15379.338),(48 15345.4795),(49 15304.692),(50 15291.368),(51 15288.047),(52 15312.431),(53 15404.069),(54 15474.147),(55 15619.554),(56 15663.752),(57 15649.798),(58 15646.614),(59 15467.251),(60 15491.552),(61 15525.392),(62 15452.746),(63 15549.63),(64 15673.779),(65 15565.915),(66 15528.965),(67 15542.16),(68 15396.755),(69 15345.78),(70 15394.428),(71 15265),(72 15276.917),(73 15331.81),(74 15232.03),(75 15360.627),(76 15471.858),(77 15494.839),(78 15447.517),(79 15413.394),
