1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 13947.489),(2 29795.47),(3 56500.49),(4 85563.414),(5 124971.18),(6 158149.58),(7 195722.95),(8 239057.11),(9 277029.97),(10 303581.72),(11 345245.53),(12 372172.6),(13 416610.66),(14 445290.03),(15 486158.66),(16 512550),(17 560861.44),(18 593365.2),(19 631663.3),(20 665264.8),(21 706173.2),(22 737003.8),(23 792471.25),(24 849409.75),(25 904051.25),(26 950333.3),(27 995733.75),(28 1022706.2),(29 1049843.4),(30 1084715.6),(31 1118897.9),(32 1148039.9),(33 1203965.1),(34 1232447),(35 1279553.3),(36 1311706.9),(37 1364595.1),(38 1376821.4),(39 1437595),(40 1483377.5),(41 1536919),(42 1602295.4),(43 1670807.4),(44 1721063.1),(45 1781094),(46 1824687.1),(47 1886759),(48 1954937.9),(49 2022458.9),(50 2058312.6),(51 2100084.8),(52 2129910.5),(53 2213605.3),(54 2236388.5),(55 2276775),(56 2336384),(57 2370076.8),(58 2459088.8),(59 2500764.3),(60 2571412.3),(61 2600913),(62 2676838),(63 2726018.8),(64 2797063),(65 2830754),(66 2897119.8),(67 3001246),(68 3050907.3),(69 3110470.3),(70 3171600),(71 3231120),(72 3311400),(73 3405833.3),(74 3497304),(75 3621352.8),(76 3749834.8),(77 3893242.3),(78 4345922.5),(79 4541686),
(1 12174.67),(2 33499.32),(3 75959.52),(4 121252.9),(5 165906.47),(6 214813.03),(7 272361.6),(8 333990.1),(9 391845.38),(10 459576.75),(11 526162.25),(12 589241.9),(13 651163.8),(14 709048.9),(15 777950.9),(16 855056.2),(17 934923.3),(18 1008852),(19 1089758.9),(20 1163880.3),(21 1237479.3),(22 1320498.4),(23 1410498.4),(24 1519418.6),(25 1611318.8),(26 1717666.6),(27 1831763.6),(28 1981750.4),(29 2103015.3),(30 2232076.8),(31 2358093.8),(32 2485912.8),(33 2635362.8),(34 2785926.5),(35 2934728.3),(36 3071536.5),(37 3210421.5),(38 3316149.8),(39 3461960),(40 3593958.5),(41 3743502.8),(42 3877550.8),(43 4043267.5),(44 4198635),(45 4360459),(46 4536846.5),(47 4716346),(48 4887072),(49 5045779.5),(50 5152839),(51 5267113),(52 5374825),(53 5461352),(54 5532637),(55 5609711),(56 5672517),(57 5749426.5),(58 5811348),(59 5883296),(60 5934890.5),(61 5984700),(62 6031514),(63 6063777),(64 6083923),(65 6112074.5),(66 6120972.5),(67 6127483),(68 6100547),(69 6072218.5),(70 6028568),(71 6034530),(72 6062339.5),(73 6111399.5),(74 6165179),(75 6213239),(76 6264053),(77 6293373.5),(78 6263140),(79 6289283),
(1 10733.288),(2 30782.76),(3 66535.3),(4 108504.46),(5 155791.23),(6 203326),(7 253684.3),(8 313333.22),(9 366415.4),(10 424550.63),(11 488448.84),(12 547008),(13 619295.5),(14 686528.56),(15 759598.5),(16 842561.8),(17 932884),(18 1023694.06),(19 1123260),(20 1228134.6),(21 1337090.9),(22 1453833.6),(23 1583530),(24 1705035.5),(25 1813527),(26 1929584.6),(27 2056137.5),(28 2197348.8),(29 2325852.3),(30 2457367.3),(31 2587740.8),(32 2726689.8),(33 2881764.3),(34 3041436),(35 3181753),(36 3325467.3),(37 3472156.8),(38 3612765.3),(39 3770244),(40 3923294),(41 4075656),(42 4218937.5),(43 4359625.5),(44 4473663.5),(45 4590316),(46 4719656.5),(47 4843143),(48 4952227.5),(49 5063907.5),(50 5156481.5),(51 5238808.5),(52 5315677.5),(53 5352216),(54 5390302.5),(55 5416615.5),(56 5442794),(57 5457554),(58 5468530),(59 5465533.5),(60 5448138.5),(61 5439056.5),(62 5418486.5),(63 5385114),(64 5347001.5),(65 5324209.5),(66 5297281.5),(67 5269181.5),(68 5226112.5),(69 5177377.5),(70 5125754.5),(71 5098984),(72 5086779.5),(73 5092039.5),(74 5113841.5),(75 5135974.5),(76 5171808.5),(77 5189793),(78 5188332.5),(79 5215266.5),
(1 12734.76),(2 39527.03),(3 87099.66),(4 145096.94),(5 213454.81),(6 288987.63),(7 372712.66),(8 464042.72),(9 560101.25),(10 662370.3),(11 768604.25),(12 875617.8),(13 981297.75),(14 1087166),(15 1198306.9),(16 1320008.3),(17 1436036.5),(18 1551218.1),(19 1669731.8),(20 1780317.5),(21 1887500.9),(22 1989496),(23 2096828.3),(24 2189914.5),(25 2269647),(26 2339160.5),(27 2409085.3),(28 2475792.3),(29 2537211.5),(30 2586043),(31 2638519.5),(32 2693582.3),(33 2751084),(34 2817463),(35 2877626.8),(36 2942489.8),(37 3016091.3),(38 3097665.5),(39 3172603),(40 3247012),(41 3317593.8),(42 3381353),(43 3439473),(44 3467625),(45 3507778.5),(46 3546065),(47 3586011),(48 3624313),(49 3659618.8),(50 3682701),(51 3697257.3),(52 3713637),(53 3700750.3),(54 3703521),(55 3688036),(56 3677561),(57 3658999.5),(58 3622296.5),(59 3598000.5),(60 3562311),(61 3533827.5),(62 3504798),(63 3478696.8),(64 3461942.3),(65 3456936),(66 3466080.5),(67 3475033),(68 3481268.5),(69 3467074.3),(70 3463290.8),(71 3474595),(72 3488276.5),(73 3496611),(74 3502366.3),(75 3521537.3),(76 3537213.5),(77 3559993),(78 3606361.8),(79 3638053.8),
(1 13614.976),(2 43409.76),(3 96301.45),(4 156929.95),(5 229341.6),(6 313902.63),(7 410529.88),(8 514715.7),(9 622906.25),(10 733164.4),(11 845206.94),(12 948915.25),(13 1061654.5),(14 1171920),(15 1283485.6),(16 1394211.8),(17 1503354.6),(18 1607378.1),(19 1712958.9),(20 1809587.3),(21 1907028.4),(22 1996226.1),(23 2084186.1),(24 2159432.5),(25 2225716.3),(26 2293237.8),(27 2365161.5),(28 2428418.3),(29 2494067.3),(30 2549969),(31 2606166.8),(32 2662807.3),(33 2721728.8),(34 2788259),(35 2854993),(36 2920395.8),(37 2995142.3),(38 3064717),(39 3141328.8),(40 3201705.8),(41 3266764.3),(42 3320674.3),(43 3382717.5),(44 3438979),(45 3495395.8),(46 3547052.3),(47 3603901),(48 3653103.3),(49 3699146.3),(50 3735504.3),(51 3782960),(52 3818133.5),(53 3835851),(54 3855383.3),(55 3872499),(56 3888774.5),(57 3895804),(58 3895996.3),(59 3894329.8),(60 3890176),(61 3895022.5),(62 3901519),(63 3912859),(64 3916208),(65 3926036.8),(66 3940797.8),(67 3957600),(68 3979742.5),(69 3991915.3),(70 4014244),(71 4052552),(72 4084036.3),(73 4121756.3),(74 4168491),(75 4212826),(76 4253227.5),(77 4265194),(78 4292121),(79 4321344.5),
(1 13571.479),(2 42015.164),(3 88811.69),(4 143318.17),(5 208873.13),(6 283294.22),(7 365198),(8 458286.3),(9 553403.8),(10 651124.1),(11 762796.1),(12 868348.7),(13 988706.9),(14 1112897),(15 1251231),(16 1385017.1),(17 1535147.3),(18 1692170.4),(19 1845506.4),(20 2011175.6),(21 2175044.5),(22 2355386.5),(23 2543096.8),(24 2719891.5),(25 2899741.5),(26 3096118.3),(27 3300786.8),(28 3510681.3),(29 3727796),(30 3936479.3),(31 4145841.5),(32 4340293),(33 4552093),(34 4762635),(35 4961520),(36 5141584.5),(37 5325137),(38 5490556),(39 5661863),(40 5820115),(41 5977288.5),(42 6112689),(43 6224552.5),(44 6327425.5),(45 6444542.5),(46 6539185.5),(47 6645663),(48 6730605),(49 6804250.5),(50 6858441.5),(51 6926649.5),(52 6974637),(53 7049716),(54 7094238.5),(55 7134227),(56 7162534.5),(57 7191941.5),(58 7216931),(59 7234088),(60 7238148),(61 7242268),(62 7221118.5),(63 7201789.5),(64 7165197.5),(65 7118310.5),(66 7071744),(67 7028971),(68 6976240),(69 6921947),(70 6867256),(71 6817433),(72 6768366.5),(73 6734481),(74 6701436.5),(75 6659456),(76 6610913.5),(77 6560150.5),(78 6517054.5),(79 6480309.5),
(1 12921.416),(2 39639.33),(3 79828.51),(4 128729.37),(5 187049.27),(6 253369.58),(7 327721.78),(8 410148.16),(9 489824.03),(10 574740.56),(11 666853.7),(12 760290),(13 866091.9),(14 974876.6),(15 1092406.1),(16 1208906.6),(17 1334864.3),(18 1461789.9),(19 1585381.4),(20 1711345.3),(21 1836742),(22 1959775.4),(23 2090379.1),(24 2216428.8),(25 2334859.8),(26 2447779.5),(27 2558644.8),(28 2666575),(29 2767815),(30 2870127.5),(31 2961626.5),(32 3052484.5),(33 3131173.3),(34 3205033.5),(35 3268310.5),(36 3336037.8),(37 3396402.5),(38 3451832.3),(39 3489154.5),(40 3531783.8),(41 3587469.8),(42 3635713),(43 3684898.8),(44 3727113.8),(45 3758565.5),(46 3792212),(47 3819544),(48 3844127),(49 3872893),(50 3883173),(51 3887773),(52 3881473),(53 3873059.5),(54 3864504.3),(55 3848165.3),(56 3840142.8),(57 3842183.8),(58 3835494.3),(59 3833347.8),(60 3833436.3),(61 3826804.5),(62 3809003.8),(63 3797408.3),(64 3773150.3),(65 3752456.3),(66 3731715),(67 3728221.5),(68 3727789),(69 3724932.5),(70 3722926.3),(71 3732496.3),(72 3745591.5),(73 3755307.5),(74 3758537),(75 3776244.3),(76 3794027),(77 3826677),(78 3846964.3),(79 3865486.8),
(1 17410.219),(2 58147.387),(3 126258.086),(4 209390.19),(5 309807.44),(6 423620.03),(7 551696.6),(8 681713),(9 817476.25),(10 952550.8),(11 1091208.1),(12 1222785.9),(13 1360007.3),(14 1502596),(15 1645430.1),(16 1791414.5),(17 1939145.3),(18 2079478.1),(19 2213499),(20 2345549.3),(21 2469731.8),(22 2581837.5),(23 2688097),(24 2791485.8),(25 2887451.5),(26 2986398.8),(27 3083323.3),(28 3167470.8),(29 3260888.5),(30 3353257.5),(31 3446033.3),(32 3542759.5),(33 3634852.8),(34 3715911),(35 3802442.8),(36 3887824.5),(37 3964913.3),(38 4033404.8),(39 4096181.8),(40 4154138.3),(41 4210450.5),(42 4259362),(43 4309764.5),(44 4364201.5),(45 4416144.5),(46 4455103.5),(47 4489675),(48 4502641.5),(49 4517473),(50 4523152),(51 4528062),(52 4514134.5),(53 4491587.5),(54 4464799),(55 4438985),(56 4417058.5),(57 4401300),(58 4388995),(59 4384224.5),(60 4394283.5),(61 4402396),(62 4411881.5),(63 4433626),(64 4453105),(65 4479739.5),(66 4500015),(67 4519834),(68 4540522),(69 4562244.5),(70 4577574.5),(71 4588870.5),(72 4596702.5),(73 4611877.5),(74 4624059.5),(75 4639753),(76 4658837.5),(77 4678874.5),(78 4675961.5),(79 4682921),
(1 18180.021),(2 60869.18),(3 136352.8),(4 224159.39),(5 331830.13),(6 448801.28),(7 579664.25),(8 711195.9),(9 848512),(10 992228.5),(11 1139643),(12 1285753.1),(13 1433391.1),(14 1584464.8),(15 1739497),(16 1892771.9),(17 2044043.3),(18 2190203.8),(19 2324220.3),(20 2458845),(21 2580784),(22 2703086.8),(23 2812953.5),(24 2918436.3),(25 3007644.3),(26 3103328),(27 3190010.5),(28 3267294.5),(29 3345391.8),(30 3422686),(31 3513089.5),(32 3591420.3),(33 3670118),(34 3736094.3),(35 3810613.3),(36 3862864.3),(37 3921845.5),(38 3967084.8),(39 4007969.5),(40 4055464),(41 4102694.5),(42 4143666),(43 4176229.3),(44 4227432.5),(45 4265847),(46 4297542.5),(47 4323303.5),(48 4340333),(49 4362208),(50 4377060),(51 4392659.5),(52 4402013),(53 4405243.5),(54 4401525.5),(55 4396377),(56 4391383.5),(57 4384851.5),(58 4380085.5),(59 4368426),(60 4365706.5),(61 4357278),(62 4345996),(63 4333222.5),(64 4328955.5),(65 4323719.5),(66 4319142.5),(67 4307382.5),(68 4298636),(69 4290508),(70 4274335),(71 4260532),(72 4251014.5),(73 4229733),(74 4218465),(75 4202983.5),(76 4194658),(77 4180528.5),(78 4170041.5),(79 4164943),
(1 16771.936),(2 56412.47),(3 122911.97),(4 201763.95),(5 296614.94),(6 402714.7),(7 518669),(8 644398.25),(9 776240.3),(10 914353.9),(11 1055176.5),(12 1197604),(13 1338851.5),(14 1491223.8),(15 1656234.9),(16 1817846.1),(17 1978000),(18 2132695.5),(19 2279466.8),(20 2418950.5),(21 2553709.5),(22 2677874),(23 2793552.5),(24 2893751.8),(25 2984530.8),(26 3068313.8),(27 3150962.3),(28 3216424.8),(29 3275115),(30 3327446),(31 3382496),(32 3432658),(33 3485523),(34 3529965),(35 3574595.8),(36 3604513),(37 3628266.8),(38 3646140.3),(39 3655970.8),(40 3670405.3),(41 3682186),(42 3687791.5),(43 3686083.5),(44 3689899.8),(45 3686935.3),(46 3672648),(47 3657359.5),(48 3633185),(49 3614188.5),(50 3596956),(51 3583722.3),(52 3565203.8),(53 3551191),(54 3538233.3),(55 3518043.5),(56 3505778.3),(57 3493905),(58 3476252.8),(59 3457261.8),(60 3442457.8),(61 3421777.3),(62 3397548.3),(63 3370250.5),(64 3342552.5),(65 3313805),(66 3284976.3),(67 3264382.3),(68 3241877.3),(69 3225706.8),(70 3213011.5),(71 3204042.8),(72 3189296),(73 3171967),(74 3162955.8),(75 3148580.8),(76 3144110.3),(77 3133920.5),(78 3126396.3),(79 3124266.5),
(1 18733.174),(2 62787.53),(3 133295.02),(4 219848.27),(5 321175.1),(6 433100.78),(7 553371.6),(8 683498.94),(9 814801.06),(10 948229.75),(11 1086945.3),(12 1220612.4),(13 1345121.3),(14 1472939),(15 1604912.5),(16 1730072.3),(17 1848699.5),(18 1960445.6),(19 2058202.4),(20 2144663),(21 2225558.3),(22 2300549.8),(23 2369369.3),(24 2426060.5),(25 2476785.3),(26 2524064.8),(27 2551918),(28 2584154),(29 2602147.8),(30 2619894.3),(31 2629104.8),(32 2641472.5),(33 2646828.8),(34 2667352.3),(35 2683200),(36 2699012.3),(37 2717176),(38 2738299.3),(39 2752665.5),(40 2770326.5),(41 2795366),(42 2824284.3),(43 2852180.3),(44 2887644.5),(45 2934642),(46 2988044.8),(47 3046626.3),(48 3094331.5),(49 3139760.3),(50 3196505),(51 3249767.5),(52 3304166.5),(53 3369178.5),(54 3430280),(55 3478413),(56 3520156.8),(57 3547462.5),(58 3562852),(59 3567376),(60 3567824.5),(61 3559740.3),(62 3537855.5),(63 3503871),(64 3463698),(65 3426796.3),(66 3380558.5),(67 3332298.3),(68 3290128.5),(69 3256586.8),(70 3221906),(71 3196569),(72 3173502),(73 3166224.3),(74 3170844.5),(75 3181897),(76 3198870.5),(77 3232922),(78 3295254.8),(79 3354226),
