1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 57473.074),(2 206642.7),(3 422873.22),(4 667298.2),(5 902020.2),(6 1088178.3),(7 1221194.6),(8 1294497.8),(9 1345718.8),(10 1391630.4),(11 1451861.5),(12 1541745.1),(13 1676268.1),(14 1839846),(15 2016658),(16 2204318.3),(17 2360169),(18 2497985.5),(19 2584969.3),(20 2637567),(21 2669589.3),(22 2690547.3),(23 2726242),(24 2821354.8),(25 2948735.3),(26 3129298),(27 3391830),(28 3690906),(29 4029405.8),(30 4384986),(31 4722005.5),(32 5039144.5),(33 5274604.5),(34 5457317),(35 5601530.5),(36 5806132),(37 6006117.5),(38 6212861.5),(39 6448798),(40 6700975.5),(41 6919514.5),(42 7119082.5),(43 7237200.5),(44 7302214.5),(45 7300587.5),(46 7269360.5),(47 7212292),(48 7192128.5),(49 7203390.5),(50 7299288),(51 7399690.5),(52 7514574.5),(53 7661976),(54 7781574),(55 7932717.5),(56 8104984),(57 8228163.5),(58 8329098.5),(59 8372531.5),(60 8381815.5),(61 8431094),(62 8492199),(63 8623167),(64 8816149),(65 9039448),(66 9311745),(67 9609343),(68 9938908),(69 10276278),(70 10593262),(71 10892597),(72 11192744),(73 11478723),(74 11798309),(75 12167941),(76 12580496),(77 12966013),(78 13399500),(79 13875051),
(1 43677.297),(2 157563.25),(3 326955.53),(4 521212.6),(5 714944.44),(6 883946.3),(7 1027249.2),(8 1125157.5),(9 1192393.5),(10 1259517.3),(11 1347230.9),(12 1467232.6),(13 1630885.8),(14 1835929.6),(15 2046026.4),(16 2267606.5),(17 2453195),(18 2621190.5),(19 2718834.8),(20 2797675.5),(21 2859799.5),(22 2941955.3),(23 3036878.8),(24 3202956),(25 3416534.5),(26 3700736.8),(27 4049120),(28 4443940),(29 4839248),(30 5225358.5),(31 5592608.5),(32 5975005),(33 6267828),(34 6544632.5),(35 6759557),(36 6957288),(37 7150475),(38 7388224),(39 7651079),(40 7998915),(41 8337931),(42 8688584),(43 9041929),(44 9404228),(45 9694357),(46 9922637),(47 10115645),(48 10270681),(49 10461149),(50 10687753),(51 10894862),(52 11121472),(53 11331574),(54 11493608),(55 11722697),(56 11960043),(57 12253038),(58 12548050),(59 12826213),(60 13096099),(61 13395440),(62 13677437),(63 13993219),(64 14271952),(65 14515165),(66 14747392),(67 15040189),(68 15320267),(69 15594597),(70 15855275),(71 16109000),(72 16381096),(73 16692088),(74 17049960),(75 17366192),(76 17676656),(77 17873856),(78 18054150),(79 18242676),
(1 32617.938),(2 115448.4),(3 235918.92),(4 372679.97),(5 518404.66),(6 655822.2),(7 790383.5),(8 906033.2),(9 1013237.8),(10 1134486.9),(11 1288520.4),(12 1469215),(13 1695299.4),(14 1957475.6),(15 2217169.3),(16 2510092.5),(17 2795921.5),(18 3113416.8),(19 3377756.8),(20 3639505.3),(21 3877661.3),(22 4160164.8),(23 4459909.5),(24 4804827.5),(25 5154315.5),(26 5549244.5),(27 5965874.5),(28 6424617.5),(29 6887410),(30 7343367.5),(31 7755862.5),(32 8149840),(33 8521976),(34 8899133),(35 9209972),(36 9537745),(37 9841428),(38 10208252),(39 10583160),(40 11049341),(41 11518925),(42 12016468),(43 12510877),(44 13008349),(45 13417784),(46 13749888),(47 14042840),(48 14313643),(49 14582051),(50 14814613),(51 15070387),(52 15383845),(53 15720053),(54 15988321),(55 16298543),(56 16589595),(57 16919610),(58 17241274),(59 17495074),(60 17765686),(61 18072328),(62 18298862),(63 18587288),(64 18861692),(65 19093088),(66 19315774),(67 19601290),(68 19892630),(69 20183486),(70 20526354),(71 20863698),(72 21243584),(73 21602304),(74 21917048),(75 22226590),(76 22515110),(77 22737072),(78 22903142),(79 23049162),
(1 40808.918),(2 144560.42),(3 288763.28),(4 448123.13),(5 595203.1),(6 712216.4),(7 798043.2),(8 875578.6),(9 969629.9),(10 1085082.8),(11 1250711.5),(12 1435805.1),(13 1636829.3),(14 1852427),(15 2080023.1),(16 2338558.3),(17 2592662.8),(18 2868117.8),(19 3119860),(20 3375475.3),(21 3607154.3),(22 3867442.8),(23 4116783),(24 4401136),(25 4692119),(26 5032843.5),(27 5399541.5),(28 5832641.5),(29 6270045.5),(30 6699714),(31 7092573),(32 7452419.5),(33 7761022),(34 8077369),(35 8350873),(36 8632690),(37 8881874),(38 9174569),(39 9483010),(40 9847782),(41 10201200),(42 10582264),(43 10959628),(44 11360649),(45 11700169),(46 12015383),(47 12316642),(48 12617643),(49 12916915),(50 13230203),(51 13511396),(52 13824926),(53 14172152),(54 14491070),(55 14809402),(56 15130311),(57 15462192),(58 15772142),(59 16060391),(60 16290830),(61 16490516),(62 16684695),(63 16897014),(64 17098090),(65 17268632),(66 17414896),(67 17527190),(68 17676420),(69 17782446),(70 17915392),(71 18003840),(72 18168526),(73 18306976),(74 18419542),(75 18525496),(76 18608224),(77 18620498),(78 18638204),(79 18673408),
(1 40666.57),(2 146191.19),(3 297958.4),(4 469616.47),(5 640400.94),(6 780111.44),(7 894828.44),(8 1013860.06),(9 1154698.3),(10 1318870.9),(11 1522887.4),(12 1734204.5),(13 1955186.1),(14 2190631.5),(15 2440554.8),(16 2716931.5),(17 2990998.3),(18 3296004.8),(19 3581060.3),(20 3883633.5),(21 4143835.8),(22 4429997),(23 4687876.5),(24 4964994),(25 5239444),(26 5555491),(27 5901541.5),(28 6367130),(29 6839760.5),(30 7331629),(31 7799307.5),(32 8234229),(33 8595652),(34 8943877),(35 9236078),(36 9544205),(37 9838703),(38 10165732),(39 10476025),(40 10832343),(41 11194141),(42 11598868),(43 11981895),(44 12373824),(45 12714052),(46 13008230),(47 13281664),(48 13525591),(49 13749024),(50 13968954),(51 14163567),(52 14392631),(53 14679066),(54 14960410),(55 15277578),(56 15588972),(57 15924381),(58 16263695),(59 16587459),(60 16867762),(61 17156590),(62 17409722),(63 17672882),(64 17913282),(65 18146158),(66 18380096),(67 18616162),(68 18922816),(69 19197196),(70 19488468),(71 19751692),(72 20061856),(73 20298658),(74 20499240),(75 20623534),(76 20729752),(77 20795206),(78 20898124),(79 21006170),
(1 43485.387),(2 160961.9),(3 339103.75),(4 559795.6),(5 794559),(6 1002538.8),(7 1187510.5),(8 1354762.6),(9 1536121.6),(10 1719398.8),(11 1921847.3),(12 2128967.8),(13 2341907.5),(14 2577576),(15 2832292.3),(16 3117670),(17 3413650.8),(18 3746916),(19 4056449.3),(20 4375982.5),(21 4655731),(22 4966110),(23 5259229),(24 5579658.5),(25 5917165.5),(26 6291247),(27 6700775),(28 7203558.5),(29 7714367),(30 8249714.5),(31 8785462),(32 9340018),(33 9858050),(34 10371288),(35 10818642),(36 11276363),(37 11689978),(38 12119312),(39 12522080),(40 12964374),(41 13395474),(42 13870163),(43 14345982),(44 14829091),(45 15243405),(46 15565405),(47 15857251),(48 16137926),(49 16415482),(50 16707962),(51 16975900),(52 17284668),(53 17623414),(54 17939788),(55 18275700),(56 18625602),(57 18967134),(58 19323586),(59 19665744),(60 20010944),(61 20375212),(62 20709492),(63 21070540),(64 21400424),(65 21688884),(66 22009660),(67 22382694),(68 22839292),(69 23253002),(70 23642114),(71 23958612),(72 24277046),(73 24497924),(74 24679962),(75 24821436),(76 24981640),(77 25112332),(78 25314832),(79 25488512),
(1 42394.445),(2 150700.7),(3 308864.9),(4 497113.2),(5 687482.06),(6 850619.06),(7 984528.75),(8 1075869.8),(9 1158732.5),(10 1242257.4),(11 1342372.8),(12 1460613.3),(13 1599748.3),(14 1773303.3),(15 1962033.4),(16 2166194.8),(17 2350816.3),(18 2548224.3),(19 2725123.8),(20 2885265.8),(21 3014547.8),(22 3159846.8),(23 3291391.5),(24 3432593.3),(25 3575814.8),(26 3760847.8),(27 3964713.5),(28 4245385),(29 4550614),(30 4884026),(31 5227330),(32 5587174),(33 5894887),(34 6211832),(35 6484832.5),(36 6760917.5),(37 7004781.5),(38 7291698),(39 7577656),(40 7910441),(41 8190371.5),(42 8467594),(43 8741556),(44 9053838),(45 9341071),(46 9614650),(47 9877266),(48 10186279),(49 10518156),(50 10843175),(51 11125785),(52 11368882),(53 11611492),(54 11846518),(55 12127260),(56 12431195),(57 12763841),(58 13139518),(59 13524439),(60 13879612),(61 14212222),(62 14518875),(63 14849670),(64 15161602),(65 15452512),(66 15731244),(67 16032838),(68 16389402),(69 16710369),(70 17020146),(71 17313156),(72 17637200),(73 17916846),(74 18210942),(75 18457076),(76 18693860),(77 18892204),(78 19122636),(79 19290702),
(1 47213.258),(2 170497.73),(3 339296.88),(4 528888.9),(5 721875.1),(6 895720.94),(7 1055701.4),(8 1197248.4),(9 1335035.1),(10 1479024.5),(11 1651411.5),(12 1845596.8),(13 2053436.4),(14 2299002.3),(15 2561233.5),(16 2818129.8),(17 3055631.5),(18 3305988.5),(19 3518234.3),(20 3703554.3),(21 3844954.8),(22 3987937.5),(23 4102350.5),(24 4237105),(25 4398182),(26 4611843),(27 4839606.5),(28 5145146),(29 5459238),(30 5787575.5),(31 6114554.5),(32 6436731.5),(33 6708452.5),(34 7009437),(35 7283445),(36 7568505.5),(37 7828867),(38 8101417),(39 8348518),(40 8617357),(41 8842169),(42 9065932),(43 9273446),(44 9522010),(45 9777452),(46 10031455),(47 10264752),(48 10517575),(49 10769878),(50 11025009),(51 11233180),(52 11413956),(53 11605383),(54 11796905),(55 12014132),(56 12227884),(57 12430402),(58 12647004),(59 12889175),(60 13125991),(61 13369533),(62 13624448),(63 13909373),(64 14186906),(65 14472149),(66 14704279),(67 14919493),(68 15175854),(69 15417518),(70 15709194),(71 15994933),(72 16301321),(73 16590756),(74 16883382),(75 17131158),(76 17390146),(77 17634438),(78 17909676),(79 18163060),
(1 47624.168),(2 173818.38),(3 353273.25),(4 563753.06),(5 783516.06),(6 983092.94),(7 1162195.8),(8 1329827.3),(9 1504284.8),(10 1686571.8),(11 1906429),(12 2132288.5),(13 2372631.5),(14 2633891.3),(15 2907589),(16 3213158.5),(17 3515338.3),(18 3848807.5),(19 4154934),(20 4470134),(21 4762754),(22 5101468.5),(23 5427495.5),(24 5796934),(25 6149257.5),(26 6541684),(27 6971123),(28 7483731),(29 7993742),(30 8517502),(31 9048737),(32 9588225),(33 10081936),(34 10600600),(35 11084668),(36 11589626),(37 12005992),(38 12402068),(39 12751695),(40 13109687),(41 13432169),(42 13769583),(43 14073662),(44 14400480),(45 14677874),(46 14923396),(47 15144007),(48 15346185),(49 15523895),(50 15681645),(51 15817205),(52 15916055),(53 16023102),(54 16117845),(55 16221463),(56 16301431),(57 16380017),(58 16510648),(59 16677602),(60 16875950),(61 17105498),(62 17308212),(63 17511312),(64 17679768),(65 17838424),(66 17986516),(67 18123030),(68 18293748),(69 18455046),(70 18632338),(71 18786830),(72 18930098),(73 19019432),(74 19080998),(75 19082268),(76 19045956),(77 18973692),(78 18932740),(79 18875566),
(1 45770.957),(2 165146.64),(3 334636),(4 533361.3),(5 735758.56),(6 915581.5),(7 1093630.4),(8 1253688.4),(9 1422671.4),(10 1606098.3),(11 1824406.9),(12 2046395.4),(13 2283058.8),(14 2538195.3),(15 2796454.3),(16 3097149),(17 3393817.3),(18 3720461),(19 4012215.5),(20 4306182),(21 4550826),(22 4822897),(23 5074306.5),(24 5364486),(25 5651981.5),(26 5965474.5),(27 6298101),(28 6680194),(29 7058475.5),(30 7449404.5),(31 7820327),(32 8185187.5),(33 8514583),(34 8858557),(35 9182332),(36 9553228),(37 9890568),(38 10263221),(39 10573689),(40 10883678),(41 11127362),(42 11390558),(43 11635391),(44 11915622),(45 12162331),(46 12402868),(47 12660108),(48 12937319),(49 13260149),(50 13545277),(51 13803458),(52 14048055),(53 14306877),(54 14510956),(55 14723308),(56 14922498),(57 15104240),(58 15303036),(59 15471820),(60 15650260),(61 15878556),(62 16097618),(63 16312238),(64 16505212),(65 16657429),(66 16790392),(67 16877868),(68 16961444),(69 17026210),(70 17080420),(71 17137912),(72 17221170),(73 17312640),(74 17420002),(75 17514600),(76 17631530),(77 17702652),(78 17765714),(79 17757544),
(1 59165.45),(2 214624.55),(3 440044.47),(4 705944.8),(5 985619.5),(6 1253642.3),(7 1517863.6),(8 1778608),(9 2052790.6),(10 2348163.3),(11 2679450.3),(12 3007919.3),(13 3337310),(14 3699745.5),(15 4082219.8),(16 4493759),(17 4899812.5),(18 5345866.5),(19 5764164),(20 6201888),(21 6588621.5),(22 7018694.5),(23 7438450.5),(24 7905710),(25 8368013),(26 8864996),(27 9366160),(28 9938809),(29 10484467),(30 11037653),(31 11527925),(32 11997498),(33 12395174),(34 12831684),(35 13236258),(36 13697468),(37 14140412),(38 14613865),(39 15011847),(40 15433305),(41 15766242),(42 16099667),(43 16399853),(44 16732482),(45 17062226),(46 17382442),(47 17731202),(48 18061616),(49 18395262),(50 18652076),(51 18852676),(52 19024012),(53 19213514),(54 19383216),(55 19562576),(56 19717198),(57 19849724),(58 20013296),(59 20166448),(60 20268442),(61 20401476),(62 20489844),(63 20570820),(64 20653990),(65 20704472),(66 20713408),(67 20702626),(68 20674650),(69 20617146),(70 20600602),(71 20588884),(72 20646284),(73 20700884),(74 20787948),(75 20838794),(76 20922492),(77 20975906),(78 21022534),(79 20980304),
(1 54681.957),(2 196573.77),(3 400532.2),(4 638370.1),(5 889757.06),(6 1117440.6),(7 1336643.9),(8 1549948.5),(9 1770390.6),(10 2011026.3),(11 2298161.3),(12 2600571.3),(13 2922167),(14 3274578.8),(15 3638331.8),(16 4046173.3),(17 4429955),(18 4862134.5),(19 5254259),(20 5666925),(21 6033869),(22 6473761.5),(23 6892978),(24 7373562.5),(25 7844039),(26 8317479),(27 8791142),(28 9337341),(29 9851075),(30 10380402),(31 10896157),(32 11428952),(33 11912031),(34 12433533),(35 12902521),(36 13449994),(37 13931030),(38 14445220),(39 14890099),(40 15365720),(41 15761894),(42 16165695),(43 16540299),(44 16944368),(45 17291390),(46 17605976),(47 17907528),(48 18178586),(49 18465170),(50 18720478),(51 18944172),(52 19134680),(53 19300214),(54 19401464),(55 19475530),(56 19513028),(57 19534402),(58 19574612),(59 19614398),(60 19660940),(61 19734296),(62 19811130),(63 19866860),(64 19905618),(65 19901488),(66 19816318),(67 19693726),(68 19558422),(69 19424046),(70 19285286),(71 19124972),(72 18960190),(73 18798402),(74 18642994),(75 18467422),(76 18310170),(77 18187080),(78 18087142),(79 17961274),
(1 51766.24),(2 188749.3),(3 385662.38),(4 612798.44),(5 844228.5),(6 1047493.2),(7 1234473.9),(8 1408238.1),(9 1582994.1),(10 1775004.4),(11 2015703.5),(12 2272866.3),(13 2561040.8),(14 2890317.3),(15 3219284.8),(16 3585244.3),(17 3938345.8),(18 4329838.5),(19 4676179.5),(20 5026750),(21 5323470.5),(22 5697554.5),(23 6037896),(24 6429089.5),(25 6789426),(26 7177166.5),(27 7566962),(28 8027164),(29 8441872),(30 8886827),(31 9316925),(32 9751600),(33 10151369),(34 10609131),(35 11033663),(36 11552564),(37 12014969),(38 12512509),(39 12951396),(40 13412800),(41 13800644),(42 14161871),(43 14478379),(44 14825641),(45 15134345),(46 15435120),(47 15731853),(48 16009711),(49 16294995),(50 16550508),(51 16792734),(52 17010274),(53 17203338),(54 17332448),(55 17457416),(56 17545426),(57 17642550),(58 17738964),(59 17836884),(60 17955864),(61 18062488),(62 18148298),(63 18240430),(64 18335864),(65 18405932),(66 18422482),(67 18408884),(68 18365646),(69 18308430),(70 18244260),(71 18177050),(72 18109906),(73 18055072),(74 18000390),(75 17952194),(76 17878494),(77 17823858),(78 17754574),(79 17656270),
(1 49553.88),(2 178425.94),(3 355850.44),(4 553545),(5 751276.06),(6 916878.25),(7 1069479.8),(8 1206839),(9 1356440.6),(10 1513928),(11 1707518.9),(12 1919575.6),(13 2145361.3),(14 2401610),(15 2658773.5),(16 2936275.8),(17 3197921.3),(18 3474330.3),(19 3723994.3),(20 3981666.5),(21 4220251),(22 4494600.5),(23 4748758.5),(24 5028299.5),(25 5307540.5),(26 5622438),(27 5946653),(28 6318592.5),(29 6653228),(30 6979797),(31 7261910),(32 7531246),(33 7768033.5),(34 8038588),(35 8299990),(36 8611154),(37 8886828),(38 9195374),(39 9490551),(40 9794990),(41 10048348),(42 10262772),(43 10434492),(44 10591264),(45 10716547),(46 10831679),(47 10946008),(48 11049012),(49 11142408),(50 11237101),(51 11319258),(52 11394113),(53 11479182),(54 11539644),(55 11594628),(56 11642209),(57 11678373),(58 11709673),(59 11730364),(60 11745070),(61 11756165),(62 11773225),(63 11790136),(64 11837059),(65 11897522),(66 11947951),(67 11983611),(68 12007213),(69 11991309),(70 11982116),(71 11991151),(72 12000719),(73 12003694),(74 12020385),(75 12034022),(76 12029016),(77 12010127),(78 11970077),(79 11944733),
(1 53304.18),(2 196776.36),(3 396592.16),(4 622085.8),(5 842790.56),(6 1019422.06),(7 1173550.5),(8 1299700.4),(9 1437346.4),(10 1593576.4),(11 1787946.4),(12 1999275.4),(13 2227639.5),(14 2473936.8),(15 2716664),(16 2985482),(17 3238414),(18 3513401.5),(19 3765093),(20 4016241.3),(21 4231677.5),(22 4473669.5),(23 4702122),(24 4950248),(25 5194981),(26 5468321.5),(27 5743994),(28 6069050),(29 6356233),(30 6626352.5),(31 6865245),(32 7087140),(33 7276845.5),(34 7493104.5),(35 7696638.5),(36 7930267),(37 8140861.5),(38 8388979),(39 8616428),(40 8856747),(41 9064608),(42 9244499),(43 9386931),(44 9523896),(45 9628179),(46 9727728),(47 9819693),(48 9916566),(49 10009078),(50 10110844),(51 10220596),(52 10341021),(53 10461038),(54 10560748),(55 10638474),(56 10686787),(57 10716755),(58 10721801),(59 10699946),(60 10684125),(61 10657082),(62 10623916),(63 10604982),(64 10621053),(65 10655798),(66 10719507),(67 10763013),(68 10800288),(69 10805234),(70 10783327),(71 10744543),(72 10691895),(73 10651229),(74 10634555),(75 10641634),(76 10647770),(77 10672193),(78 10708762),(79 10761092),
