1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 2578.4407),(2 5199.7915),(3 7841.041),(4 10302.54),(5 11864.16),(6 13589.635),(7 15659.591),(8 16921.42),(9 17694.408),(10 18503.156),(11 19007.69),(12 19442.424),(13 18995.877),(14 18911.176),(15 18903.498),(16 18821.463),(17 19045.928),(18 19113.172),(19 19017.68),(20 19168.936),(21 19413.094),(22 19762.44),(23 20193.406),(24 20658.695),(25 21007.39),(26 22347.953),(27 23212.367),(28 22755.943),(29 22768.365),(30 22976.914),(31 22964.037),(32 23187.885),(33 23324.953),(34 23159.32),(35 23286.37),(36 23199.72),(37 23292.922),(38 23325.412),(39 23326.55),(40 23442.877),(41 23338.852),(42 23215.785),(43 22989.242),(44 22360.262),(45 21899.627),(46 21537.469),(47 20671.082),(48 20280.006),(49 20167.209),(50 19827.65),(51 20103.1),(52 20278.7),(53 20240.646),(54 20897.076),(55 21402.121),(56 21681.438),(57 22393.32),(58 22735.404),(59 22753.5),(60 22897.412),(61 22931.176),(62 22945.805),(63 22598.98),(64 22415.443),(65 22181.719),(66 21787.59),(67 21594.934),(68 21504.547),(69 21142.025),(70 21064.705),(71 21063.16),(72 21347.982),(73 21553.863),(74 21892.938),(75 21835.22),(76 22081.818),(77 22264.168),(78 21987.383),(79 22245.582),
(1 2437.4512),(2 4934.4443),(3 7382.2207),(4 9494.561),(5 10911.689),(6 12396.476),(7 14215.357),(8 15322.821),(9 16005.917),(10 16827.502),(11 17383.861),(12 17856.533),(13 17593.33),(14 17568.885),(15 17597.945),(16 17349.182),(17 17517.596),(18 17606.844),(19 17459.197),(20 17541.928),(21 17677.88),(22 17813.865),(23 18126.818),(24 18495.31),(25 18735.172),(26 19865.123),(27 20624.77),(28 20332.12),(29 20346.932),(30 20446.63),(31 20459.629),(32 20603.172),(33 20725.324),(34 20508.215),(35 20684.758),(36 20715.563),(37 20897.588),(38 20928.45),(39 20852.625),(40 20839.645),(41 20805.963),(42 20871.057),(43 20965.428),(44 20680.168),(45 20496.45),(46 20390.273),(47 19981.479),(48 19828.633),(49 19893.723),(50 19580.299),(51 19900.994),(52 20112.94),(53 20111.387),(54 20501.283),(55 20946.406),(56 21167.842),(57 21743.943),(58 22000.902),(59 21902.316),(60 22110.682),(61 22152.18),(62 22319.535),(63 21925.678),(64 21716.443),(65 21541.008),(66 21192.744),(67 21052.727),(68 20926.736),(69 20758.344),(70 20700.297),(71 20777.39),(72 20786.896),(73 20855.18),(74 21028.93),(75 21066.514),(76 21400.977),(77 21656.092),(78 21507.674),(79 21599.402),
(1 2408.1277),(2 4889.141),(3 7327.1763),(4 9673.404),(5 11191.484),(6 12647.928),(7 14316.993),(8 15327.896),(9 16039.501),(10 17051),(11 17711.262),(12 18295.758),(13 17951.215),(14 17841.68),(15 17811.488),(16 17897.809),(17 18217.645),(18 18490.473),(19 18383.383),(20 18626.861),(21 18876.488),(22 19127.781),(23 19458.275),(24 19843.375),(25 19941.031),(26 20919.44),(27 21551.984),(28 21269.219),(29 21180.918),(30 21306.375),(31 21166.225),(32 21246.969),(33 21279.875),(34 21038.283),(35 21133.828),(36 21187.936),(37 21316.818),(38 21284.035),(39 21237.879),(40 21304.752),(41 21359.111),(42 21275.791),(43 21233.047),(44 20786.158),(45 20404.453),(46 20074.377),(47 19447.672),(48 19157.498),(49 19105.883),(50 18832.168),(51 19085.8),(52 19291.404),(53 19263.469),(54 19677.234),(55 20105.734),(56 20327.477),(57 20943.822),(58 21235.436),(59 21118.406),(60 21205.746),(61 21086.191),(62 21054.496),(63 20648.074),(64 20409.664),(65 20290.477),(66 19862.863),(67 19921.264),(68 20025.055),(69 20008.805),(70 20070.898),(71 20213.299),(72 20699.545),(73 20949.207),(74 21372.322),(75 21481.514),(76 21976.258),(77 22408.67),(78 22335.887),(79 22546.31),
(1 2307.4177),(2 4710.815),(3 7034.7354),(4 9140.347),(5 10513.161),(6 11900.729),(7 13778.766),(8 14883.738),(9 15581.821),(10 16374.021),(11 16875.248),(12 17289.176),(13 16947.682),(14 16873.252),(15 16864.111),(16 16809.998),(17 17028.713),(18 17188.166),(19 17153.35),(20 17405.027),(21 17694.012),(22 17845.96),(23 18062.447),(24 18389.402),(25 18507.207),(26 19337.402),(27 19810.822),(28 19465.64),(29 19447.14),(30 19648.797),(31 19594.969),(32 19781.922),(33 19936.06),(34 19943.502),(35 20187.803),(36 20247.514),(37 20404.447),(38 20374.791),(39 20370.322),(40 20325.936),(41 20321.953),(42 20094.955),(43 20002.68),(44 19395.074),(45 19060.238),(46 18747.842),(47 18575.426),(48 18396.357),(49 18412.088),(50 18160.559),(51 18250.006),(52 18399.871),(53 18318.227),(54 18764.39),(55 19224.047),(56 19325.525),(57 19858.107),(58 20131.484),(59 20050.402),(60 20403.227),(61 20532.146),(62 20635.73),(63 20343.533),(64 20139.088),(65 19964.59),(66 19807.879),(67 19761.607),(68 19649.262),(69 19146.676),(70 19008.262),(71 18958.121),(72 19214.762),(73 19376.357),(74 19706.14),(75 19755.785),(76 20087.32),(77 20375.14),(78 20174.074),(79 20197.652),
(1 2296.455),(2 4652.529),(3 6902.586),(4 8807.266),(5 10091.7),(6 11374.224),(7 13120.052),(8 14203.606),(9 14828.62),(10 15540.741),(11 15961.05),(12 16349.055),(13 16337.293),(14 16369.676),(15 16577.732),(16 16611.066),(17 16755.21),(18 16862.375),(19 16691.828),(20 16941.223),(21 17216.771),(22 17618.83),(23 18046.945),(24 18582.043),(25 18935.498),(26 19928.168),(27 20570.367),(28 20118.178),(29 19870.26),(30 19797.7),(31 19584.393),(32 19792.844),(33 19880.336),(34 19611.715),(35 19611.586),(36 19494.39),(37 19459.021),(38 19434.572),(39 19447.596),(40 19499.078),(41 19550.469),(42 19497.04),(43 19495.924),(44 18899.111),(45 18490.793),(46 18129.18),(47 17832.459),(48 17584.148),(49 17576.473),(50 17390.193),(51 17420.322),(52 17566.91),(53 17477.344),(54 18091.59),(55 18651.242),(56 18901.42),(57 19377.105),(58 19664.096),(59 19677.697),(60 20055.32),(61 20327.242),(62 20698.566),(63 20816.91),(64 20825.213),(65 20804.879),(66 20370.174),(67 20347.666),(68 20284.72),(69 20340.256),(70 20431.041),(71 20588.38),(72 20885.145),(73 21192.076),(74 21673.264),(75 21677.463),(76 21947.832),(77 22223.87),(78 21904.268),(79 21780.84),
(1 2181.572),(2 4383.0464),(3 6526.015),(4 8365.546),(5 9569.607),(6 10822.557),(7 12375.052),(8 13282.441),(9 13902.922),(10 14489.505),(11 14875.212),(12 15264.171),(13 15195.118),(14 15220.536),(15 15329.049),(16 15296.282),(17 15385.415),(18 15391.276),(19 15055.445),(20 15132.179),(21 15319.659),(22 15553.918),(23 15975.977),(24 16458.406),(25 16746.865),(26 17723.646),(27 18415.79),(28 18306.166),(29 18407.223),(30 18600.764),(31 18579.049),(32 18691.629),(33 18776.293),(34 18534.617),(35 18525.518),(36 18459.686),(37 18348.887),(38 18242.625),(39 18283.574),(40 18341.033),(41 18216.576),(42 18055.137),(43 17976.646),(44 17490.75),(45 17279.313),(46 17175.105),(47 16685.596),(48 16472.047),(49 16469.654),(50 16306.906),(51 16475.232),(52 16522.012),(53 16439.262),(54 16981.64),(55 17335.33),(56 17509.855),(57 17904.424),(58 18138.725),(59 18163.715),(60 18454.764),(61 18610.889),(62 18782.14),(63 18718.902),(64 18658.309),(65 18685.766),(66 18613.072),(67 18633.875),(68 18688.207),(69 18420.748),(70 18374.5),(71 18422.822),(72 18575.63),(73 18829.527),(74 19199.27),(75 19128.215),(76 19251.574),(77 19406.305),(78 19210.13),(79 19301.645),
(1 2190.1816),(2 4379.3345),(3 6468.491),(4 8176.2993),(5 9338.227),(6 10505.954),(7 11960.671),(8 12831.685),(9 13308.891),(10 13920.362),(11 14320.324),(12 14706.733),(13 14481.424),(14 14482.908),(15 14543.838),(16 14704.73),(17 14827.845),(18 14864.51),(19 14835.141),(20 14973.24),(21 15202.417),(22 15520.989),(23 15830.51),(24 16212.377),(25 16323.895),(26 16974.115),(27 17464.193),(28 17122.771),(29 17062.877),(30 17123.463),(31 16989.178),(32 17028.72),(33 17032.584),(34 16906.621),(35 16919.81),(36 16892.713),(37 16843.066),(38 16766.22),(39 16792.484),(40 16738.225),(41 16698.375),(42 16626.959),(43 16654.412),(44 16452.547),(45 16347.212),(46 16353.715),(47 16033.559),(48 15833.072),(49 15816.142),(50 15597.713),(51 15785.7295),(52 15890.691),(53 15719.395),(54 16119.97),(55 16454.875),(56 16581.887),(57 16927.652),(58 17063.117),(59 16803.57),(60 16839.023),(61 16835.56),(62 16826.23),(63 16759.027),(64 16661.293),(65 16627.162),(66 16590.543),(67 16536.27),(68 16541.78),(69 16310.147),(70 16328.215),(71 16422.475),(72 16436.49),(73 16529.29),(74 16770.256),(75 16712.934),(76 16934.371),(77 17102.59),(78 16834.29),(79 16911.777),
(1 2116.682),(2 4246.964),(3 6316.703),(4 8108.2954),(5 9288.737),(6 10442.005),(7 11798.339),(8 12665.492),(9 13223.764),(10 13882.21),(11 14214.277),(12 14546.139),(13 14169.635),(14 14127.11),(15 14202.673),(16 14418.64),(17 14653.236),(18 14788.967),(19 14643.341),(20 14770.051),(21 14943.233),(22 15184.155),(23 15440.774),(24 15806.489),(25 15979.274),(26 16944.867),(27 17660.457),(28 17504.568),(29 17529.35),(30 17629.195),(31 17479.807),(32 17532.771),(33 17617.777),(34 17640.68),(35 17857.86),(36 17886.78),(37 17921.963),(38 17738.873),(39 17852.965),(40 17921.918),(41 17919.535),(42 17954.53),(43 17974.773),(44 17629.281),(45 17344.451),(46 17184.266),(47 16801.596),(48 16512.373),(49 16479.727),(50 16308.702),(51 16566.64),(52 16743.54),(53 16662.158),(54 16988.408),(55 17296.748),(56 17413.824),(57 17864.676),(58 18062.92),(59 17991.56),(60 18089.514),(61 18192.451),(62 18322.549),(63 18162.729),(64 18028.717),(65 18017.947),(66 17807.377),(67 17785.959),(68 17741.965),(69 17516.14),(70 17572.97),(71 17681.99),(72 17972.652),(73 18278.777),(74 18638.447),(75 18821.625),(76 19043.924),(77 19258.176),(78 19026.275),(79 19023.922),
(1 2013.5524),(2 4044.264),(3 6003.986),(4 7581.8833),(5 8558.401),(6 9506.433),(7 10768.992),(8 11536.144),(9 12134.028),(10 12779.7705),(11 13136.885),(12 13419.517),(13 13201.575),(14 13206.325),(15 13331.3125),(16 13570.236),(17 13714.547),(18 13766.3545),(19 13444.795),(20 13478.771),(21 13596.453),(22 13803.895),(23 13975.13),(24 14254.828),(25 14241.007),(26 14799.582),(27 15313.49),(28 15269.342),(29 15517.126),(30 15769.381),(31 15792.588),(32 15897.954),(33 15919.093),(34 15718.105),(35 15866.027),(36 15933.358),(37 16042.541),(38 15855.909),(39 15877.468),(40 15866.24),(41 15813.955),(42 15772.642),(43 15744.762),(44 15372.964),(45 15044.247),(46 14855.598),(47 14713.711),(48 14592.012),(49 14647.571),(50 14437.473),(51 14683.317),(52 14800.726),(53 14607.482),(54 14991.465),(55 15319.693),(56 15434.063),(57 15782.264),(58 15983.883),(59 16033.659),(60 16192.701),(61 16299.727),(62 16388.277),(63 16232.256),(64 16138.55),(65 16086.623),(66 16147.135),(67 16237.103),(68 16279.573),(69 16101.045),(70 16132.764),(71 16233.5),(72 16577.822),(73 16883.48),(74 17300.248),(75 17442.137),(76 17556.072),(77 17756.64),(78 17606.496),(79 17558.928),
(1 1935.8385),(2 3870.8218),(3 5743.886),(4 7311.5063),(5 8315.617),(6 9420.764),(7 10862.494),(8 11773.378),(9 12391.682),(10 12997.742),(11 13456.697),(12 13817.842),(13 13583.017),(14 13573.053),(15 13656.789),(16 13572.812),(17 13670.977),(18 13671.354),(19 13393.66),(20 13350.119),(21 13384.385),(22 13585.791),(23 13787.226),(24 14080.27),(25 14129.819),(26 14694.012),(27 15107.553),(28 14881.55),(29 14718.8125),(30 14708.082),(31 14538.85),(32 14618.661),(33 14622.272),(34 14503.865),(35 14554.89),(36 14518.568),(37 14539.259),(38 14492.987),(39 14573.626),(40 14665.561),(41 14699.182),(42 14769.326),(43 14849.278),(44 14541.55),(45 14367.834),(46 14301.197),(47 14115.682),(48 13920.004),(49 13894.093),(50 13708.154),(51 13940.073),(52 14089.463),(53 13975.777),(54 14391.658),(55 14749.849),(56 14914.489),(57 15518.314),(58 15893.392),(59 15959.146),(60 16139.411),(61 16186.905),(62 16265.466),(63 16095.058),(64 15927.6),(65 15814.669),(66 15702.953),(67 15708.246),(68 15715.291),(69 15632.638),(70 15689.058),(71 15860.539),(72 16177.93),(73 16506.152),(74 16882.717),(75 16949.844),(76 17218.975),(77 17513.623),(78 17451.34),(79 17325.125),
(1 1881.3735),(2 3766.965),(3 5546.3687),(4 7218.562),(5 8291.4375),(6 9313.268),(7 10539.793),(8 11314.363),(9 11825.222),(10 12478.699),(11 12820.905),(12 13188.185),(13 12827.974),(14 12736.001),(15 12722.72),(16 12594.902),(17 12598.929),(18 12545.757),(19 12434.759),(20 12511.956),(21 12681.543),(22 13020.078),(23 13277.53),(24 13582.457),(25 13486.659),(26 13966.599),(27 14420.29),(28 14384.562),(29 14473.614),(30 14611.121),(31 14494.367),(32 14550.843),(33 14560.177),(34 14440.507),(35 14560.013),(36 14607.542),(37 14746.327),(38 14663.7705),(39 14664.286),(40 14672.183),(41 14547.027),(42 14412.125),(43 14288.13),(44 13929.324),(45 13716.45),(46 13641.012),(47 13699.472),(48 13597.263),(49 13611.376),(50 13370.785),(51 13590.976),(52 13810.699),(53 13723.215),(54 14023.75),(55 14245.157),(56 14297.478),(57 14700.681),(58 14907.363),(59 14890.343),(60 15170.767),(61 15308.798),(62 15460.026),(63 15340.754),(64 15231.462),(65 15130.668),(66 14998.004),(67 14963.379),(68 14888.914),(69 14716.343),(70 14693.644),(71 14799.625),(72 15009.614),(73 15183.219),(74 15421.138),(75 15366.843),(76 15467.845),(77 15627.665),(78 15511.522),(79 15644.497),
(1 1779.3777),(2 3558.669),(3 5257.493),(4 6688.6787),(5 7620.8643),(6 8586.22),(7 9769.95),(8 10534.628),(9 11080.745),(10 11698.142),(11 12054.784),(12 12475.583),(13 12180.9),(14 12121.116),(15 12138.085),(16 12182.052),(17 12329.8),(18 12427.45),(19 12360.94),(20 12497.837),(21 12657.509),(22 13006.675),(23 13252.07),(24 13495.406),(25 13669.893),(26 14261.724),(27 14721.792),(28 14613.259),(29 14634.928),(30 14767.587),(31 14778.932),(32 14814.759),(33 14811.85),(34 14778.171),(35 14721.249),(36 14702.094),(37 14716.145),(38 14506.84),(39 14451.228),(40 14407.757),(41 14421.113),(42 14377.023),(43 14311.085),(44 14202.257),(45 14125.679),(46 14113.613),(47 14000.865),(48 13872.73),(49 13896.835),(50 13734.997),(51 13957.081),(52 14162.101),(53 14077.131),(54 14234.171),(55 14359.686),(56 14315.884),(57 14552.992),(58 14675.986),(59 14628.602),(60 14890.377),(61 14992.317),(62 15163.585),(63 15036.616),(64 14988.444),(65 14930.989),(66 14877.8545),(67 14924.794),(68 15015.111),(69 14911.333),(70 14999.712),(71 15125.6),(72 15213.286),(73 15189.993),(74 15259.309),(75 15096.903),(76 15070.62),(77 15061.202),(78 14916.126),(79 15008.749),
(1 1696.569),(2 3375.6963),(3 5092.2305),(4 6543.12),(5 7493.583),(6 8482.872),(7 9668.641),(8 10407.992),(9 10929.057),(10 11509.754),(11 11910.743),(12 12357.489),(13 12093.436),(14 12062.681),(15 12100.925),(16 11991.318),(17 12008.195),(18 11978.381),(19 11737.108),(20 11805.454),(21 11941.588),(22 12285.412),(23 12608.992),(24 12949.91),(25 13091.666),(26 13770.207),(27 14211.155),(28 14083.427),(29 14170.289),(30 14354.086),(31 14399.162),(32 14509.286),(33 14574.173),(34 14495.552),(35 14457.38),(36 14440.463),(37 14471.441),(38 14276.591),(39 14178.649),(40 14131.587),(41 13953.63),(42 13864.362),(43 13738.431),(44 13693.836),(45 13559.164),(46 13506.782),(47 13206.389),(48 13017.2),(49 12984.243),(50 12863.512),(51 13120.643),(52 13328.393),(53 13346.035),(54 13724.271),(55 14079.562),(56 14134.126),(57 14425.627),(58 14499.398),(59 14438.262),(60 14560.613),(61 14525.413),(62 14617.127),(63 14584.507),(64 14614.771),(65 14667.565),(66 14517.645),(67 14417.847),(68 14393.847),(69 14200.658),(70 14246.59),(71 14339.794),(72 14415.4375),(73 14459.87),(74 14642.095),(75 14598.635),(76 14707.714),(77 14829.457),(78 14724.544),(79 14955.819),
(1 1723.625),(2 3418.4553),(3 5049.4253),(4 6503.417),(5 7419.8936),(6 8342.981),(7 9351.749),(8 9870.859),(9 10113.465),(10 10491.153),(11 10762.629),(12 11047.593),(13 10952.398),(14 11016.175),(15 11184.437),(16 11273.829),(17 11466.23),(18 11595.428),(19 11597.971),(20 11762.128),(21 12007.224),(22 12185.195),(23 12401.342),(24 12651.539),(25 12636.551),(26 13174.086),(27 13520.274),(28 13334.382),(29 13333.383),(30 13443.132),(31 13487.351),(32 13712.134),(33 13797.793),(34 13689.755),(35 13640.722),(36 13561.463),(37 13504.384),(38 13392.046),(39 13283.045),(40 13180.688),(41 13058.541),(42 12923.8955),(43 12854.8125),(44 12791.67),(45 12716.839),(46 12716.354),(47 12581.609),(48 12529.162),(49 12605.743),(50 12521.586),(51 12748.5),(52 12942.551),(53 12828.322),(54 13169.953),(55 13393.058),(56 13368.872),(57 13641.771),(58 13732.926),(59 13739.395),(60 13931.176),(61 14013.407),(62 14123.425),(63 14015.809),(64 14004.622),(65 14020.931),(66 13894.896),(67 13887.135),(68 13874.159),(69 13844.434),(70 13891.782),(71 14025.703),(72 14096.899),(73 14195.079),(74 14436.805),(75 14459.216),(76 14577.262),(77 14717.597),(78 14611.422),(79 14758.195),
(1 1730.889),(2 3432.5598),(3 5138.703),(4 6697.233),(5 7701.049),(6 8769.535),(7 10056.293),(8 10721.886),(9 11174.342),(10 11610.215),(11 11870.637),(12 12087.894),(13 11688.463),(14 11513.233),(15 11434.514),(16 11314.46),(17 11383.357),(18 11428.532),(19 11285.103),(20 11368.256),(21 11524.95),(22 11771.055),(23 12047.618),(24 12408.24),(25 12500.658),(26 13146.417),(27 13649.194),(28 13592.298),(29 13634.086),(30 13737.389),(31 13713.739),(32 13828.152),(33 13921.524),(34 13891.096),(35 13815.973),(36 13725.82),(37 13640.899),(38 13472.561),(39 13341.262),(40 13248.381),(41 13150.527),(42 13037.677),(43 12934.739),(44 12700.759),(45 12473.78),(46 12386.407),(47 12337.847),(48 12383.743),(49 12516.724),(50 12440.938),(51 12642.725),(52 12795.364),(53 12646.658),(54 12916.74),(55 13168.639),(56 13121.206),(57 13193.902),(58 13104.631),(59 12942.694),(60 13007.604),(61 13007.636),(62 13058.047),(63 12954.469),(64 12946.628),(65 12929.215),(66 12768.723),(67 12662.72),(68 12567.955),(69 12401.774),(70 12363.09),(71 12403.719),(72 12687.772),(73 12843.736),(74 13114.915),(75 13141.369),(76 13250.521),(77 13450.718),(78 13399.414),(79 13550.714),
(1 1646.1559),(2 3267.8647),(3 4861.8286),(4 6286.127),(5 7223.8477),(6 8140.082),(7 9322.629),(8 9977.557),(9 10454.63),(10 10947.052),(11 11208.618),(12 11474.085),(13 11261.053),(14 11245.111),(15 11322.659),(16 11293.354),(17 11420.274),(18 11471.38),(19 11281.559),(20 11287.569),(21 11372.27),(22 11569.226),(23 11749.085),(24 11958.9),(25 12016.344),(26 12507.261),(27 12919.672),(28 12804.889),(29 12781.07),(30 12884.303),(31 12842.805),(32 12868.434),(33 12873.259),(34 12729.989),(35 12723.691),(36 12663.382),(37 12677.808),(38 12647.43),(39 12613.917),(40 12653.39),(41 12615.763),(42 12622.595),(43 12598.928),(44 12388.432),(45 12193.249),(46 12081.355),(47 11791.427),(48 11669.585),(49 11652.967),(50 11540.88),(51 11713.15),(52 11851.048),(53 11808.718),(54 12224.062),(55 12614.726),(56 12710.337),(57 12971.887),(58 13081.514),(59 13070.458),(60 13170.023),(61 13228.184),(62 13338.093),(63 13131.144),(64 13097.068),(65 13053.29),(66 13037.267),(67 13101.365),(68 13156.87),(69 13095.304),(70 13172.155),(71 13310.473),(72 13338.031),(73 13436.466),(74 13604.983),(75 13562.632),(76 13807.491),(77 13990.119),(78 13939.234),(79 14101.738),
(1 1576.016),(2 3116.5906),(3 4622.9526),(4 5888.318),(5 6701.488),(6 7466.584),(7 8390.714),(8 8981.252),(9 9357.216),(10 9827.889),(11 10085.784),(12 10305.6045),(13 10196.52),(14 10203.018),(15 10332.395),(16 10498.942),(17 10702.822),(18 10856.928),(19 10711.127),(20 10745.862),(21 10816.331),(22 11038.084),(23 11164.316),(24 11336.911),(25 11348.81),(26 11587.283),(27 11845.977),(28 11702.168),(29 11695.866),(30 11800.6455),(31 11734.52),(32 11883.523),(33 11967.599),(34 11799.887),(35 11785.407),(36 11732.218),(37 11684.516),(38 11655.909),(39 11627.343),(40 11566.69),(41 11502.185),(42 11498.732),(43 11489.845),(44 11140.496),(45 11024.739),(46 11007.475),(47 10910.211),(48 10928.254),(49 11006),(50 10986.574),(51 11149.939),(52 11244.013),(53 11216.304),(54 11588.036),(55 11875.053),(56 11904.525),(57 12099.529),(58 12222.296),(59 12221.048),(60 12413.468),(61 12531.287),(62 12636.958),(63 12313.476),(64 12108.633),(65 11957.996),(66 11946.895),(67 11932.501),(68 11931.003),(69 11795.741),(70 11821.107),(71 11915.508),(72 11873.289),(73 11985.75),(74 12176.662),(75 12068.848),(76 12231.637),(77 12326.5),(78 12290.089),(79 12500.348),
(1 1587.7661),(2 3132.379),(3 4632.17),(4 5927.415),(5 6717.782),(6 7497.8296),(7 8442.035),(8 8999.377),(9 9456.02),(10 10049.487),(11 10387.7295),(12 10660.124),(13 10265.495),(14 10191.148),(15 10241.476),(16 10265.72),(17 10366.869),(18 10451.435),(19 10173.482),(20 10189.078),(21 10250.557),(22 10480.823),(23 10665.516),(24 10887.656),(25 10932.518),(26 11415.211),(27 11842.488),(28 11804.504),(29 11886.037),(30 11981.245),(31 11887.875),(32 12044.552),(33 12133.995),(34 11980.97),(35 11893.308),(36 11769.94),(37 11682.681),(38 11638.897),(39 11576.965),(40 11521.229),(41 11614.561),(42 11595.856),(43 11542.709),(44 11180.171),(45 11031.333),(46 11016.901),(47 10894.488),(48 10736.98),(49 10759.515),(50 10677.593),(51 10822.332),(52 10928.393),(53 10885.047),(54 11371.681),(55 11699.973),(56 11822.193),(57 12066.666),(58 12181.477),(59 12152.332),(60 12424.099),(61 12516.947),(62 12626.647),(63 12341.481),(64 12242.567),(65 12166.105),(66 12131.667),(67 12162.275),(68 12151.298),(69 12040.384),(70 12032.563),(71 12075.993),(72 12165.515),(73 12237.215),(74 12428.326),(75 12446.888),(76 12590.261),(77 12730.118),(78 12665.001),(79 12843.265),
