1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8969.411),(2 22995.701),(3 35063.938),(4 43400.74),(5 49915.574),(6 55465.75),(7 59874.41),(8 62862.29),(9 65006.875),(10 66982.8),(11 69028.734),(12 71388.53),(13 74836.36),(14 77382.836),(15 79373.6),(16 81126.766),(17 81900.734),(18 82453.71),(19 83555.57),(20 84386.87),(21 85546.93),(22 87166.03),(23 88910.61),(24 90016.375),(25 90465.64),(26 90897.69),(27 91798.96),(28 92583.14),(29 92911.66),(30 93155.85),(31 93806.83),(32 94205.02),(33 95459.445),(34 96114.46),(35 95830.07),(36 96614.27),(37 97209.836),(38 97218.03),(39 96708.31),(40 95769.47),(41 95201.516),(42 94907.79),(43 94959.875),(44 94952.77),(45 95424.44),(46 95732.03),(47 95973.2),(48 95357.21),(49 95245.51),(50 95550.7),(51 95902.68),(52 96304.16),(53 96835.94),(54 97044.3),(55 96973.45),(56 96588.82),(57 95729.31),(58 94699.23),(59 93623.23),(60 93201.97),(61 93676.85),(62 94266.37),(63 94793.72),(64 95515.29),(65 95868.914),(66 96622.484),(67 97123.17),(68 97429.625),(69 97883.836),(70 98185.26),(71 98701.96),(72 99528.19),(73 99425.086),(74 99486.46),(75 99632.55),(76 99605.35),(77 99319.945),(78 99062.266),(79 98647.44),
(1 8928.403),(2 22540.96),(3 33762.074),(4 41314.848),(5 47442.496),(6 53306.77),(7 58379.152),(8 62389.824),(9 65080.953),(10 66874.37),(11 68859.77),(12 71042.31),(13 73178.65),(14 75438.28),(15 77496.43),(16 78787.63),(17 79433.266),(18 79850.62),(19 81273.71),(20 82316.78),(21 83592.5),(22 84365.07),(23 85120.26),(24 86305.21),(25 87349.91),(26 87746.04),(27 88160.445),(28 88754.32),(29 89611.555),(30 89965.78),(31 89874.414),(32 90205.03),(33 90540.68),(34 90445.32),(35 90136.76),(36 90695.75),(37 91556.88),(38 92081.57),(39 92414.12),(40 92183.62),(41 92448.75),(42 93356.44),(43 93878.82),(44 94050.43),(45 94837.28),(46 95985.01),(47 96927.375),(48 96521.19),(49 95504.375),(50 94707.18),(51 94326.12),(52 94625.1),(53 94156.914),(54 93371.57),(55 93347.73),(56 93341.555),(57 93085.23),(58 92507.09),(59 92496.43),(60 92915.66),(61 94011.23),(62 94921.79),(63 94756.24),(64 94165),(65 94184.12),(66 94231.664),(67 94130.99),(68 93208.24),(69 93069.32),(70 93267.03),(71 93676.44),(72 93949.586),(73 93494.914),(74 93214.48),(75 93753.75),(76 95075.48),(77 96490.72),(78 96594.5),(79 97291.09),
(1 8880.053),(2 22679.441),(3 34241.324),(4 41997.56),(5 48515.063),(6 54401.82),(7 59188.953),(8 63219.273),(9 66330.17),(10 69044.57),(11 71323.39),(12 73164.22),(13 75223.9),(14 77230.234),(15 79005.17),(16 80232.95),(17 80752.625),(18 81817.34),(19 83280.516),(20 85418.42),(21 87202.68),(22 88510.766),(23 88338.37),(24 88383.83),(25 89028.53),(26 88787.41),(27 88947.17),(28 89727.22),(29 90327.555),(30 90402.695),(31 89908.83),(32 89084.836),(33 87992.75),(34 87359.305),(35 86358.305),(36 85860.25),(37 85672.95),(38 85699.016),(39 85518.57),(40 86507.32),(41 87419.62),(42 88579.03),(43 89108.16),(44 89695.586),(45 90599.734),(46 91124.59),(47 91351.7),(48 91084.36),(49 90214.4),(50 89661.96),(51 89412.95),(52 89903.945),(53 89834.414),(54 90349.79),(55 91206.09),(56 91275.695),(57 90203.47),(58 89602.414),(59 88693.38),(60 88632.78),(61 88994.93),(62 89341.76),(63 89527.78),(64 89209.164),(65 89777.17),(66 90173.82),(67 90575.45),(68 90829.96),(69 90655.35),(70 91409.08),(71 92551.49),(72 93620.414),(73 94535.8),(74 95481.2),(75 96353.42),(76 96260.766),(77 95943.484),(78 95897.664),(79 96332.336),
(1 8638.025),(2 21675.965),(3 32689.625),(4 40547.848),(5 46783.938),(6 52018.477),(7 55999.42),(8 59929.99),(9 63393.67),(10 65628.03),(11 67316.84),(12 69300.45),(13 71691.38),(14 73543.86),(15 74791.92),(16 76069.59),(17 76853.24),(18 77674.18),(19 78633.836),(20 80273.484),(21 81343.86),(22 82171.81),(23 81973.766),(24 81993.516),(25 82683.836),(26 83244.06),(27 84291.484),(28 84969.5),(29 85363.195),(30 85519.914),(31 86302.23),(32 86500.484),(33 85679.516),(34 85219.76),(35 85623.19),(36 86480.805),(37 87241.14),(38 87335.47),(39 87620),(40 87743.3),(41 88071.46),(42 88031.51),(43 87215.6),(44 86733.64),(45 86938.375),(46 87307.98),(47 87416.836),(48 87489.14),(49 87986.48),(50 88652.89),(51 88635.91),(52 89108.08),(53 89604.93),(54 89846.79),(55 89700.63),(56 90118.84),(57 91055.43),(58 91385.54),(59 91094.586),(60 90666.15),(61 90748.93),(62 90940.984),(63 91262.984),(64 91209.76),(65 91195.59),(66 91036.26),(67 91906.91),(68 92820.79),(69 93846.3),(70 95143.25),(71 95907.24),(72 96904),(73 97818.87),(74 97986.086),(75 97996.11),(76 99148.44),(77 100372.664),(78 100957.336),(79 101396.52),
(1 8586.618),(2 21566.436),(3 32464.592),(4 40070.74),(5 46339.695),(6 51717.586),(7 55669.836),(8 59544.395),(9 62214.98),(10 63523.418),(11 64079.2),(12 64570.297),(13 66028.305),(14 67090.945),(15 68946.51),(16 70706.01),(17 71603.87),(18 72783.01),(19 74273.375),(20 75937.516),(21 76991.36),(22 78149.86),(23 78732.34),(24 80022.805),(25 80833.84),(26 81197.91),(27 81595.21),(28 82364.89),(29 83107.6),(30 83126.16),(31 83810.03),(32 84539.42),(33 85086.66),(34 84985.62),(35 85397.04),(36 85454.19),(37 85410.37),(38 84946.16),(39 85581.72),(40 86216.33),(41 87395.125),(42 88468.58),(43 89307.695),(44 89944.98),(45 90729.99),(46 91624.625),(47 92177.91),(48 91949.09),(49 90966.37),(50 89684.93),(51 88567.02),(52 87633.945),(53 87687.2),(54 87915.46),(55 88317.58),(56 88808.86),(57 89904.04),(58 90894.91),(59 91167.76),(60 91157.04),(61 91723.66),(62 92786.99),(63 94714.3),(64 96196.23),(65 96608.43),(66 96176.07),(67 94832.445),(68 94163.055),(69 94016.17),(70 94353.54),(71 94750.04),(72 95184.47),(73 95954.23),(74 96548.16),(75 96984.09),(76 97506.09),(77 98012.71),(78 98554.27),(79 98541.06),
(1 8512.1),(2 21566.096),(3 31978.578),(4 39072.66),(5 44917.29),(6 49652.543),(7 53410.293),(8 56817.21),(9 58596.57),(10 59991.813),(11 61985.32),(12 63617.098),(13 65593.3),(14 67264.914),(15 69707.29),(16 71757.21),(17 73064.766),(18 73674.766),(19 74429.7),(20 75844.5),(21 77074.24),(22 77501.086),(23 77468.47),(24 78551.58),(25 78819.914),(26 78865.18),(27 79009.086),(28 79247.35),(29 79660.64),(30 79697.836),(31 80644.695),(32 80941.79),(33 81020.52),(34 80939.14),(35 80739.664),(36 81428.83),(37 81810.04),(38 82429.23),(39 83490.24),(40 84318.945),(41 84903.82),(42 85246.25),(43 84903.13),(44 84804.37),(45 84923.05),(46 85608.16),(47 85444.26),(48 84979.72),(49 84556.62),(50 83706.86),(51 83588.26),(52 83892.85),(53 84037.07),(54 84544.62),(55 84941.46),(56 84976.9),(57 85165.055),(58 85636.695),(59 85926.35),(60 85827.47),(61 85657.28),(62 86428.664),(63 87610.625),(64 88776.91),(65 89136.81),(66 89179.67),(67 89512.6),(68 90382.21),(69 91367.69),(70 91520),(71 91710.12),(72 91944.61),(73 91888.74),(74 91671.97),(75 91116.61),(76 90451.63),(77 89502.22),(78 89341.19),(79 89219.39),
(1 8582.716),(2 21713.629),(3 32463.107),(4 39481.54),(5 44688.906),(6 48873.934),(7 52477.824),(8 55362.13),(9 57713.617),(10 59327.848),(11 61053.69),(12 63564.113),(13 66030.52),(14 67066.836),(15 68658.92),(16 70189.42),(17 71494.93),(18 71963.99),(19 72160.47),(20 72775.66),(21 73956.78),(22 75265.25),(23 75192.09),(24 75313.11),(25 75751.08),(26 76975.04),(27 77754.94),(28 78580.46),(29 79159.93),(30 79520.81),(31 79466.83),(32 79123.89),(33 78307.09),(34 78270.516),(35 78575.48),(36 79442.88),(37 80562.11),(38 80717.84),(39 80735.71),(40 81026.94),(41 82303.125),(42 83573.7),(43 84819.84),(44 85790.99),(45 86932.234),(46 86762.5),(47 85973.04),(48 85467.67),(49 84017.25),(50 82671.02),(51 82111.1),(52 82639.016),(53 83092.58),(54 83067.22),(55 83296.04),(56 83849.25),(57 84311.25),(58 84218.82),(59 84279.62),(60 84759.81),(61 85374.125),(62 86445.305),(63 87704.92),(64 88829.2),(65 89491.18),(66 89483.63),(67 89169.26),(68 89486.17),(69 89324.414),(70 89442.06),(71 89493.5),(72 89740.89),(73 89432.63),(74 88693.27),(75 88964.32),(76 89495.71),(77 89752.32),(78 90157.96),(79 90960.6),
(1 8099.628),(2 20413.889),(3 30303.361),(4 36754.984),(5 41388.684),(6 45122.016),(7 48850.07),(8 51335.28),(9 52937.32),(10 54353.152),(11 56476.664),(12 59064.7),(13 62052.754),(14 64428.438),(15 66692.97),(16 67772.76),(17 67904),(18 67856.5),(19 67855.63),(20 67862.57),(21 69249.41),(22 70724.46),(23 71544.805),(24 72265.32),(25 72775.34),(26 73613.57),(27 73861.66),(28 73597.195),(29 73664.55),(30 73928.016),(31 74854.766),(32 75692.24),(33 76872.234),(34 77039.73),(35 77405.47),(36 77834.234),(37 77993.33),(38 78133.74),(39 78622.33),(40 78803.57),(41 79382.69),(42 80206.32),(43 81142.26),(44 81173.56),(45 81343.99),(46 81752.12),(47 81783.12),(48 81507.71),(49 80790.625),(50 80609.086),(51 80247.4),(52 80154.97),(53 80896.59),(54 81100.8),(55 81567.89),(56 81821.46),(57 82089.69),(58 82687.7),(59 82749.98),(60 82556.59),(61 82839.38),(62 82611.3),(63 82762.516),(64 83418.75),(65 83701.695),(66 83817.58),(67 83911.5),(68 84204.16),(69 84631.14),(70 85133.125),(71 85535.71),(72 86036.8),(73 86476.164),(74 86499.86),(75 86861.01),(76 87284.48),(77 87152.08),(78 86764.23),(79 86741.86),
(1 8161.244),(2 20084.172),(3 29950.05),(4 36873.563),(5 42643.7),(6 46745.516),(7 50091.465),(8 52925.55),(9 55118.277),(10 56831.758),(11 58959.293),(12 61037.035),(13 63350.12),(14 64546.656),(15 65579.87),(16 66023.19),(17 66533.68),(18 66559.63),(19 66976.46),(20 67970.55),(21 68951.81),(22 69819.9),(23 70282.62),(24 70935.664),(25 70683.51),(26 70733.72),(27 71621.9),(28 72836.89),(29 73201.42),(30 73437.44),(31 73617.34),(32 73209.46),(33 72553.72),(34 72925.54),(35 73288.1),(36 73384.45),(37 73119.414),(38 72848.87),(39 73040.49),(40 73301.67),(41 73152.14),(42 73523.37),(43 73990.19),(44 74713.25),(45 75222.36),(46 75542.45),(47 76279.28),(48 77790.07),(49 78009.72),(50 76651.72),(51 75534.2),(52 75575.445),(53 76438.82),(54 77135.75),(55 77873.125),(56 78434.74),(57 78829.05),(58 79125.54),(59 79287.086),(60 79063.69),(61 78984.03),(62 79058.836),(63 79468.77),(64 80148.34),(65 80665.336),(66 81562.93),(67 82233.805),(68 82317.16),(69 82196.664),(70 82727.305),(71 83912.33),(72 84984.555),(73 85126.95),(74 85919.63),(75 86795.445),(76 87306.12),(77 87031.94),(78 86480.99),(79 86441.34),
(1 8186.5166),(2 20689.543),(3 31004.395),(4 38160.38),(5 43593.824),(6 48014.133),(7 51653.68),(8 54061.39),(9 55974.438),(10 57555.73),(11 59704.066),(12 61277.21),(13 62429.844),(14 63142.145),(15 64170.082),(16 65261.883),(17 65763.49),(18 66245.49),(19 66831.1),(20 68049.38),(21 69046.42),(22 70210.11),(23 71322.91),(24 72051.164),(25 72647.98),(26 73444.6),(27 73895.945),(28 74116.266),(29 73677.1),(30 72679.05),(31 72634.125),(32 72905.65),(33 73103.52),(34 73810.99),(35 74201.484),(36 74294.625),(37 74276.5),(38 73967.64),(39 74011.13),(40 73157.46),(41 72806.516),(42 72889.766),(43 72841.016),(44 73526.055),(45 74207.32),(46 74756.555),(47 74424.95),(48 74280.54),(49 73272.42),(50 73037.6),(51 72691.13),(52 72390.695),(53 72572.664),(54 73122.07),(55 73432.695),(56 73833.4),(57 73771.805),(58 72940.52),(59 72195.64),(60 71840.016),(61 72322.445),(62 72450.055),(63 72670.93),(64 73359.71),(65 73543.97),(66 73850.266),(67 74621.91),(68 75150.23),(69 75932.66),(70 76766.03),(71 77169.93),(72 77774.43),(73 77802.34),(74 77763.79),(75 77680.31),(76 77676.766),(77 77800.62),(78 78105.66),(79 78371.46),
(1 8045.847),(2 19771.44),(3 29017.227),(4 34881.957),(5 39468.69),(6 43473.633),(7 46708.32),(8 49518.863),(9 51415.207),(10 53127.305),(11 54714.156),(12 56175.02),(13 58056.543),(14 59533.87),(15 61485.098),(16 62794.59),(17 63609.98),(18 63925.266),(19 65107.797),(20 66064.17),(21 66950.55),(22 68187.06),(23 68406.06),(24 68655.52),(25 69257.48),(26 70028.414),(27 70406.95),(28 70270.08),(29 70337.55),(30 70750.02),(31 71297.25),(32 72015.164),(33 71875.93),(34 72246.4),(35 72657.26),(36 72668.8),(37 72279.414),(38 71609.266),(39 72095.75),(40 72475.12),(41 72933.57),(42 73386.516),(43 73687.56),(44 73729.22),(45 73281.11),(46 72954.18),(47 72688.68),(48 72788.31),(49 72670.69),(50 72945.58),(51 73060.2),(52 72682.04),(53 72271.18),(54 72293.97),(55 72572.46),(56 72892.76),(57 73368.28),(58 72877.52),(59 72144.586),(60 71222.836),(61 70735.7),(62 70410.375),(63 70758.65),(64 71261.62),(65 71842.58),(66 72665.5),(67 73213.57),(68 73021.484),(69 73083.69),(70 73430.31),(71 73732.1),(72 73880.22),(73 74398.734),(74 74879.766),(75 75648.65),(76 76753.484),(77 77780.93),(78 78734.94),(79 79111.555),
(1 8048.1616),(2 19798.66),(3 29221.973),(4 34761.457),(5 38688.598),(6 42472.184),(7 45435.125),(8 47744.64),(9 49189.637),(10 50932.48),(11 52833.793),(12 55170.992),(13 57373.418),(14 58584.582),(15 59377.434),(16 60474.445),(17 61296.605),(18 62357.754),(19 63784.516),(20 65066.742),(21 65912.4),(22 67289.83),(23 68015.05),(24 68718.945),(25 69450.15),(26 69958.984),(27 70536.414),(28 69848.47),(29 70455.875),(30 71711.62),(31 72783.85),(32 73329.4),(33 73422.67),(34 73411.164),(35 73678.94),(36 73757.086),(37 73797.164),(38 73061.15),(39 72734.17),(40 72342.305),(41 72067.85),(42 72287.6),(43 72865.07),(44 73376.086),(45 73386.58),(46 72849.09),(47 72805.5),(48 73441.39),(49 73767.664),(50 74741.68),(51 74735.83),(52 74533.99),(53 74295.55),(54 74401.13),(55 75020.31),(56 75528.05),(57 75821.92),(58 75717.664),(59 75000.15),(60 74235.625),(61 74068.31),(62 73820.22),(63 74223.07),(64 74337.47),(65 74762.13),(66 74975.836),(67 75420.266),(68 76117.5),(69 76244.445),(70 76368.77),(71 76229),(72 75801.6),(73 75820.73),(74 76185.34),(75 76327.73),(76 75909.484),(77 75824.55),(78 76052.03),(79 76084.67),
(1 7976.439),(2 19614.117),(3 28899.768),(4 34203.117),(5 38223.688),(6 41843.324),(7 45163.28),(8 47671.496),(9 49408.555),(10 51179.44),(11 53082.594),(12 55376.918),(13 57284.094),(14 58132.37),(15 58814.758),(16 59244.64),(17 59917.863),(18 60819.81),(19 61711.992),(20 62756.07),(21 63389.508),(22 64141.53),(23 64062.164),(24 64121.28),(25 63935.938),(26 64690.49),(27 65586.33),(28 65449.824),(29 64978.89),(30 65001.125),(31 65071.113),(32 65169.82),(33 65075.695),(34 64843.57),(35 65098.13),(36 65437.64),(37 66299.9),(38 66830.375),(39 66180.125),(40 65764.41),(41 66265.37),(42 66665.27),(43 66786.27),(44 66885.57),(45 66701.92),(46 66173.42),(47 65598.805),(48 66146.08),(49 66570.125),(50 67123.375),(51 66912.4),(52 66535.484),(53 66199.48),(54 66806.99),(55 67564.94),(56 67926.01),(57 67763.59),(58 67448.34),(59 67438.49),(60 66588.945),(61 66579.26),(62 66843.53),(63 67487.42),(64 68520.7),(65 69540.32),(66 70086.28),(67 70587.14),(68 71175.164),(69 72187.414),(70 72739.586),(71 72701.67),(72 72579.484),(73 72286.336),(74 72765.41),(75 73225.586),(76 73319.055),(77 73177.17),(78 73628.12),(79 74604.4),
(1 8157.1235),(2 20086.646),(3 29697.727),(4 35583.59),(5 39938.496),(6 43695.17),(7 47350.094),(8 50332.797),(9 52475.07),(10 54058.227),(11 55652.29),(12 57439.07),(13 58608.402),(14 59290.266),(15 60206.42),(16 60955.902),(17 62007.223),(18 63263.324),(19 64922.824),(20 66640.1),(21 67760.59),(22 68567.25),(23 68898.555),(24 68897.7),(25 69002.53),(26 69738.52),(27 70334.26),(28 70722.86),(29 70712.7),(30 71087.52),(31 71774.445),(32 72124.195),(33 71713.68),(34 71375.07),(35 71630.43),(36 71314.766),(37 71215.06),(38 71638.97),(39 71198.195),(40 70408.05),(41 70249.73),(42 70815.66),(43 71481.06),(44 71898.95),(45 71526.49),(46 71581.84),(47 71123.92),(48 70828.38),(49 70606.37),(50 70542.9),(51 70703.1),(52 70852.52),(53 70525.48),(54 70337.95),(55 70396.67),(56 70554.1),(57 71182.42),(58 71496.88),(59 71475.086),(60 71538.26),(61 71287.05),(62 71478.625),(63 71573.02),(64 72390.82),(65 73037.14),(66 73310.555),(67 73678.88),(68 73944.67),(69 74544.34),(70 75240.35),(71 76368.58),(72 76893.11),(73 76536.836),(74 76732.305),(75 77037.484),(76 76587.48),(77 76279.58),(78 76404.71),(79 77364.56),
(1 7561.062),(2 18319.9),(3 26704.193),(4 32187.271),(5 36494.17),(6 40152.316),(7 43278.547),(8 45842.07),(9 47772.98),(10 49069.258),(11 50642.79),(12 52542.305),(13 54360.305),(14 55753.953),(15 57103.965),(16 58310.2),(17 59146.48),(18 59813.676),(19 60361.82),(20 61311.9),(21 62239.594),(22 63423.56),(23 64002.47),(24 64712.145),(25 64963.56),(26 64917.902),(27 64920.027),(28 64811.227),(29 64330.34),(30 65076.688),(31 65660.2),(32 65931.5),(33 66310.17),(34 66870.23),(35 67507.73),(36 67168.96),(37 67162.055),(38 67723.51),(39 68317.33),(40 69243.97),(41 70009.266),(42 70500.12),(43 70643.79),(44 70677.055),(45 70668.914),(46 70497.586),(47 70238.13),(48 70367.48),(49 70326.51),(50 70210.875),(51 70257.01),(52 70265.88),(53 70468.086),(54 71008.016),(55 71417.09),(56 71845.94),(57 72517.375),(58 72818.89),(59 72674.664),(60 72229.73),(61 71272.19),(62 70996.83),(63 70941.836),(64 70695.945),(65 70563.96),(66 70560.07),(67 70708.65),(68 70932.05),(69 71165.43),(70 71403.555),(71 71951.85),(72 72460.13),(73 72686.49),(74 72381.01),(75 72348.734),(76 72330.09),(77 72057.97),(78 71983.06),(79 72099.88),
(1 7519.708),(2 18192.344),(3 26597.111),(4 31694.783),(5 35882.887),(6 39773.95),(7 43051.46),(8 45814.53),(9 47858.418),(10 49782.36),(11 51355.547),(12 52518.105),(13 53914.508),(14 55091.188),(15 56174.086),(16 56686.527),(17 57500.188),(18 58449.043),(19 59579.773),(20 60853.47),(21 62024.664),(22 62527.234),(23 63010.043),(24 63286.684),(25 64257.992),(26 64998.86),(27 64877.88),(28 64713.527),(29 65045.22),(30 65047.14),(31 64679.887),(32 64884.797),(33 65361.113),(34 65644.555),(35 65724.516),(36 65309.793),(37 64795.555),(38 64798.543),(39 65640.414),(40 65811.09),(41 65970.26),(42 66469.914),(43 66809.46),(44 67116.305),(45 67449.87),(46 67722.484),(47 67708.9),(48 68003.99),(49 68796.65),(50 69429.04),(51 70229.72),(52 70776.82),(53 71049.13),(54 71005.766),(55 70720.26),(56 71236.9),(57 72003.64),(58 72513.09),(59 72755.65),(60 72447.17),(61 72221.61),(62 71978.01),(63 72049.22),(64 72526.79),(65 73227.445),(66 73449.81),(67 73079.61),(68 72538.59),(69 71996.65),(70 71335.14),(71 70648.44),(72 70335.04),(73 70030.79),(74 69987.234),(75 70231.76),(76 70166.266),(77 69658.664),(78 69420.95),(79 69161.83),
(1 7322.9624),(2 17705.705),(3 25737.88),(4 30380.336),(5 34417.926),(6 37883.152),(7 41306.223),(8 44548.664),(9 46481.848),(10 48179.47),(11 50309.242),(12 52523.004),(13 53658.7),(14 54981.45),(15 56300.836),(16 56915.11),(17 57658.977),(18 58139.39),(19 59192.336),(20 60694.605),(21 62095.074),(22 63180.418),(23 64039.96),(24 64500.355),(25 65140.582),(26 65813.195),(27 66046.41),(28 66660.46),(29 67091.12),(30 67295.2),(31 67779.77),(32 68841.96),(33 69709.66),(34 70557.47),(35 71092.2),(36 71050.086),(37 71067.875),(38 70588.47),(39 70185.586),(40 69739.22),(41 69249.21),(42 68868.2),(43 68770.016),(44 68297.875),(45 67997.625),(46 67507.25),(47 67147.07),(48 67075.17),(49 67298.16),(50 67141.81),(51 67431.2),(52 68078.57),(53 68346.5),(54 68925.73),(55 68724.445),(56 68591.484),(57 68571.625),(58 68160.93),(59 68055.66),(60 67851.37),(61 68233.01),(62 68810.09),(63 69200.01),(64 69166.86),(65 69508.41),(66 69971.78),(67 70387.84),(68 70293.94),(69 70150.52),(70 70126.86),(71 70258.38),(72 70478.234),(73 70490.984),(74 70649.94),(75 70838.305),(76 70505.25),(77 70348.49),(78 69956.26),(79 70135.96),
(1 7145.211),(2 17182.96),(3 24733.363),(4 29248.16),(5 32775.82),(6 36059.395),(7 38977.914),(8 41428.89),(9 43089.887),(10 44208.645),(11 45244.64),(12 46234.56),(13 47287.56),(14 48418.05),(15 49729.14),(16 50948.02),(17 52030.395),(18 52987.094),(19 53934.754),(20 55058.125),(21 56077.8),(22 56717.625),(23 57097.09),(24 57148.004),(25 57370.11),(26 57644.656),(27 57666.95),(28 57998.44),(29 58371.594),(30 58330.668),(31 58612.477),(32 59519.473),(33 59705.688),(34 59753.883),(35 59529.543),(36 59551.008),(37 59202.645),(38 59049.527),(39 59506.375),(40 59534.914),(41 59363.8),(42 59516.637),(43 59783.645),(44 59991.914),(45 60343.914),(46 60161.51),(47 59756.555),(48 59881.17),(49 60290.555),(50 60386.082),(51 60697.535),(52 61310.055),(53 61626.938),(54 61725.19),(55 61507.07),(56 61949.113),(57 62795.734),(58 63111.582),(59 63220.02),(60 62898.77),(61 62795.547),(62 63322.223),(63 64501.04),(64 65377.508),(65 65741.35),(66 66370.54),(67 66592.04),(68 67006.73),(69 67222.26),(70 66919.875),(71 67025.555),(72 67039.914),(73 67334.71),(74 67297.8),(75 67465.48),(76 67514.79),(77 67742.99),(78 67786.38),(79 68154.93),
