1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 70975.15),(2 223554.67),(3 440536),(4 692990.44),(5 982536.8),(6 1286102.9),(7 1596502.6),(8 1893981.6),(9 2140689.5),(10 2378770.3),(11 2658207.8),(12 2940128),(13 3243970.8),(14 3594105.3),(15 3947717.8),(16 4333174),(17 4727620),(18 5159465),(19 5567538),(20 6021074.5),(21 6442915.5),(22 6870345.5),(23 7281324),(24 7669944),(25 8187238.5),(26 8637676),(27 9102051),(28 9611809),(29 10059185),(30 10547430),(31 11050407),(32 11540931),(33 11992876),(34 12432843),(35 12780568),(36 13187699),(37 13522301),(38 13800200),(39 13977712),(40 14171347),(41 14291421),(42 14469448),(43 14621256),(44 14826277),(45 15012043),(46 15207432),(47 15454704),(48 15699285),(49 15776795),(50 15897829),(51 15868308),(52 15812751),(53 15707023),(54 15634709),(55 15563667),(56 15473220),(57 15434701),(58 15254421),(59 15087695),(60 15061149),(61 15055271),(62 15116203),(63 15144837),(64 15229203),(65 15276720),(66 15411079),(67 15567953),(68 15820963),(69 16122405),(70 16458775),(71 16923116),(72 17452706),(73 18067502),(74 18814046),(75 19631930),(76 20558102),(77 21557230),(78 22616920),(79 23773334),
(1 59582.25),(2 193189.17),(3 389338.53),(4 635359.7),(5 931446.6),(6 1248219.3),(7 1583821),(8 1925166.3),(9 2251896),(10 2590840.8),(11 2941042),(12 3304451.5),(13 3675337.5),(14 4065444),(15 4448959),(16 4842147.5),(17 5224413),(18 5599741),(19 5971088),(20 6368768.5),(21 6738774.5),(22 7095533),(23 7428409),(24 7729548),(25 8081755),(26 8367769.5),(27 8642678),(28 8929022),(29 9228074),(30 9507051),(31 9809422),(32 10124514),(33 10448745),(34 10739569),(35 11028245),(36 11286929),(37 11508454),(38 11707979),(39 11827936),(40 11969342),(41 12028986),(42 12088770),(43 12169483),(44 12233714),(45 12283146),(46 12406866),(47 12528941),(48 12683824),(49 12800352),(50 13004544),(51 13190410),(52 13412911),(53 13674893),(54 13992192),(55 14357466),(56 14673616),(57 15042357),(58 15376454),(59 15733827),(60 16165550),(61 16637946),(62 17081772),(63 17618500),(64 18157808),(65 18719824),(66 19339914),(67 19970928),(68 20708792),(69 21489460),(70 22288700),(71 23158706),(72 23973532),(73 24865034),(74 25631170),(75 26531104),(76 27352532),(77 28248012),(78 29195226),(79 30040406),
(1 56634.49),(2 192486.86),(3 400350.6),(4 668422.3),(5 982795),(6 1303944.8),(7 1643636.9),(8 1968807.6),(9 2263809.8),(10 2539687.8),(11 2827960.8),(12 3118494.8),(13 3405286.3),(14 3688120),(15 3954249.8),(16 4202421.5),(17 4455227.5),(18 4688922.5),(19 4943502.5),(20 5197877),(21 5415434.5),(22 5635694.5),(23 5853210.5),(24 6051578),(25 6251110),(26 6424428),(27 6604382.5),(28 6775356),(29 6954900.5),(30 7151637.5),(31 7354664),(32 7539934.5),(33 7756510.5),(34 7955693.5),(35 8164997.5),(36 8368354.5),(37 8558099),(38 8737463),(39 8978848),(40 9233438),(41 9436391),(42 9637440),(43 9820749),(44 10014816),(45 10240905),(46 10438391),(47 10611797),(48 10783797),(49 10924127),(50 11106785),(51 11336976),(52 11605753),(53 11968444),(54 12330896),(55 12812771),(56 13296155),(57 13805521),(58 14320667),(59 14882425),(60 15451979),(61 16031479),(62 16585875),(63 17226472),(64 17874898),(65 18520752),(66 19218124),(67 19907736),(68 20607358),(69 21311410),(70 22059368),(71 22779328),(72 23505808),(73 24219304),(74 24871270),(75 25527872),(76 26212082),(77 26815074),(78 27457310),(79 28082848),
(1 49060.87),(2 156346.03),(3 311230.06),(4 487975.78),(5 687874.4),(6 903549.44),(7 1127860.9),(8 1350469.6),(9 1557238.3),(10 1769496.9),(11 1990760),(12 2220122.8),(13 2458956),(14 2710155),(15 2964129),(16 3239043.3),(17 3491526.8),(18 3747445.8),(19 4012115.5),(20 4287052),(21 4588207.5),(22 4906803.5),(23 5219616),(24 5551842),(25 5918074),(26 6263485.5),(27 6597647.5),(28 6934906),(29 7290427.5),(30 7636350),(31 8022373.5),(32 8376661.5),(33 8763774),(34 9147051),(35 9521556),(36 9881623),(37 10234009),(38 10635787),(39 11089655),(40 11552082),(41 11948204),(42 12320126),(43 12671444),(44 13009854),(45 13348609),(46 13638382),(47 13925541),(48 14240405),(49 14527346),(50 14841296),(51 15148501),(52 15473344),(53 15835230),(54 16183915),(55 16603468),(56 17012400),(57 17454734),(58 17869552),(59 18288626),(60 18737994),(61 19183310),(62 19646488),(63 20152824),(64 20723318),(65 21298808),(66 21924120),(67 22542024),(68 23148050),(69 23751368),(70 24274318),(71 24791688),(72 25324840),(73 25841192),(74 26348680),(75 26974728),(76 27488360),(77 27950744),(78 28441140),(79 28969694),
(1 51771.816),(2 176511.36),(3 361096.72),(4 578022.2),(5 840069.44),(6 1126378.5),(7 1426968.1),(8 1717261.5),(9 1996780.8),(10 2284019.8),(11 2596336.8),(12 2905094.3),(13 3232141.8),(14 3570550.5),(15 3894555.8),(16 4248451),(17 4594144.5),(18 4909818.5),(19 5254258),(20 5579959.5),(21 5934233.5),(22 6284646.5),(23 6640855.5),(24 7007209.5),(25 7391301),(26 7733350.5),(27 8100872.5),(28 8441650),(29 8791814),(30 9175639),(31 9566604),(32 9943124),(33 10361573),(34 10738221),(35 11126953),(36 11509051),(37 11924824),(38 12334641),(39 12820116),(40 13299540),(41 13727212),(42 14119761),(43 14531376),(44 14910944),(45 15351997),(46 15745638),(47 16151107),(48 16562691),(49 16985864),(50 17469446),(51 17900502),(52 18334898),(53 18807976),(54 19301464),(55 19792460),(56 20326248),(57 20871598),(58 21369146),(59 21874686),(60 22411566),(61 22916914),(62 23471010),(63 24027008),(64 24694312),(65 25397656),(66 26079546),(67 26779462),(68 27491956),(69 28212664),(70 28901824),(71 29573818),(72 30241420),(73 30883840),(74 31595072),(75 32410626),(76 33124032),(77 33770716),(78 34401868),(79 35048504),
(1 50232.38),(2 167575.88),(3 349794.34),(4 581947.8),(5 886109),(6 1230891.8),(7 1626755.6),(8 2024629),(9 2429470.5),(10 2860939.3),(11 3331389.3),(12 3793886.5),(13 4309813),(14 4854013),(15 5402354.5),(16 6006011),(17 6580210),(18 7178795),(19 7785063),(20 8384226.5),(21 8962461),(22 9541499),(23 10119498),(24 10727410),(25 11394442),(26 11968350),(27 12513828),(28 13038578),(29 13552045),(30 14089938),(31 14564067),(32 15065034),(33 15552600),(34 15992064),(35 16390787),(36 16756264),(37 17075328),(38 17366292),(39 17628748),(40 17876704),(41 18054582),(42 18196478),(43 18328502),(44 18441268),(45 18564454),(46 18611244),(47 18651302),(48 18726932),(49 18838470),(50 18968436),(51 18999284),(52 19044076),(53 19059404),(54 19088340),(55 19134294),(56 19245534),(57 19320668),(58 19437606),(59 19565292),(60 19751202),(61 19896262),(62 20093850),(63 20321636),(64 20502890),(65 20669570),(66 20786246),(67 20871062),(68 20956218),(69 21019214),(70 21102688),(71 21167698),(72 21241194),(73 21311444),(74 21408212),(75 21536308),(76 21660796),(77 21758228),(78 21887798),(79 22058756),
(1 47546.055),(2 161351.39),(3 327935.13),(4 540291.6),(5 795290.9),(6 1077349.4),(7 1398329.8),(8 1707407.3),(9 2017180.3),(10 2329167.8),(11 2659974.8),(12 2979286.8),(13 3319196),(14 3659425.8),(15 3992007),(16 4350643.5),(17 4697670),(18 5036964),(19 5396507),(20 5773508.5),(21 6154697),(22 6548360),(23 6940912),(24 7324120),(25 7697060.5),(26 8034946),(27 8372908.5),(28 8702301),(29 8989478),(30 9312697),(31 9617211),(32 9949042),(33 10298705),(34 10606160),(35 10932459),(36 11240165),(37 11528321),(38 11812734),(39 12129642),(40 12441872),(41 12738577),(42 13033423),(43 13290718),(44 13551978),(45 13785596),(46 13994969),(47 14177847),(48 14358727),(49 14603739),(50 14834287),(51 15041472),(52 15279244),(53 15516082),(54 15757550),(55 15999510),(56 16272796),(57 16501458),(58 16723967),(59 16927576),(60 17096230),(61 17243710),(62 17368598),(63 17478434),(64 17580038),(65 17673350),(66 17732376),(67 17758724),(68 17782484),(69 17838778),(70 17872444),(71 17926654),(72 17962066),(73 17940246),(74 17922238),(75 17910306),(76 17896708),(77 17856138),(78 17875552),(79 17968846),
(1 56044.11),(2 194421.67),(3 396210.2),(4 656038.2),(5 968520.8),(6 1314611.5),(7 1691871.1),(8 2072256.5),(9 2464058.5),(10 2847480),(11 3240776),(12 3634593.3),(13 4039323.3),(14 4432177.5),(15 4812233.5),(16 5191696),(17 5571398.5),(18 5925326.5),(19 6271058.5),(20 6602974),(21 6915116.5),(22 7240927),(23 7565568),(24 7872257.5),(25 8189736.5),(26 8453951),(27 8755683),(28 9058656),(29 9350743),(30 9661749),(31 9941739),(32 10260479),(33 10540556),(34 10780985),(35 10990573),(36 11148838),(37 11295886),(38 11395061),(39 11486433),(40 11603347),(41 11690716),(42 11775061),(43 11825247),(44 11894547),(45 11965444),(46 12010838),(47 12050965),(48 12101917),(49 12207241),(50 12313186),(51 12416240),(52 12539273),(53 12640226),(54 12785084),(55 12928665),(56 13123620),(57 13317045),(58 13498130),(59 13701415),(60 13899145),(61 14047266),(62 14184070),(63 14305634),(64 14367612),(65 14361137),(66 14288735),(67 14168061),(68 14040337),(69 13866402),(70 13680773),(71 13481392),(72 13244993),(73 12992826),(74 12774819),(75 12595145),(76 12414868),(77 12244663),(78 12083895),(79 11955014),
(1 52413.14),(2 180788.88),(3 369105.03),(4 604470.7),(5 875698.56),(6 1177246),(7 1502133),(8 1825780.8),(9 2148436),(10 2457382.3),(11 2777435.8),(12 3087439.3),(13 3402437.8),(14 3710415.5),(15 4028973.3),(16 4354606),(17 4679234.5),(18 5000302),(19 5327169),(20 5637101.5),(21 5964653),(22 6266377.5),(23 6575259.5),(24 6871739.5),(25 7184357.5),(26 7465854.5),(27 7758410.5),(28 8044788),(29 8305894.5),(30 8561080),(31 8812776),(32 9053658),(33 9275623),(34 9479063),(35 9649140),(36 9797360),(37 9916043),(38 10020168),(39 10097483),(40 10191807),(41 10255111),(42 10312606),(43 10343846),(44 10381715),(45 10433453),(46 10471833),(47 10529233),(48 10592676),(49 10727787),(50 10862281),(51 11010098),(52 11172710),(53 11353841),(54 11586825),(55 11810713),(56 12047023),(57 12269560),(58 12514151),(59 12745973),(60 12921860),(61 13070361),(62 13175291),(63 13301223),(64 13412520),(65 13548400),(66 13634392),(67 13669463),(68 13732273),(69 13719422),(70 13664915),(71 13572638),(72 13444359),(73 13284894),(74 13141747),(75 12982808),(76 12843576),(77 12708452),(78 12591846),(79 12493580),
(1 53133.203),(2 180490.33),(3 363545.56),(4 598754.7),(5 874986.1),(6 1182928.3),(7 1520668.6),(8 1865535.1),(9 2219557.3),(10 2580193.8),(11 2958302.5),(12 3327809.8),(13 3714393.8),(14 4116963),(15 4537029.5),(16 4950490.5),(17 5354664.5),(18 5769521.5),(19 6177114.5),(20 6573565),(21 6948991.5),(22 7317087),(23 7666431),(24 8004681),(25 8342492.5),(26 8598710),(27 8826428),(28 9018826),(29 9190401),(30 9292540),(31 9407660),(32 9495159),(33 9561806),(34 9601206),(35 9600092),(36 9596651),(37 9602484),(38 9601394),(39 9622000),(40 9644249),(41 9644628),(42 9657232),(43 9659369),(44 9673539),(45 9716075),(46 9786259),(47 9895976),(48 10026892),(49 10202674),(50 10386155),(51 10624501),(52 10838374),(53 11059657),(54 11304590),(55 11514386),(56 11707016),(57 11885375),(58 12041349),(59 12167366),(60 12267193),(61 12332999),(62 12369996),(63 12397909),(64 12393500),(65 12421219),(66 12424302),(67 12394592),(68 12359373),(69 12297638),(70 12232632),(71 12107551),(72 12008869),(73 11886088),(74 11776377),(75 11672924),(76 11564219),(77 11449852),(78 11354500),(79 11284331),
(1 61274.473),(2 218103.23),(3 447704.4),(4 734002.94),(5 1072518.3),(6 1450785.8),(7 1848835.8),(8 2250675.8),(9 2669772.5),(10 3100333.8),(11 3540431.5),(12 3970846.5),(13 4409200),(14 4863153),(15 5317233),(16 5778192.5),(17 6208577.5),(18 6634705),(19 7036813),(20 7426695.5),(21 7796288),(22 8159194.5),(23 8517030),(24 8868507),(25 9268252),(26 9552027),(27 9811443),(28 10027807),(29 10237294),(30 10395838),(31 10537139),(32 10637960),(33 10716815),(34 10785017),(35 10809608),(36 10811639),(37 10797540),(38 10785374),(39 10793030),(40 10798410),(41 10806669),(42 10818835),(43 10836529),(44 10863121),(45 10878301),(46 10861791),(47 10855181),(48 10826838),(49 10800390),(50 10763676),(51 10712881),(52 10650002),(53 10569536),(54 10499359),(55 10417864),(56 10323486),(57 10261244),(58 10198505),(59 10126200),(60 10046248),(61 9948246),(62 9862503),(63 9781107),(64 9699298),(65 9610752),(66 9519220),(67 9425682),(68 9287296),(69 9180174),(70 9073457),(71 8974507),(72 8883110),(73 8779283),(74 8677916),(75 8592253),(76 8480644),(77 8357470),(78 8236821.5),(79 8107407),
