1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 24571.797),(2 59384.727),(3 88658.12),(4 108399.13),(5 118414.41),(6 123425.336),(7 127914.88),(8 134051.25),(9 139714.13),(10 143149.11),(11 146315.36),(12 150999.83),(13 155373.11),(14 158588.5),(15 162722.23),(16 166443.81),(17 169084.13),(18 174116.88),(19 177963.14),(20 180791.52),(21 184793.73),(22 188058.27),(23 191347.56),(24 191678.22),(25 193489.05),(26 191645.48),(27 190796.1),(28 189721.13),(29 189609.3),(30 190223.3),(31 189436.28),(32 188824.03),(33 186415.8),(34 187394.9),(35 187776.53),(36 188535.3),(37 183440.2),(38 182328.1),(39 179247.13),(40 174539.55),(41 172884.48),(42 171775.89),(43 170258.06),(44 171431.44),(45 172400.7),(46 173620.73),(47 171887.13),(48 172009.7),(49 169830.5),(50 167661.3),(51 165418),(52 165834.3),(53 166355),(54 164695.64),(55 163343.25),(56 162249.77),(57 163122.97),(58 163414.95),(59 164915.58),(60 162760.67),(61 159372.33),(62 160766.1),(63 160152.1),(64 161260.52),(65 161228.31),(66 159579.83),(67 157261.86),(68 161896.81),(69 166870.77),(70 170175.72),(71 170943.06),(72 169364.73),(73 168792.78),(74 169747.73),(75 170430.61),(76 171074.47),(77 168066.56),(78 165248.1),(79 164681.05),
(1 23274.123),(2 54856.53),(3 79609.76),(4 97325.07),(5 106188.41),(6 111581.32),(7 115111.555),(8 119822.91),(9 124951.164),(10 128428.43),(11 130676.98),(12 134374.86),(13 139011.78),(14 142842),(15 148167.38),(16 150475.4),(17 150982.5),(18 154408.4),(19 157967),(20 160808.83),(21 162601.13),(22 164277.23),(23 166025.61),(24 163167.36),(25 162192.6),(26 160637.13),(27 159957.7),(28 161830.45),(29 164599.88),(30 165737.7),(31 165315.4),(32 166712.2),(33 168001.27),(34 169984.27),(35 170960.69),(36 171976.56),(37 171446.94),(38 172587.89),(39 170872.31),(40 165566.56),(41 163288.23),(42 164502.19),(43 162573.16),(44 162303.34),(45 162826.17),(46 163829.27),(47 162715.8),(48 165297.38),(49 165707.22),(50 166089.88),(51 164158.58),(52 163220.89),(53 163812.61),(54 164225.5),(55 163329.67),(56 160901.78),(57 162171.9),(58 162193.31),(59 164400.55),(60 164263.39),(61 161697.06),(62 160642.55),(63 158484.17),(64 158533.05),(65 158267.72),(66 159005.06),(67 157557.06),(68 161742.58),(69 162196.3),(70 163213.2),(71 161559.81),(72 157858.67),(73 154741.53),(74 154768.89),(75 155515.8),(76 155978.67),(77 154567.19),(78 151343.17),(79 150722.94),
(1 23389.443),(2 55321.25),(3 79819.44),(4 97164.586),(5 107059.5),(6 113948.23),(7 120069.4),(8 124240.77),(9 129107.336),(10 132193.75),(11 134509.69),(12 136108.75),(13 138032.3),(14 141112.67),(15 145219.61),(16 147902.1),(17 150215.6),(18 155622.7),(19 159646.86),(20 162572.89),(21 164222.1),(22 165486.13),(23 166322.27),(24 164753.19),(25 164227.11),(26 163917.36),(27 164936.86),(28 166625.58),(29 168519.92),(30 171353.3),(31 172222.48),(32 173718.8),(33 173062.13),(34 173315.22),(35 172301.64),(36 171382.05),(37 169194.97),(38 169536.9),(39 167443.89),(40 165563.42),(41 165890.77),(42 167274.27),(43 166978.48),(44 164424.25),(45 163036.69),(46 162254.42),(47 158610.84),(48 156964.67),(49 154431.81),(50 151983.56),(51 149865.47),(52 150581.02),(53 150550.6),(54 151413.28),(55 153065.94),(56 152595.63),(57 152556.36),(58 151974.4),(59 154953.1),(60 156799.31),(61 156656.17),(62 157929.9),(63 157929.7),(64 158577.78),(65 158993.44),(66 159700.38),(67 160147.86),(68 163056.08),(69 164307.81),(70 166985.25),(71 164624.4),(72 161388.2),(73 159055.42),(74 158877.2),(75 159959.9),(76 158993.58),(77 156403.28),(78 151410.73),(79 149530.73),
(1 23636.328),(2 55526.67),(3 80442.07),(4 97800.66),(5 108295.97),(6 117096.73),(7 123188.67),(8 128304.3),(9 131509.1),(10 134183.31),(11 137096.2),(12 140163.38),(13 144175.3),(14 147135.03),(15 150865.58),(16 152770.58),(17 152734.81),(18 154625.4),(19 155276.27),(20 155697.5),(21 158376.84),(22 161520.6),(23 163576.72),(24 164221.25),(25 165536.36),(26 166725.88),(27 167396.64),(28 168535.03),(29 167404.33),(30 165813.31),(31 164223.88),(32 163876.89),(33 162456.64),(34 162538.95),(35 162139.03),(36 161518.66),(37 160551.5),(38 162520.5),(39 160648.64),(40 157536.34),(41 156297.8),(42 156005.44),(43 154865.55),(44 153099.4),(45 151449.4),(46 151016.25),(47 152125.63),(48 154153.34),(49 154158.81),(50 152379.53),(51 150586.39),(52 149996.08),(53 149800.4),(54 149683.22),(55 149915.27),(56 149014.86),(57 150514.17),(58 149350.53),(59 148315.16),(60 148568.8),(61 147210.22),(62 148525.42),(63 147382.42),(64 146564.61),(65 144350.4),(66 144222.8),(67 145572.67),(68 148257.98),(69 148584.1),(70 151694.16),(71 153626.17),(72 151932.78),(73 150548.81),(74 151500.66),(75 152405.73),(76 152257.94),(77 151458.75),(78 148519.22),(79 147547.98),
(1 23088.025),(2 54669.277),(3 79910.35),(4 96629.43),(5 105383.22),(6 112197.34),(7 116782.98),(8 121315.79),(9 125665.24),(10 129970.12),(11 135101.03),(12 139451.33),(13 142185.1),(14 143952.02),(15 147266.25),(16 146466.36),(17 146142.56),(18 147813.86),(19 148787.9),(20 148517.75),(21 149030.44),(22 150770.61),(23 150515.39),(24 148282.77),(25 147342.44),(26 147960.34),(27 148650.89),(28 148628.45),(29 147953.98),(30 147620.53),(31 149150.84),(32 153328.17),(33 154678.44),(34 156191.38),(35 157443.97),(36 158293.44),(37 156543.03),(38 158419.86),(39 158950.69),(40 159299.8),(41 159116.42),(42 158111.63),(43 155307.53),(44 153530.6),(45 153829.84),(46 155250.2),(47 154391),(48 154462.03),(49 150776.4),(50 149563.55),(51 147762.27),(52 147462.34),(53 148153.56),(54 147422.69),(55 146911.67),(56 146153.63),(57 145082.08),(58 141420.13),(59 141835.66),(60 141643.2),(61 141368.83),(62 143381.3),(63 141583.31),(64 141787.94),(65 141334.47),(66 139699.23),(67 137605.28),(68 141810.42),(69 143018.2),(70 145504.84),(71 146078.92),(72 145116.66),(73 143897.39),(74 144681.88),(75 145449.34),(76 145140.28),(77 143811.88),(78 142555.45),(79 142447.52),
(1 22638.129),(2 53624.805),(3 76590.02),(4 92352.76),(5 99589.25),(6 104477.13),(7 106981.7),(8 110310.8),(9 114595.74),(10 118500.79),(11 121924.4),(12 126804),(13 130580.37),(14 132864.72),(15 134732.36),(16 136247.84),(17 137680.36),(18 140938.42),(19 142084.42),(20 143100.39),(21 144827.92),(22 147066.52),(23 148414.3),(24 147645.97),(25 148082),(26 148707.34),(27 147967.61),(28 147321.31),(29 147975.81),(30 148914.53),(31 148263.89),(32 148585.77),(33 146506.67),(34 146504.95),(35 146614.28),(36 148017.39),(37 148950.1),(38 150861.39),(39 149892.45),(40 148683.25),(41 148410.81),(42 147523.14),(43 146516.86),(44 144844.88),(45 144443.75),(46 143984.45),(47 143112.31),(48 143734.92),(49 141415.6),(50 140181.3),(51 138823.8),(52 137330.84),(53 135119.33),(54 132219.58),(55 132399.72),(56 133566.69),(57 135308.89),(58 134563.08),(59 135309.02),(60 135061.38),(61 134650.39),(62 137034.47),(63 137475.08),(64 137087.4),(65 137315.52),(66 138996.9),(67 139632.2),(68 143631.4),(69 143787),(70 145558.02),(71 143334.86),(72 139240.44),(73 137173.47),(74 137764.81),(75 139693.36),(76 140871.55),(77 140279.17),(78 137147.6),(79 135477.2),
(1 22178.004),(2 52447.098),(3 75200.34),(4 91374.36),(5 100466.32),(6 106162.62),(7 110017.53),(8 113647.44),(9 118110.45),(10 120629.914),(11 122618.914),(12 125706.055),(13 127782.15),(14 129996.36),(15 132717.11),(16 135349.81),(17 138381.2),(18 143764.39),(19 146352.63),(20 147962),(21 148877.86),(22 150620.55),(23 152160.55),(24 151756.64),(25 153129.4),(26 153754.39),(27 151217.38),(28 148998.4),(29 146846.64),(30 145386.11),(31 145744.77),(32 148043.88),(33 148180.22),(34 147775.34),(35 146716.3),(36 146825.4),(37 145041.64),(38 146930.1),(39 147065.83),(40 145695.47),(41 145251.86),(42 144661.11),(43 143363.47),(44 142600.3),(45 142112.61),(46 142592.94),(47 141475.47),(48 139101.16),(49 137225.47),(50 136909.75),(51 135585.3),(52 134667),(53 134300.75),(54 132047.42),(55 130488.164),(56 131814.72),(57 132453.02),(58 129572.47),(59 127730.59),(60 125609.945),(61 124172.59),(62 126456.43),(63 127498.44),(64 127902.14),(65 128317.15),(66 129769.38),(67 130023.73),(68 132343.28),(69 132768.94),(70 135284.92),(71 135194.53),(72 134840.28),(73 134520.22),(74 134050.2),(75 135025.08),(76 135957.31),(77 134293.38),(78 131274.92),(79 129867.67),
(1 21581.568),(2 49625.65),(3 71519.43),(4 88149.01),(5 96993.43),(6 102530.02),(7 105941.914),(8 109467.3),(9 112098.97),(10 113354.586),(11 115700.86),(12 119793.305),(13 123963.56),(14 126421.52),(15 129594.47),(16 130755.64),(17 132041.69),(18 134742.88),(19 138718.31),(20 140779.08),(21 140345.23),(22 141632.52),(23 142121.7),(24 140332),(25 140705.11),(26 141155.39),(27 141333.98),(28 142156.22),(29 142885.45),(30 142715.05),(31 142189.34),(32 143067.67),(33 142300.34),(34 142167.45),(35 141868.28),(36 141165.44),(37 139747.72),(38 141342.17),(39 139640.4),(40 137677.38),(41 138153.05),(42 138360.89),(43 136060.63),(44 135396.28),(45 135776.13),(46 134331),(47 130751.89),(48 128229.18),(49 126955.45),(50 128355.44),(51 126932.66),(52 126966.914),(53 126430.82),(54 124263.055),(55 123744.234),(56 123570.85),(57 125558.73),(58 124339.48),(59 126400.96),(60 127240.766),(61 124186.38),(62 127020.8),(63 127591.164),(64 128244.07),(65 126910.42),(66 124735.836),(67 123618.22),(68 126233.695),(69 128208.53),(70 130277.75),(71 128379.18),(72 127436.766),(73 127438.234),(74 128665.29),(75 129774.26),(76 127614.48),(77 126090.44),(78 122772.6),(79 122776.36),
(1 21380.262),(2 49326.35),(3 71686.81),(4 87055.305),(5 93867.125),(6 97443.14),(7 100662.02),(8 104225.8),(9 107877.81),(10 110106.4),(11 112999.04),(12 116793.36),(13 120786.445),(14 122478.31),(15 124042.02),(16 122568.88),(17 123596.27),(18 128455.32),(19 132073.42),(20 134518.48),(21 137128.38),(22 137543.78),(23 136721.28),(24 134394.31),(25 133956.28),(26 134192.1),(27 133788.3),(28 134073.8),(29 134440.16),(30 132785.69),(31 133272.77),(32 136104.16),(33 137868.55),(34 140275.63),(35 140710.64),(36 140529.06),(37 139195.67),(38 140722.52),(39 139156.27),(40 137508.56),(41 138525.08),(42 138635.83),(43 137047.42),(44 134784.16),(45 134295.48),(46 132628.27),(47 130266.99),(48 130724.77),(49 129681.29),(50 128818.29),(51 127878.625),(52 127270.22),(53 125525.96),(54 122594.664),(55 123789.36),(56 124225.06),(57 124729.01),(58 124563.05),(59 125980),(60 126085.45),(61 123940.84),(62 123308.33),(63 122054.445),(64 122488),(65 122704.734),(66 123203.43),(67 124753.63),(68 126988.83),(69 126682.664),(70 127986.88),(71 125965.02),(72 123804.13),(73 122568.555),(74 121882.64),(75 120715.336),(76 120185.305),(77 119804.15),(78 118105.03),(79 117779.63),
(1 19882.156),(2 45707.6),(3 65692.51),(4 79233.79),(5 87406.62),(6 93627.33),(7 98206.836),(8 103747.75),(9 107512.62),(10 108970),(11 109633.98),(12 111473.6),(13 113102.336),(14 112857.43),(15 114594.63),(16 115445.57),(17 117156.31),(18 120325.87),(19 121655.73),(20 122190.02),(21 123112.65),(22 124944.28),(23 126241.164),(24 126183.016),(25 126676.16),(26 127381.43),(27 127172.984),(28 126175.664),(29 126533.984),(30 127373.55),(31 127463.98),(32 128216.48),(33 127474.76),(34 128615.29),(35 130112.516),(36 130910.27),(37 130129.945),(38 130630.83),(39 131318.69),(40 130675.61),(41 131356.84),(42 132617.78),(43 132157.19),(44 130907.61),(45 130310.59),(46 130740.75),(47 128802.18),(48 128549.37),(49 124789.87),(50 122644.53),(51 119605.484),(52 118660.02),(53 118729.65),(54 116376.08),(55 116049.39),(56 115956.13),(57 116238.62),(58 115661.41),(59 116800.414),(60 117430.76),(61 116666.95),(62 119310.79),(63 118409.33),(64 117993.9),(65 117223.96),(66 117061.766),(67 117897.664),(68 121251.84),(69 122461.38),(70 122791.94),(71 120221.35),(72 118169.125),(73 116452.36),(74 115744.4),(75 117213.05),(76 118196.83),(77 118254.14),(78 115300.055),(79 116398.164),
(1 20068.295),(2 46396.69),(3 66586.8),(4 78503.03),(5 84924.875),(6 90620.95),(7 94751.45),(8 98109.945),(9 101882.195),(10 103782.72),(11 106423.59),(12 109539.01),(13 111389.234),(14 113050.86),(15 115032.36),(16 115226.34),(17 116887.22),(18 120031.016),(19 121957.586),(20 122054.836),(21 122411.305),(22 124090.58),(23 125268.52),(24 124198.03),(25 125861.18),(26 126722.37),(27 127606.33),(28 127812.85),(29 129387.36),(30 130970.27),(31 131570.25),(32 132831.22),(33 131839.83),(34 132428.31),(35 131171.72),(36 130174.58),(37 130085.09),(38 133859.25),(39 131323.2),(40 127463.4),(41 125591.945),(42 125899.71),(43 123647.48),(44 121248.25),(45 120848.875),(46 121268.09),(47 119702.91),(48 118773.195),(49 115660.836),(50 114861.4),(51 113995.03),(52 112915.85),(53 111627.63),(54 109671.68),(55 110934.55),(56 110972.94),(57 110874.36),(58 109522.805),(59 107462.64),(60 107255.4),(61 107935.53),(62 110589.42),(63 110222.51),(64 111015.21),(65 111236.22),(66 111906.03),(67 113053.41),(68 115949.695),(69 118157.805),(70 120219.984),(71 118886.75),(72 117660.78),(73 117219.836),(74 118514.164),(75 119379.89),(76 119769.11),(77 119596.71),(78 119184.97),(79 119691.91),
(1 19639.379),(2 45848.01),(3 65615.26),(4 79485.32),(5 88031.8),(6 94398.555),(7 97501.266),(8 101672.62),(9 105487.78),(10 107299.85),(11 109072.445),(12 112540.68),(13 115736.25),(14 116767.59),(15 118530.95),(16 118577.73),(17 119191.555),(18 123144.89),(19 124774.18),(20 124724.56),(21 124551.74),(22 125250.42),(23 127162.72),(24 126502.695),(25 128279.03),(26 128707.305),(27 126685.38),(28 124139.34),(29 123408.26),(30 122975.73),(31 122121.98),(32 122855.945),(33 122801.58),(34 124272.09),(35 125024.195),(36 126847.24),(37 128282.85),(38 130306.33),(39 129104.97),(40 125890.04),(41 123330.7),(42 121522.74),(43 118726.46),(44 118006.43),(45 119092.484),(46 118946.58),(47 118143.84),(48 118466.12),(49 117582.62),(50 115844.17),(51 115219.54),(52 115908.1),(53 114382.8),(54 112148.66),(55 112923.58),(56 112967.74),(57 112482.7),(58 110363.96),(59 109290.484),(60 108035.11),(61 106378.72),(62 108599.4),(63 108070.66),(64 109619.05),(65 111459.67),(66 113736.86),(67 114608.26),(68 117447.11),(69 118858.664),(70 119710.38),(71 117553.14),(72 115611.74),(73 114324.16),(74 114391.3),(75 114159.79),(76 112325.125),(77 111532.914),(78 109533.69),(79 109582.68),
(1 20697.283),(2 46816.94),(3 66540.625),(4 79618.99),(5 86586.42),(6 92755.82),(7 96553.86),(8 100642.17),(9 105221.14),(10 107809.53),(11 109863.59),(12 111790.48),(13 113837.89),(14 114097.445),(15 115772.72),(16 116694.25),(17 118817.67),(18 122975.61),(19 125629.71),(20 125352.984),(21 123961.625),(22 125540.44),(23 127667.34),(24 127476.305),(25 127557.61),(26 125701.77),(27 125797.94),(28 126492.29),(29 126032.62),(30 126374.64),(31 126357.055),(32 127342.63),(33 127408.85),(34 127102.83),(35 125767.22),(36 124534.92),(37 122756.91),(38 123091.16),(39 122622.945),(40 120868.54),(41 119542.88),(42 119337.05),(43 117014.92),(44 115934.02),(45 116220.016),(46 115535.195),(47 115329.836),(48 116782.64),(49 115683.42),(50 115313.586),(51 114257.27),(52 114082.08),(53 113503.21),(54 111939.586),(55 111507.484),(56 110315.21),(57 110825.28),(58 110885.55),(59 111678.086),(60 111601.734),(61 110462.47),(62 111531.695),(63 110992.5),(64 112038.18),(65 112345.27),(66 112524.78),(67 112699.55),(68 114878.766),(69 116582.04),(70 115915.96),(71 114764.41),(72 113738.21),(73 112550.41),(74 112677.5),(75 113582.63),(76 114152.97),(77 113194.336),(78 110598.82),(79 110596.05),
(1 19392.838),(2 43760.95),(3 61672.92),(4 73247.445),(5 80468.625),(6 86319.71),(7 90200.87),(8 93780.3),(9 95695.18),(10 97454.89),(11 99472.195),(12 100204.53),(13 102322.35),(14 104717.16),(15 107049.75),(16 107541.1),(17 108248.3),(18 111167.15),(19 114270.29),(20 115731.414),(21 116939.91),(22 118263.984),(23 119582.484),(24 117844.25),(25 117613.375),(26 117076.52),(27 118315.125),(28 119312.38),(29 119158.46),(30 119455.71),(31 120998.64),(32 122378.95),(33 122934.29),(34 122264.664),(35 121165.57),(36 121122.016),(37 119742.33),(38 119825.57),(39 119265.48),(40 115331.375),(41 113873.336),(42 113469.75),(43 111791.22),(44 110336.664),(45 110697.336),(46 110925.57),(47 109815.24),(48 109901.88),(49 108833.54),(50 107141.9),(51 106295.86),(52 105368.35),(53 105263.14),(54 105414.97),(55 105138.414),(56 105428.31),(57 105503.07),(58 104621.4),(59 104258.9),(60 102654.4),(61 102102.72),(62 102591.69),(63 102367.8),(64 102217.45),(65 101808.7),(66 102327.8),(67 102282.38),(68 104154.37),(69 105558.38),(70 107658.19),(71 108336.85),(72 107603.76),(73 108036.52),(74 108783.8),(75 109222.7),(76 108235.78),(77 106070.74),(78 102929.34),(79 100655.14),
(1 19410.389),(2 44116.316),(3 61086.023),(4 71308.22),(5 76317.516),(6 79869.78),(7 82796.734),(8 86712.375),(9 90610.25),(10 92343.4),(11 93650.41),(12 96203.01),(13 98129.23),(14 99866.63),(15 103704.984),(16 105454.8),(17 106109.65),(18 108878.27),(19 109445.33),(20 108947.33),(21 109781.02),(22 111117.51),(23 111518.22),(24 110116.09),(25 108945.22),(26 108004.4),(27 107981.25),(28 107933.82),(29 108485.53),(30 110004.04),(31 110994.18),(32 111144.305),(33 111087.25),(34 111929.375),(35 111729.6),(36 111156.484),(37 110200.77),(38 112217.516),(39 112540.516),(40 110102.54),(41 109191.04),(42 109259.88),(43 109148.64),(44 108304.086),(45 109168.266),(46 109858.94),(47 108805.195),(48 107236.266),(49 105738.914),(50 104338.05),(51 102194.95),(52 101903.51),(53 102428.95),(54 102091.484),(55 102694.98),(56 102794.07),(57 102740.35),(58 101046.82),(59 100911.18),(60 100319.53),(61 99000.18),(62 100343.57),(63 99552.91),(64 99639.805),(65 99548.83),(66 99287.22),(67 98890.59),(68 100926.77),(69 103199.95),(70 106619.65),(71 108532.06),(72 108902.71),(73 108320.07),(74 108735.54),(75 108999.95),(76 108361.29),(77 107118.78),(78 104220.664),(79 104084.555),
(1 18512.262),(2 42039.707),(3 58185.645),(4 67739.54),(5 72174.89),(6 76603.42),(7 81132.09),(8 84447.25),(9 86796.43),(10 87623.51),(11 89123.75),(12 91786.43),(13 95347.945),(14 97784.91),(15 100574.69),(16 101487.77),(17 101781.53),(18 102681.016),(19 103785.45),(20 104084.47),(21 105404.89),(22 106391.93),(23 107541.08),(24 106847.62),(25 106440.79),(26 106716.86),(27 106391.31),(28 105336.24),(29 103855.35),(30 103415.94),(31 103131.06),(32 101710.73),(33 98838.164),(34 98949.4),(35 100237.01),(36 100443.65),(37 100111.82),(38 99255.38),(39 98320.8),(40 96964.086),(41 96458.39),(42 97568.72),(43 97525.016),(44 96241.945),(45 96668.94),(46 97123.87),(47 97115.97),(48 99033.51),(49 98780.45),(50 98455.86),(51 98932.53),(52 100046.164),(53 98912.875),(54 96990.055),(55 96628.82),(56 96012.984),(57 96771.17),(58 94508.36),(59 93282.22),(60 91626.586),(61 91338.54),(62 92403.33),(63 93478.016),(64 94521.39),(65 96037.49),(66 97569),(67 97603.55),(68 100056.57),(69 99783.06),(70 101132.69),(71 101921.95),(72 103245.445),(73 103398.836),(74 104178.45),(75 103680.945),(76 103585.72),(77 102870.53),(78 100207.91),(79 100112.195),
(1 18339.826),(2 41784.38),(3 57807.75),(4 67044.414),(5 71689.21),(6 76436.41),(7 80036.266),(8 82936.33),(9 85316.08),(10 87220.16),(11 89243.97),(12 91211.73),(13 92370.02),(14 93502.766),(15 95320.23),(16 96399.89),(17 98176.6),(18 101016.16),(19 102182.914),(20 103025.7),(21 103907.59),(22 105889.43),(23 107514),(24 106630.58),(25 106017.42),(26 105984.92),(27 106009.375),(28 105948.72),(29 105897.26),(30 106782.96),(31 106799.24),(32 106844.92),(33 106517.35),(34 105977.77),(35 107611.195),(36 108874.48),(37 107424.76),(38 107979.73),(39 106718.51),(40 105207.7),(41 105212.086),(42 105549.29),(43 103569.42),(44 102366.71),(45 102145.82),(46 102080.69),(47 102181.1),(48 100860.97),(49 99820.19),(50 98564.875),(51 98493.57),(52 99765.72),(53 99241.95),(54 99093.88),(55 99246.6),(56 98126.664),(57 96830.94),(58 95875.336),(59 96433.59),(60 96184.09),(61 94521.66),(62 95813.54),(63 95722.18),(64 97373.63),(65 97958.62),(66 97666.14),(67 96977.13),(68 99217.04),(69 99454.99),(70 100217.06),(71 100265.91),(72 99428.33),(73 98414.34),(74 98976.65),(75 100201.28),(76 99917.984),(77 99975.06),(78 98873.875),(79 98552.94),
(1 17352.566),(2 38827.19),(3 53794.31),(4 62393.605),(5 67537.13),(6 71300.36),(7 74417.195),(8 77407.14),(9 80311.086),(10 81126.555),(11 81762.39),(12 83769.5),(13 85231),(14 86137.484),(15 89062.75),(16 91448.36),(17 94306.21),(18 96075.31),(19 96696.72),(20 95948.664),(21 95996.94),(22 97723.13),(23 98951.37),(24 97995.48),(25 98149.34),(26 98026.65),(27 97663.41),(28 96726.78),(29 96068.93),(30 96545.41),(31 96539.31),(32 96725.14),(33 96134.03),(34 97164.69),(35 98305.44),(36 99540.69),(37 99156.58),(38 99289.86),(39 98551.3),(40 96981.08),(41 95610.695),(42 96024.81),(43 94792.02),(44 93570.28),(45 93091.2),(46 93704.57),(47 92098.484),(48 92054.24),(49 91062.766),(50 91307.13),(51 90931.516),(52 89998.69),(53 89026.93),(54 87772.27),(55 87685.63),(56 88079.24),(57 88577.97),(58 88856.484),(59 89135.75),(60 88602.1),(61 86708.664),(62 87750.14),(63 87354.41),(64 87690.21),(65 87918.28),(66 88683),(67 88950.19),(68 90976.516),(69 91057.4),(70 90724.234),(71 90087.55),(72 89479.87),(73 87736.12),(74 87250.81),(75 87987.16),(76 88982.74),(77 89072.625),(78 87121.45),(79 85653.75),
(1 16841.248),(2 37027.957),(3 50965.137),(4 61200.547),(5 67427.76),(6 72133.24),(7 76234.16),(8 79686.125),(9 82484.086),(10 85248.39),(11 87562.08),(12 89871.81),(13 91167.16),(14 91494.95),(15 94261.59),(16 95875.414),(17 97992.48),(18 99240.88),(19 98761.41),(20 96635.44),(21 95852.21),(22 97746.35),(23 99498.15),(24 99223.69),(25 98796.97),(26 99036.586),(27 97648.125),(28 96467.36),(29 96993.586),(30 96972.7),(31 95697.164),(32 95437.234),(33 94990.39),(34 95604.47),(35 96374.02),(36 95603.96),(37 94600.234),(38 95661.03),(39 94779.26),(40 93304.24),(41 93190.02),(42 93478.97),(43 92039.77),(44 91498.945),(45 91263.625),(46 92089.76),(47 91546.44),(48 91763.914),(49 91430.88),(50 91163.41),(51 90289.08),(52 89719.73),(53 89805.06),(54 89935.71),(55 90336.88),(56 90684.03),(57 91774.79),(58 91752.44),(59 93162.266),(60 93161.195),(61 91791.09),(62 93305.91),(63 92122.25),(64 91632.195),(65 90608.18),(66 90446.8),(67 90554.484),(68 93032.24),(69 93983.48),(70 94860.19),(71 94335.2),(72 94509.64),(73 93317.734),(74 92543.586),(75 92930.58),(76 92613.03),(77 90847.27),(78 89182.21),(79 87544.445),
