1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 73473.38),(2 289803.84),(3 669959.2),(4 1229411.8),(5 1964020.6),(6 2838171.3),(7 3787889.3),(8 4849382.5),(9 6032494.5),(10 7379048),(11 8876078),(12 10447477),(13 12083709),(14 13783003),(15 15377909),(16 16988098),(17 18698138),(18 20519200),(19 22284266),(20 24043642),(21 25895354),(22 27707274),(23 29448502),(24 31089326),(25 32633494),(26 34081188),(27 35456636),(28 36693516),(29 37841950),(30 38832416),(31 39641350),(32 40320924),(33 40845330),(34 41355696),(35 41785390),(36 42272420),(37 42856452),(38 43390932),(39 43814836),(40 44248004),(41 44713390),(42 45103630),(43 45350940),(44 45508228),(45 45701456),(46 45966110),(47 46259372),(48 46594030),(49 47105644),(50 47602270),(51 48265004),(52 49072596),(53 50059536),(54 51140640),(55 52226196),(56 53345068),(57 54430108),(58 55430416),(59 56364816),(60 57213570),(61 58217108),(62 59326976),(63 60378380),(64 61546496),(65 62897570),(66 64381396),(67 66058450),(68 67870860),(69 69809270),(70 71836104),(71 73975224),(72 76080630),(73 78084760),(74 79912250),(75 81638870),(76 83428490),(77 85209110),(78 87078770),(79 89007530),
(1 75930.39),(2 287609.8),(3 634645.1),(4 1096703.4),(5 1652833.4),(6 2267425.5),(7 2933177.5),(8 3667128),(9 4514201),(10 5437157),(11 6447829),(12 7535957),(13 8693577),(14 9940271),(15 11186503),(16 12445542),(17 13795533),(18 15221338),(19 16661395),(20 18176564),(21 19771092),(22 21348840),(23 22920228),(24 24422468),(25 25871888),(26 27245632),(27 28590592),(28 29826988),(29 31000676),(30 32046260),(31 33012532),(32 33976310),(33 34886776),(34 35757440),(35 36599810),(36 37317824),(37 38015156),(38 38648292),(39 39283830),(40 39882330),(41 40420852),(42 40949860),(43 41460524),(44 41894464),(45 42409676),(46 43043240),(47 43681964),(48 44434136),(49 45300670),(50 46181556),(51 47100650),(52 48085132),(53 49095390),(54 50062120),(55 50912180),(56 51637876),(57 52272630),(58 52850650),(59 53342936),(60 53717204),(61 54152972),(62 54704296),(63 55216332),(64 55754424),(65 56385652),(66 57103624),(67 57927840),(68 58846170),(69 59834410),(70 60711936),(71 61658536),(72 62650292),(73 63609450),(74 64569576),(75 65617730),(76 66916544),(77 68346370),(78 70056090),(79 71811144),
(1 80697.13),(2 308110.66),(3 681402.44),(4 1165235.4),(5 1726569.4),(6 2310588.8),(7 2897400.8),(8 3527877.8),(9 4201332),(10 4914875.5),(11 5672530.5),(12 6462434),(13 7314098.5),(14 8182014.5),(15 9056344),(16 9900443),(17 10755401),(18 11650487),(19 12584388),(20 13591800),(21 14629035),(22 15635496),(23 16623424),(24 17558418),(25 18436152),(26 19303200),(27 20098200),(28 20851660),(29 21556582),(30 22169918),(31 22752194),(32 23297990),(33 23792346),(34 24191098),(35 24573486),(36 24902678),(37 25134114),(38 25385190),(39 25619904),(40 25845904),(41 26012078),(42 26162974),(43 26372522),(44 26560886),(45 26843264),(46 27193986),(47 27543354),(48 27998568),(49 28502686),(50 29098146),(51 29765690),(52 30467254),(53 31141482),(54 31909296),(55 32751520),(56 33534600),(57 34249772),(58 34987340),(59 35655376),(60 36240900),(61 36777200),(62 37169650),(63 37514544),(64 37791710),(65 38023932),(66 38219988),(67 38419396),(68 38556940),(69 38632880),(70 38701636),(71 38883156),(72 39187972),(73 39530744),(74 39941588),(75 40444584),(76 41089652),(77 41893310),(78 42812544),(79 43756636),
(1 85344.164),(2 322290.84),(3 707602),(4 1220523.9),(5 1828249.8),(6 2486373.8),(7 3190675.5),(8 3971217.8),(9 4827988),(10 5725338.5),(11 6652969),(12 7584544),(13 8545568),(14 9483631),(15 10409761),(16 11245449),(17 12064530),(18 12867084),(19 13672950),(20 14500554),(21 15344658),(22 16166126),(23 16989422),(24 17817562),(25 18620050),(26 19389482),(27 20072394),(28 20647594),(29 21153824),(30 21500484),(31 21759932),(32 21962954),(33 22104508),(34 22189612),(35 22275572),(36 22367450),(37 22413768),(38 22485422),(39 22511480),(40 22525038),(41 22451932),(42 22333494),(43 22183890),(44 22029122),(45 21890816),(46 21744750),(47 21620604),(48 21562494),(49 21574240),(50 21750948),(51 22002114),(52 22347706),(53 22752462),(54 23255050),(55 23809480),(56 24391222),(57 24982692),(58 25600110),(59 26222664),(60 26836394),(61 27391000),(62 27799046),(63 28138040),(64 28462582),(65 28710154),(66 28854372),(67 28926926),(68 28922092),(69 28827016),(70 28652622),(71 28491206),(72 28280562),(73 28119382),(74 27966888),(75 27914400),(76 27903946),(77 28038614),(78 28275352),(79 28546732),
(1 82635.02),(2 305850.53),(3 663656),(4 1137818.1),(5 1697997.1),(6 2324120.8),(7 2998959.3),(8 3744532),(9 4559706.5),(10 5445603.5),(11 6373282),(12 7360895.5),(13 8419617),(14 9545788),(15 10704712),(16 11852207),(17 13002854),(18 14123862),(19 15212675),(20 16310035),(21 17422414),(22 18443114),(23 19453826),(24 20433034),(25 21347884),(26 22195550),(27 22956982),(28 23617536),(29 24192168),(30 24635298),(31 25000942),(32 25317062),(33 25560098),(34 25778846),(35 25944914),(36 26054376),(37 26087686),(38 26056030),(39 26015046),(40 25923410),(41 25761720),(42 25509836),(43 25222080),(44 24971386),(45 24746142),(46 24524172),(47 24312844),(48 24092568),(49 23946958),(50 23869570),(51 23866108),(52 23900600),(53 23961704),(54 24007938),(55 24061878),(56 24094670),(57 24102492),(58 24047278),(59 24049470),(60 24062862),(61 24018452),(62 23888968),(63 23698604),(64 23467016),(65 23193606),(66 22793358),(67 22287092),(68 21717446),(69 21125198),(70 20508206),(71 19943012),(72 19432294),(73 19041256),(74 18697562),(75 18488288),(76 18384328),(77 18436236),(78 18618184),(79 18889594),
(1 81263.89),(2 302510.6),(3 654677.7),(4 1129563.8),(5 1705471.8),(6 2362818.5),(7 3100275.3),(8 3909052.5),(9 4813592),(10 5790390),(11 6805538.5),(12 7869013),(13 8952046),(14 10016098),(15 11067171),(16 12079213),(17 13051246),(18 13946835),(19 14773024),(20 15539216),(21 16247162),(22 16850038),(23 17400170),(24 17939854),(25 18415408),(26 18841898),(27 19211498),(28 19488944),(29 19693966),(30 19865492),(31 19998738),(32 20088892),(33 20134368),(34 20120812),(35 20052228),(36 19970592),(37 19852466),(38 19775274),(39 19765626),(40 19778444),(41 19755060),(42 19719404),(43 19668572),(44 19616228),(45 19595724),(46 19618528),(47 19716484),(48 19883392),(49 20192256),(50 20599218),(51 21128056),(52 21760406),(53 22499648),(54 23316028),(55 24220768),(56 25194862),(57 26163692),(58 27123204),(59 28045254),(60 28889638),(61 29534668),(62 30018036),(63 30299980),(64 30498362),(65 30537562),(66 30480160),(67 30302112),(68 30035532),(69 29654996),(70 29240474),(71 28805274),(72 28366298),(73 27894688),(74 27379190),(75 26923712),(76 26492228),(77 26171124),(78 25955316),(79 25879698),
(1 81534.45),(2 295625.72),(3 620088.06),(4 1043580.3),(5 1549696.1),(6 2130939),(7 2773070.5),(8 3454445.5),(9 4204733.5),(10 5002901),(11 5826229),(12 6681228.5),(13 7533213.5),(14 8371908.5),(15 9152281),(16 9895928),(17 10586962),(18 11198972),(19 11748978),(20 12272830),(21 12744555),(22 13174290),(23 13563557),(24 13998911),(25 14449554),(26 14946569),(27 15447308),(28 15918972),(29 16361018),(30 16764887),(31 17147986),(32 17495668),(33 17771574),(34 17955160),(35 18092344),(36 18205588),(37 18337856),(38 18528344),(39 18762096),(40 19015678),(41 19269406),(42 19532294),(43 19808990),(44 20114694),(45 20488710),(46 20918724),(47 21429480),(48 22005610),(49 22700608),(50 23393170),(51 24170506),(52 25048640),(53 25978642),(54 26994836),(55 28072510),(56 29182934),(57 30313096),(58 31383260),(59 32440136),(60 33485986),(61 34382636),(62 35206020),(63 35922836),(64 36496668),(65 36951844),(66 37278212),(67 37495996),(68 37618040),(69 37615052),(70 37532150),(71 37363236),(72 37136452),(73 36875236),(74 36590452),(75 36289340),(76 35984348),(77 35671708),(78 35421230),(79 35304070),
(1 73451.07),(2 271849.22),(3 572408.75),(4 965982.94),(5 1429364.8),(6 1950246.9),(7 2503009.8),(8 3071068.5),(9 3667704),(10 4265725.5),(11 4858960.5),(12 5453657.5),(13 6037336.5),(14 6607496.5),(15 7169340.5),(16 7713315),(17 8243746),(18 8751949),(19 9231092),(20 9690507),(21 10121564),(22 10539117),(23 10929438),(24 11313858),(25 11690272),(26 12053408),(27 12396486),(28 12713063),(29 13011765),(30 13266629),(31 13485007),(32 13638379),(33 13740676),(34 13810755),(35 13873586),(36 13940303),(37 14014531),(38 14156868),(39 14309556),(40 14474351),(41 14659724),(42 14875753),(43 15114814),(44 15379661),(45 15687583),(46 16070976),(47 16503933),(48 16986366),(49 17528168),(50 18048542),(51 18583940),(52 19153544),(53 19719610),(54 20266242),(55 20787822),(56 21284074),(57 21713566),(58 22102686),(59 22447508),(60 22788916),(61 23101240),(62 23439880),(63 23753814),(64 24089076),(65 24440894),(66 24797154),(67 25151314),(68 25514262),(69 25922198),(70 26322530),(71 26755730),(72 27164856),(73 27630230),(74 28167398),(75 28714112),(76 29245334),(77 29754696),(78 30292328),(79 30864260),
(1 65669.79),(2 241809.19),(3 508484.13),(4 844147.44),(5 1220680.3),(6 1626340.5),(7 2033045.6),(8 2435223),(9 2851890.3),(10 3266920),(11 3671059.3),(12 4067659.3),(13 4437792.5),(14 4775910.5),(15 5091394),(16 5394818),(17 5698168.5),(18 6002852),(19 6317708),(20 6634757.5),(21 6961474.5),(22 7287012.5),(23 7610725.5),(24 7957564),(25 8333716.5),(26 8736926),(27 9150213),(28 9538324),(29 9897477),(30 10194790),(31 10451947),(32 10651588),(33 10810315),(34 10920296),(35 11014093),(36 11121207),(37 11206165),(38 11320945),(39 11417129),(40 11477037),(41 11490942),(42 11507839),(43 11541122),(44 11593184),(45 11635153),(46 11676472),(47 11706212),(48 11738035),(49 11769413),(50 11806275),(51 11840645),(52 11918993),(53 11990635),(54 12082976),(55 12202006),(56 12327620),(57 12434460),(58 12523374),(59 12584856),(60 12641896),(61 12690381),(62 12806473),(63 12981420),(64 13213568),(65 13505436),(66 13800391),(67 14107104),(68 14425878),(69 14796403),(70 15166592),(71 15604132),(72 16057574),(73 16561417),(74 17127446),(75 17717836),(76 18260882),(77 18798402),(78 19339108),(79 19900888),
(1 76749.984),(2 287971.72),(3 606648.7),(4 996562.7),(5 1411155),(6 1837246.6),(7 2251087),(8 2646444),(9 3037172.5),(10 3419255.5),(11 3768206.3),(12 4095917.3),(13 4402150),(14 4680034.5),(15 4935316.5),(16 5171003),(17 5430070),(18 5695602.5),(19 5949233.5),(20 6179225),(21 6379648.5),(22 6574766),(23 6763757.5),(24 6947365.5),(25 7148187.5),(26 7354281),(27 7594558),(28 7825815),(29 8077950),(30 8350806),(31 8636860),(32 8907758),(33 9169893),(34 9412389),(35 9651083),(36 9900825),(37 10142608),(38 10385290),(39 10603874),(40 10793525),(41 10979131),(42 11193090),(43 11409228),(44 11633351),(45 11867924),(46 12109137),(47 12376532),(48 12679293),(49 13000421),(50 13319653),(51 13659861),(52 14016472),(53 14380192),(54 14770583),(55 15169132),(56 15552693),(57 15879616),(58 16144192),(59 16372192),(60 16548702),(61 16682236),(62 16837164),(63 17029416),(64 17216910),(65 17384568),(66 17496028),(67 17575288),(68 17597650),(69 17572206),(70 17498580),(71 17402976),(72 17298028),(73 17201752),(74 17112444),(75 17024200),(76 16957878),(77 16879756),(78 16812156),(79 16755296),
(1 76366.664),(2 275888.2),(3 562049.9),(4 907076.06),(5 1281815.5),(6 1671657.9),(7 2052695),(8 2421636),(9 2780610.3),(10 3104107.8),(11 3371715),(12 3599190),(13 3784419.3),(14 3976544),(15 4159768.5),(16 4350181.5),(17 4579932),(18 4835844),(19 5109975.5),(20 5401394.5),(21 5701412),(22 5991785.5),(23 6270874.5),(24 6544071.5),(25 6822061.5),(26 7118473),(27 7448211),(28 7776577),(29 8128135.5),(30 8474487),(31 8838810),(32 9199317),(33 9540604),(34 9881626),(35 10181444),(36 10431231),(37 10672966),(38 10876124),(39 11045208),(40 11167528),(41 11232608),(42 11279016),(43 11295209),(44 11268996),(45 11214061),(46 11146106),(47 11097431),(48 11063862),(49 11021837),(50 10976348),(51 10962914),(52 10947200),(53 10943382),(54 10968568),(55 11034390),(56 11128646),(57 11236300),(58 11335895),(59 11418008),(60 11498792),(61 11546660),(62 11618799),(63 11731342),(64 11844786),(65 11916501),(66 11941055),(67 11935702),(68 11874808),(69 11777858),(70 11638357),(71 11449225),(72 11246967),(73 11063846),(74 10888585),(75 10752299),(76 10675355),(77 10647091),(78 10675919),(79 10736143),
