1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1319419),(2 4952834),(3 10378163),(4 17003104),(5 24280098),(6 31629262),(7 38982530),(8 46296172),(9 53803252),(10 61512852),(11 69088160),(12 76203270),(13 82900456),(14 89146900),(15 95067900),(16 100408024),(17 104823840),(18 108492504),(19 111571770),(20 113857560),(21 115489920),(22 116883560),(23 118151680),(24 119174824),(25 119600104),(26 119461016),(27 118930424),(28 118464790),(29 118410690),(30 119006110),(31 120330330),(32 122252710),(33 124576640),(34 126858776),(35 128824230),(36 130258500),(37 131068680),(38 131202390),(39 130795430),(40 130070340),(41 129169470),(42 127961510),(43 126945510),(44 125587750),(45 125191940),(46 125435416),(47 126627190),(48 128642470),(49 130454344),(50 131847896),(51 133737464),(52 135820060),(53 137745040),(54 139808160),(55 142477010),(56 144754880),(57 146822450),(58 148427380),(59 149460820),(60 150217260),(61 151158030),(62 152742740),(63 154803090),(64 157041140),(65 159137900),(66 161245120),(67 163912590),(68 166413170),(69 168784450),(70 171432240),(71 174542110),(72 178165100),(73 182681980),(74 188226350),(75 194867180),(76 202170670),(77 210193100),(78 218994100),(79 228769550),
(1 1128041.5),(2 4316761),(3 9200673),(4 15351349),(5 22530584),(6 30343468),(7 38733030),(8 47626440),(9 57032044),(10 67107372),(11 77588230),(12 88036140),(13 98274450),(14 108352620),(15 118049816),(16 127005780),(17 135491500),(18 143375400),(19 150463950),(20 156797820),(21 163025100),(22 169495940),(23 176117170),(24 182347940),(25 188230190),(26 193504860),(27 198251310),(28 202517730),(29 206293330),(30 209523870),(31 212119170),(32 213906140),(33 214869600),(34 215211230),(35 214904740),(36 214312670),(37 213741900),(38 213269150),(39 212565230),(40 211193890),(41 209581860),(42 207510180),(43 205702670),(44 204145680),(45 202971330),(46 201335260),(47 199191900),(48 196585340),(49 193298530),(50 189314030),(51 185264140),(52 181693740),(53 178864050),(54 177201060),(55 176862000),(56 177109540),(57 177805440),(58 178344400),(59 178418220),(60 177915100),(61 177055440),(62 176276720),(63 176222370),(64 176554460),(65 176651140),(66 177219150),(67 178231710),(68 178998880),(69 179971920),(70 181013840),(71 182852020),(72 185131040),(73 187777810),(74 190564320),(75 193516980),(76 196557660),(77 200244140),(78 204748450),(79 209561500),
(1 1543593.4),(2 6089680),(3 13395840),(4 23139770),(5 35380896),(6 49700172),(7 65976990),(8 83718720),(9 102411320),(10 122220056),(11 142489120),(12 163120180),(13 183697940),(14 203980560),(15 223769840),(16 241996980),(17 259122220),(18 274443740),(19 287575200),(20 298084400),(21 306643940),(22 314163500),(23 320041630),(24 324410620),(25 327321380),(26 328680300),(27 328759940),(28 327534820),(29 325119870),(30 321434340),(31 316241700),(32 310157980),(33 303980200),(34 297961860),(35 292238620),(36 287360860),(37 282805280),(38 278366370),(39 273995650),(40 269324640),(41 265071700),(42 261910610),(43 259264620),(44 257098480),(45 254784690),(46 252587730),(47 250605520),(48 249164930),(49 248476800),(50 248296960),(51 248247600),(52 248914880),(53 250550260),(54 253177200),(55 256144690),(56 258457010),(57 260475600),(58 261763070),(59 262334770),(60 262156780),(61 261908750),(62 261735020),(63 262787380),(64 264912140),(65 268169300),(66 272510300),(67 277477570),(68 283532670),(69 289861020),(70 296322400),(71 303501380),(72 310701340),(73 318339460),(74 325372500),(75 330879840),(76 335827620),(77 340381700),(78 344269150),(79 348401470),
(1 1231609.8),(2 4736744),(3 10147289),(4 17070644),(5 25341072),(6 34672564),(7 44998736),(8 56077550),(9 67622050),(10 79354120),(11 90860540),(12 102248984),(13 113543900),(14 124771970),(15 135680290),(16 145837600),(17 155302400),(18 163644430),(19 170660900),(20 176458580),(21 181256540),(22 185593400),(23 189120960),(24 192228900),(25 195127380),(26 197606610),(27 199317650),(28 200271420),(29 200671900),(30 200599700),(31 200296560),(32 199891840),(33 199396930),(34 199037920),(35 198206430),(36 196816750),(37 195126980),(38 192881870),(39 190618110),(40 188069180),(41 185830290),(42 184390240),(43 183517200),(44 183566740),(45 184136600),(46 185277040),(47 186693570),(48 188394860),(49 190680800),(50 193139700),(51 194902480),(52 196325100),(53 197509250),(54 198302180),(55 198455180),(56 197514050),(57 195824780),(58 193502560),(59 190561180),(60 187040140),(61 183213440),(62 179085630),(63 174891410),(64 170159820),(65 165165250),(66 160150400),(67 155505710),(68 150928780),(69 146332220),(70 141908430),(71 137899410),(72 134480450),(73 131735660),(74 129809320),(75 128669750),(76 128528510),(77 129632930),(78 131473040),(79 133389060),
(1 1068241.8),(2 4061061),(3 8602284),(4 14295721),(5 21018712),(6 28472780),(7 36698800),(8 45397560),(9 54503464),(10 63953012),(11 73243384),(12 82534750),(13 91745420),(14 100872296),(15 109657464),(16 118217750),(17 126617900),(18 134611950),(19 142342450),(20 149616460),(21 156351600),(22 162250160),(23 167685140),(24 172630020),(25 176846060),(26 180208260),(27 182937100),(28 185075250),(29 187108500),(30 188731400),(31 189970930),(32 190519660),(33 190009600),(34 188828560),(35 187221440),(36 184761200),(37 181364750),(38 177017070),(39 172190000),(40 166639500),(41 160279410),(42 153096770),(43 145546820),(44 138132540),(45 131195040),(46 125105970),(47 119949896),(48 115800420),(49 112540296),(50 109943040),(51 108156600),(52 107119590),(53 106747950),(54 107051290),(55 107757920),(56 108863160),(57 110826080),(58 113738520),(59 117426970),(60 121722670),(61 126509176),(62 131378100),(63 136287540),(64 141579890),(65 147218820),(66 152728930),(67 157823920),(68 162351250),(69 165975420),(70 168716140),(71 171059250),(72 173024560),(73 174616780),(74 176174480),(75 177917550),(76 180386560),(77 183593060),(78 187102670),(79 190391950),
(1 1205367.6),(2 4580193.5),(3 9717360),(4 16266298),(5 23976108),(6 32454924),(7 41431910),(8 50598584),(9 59795610),(10 69039320),(11 78036110),(12 86830744),(13 95141820),(14 103035230),(15 110384660),(16 117252720),(17 123699370),(18 129681816),(19 134718200),(20 138965800),(21 142674740),(22 145981550),(23 148914600),(24 151158320),(25 152865800),(26 154040420),(27 154611660),(28 154798500),(29 155132540),(30 155278530),(31 155546600),(32 156188880),(33 157092820),(34 158597630),(35 160363940),(36 161296510),(37 161077150),(38 160223800),(39 158600370),(40 156331700),(41 153600160),(42 150566480),(43 147226780),(44 143315980),(45 139113900),(46 134434850),(47 129380420),(48 123483390),(49 117306060),(50 110996100),(51 104750600),(52 98723820),(53 93307150),(54 88493260),(55 84126190),(56 80054130),(57 76214480),(58 72951656),(59 70233510),(60 68109740),(61 66415550),(62 65252904),(63 64616490),(64 64699720),(65 65645310),(66 67502070),(67 70158104),(68 73656690),(69 78243920),(70 83696040),(71 89607440),(72 95527800),(73 101299540),(74 106891650),(75 112313576),(76 117606120),(77 123187890),(78 128612270),(79 133386900),
(1 887009.44),(2 3355500.3),(3 7079981.5),(4 11784482),(5 17193402),(6 22982880),(7 28955830),(8 34878640),(9 40682160),(10 46402256),(11 51985880),(12 57393428),(13 62402330),(14 67029910),(15 71035680),(16 74496500),(17 77760136),(18 80605350),(19 83084260),(20 85100960),(21 86671190),(22 87618720),(23 88224056),(24 88966216),(25 89559224),(26 90257160),(27 91040570),(28 92054660),(29 93266440),(30 94632690),(31 96242650),(32 97722536),(33 99049544),(34 100295420),(35 101437550),(36 102482020),(37 103296936),(38 103858520),(39 103983520),(40 103520670),(41 102373576),(42 100747256),(43 98745460),(44 96653960),(45 94237256),(46 91449170),(47 88372380),(48 85014750),(49 81453880),(50 77983430),(51 74895280),(52 72001100),(53 69498590),(54 67492000),(55 65994120),(56 64735336),(57 63653160),(58 62831636),(59 62160050),(60 61721450),(61 61628908),(62 61904956),(63 62345830),(64 63005550),(65 64286730),(66 66046500),(67 67984300),(68 70352904),(69 73205890),(70 76243280),(71 79178350),(72 81886400),(73 84460260),(74 86933496),(75 89176830),(76 91306670),(77 93313590),(78 95088630),(79 96238216),
(1 1017079.06),(2 3864762.3),(3 8150402),(4 13374177),(5 19272116),(6 25460698),(7 31777996),(8 38010356),(9 44079332),(10 49999364),(11 55439470),(12 60162292),(13 64035000),(14 67219610),(15 69443500),(16 70794296),(17 71381304),(18 71293576),(19 70617100),(20 69420550),(21 67908980),(22 66319464),(23 65063270),(24 64147660),(25 63673864),(26 63576372),(27 63887296),(28 64634940),(29 65926196),(30 67761720),(31 69990760),(32 72414500),(33 75109410),(34 77918650),(35 80374936),(36 82666100),(37 84954840),(38 86900856),(39 88444584),(40 89659750),(41 90527220),(42 90942376),(43 90963810),(44 90528950),(45 89792240),(46 88927200),(47 88125350),(48 87612380),(49 87214340),(50 86976500),(51 86832230),(52 86744100),(53 86675450),(54 86554160),(55 86269420),(56 86229230),(57 86289970),(58 86528750),(59 87178220),(60 87925010),(61 88721480),(62 89636400),(63 90373500),(64 90685850),(65 90661720),(66 90632700),(67 90366510),(68 90134030),(69 89928240),(70 89658370),(71 89437490),(72 89315190),(73 89020800),(74 88531100),(75 87852920),(76 87014420),(77 86102390),(78 85024920),(79 83751930),
(1 913501.2),(2 3423663),(3 7117894.5),(4 11598006),(5 16606125),(6 21947136),(7 27327202),(8 32585924),(9 37631220),(10 42409750),(11 46863096),(12 51041496),(13 54925100),(14 58384196),(15 61212716),(16 63410988),(17 64971504),(18 65793100),(19 66022364),(20 65582940),(21 64581044),(22 63341132),(23 62139708),(24 60949988),(25 59910816),(26 59138830),(27 58622252),(28 58307400),(29 58199420),(30 58254484),(31 58483480),(32 58736604),(33 59071230),(34 59488056),(35 59763320),(36 59733150),(37 59524652),(38 59092764),(39 58492576),(40 57965810),(41 57669880),(42 57460664),(43 57350544),(44 57413670),(45 57714184),(46 58113990),(47 58591336),(48 59131920),(49 59666260),(50 60253884),(51 60743690),(52 61010450),(53 61113788),(54 61022210),(55 60568656),(56 59622104),(57 58206756),(58 56520140),(59 54631216),(60 52742176),(61 50842730),(62 49079420),(63 47506504),(64 46109216),(65 44856456),(66 43638276),(67 42501412),(68 41447264),(69 40656384),(70 40039624),(71 39599010),(72 39155210),(73 38679590),(74 38206404),(75 37765610),(76 37664890),(77 38136404),(78 39057064),(79 40334850),
(1 681940),(2 2511304.8),(3 5085831),(4 8095539.5),(5 11372869),(6 14734444),(7 18125788),(8 21415942),(9 24480158),(10 27368988),(11 30099356),(12 32773646),(13 35322864),(14 37823624),(15 40075870),(16 42117916),(17 43935096),(18 45368668),(19 46431630),(20 47114530),(21 47686012),(22 47990508),(23 47885680),(24 47467984),(25 46949000),(26 46320384),(27 45699988),(28 45141584),(29 44574364),(30 44020590),(31 43503470),(32 42884524),(33 42170884),(34 41460068),(35 40774316),(36 40185772),(37 39603890),(38 38904772),(39 38196530),(40 37458460),(41 36863810),(42 36444976),(43 36203216),(44 36187940),(45 36459910),(46 36943996),(47 37600120),(48 38395336),(49 39092536),(50 39636460),(51 39984504),(52 40267668),(53 40524308),(54 40932530),(55 41437780),(56 41891556),(57 42263030),(58 42630610),(59 43064940),(60 43515156),(61 43959964),(62 44442284),(63 44696864),(64 44621650),(65 44264484),(66 43638300),(67 42802972),(68 41722788),(69 40418156),(70 39080210),(71 37849750),(72 36869130),(73 36199944),(74 35868016),(75 35937556),(76 36397784),(77 37035652),(78 37767010),(79 38322396),
(1 879107.8),(2 3243047.5),(3 6571654),(4 10405096),(5 14454323),(6 18528534),(7 22320896),(8 25612264),(9 28392958),(10 30761588),(11 32759152),(12 34586520),(13 36390444),(14 38194024),(15 39804704),(16 41085800),(17 41937550),(18 42363776),(19 42395320),(20 42077184),(21 41629348),(22 41124536),(23 40388590),(24 39557450),(25 38671820),(26 37761860),(27 36865560),(28 35989184),(29 35244844),(30 34548844),(31 33846052),(32 33209066),(33 32702754),(34 32288874),(35 31992304),(36 31893616),(37 31994040),(38 32213768),(39 32536930),(40 32917734),(41 33267780),(42 33687144),(43 34215256),(44 34940868),(45 35774470),(46 36849050),(47 38022040),(48 39373304),(49 41067464),(50 42794064),(51 44088056),(52 44942130),(53 45251944),(54 45345564),(55 45281748),(56 45209576),(57 45107412),(58 44982972),(59 44789870),(60 44597148),(61 44377492),(62 44146976),(63 43771810),(64 43052860),(65 41995630),(66 41109530),(67 40234350),(68 39313416),(69 38224990),(70 36965830),(71 35713860),(72 34655360),(73 33719852),(74 33011350),(75 32433612),(76 32067788),(77 31911816),(78 31877628),(79 31803738),
