(1 0.0007334322),(2 26.47971),(3 56.448044),(4 66.61177),(5 66.743866),(6 88.01956),(7 82.055824),(8 80.56227),(9 80.63081),(10 114.239655),(11 136.99692),(12 113.50324),(13 113.41122),(14 128.62523),(15 127.40146),(16 160.52016),(17 160.68355),(18 146.60054),(19 154.02232),(20 166.04416),(21 166.10094),(22 163.4503),(23 184.64626),(24 181.33728),(25 181.22072),(26 162.95253),(27 196.19911),(28 181.42415),(29 181.66064),(30 185.00642),(31 261.96072),(32 279.2575),(33 279.36615),(34 264.60184),(35 272.61346),(36 260.6936),(37 260.644),(38 257.8144),(39 257.26923),(40 267.0736),(41 266.8385),(42 297.9786),(43 304.99002),(44 305.04126),(45 304.98953),
(1 0.0010644204),(2 25.65046),(3 54.878227),(4 69.16287),(5 69.07367),(6 68.03898),(7 64.4758),(8 73.174965),(9 73.105095),(10 101.10448),(11 134.58862),(12 129.67287),(13 129.62085),(14 140.0072),(15 120.03038),(16 141.15552),(17 141.2373),(18 156.95145),(19 178.8188),(20 168.66286),(21 168.73053),(22 169.3422),(23 162.1366),(24 181.37611),(25 181.82083),(26 151.41515),(27 170.10425),(28 186.33694),(29 187.0242),(30 184.38068),(31 192.70313),(32 186.22987),(33 186.25877),(34 185.54843),(35 172.45006),(36 154.64772),(37 154.8767),(38 146.14536),(39 148.68433),(40 178.97481),(41 178.91806),(42 217.29445),(43 236.27081),(44 236.26878),(45 236.30809),
(1 0.0010138621),(2 22.773905),(3 57.151413),(4 60.694077),(5 60.76758),(6 66.39585),(7 59.988625),(8 65.17206),(9 65.19878),(10 90.414314),(11 123.03223),(12 108.55644),(13 108.38909),(14 107.476654),(15 88.38573),(16 99.74478),(17 99.57556),(18 122.95058),(19 161.32925),(20 156.60315),(21 156.51033),(22 156.31757),(23 130.1193),(24 150.56213),(25 150.38734),(26 177.35635),(27 162.41153),(28 154.87956),(29 154.97072),(30 166.67635),(31 167.79391),(32 191.57738),(33 191.48601),(34 185.8501),(35 162.78114),(36 175.2007),(37 175.16365),(38 158.4837),(39 178.20084),(40 187.70123),(41 187.5038),(42 192.25716),(43 187.06297),(44 187.05264),(45 187.08641),
(1 0.00097550196),(2 26.763601),(3 54.780437),(4 55.1589),(5 55.142464),(6 61.414352),(7 64.72091),(8 62.54278),(9 62.687386),(10 77.53352),(11 119.2298),(12 123.812706),(13 123.70211),(14 108.609604),(15 123.23639),(16 118.378845),(17 118.640114),(18 131.44327),(19 164.42996),(20 158.30367),(21 158.26534),(22 168.04),(23 130.79887),(24 158.32677),(25 158.36049),(26 166.98563),(27 173.3523),(28 177.14484),(29 177.51372),(30 181.5433),(31 181.69125),(32 186.05783),(33 185.84598),(34 173.66087),(35 147.55057),(36 158.47896),(37 158.6841),(38 177.31584),(39 174.31444),(40 174.20876),(41 174.25719),(42 170.61304),(43 179.51395),(44 179.43706),(45 179.53358),
(1 0.0008450458),(2 18.805597),(3 49.490387),(4 55.651764),(5 55.72617),(6 54.20467),(7 58.007072),(8 67.0241),(9 67.09761),(10 68.45395),(11 98.4032),(12 82.1732),(13 82.24154),(14 78.44775),(15 92.621284),(16 94.999756),(17 94.97056),(18 114.235825),(19 124.43522),(20 116.08011),(21 115.9446),(22 131.97794),(23 117.69379),(24 122.67268),(25 122.78018),(26 137.70941),(27 165.65134),(28 168.91116),(29 169.00075),(30 164.29344),(31 162.29063),(32 147.29909),(33 147.29372),(34 141.38919),(35 154.55182),(36 144.18687),(37 144.0687),(38 141.96107),(39 158.97604),(40 162.29787),(41 162.15639),(42 157.67874),(43 172.69604),(44 172.46992),(45 172.67839),
(1 0.0012352071),(2 21.308825),(3 35.164715),(4 39.64915),(5 39.60486),(6 42.420357),(7 60.561256),(8 55.96786),(9 56.006554),(10 60.79719),(11 72.51178),(12 65.48562),(13 65.49191),(14 70.35751),(15 93.245804),(16 88.24873),(17 88.4413),(18 103.53787),(19 109.358696),(20 107.50194),(21 107.490746),(22 118.38481),(23 105.97374),(24 94.441315),(25 94.29907),(26 92.09831),(27 104.34766),(28 103.32141),(29 103.605034),(30 105.815315),(31 128.8511),(32 98.41451),(33 98.432846),(34 109.44335),(35 113.87635),(36 117.0024),(37 116.944374),(38 122.59406),(39 123.51597),(40 132.23982),(41 132.40327),(42 115.743835),(43 123.13242),(44 123.16937),(45 123.109146),
(1 0.0011187341),(2 18.05812),(3 57.058228),(4 52.534416),(5 52.52331),(6 62.702892),(7 62.94595),(8 55.412693),(9 55.45403),(10 73.16077),(11 77.77663),(12 83.38392),(13 83.407036),(14 93.105225),(15 102.740295),(16 109.85145),(17 109.78308),(18 128.88304),(19 138.9985),(20 140.7006),(21 140.51779),(22 142.20486),(23 107.16145),(24 120.683105),(25 120.71391),(26 115.089096),(27 145.05711),(28 162.3924),(29 162.62677),(30 144.9529),(31 138.32886),(32 128.15494),(33 128.0726),(34 132.46048),(35 145.7403),(36 132.74182),(37 132.83287),(38 131.97026),(39 142.00757),(40 147.84882),(41 147.80038),(42 146.96815),(43 123.91098),(44 123.842476),(45 123.95391),
(1 0.0011505558),(2 14.758197),(3 30.01979),(4 38.53854),(5 38.533627),(6 42.672985),(7 45.833897),(8 47.365448),(9 47.496002),(10 46.328995),(11 53.78899),(12 56.45019),(13 56.549614),(14 66.33131),(15 66.215546),(16 73.496994),(17 73.570755),(18 97.06992),(19 100.587524),(20 102.08557),(21 102.104164),(22 108.70573),(23 102.91962),(24 117.581474),(25 117.5063),(26 118.35237),(27 112.99716),(28 105.94482),(29 106.141304),(30 104.74489),(31 108.02295),(32 110.71476),(33 110.657265),(34 112.155365),(35 135.16913),(36 116.31464),(37 116.430534),(38 109.13915),(39 117.74867),(40 134.8667),(41 134.92809),(42 146.70428),(43 151.82391),(44 151.84413),(45 151.85352),
(1 0.0012060745),(2 18.319826),(3 33.58219),(4 40.633564),(5 40.654324),(6 49.073868),(7 43.020084),(8 39.704216),(9 39.785492),(10 49.420025),(11 63.638374),(12 63.476665),(13 63.49957),(14 68.85923),(15 70.91029),(16 77.90903),(17 77.83477),(18 84.82777),(19 84.30756),(20 93.48605),(21 93.62898),(22 94.843735),(23 87.64708),(24 102.25483),(25 102.29983),(26 109.45207),(27 92.75955),(28 106.830894),(29 106.94059),(30 103.82677),(31 96.781296),(32 93.348724),(33 93.2071),(34 89.682816),(35 100.1072),(36 94.63085),(37 94.78978),(38 93.172134),(39 91.19115),(40 98.40132),(41 98.27244),(42 99.259605),(43 94.000824),(44 94.062614),(45 93.97403),
(1 0.0013030292),(2 18.60571),(3 32.614277),(4 40.16496),(5 40.246174),(6 39.45404),(7 39.319218),(8 48.500935),(9 48.60025),(10 64.40677),(11 68.56522),(12 66.52458),(13 66.53047),(14 62.48177),(15 63.663956),(16 58.77087),(17 58.94494),(18 77.38482),(19 94.521904),(20 93.69346),(21 93.7361),(22 89.7921),(23 105.61113),(24 101.4322),(25 101.420746),(26 100.81396),(27 100.16479),(28 91.40934),(29 91.73539),(30 95.163605),(31 110.18174),(32 105.59218),(33 105.45528),(34 113.12935),(35 115.142235),(36 124.23437),(37 123.96916),(38 112.95666),(39 130.14119),(40 136.7554),(41 136.78642),(42 118.92256),(43 124.6978),(44 124.70015),(45 124.6877),
