1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.00034200904),(2 9.22216),(3 25.701376),(4 29.238655),(5 29.25011),(6 33.405888),(7 42.386078),(8 46.307274),(9 46.32749),(10 51.41105),(11 59.868835),(12 59.69376),(13 59.705288),(14 59.669632),(15 68.359604),(16 71.52414),(17 71.535484),(18 76.7762),(19 82.16767),(20 85.05228),(21 85.05285),(22 83.560646),(23 84.20817),(24 85.889366),(25 85.89941),(26 85.03117),(27 86.32567),(28 87.04779),(29 87.109474),(30 89.859535),(31 95.70625),(32 98.62195),(33 98.60126),(34 101.11583),(35 106.21014),(36 108.11144),(37 108.13094),(38 112.08811),(39 115.0475),(40 116.57188),(41 116.5691),(42 113.64081),(43 117.62458),(44 117.61771),(45 117.625786),
(1 0.00045154954),(2 7.146034),(3 17.656553),(4 21.084932),(5 21.088856),(6 22.410812),(7 27.088312),(8 29.87914),(9 29.89868),(10 32.745457),(11 37.501217),(12 39.297207),(13 39.31037),(14 40.030285),(15 43.445656),(16 44.32637),(17 44.348156),(18 47.76476),(19 50.468105),(20 51.38896),(21 51.381992),(22 51.533623),(23 48.294083),(24 48.908783),(25 48.91227),(26 48.77889),(27 49.260506),(28 50.92383),(29 50.996613),(30 51.495995),(31 52.79101),(32 53.03066),(33 53.02696),(34 52.697426),(35 55.540443),(36 55.81188),(37 55.8287),(38 55.369324),(39 55.73996),(40 57.315052),(41 57.319973),(42 58.17004),(43 60.014175),(44 60.014717),(45 60.01811),
(1 0.00045062893),(2 4.2936726),(3 10.999951),(4 13.070277),(5 13.081757),(6 13.629146),(7 15.637578),(8 16.659752),(9 16.664873),(10 18.05054),(11 20.751389),(12 21.75451),(13 21.764294),(14 22.063568),(15 22.990944),(16 23.586483),(17 23.584919),(18 23.80682),(19 24.827616),(20 25.591621),(21 25.598694),(22 26.078917),(23 25.344162),(24 25.862156),(25 25.849419),(26 26.015566),(27 25.864595),(28 26.503242),(29 26.518406),(30 26.764519),(31 27.604034),(32 27.591484),(33 27.587059),(34 27.397984),(35 27.87049),(36 28.023382),(37 28.005281),(38 28.18445),(39 28.65452),(40 29.785975),(41 29.788155),(42 29.629168),(43 30.472149),(44 30.47165),(45 30.473272),
(1 0.00048115145),(2 3.5502026),(3 8.224413),(4 9.666495),(5 9.6746855),(6 10.498826),(7 12.44959),(8 13.024885),(9 13.029249),(10 13.815737),(11 15.817672),(12 16.178217),(13 16.18434),(14 16.489187),(15 16.985739),(16 17.34406),(17 17.34913),(18 17.520222),(19 18.428013),(20 19.317501),(21 19.31704),(22 19.257942),(23 18.792744),(24 18.53936),(25 18.534424),(26 18.5607),(27 18.201216),(28 19.072998),(29 19.08474),(30 19.10516),(31 19.569443),(32 19.625044),(33 19.62087),(34 19.698221),(35 19.988415),(36 20.271923),(37 20.276209),(38 19.89411),(39 20.345404),(40 20.969732),(41 20.977552),(42 20.607355),(43 20.837765),(44 20.836641),(45 20.8379),
(1 0.00044959917),(2 2.8800657),(3 6.301249),(4 7.477162),(5 7.4861627),(6 8.158263),(7 9.361316),(8 9.881341),(9 9.8833065),(10 10.404061),(11 11.625234),(12 11.9815),(13 11.977865),(14 12.073544),(15 12.508045),(16 12.781353),(17 12.781887),(18 13.088488),(19 13.565993),(20 14.006875),(21 14.008907),(22 13.917037),(23 13.990944),(24 13.657661),(25 13.652956),(26 13.431258),(27 13.102525),(28 13.637211),(29 13.629202),(30 13.604195),(31 13.996593),(32 14.527792),(33 14.521258),(34 14.306267),(35 14.551379),(36 14.57382),(37 14.573446),(38 14.482325),(39 14.719098),(40 15.286617),(41 15.291154),(42 15.07357),(43 15.31863),(44 15.3179455),(45 15.319161),
(1 0.0003312702),(2 1.7840852),(3 3.9133961),(4 4.708796),(5 4.7131467),(6 5.166657),(7 5.741411),(8 6.062247),(9 6.06177),(10 6.340087),(11 6.7766614),(12 6.9728613),(13 6.9718056),(14 7.13662),(15 7.296169),(16 7.4276133),(17 7.4301887),(18 7.7063265),(19 7.8660474),(20 8.044618),(21 8.044253),(22 8.187327),(23 7.992527),(24 7.79248),(25 7.7902436),(26 7.6704283),(27 7.68308),(28 7.95566),(29 7.9357767),(30 7.7211967),(31 7.9235325),(32 8.17183),(33 8.164985),(34 8.118802),(35 8.399866),(36 8.500222),(37 8.4924555),(38 8.338424),(39 8.601986),(40 8.822806),(41 8.823557),(42 8.644006),(43 8.924071),(44 8.924252),(45 8.923941),
(1 0.00036958553),(2 1.5401835),(3 3.3275216),(4 4.0044312),(5 4.007393),(6 4.413376),(7 4.8303604),(8 4.977673),(9 4.9792967),(10 5.195181),(11 5.627095),(12 5.7078505),(13 5.705443),(14 5.7836094),(15 5.9647756),(16 6.051363),(17 6.0469656),(18 6.3283067),(19 6.549961),(20 6.571395),(21 6.5688176),(22 6.5125976),(23 6.512633),(24 6.383554),(25 6.3813157),(26 6.2693796),(27 6.248634),(28 6.512316),(29 6.4860373),(30 6.3073955),(31 6.387961),(32 6.5517898),(33 6.5495152),(34 6.5577602),(35 6.852582),(36 6.9051175),(37 6.9010386),(38 6.75227),(39 6.882527),(40 7.1274233),(41 7.127091),(42 6.8847513),(43 7.135055),(44 7.1347094),(45 7.135672),
(1 0.00038204074),(2 1.22399),(3 2.7393234),(4 3.244885),(5 3.2451916),(6 3.5777144),(7 3.9823444),(8 3.968444),(9 3.969851),(10 4.183181),(11 4.4481626),(12 4.391308),(13 4.390524),(14 4.463067),(15 4.5870433),(16 4.6365485),(17 4.6343637),(18 4.8704777),(19 4.9836583),(20 5.0421495),(21 5.040467),(22 5.0805035),(23 5.1617846),(24 5.0596476),(25 5.057198),(26 4.922887),(27 4.8055744),(28 4.976187),(29 4.9504795),(30 4.8780127),(31 4.9934344),(32 5.169948),(33 5.166584),(34 5.121849),(35 5.1883717),(36 5.2147517),(37 5.2072678),(38 5.1481204),(39 5.3648562),(40 5.3935113),(41 5.3906636),(42 5.2579465),(43 5.4315147),(44 5.431054),(45 5.4314528),
(1 0.00037121793),(2 0.9955241),(3 2.1014166),(4 2.4718971),(5 2.473766),(6 2.7276087),(7 2.9997327),(8 3.026685),(9 3.0248327),(10 3.1164923),(11 3.3193333),(12 3.3583865),(13 3.3551388),(14 3.3722246),(15 3.5107882),(16 3.503461),(17 3.4996014),(18 3.560787),(19 3.711904),(20 3.9065857),(21 3.9049547),(22 3.9548736),(23 3.8487346),(24 3.7539625),(25 3.7489343),(26 3.686008),(27 3.6056426),(28 3.7368),(29 3.7173483),(30 3.682137),(31 3.7360647),(32 3.8908248),(33 3.8898506),(34 3.808557),(35 3.8596315),(36 3.9489555),(37 3.9417386),(38 3.9220233),(39 4.022221),(40 4.093574),(41 4.0910163),(42 3.9624827),(43 3.9985886),(44 3.9989138),(45 3.9985948),
(1 0.0003532538),(2 0.78697425),(3 1.6010066),(4 1.9067087),(5 1.9070569),(6 2.0654964),(7 2.2333405),(8 2.2908769),(9 2.2901657),(10 2.3705733),(11 2.5441272),(12 2.626065),(13 2.6231477),(14 2.6520472),(15 2.7402806),(16 2.7634027),(17 2.7604775),(18 2.842509),(19 2.8833842),(20 2.9747012),(21 2.9725008),(22 2.9546335),(23 2.9190836),(24 2.8847249),(25 2.880208),(26 2.8265462),(27 2.6753082),(28 2.783231),(29 2.7608502),(30 2.7401342),(31 2.8403692),(32 2.9226909),(33 2.9193344),(34 2.864811),(35 2.927213),(36 2.9792752),(37 2.9762356),(38 2.9184687),(39 2.9430542),(40 3.0594313),(41 3.0552766),(42 2.9794452),(43 3.1139648),(44 3.1137488),(45 3.113932),
