1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 158312.3),(2 481060.66),(3 849861.5),(4 1182583.5),(5 1443689),(6 1604255),(7 1576466),(8 1440476.6),(9 1325095),(10 1229241.6),(11 1236173.9),(12 1296838.1),(13 1401902.5),(14 1566547),(15 1744179.4),(16 1894127.4),(17 2053013.1),(18 2219802.5),(19 2306879.3),(20 2373152.3),(21 2443245.3),(22 2521474.5),(23 2631355.3),(24 2744605.8),(25 2882885.8),(26 3065125.3),(27 3327269.3),(28 3747622),(29 4122291.3),(30 4417991.5),(31 4713742.5),(32 4978890),(33 5159535.5),(34 5309771.5),(35 5387845.5),(36 5487034),(37 5591886),(38 5772053.5),(39 5932168),(40 6173471.5),(41 6341179.5),(42 6530188),(43 6693992),(44 6838881.5),(45 6990360),(46 7072998),(47 7074456.5),(48 7006084.5),(49 7004748),(50 7026057.5),(51 7200113.5),(52 7533389.5),(53 7855617.5),(54 8130550),(55 8261274),(56 8278669.5),(57 8442749),(58 8583136),(59 8668415),(60 8915507),(61 9347239),(62 10057720),(63 10407427),(64 10710030),(65 10921272),(66 11281055),(67 11694227),(68 11938120),(69 12214885),(70 12419175),(71 12574816),(72 12641684),(73 12710607),(74 12782628),(75 12836136),(76 13047477),(77 13338583),(78 13810456),(79 14370936),
(1 152597.47),(2 470746),(3 856915.8),(4 1233836.4),(5 1551529.3),(6 1801020.3),(7 1917812.8),(8 1956672),(9 2009178.8),(10 2093817.3),(11 2300088),(12 2542140),(13 2794616.8),(14 3112681.5),(15 3499712.8),(16 3938556),(17 4372936.5),(18 4804385.5),(19 5242551),(20 5574111),(21 5884249),(22 6205352.5),(23 6606645),(24 7060560),(25 7556241),(26 8118870.5),(27 8729282),(28 9490924),(29 10135324),(30 10595589),(31 11052221),(32 11474220),(33 11818598),(34 12236293),(35 12552475),(36 12881086),(37 13198369),(38 13589661),(39 13917605),(40 14319277),(41 14588234),(42 14843470),(43 14957403),(44 15023062),(45 15055565),(46 14890936),(47 14736298),(48 14583454),(49 14468574),(50 14371518),(51 14376850),(52 14452102),(53 14385376),(54 14279619),(55 14077050),(56 13833178),(57 13724410),(58 13644834),(59 13507438),(60 13526602),(61 13608330),(62 14047112),(63 14176773),(64 14267741),(65 14305914),(66 14341648),(67 14569408),(68 14764058),(69 15067267),(70 15370333),(71 15616525),(72 15738445),(73 15947250),(74 16121363),(75 16264602),(76 16405152),(77 16582589),(78 16873600),(79 17346022),
(1 152989.16),(2 469318.38),(3 868866.3),(4 1319764.1),(5 1773255.4),(6 2233281),(7 2723365.3),(8 3257862.8),(9 3960802.8),(10 4679447.5),(11 5469765.5),(12 6234261.5),(13 7037667.5),(14 7827769.5),(15 8748615),(16 9678913),(17 10583473),(18 11371856),(19 12181531),(20 12929493),(21 13577392),(22 14134809),(23 14675424),(24 15110584),(25 15500503),(26 15850957),(27 16125893),(28 16356576),(29 16480672),(30 16333108),(31 16073835),(32 15694031),(33 15232579),(34 14733256),(35 14277524),(36 13804668),(37 13504200),(38 13113084),(39 12702245),(40 12436680),(41 12099601),(42 11720900),(43 11307973),(44 10944185),(45 10577675),(46 10302172),(47 9984260),(48 9746228),(49 9739900),(50 9739357),(51 9789171),(52 9904107),(53 9936593),(54 10177700),(55 10365028),(56 10454917),(57 10497112),(58 10525805),(59 10375781),(60 10293255),(61 10258597),(62 10487265),(63 10625759),(64 10705926),(65 10790311),(66 10822359),(67 10864757),(68 10913956),(69 11007006),(70 11072689),(71 11176759),(72 11030077),(73 10875461),(74 10745833),(75 10612313),(76 10514057),(77 10470559),(78 10543783),(79 10706327),
(1 180385.06),(2 585756.25),(3 1113444),(4 1696237.5),(5 2264735.5),(6 2824330.3),(7 3432748),(8 4055899.5),(9 4835436.5),(10 5607034),(11 6390012.5),(12 7110491.5),(13 7882010),(14 8631214),(15 9457833),(16 10315131),(17 11051278),(18 11663203),(19 12420267),(20 13213502),(21 13915337),(22 14491609),(23 15052436),(24 15493195),(25 15829282),(26 16088244),(27 16244082),(28 16279591),(29 16244759),(30 16012284),(31 15715623),(32 15395858),(33 15052601),(34 14623835),(35 14152383),(36 13590053),(37 12931818),(38 12338325),(39 11831363),(40 11488811),(41 11087399),(42 10711918),(43 10352478),(44 10097627),(45 9879496),(46 9667566),(47 9509904),(48 9441212),(49 9420403),(50 9436530),(51 9573913),(52 9832932),(53 10176887),(54 10654354),(55 11059484),(56 11425665),(57 11765388),(58 12133015),(59 12479587),(60 12872490),(61 13263198),(62 14243929),(63 14823859),(64 15235570),(65 15511079),(66 15747243),(67 15982359),(68 16238580),(69 16551013),(70 16809390),(71 17092578),(72 16993896),(73 16927672),(74 16812664),(75 16676455),(76 16511332),(77 16305950),(78 16144252),(79 16005996),
(1 190267.31),(2 607794.94),(3 1124719.1),(4 1707966.5),(5 2290874.3),(6 2879647),(7 3475356.3),(8 4041269.5),(9 4633673.5),(10 5254742.5),(11 5869597),(12 6429934.5),(13 6995216),(14 7552822.5),(15 8115519.5),(16 8704596),(17 9239943),(18 9735433),(19 10444767),(20 11027812),(21 11468473),(22 11755984),(23 11986705),(24 12164082),(25 12335407),(26 12558304),(27 12785281),(28 12931796),(29 12973199),(30 12838348),(31 12653389),(32 12468710),(33 12319748),(34 12109491),(35 11940868),(36 11750204),(37 11471707),(38 11262320),(39 11093499),(40 11026205),(41 10900513),(42 10750396),(43 10594997),(44 10464268),(45 10333705),(46 10230678),(47 10198775),(48 10288886),(49 10473911),(50 10773522),(51 11132933),(52 11566682),(53 12038836),(54 12584188),(55 13007540),(56 13344719),(57 13664915),(58 13972070),(59 14257700),(60 14573222),(61 14868480),(62 15597757),(63 16004915),(64 16293734),(65 16522074),(66 16724733),(67 16921550),(68 17047294),(69 17184182),(70 17232158),(71 17264658),(72 16914714),(73 16564919),(74 16165408),(75 15693334),(76 15340147),(77 15024701),(78 14813996),(79 14579388),
(1 156852.2),(2 495240.5),(3 907222.7),(4 1339709),(5 1767121.6),(6 2167107.3),(7 2548510.5),(8 2914549.3),(9 3239349),(10 3522134.5),(11 3756312),(12 3910794.8),(13 4043241.5),(14 4197439),(15 4366741),(16 4569760),(17 4814038.5),(18 5070493),(19 5575902),(20 5896680),(21 6171359),(22 6374069),(23 6523862.5),(24 6646244.5),(25 6812344),(26 7006441.5),(27 7205219),(28 7428388),(29 7633418.5),(30 7769265.5),(31 7891761.5),(32 8023723),(33 8154960),(34 8289207),(35 8450431),(36 8674836),(37 8936978),(38 9200958),(39 9419549),(40 9538093),(41 9596818),(42 9646306),(43 9680056),(44 9720239),(45 9750711),(46 9789128),(47 9897493),(48 10063790),(49 10287204),(50 10540750),(51 10841914),(52 11178616),(53 11492374),(54 11745353),(55 11928626),(56 12048630),(57 12123366),(58 12216002),(59 12308111),(60 12419925),(61 12485547),(62 12658696),(63 12712470),(64 12724858),(65 12691081),(66 12623263),(67 12591504),(68 12518590),(69 12476602),(70 12378306),(71 12307656),(72 12002936),(73 11650886),(74 11214270),(75 10757336),(76 10378368),(77 10021863),(78 9738667),(79 9451278),
(1 176201.22),(2 569587.75),(3 1062216.4),(4 1605282.9),(5 2152072.3),(6 2679578.8),(7 3188990.8),(8 3690565.3),(9 4196661),(10 4590159.5),(11 4937829.5),(12 5184120),(13 5392906.5),(14 5582555),(15 5769173),(16 5979024),(17 6161083.5),(18 6244123),(19 6482615),(20 6529767.5),(21 6540830),(22 6543717),(23 6583955.5),(24 6644216),(25 6776590),(26 6950471.5),(27 7136175.5),(28 7384465),(29 7629891),(30 7849059),(31 8069818.5),(32 8366395.5),(33 8635500),(34 8860807),(35 9059978),(36 9231043),(37 9449946),(38 9626479),(39 9756826),(40 9687350),(41 9645618),(42 9612446),(43 9606075),(44 9660852),(45 9741783),(46 9832667),(47 9892562),(48 9940570),(49 9943692),(50 9877368),(51 9833947),(52 9813652),(53 9774242),(54 9739494),(55 9737628),(56 9797323),(57 9875281),(58 9942803),(59 9997718),(60 10051135),(61 10116997),(62 10172191),(63 10082662),(64 9974791),(65 9806831),(66 9619446),(67 9443752),(68 9292000),(69 9169061),(70 9030554),(71 8932333),(72 8761881),(73 8584326),(74 8420480),(75 8323060.5),(76 8229686),(77 8144707),(78 8041481),(79 7929274),
(1 208336.27),(2 676058.44),(3 1299055.3),(4 2033749.5),(5 2845642.8),(6 3680471.3),(7 4513639),(8 5308587.5),(9 6069490),(10 6697443),(11 7258359.5),(12 7662594),(13 7983503),(14 8192629.5),(15 8315759.5),(16 8400093),(17 8387807),(18 8282699.5),(19 8272523),(20 8126587),(21 7908330.5),(22 7678138.5),(23 7503433.5),(24 7369895.5),(25 7348035.5),(26 7404465),(27 7532202),(28 7747411),(29 7968340.5),(30 8234032.5),(31 8501543),(32 8840113),(33 9196950),(34 9552519),(35 9921875),(36 10244499),(37 10551261),(38 10768489),(39 10961931),(40 11053902),(41 11082611),(42 11099187),(43 11149490),(44 11166901),(45 11181107),(46 11186949),(47 11174814),(48 11164147),(49 11096416),(50 11020154),(51 10900947),(52 10779074),(53 10620612),(54 10420596),(55 10256290),(56 10109263),(57 9994239),(58 9852418),(59 9696073),(60 9570447),(61 9518358),(62 9538012),(63 9517935),(64 9537764),(65 9603501),(66 9711731),(67 9793163),(68 9819766),(69 9798736),(70 9775974),(71 9738048),(72 9478741),(73 9113721),(74 8701911),(75 8288196.5),(76 7864245.5),(77 7475201.5),(78 7147129.5),(79 6959221.5),
(1 201026.78),(2 674631.6),(3 1329499.3),(4 2116781.8),(5 2969179.8),(6 3835989.8),(7 4706342.5),(8 5523252),(9 6283350.5),(10 6892350.5),(11 7425016.5),(12 7829377),(13 8152426.5),(14 8354018),(15 8488598),(16 8579345),(17 8626299),(18 8613866),(19 8674013),(20 8678272),(21 8675953),(22 8677468),(23 8711780),(24 8779757),(25 8874752),(26 8947331),(27 8968382),(28 9029651),(29 9176541),(30 9391666),(31 9625539),(32 9872090),(33 10078993),(34 10181931),(35 10209479),(36 10134552),(37 9993528),(38 9827112),(39 9652632),(40 9450288),(41 9247747),(42 9084096),(43 8983649),(44 8952781),(45 8983406),(46 9077299),(47 9252030),(48 9525395),(49 9836070),(50 10153941),(51 10401493),(52 10560838),(53 10581071),(54 10408584),(55 10225074),(56 10039233),(57 9843104),(58 9647710),(59 9447002),(60 9241841),(61 9028804),(62 8702187),(63 8413265),(64 8117850.5),(65 7874280.5),(66 7679184.5),(67 7534354),(68 7476862),(69 7513364.5),(70 7602765),(71 7771961.5),(72 8035802.5),(73 8278631.5),(74 8513077),(75 8770348),(76 9012574),(77 9163550),(78 9266504),(79 9340975),
(1 206039),(2 669761.4),(3 1266657.3),(4 1956033.4),(5 2711164.8),(6 3488902.8),(7 4255693),(8 4992764.5),(9 5643249.5),(10 6211709),(11 6691470.5),(12 7042107.5),(13 7260984),(14 7361464),(15 7383331.5),(16 7339967.5),(17 7261242.5),(18 7152520),(19 7109154),(20 7083810),(21 7172982.5),(22 7339341.5),(23 7557794.5),(24 7828295),(25 8122762.5),(26 8372130.5),(27 8594068),(28 8799088),(29 8894861),(30 8939360),(31 8920704),(32 8894891),(33 8898137),(34 8886471),(35 8860693),(36 8776330),(37 8782478),(38 8757530),(39 8666658),(40 8472279),(41 8377682.5),(42 8330741.5),(43 8340408),(44 8369214),(45 8419825),(46 8617404),(47 8688394),(48 8721480),(49 8673945),(50 8608685),(51 8507148),(52 8394725),(53 8303402.5),(54 8237634),(55 8161712),(56 8073642),(57 7981360),(58 7849569),(59 7683194),(60 7532618.5),(61 7465349.5),(62 7408134),(63 7459952),(64 7577094),(65 7730924.5),(66 7881066.5),(67 7917674.5),(68 7913093.5),(69 7919548.5),(70 7870938.5),(71 7832382),(72 7867826.5),(73 7989664),(74 8138957.5),(75 8298142),(76 8440367),(77 8529920),(78 8605839),(79 8636689),
(1 233053.63),(2 784899.6),(3 1515291),(4 2313677.5),(5 3082232.5),(6 3766341.3),(7 4320485.5),(8 4733338.5),(9 5066154),(10 5244192),(11 5289316.5),(12 5224697.5),(13 5057693),(14 4820019),(15 4581412.5),(16 4289341.5),(17 4037042.8),(18 3883222.8),(19 3889910.3),(20 3978618.3),(21 4164945.5),(22 4444853.5),(23 4775241),(24 5134258.5),(25 5479721.5),(26 5786536),(27 6088933),(28 6406347),(29 6641394),(30 6823705),(31 6979858),(32 7093692.5),(33 7149171),(34 7187950),(35 7196076),(36 7195603),(37 7319769.5),(38 7485135),(39 7675846),(40 7907266),(41 8080564.5),(42 8235648),(43 8341344),(44 8369301.5),(45 8333389),(46 8216518.5),(47 8076241),(48 7936943),(49 7798603),(50 7621052),(51 7388807.5),(52 7169597),(53 6950251.5),(54 6726986.5),(55 6450050.5),(56 6159236),(57 5917894.5),(58 5738247),(59 5585486),(60 5497720),(61 5465153.5),(62 5433205.5),(63 5481504),(64 5585740),(65 5708852.5),(66 5814585),(67 5866260),(68 5886937.5),(69 5871599),(70 5810064),(71 5729213),(72 5687905),(73 5621899.5),(74 5538481.5),(75 5486093),(76 5468566.5),(77 5530846),(78 5663484.5),(79 5821831.5),
