1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 885781.7),(2 3376125),(3 7033898.5),(4 11461833),(5 16633061),(6 22878466),(7 29834240),(8 37113264),(9 44138610),(10 51326132),(11 58722336),(12 66049548),(13 73199096),(14 79767770),(15 86124424),(16 92250936),(17 98440060),(18 104214696),(19 109146530),(20 112969736),(21 115969384),(22 118584280),(23 121311300),(24 124713220),(25 129013220),(26 133179384),(27 137244720),(28 141033920),(29 144344770),(30 146759520),(31 148857150),(32 150299760),(33 150911950),(34 150468530),(35 148883700),(36 146703500),(37 143953490),(38 140859500),(39 137869840),(40 135391500),(41 133603130),(42 132581224),(43 131955580),(44 131621656),(45 131691240),(46 131949336),(47 132590810),(48 133794280),(49 135799700),(50 138435340),(51 141628800),(52 144179250),(53 146647280),(54 148835840),(55 150895600),(56 152570160),(57 154746030),(58 157625380),(59 160709460),(60 164109580),(61 168033340),(62 172499570),(63 176714050),(64 180175980),(65 183228850),(66 186170830),(67 189089170),(68 191440690),(69 193839660),(70 195752300),(71 197928620),(72 200025780),(73 202347340),(74 204269520),(75 206274480),(76 209014700),(77 212354610),(78 215872770),(79 218814740),
(1 1149382.8),(2 4436373.5),(3 9462504),(4 15617646),(5 22840336),(6 31623994),(7 41335484),(8 51858596),(9 62524468),(10 73643220),(11 85025560),(12 96536450),(13 108582860),(14 121691010),(15 136156850),(16 151087260),(17 165988320),(18 180663300),(19 195451730),(20 210399620),(21 225841310),(22 242507470),(23 261118560),(24 281379680),(25 301512540),(26 321299260),(27 340560060),(28 359303170),(29 378344770),(30 396171360),(31 413532540),(32 428491600),(33 441493400),(34 454561700),(35 467049660),(36 478843140),(37 489479780),(38 498407260),(39 505961660),(40 512493120),(41 518920600),(42 525495550),(43 532003140),(44 538983800),(45 546302140),(46 553622800),(47 560058900),(48 565107500),(49 569312600),(50 571270800),(51 571500350),(52 571010370),(53 570151940),(54 569444160),(55 569233700),(56 568753800),(57 567378300),(58 564249500),(59 558979300),(60 552773760),(61 546184900),(62 540470600),(63 534566300),(64 529930300),(65 525884220),(66 520663970),(67 514440600),(68 508635970),(69 504552350),(70 501934080),(71 500249340),(72 498255460),(73 496625860),(74 496977000),(75 498121470),(76 498951230),(77 499493380),(78 499525120),(79 499985500),
(1 967756.06),(2 3621038),(3 7561854.5),(4 12432687),(5 18133806),(6 24663510),(7 31729224),(8 39396304),(9 47500276),(10 55885630),(11 64654764),(12 74159656),(13 84464680),(14 94778970),(15 105210456),(16 115712700),(17 126538730),(18 138244140),(19 150918450),(20 164905490),(21 180622600),(22 197773310),(23 216144380),(24 235229710),(25 254892670),(26 275730660),(27 296743100),(28 318133800),(29 339773440),(30 359963650),(31 378333220),(32 393985800),(33 408189860),(34 422504160),(35 437373060),(36 452514140),(37 468025250),(38 483125660),(39 497182080),(40 510220800),(41 522560000),(42 533153180),(43 542176260),(44 550200700),(45 557589300),(46 563540160),(47 568464300),(48 570388400),(49 570192100),(50 567953500),(51 565242900),(52 564099600),(53 564339400),(54 566442940),(55 569275200),(56 572038200),(57 574863300),(58 577670900),(59 578777400),(60 578986750),(61 579223100),(62 579040450),(63 578692800),(64 577256300),(65 575453900),(66 573295360),(67 570367940),(68 567613400),(69 564568300),(70 561600000),(71 559522800),(72 557640900),(73 555591900),(74 552716600),(75 548992600),(76 544965440),(77 540697400),(78 536344740),(79 531803900),
(1 1235696.3),(2 4748645.5),(3 10176447),(4 17106924),(5 25193792),(6 34214960),(7 44158804),(8 54954056),(9 66430270),(10 78252690),(11 90453416),(12 102913710),(13 115342830),(14 127582750),(15 139321820),(16 150372800),(17 160824460),(18 170448900),(19 179508530),(20 187914980),(21 195741250),(22 202858530),(23 209222540),(24 214679440),(25 218610100),(26 221758660),(27 224030980),(28 225492820),(29 225549500),(30 224328220),(31 222095300),(32 219507550),(33 217890640),(34 216483140),(35 215467360),(36 215251400),(37 215072180),(38 214284480),(39 212782530),(40 210773890),(41 208516210),(42 206393200),(43 204092270),(44 201843800),(45 199841010),(46 198079570),(47 196498510),(48 195649730),(49 195793980),(50 197352900),(51 200577470),(52 204879950),(53 209616160),(54 215153630),(55 221509840),(56 227961360),(57 233863550),(58 238602050),(59 242537980),(60 245335220),(61 247562350),(62 249307020),(63 250950260),(64 253046530),(65 255266370),(66 257186110),(67 258550100),(68 260105300),(69 261367300),(70 262376300),(71 262123120),(72 261160770),(73 259861140),(74 258173380),(75 255818240),(76 251633730),(77 246192320),(78 240365090),(79 234606370),
(1 1294606),(2 4912688),(3 10283090),(4 16807238),(5 24127564),(6 32042840),(7 40136420),(8 48276444),(9 56528150),(10 64833676),(11 72967840),(12 80851000),(13 88246470),(14 94984424),(15 101143340),(16 106524744),(17 111230210),(18 115283640),(19 119004600),(20 122284264),(21 125298130),(22 127779230),(23 129435256),(24 130345820),(25 130649250),(26 130462980),(27 129972810),(28 128965880),(29 127484310),(30 125404344),(31 123064904),(32 120930000),(33 119396820),(34 117719880),(35 116062560),(36 114633680),(37 113440670),(38 112547384),(39 112189600),(40 112455940),(41 113295384),(42 114570490),(43 116024270),(44 117719240),(45 119748120),(46 122024700),(47 124243480),(48 126382520),(49 128643256),(50 131172130),(51 134100020),(52 137097940),(53 139696850),(54 141880660),(55 143735760),(56 145078500),(57 145702510),(58 145666580),(59 145185520),(60 144369180),(61 143108460),(62 141364590),(63 139049540),(64 136477810),(65 134179870),(66 132116216),(67 130410390),(68 129238780),(69 128493384),(70 128136750),(71 127772650),(72 127844616),(73 128110230),(74 128202240),(75 128523576),(76 129058490),(77 129578264),(78 130378210),(79 131797660),
(1 1314016.8),(2 5029690.5),(3 10699906),(4 17785612),(5 25905264),(6 34918100),(7 44318330),(8 53912064),(9 63499060),(10 72833320),(11 81513496),(12 89325780),(13 96690540),(14 103599150),(15 109765140),(16 114762900),(17 118818820),(18 122143850),(19 124707180),(20 126341810),(21 127081230),(22 127090430),(23 126520936),(24 125359464),(25 123681220),(26 121368940),(27 118370510),(28 114501530),(29 110376700),(30 106403096),(31 103023920),(32 100185230),(33 97959820),(34 96176400),(35 95004010),(36 94508696),(37 94869550),(38 95829290),(39 97440690),(40 100122504),(41 103642690),(42 107762190),(43 112426930),(44 117646850),(45 122996400),(46 128141060),(47 132798120),(48 137233400),(49 141754980),(50 146149500),(51 149907920),(52 153087260),(53 155454180),(54 156457060),(55 157031980),(56 157892200),(57 159114140),(58 160464820),(59 161395630),(60 162073780),(61 162004260),(62 161235100),(63 159950820),(64 158102530),(65 156103460),(66 153400050),(67 150590780),(68 147595380),(69 144370560),(70 141204060),(71 137459220),(72 133114580),(73 128762390),(74 124853976),(75 121772210),(76 119064856),(77 116243840),(78 113576580),(79 111378520),
(1 1380367.4),(2 5333484.5),(3 11320348),(4 18697758),(5 27013604),(6 35971988),(7 45055696),(8 53627850),(9 61799444),(10 69360160),(11 75765624),(12 80674480),(13 84393170),(14 86990770),(15 88547710),(16 89320630),(17 89455740),(18 89088560),(19 88107010),(20 86717180),(21 85035940),(22 83270950),(23 81943340),(24 81344670),(25 81286580),(26 81198540),(27 81078580),(28 80998340),(29 80819580),(30 80232720),(31 79516050),(32 78607020),(33 77390330),(34 76376190),(35 75253510),(36 74203416),(37 73457340),(38 72668370),(39 72122990),(40 72195224),(41 72852590),(42 74004840),(43 75601130),(44 77543896),(45 79356380),(46 81108490),(47 83056110),(48 85247380),(49 87852660),(50 90707210),(51 93547600),(52 96052820),(53 97869190),(54 99216420),(55 100201470),(56 100923810),(57 101342450),(58 101638000),(59 101637384),(60 101358920),(61 100683784),(62 99615400),(63 98630744),(64 97594790),(65 96661624),(66 96097280),(67 96243760),(68 96930984),(69 97822560),(70 98767410),(71 99442260),(72 99630340),(73 99834860),(74 100166880),(75 100236670),(76 99939784),(77 99492344),(78 98895064),(79 98290640),
(1 1132831.1),(2 4250177),(3 8796770),(4 14284895),(5 20346014),(6 26590674),(7 32833726),(8 38682130),(9 44176056),(10 48792200),(11 52379948),(12 54908670),(13 56469132),(14 57237480),(15 57523776),(16 57574836),(17 57651132),(18 57656170),(19 57690012),(20 57532580),(21 57074424),(22 56494230),(23 56016372),(24 55695504),(25 55746570),(26 56067270),(27 56974150),(28 58143140),(29 59376484),(30 60552936),(31 61775052),(32 62995696),(33 63876990),(34 64180804),(35 63937852),(36 63304260),(37 62223664),(38 60812396),(39 59434452),(40 58302140),(41 57497780),(42 56635252),(43 55973480),(44 55740170),(45 55554256),(46 55421950),(47 55582612),(48 56142400),(49 56930824),(50 57800796),(51 58309504),(52 58249720),(53 57721480),(54 56738790),(55 55628464),(56 54177660),(57 52636424),(58 51470420),(59 50828024),(60 50520948),(61 50538344),(62 50649456),(63 50819320),(64 50942040),(65 50967708),(66 50763264),(67 50559676),(68 50473600),(69 50447240),(70 50494410),(71 50297548),(72 50404890),(73 50336324),(74 49977710),(75 49312640),(76 48328892),(77 47093490),(78 45710132),(79 43885310),
(1 1207297),(2 4610215.5),(3 9723383),(4 16026097),(5 23036472),(6 30262302),(7 37603096),(8 44713120),(9 51442010),(10 57495572),(11 62706710),(12 66990300),(13 70081790),(14 71931580),(15 72622140),(16 72237530),(17 70929170),(18 68899920),(19 66361764),(20 63561984),(21 60607280),(22 57642316),(23 54846030),(24 52387908),(25 50485144),(26 49271160),(27 48749500),(28 48565736),(29 48559710),(30 48652720),(31 48740896),(32 48933024),(33 49049124),(34 48927916),(35 48414570),(36 47448544),(37 46398628),(38 45661064),(39 45218924),(40 44871490),(41 44614964),(42 44543820),(43 44505852),(44 44446124),(45 44277924),(46 44141656),(47 43916828),(48 44173150),(49 44652332),(50 45332316),(51 46227420),(52 47261524),(53 48360388),(54 49393612),(55 50288870),(56 51172876),(57 52390744),(58 53957990),(59 55648744),(60 57292896),(61 58797444),(62 60012936),(63 60701420),(64 60634788),(65 59922830),(66 58931756),(67 57888852),(68 56663980),(69 55406850),(70 54135424),(71 52692990),(72 51495600),(73 50381090),(74 49153230),(75 48104150),(76 47464724),(77 47054760),(78 46735204),(79 46188670),
(1 799417.56),(2 2896836.3),(3 5855625),(4 9216476),(5 12655660),(6 16035554),(7 19300272),(8 22525224),(9 25582114),(10 28379274),(11 30928196),(12 33174634),(13 35060930),(14 36642996),(15 38127268),(16 39155496),(17 39760412),(18 40172480),(19 40593892),(20 40972144),(21 41237576),(22 41360024),(23 41527188),(24 41674936),(25 41674790),(26 41709548),(27 41880348),(28 42246740),(29 42473390),(30 42676156),(31 42822544),(32 42919836),(33 42925420),(34 42576624),(35 42057884),(36 41455364),(37 40806184),(38 40243696),(39 39682820),(40 39157510),(41 38620944),(42 38204344),(43 37918948),(44 37779900),(45 37453492),(46 36911570),(47 36339436),(48 35919756),(49 35398140),(50 34927900),(51 34779972),(52 34697040),(53 34765360),(54 35089050),(55 35583372),(56 36330250),(57 37172270),(58 37982868),(59 38973988),(60 40049170),(61 41237210),(62 42145764),(63 42696510),(64 42763310),(65 42493800),(66 42128850),(67 41653900),(68 40990590),(69 40132910),(70 39183404),(71 38211740),(72 37645160),(73 37491156),(74 37589188),(75 37738760),(76 37916910),(77 38025932),(78 37817972),(79 37527870),
(1 705302.4),(2 2550735.5),(3 5128364),(4 8069300),(5 11042782),(6 13820116),(7 16298112),(8 18324416),(9 19853474),(10 20969694),(11 21739636),(12 22392288),(13 22957144),(14 23505122),(15 24026030),(16 24477082),(17 24856802),(18 25204660),(19 25473040),(20 25784844),(21 26217678),(22 26609780),(23 26808598),(24 26789872),(25 26728990),(26 26752688),(27 26767928),(28 26798508),(29 26829086),(30 26786176),(31 26456908),(32 25816764),(33 24985538),(34 24061606),(35 23322158),(36 22786044),(37 22339152),(38 21823098),(39 21218082),(40 20662332),(41 20174414),(42 19929532),(43 20105114),(44 20705178),(45 21492064),(46 22463014),(47 23421798),(48 24264662),(49 25042752),(50 25580792),(51 25741062),(52 25681502),(53 25663672),(54 26009114),(55 26721352),(56 27557522),(57 28363722),(58 28799108),(59 28991742),(60 28963004),(61 28608000),(62 28077584),(63 27419330),(64 26618704),(65 25845086),(66 25229094),(67 24929840),(68 24902408),(69 25004936),(70 25122800),(71 25164834),(72 25232654),(73 25357978),(74 25548432),(75 25839590),(76 26493168),(77 27306892),(78 27879108),(79 28458560),
