q, (a, b, c)
93.5, (127951.26567518327,7.891203469301038,-19884.828243943015,0.9600759201893271)
94.5, (117480.55195202422,9.298930002690579,-13983.872261553051,0.9594582781053859)
95.5, (120057.7851782578,8.30610833636451,-16169.87429138861,0.9601817315406108)
96.5, (120590.56501628908,7.7929971066438,-17659.124878782226,0.9604042166154554)
97.5, (122424.044347656,7.996978990161938,-17665.916128513873,0.9589855305580308)
98.5, (115352.25692563015,7.162314424639508,-17560.919962543725,0.9584709414832991)
99.5, (115554.70478181467,7.6694274255341774,-16281.811597657224,0.9570034502327351)
100.5, (115432.61832869233,7.037626265593652,-17539.37886351906,0.9586983410044887)
101.5, (109883.98409106414,7.405566622161798,-15070.193679626458,0.9572964172233243)
102.5, (120756.70848167282,6.6488819977020235,-19754.11679516031,0.9576548667206245)
103.5, (110608.56430890459,7.495317004233699,-14391.796455593978,0.955251880034473)
104.5, (110498.25937963143,6.615303688287299,-16842.796433649106,0.9576662956367055)
105.5, (109903.4000114519,6.450845259919168,-17029.174905834527,0.9566684617116274)
106.5, (108501.33613831487,7.251994682688807,-14450.943806852276,0.9539863850461676)
107.5, (102032.69687905164,6.708280027466536,-13939.963596610984,0.9540738758379284)
108.5, (105395.07861555369,6.82783085724328,-14299.200690909647,0.045662238025647096)
109.5, (108491.22396680729,6.208181188190052,-16444.077683335283,0.9555182886919408)
110.5, (105600.212133336,5.864206124044385,-16728.058805051838,0.9555886238349891)
111.5, (99006.0894859009,6.783234544022728,-12094.516205546706,0.951716723612644)
112.5, (103941.36658745947,6.224172082952999,-15028.927293218783,0.9530046156089562)
113.5, (101816.32907615701,6.891651237927054,-12016.37807098048,0.9515377876340901)
114.5, (101988.67736697456,6.368642233742369,-13921.780999850467,0.9529982277229724)
115.5, (96610.77505120108,6.419874090847645,-11931.656096803319,0.9508245887296942)
116.5, (95988.45190749504,5.914750110770786,-13186.124420114687,0.9535512306241457)
117.5, (92094.05265085933,6.50274172840343,-10419.393757812233,0.9487880664588517)
118.5, (94503.40560183332,5.886139385283762,-12705.185574019903,0.9508347787726787)
119.5, (95674.09802076445,5.677480979465915,-13699.702712438726,0.9497451469515767)
120.5, (98362.79878074105,5.303146522337397,-15417.285278405227,0.9515003260192698)
121.5, (90766.78209058626,6.278134996114329,-9930.577844697887,0.9469728292954283)
122.5, (90030.65561103386,5.771608879116497,-11344.55251195694,0.9487572203719197)
123.5, (93360.97655694697,5.616804960815716,-12666.342904728806,0.9485965375883134)
124.5, (85859.98477840095,5.4518368941471005,-10969.448116617485,0.9487880612179045)
125.5, (89383.84761922233,5.683561202576614,-11206.950302492138,0.9483473403820921)
126.5, (86537.5224659757,5.145435887466327,-11949.416127730161,0.9473855603618376)
127.5, (85995.25938360972,5.370125719143376,-11054.59610172599,0.9486129140106938)
128.5, (85446.10680873937,5.496651035459366,-10692.727967816385,1.0524746868722135)
129.5, (83274.48828164012,6.02228688796736,-8442.673630000298,1.0565485397190337)
130.5, (82882.83363670055,5.432640297401791,-9964.660496089262,0.9450153874958213)
131.5, (81069.40216712559,5.0334881303277434,-10537.1130159931,0.9455468499419112)
132.5, (79512.37647928625,5.05129966833355,-10130.034998689727,0.9461977703734848)
133.5, (77320.47597504519,5.248574974855486,-8766.520050928502,0.9440759143468267)
134.5, (77708.13851930134,5.05861589361525,-9396.091907079024,0.9452375640393674)
135.5, (78519.12811097303,5.090393150617329,-9394.029431088426,1.056048607115085)
136.5, (75767.49839380142,4.967939484313537,-9218.279332215425,0.9432629996801608)
137.5, (75582.01561828342,5.019374831563326,-9087.679607914935,0.9423272109810343)
138.5, (74061.92257921782,4.827319594514813,-8875.375966240066,1.0563008189750214)
139.5, (70779.74466272531,4.609341138261821,-8727.364703406867,0.9429509131541427)
140.5, (68553.4710034549,5.0907544810014,-6577.462452924045,1.0585818103700038)
141.5, (71834.29153167002,4.373893805716173,-9607.102980411642,1.0566591823487306)
142.5, (-971749503.2567136,0.19623771925281636,971810632.7578533,1.7487096249039782)
143.5, (-1341826078.5254817,0.18992892591921123,1341886536.9721138,1.7489083290009488)
144.5, (-1540877199.2089674,0.1868586074180131,1540936163.1936646,1.7489958863371888)
145.5, (66359.37420164162,4.644364602915915,-7148.316951451324,2.060081647364402)
146.5, (65414.25939003619,4.379423953504416,-7628.225827783191,2.058956301426616)
147.5, (62633.060836429635,4.549208071457544,-6490.330227678269,1.9387979437569842)
148.5, (-945685958.6073246,0.19506824851807095,945743434.2138845,1.7487326611778813)
149.5, (62709.237513639724,4.364695637801806,-6862.52532405252,2.061216537559468)
150.5, (60651.8125214222,4.381443527461434,-6415.7694836842575,1.9384721274410126)
151.5, (58712.843263991155,4.39701570100664,-5731.080694087081,1.93717102463546)
152.5, (-1009275358.3656715,0.19150948437818568,1009328458.5910202,2.2511855091630606)
153.5, (59275.58390935657,4.011269345143259,-6995.110735826034,1.9387891818380107)
154.5, (-992336052.647016,0.1908599997762866,992387446.9009495,2.2511785415910133)
155.5, (-903125074.3827906,0.19238487861849016,903175833.1917322,2.251223419884567)
156.5, (-885697358.7542061,0.1921905414918658,885746817.1063955,2.251219281635567)
