q, (a, b, c)
358.5, (-7386.810092766828,0.7671007024141285,12655.9555197333,-0.6185028413761701)
359.5, (-7149.782033606958,0.7861020239495702,12441.726937446767,-0.38223366628525757)
360.5, (-7168.532884121714,0.7896581778455963,12493.316698314931,-0.3832398484511822)
361.5, (-6975.048289336202,0.8325088229256938,12522.894824597874,-0.3837139727415839)
362.5, (-6101.553874686544,0.8890009374885364,11575.194163825532,-0.6127382571633122)
363.5, (-7487.547457332533,0.7856821732205034,13118.600129567194,-0.6156976650229287)
364.5, (-8216.133603861896,0.7255263267027233,13832.375999786147,-0.614160496477545)
365.5, (-8548.495590542207,0.7259087513661844,14265.654531364598,-0.6175558530077805)
366.5, (-8520.800780272484,0.7161745885086378,14324.359606450125,-0.6156688240851049)
367.5, (-7296.066133975066,0.8244231601442702,13080.55275285264,-0.6161722608879254)
368.5, (-6808.543767349027,0.8506556632662807,12674.9351308794,-0.6116277588207304)
369.5, (-6719.866237611392,0.848803226301251,12531.572705518829,-0.6115063457065503)
370.5, (-6484.279577720632,0.8543427202666207,12394.180237745428,-0.6095706603101276)
371.5, (-6871.359409484909,0.838516911602273,12843.112275229578,-0.6101510519708329)
372.5, (96661.43289110712,0.31824519322447237,-90671.10228244662,-0.1875252651421119)
373.5, (-5808.9730522794525,0.9643249336616696,11911.56334836625,-0.6070877323589842)
374.5, (-6066.021753485655,0.9440675770018542,12142.703801743879,-0.6100940906999845)
375.5, (-6852.655497767675,0.8787594976510896,13141.567086738789,-0.6109888653776846)
376.5, (-6017.276273935119,0.9683426484958491,12300.568515488207,-0.6073694653686603)
377.5, (-6065.282803785868,0.9472848443640048,12334.661309095653,-0.6069337238276035)
378.5, (-6227.766173777547,0.9377098865342423,12598.574031904625,-0.6063173510046714)
379.5, (-5876.095762820835,0.9680343451383036,12116.660338953654,-0.6070025289926855)
380.5, (-5884.713944245595,0.975695094734067,12330.62184742541,-0.6047365058158803)
381.5, (-6053.232219522342,0.9463404446054988,12391.174570457837,-0.6056646055222975)
382.5, (-6047.865267873802,0.9405943457180448,12492.930078625672,-0.6034962817565392)
383.5, (-6159.604280223681,0.9495767944496056,12680.444374681058,-0.6045176745197623)
384.5, (-6822.281097128851,0.8782552090291386,13364.448788315874,-0.6071576519269053)
385.5, (-6582.888592685292,0.9037886782448316,13147.907742091942,-0.6058928586414706)
386.5, (-6612.52181087999,0.892418757431753,13109.708942560523,-0.6047404537214309)
387.5, (-6173.287395852239,0.9645543182659941,12794.819985109201,-0.6068728345042523)
388.5, (-6148.80909441264,0.9425501360905257,12730.320693481637,-0.6030162281004294)
389.5, (-5848.371881461013,0.9880462339930174,12456.015153184364,-0.6026778886572534)
390.5, (-6040.364492981874,0.9795312491865109,12772.734041724576,-0.6042214417896655)
391.5, (-5426.819262233737,1.0296635484776324,11964.707832830973,-0.6022102296661509)
392.5, (-6006.524877270551,0.9957105841329118,12766.411001257857,-0.6047872370189841)
393.5, (-5422.260128521083,1.0488802347214934,12061.131060379344,-0.6024863891635301)
394.5, (-5900.2560810537425,0.9857133452215018,12572.064026086167,-0.6039814319677079)
395.5, (-5936.402113184356,0.9848625740821265,12724.952717750573,-0.6022495447038053)
396.5, (-5922.660913678589,0.982542296545461,12546.206895625328,-0.6054524625744253)
397.5, (-5882.026256793197,0.9813677442404262,12695.015146671803,-0.6011870719985477)
398.5, (-5566.8416505017485,1.0204871673657518,12151.779951629596,-0.6027214518004003)
399.5, (-5562.583188811381,1.0218326430679747,12322.654014135234,-0.6012900601837112)
