1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 80680.02),(2 265613.1),(3 559391.7),(4 934469.8),(5 1363246.6),(6 1809229),(7 2326638.3),(8 2906831),(9 3529492.8),(10 4262826.5),(11 5058085.5),(12 5869247.5),(13 6731688.5),(14 7633114.5),(15 8377838.5),(16 9209313),(17 10085229),(18 10970784),(19 11864137),(20 12781965),(21 13636429),(22 14487453),(23 15313467),(24 16021315),(25 16768757),(26 17550296),(27 18231382),(28 18911842),(29 19577758),(30 20119554),(31 20565690),(32 20986218),(33 21352976),(34 21750172),(35 22188162),(36 22702464),(37 23298962),(38 23973454),(39 24616542),(40 25236736),(41 25883230),(42 26492376),(43 27137986),(44 27857568),(45 28681472),(46 29575734),(47 30396304),(48 31210730),(49 31895128),(50 32404330),(51 32894294),(52 33421666),(53 33964932),(54 34504944),(55 35024732),(56 35488216),(57 36114340),(58 36916148),(59 37719460),(60 38556984),(61 39498970),(62 40478670),(63 41568170),(64 42684340),(65 43819836),(66 44973588),(67 46140692),(68 47346124),(69 48530836),(70 49883572),(71 51203612),(72 52598336),(73 54012110),(74 55450720),(75 56882988),(76 58390944),(77 60098196),(78 61861250),(79 63384110),
(1 84132.59),(2 283861.44),(3 577969.3),(4 982326.1),(5 1459003.5),(6 1964262.8),(7 2579400.5),(8 3261882.5),(9 3998671.5),(10 4924195),(11 5906551),(12 6969957),(13 8143316),(14 9302868),(15 10406266),(16 11607208),(17 12833135),(18 14093645),(19 15433632),(20 16756419),(21 18056530),(22 19441312),(23 20800902),(24 22054894),(25 23404190),(26 24740914),(27 26012406),(28 27352102),(29 28562086),(30 29650172),(31 30697708),(32 31612288),(33 32401654),(34 33187908),(35 33953204),(36 34774570),(37 35669016),(38 36553504),(39 37411020),(40 38387788),(41 39264490),(42 40188296),(43 41178572),(44 42091930),(45 43047572),(46 44115576),(47 45007370),(48 45954270),(49 46956960),(50 47723770),(51 48583624),(52 49593824),(53 50493268),(54 51514730),(55 52713004),(56 53801570),(57 54941190),(58 56225204),(59 57370380),(60 58534772),(61 59728360),(62 60815710),(63 61915596),(64 63067104),(65 64182292),(66 65450250),(67 66790230),(68 68117330),(69 69499704),(70 70950590),(71 72370770),(72 73839660),(73 75213580),(74 76451710),(75 77705940),(76 78921930),(77 80140930),(78 81523840),(79 82653680),
(1 76973.23),(2 261786.7),(3 550396.94),(4 941400.44),(5 1433139.4),(6 2007607),(7 2682175),(8 3411938.8),(9 4219302.5),(10 5155578.5),(11 6189622.5),(12 7349524),(13 8608277),(14 9894051),(15 11243845),(16 12697736),(17 14198668),(18 15826120),(19 17475000),(20 19075290),(21 20719966),(22 22478058),(23 24337350),(24 26188330),(25 28194072),(26 30241790),(27 32363978),(28 34573668),(29 36859092),(30 39125110),(31 41458572),(32 43737084),(33 45969570),(34 48096404),(35 50352308),(36 52662292),(37 54962452),(38 57225836),(39 59467780),(40 61738384),(41 64019840),(42 66310160),(43 68693944),(44 70965624),(45 73358820),(46 75876750),(47 78264376),(48 80684520),(49 83109224),(50 85237090),(51 87260890),(52 89296300),(53 91248320),(54 93005610),(55 94830650),(56 96371160),(57 97899140),(58 99403160),(59 100846104),(60 102181610),(61 103410850),(62 104439210),(63 105420030),(64 106146780),(65 106647510),(66 107011736),(67 107252470),(68 107244480),(69 106991016),(70 106528610),(71 105930780),(72 105243390),(73 104478790),(74 103549336),(75 102659040),(76 101816190),(77 101016380),(78 100325096),(79 99538680),
(1 86092),(2 314703.06),(3 661903.06),(4 1113531.5),(5 1662583.4),(6 2282174.8),(7 3012068),(8 3820008.5),(9 4691926),(10 5677188),(11 6763732.5),(12 7959598),(13 9250864),(14 10592757),(15 11946581),(16 13458869),(17 15046766),(18 16742370),(19 18510520),(20 20296772),(21 22107516),(22 24004932),(23 25975522),(24 27964864),(25 30099992),(26 32292124),(27 34503384),(28 36762744),(29 39068104),(30 41326996),(31 43656828),(32 45935824),(33 48197510),(34 50467620),(35 52765860),(36 54976548),(37 57143300),(38 59206948),(39 61074960),(40 62857452),(41 64610360),(42 66344880),(43 68110184),(44 69736720),(45 71324900),(46 72909340),(47 74396740),(48 75800984),(49 77164900),(50 78383320),(51 79500700),(52 80558776),(53 81511240),(54 82369820),(55 83225700),(56 83889710),(57 84547330),(58 85230500),(59 85961710),(60 86713760),(61 87551090),(62 88338030),(63 89027530),(64 89673870),(65 90159064),(66 90497970),(67 90807920),(68 91067560),(69 91272830),(70 91421180),(71 91578910),(72 91699580),(73 91895224),(74 91983570),(75 92178930),(76 92443976),(77 92800100),(78 93220904),(79 93583460),
(1 87496.24),(2 324413.03),(3 694294.56),(4 1176682.9),(5 1756132.8),(6 2410102.3),(7 3152785.5),(8 3958920),(9 4834094),(10 5791770),(11 6803780.5),(12 7880138),(13 9039525),(14 10247051),(15 11562189),(16 12894327),(17 14295117),(18 15756652),(19 17276766),(20 18849240),(21 20444726),(22 22064436),(23 23693922),(24 25325242),(25 27038894),(26 28806080),(27 30606184),(28 32438760),(29 34318180),(30 36145744),(31 37990044),(32 39804580),(33 41641470),(34 43474332),(35 45343720),(36 47083644),(37 48793700),(38 50396748),(39 51927080),(40 53354180),(41 54733348),(42 56085108),(43 57406696),(44 58685350),(45 60019480),(46 61372220),(47 62687870),(48 64009988),(49 65310916),(50 66566076),(51 67854010),(52 69076610),(53 70288920),(54 71395020),(55 72440650),(56 73359256),(57 74250310),(58 75108330),(59 76000290),(60 76923896),(61 77876970),(62 78802880),(63 79705340),(64 80516100),(65 81246690),(66 81959450),(67 82598424),(68 83209170),(69 83755016),(70 84209050),(71 84640070),(72 84952830),(73 85278840),(74 85500130),(75 85760220),(76 86071190),(77 86362696),(78 86632824),(79 86871710),
(1 70155.35),(2 261027.53),(3 556497.7),(4 936787.6),(5 1383964.4),(6 1884586.8),(7 2461395.5),(8 3079813.5),(9 3735784.8),(10 4412526.5),(11 5072493),(12 5726612),(13 6413862.5),(14 7117549.5),(15 7847381),(16 8579135),(17 9312200),(18 10062073),(19 10786080),(20 11508082),(21 12193591),(22 12866107),(23 13498422),(24 14083493),(25 14675203),(26 15222653),(27 15678576),(28 16066877),(29 16386198),(30 16645738),(31 16914172),(32 17168134),(33 17429184),(34 17625744),(35 17784814),(36 17929894),(37 18041788),(38 18084816),(39 18077520),(40 18061872),(41 18042124),(42 18078164),(43 18130512),(44 18199260),(45 18347712),(46 18576800),(47 18873548),(48 19281670),(49 19787226),(50 20360912),(51 21024262),(52 21760074),(53 22525222),(54 23321140),(55 24178652),(56 25079374),(57 25986898),(58 26898556),(59 27851866),(60 28809158),(61 29749178),(62 30674960),(63 31617994),(64 32562170),(65 33503920),(66 34546412),(67 35587930),(68 36546860),(69 37505516),(70 38436060),(71 39351184),(72 40241260),(73 41134520),(74 42004108),(75 42867944),(76 43727020),(77 44550172),(78 45357284),(79 46093332),
(1 70873.445),(2 269303.06),(3 577763.6),(4 970269.6),(5 1427289.1),(6 1965343.3),(7 2590446.5),(8 3276596.3),(9 4020399),(10 4799587),(11 5624346),(12 6493407.5),(13 7406868.5),(14 8361099),(15 9312324),(16 10314281),(17 11322167),(18 12314693),(19 13275966),(20 14227948),(21 15202646),(22 16138990),(23 17027566),(24 17880160),(25 18686114),(26 19417746),(27 20057694),(28 20631120),(29 21105656),(30 21473974),(31 21762324),(32 21988014),(33 22151816),(34 22248248),(35 22329822),(36 22397110),(37 22444540),(38 22481674),(39 22542012),(40 22579806),(41 22629156),(42 22712370),(43 22832508),(44 22970122),(45 23144814),(46 23344932),(47 23575158),(48 23887192),(49 24226980),(50 24584334),(51 24988946),(52 25422194),(53 25879198),(54 26332628),(55 26856446),(56 27318444),(57 27779670),(58 28170280),(59 28481106),(60 28729474),(61 28915422),(62 29062542),(63 29132322),(64 29150208),(65 29124334),(66 29097406),(67 29046262),(68 28941064),(69 28785036),(70 28606240),(71 28440494),(72 28289262),(73 28147798),(74 28068716),(75 28032278),(76 28031346),(77 28094708),(78 28165768),(79 28228174),
(1 87553.29),(2 329046.88),(3 705566.1),(4 1202239.4),(5 1805132.3),(6 2515594.5),(7 3307870.3),(8 4169259.3),(9 5076440),(10 6021872),(11 7016481),(12 8039949.5),(13 9075034),(14 10150736),(15 11254198),(16 12359031),(17 13461359),(18 14540034),(19 15597303),(20 16654876),(21 17636132),(22 18576636),(23 19501308),(24 20353082),(25 21149930),(26 21863844),(27 22463328),(28 22981692),(29 23402376),(30 23701572),(31 23879390),(32 23944372),(33 23923190),(34 23801690),(35 23621094),(36 23332370),(37 23019256),(38 22683144),(39 22320324),(40 21939618),(41 21581758),(42 21224570),(43 20918918),(44 20608402),(45 20305588),(46 20025610),(47 19804790),(48 19650926),(49 19550592),(50 19488402),(51 19484068),(52 19524970),(53 19595804),(54 19671918),(55 19788758),(56 19884088),(57 19994684),(58 20101054),(59 20212350),(60 20356788),(61 20529396),(62 20716468),(63 20923634),(64 21134398),(65 21344576),(66 21630912),(67 21948658),(68 22250506),(69 22583018),(70 22910324),(71 23260242),(72 23589926),(73 23914394),(74 24214186),(75 24507084),(76 24754236),(77 25018772),(78 25254314),(79 25406894),
(1 90197.39),(2 344688.13),(3 737641.2),(4 1255258.4),(5 1867539),(6 2566106),(7 3352424.5),(8 4187698),(9 5079060.5),(10 6007940),(11 6969384),(12 7970927),(13 9016508),(14 10067693),(15 11154324),(16 12238585),(17 13312482),(18 14342441),(19 15319736),(20 16213843),(21 16985326),(22 17662040),(23 18231424),(24 18655648),(25 18945208),(26 19078038),(27 19044810),(28 18891240),(29 18649582),(30 18346616),(31 17996872),(32 17648222),(33 17307382),(34 16993456),(35 16732919),(36 16544196),(37 16412265),(38 16367787),(39 16423729),(40 16560905),(41 16782912),(42 17091068),(43 17467794),(44 17875636),(45 18344338),(46 18883760),(47 19451528),(48 20110552),(49 20800520),(50 21464390),(51 22120936),(52 22760676),(53 23342878),(54 23858670),(55 24351488),(56 24809168),(57 25257814),(58 25681634),(59 26125538),(60 26562138),(61 26956378),(62 27288926),(63 27579428),(64 27825848),(65 27977708),(66 28050490),(67 28024244),(68 27880674),(69 27631178),(70 27276340),(71 26854464),(72 26383032),(73 25884790),(74 25333656),(75 24779724),(76 24189278),(77 23562068),(78 22893120),(79 22193546),
(1 117770.64),(2 447434.84),(3 962793.56),(4 1636048.3),(5 2432368),(6 3306034.5),(7 4275137),(8 5298127.5),(9 6371592),(10 7460494),(11 8548116),(12 9651924),(13 10769874),(14 11876772),(15 12902156),(16 13866782),(17 14761355),(18 15558516),(19 16254937),(20 16817150),(21 17237454),(22 17519962),(23 17717298),(24 17837112),(25 17891474),(26 17893772),(27 17883806),(28 17860608),(29 17857674),(30 17875544),(31 17927292),(32 18059886),(33 18248722),(34 18454886),(35 18695336),(36 18948914),(37 19245806),(38 19579580),(39 19937640),(40 20301616),(41 20682876),(42 21038964),(43 21327198),(44 21515624),(45 21661182),(46 21777358),(47 21834704),(48 21824498),(49 21784950),(50 21663898),(51 21513066),(52 21313952),(53 21080456),(54 20808888),(55 20509810),(56 20225634),(57 19958798),(58 19691850),(59 19429888),(60 19125642),(61 18808490),(62 18479016),(63 18160232),(64 17849206),(65 17540024),(66 17269148),(67 17014724),(68 16801570),(69 16627045),(70 16491204),(71 16398642),(72 16334670),(73 16298716),(74 16300780),(75 16318149),(76 16330503),(77 16317495),(78 16262313),(79 16188327),
(1 106435.48),(2 410721.8),(3 889574),(4 1521816.3),(5 2275062),(6 3116597.3),(7 4052480.5),(8 5034811),(9 6046587.5),(10 7063625),(11 8066888.5),(12 9049028),(13 10013976),(14 10936467),(15 11770790),(16 12499769),(17 13140917),(18 13683712),(19 14127678),(20 14474270),(21 14780797),(22 15090372),(23 15379091),(24 15666344),(25 15965858),(26 16275795),(27 16588689),(28 16907798),(29 17231646),(30 17550024),(31 17835242),(32 18048888),(33 18206840),(34 18276816),(35 18275304),(36 18200030),(37 18075328),(38 17927600),(39 17779248),(40 17614614),(41 17411780),(42 17210154),(43 17018836),(44 16840576),(45 16692525),(46 16572215),(47 16478688),(48 16419373),(49 16375273),(50 16325743),(51 16276768),(52 16229169),(53 16182291),(54 16160361),(55 16143571),(56 16103251),(57 16076627),(58 16050857),(59 16027569),(60 16018458),(61 16044800),(62 16088344),(63 16153304),(64 16241224),(65 16341658),(66 16444740),(67 16553126),(68 16637897),(69 16687311),(70 16696348),(71 16665487),(72 16610735),(73 16539919),(74 16460949),(75 16399774),(76 16372738),(77 16399646),(78 16516870),(79 16714116),
