1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 18110.926),(2 66811.734),(3 141006.22),(4 232657.77),(5 337758),(6 454051.13),(7 577593.8),(8 704846.6),(9 830377.06),(10 949727.8),(11 1063095),(12 1167928.4),(13 1265103.3),(14 1353014.4),(15 1429245.5),(16 1495414.4),(17 1549936.4),(18 1591332.4),(19 1625543.5),(20 1648217.6),(21 1663931),(22 1677581),(23 1680987.3),(24 1680177),(25 1678526.8),(26 1677446.4),(27 1670600.5),(28 1664549.9),(29 1659768),(30 1654270.6),(31 1652974.6),(32 1660313),(33 1668788.9),(34 1680581.8),(35 1695407.1),(36 1716872.4),(37 1746256.4),(38 1778811.9),(39 1817389.8),(40 1859300.8),(41 1903095.3),(42 1946460.5),(43 1987734.1),(44 2030289.4),(45 2072143.6),(46 2109295),(47 2144441.5),(48 2179116.5),(49 2209976),(50 2241414.8),(51 2268999.3),(52 2298967.3),(53 2323613.5),(54 2343530.5),(55 2361905.8),(56 2375302.3),(57 2388729),(58 2392708.5),(59 2391207.8),(60 2381681.8),(61 2372392.8),(62 2346437.5),(63 2316928.8),(64 2288184.3),(65 2259688.3),(66 2231667.3),(67 2207408.8),(68 2177478.5),(69 2149382.3),(70 2118216),(71 2084969.9),(72 2053304.8),(73 2022105.9),(74 1989901.6),(75 1960281.4),(76 1926873.9),(77 1895157.6),(78 1865389.6),(79 1836777.8),
(1 20339.133),(2 76431.03),(3 162960.92),(4 272775.9),(5 398885.75),(6 536897.2),(7 678363.3),(8 820295.3),(9 960368.7),(10 1097119),(11 1226637.1),(12 1343645.5),(13 1456408.4),(14 1559477.4),(15 1657145.1),(16 1749072.6),(17 1836205.6),(18 1915239.4),(19 1985683.9),(20 2048706.6),(21 2102055.8),(22 2142762.5),(23 2172884.8),(24 2187512.8),(25 2194915.3),(26 2188946.8),(27 2171468.8),(28 2142375.8),(29 2106627.5),(30 2072300.1),(31 2036328.1),(32 2001548.6),(33 1971505.4),(34 1945456),(35 1920804.5),(36 1898402.9),(37 1882741.4),(38 1868143.9),(39 1857603.9),(40 1852966),(41 1849803.9),(42 1846943.1),(43 1850322.4),(44 1862871),(45 1881710.6),(46 1902717),(47 1924591.1),(48 1948392),(49 1974848.6),(50 2007827.5),(51 2035513),(52 2060721.9),(53 2088765.4),(54 2108884.3),(55 2119607.3),(56 2121657.3),(57 2125028.8),(58 2125472.8),(59 2126904.3),(60 2127618.8),(61 2133828.5),(62 2136688.3),(63 2138729.5),(64 2136995.8),(65 2136493.8),(66 2129024.3),(67 2121422),(68 2114124.3),(69 2106016.8),(70 2096695.1),(71 2088682.4),(72 2089497.4),(73 2094533.1),(74 2099063.3),(75 2110794.8),(76 2120510),(77 2136687.8),(78 2151167.3),(79 2162116.3),
(1 20140.803),(2 75784.46),(3 161741.88),(4 272261.53),(5 403546),(6 551055.94),(7 709966.3),(8 872702.56),(9 1034909.25),(10 1193877.1),(11 1347354.9),(12 1486779),(13 1613908.5),(14 1728587.5),(15 1824946.3),(16 1901971.3),(17 1963431.6),(18 2011221.1),(19 2048967.6),(20 2078605.8),(21 2096894.1),(22 2112963.3),(23 2118041.5),(24 2115661.8),(25 2109890),(26 2102010),(27 2096305.9),(28 2088754.5),(29 2092328),(30 2098848.5),(31 2110099),(32 2127514.5),(33 2153657.3),(34 2185873),(35 2223061.8),(36 2259730),(37 2302140.8),(38 2346931),(39 2397891),(40 2448353.5),(41 2495607.8),(42 2536156.5),(43 2570250),(44 2594192.5),(45 2603376),(46 2599319),(47 2579848.8),(48 2548563.8),(49 2506446.5),(50 2450384.3),(51 2386068.3),(52 2314892.3),(53 2242315.5),(54 2168377.5),(55 2097439),(56 2028526.9),(57 1964562.5),(58 1907104.4),(59 1862065.9),(60 1825816.5),(61 1799209.6),(62 1774323.5),(63 1755307.9),(64 1733232.8),(65 1712936.5),(66 1696762.3),(67 1685906.5),(68 1680356.8),(69 1682831.6),(70 1687681.5),(71 1695091.4),(72 1704448.8),(73 1718298.1),(74 1732741.8),(75 1746115.5),(76 1755002.8),(77 1762727.4),(78 1762479.6),(79 1756204.1),
(1 20569.588),(2 78089.414),(3 166875.02),(4 280622.03),(5 412801.4),(6 557197.94),(7 709207.2),(8 860283.8),(9 1003669.2),(10 1135871.6),(11 1253520),(12 1356855.4),(13 1448529.8),(14 1526829.8),(15 1591697.9),(16 1642868.4),(17 1686085.6),(18 1725497.8),(19 1757099),(20 1782644.6),(21 1800207.6),(22 1817369),(23 1828691.6),(24 1832675.9),(25 1830808.5),(26 1827905.6),(27 1824312.8),(28 1819321.8),(29 1812191.5),(30 1806942.9),(31 1799360.8),(32 1792168.5),(33 1791159),(34 1797140.5),(35 1807531.5),(36 1823348.8),(37 1843800.8),(38 1861734.1),(39 1879629.6),(40 1897985.8),(41 1911037.6),(42 1925291.5),(43 1941532.6),(44 1957448),(45 1970178.3),(46 1986257.8),(47 1997971.5),(48 2007905.9),(49 2014335.5),(50 2015259.4),(51 2008881),(52 2001971),(53 1994319.4),(54 1983878.5),(55 1978018.8),(56 1974332.5),(57 1966506.5),(58 1959624.1),(59 1955934.5),(60 1953446.1),(61 1947701.1),(62 1942624.5),(63 1940319),(64 1932486.4),(65 1927192),(66 1923467.5),(67 1917750.5),(68 1909220.1),(69 1896765.1),(70 1885232.1),(71 1878109.3),(72 1871189.9),(73 1868197.3),(74 1868129.5),(75 1875217.8),(76 1885725.3),(77 1896414.1),(78 1909467.6),(79 1918615.3),
(1 19038.377),(2 71115.625),(3 151013.34),(4 253301.73),(5 373403.22),(6 504990.66),(7 644011.25),(8 784802.75),(9 924000.44),(10 1060665.5),(11 1190816.4),(12 1312529.1),(13 1427225.9),(14 1533564.1),(15 1624752.6),(16 1706845),(17 1778049),(18 1833547.8),(19 1875190.9),(20 1896248.9),(21 1907739.3),(22 1908360.6),(23 1898473.6),(24 1880075),(25 1851007.1),(26 1817228.5),(27 1783737.8),(28 1740789.6),(29 1699477.8),(30 1665050.3),(31 1637975.3),(32 1615223.4),(33 1602637.4),(34 1593019.3),(35 1586342.5),(36 1582952.8),(37 1584636),(38 1589659.3),(39 1601042.1),(40 1614491.3),(41 1635617.1),(42 1655934.4),(43 1678738.1),(44 1706640.3),(45 1737224.9),(46 1767871.9),(47 1792614.1),(48 1816176.9),(49 1841691.4),(50 1874172.6),(51 1905667),(52 1935635.5),(53 1970385.5),(54 2003512.8),(55 2033840.3),(56 2061344.5),(57 2081886.3),(58 2105006.3),(59 2129820.3),(60 2153512.5),(61 2175806.8),(62 2194810.3),(63 2210902.8),(64 2219033),(65 2220465.8),(66 2213703),(67 2200853),(68 2180676.8),(69 2151711),(70 2112327.5),(71 2066376.6),(72 2008069.4),(73 1939565.4),(74 1860952),(75 1775805),(76 1690657.5),(77 1607099.5),(78 1527233.5),(79 1454301.5),
(1 23134.385),(2 87271.75),(3 185748.72),(4 309633.34),(5 450630.53),(6 603677.6),(7 765068.1),(8 924529.44),(9 1076324.9),(10 1222703.3),(11 1356778.4),(12 1471247.1),(13 1572589.8),(14 1655819.9),(15 1718038.1),(16 1763925.6),(17 1788853.8),(18 1794533.6),(19 1783249.5),(20 1759015.8),(21 1725901.1),(22 1683009.9),(23 1636317.1),(24 1584742.3),(25 1531394.1),(26 1482952.8),(27 1438412.5),(28 1401024.8),(29 1378354.6),(30 1365970.1),(31 1362404.3),(32 1367727.1),(33 1386293.5),(34 1409606.9),(35 1429747.1),(36 1443184.8),(37 1454621.3),(38 1471054.4),(39 1487726.1),(40 1500057.1),(41 1512684),(42 1524384.8),(43 1542665.6),(44 1564815.8),(45 1591689.1),(46 1620514.3),(47 1648438.5),(48 1678958.1),(49 1712616.8),(50 1743343.1),(51 1769153.6),(52 1792092.9),(53 1810599.4),(54 1825582.9),(55 1841589.6),(56 1858350.1),(57 1877551.3),(58 1896592.8),(59 1915499.5),(60 1930714.5),(61 1940536.1),(62 1936523.3),(63 1926750.4),(64 1908862.1),(65 1884664.5),(66 1854648.4),(67 1814916.9),(68 1770264.9),(69 1724120.5),(70 1673857.9),(71 1619641.6),(72 1564996.8),(73 1514631.4),(74 1469861.3),(75 1426950.9),(76 1388549.6),(77 1351962.6),(78 1312960.3),(79 1274476.8),
(1 22080.527),(2 83172.65),(3 176361.48),(4 294432.7),(5 430311.28),(6 578638.94),(7 735549.25),(8 893292.2),(9 1041314.7),(10 1179145.5),(11 1300983.3),(12 1399647),(13 1479115.9),(14 1534991.6),(15 1568779.9),(16 1582024.9),(17 1578323.6),(18 1564133.6),(19 1540422.8),(20 1509812.4),(21 1475670.3),(22 1439189.6),(23 1401720.3),(24 1363852.8),(25 1328730.4),(26 1302827.1),(27 1288610.6),(28 1287009),(29 1293587.5),(30 1312515.6),(31 1342301.9),(32 1371396.9),(33 1407532.9),(34 1439833.5),(35 1464760.3),(36 1477278.4),(37 1480878.8),(38 1475102.1),(39 1459329.8),(40 1438016.8),(41 1413387.9),(42 1387050.3),(43 1361557.1),(44 1336442.3),(45 1311983.1),(46 1291274.5),(47 1270471.1),(48 1254144.3),(49 1240299.1),(50 1230978.9),(51 1223985),(52 1215891.9),(53 1209346.3),(54 1207452.4),(55 1214876),(56 1229297.5),(57 1247101.1),(58 1270164.9),(59 1296623.5),(60 1326763.6),(61 1358844.9),(62 1389387.9),(63 1419096),(64 1444303.3),(65 1465598.5),(66 1479878.9),(67 1483877.3),(68 1481037.9),(69 1465377.1),(70 1443081.8),(71 1414357),(72 1381526.5),(73 1344723.5),(74 1306419.9),(75 1268988.5),(76 1235905),(77 1205573.6),(78 1178136.4),(79 1157018.4),
(1 21621.035),(2 81062.39),(3 171099.25),(4 284119.25),(5 412581.38),(6 552273.7),(7 697067.1),(8 839158.7),(9 972521.94),(10 1096753.6),(11 1206416.5),(12 1298165.8),(13 1373558),(14 1431184.3),(15 1467144.6),(16 1485608.3),(17 1487352.3),(18 1472555.9),(19 1443591.6),(20 1401041.4),(21 1355184.8),(22 1307262.9),(23 1266338),(24 1229499.9),(25 1198130.9),(26 1173635),(27 1154423.6),(28 1138126.5),(29 1130683.4),(30 1129777),(31 1132569.6),(32 1134965.1),(33 1140476.3),(34 1144688.8),(35 1145497.5),(36 1143700.3),(37 1138663.8),(38 1138073.8),(39 1142343.8),(40 1154745.6),(41 1174077.3),(42 1196854.5),(43 1222650.6),(44 1246528.5),(45 1268573.1),(46 1287762.9),(47 1301708.3),(48 1312725.5),(49 1323105.9),(50 1333292.1),(51 1345542.4),(52 1359831.4),(53 1374643.9),(54 1389310.5),(55 1406133.1),(56 1424188.6),(57 1441804.1),(58 1452918.5),(59 1462593.8),(60 1470877.4),(61 1476986.9),(62 1478767.5),(63 1482736.5),(64 1484682.6),(65 1488939.1),(66 1495480.5),(67 1500027.8),(68 1502490.9),(69 1496522),(70 1486988.6),(71 1467747),(72 1433416.5),(73 1390297.1),(74 1340280.3),(75 1283372.9),(76 1223226.6),(77 1163307.6),(78 1107622.8),(79 1056430.1),
(1 21813.438),(2 81802.55),(3 170932.28),(4 279704.63),(5 399195.28),(6 524570.75),(7 652050.8),(8 777103.6),(9 895622.5),(10 1004360.75),(11 1101669.5),(12 1187027.8),(13 1260488.5),(14 1320664.8),(15 1361623.3),(16 1389361),(17 1403549.4),(18 1401901.8),(19 1390680.4),(20 1375047.5),(21 1357546.5),(22 1339694.3),(23 1327171.3),(24 1319236.5),(25 1315432.5),(26 1320127.3),(27 1329385),(28 1346514.8),(29 1368877),(30 1386057.8),(31 1392576),(32 1393695.3),(33 1389205.9),(34 1374630.3),(35 1350322.5),(36 1320076.8),(37 1286848.5),(38 1248502.8),(39 1210118),(40 1175992.8),(41 1150005.3),(42 1131898.1),(43 1123740),(44 1121944.3),(45 1125514.9),(46 1135343.8),(47 1147305.9),(48 1160888.8),(49 1177435.5),(50 1193595.4),(51 1205396.6),(52 1215106.3),(53 1222322),(54 1226388.6),(55 1226657.5),(56 1224430),(57 1222126),(58 1215457.8),(59 1205704.3),(60 1194785.3),(61 1184626.3),(62 1177444),(63 1170607.8),(64 1162837.9),(65 1157961.3),(66 1156802.5),(67 1158811.4),(68 1160257),(69 1159577.8),(70 1156637.8),(71 1148747),(72 1138580.5),(73 1123136),(74 1105052.9),(75 1083076.8),(76 1062056.8),(77 1043771),(78 1029493.5),(79 1018065.1),
(1 21268.23),(2 79178.08),(3 166720.81),(4 275236.7),(5 397299.7),(6 527288.7),(7 658477.2),(8 784334.25),(9 899207.8),(10 1000065.6),(11 1080404.4),(12 1140484.4),(13 1185656.8),(14 1218457.3),(15 1238618),(16 1250925.9),(17 1258672.3),(18 1260736.3),(19 1262900.9),(20 1262317.6),(21 1263618.1),(22 1262871.6),(23 1264960),(24 1264176.8),(25 1258661.4),(26 1252119.1),(27 1239804.1),(28 1222264),(29 1202200.3),(30 1182820.1),(31 1163874.8),(32 1144513.8),(33 1126192.9),(34 1106138.9),(35 1078331.9),(36 1048465.3),(37 1023242.94),(38 1002098.7),(39 983550.06),(40 971483.44),(41 965759.8),(42 965719.7),(43 971004.1),(44 982244.9),(45 998993.3),(46 1021716.1),(47 1047845.6),(48 1072024.4),(49 1097362.8),(50 1122071.3),(51 1134190.8),(52 1141279.1),(53 1144542.8),(54 1143676.5),(55 1136213.3),(56 1127805.5),(57 1116745.3),(58 1102260.4),(59 1085707.5),(60 1069010.6),(61 1054701.3),(62 1039855.1),(63 1026857.8),(64 1012086.25),(65 995858.5),(66 979015.25),(67 960933.94),(68 941663.56),(69 922276.3),(70 902507.9),(71 881783.3),(72 863137.4),(73 846598.06),(74 831458.25),(75 818003.3),(76 808881.75),(77 805994.2),(78 810311.75),(79 820378.7),
(1 22999.31),(2 85681.6),(3 179558.58),(4 297899.4),(5 430581.16),(6 569079),(7 710087.6),(8 845143.44),(9 958291.7),(10 1053241.6),(11 1128565.9),(12 1184404),(13 1217348.8),(14 1233622.9),(15 1235169.1),(16 1224409.9),(17 1207904.6),(18 1185544.3),(19 1160703),(20 1134198.6),(21 1102263.3),(22 1068578),(23 1032251.3),(24 998361.1),(25 967940.7),(26 941093.6),(27 916109.5),(28 891019.75),(29 869242.9),(30 850444.7),(31 830660.06),(32 812469.5),(33 796199.5),(34 784139.6),(35 777457.94),(36 776576.75),(37 782005.25),(38 796063.2),(39 816080.7),(40 839747.9),(41 866182.8),(42 894621.7),(43 919775.5),(44 942133.5),(45 956129.1),(46 964301.5),(47 965170.75),(48 960221.8),(49 953583.2),(50 945443),(51 934613.5),(52 921937.8),(53 907724.8),(54 895686.2),(55 886707.7),(56 884310.3),(57 886126.9),(58 892080.44),(59 898964.94),(60 905795),(61 912783.9),(62 920057),(63 924821.2),(64 929795.44),(65 933262.8),(66 936745),(67 938690.5),(68 934340.25),(69 925742.25),(70 914404),(71 898832.4),(72 882296.2),(73 869813.1),(74 861678.06),(75 858105),(76 860724.5),(77 866622.2),(78 873328.8),(79 880920),
(1 19354.6),(2 70583.75),(3 144501.66),(4 233811.64),(5 330471),(6 428685.13),(7 526440),(8 617060.75),(9 696640.6),(10 766516.25),(11 825388.8),(12 874398.25),(13 911238.56),(14 938557),(15 956539.75),(16 970421.3),(17 980465.25),(18 986110.44),(19 985598),(20 976881.1),(21 965566.1),(22 946947.9),(23 924266.1),(24 898411.4),(25 873298.9),(26 850073.1),(27 828804),(28 808986.3),(29 792472.25),(30 782197.25),(31 775750),(32 773916.9),(33 778731.25),(34 792899.5),(35 813099.4),(36 839299.75),(37 865825.2),(38 892565.9),(39 917197.2),(40 938260.9),(41 954538.44),(42 965357.56),(43 969258.56),(44 967882.75),(45 959168.1),(46 941679.44),(47 920409),(48 895721.8),(49 868280.9),(50 842308),(51 816027.4),(52 792198.56),(53 769928.75),(54 751524.25),(55 738256.3),(56 730534.25),(57 730124),(58 737687.8),(59 747779.44),(60 765642.8),(61 789227.3),(62 816708.06),(63 846128.7),(64 873254.06),(65 897762.06),(66 920656),(67 938961.75),(68 947744.9),(69 943103.1),(70 925181.3),(71 895900.44),(72 860095.06),(73 823210.25),(74 786105.44),(75 750868.8),(76 718587.75),(77 692256.75),(78 672092.06),(79 654676.75),
(1 17970.709),(2 64943.29),(3 132006.2),(4 210720.56),(5 295097.4),(6 383898.53),(7 473339.63),(8 559779.44),(9 637891.56),(10 707245.4),(11 764655.2),(12 812501),(13 851255.75),(14 880509.4),(15 903201.4),(16 923552.4),(17 941845.9),(18 956980.94),(19 965649),(20 967793.75),(21 965188.8),(22 956908.8),(23 941485.75),(24 920350.1),(25 894707.56),(26 870388.06),(27 845601.1),(28 821144),(29 794938.25),(30 767778.25),(31 743150.75),(32 723369),(33 709171.25),(34 702943.75),(35 704319.56),(36 716702.3),(37 734363.2),(38 755191.1),(39 782878.3),(40 814313.1),(41 848980.2),(42 882483.2),(43 912373.4),(44 939256.06),(45 960969.1),(46 973929.94),(47 975825.3),(48 968701.4),(49 953381.94),(50 927270.9),(51 891507.44),(52 851267.8),(53 814354.44),(54 780244.44),(55 752255.2),(56 728827.1),(57 711616.6),(58 699230.44),(59 689748.1),(60 683779.25),(61 681682.06),(62 684250),(63 692403.1),(64 702590),(65 713198.06),(66 722824.3),(67 730275.4),(68 736939.25),(69 742039.44),(70 747194.8),(71 752406.75),(72 754394.7),(73 755127.56),(74 751870.25),(75 743171.06),(76 727736.56),(77 709644.8),(78 688167.6),(79 668497.9),
(1 18852.889),(2 68820.92),(3 141311.94),(4 226662.44),(5 315191.16),(6 397728.1),(7 469542.4),(8 529840.8),(9 578369.1),(10 614103.56),(11 635945),(12 648277.1),(13 654531.75),(14 655492.25),(15 655446.44),(16 657416.5),(17 662680.2),(18 669857.5),(19 676053.75),(20 679081.25),(21 678802.5),(22 674918.25),(23 668772.44),(24 659025.44),(25 645366.56),(26 629965.9),(27 617452.7),(28 606110),(29 599475),(30 598548.1),(31 601122.7),(32 607452.56),(33 616730.56),(34 626582.3),(35 639974.75),(36 657135.1),(37 676736.9),(38 698316.8),(39 722140.06),(40 746856.8),(41 770642.56),(42 792184.56),(43 811560.9),(44 829821.9),(45 842335.2),(46 846220.06),(47 842552),(48 830016.2),(49 810585.9),(50 786909.44),(51 760555.94),(52 732085.75),(53 705802.4),(54 681658.06),(55 661299.44),(56 645184.4),(57 634322.56),(58 627530.06),(59 621235.75),(60 618629.06),(61 619248.7),(62 621528.56),(63 627027.75),(64 630595.94),(65 631675.5),(66 631583.4),(67 628972.9),(68 624145.6),(69 617507.94),(70 609023.56),(71 599731.8),(72 590688.9),(73 583704.4),(74 578881.94),(75 575980.06),(76 574310.7),(77 572576.2),(78 570842.4),(79 570748.25),
(1 16807.207),(2 60213.277),(3 121032.586),(4 190409.25),(5 260970.78),(6 329976.66),(7 392312.56),(8 445611.7),(9 486656),(10 514216.97),(11 529400.8),(12 534074.1),(13 532339.3),(14 525741),(15 516926.75),(16 508096.63),(17 504136.88),(18 505797.5),(19 511711.97),(20 521522.4),(21 533616.06),(22 546803.6),(23 560628.2),(24 572539.1),(25 582182.1),(26 589048.2),(27 597240.9),(28 604826.25),(29 612101.94),(30 621393.94),(31 631869.7),(32 642433.4),(33 651803),(34 659215.94),(35 664915.3),(36 669453.25),(37 672340.25),(38 674287.8),(39 672283.44),(40 664311),(41 650764.2),(42 634746.25),(43 617159.4),(44 601696.75),(45 587262.94),(46 574054.56),(47 561701.06),(48 551568.6),(49 543180.4),(50 538597.7),(51 535215.7),(52 534167.6),(53 536933.5),(54 541296.25),(55 545832.56),(56 552118.3),(57 559082.4),(58 564009.5),(59 563315.94),(60 560170.9),(61 557738.4),(62 553676.1),(63 548878.06),(64 543749.75),(65 538711.44),(66 533228.94),(67 528225.6),(68 522979.47),(69 522667.47),(70 524260.3),(71 526821.25),(72 527461.7),(73 526736.56),(74 523097.5),(75 519391.8),(76 515853.7),(77 512409.44),(78 507432.28),(79 501056),
(1 16496.977),(2 59440.656),(3 119351.266),(4 186395.02),(5 252331.27),(6 312143.34),(7 362595.97),(8 404040.66),(9 437656.66),(10 461263.56),(11 474016.94),(12 477662.47),(13 471462.25),(14 456969.16),(15 440476.25),(16 427846),(17 418601.06),(18 411465.63),(19 405533.56),(20 401558.44),(21 397145.75),(22 394000.3),(23 396223.06),(24 405034.72),(25 420797.9),(26 441120.56),(27 463580.28),(28 488230.1),(29 508730),(30 522037.72),(31 527961.1),(32 527751.9),(33 522066.2),(34 512654.16),(35 500746.34),(36 489118.1),(37 478430.1),(38 467431.34),(39 453892.38),(40 441702.75),(41 431390.28),(42 423236.16),(43 418883.94),(44 418931.63),(45 423468.25),(46 429344.2),(47 433788.66),(48 437155.75),(49 440033.72),(50 441143.06),(51 439943.25),(52 435943.28),(53 432667.66),(54 428916.38),(55 423569.16),(56 417466.16),(57 412410.2),(58 409112.66),(59 405760),(60 404863.16),(61 405823.56),(62 406739.84),(63 408656.75),(64 408352.66),(65 407978.25),(66 409120.84),(67 409631.06),(68 411075.38),(69 415436.94),(70 422491.72),(71 430043.2),(72 436737.53),(73 438780.63),(74 436255.44),(75 428635.34),(76 419061.8),(77 409806.63),(78 401888.1),(79 397097.38),
(1 15295.267),(2 55111.582),(3 110190.58),(4 170217.19),(5 227518.67),(6 276165.56),(7 315187.28),(8 344526.53),(9 363577.16),(10 374137.78),(11 377990.84),(12 376696.2),(13 370867.03),(14 361768.78),(15 353936.22),(16 348801.5),(17 347616.47),(18 347826.63),(19 346905.25),(20 342446.34),(21 336181.28),(22 330447.88),(23 328788.4),(24 329526.5),(25 335010.4),(26 343606.1),(27 354886.13),(28 365557.7),(29 375086.4),(30 383414.2),(31 390028.44),(32 394486.03),(33 396141.72),(34 394984.66),(35 391543.2),(36 386532.34),(37 381209.47),(38 373551.56),(39 365431.6),(40 356584.28),(41 348263.38),(42 342156.4),(43 339900.72),(44 342005.78),(45 347983.03),(46 356151.4),(47 365919.16),(48 377483.03),(49 388653.6),(50 400278.5),(51 413361.38),(52 424038.4),(53 429580.1),(54 432931.16),(55 434381.47),(56 431290.03),(57 426372.75),(58 420070.66),(59 413055.72),(60 405308.28),(61 397737.13),(62 392137.34),(63 388150.13),(64 384865.03),(65 384982.66),(66 385613.06),(67 384374.22),(68 381773.88),(69 379095.06),(70 375287.9),(71 368948.56),(72 361266.03),(73 353523.88),(74 345934.1),(75 340093.03),(76 336106.28),(77 336153),(78 339139.25),(79 343169.63),
(1 12677.654),(2 44202.246),(3 86838.69),(4 134498.34),(5 182228.56),(6 227519.22),(7 269116.97),(8 303348.56),(9 330991.4),(10 351901.2),(11 364703.28),(12 369973.5),(13 368435.75),(14 363662.9),(15 358847.06),(16 351071.44),(17 341353.34),(18 331387.7),(19 322038.22),(20 312478.97),(21 305007.28),(22 299874.34),(23 298300),(24 300093.06),(25 304779.5),(26 309894),(27 314779.4),(28 320467.7),(29 325764.8),(30 331362.63),(31 337007.72),(32 341276.3),(33 342890.03),(34 343520.44),(35 342806.25),(36 340617.53),(37 338877.5),(38 337826.8),(39 339805.7),(40 341460.28),(41 344952.56),(42 350679.84),(43 357817.72),(44 365012.2),(45 369280.78),(46 371336.72),(47 371209.72),(48 369831.38),(49 368112.28),(50 366887.84),(51 364442.2),(52 359063.56),(53 350615.06),(54 338182.47),(55 322954.9),(56 305179.8),(57 289532.78),(58 278739.53),(59 274211.56),(60 275211.44),(61 278103.13),(62 283030.4),(63 288500.72),(64 294632.2),(65 301620.22),(66 309825.8),(67 316374.03),(68 322824.9),(69 326816.9),(70 328813.25),(71 327603.13),(72 325423.28),(73 322741.44),(74 318463.47),(75 316109.7),(76 316148.03),(77 318706.1),(78 322459.2),(79 325389.44),
