1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 21221.084),(2 62687.93),(3 104304.39),(4 135871.48),(5 155814.19),(6 168625.75),(7 177084.73),(8 184545.05),(9 191768.53),(10 197189.6),(11 200338.1),(12 202243.94),(13 205053.28),(14 209207.64),(15 213326.52),(16 215623.4),(17 216978.39),(18 219651.69),(19 223937.33),(20 227901.23),(21 231750.64),(22 234916.5),(23 238414.69),(24 241734.28),(25 244593.72),(26 246541.16),(27 247463.5),(28 247804.34),(29 248023.97),(30 247567.88),(31 247824.39),(32 248417.75),(33 248620.08),(34 247791.31),(35 247405.7),(36 249095.89),(37 250574.44),(38 251138.36),(39 252087.89),(40 253620.47),(41 255037.83),(42 256731.56),(43 257314.25),(44 256764.11),(45 255189.05),(46 253595.31),(47 252239.64),(48 253028.63),(49 254473.23),(50 256247.31),(51 257407.8),(52 258153.47),(53 259989.28),(54 262157.5),(55 263280.9),(56 263525.97),(57 261916.73),(58 258909.75),(59 257143.5),(60 257338.6),(61 258268.86),(62 259479.3),(63 260669.16),(64 261478.33),(65 261413.72),(66 259557.86),(67 255753.98),(68 251574.56),(69 248325.23),(70 246602.77),(71 245424.73),(72 244920.77),(73 246143.92),(74 247228.08),(75 249478.25),(76 251811.27),(77 253038.06),(78 253684.36),(79 253617.36),
(1 20642.514),(2 61085.375),(3 101416.27),(4 131383.6),(5 150203.73),(6 161335),(7 167675.8),(8 174232.77),(9 182333.39),(10 188852.53),(11 193060.66),(12 196050.48),(13 199030.89),(14 203232.48),(15 207780.98),(16 212314.73),(17 216067.55),(18 218969.77),(19 222211.89),(20 223832.75),(21 224755.11),(22 226978.38),(23 229659.9),(24 231356.4),(25 233323.03),(26 235001.42),(27 237964.08),(28 240513.64),(29 241374.64),(30 241659.86),(31 241357.39),(32 242314.69),(33 243472.56),(34 242260.52),(35 238622.5),(36 234240.45),(37 231529.6),(38 231101.9),(39 232987.66),(40 235682.75),(41 238273.53),(42 240454.05),(43 241784.94),(44 243419.31),(45 244508.06),(46 243423.72),(47 240808.28),(48 238415.97),(49 237096.84),(50 237826.53),(51 238358.02),(52 237847.27),(53 236569.27),(54 235845.1),(55 235043.23),(56 234360.39),(57 234611.75),(58 236317.58),(59 238592.42),(60 241003.92),(61 242522.33),(62 244341.36),(63 245544.38),(64 245481.31),(65 245690.39),(66 246376.17),(67 246549.98),(68 245148.7),(69 243647.97),(70 242069.14),(71 242366.64),(72 244051.92),(73 245680.69),(74 248832.83),(75 252561.84),(76 255382.47),(77 257293.81),(78 259948.52),(79 262632.25),
(1 19548.18),(2 57310.4),(3 94167.44),(4 120984.086),(5 139100.36),(6 152242.08),(7 163043.22),(8 172569.23),(9 181598.73),(10 189159.3),(11 194758.73),(12 197926.64),(13 202053.2),(14 206659.81),(15 211080.81),(16 214718.17),(17 216759.75),(18 217605.94),(19 219618.75),(20 222413.36),(21 224596.78),(22 226429.53),(23 224899.88),(24 223523.23),(25 224403.05),(26 226219.75),(27 226741.33),(28 228000.67),(29 230435.75),(30 232517.27),(31 234670.3),(32 237616),(33 240305.44),(34 241265.88),(35 241130.23),(36 239394.3),(37 237014.77),(38 235384.19),(39 234888.39),(40 234593.63),(41 233567.03),(42 233090.84),(43 232349.3),(44 233690.92),(45 235055.14),(46 234549.33),(47 233181.58),(48 232856.03),(49 234785.02),(50 237693.9),(51 240210.23),(52 241290.73),(53 241651.81),(54 242314.38),(55 242622.56),(56 242356.11),(57 241254.78),(58 240951.97),(59 239961.44),(60 239466.64),(61 241194.67),(62 244158.67),(63 246234.7),(64 246962.13),(65 246046.2),(66 245198.16),(67 243819.92),(68 243184.06),(69 243502.92),(70 243861.11),(71 243656.28),(72 243030.05),(73 242716.3),(74 243158.56),(75 243976.55),(76 244257.77),(77 243888.58),(78 243972.5),(79 244167.86),
(1 19223.74),(2 56530.19),(3 93244.33),(4 121229.875),(5 139889.8),(6 153046.2),(7 163596.25),(8 172772.34),(9 181226.83),(10 187777.47),(11 192020.06),(12 194436.45),(13 198315.95),(14 203720.13),(15 208620.17),(16 211552.7),(17 213542.89),(18 213688.39),(19 214094.77),(20 215518.75),(21 217202.81),(22 219148.08),(23 221096.92),(24 222147.14),(25 223591.42),(26 224844.06),(27 225322.17),(28 226095.61),(29 225291.9),(30 224404.45),(31 222777.6),(32 221749.81),(33 220142.11),(34 217563.81),(35 216216.28),(36 215862.86),(37 215976.42),(38 215666.89),(39 215895.81),(40 217102.66),(41 218900.52),(42 220666.95),(43 222477.72),(44 223397.52),(45 224065.39),(46 224309.33),(47 224269.77),(48 224705.27),(49 225638.16),(50 225495.72),(51 225031.17),(52 224820.39),(53 225501.02),(54 226831.81),(55 229168.52),(56 230353.39),(57 230628),(58 230530.88),(59 229986.39),(60 228912.14),(61 227732.98),(62 227556.52),(63 228256.95),(64 230830.14),(65 232395.2),(66 234043.61),(67 234406.55),(68 234153.42),(69 233447.75),(70 232213.6),(71 230002.44),(72 228021.6),(73 226798.88),(74 226877.1),(75 227457.86),(76 227299.39),(77 226690.13),(78 226775.14),(79 227705.66),
(1 19192.459),(2 55989.664),(3 92331.79),(4 120668.48),(5 140161.58),(6 152193.4),(7 159521.53),(8 163431.53),(9 167431.64),(10 172879.14),(11 178070.3),(12 183041.86),(13 187587.1),(14 191673.19),(15 195325.73),(16 199293.28),(17 202605.44),(18 205686.48),(19 209418.69),(20 213703.75),(21 215031.58),(22 214542.47),(23 212847.11),(24 213185.25),(25 215191.77),(26 217331.8),(27 218516.69),(28 219056.03),(29 218554.16),(30 218329.42),(31 217365.58),(32 216504.56),(33 214956.44),(34 213781.77),(35 212142.22),(36 211237.4),(37 211285.53),(38 210962.11),(39 210017),(40 209589.63),(41 210628.98),(42 212131.38),(43 213688.58),(44 213774.66),(45 213179.03),(46 211589.33),(47 209154.55),(48 206606.05),(49 205833.19),(50 206717.39),(51 209254.47),(52 211321.94),(53 213620.27),(54 214915.78),(55 215555.19),(56 216363.42),(57 217197.42),(58 218719.27),(59 221027.78),(60 222630.34),(61 223644.33),(62 224752.11),(63 225571.52),(64 227038.05),(65 228744.47),(66 229799.08),(67 228798.42),(68 227129.86),(69 225967.89),(70 225452.4),(71 225627),(72 224746.38),(73 223346.22),(74 222481.48),(75 223383.16),(76 224758.75),(77 225593.84),(78 224461.61),(79 223001.48),
(1 18772.217),(2 55120.734),(3 90467.85),(4 117281.82),(5 136113.4),(6 148332.92),(7 156000.4),(8 161977.31),(9 167925.38),(10 173013.23),(11 176423.72),(12 178791.02),(13 180704.89),(14 182533.3),(15 183961.45),(16 185573.19),(17 187157.97),(18 190062.86),(19 194526.61),(20 198215.97),(21 199454.4),(22 198340.6),(23 196687.14),(24 196141.63),(25 197043.38),(26 199417.66),(27 201858.06),(28 204027.08),(29 204860.1),(30 205802.75),(31 206964.16),(32 207475.14),(33 206710.33),(34 206351.23),(35 206864.61),(36 208716.5),(37 209746.33),(38 211082.19),(39 211485.36),(40 210155.36),(41 208899.14),(42 207616.67),(43 206365.89),(44 206048.98),(45 205750.63),(46 204404.27),(47 202298.69),(48 199387.44),(49 198430.58),(50 199125.52),(51 200815.16),(52 201753.19),(53 202941.31),(54 203518.23),(55 202748.67),(56 202524.44),(57 204031.25),(58 206108.8),(59 207527.61),(60 208120.66),(61 208745.84),(62 210206.45),(63 210872.1),(64 211774.16),(65 213083.97),(66 215088.08),(67 217392.92),(68 219886.56),(69 221665.34),(70 222683.08),(71 222898.4),(72 222599.3),(73 222302.03),(74 222508.92),(75 223135.77),(76 222794.1),(77 222326.77),(78 221277.16),(79 221619.2),
(1 18833.23),(2 55430.49),(3 89883.24),(4 115621.18),(5 133852.45),(6 146064.22),(7 153255.2),(8 158364.55),(9 162107.19),(10 165997.81),(11 168123.89),(12 169066.08),(13 169964.05),(14 172498.28),(15 176470.11),(16 180092.69),(17 182521.05),(18 185387.84),(19 189898.1),(20 194130.61),(21 197282.25),(22 199142.95),(23 199069.16),(24 199807.61),(25 201336.11),(26 202367.94),(27 201965.38),(28 202583.03),(29 204209.5),(30 205513.6),(31 206598.66),(32 208101.64),(33 208915.39),(34 209548.06),(35 208659.27),(36 208220.38),(37 208221.63),(38 209293.83),(39 211396.03),(40 213101.06),(41 214229.84),(42 215186.83),(43 215650.55),(44 216407.48),(45 216932.47),(46 216547.17),(47 215384.81),(48 215554.39),(49 216504.86),(50 216837.94),(51 217177.28),(52 216289.03),(53 215949.66),(54 214523.3),(55 211372.31),(56 208959.45),(57 207290.6),(58 207207.67),(59 208235.7),(60 208591.36),(61 208521.61),(62 209609.78),(63 210407.28),(64 212700.06),(65 214203.27),(66 214300),(67 214003.69),(68 213552.52),(69 212386.2),(70 212798.27),(71 214029.03),(72 215245.61),(73 216906.69),(74 218408.8),(75 219505.06),(76 220472.1),(77 221583.75),(78 222228.88),(79 222291.5),
(1 17504.055),(2 51385.53),(3 84826.37),(4 109715.66),(5 126077.5),(6 137650.11),(7 145890.27),(8 152329.23),(9 158486.88),(10 164272.92),(11 168945.23),(12 173225.55),(13 176624.77),(14 179258.13),(15 181419.56),(16 183729.95),(17 185993.4),(18 188473.9),(19 192462.2),(20 196013.78),(21 198113.19),(22 199027.95),(23 198073),(24 196816.08),(25 194862.33),(26 194090.05),(27 193076.48),(28 192879.38),(29 192079.77),(30 191234.7),(31 190778.17),(32 191552.83),(33 192661.23),(34 192969.64),(35 191843.2),(36 191051.56),(37 191090.72),(38 191606.88),(39 191122.8),(40 190978.95),(41 190314.72),(42 190520.61),(43 191453.81),(44 193175.31),(45 193660.1),(46 192816.36),(47 191700.27),(48 190402.14),(49 189799.83),(50 191182.34),(51 192634.8),(52 195809.55),(53 199878.81),(54 203514.45),(55 205410.02),(56 204862.3),(57 202444.23),(58 200568.5),(59 200486.69),(60 201637.94),(61 202992.02),(62 205390.52),(63 206239.64),(64 206978.19),(65 206862.98),(66 205588.44),(67 203354.67),(68 201981.31),(69 201516.28),(70 202282.72),(71 202441.05),(72 202402.42),(73 203413),(74 204723.42),(75 205518.4),(76 204211.42),(77 203325.4),(78 203690.05),(79 204669.38),
(1 17471.156),(2 50522.668),(3 81642.78),(4 105019.49),(5 120446.25),(6 130182.555),(7 137887.08),(8 143871.55),(9 148952.4),(10 154593.2),(11 159237.33),(12 163218.94),(13 167235.02),(14 171739.9),(15 174925.6),(16 177961.45),(17 180820.28),(18 181907.78),(19 183915.33),(20 185400.36),(21 186921.45),(22 188044.81),(23 189450.78),(24 191162.55),(25 192457.69),(26 194319.03),(27 195720.03),(28 197018.03),(29 198853.9),(30 200208.44),(31 202253.13),(32 204616.9),(33 205501.2),(34 204878.03),(35 201822.55),(36 198355.5),(37 195402.16),(38 193175.73),(39 192136.31),(40 191666.13),(41 191365.84),(42 191943.39),(43 192494.61),(44 193871.56),(45 194286.78),(46 193638.47),(47 192117.69),(48 190768.39),(49 189399.67),(50 188943.13),(51 190421.4),(52 192490.58),(53 195161.48),(54 196165.9),(55 196794.45),(56 196687.83),(57 195294.38),(58 194012.61),(59 194209.77),(60 195287.88),(61 197681.77),(62 199319.78),(63 199055.1),(64 197289.02),(65 194933.66),(66 192218.7),(67 190213.7),(68 189408.73),(69 190416.64),(70 193874.08),(71 197244.2),(72 200112.52),(73 202144.75),(74 202874.56),(75 202432.55),(76 201284.08),(77 199901.03),(78 198666.55),(79 197739.92),
(1 17726.197),(2 50719.887),(3 81805.04),(4 103888.71),(5 118293.84),(6 128132.25),(7 136132.34),(8 142926.48),(9 148674.58),(10 153383.38),(11 156168.05),(12 157019.7),(13 157600.97),(14 158686.06),(15 160677.06),(16 163329.84),(17 166159.9),(18 168992.95),(19 171900.5),(20 174560.19),(21 176940.97),(22 179647.55),(23 183100.7),(24 186017.25),(25 188258.84),(26 189388.4),(27 189014.45),(28 187683.77),(29 186966.78),(30 186685.25),(31 187679.69),(32 189505.1),(33 189859.38),(34 188917.31),(35 187842.69),(36 187120.23),(37 187154.52),(38 187914.84),(39 188340.64),(40 189146.7),(41 189030.33),(42 188500.81),(43 187458.1),(44 186546.17),(45 185553.22),(46 184353.89),(47 182426.78),(48 181530.2),(49 181268.92),(50 181481.75),(51 182696.89),(52 185458.6),(53 188596.17),(54 190045.36),(55 190688.2),(56 191116.36),(57 190474.2),(58 189020.81),(59 187704.02),(60 185916.63),(61 184480.13),(62 185254.11),(63 187068.83),(64 187850.1),(65 187773.84),(66 187468.6),(67 186576.17),(68 187333.06),(69 189087.94),(70 191360.08),(71 193568.45),(72 194659.92),(73 194669.69),(74 193515.94),(75 192617.64),(76 190542.92),(77 188660.25),(78 188861.95),(79 188740.86),
(1 17633.02),(2 50284.195),(3 81320.96),(4 103929.62),(5 118784.85),(6 128706.95),(7 135749.3),(8 142073.83),(9 147856.89),(10 152494.03),(11 155594.52),(12 158194.48),(13 161098.39),(14 164984.7),(15 169720.23),(16 173364.19),(17 175999.38),(18 178207.28),(19 178289.47),(20 178181.52),(21 178010.7),(22 178217.8),(23 179268.58),(24 181034),(25 183279.66),(26 185833.97),(27 186904.63),(28 187147.39),(29 186098.45),(30 185095.31),(31 185946.27),(32 187393.11),(33 188621.94),(34 188932.34),(35 189507.39),(36 189374.39),(37 188269.08),(38 187266.92),(39 186570.84),(40 186196.94),(41 186696.84),(42 187336.7),(43 186485.53),(44 185764.13),(45 185505.45),(46 185189.58),(47 185027.78),(48 184963.8),(49 185155.92),(50 186325.77),(51 188773.39),(52 191193.2),(53 193204.97),(54 193422.55),(55 193477.86),(56 193755.81),(57 194530.98),(58 195036.94),(59 194581.28),(60 192934.55),(61 190418.5),(62 188317.27),(63 187544.14),(64 188594.34),(65 189838.6),(66 190570.75),(67 190093.36),(68 190520.6),(69 191862.67),(70 193915.34),(71 195156.45),(72 196114.11),(73 196783.44),(74 198179.19),(75 198382.34),(76 197451.06),(77 195915.19),(78 195463.33),(79 195233.66),
(1 16973.758),(2 48382.152),(3 77546.65),(4 98409.29),(5 112399.88),(6 122346.2),(7 130018.79),(8 136983),(9 142946.8),(10 147881.28),(11 152015.89),(12 155648),(13 159025.72),(14 161515),(15 163602.55),(16 165871.17),(17 167465.44),(18 168834.6),(19 169596.88),(20 171059.98),(21 173778.83),(22 175246.75),(23 174820.95),(24 174199.38),(25 174153.6),(26 173863.05),(27 172805.08),(28 172434.31),(29 171450.11),(30 171688.53),(31 173989.73),(32 177251.28),(33 180968.52),(34 183703.05),(35 185990.9),(36 187549.22),(37 188510.56),(38 189497.6),(39 189614.38),(40 189737.44),(41 189640.11),(42 188797.38),(43 187359.39),(44 185788.47),(45 184814.78),(46 184532.67),(47 184745.03),(48 183849.45),(49 181083.13),(50 178629.22),(51 178478.36),(52 180105.94),(53 182877.27),(54 184846.4),(55 185721.83),(56 186427.08),(57 187305.67),(58 188207.1),(59 188839),(60 187914.84),(61 186639.42),(62 186049),(63 184980.27),(64 184941.23),(65 186322.03),(66 187453.69),(67 188310.72),(68 188927.95),(69 189411.52),(70 190949.1),(71 191481.58),(72 190526.47),(73 189814.22),(74 189652),(75 189861.38),(76 189656.4),(77 189323.34),(78 189492.31),(79 189143.52),
(1 16996.7),(2 48069.445),(3 76571.68),(4 97017.51),(5 110048.34),(6 118762.52),(7 125492.13),(8 131539.73),(9 137775.77),(10 142863.28),(11 146687.3),(12 149114.95),(13 150934.7),(14 152401.64),(15 153268.2),(16 153511.94),(17 154353.86),(18 156496.03),(19 158369.05),(20 160594.95),(21 163366.81),(22 165373.77),(23 166493),(24 166578.52),(25 166208.28),(26 166178.88),(27 166248.66),(28 167316.64),(29 167840.61),(30 168112.16),(31 168853.7),(32 170061.58),(33 171731.78),(34 173410.56),(35 174335.2),(36 174705.33),(37 175232.95),(38 176685.05),(39 177628.42),(40 178308.05),(41 177880.75),(42 176400.25),(43 174041.64),(44 171597.42),(45 170673.3),(46 171043.98),(47 172237.58),(48 173847.19),(49 175220.48),(50 175934.61),(51 176049.95),(52 175892.95),(53 176302.98),(54 176414.81),(55 174963.05),(56 173732.06),(57 172151.03),(58 170587.39),(59 169089.05),(60 168493.05),(61 167927.44),(62 166544.08),(63 165427.92),(64 165101.84),(65 165350.84),(66 165620.5),(67 165695.83),(68 166130.86),(69 166868.03),(70 167838.11),(71 168078.9),(72 167138.31),(73 167317.88),(74 168977.92),(75 169406.81),(76 170792.63),(77 171907.16),(78 174229.53),(79 176332.02),
(1 16553.121),(2 46682.824),(3 74567.45),(4 95090.34),(5 108901.42),(6 118184.04),(7 124971.914),(8 129698.25),(9 133774.7),(10 137804.39),(11 140849.27),(12 142212.34),(13 142974),(14 144083.17),(15 145119.56),(16 146672.33),(17 147383.7),(18 147418.47),(19 148853.89),(20 150929.48),(21 152786.44),(22 155489.16),(23 157643.23),(24 158296.47),(25 158534.72),(26 158341.88),(27 157943.92),(28 158021.36),(29 158048.64),(30 159668.2),(31 161292.44),(32 162475.83),(33 162829.66),(34 163096.5),(35 163406.42),(36 163596.84),(37 163807.45),(38 164715.66),(39 166975.33),(40 169488.4),(41 171149.95),(42 172577.25),(43 174188.6),(44 175403.4),(45 176841.9),(46 176595.7),(47 175364.56),(48 174344.2),(49 174067.34),(50 173857.4),(51 172425.73),(52 171171.48),(53 171000.45),(54 170891.28),(55 170570.84),(56 169800.69),(57 168550),(58 167070.56),(59 166764.13),(60 166097.08),(61 164654.56),(62 162465.56),(63 159267.33),(64 156573.95),(65 155036.38),(66 155053.1),(67 155379.4),(68 155673.61),(69 156077.77),(70 157430.14),(71 158170.56),(72 159148.53),(73 159427.97),(74 159908.25),(75 160510.63),(76 162049.55),(77 162623.14),(78 162924.72),(79 163734.11),
(1 15970.186),(2 45264.605),(3 73359.24),(4 94759.76),(5 109734.516),(6 120202.164),(7 127287.875),(8 131450.75),(9 134709.48),(10 138026.05),(11 140593),(12 142666.25),(13 144506.1),(14 146379.17),(15 146812.44),(16 146820.22),(17 147572.98),(18 148887.89),(19 150631.8),(20 152186.1),(21 153252.67),(22 154322.6),(23 155804.16),(24 157669.56),(25 159779.84),(26 162091.58),(27 162707.86),(28 163864.9),(29 163535.4),(30 163038.08),(31 164154.97),(32 165369.42),(33 165680.3),(34 165682.53),(35 164822.16),(36 164803.02),(37 165133.64),(38 166952.58),(39 168881.25),(40 171518.42),(41 174118.88),(42 174940.67),(43 175778.44),(44 176575.89),(45 177143.58),(46 175734.77),(47 174226.6),(48 173709.5),(49 174275.2),(50 174962.88),(51 175502.89),(52 176228.3),(53 176469.9),(54 176223.16),(55 175816.13),(56 174730.11),(57 172874.81),(58 172053.8),(59 172341.98),(60 173731.42),(61 174997.9),(62 175048.47),(63 174636.28),(64 174236.16),(65 173663),(66 173634.92),(67 173228.66),(68 172489.66),(69 171968.36),(70 172190.33),(71 172211.06),(72 172122.3),(73 172099.9),(74 172170.73),(75 171239.66),(76 169947.88),(77 168700.66),(78 168623.17),(79 168123),
(1 15840.809),(2 44598.09),(3 71080.31),(4 90898.266),(5 105566.77),(6 116951.74),(7 125741.71),(8 132347.73),(9 137347),(10 140963.61),(11 143971.7),(12 146504),(13 147957.66),(14 149364.44),(15 150090.81),(16 150278.31),(17 150866.92),(18 152486.6),(19 154761.88),(20 155863.47),(21 156238.44),(22 155693.45),(23 155395.44),(24 156179.63),(25 157399.92),(26 158378.13),(27 157518.6),(28 156101.33),(29 154925.14),(30 155492.56),(31 156872.3),(32 158265.48),(33 158462.69),(34 158264.05),(35 156883.36),(36 154781.61),(37 153255.98),(38 153472.25),(39 153415.48),(40 154305.47),(41 154959.06),(42 154680.23),(43 155040.44),(44 155551.77),(45 156933.42),(46 158457.55),(47 160164.66),(48 161835.36),(49 162832.88),(50 164454.33),(51 166475.66),(52 168231.31),(53 168993.13),(54 168644.9),(55 168140.34),(56 167365.8),(57 166479.28),(58 166103.61),(59 165859.52),(60 166726.98),(61 167928.44),(62 169217.72),(63 170411.84),(64 171251.36),(65 170732.25),(66 170433.11),(67 169860.48),(68 169339.16),(69 168542.55),(70 167253.23),(71 166321.73),(72 166273.5),(73 167303.16),(74 166927.75),(75 166328.67),(76 166216.81),(77 166321.66),(78 166122.6),(79 165930.03),
(1 15700.829),(2 43720.023),(3 69021.79),(4 87551.22),(5 100731.84),(6 110562.89),(7 118091.21),(8 124137.09),(9 128504.914),(10 131184.56),(11 133364.08),(12 135570.03),(13 136959.16),(14 138208.92),(15 138361.66),(16 138140.03),(17 139327.05),(18 140906.34),(19 143755.22),(20 146140.69),(21 147562.33),(22 147808.81),(23 147773.81),(24 148040.56),(25 149049.9),(26 150283.69),(27 149542.92),(28 148153.19),(29 147546.97),(30 148654.33),(31 150960.92),(32 152554.58),(33 153174.36),(34 153538.36),(35 153069.66),(36 152234.6),(37 150645.81),(38 150010.73),(39 150117.98),(40 150484.58),(41 150529.22),(42 150388.88),(43 149934.27),(44 149180.44),(45 149271.34),(46 149122.9),(47 148861.77),(48 148416.6),(49 148094.58),(50 148729.33),(51 148858.02),(52 149526.19),(53 150163.33),(54 151162.56),(55 151868.66),(56 152008.9),(57 151903.53),(58 151713.58),(59 151481.33),(60 151434.31),(61 151900.92),(62 152240.3),(63 152930.36),(64 155251.58),(65 157914.28),(66 161095.88),(67 163625.6),(68 165390.42),(69 166092.39),(70 167003.08),(71 167196.14),(72 166296.08),(73 165333.73),(74 164101.88),(75 162458.27),(76 161614.69),(77 160220.63),(78 159945.05),(79 160384.13),
(1 15233.262),(2 42517.37),(3 66737.375),(4 84531.38),(5 97083.66),(6 105774.22),(7 111802.15),(8 116600.97),(9 120465.67),(10 123304.23),(11 125102.625),(12 126775.83),(13 129027.98),(14 131337.42),(15 133435.6),(16 135164.88),(17 137657.88),(18 139668.17),(19 141415.25),(20 141981.73),(21 141760.61),(22 142181.88),(23 142305.77),(24 142156.23),(25 142330.02),(26 141942.38),(27 141113.72),(28 140114.06),(29 138980.7),(30 139202.31),(31 139342.08),(32 140059.45),(33 140201.23),(34 140186.63),(35 140456.66),(36 141118.27),(37 141420.4),(38 142417.89),(39 143478.88),(40 143019.14),(41 142354.56),(42 141865.27),(43 142206.19),(44 143605),(45 145038.34),(46 145802.02),(47 145826.78),(48 145902.58),(49 146364.58),(50 146932.7),(51 146690.02),(52 146780.69),(53 147669.25),(54 148905.47),(55 149095.06),(56 148526.11),(57 148058.55),(58 148363.77),(59 148879.34),(60 148581.88),(61 148387.27),(62 148430.23),(63 148125.22),(64 147066.19),(65 146367.08),(66 146255.52),(67 145671.5),(68 145059.02),(69 145106.22),(70 145551.06),(71 145896.16),(72 146878.23),(73 147956.84),(74 148613.72),(75 149088.64),(76 149875.13),(77 150504.4),(78 149929.27),(79 149094.48),
(1 15204.916),(2 42667.72),(3 67045.11),(4 84292.76),(5 96710.66),(6 105860.414),(7 112429.79),(8 117627.375),(9 120932.83),(10 122881.29),(11 123775.61),(12 125012.19),(13 127593.01),(14 130188.58),(15 132325.69),(16 133966.08),(17 135755.9),(18 137978.44),(19 140245.73),(20 141811.92),(21 143127.19),(22 143044.86),(23 142569.27),(24 142858.66),(25 144354.61),(26 146576.1),(27 148481.06),(28 150086.92),(29 150470.72),(30 150370.78),(31 149315.67),(32 149105.52),(33 149000.9),(34 148589.45),(35 146861.88),(36 145310.52),(37 144187.36),(38 143849.53),(39 143125.44),(40 142522.7),(41 141894.47),(42 141325.53),(43 141232.3),(44 141817.8),(45 142457.25),(46 142613.19),(47 142366.69),(48 142780.81),(49 142776.27),(50 142673.42),(51 141950.34),(52 140723.03),(53 140503.02),(54 140829.23),(55 140227.73),(56 139467.05),(57 139334.44),(58 140735.11),(59 142490.45),(60 143342.61),(61 143884.27),(62 143774.7),(63 142278.84),(64 140696.52),(65 139693.58),(66 139133.97),(67 139346.72),(68 140257.6),(69 141673.02),(70 142132.3),(71 141932.88),(72 142120.42),(73 143409.44),(74 144009.39),(75 144265.88),(76 145277.39),(77 146545.94),(78 146802.8),(79 146081.23),
