1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 23011.797),(2 81240.414),(3 166655.5),(4 279163),(5 412850.78),(6 557917.75),(7 712068.3),(8 868862.44),(9 1025459.2),(10 1173137),(11 1301369.4),(12 1413037.4),(13 1521097),(14 1628777.6),(15 1744642.6),(16 1854229),(17 1958176.6),(18 2059132),(19 2183993.3),(20 2318084.8),(21 2469165.8),(22 2645998.8),(23 2856448.8),(24 3069688),(25 3285940.8),(26 3505134.3),(27 3745180.3),(28 3984857.3),(29 4253398.5),(30 4513280),(31 4812349.5),(32 5091814.5),(33 5371929.5),(34 5652721.5),(35 5918162),(36 6157740),(37 6412441.5),(38 6688250.5),(39 7019804),(40 7370478.5),(41 7743648),(42 8100700.5),(43 8472742),(44 8824113),(45 9174637),(46 9513025),(47 9825961),(48 10154823),(49 10511160),(50 10828139),(51 11171259),(52 11459508),(53 11798139),(54 12103603),(55 12440501),(56 12776424),(57 13144637),(58 13498127),(59 13830472),(60 14130549),(61 14375023),(62 14554924),(63 14735747),(64 14886305),(65 15090992),(66 15245165),(67 15412549),(68 15585856),(69 15742635),(70 15880476),(71 16006387),(72 16121436),(73 16276833),(74 16406353),(75 16563432),(76 16702280),(77 16909946),(78 17117414),(79 17336328),
(1 23837.75),(2 87972.94),(3 183711.94),(4 313152.1),(5 466757.84),(6 636806),(7 816696.4),(8 1002865),(9 1191040.6),(10 1376769.3),(11 1552448.6),(12 1715443.3),(13 1871923.6),(14 2020314),(15 2173473.5),(16 2332155.3),(17 2493758.8),(18 2655743.5),(19 2837790.8),(20 3027622.5),(21 3232702),(22 3462341.5),(23 3707058),(24 3962667.3),(25 4212390.5),(26 4462205.5),(27 4740305),(28 5023745.5),(29 5312491),(30 5580327.5),(31 5837549),(32 6071763),(33 6289663.5),(34 6486778.5),(35 6676762.5),(36 6840109),(37 7008945.5),(38 7175881),(39 7361645),(40 7560840),(41 7776886.5),(42 7993994.5),(43 8233255),(44 8470978),(45 8698760),(46 8921675),(47 9154274),(48 9374614),(49 9609496),(50 9809154),(51 10019711),(52 10207569),(53 10436579),(54 10645505),(55 10855366),(56 11053982),(57 11272953),(58 11511020),(59 11785266),(60 12050734),(61 12310054),(62 12530564),(63 12781938),(64 13027339),(65 13293827),(66 13545322),(67 13827045),(68 14120683),(69 14403840),(70 14662763),(71 14927742),(72 15169744),(73 15439043),(74 15673357),(75 15896363),(76 16105869),(77 16345563),(78 16632787),(79 16904806),
(1 20192.246),(2 74760.625),(3 153730.77),(4 253966.58),(5 369066.9),(6 491557.25),(7 615568.2),(8 736165.25),(9 846530.8),(10 945307.44),(11 1028392.3),(12 1094492.1),(13 1149751.9),(14 1197820),(15 1244806),(16 1296029.6),(17 1339222.3),(18 1387900.6),(19 1439791.6),(20 1510630.1),(21 1593142),(22 1701092),(23 1828558.5),(24 1971355.4),(25 2103668),(26 2246122.8),(27 2413915.3),(28 2599051.3),(29 2802184.8),(30 3003486.3),(31 3200947.3),(32 3397061),(33 3585102),(34 3758051.8),(35 3905816),(36 4024687.3),(37 4128085.3),(38 4233068),(39 4350520.5),(40 4503395.5),(41 4662882.5),(42 4843144.5),(43 5045195.5),(44 5267424.5),(45 5488716.5),(46 5708441.5),(47 5920075.5),(48 6133875.5),(49 6376945.5),(50 6597357.5),(51 6835263.5),(52 7065218),(53 7346124.5),(54 7602727.5),(55 7841568),(56 8111923.5),(57 8398976),(58 8701359),(59 9031382),(60 9364168),(61 9669944),(62 9941040),(63 10216973),(64 10501126),(65 10778847),(66 11051409),(67 11369088),(68 11691297),(69 12009445),(70 12324007),(71 12643307),(72 12956405),(73 13263973),(74 13549075),(75 13862635),(76 14174411),(77 14493383),(78 14821944),(79 15107027),
(1 20478.826),(2 78027.72),(3 163681.61),(4 276902.72),(5 411827.84),(6 562880.8),(7 720539.2),(8 890885.25),(9 1064617.6),(10 1234812.6),(11 1408165.1),(12 1581916.3),(13 1748261.4),(14 1921242.3),(15 2106703.3),(16 2311990.3),(17 2524864.5),(18 2749312.5),(19 2986876),(20 3245154.3),(21 3507985.3),(22 3789329.3),(23 4110111),(24 4444055.5),(25 4767869),(26 5075496.5),(27 5378277),(28 5687268),(29 6002741),(30 6310098),(31 6636044.5),(32 6961045),(33 7283106.5),(34 7596506.5),(35 7890246),(36 8159436.5),(37 8431209),(38 8715746),(39 9007108),(40 9330299),(41 9655582),(42 10017232),(43 10397019),(44 10803225),(45 11198996),(46 11587212),(47 11951049),(48 12331738),(49 12762921),(50 13172175),(51 13564199),(52 13933326),(53 14321445),(54 14662995),(55 14970329),(56 15279001),(57 15589399),(58 15891040),(59 16192156),(60 16489781),(61 16755742),(62 16992678),(63 17206052),(64 17382886),(65 17585240),(66 17766382),(67 17989512),(68 18189164),(69 18367606),(70 18531266),(71 18668804),(72 18762030),(73 18829660),(74 18850236),(75 18904676),(76 18983600),(77 19053944),(78 19111094),(79 19165080),
(1 19742.775),(2 73485.2),(3 154790.31),(4 264195.34),(5 397298.63),(6 551390.3),(7 721944.44),(8 910061.8),(9 1109390.3),(10 1313628.8),(11 1520821.5),(12 1729687.5),(13 1940158.1),(14 2160948.8),(15 2393578.3),(16 2642944.5),(17 2903047.3),(18 3169505.8),(19 3449253.8),(20 3741691),(21 4030741),(22 4326092.5),(23 4645841.5),(24 4971971),(25 5286239),(26 5574369.5),(27 5846006),(28 6111411),(29 6373182),(30 6615691),(31 6861514),(32 7093287.5),(33 7307691),(34 7501528.5),(35 7674686.5),(36 7814397),(37 7938637),(38 8061978),(39 8181280),(40 8315947.5),(41 8452339),(42 8603707),(43 8760795),(44 8938758),(45 9115004),(46 9292422),(47 9429491),(48 9567921),(49 9741991),(50 9920074),(51 10094767),(52 10254186),(53 10412230),(54 10533329),(55 10648015),(56 10775579),(57 10919969),(58 11062353),(59 11223728),(60 11404301),(61 11600019),(62 11786003),(63 11977491),(64 12175319),(65 12392111),(66 12606182),(67 12842340),(68 13057795),(69 13247913),(70 13457658),(71 13638237),(72 13795825),(73 13935607),(74 14067860),(75 14233882),(76 14424657),(77 14622772),(78 14791177),(79 14973437),
(1 17732.293),(2 65038.063),(3 135895.84),(4 227000.16),(5 334867.4),(6 456138.7),(7 585625),(8 724754),(9 869012.4),(10 1014264.3),(11 1158999.6),(12 1293734.5),(13 1426885.6),(14 1556710.8),(15 1687002.3),(16 1819981),(17 1953471),(18 2089169.8),(19 2234049.5),(20 2383857.5),(21 2526106.5),(22 2680632.5),(23 2838882.5),(24 2996402),(25 3153022),(26 3284537.5),(27 3425413.5),(28 3572322.5),(29 3718010.8),(30 3852957.5),(31 3982268.8),(32 4107108.5),(33 4224381),(34 4325690.5),(35 4426635.5),(36 4517740.5),(37 4620733),(38 4739722),(39 4873892),(40 5008453),(41 5154471),(42 5282869.5),(43 5409385.5),(44 5532623),(45 5659703),(46 5785204.5),(47 5881644),(48 5949454.5),(49 6035195),(50 6118813),(51 6206346.5),(52 6262782),(53 6315968.5),(54 6382963),(55 6436734.5),(56 6488318.5),(57 6537612),(58 6588734.5),(59 6642212.5),(60 6692738),(61 6758502.5),(62 6792075),(63 6854558.5),(64 6932447),(65 7007913.5),(66 7082425),(67 7154582.5),(68 7213368),(69 7258510.5),(70 7315761.5),(71 7361078.5),(72 7383030.5),(73 7399598.5),(74 7412863),(75 7415387),(76 7412912),(77 7415504),(78 7403338.5),(79 7369975),
(1 16897.338),(2 61800.11),(3 129651.14),(4 221921.5),(5 331421.38),(6 456294.44),(7 593926.5),(8 747893.3),(9 914116.44),(10 1083648.1),(11 1255945.6),(12 1421165.9),(13 1586237.3),(14 1756156.9),(15 1930164.5),(16 2104588),(17 2277255.3),(18 2447473.5),(19 2620982.3),(20 2787470.8),(21 2948512.5),(22 3113298.8),(23 3281097.5),(24 3441565.8),(25 3594332.3),(26 3721543.8),(27 3840005.3),(28 3959995.8),(29 4066415.5),(30 4165667),(31 4260957),(32 4344407.5),(33 4421101),(34 4487238),(35 4551736.5),(36 4617057),(37 4692647.5),(38 4772924),(39 4869508.5),(40 4967219.5),(41 5076480.5),(42 5203548.5),(43 5339822),(44 5481633),(45 5627624.5),(46 5776895),(47 5918890.5),(48 6064573),(49 6234751.5),(50 6412177),(51 6601143),(52 6771832.5),(53 6949709.5),(54 7122322.5),(55 7297723),(56 7446483),(57 7598817),(58 7743803.5),(59 7880762.5),(60 8001024),(61 8131643.5),(62 8229567),(63 8337547.5),(64 8439430),(65 8538385),(66 8610437),(67 8660610),(68 8661564),(69 8638890),(70 8571527),(71 8492250),(72 8369613),(73 8253569),(74 8108395),(75 7939103.5),(76 7745613),(77 7565951.5),(78 7374378),(79 7183018.5),
(1 13572.774),(2 48595.42),(3 98706.664),(4 163224.78),(5 237818.25),(6 320679),(7 412408.03),(8 513947.5),(9 625876.06),(10 744575),(11 866023.25),(12 985081.2),(13 1104555.5),(14 1223617.9),(15 1347461.8),(16 1473191.8),(17 1597832.3),(18 1717202.3),(19 1831974.4),(20 1945801.8),(21 2053032.3),(22 2152864.8),(23 2254698.8),(24 2352762.3),(25 2446916.3),(26 2527665.5),(27 2610957.5),(28 2697490.8),(29 2782076.3),(30 2867172.5),(31 2950953),(32 3032274.8),(33 3113931.8),(34 3194909.3),(35 3275761),(36 3361104.3),(37 3451052.8),(38 3551007.3),(39 3665150.5),(40 3773744),(41 3894689.5),(42 4020417.8),(43 4160007),(44 4297767.5),(45 4444666.5),(46 4600999.5),(47 4766470.5),(48 4931943),(49 5109503),(50 5270690.5),(51 5430458.5),(52 5578437.5),(53 5732470),(54 5858249.5),(55 5972050),(56 6065860.5),(57 6148905.5),(58 6219553.5),(59 6279102),(60 6327634),(61 6384125.5),(62 6425835),(63 6463018),(64 6487624.5),(65 6511618.5),(66 6515568),(67 6516904.5),(68 6488085.5),(69 6442514.5),(70 6375741),(71 6307227.5),(72 6232278),(73 6179459),(74 6111796.5),(75 6030718.5),(76 5933361),(77 5854254),(78 5770361.5),(79 5699452.5),
(1 16855.58),(2 61260.86),(3 128818.95),(4 219030.14),(5 327734.34),(6 450219.28),(7 584637.2),(8 733325.7),(9 894676.1),(10 1067253.1),(11 1249652.9),(12 1436225.5),(13 1620375.9),(14 1803524.8),(15 1986937.9),(16 2173242.5),(17 2361823.5),(18 2544902.5),(19 2727630.5),(20 2898144),(21 3063794.3),(22 3220616.5),(23 3372041),(24 3507150.5),(25 3623254.8),(26 3713346.8),(27 3787992.5),(28 3867993.5),(29 3944022.5),(30 4007814.5),(31 4068282.3),(32 4131324.3),(33 4188645.8),(34 4241068),(35 4291906),(36 4339503),(37 4381491),(38 4412369.5),(39 4437725.5),(40 4450635.5),(41 4459835.5),(42 4457908.5),(43 4450943),(44 4438056.5),(45 4425847),(46 4415274.5),(47 4416389),(48 4419095.5),(49 4427377),(50 4440549.5),(51 4454141),(52 4463382),(53 4467129),(54 4462291),(55 4450900),(56 4434740.5),(57 4412133),(58 4387266),(59 4359462.5),(60 4340728.5),(61 4326806.5),(62 4305622),(63 4289181),(64 4272034),(65 4260194),(66 4247469.5),(67 4241853.5),(68 4220400),(69 4201148),(70 4170822.5),(71 4152297.5),(72 4129598.5),(73 4111471),(74 4082099.8),(75 4048054),(76 4013158.5),(77 3983967),(78 3944494.5),(79 3907595.8),
(1 16799.383),(2 61139.83),(3 126792.016),(4 211379.06),(5 308703),(6 416865.06),(7 535802.25),(8 666070.25),(9 807297.75),(10 955736),(11 1109935.8),(12 1265491.1),(13 1420266),(14 1572470.8),(15 1718813),(16 1861184.5),(17 1999668.6),(18 2127931),(19 2241355.8),(20 2354985.3),(21 2468901.5),(22 2570741.3),(23 2669437),(24 2753678.5),(25 2827741.3),(26 2889031),(27 2948899.3),(28 3016078.3),(29 3079996),(30 3131165.3),(31 3176545.5),(32 3220449),(33 3260796),(34 3296562),(35 3328337.5),(36 3363236),(37 3407806),(38 3440980.3),(39 3467972),(40 3484683),(41 3506307.3),(42 3528531),(43 3557065),(44 3582209.8),(45 3609246.8),(46 3629725),(47 3648443),(48 3656461),(49 3674032.3),(50 3695857.8),(51 3722544.3),(52 3746145),(53 3761690.8),(54 3768584),(55 3774167.5),(56 3767760),(57 3754408),(58 3732547.5),(59 3713089.8),(60 3696384.5),(61 3675859.5),(62 3644758.8),(63 3605061),(64 3565984.5),(65 3540006.8),(66 3508585.8),(67 3481354),(68 3435669),(69 3389448.5),(70 3337287.5),(71 3292733.8),(72 3248616),(73 3202869),(74 3160067),(75 3121908.5),(76 3078457),(77 3047825),(78 3019477.3),(79 2995335.5),
(1 20300.342),(2 76750.37),(3 165029.06),(4 287661.44),(5 429384.78),(6 590335),(7 766774.94),(8 959265.56),(9 1162559.5),(10 1369974.6),(11 1575518.6),(12 1776593.8),(13 1972400.1),(14 2159654),(15 2333574.5),(16 2493174.3),(17 2636230.5),(18 2753554.5),(19 2847657.3),(20 2930293.3),(21 3001998.5),(22 3053785),(23 3095693),(24 3118022),(25 3116212),(26 3098304.5),(27 3067773.5),(28 3030684.3),(29 2985048.8),(30 2939957.3),(31 2896673.5),(32 2857878.5),(33 2822384.5),(34 2790828.3),(35 2760894.5),(36 2741730),(37 2732757.3),(38 2724302.5),(39 2729053.8),(40 2733707),(41 2750800.8),(42 2771542.3),(43 2800550.5),(44 2834615),(45 2875019.3),(46 2914884.3),(47 2949938),(48 2972570),(49 3004299.5),(50 3034894.3),(51 3063198),(52 3080692.8),(53 3102030),(54 3116193.3),(55 3123193.8),(56 3121129.5),(57 3113474.8),(58 3103645.3),(59 3097361),(60 3085454),(61 3066737),(62 3040935),(63 3005384.3),(64 2967781),(65 2941507),(66 2901991.8),(67 2860728),(68 2810489),(69 2756869.3),(70 2706447.3),(71 2664275.3),(72 2633380.8),(73 2606106.5),(74 2580490.3),(75 2556470),(76 2533097.8),(77 2522570),(78 2517486),(79 2517050.8),
