1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 7782.5957),(2 12672.995),(3 17829.135),(4 21002.432),(5 23902.129),(6 26286.504),(7 28259.07),(8 29878.498),(9 31192.137),(10 31565.867),(11 32104.047),(12 32464.213),(13 32329.45),(14 32188.629),(15 31546.05),(16 30437.441),(17 29641.75),(18 28969.443),(19 28413.53),(20 28007.34),(21 27500.764),(22 27375.576),(23 27468.826),(24 27438.252),(25 27616.854),(26 27161.668),(27 27393.117),(28 27655.432),(29 28290.61),(30 28703.223),(31 28973.518),(32 29414.467),(33 29710.242),(34 29715.201),(35 29920.479),(36 29636.973),(37 29553.262),(38 29597.771),(39 29286.217),(40 29215.082),(41 28777.887),(42 28590.297),(43 28141.342),(44 28157.37),(45 28302.291),(46 28952.066),(47 28957.822),(48 29000.158),(49 28932.5),(50 28922.588),(51 28896.021),(52 28572.691),(53 28519.447),(54 28329.01),(55 28405.16),(56 28799.887),(57 29025.67),(58 29362.127),(59 29688.877),(60 30169.86),(61 30307.09),(62 30352.908),(63 30604.52),(64 30559.27),(65 30197.107),(66 30579.307),(67 31092.156),(68 30915.412),(69 30438.51),(70 30088.258),(71 30302.602),(72 29999.932),(73 29922.572),(74 29984.252),(75 29938.018),(76 29658.277),(77 29194.898),(78 29112.053),(79 29202.447),
(1 7658.6943),(2 12421.4),(3 17338.123),(4 20600.307),(5 23548.113),(6 25606.6),(7 27516.803),(8 29040.945),(9 30546.832),(10 31132.6),(11 31719.582),(12 31623.035),(13 31564.854),(14 31282.135),(15 30934.164),(16 30098.797),(17 29250.744),(18 28484.143),(19 27522.11),(20 27082.293),(21 26791.188),(22 26280.91),(23 26098.852),(24 25801.008),(25 25704.596),(26 25526.42),(27 25686.145),(28 25915.59),(29 26369.201),(30 26670.115),(31 26612.281),(32 26931.52),(33 27081.578),(34 27054.309),(35 27148.682),(36 27443.658),(37 27624.836),(38 28025.752),(39 27869.83),(40 27805.852),(41 27754.926),(42 27648.854),(43 27331.025),(44 27197.523),(45 27442.008),(46 27566.924),(47 27731.791),(48 28375.014),(49 28301.977),(50 28522.115),(51 28763.053),(52 28620.588),(53 28589.658),(54 28474.791),(55 28367.666),(56 28386.852),(57 28314.19),(58 28557.486),(59 28501.947),(60 28676.69),(61 28753.59),(62 28711.87),(63 28741.162),(64 28536.438),(65 28231.178),(66 28679.143),(67 29048.191),(68 29057.2),(69 29120.996),(70 28559.752),(71 28471.516),(72 28453.62),(73 28300.48),(74 28089.951),(75 27986.398),(76 28030.113),(77 27606.486),(78 27458.521),(79 27945.137),
(1 7703.5454),(2 12594.909),(3 18127.05),(4 21680.393),(5 24725.242),(6 27011.16),(7 29048.271),(8 30393.492),(9 32282.664),(10 32886.676),(11 33190.473),(12 32999.6),(13 32744.408),(14 32869.176),(15 32175.463),(16 31251.557),(17 30634.818),(18 29510.365),(19 28585.848),(20 28019.322),(21 27486.414),(22 26824.633),(23 26541.129),(24 26171.068),(25 26190.861),(26 26227.088),(27 26727.225),(28 26621.82),(29 27095.385),(30 27650.54),(31 27928.025),(32 28443.824),(33 28417.525),(34 28484.111),(35 28435.48),(36 28752.395),(37 29016.037),(38 29015.262),(39 28836.928),(40 28510.63),(41 28260.324),(42 28071.418),(43 27618.482),(44 27504.445),(45 27387.414),(46 27914.506),(47 28075.557),(48 28690.256),(49 28970.492),(50 29040.734),(51 29059.332),(52 28729.51),(53 28086.045),(54 28009.15),(55 27577.15),(56 27725.984),(57 28076.453),(58 28273.246),(59 28307.799),(60 28336.365),(61 28368.314),(62 28232.98),(63 28393.387),(64 28383.965),(65 28164.717),(66 27962.654),(67 28192.02),(68 28170.732),(69 27903.113),(70 27761.67),(71 27641.82),(72 27631.814),(73 28001.564),(74 28019.006),(75 28331.568),(76 28605.006),(77 28348.79),(78 28384.217),(79 28546.031),
(1 7563.574),(2 12310.775),(3 17626.242),(4 21083.832),(5 24037.377),(6 26361.268),(7 27734.363),(8 29093.447),(9 30555.025),(10 31108.082),(11 31263.297),(12 31172.643),(13 31140.422),(14 31227.215),(15 30492.936),(16 29461.305),(17 28753.152),(18 27623.248),(19 27026.313),(20 26560.258),(21 25741.746),(22 25693.027),(23 25541.5),(24 25404.885),(25 25300.951),(26 25465.023),(27 25816.777),(28 25857.082),(29 26633.484),(30 27361.68),(31 27770.53),(32 27868.615),(33 28188.648),(34 28608.607),(35 28640.377),(36 28951.068),(37 29172.082),(38 29039.066),(39 28881.072),(40 28172.547),(41 27855.295),(42 27446.664),(43 27142.246),(44 26807.01),(45 26414.592),(46 26717.629),(47 26848.334),(48 27059.818),(49 27153.012),(50 27300.35),(51 27142.139),(52 26859.41),(53 26629.285),(54 26394.324),(55 25843.229),(56 25844.176),(57 26268.568),(58 26590.49),(59 26494.158),(60 26639.316),(61 27201.982),(62 27139.451),(63 27174.92),(64 27161.639),(65 26980.586),(66 26355.445),(67 26571.205),(68 26776.9),(69 26753.63),(70 26919.176),(71 26899.074),(72 26628.238),(73 26679.523),(74 27195.27),(75 27146.541),(76 27122.078),(77 27084.639),(78 27418.95),(79 27698.443),
(1 6942.7607),(2 11281.602),(3 16164.051),(4 19591.428),(5 22259.803),(6 24288.266),(7 25718.457),(8 27010.115),(9 28192.57),(10 28644.395),(11 29018.979),(12 28876.691),(13 28670.793),(14 28628.016),(15 28194.418),(16 27420.695),(17 26586.023),(18 25936.48),(19 25443.195),(20 25092.617),(21 24307.81),(22 24184.31),(23 24060.838),(24 24395.516),(25 24294.184),(26 24340.787),(27 24779.797),(28 25300.201),(29 26145.973),(30 26450.795),(31 26664.797),(32 27106.484),(33 27258.012),(34 27600.805),(35 27650.156),(36 27479.166),(37 27660.656),(38 27229.525),(39 26990.855),(40 26286.6),(41 25785.076),(42 25246.658),(43 24683.398),(44 24576.463),(45 24529.531),(46 24898.943),(47 24948.184),(48 25243.037),(49 25035.113),(50 25148.877),(51 24959.604),(52 24885.42),(53 24891.605),(54 24582.541),(55 24358.613),(56 24512.86),(57 24672.77),(58 24723.283),(59 24477.06),(60 24601.184),(61 24953.207),(62 25128.174),(63 25642.102),(64 25599.178),(65 25584.928),(66 25545.363),(67 25699.691),(68 25794.871),(69 25995.459),(70 25969.31),(71 26003.646),(72 26090.275),(73 26147.338),(74 26634.35),(75 26716.65),(76 26865.295),(77 26840.715),(78 26818.373),(79 26796.877),
(1 7011.9385),(2 11174.264),(3 15938.777),(4 19029.01),(5 21524.256),(6 23664.098),(7 24874.361),(8 26088.879),(9 27032.592),(10 27495.318),(11 27749.635),(12 27800.62),(13 27657.314),(14 27608.676),(15 26924.484),(16 26330.691),(17 25890.479),(18 25579.115),(19 24855.63),(20 24623.318),(21 24255.281),(22 24071.227),(23 23774.582),(24 24273.434),(25 24465.682),(26 24756.066),(27 25403.256),(28 26092.658),(29 26699.896),(30 27210.688),(31 27546.293),(32 27809.902),(33 28000.912),(34 28069.746),(35 27902.49),(36 27839.566),(37 27541.818),(38 27100.416),(39 26723.95),(40 25929.547),(41 25305.545),(42 24761.979),(43 24504.738),(44 24537.36),(45 24358.78),(46 24747.984),(47 24753.031),(48 25107.309),(49 25139.438),(50 25059.51),(51 25148.078),(52 24836.508),(53 24767.113),(54 24476.828),(55 24797.592),(56 25031.748),(57 24987.012),(58 25053.314),(59 24903.291),(60 24758.734),(61 24858.2),(62 25105.408),(63 25558.227),(64 25530.924),(65 25288.32),(66 25355.64),(67 25617.031),(68 25569.936),(69 25544.29),(70 25503.719),(71 25905.244),(72 25841.746),(73 25638.512),(74 25782.465),(75 25803.14),(76 26138.824),(77 25769.494),(78 25659.762),(79 25835.918),
(1 6804.761),(2 10606.245),(3 14826.524),(4 17510.14),(5 20034.072),(6 22191.672),(7 23351.979),(8 24413.982),(9 25328.805),(10 25746.207),(11 26062.09),(12 25907.186),(13 25973.514),(14 25908.377),(15 25400.914),(16 24619.273),(17 24262.682),(18 23811.04),(19 23082.156),(20 22701.232),(21 22182.03),(22 21938.43),(23 21833.94),(24 22185.986),(25 22679.303),(26 23104.22),(27 23753.328),(28 24358.014),(29 24942.146),(30 25368.77),(31 25858.787),(32 25908.86),(33 26189.86),(34 26114.242),(35 25957.018),(36 25860.238),(37 25580.92),(38 25250.213),(39 24758.39),(40 24226.582),(41 24014.594),(42 23795.547),(43 23305.51),(44 23176.066),(45 22979.482),(46 23295.594),(47 23526.803),(48 23850.346),(49 24003.867),(50 24010.67),(51 24236.016),(52 24109.041),(53 24230.236),(54 24085.195),(55 24362.895),(56 24705.6),(57 24650.273),(58 24896.006),(59 24666.56),(60 24256.346),(61 24104.385),(62 23969.3),(63 24074.318),(64 24116.379),(65 23764.46),(66 23854.646),(67 24133.672),(68 24437.16),(69 24969.021),(70 25310.256),(71 25403.152),(72 25254.41),(73 25192.27),(74 25166.564),(75 25080.08),(76 25144.486),(77 24924.84),(78 24626.588),(79 24440.525),
(1 6419.816),(2 10340.344),(3 14441.954),(4 17176.547),(5 19468.648),(6 21409.373),(7 22594.977),(8 23729.502),(9 24554.6),(10 24845.426),(11 24903.92),(12 24799.533),(13 24748.22),(14 24839.777),(15 24409.611),(16 24090.484),(17 23947.787),(18 23215.674),(19 22664.426),(20 22582.516),(21 22293.092),(22 22344.803),(23 22458.998),(24 22596.084),(25 22873.096),(26 22870.322),(27 23260.967),(28 23455.016),(29 23787.17),(30 23945.975),(31 23881.74),(32 24039.846),(33 23949.902),(34 23958.611),(35 24088.291),(36 24069.814),(37 24132.064),(38 23995.342),(39 23876.152),(40 23787.56),(41 23631.467),(42 23495.092),(43 23134.416),(44 23152.826),(45 23084.404),(46 23366.484),(47 23485.15),(48 23687.184),(49 23996.441),(50 24199.055),(51 24395.621),(52 24507.451),(53 24738.025),(54 24967.17),(55 24829.096),(56 24687.861),(57 24977.262),(58 24948.947),(59 24742.81),(60 24427.842),(61 24389.863),(62 24196.03),(63 24017.53),(64 24130.959),(65 23954.152),(66 24066.936),(67 24658.309),(68 25052.158),(69 24898.66),(70 24843.258),(71 24970.58),(72 24918.217),(73 24783.453),(74 24816.148),(75 24789.576),(76 24837.633),(77 24719.049),(78 24435.912),(79 24171.979),
(1 6203.2607),(2 9832.731),(3 13731.965),(4 16203.08),(5 18149.654),(6 19852.73),(7 21205.15),(8 22427.262),(9 23619.041),(10 24082.928),(11 24455.445),(12 24633.717),(13 24483.559),(14 24287.564),(15 23960.88),(16 23403.127),(17 23214.307),(18 22842.107),(19 22454.479),(20 22198.213),(21 21963.21),(22 21819.877),(23 21661.576),(24 21911),(25 21967.838),(26 21776.293),(27 21977.354),(28 22141.334),(29 22356.887),(30 22526.07),(31 22949.814),(32 23250.895),(33 23329.744),(34 23514.213),(35 23758.973),(36 23952.117),(37 24023.092),(38 23787.8),(39 23806.31),(40 23799.572),(41 23661.297),(42 23314.572),(43 22922.133),(44 22580.945),(45 22077.111),(46 22213.836),(47 22182.645),(48 22242.941),(49 22413.73),(50 22612.91),(51 22794.15),(52 22693.22),(53 22772.824),(54 23112.713),(55 23456.404),(56 23573.988),(57 23924.244),(58 24051.049),(59 24032.037),(60 24030.15),(61 23868.633),(62 23747.174),(63 23647.064),(64 23780.84),(65 23470.43),(66 23373.08),(67 23738.693),(68 23992.842),(69 23850.086),(70 23821.395),(71 24062.105),(72 23909.078),(73 24150.15),(74 24215.176),(75 24135.133),(76 24226.635),(77 24204.295),(78 24126.15),(79 23755.932),
(1 6076.4336),(2 9577.86),(3 13382.611),(4 15606.486),(5 17753.143),(6 19773.662),(7 20878.502),(8 21789.982),(9 22994.064),(10 23476.959),(11 24023.973),(12 24225.783),(13 24286.566),(14 24509.447),(15 24158.697),(16 23523.205),(17 23356.47),(18 22790.025),(19 22579.87),(20 22066.629),(21 21594.951),(22 21320.684),(23 21093.662),(24 21226.688),(25 21200.4),(26 21118.852),(27 21215.838),(28 21227.152),(29 21595.18),(30 22018.676),(31 22694.91),(32 23061.201),(33 23097.645),(34 23409.662),(35 23715.68),(36 24047.115),(37 24120.834),(38 23959.129),(39 23852.951),(40 23535.871),(41 23247.69),(42 22982.781),(43 22511.06),(44 21995.33),(45 21560.613),(46 21354.912),(47 21492),(48 21544.734),(49 21853.15),(50 22171.336),(51 22397.807),(52 22691.516),(53 22815.35),(54 23270.227),(55 23822.613),(56 24233.018),(57 24651.268),(58 25013.77),(59 25057.191),(60 24919.828),(61 24895.205),(62 24909.408),(63 24661.713),(64 24402.38),(65 23952.91),(66 23626.557),(67 23532.658),(68 23437.512),(69 23459.836),(70 23265.688),(71 23440.541),(72 23203.166),(73 23165.63),(74 23282.027),(75 23474.402),(76 23569.658),(77 23330.168),(78 23397.799),(79 23209.33),
(1 5838.5854),(2 9279.511),(3 12944.015),(4 14984.618),(5 16856.371),(6 18592.791),(7 19558.729),(8 20112.277),(9 20953.518),(10 21405.078),(11 21930.002),(12 22127.33),(13 22362.117),(14 22467.639),(15 22299.71),(16 22167.566),(17 21876.664),(18 21629.146),(19 21254.47),(20 20972.6),(21 20793.727),(22 20935.727),(23 20852.273),(24 21033.18),(25 21147.076),(26 21013.697),(27 21217.525),(28 21404.936),(29 21851.252),(30 22001.67),(31 22470.5),(32 22947.908),(33 23393.842),(34 23578.018),(35 23822.379),(36 24132.537),(37 24375.338),(38 24317.602),(39 24053.092),(40 23995.1),(41 23787.496),(42 23424.195),(43 22769.313),(44 22454.746),(45 21958.746),(46 21496.387),(47 21434.54),(48 21554.602),(49 21632.064),(50 22027.383),(51 22306.258),(52 22290.785),(53 22276.232),(54 22411.525),(55 22584.314),(56 22748.814),(57 22756.502),(58 22764.467),(59 22603.725),(60 22462.584),(61 22399.965),(62 22350.867),(63 22321.453),(64 22288.314),(65 22017.36),(66 22006.717),(67 22352.018),(68 22577.223),(69 22599.354),(70 22609.195),(71 22924.93),(72 22769.625),(73 22969.08),(74 23028.941),(75 23501.79),(76 23668.023),(77 23569.695),(78 23385.758),(79 23253.924),
(1 5693.062),(2 9007.618),(3 12368.722),(4 14147.78),(5 15929.596),(6 17336.143),(7 18358.766),(8 18866.383),(9 19262.248),(10 19698.84),(11 20292),(12 20224.752),(13 20282.205),(14 20380.727),(15 20050.225),(16 19964.406),(17 20028.086),(18 19769.996),(19 19409.72),(20 19231.31),(21 19072.96),(22 18932.47),(23 19103.566),(24 19269.21),(25 19394.066),(26 19459.277),(27 19891.578),(28 20228.746),(29 20744.521),(30 21278.293),(31 21836.201),(32 21979.082),(33 22080.105),(34 21985.822),(35 22189.2),(36 22348.637),(37 22162.246),(38 22046.463),(39 21946.902),(40 21637.24),(41 21342.986),(42 21252.715),(43 20944.607),(44 20773.986),(45 20601.943),(46 20558.992),(47 20526.049),(48 20391.896),(49 20504.74),(50 20586.402),(51 20971.22),(52 21009.818),(53 21004.781),(54 21027.508),(55 20901.018),(56 20806.135),(57 20912.545),(58 21056.781),(59 20870.965),(60 20698.338),(61 20714.863),(62 20716.758),(63 20763.266),(64 20446.582),(65 20352.984),(66 20420.096),(67 20835.598),(68 20840.371),(69 21024.89),(70 21305.764),(71 21540.521),(72 21434.326),(73 21511.21),(74 21683.982),(75 21686.623),(76 21747.34),(77 21566.271),(78 21453.93),(79 21487.06),
(1 5548.4517),(2 8909.534),(3 12560.776),(4 14789.42),(5 16803.068),(6 18348.352),(7 19533.465),(8 20448.229),(9 21196.988),(10 21772.684),(11 22031.07),(12 22039.598),(13 22272.85),(14 22027.328),(15 21826.174),(16 21467.41),(17 21235.613),(18 20706.781),(19 20320.436),(20 19984.77),(21 19816.46),(22 19576.375),(23 19606.67),(24 19667.486),(25 19736.496),(26 19728.43),(27 19845.107),(28 20147.031),(29 20531.87),(30 20840.701),(31 21165.227),(32 21486.486),(33 21735.162),(34 21753.035),(35 21939.627),(36 21962.934),(37 21808.045),(38 21536.914),(39 21579.895),(40 21395.322),(41 21065.693),(42 21072.096),(43 20842.146),(44 20668.125),(45 20817.727),(46 20717.309),(47 20626.543),(48 20449.37),(49 20423.336),(50 20391.13),(51 20524.396),(52 20512.842),(53 20546.064),(54 20578.39),(55 20567.633),(56 20579.914),(57 20837.639),(58 21057.104),(59 21155.6),(60 20957.414),(61 21099.367),(62 21152.338),(63 21167.705),(64 21163.053),(65 21123.096),(66 21019.648),(67 21165.963),(68 21479.475),(69 21576.639),(70 21946.297),(71 22258.816),(72 22160.582),(73 22471.133),(74 22783.05),(75 22759.883),(76 22930.734),(77 22740.111),(78 22512.125),(79 22345.012),
(1 5476.56),(2 8525.125),(3 11845.89),(4 13987.657),(5 15764.086),(6 17013.863),(7 17911.438),(8 18791.717),(9 19494.305),(10 19969.941),(11 20122.256),(12 20200.559),(13 20340.424),(14 20359.303),(15 20008.771),(16 19664.598),(17 19347.654),(18 19030.496),(19 18713.447),(20 18930.045),(21 18730.545),(22 18714.725),(23 18647.654),(24 18661.568),(25 18809.582),(26 18882.852),(27 18973.105),(28 19146.283),(29 19604.941),(30 19716.455),(31 19730.018),(32 19753.766),(33 19870.084),(34 20048.225),(35 20131.299),(36 20106.9),(37 20150.973),(38 19934.643),(39 19824.516),(40 19854.898),(41 19713.506),(42 19637.924),(43 19402.51),(44 19139.64),(45 19247.236),(46 19083.762),(47 19049.383),(48 18976.295),(49 18896.07),(50 18930.428),(51 19000.053),(52 19050.297),(53 19285.555),(54 19500.947),(55 19615.107),(56 19717.363),(57 19892.877),(58 19892.895),(59 19911.91),(60 20002.982),(61 20057.121),(62 19995.229),(63 20191.71),(64 20286.848),(65 20086.89),(66 20190.1),(67 20484.402),(68 20725.123),(69 20704.086),(70 20836.898),(71 20740.822),(72 20766.582),(73 20902.4),(74 21215.527),(75 21537.67),(76 21810.338),(77 21640.047),(78 21581.484),(79 21442.826),
(1 5102.309),(2 8008.144),(3 11093.255),(4 12778.136),(5 14185.387),(6 15240.845),(7 16255.326),(8 17183.676),(9 17909.951),(10 18096.307),(11 18328.902),(12 18315.744),(13 18621.193),(14 18574.404),(15 18563.236),(16 18149.916),(17 17951.658),(18 17718.467),(19 17430.764),(20 17594.072),(21 17293.67),(22 17104.867),(23 17035.387),(24 17333.313),(25 17426.621),(26 17355.605),(27 17734.31),(28 17977.984),(29 18529.438),(30 18720.59),(31 19071.674),(32 19082.664),(33 19284.627),(34 19579.92),(35 19681.096),(36 19742.137),(37 19883.443),(38 19764.674),(39 19622.8),(40 19347.334),(41 19214.16),(42 19003.482),(43 18801.018),(44 18616.287),(45 18453.49),(46 18289.152),(47 18127.941),(48 18084.297),(49 18158.035),(50 18031.084),(51 18049.076),(52 18054.092),(53 18023.076),(54 18009.523),(55 18113.82),(56 18185.764),(57 18335.006),(58 18433.445),(59 18370.695),(60 18758.703),(61 19056.328),(62 18939.135),(63 19156.55),(64 19259.768),(65 19403.576),(66 19273.385),(67 19309.023),(68 19438.846),(69 19390.596),(70 19649.664),(71 19916.486),(72 19933.25),(73 20021.598),(74 20206.389),(75 20129.69),(76 20248.465),(77 20095.865),(78 20009.365),(79 19930.334),
(1 5098.439),(2 7885.458),(3 11016.898),(4 12783.238),(5 14280.691),(6 15601.224),(7 16619.816),(8 17648.777),(9 18349.3),(10 18412.555),(11 18976.865),(12 19037.621),(13 19233.18),(14 19166.71),(15 19176.553),(16 18665.344),(17 18523.947),(18 18239.9),(19 17864.531),(20 17481.803),(21 17004.121),(22 16511.822),(23 16493.215),(24 16692.994),(25 16865.492),(26 17185.635),(27 17784.904),(28 18051.637),(29 18514.43),(30 19012.64),(31 19302.658),(32 19394.373),(33 19616.057),(34 19949.93),(35 20149.838),(36 20044.379),(37 19882.295),(38 19649.842),(39 19654.762),(40 19600.873),(41 19372.668),(42 19266.992),(43 18680.021),(44 18334.684),(45 18037.756),(46 18091.906),(47 17924.43),(48 17786.92),(49 17692.28),(50 17540.896),(51 17508.957),(52 17431.256),(53 17558.504),(54 17608.293),(55 17711.807),(56 17865.166),(57 18114.072),(58 18288.578),(59 18285.607),(60 18566.94),(61 18718.982),(62 18954.55),(63 19157.492),(64 19262.879),(65 19479.648),(66 19496.893),(67 19726.66),(68 19889.568),(69 20027.43),(70 20174.885),(71 20460.734),(72 20353.748),(73 20678.633),(74 20690.79),(75 20447.676),(76 20452.059),(77 20348.363),(78 20145.213),(79 19880.16),
(1 4977.8),(2 7787.721),(3 10805.927),(4 12624.031),(5 14106.491),(6 15476.693),(7 16536.662),(8 17448.21),(9 18016.502),(10 18473.617),(11 18814.467),(12 18778.068),(13 18738.563),(14 18721.72),(15 18569.94),(16 18214.418),(17 17935.709),(18 17584.281),(19 17155.709),(20 16850.027),(21 16427.295),(22 16071.326),(23 16023.82),(24 16159.0625),(25 16318.924),(26 16569.775),(27 16972.674),(28 17295.4),(29 17582.979),(30 17933.84),(31 18179.627),(32 18290.656),(33 18494.36),(34 18775.797),(35 18967.826),(36 19060.191),(37 18937.459),(38 18797.414),(39 18905.406),(40 18531.691),(41 18118.232),(42 17939.932),(43 17502.209),(44 17307.582),(45 17118.44),(46 17274.443),(47 16982.451),(48 17022.805),(49 16889.313),(50 16946.498),(51 16994.287),(52 17014.617),(53 17521.217),(54 17628.168),(55 17811.34),(56 17924.215),(57 18085.387),(58 18124.582),(59 18362.174),(60 18420.24),(61 18659.371),(62 18841.709),(63 18827.068),(64 18844.57),(65 18813.273),(66 19098.662),(67 19128.549),(68 19272.887),(69 19291.842),(70 19303.615),(71 19422.06),(72 19310.848),(73 19579.33),(74 19817.748),(75 19700.35),(76 19938.453),(77 19788.35),(78 19830.93),(79 19725.484),
(1 4947.052),(2 7583.441),(3 10630.426),(4 12294.819),(5 13864.782),(6 15201.261),(7 16202.08),(8 16970.031),(9 17526.838),(10 18007.646),(11 18343.768),(12 18180.219),(13 18225.023),(14 18011.707),(15 17883.645),(16 17599.31),(17 17403.898),(18 17048.494),(19 16712.828),(20 16605.785),(21 16348.446),(22 16473.75),(23 16528.6),(24 16551.371),(25 16635.543),(26 16940.436),(27 17194.422),(28 17286.674),(29 17521.238),(30 17672.918),(31 17881.11),(32 18001.945),(33 18154.633),(34 18494.484),(35 18732.328),(36 18647.209),(37 18472.678),(38 18351.35),(39 18207.895),(40 17823.297),(41 17470.426),(42 17356.443),(43 16962.195),(44 16932.549),(45 16709.783),(46 16853.594),(47 16849.414),(48 16813.316),(49 16771.467),(50 16802.03),(51 16816.297),(52 16748.98),(53 17034.736),(54 17192.76),(55 17343.889),(56 17340.475),(57 17723.05),(58 17647.27),(59 17951.281),(60 18231.035),(61 18527.678),(62 18602.467),(63 18694.627),(64 18809.7),(65 18646.838),(66 18818.588),(67 18608.604),(68 18681.686),(69 18574.219),(70 18422.693),(71 18384.256),(72 18122.559),(73 18125.078),(74 18222.877),(75 18195.477),(76 18218.959),(77 18123.283),(78 18044.129),(79 18225.31),
