1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 6859.155),(2 7692.1685),(3 9006.535),(4 8246.295),(5 10473.859),(6 9520.704),(7 11609.544),(8 11679.84),(9 12574.242),(10 9658.056),(11 13363.03),(12 12984.419),(13 13499.733),(14 12129.117),(15 13743.505),(16 12235.147),(17 13778.961),(18 13341.267),(19 13713.086),(20 10312.2295),(21 13945.075),(22 13784.8545),(23 14455.29),(24 13267.653),(25 14993.368),(26 13592.362),(27 15152.852),(28 14921.802),(29 15386.362),(30 12028.961),(31 15515.753),(32 15209.169),(33 15650.648),(34 14210.77),(35 15623.341),(36 13975.829),(37 15435.133),(38 14948.403),(39 15103.97),(40 11712.481),(41 15568.024),(42 15436.672),(43 16300.602),(44 15160.677),(45 16945.6),(46 15656),(47 17430.756),(48 17043.852),(49 17741.646),(50 14495.198),(51 17977.826),(52 17603.178),(53 18155.35),(54 16618.295),(55 18215.41),(56 16690.467),(57 18005.012),(58 17493.283),(59 17939.615),(60 14256.958),(61 17927.725),(62 17719.85),(63 18409.416),(64 17301.281),(65 19036.547),(66 17689.244),(67 19374.404),(68 19091.746),(69 19742.744),(70 16469.79),(71 20036.768),(72 19828.02),(73 20393.064),(74 18992.818),(75 20583.709),(76 19097.756),(77 20560.6),(78 20033.62),(79 20388.973),
(1 5467.7803),(2 6373.6294),(3 7718.2188),(4 7145.8623),(5 9371.143),(6 8564.781),(7 10620.87),(8 10806.502),(9 11712.66),(10 8894.336),(11 12464.072),(12 12297.514),(13 12823.354),(14 11532.255),(15 13102.064),(16 11717.211),(17 13206.604),(18 12837.705),(19 13156.916),(20 9816.06),(21 13330.336),(22 13231.4),(23 13767.028),(24 12557.094),(25 14200.247),(26 12901.525),(27 14497.542),(28 14284.216),(29 14783.539),(30 11612.739),(31 15030.557),(32 14769.3125),(33 15152.709),(34 13768.175),(35 15206.297),(36 13735.987),(37 15150.442),(38 14766.047),(39 15026.322),(40 11766.195),(41 15431.864),(42 15435.474),(43 16118.617),(44 15041.578),(45 16791.238),(46 15607.264),(47 17289.043),(48 17091.463),(49 17677.033),(50 14634.568),(51 18051.24),(52 17787.48),(53 18190.553),(54 16726.229),(55 18155.193),(56 16626.424),(57 17976.512),(58 17507.016),(59 17744.629),(60 14321.557),(61 17922.24),(62 17847.594),(63 18470.324),(64 17394.662),(65 19113.293),(66 17908.584),(67 19604.021),(68 19435.682),(69 20042.676),(70 16985.525),(71 20456.33),(72 20362.855),(73 20909.676),(74 19659.957),(75 21256.268),(76 19895.99),(77 21378.305),(78 21073.75),(79 21422.803),
(1 5141.433),(2 6139.6343),(3 7537.2515),(4 7058.138),(5 9255.242),(6 8587.423),(7 10691.254),(8 10919.634),(9 11825.487),(10 9150.96),(11 12653.167),(12 12604.995),(13 13156.433),(14 11901.927),(15 13434.136),(16 12140.992),(17 13665.297),(18 13355.769),(19 13664.028),(20 10503.566),(21 13955.773),(22 14018.0205),(23 14631.231),(24 13501.505),(25 15142.497),(26 13986.926),(27 15564.6875),(28 15341.902),(29 15738.339),(30 12671.281),(31 15966.501),(32 15798.55),(33 16201.144),(34 14899.706),(35 16252.481),(36 14904.745),(37 16306.685),(38 15901.259),(39 16130.719),(40 12984.497),(41 16586.854),(42 16690.166),(43 17366.154),(44 16331.288),(45 18006.492),(46 16971.375),(47 18664.654),(48 18606.627),(49 19180.03),(50 16317.753),(51 19567.025),(52 19419.396),(53 19865.99),(54 18514.451),(55 19868.635),(56 18451.031),(57 19824.104),(58 19394.844),(59 19585.969),(60 16342.402),(61 19856.023),(62 19907.732),(63 20525.625),(64 19546.678),(65 21214.08),(66 20210.385),(67 21938.807),(68 21828.586),(69 22420.313),(70 19578.91),(71 22921.635),(72 22875.064),(73 23423.352),(74 22234.313),(75 23705.15),(76 22437.064),(77 23918.729),(78 23632.217),(79 23881.775),
(1 4708.4263),(2 5645.0435),(3 6969.591),(4 6503.3594),(5 8563.757),(6 7938.512),(7 9999.965),(8 10240.12),(9 11048.443),(10 8554.714),(11 11923.793),(12 11982.481),(13 12578.632),(14 11474.172),(15 13023.42),(16 11874.257),(17 13378.361),(18 13166.571),(19 13479.243),(20 10546.637),(21 13925.053),(22 14028.793),(23 14622.288),(24 13547.681),(25 15095.033),(26 13997.962),(27 15533.042),(28 15341.79),(29 15683.451),(30 12836.572),(31 16014.239),(32 15971.246),(33 16378.995),(34 15163.277),(35 16501.922),(36 15268.694),(37 16625.178),(38 16262.583),(39 16464.33),(40 13480.865),(41 16892.895),(42 17044.232),(43 17705.695),(44 16746.953),(45 18328.6),(46 17314.871),(47 18916.223),(48 18832.102),(49 19292.742),(50 16566.262),(51 19670.133),(52 19570.686),(53 19993.848),(54 18735.447),(55 20084.209),(56 18834.95),(57 20173.441),(58 19786.371),(59 19970.893),(60 16976.396),(61 20379.799),(62 20531.676),(63 21197.576),(64 20316.258),(65 21901.209),(66 20954.912),(67 22587.07),(68 22512.55),(69 23007.896),(70 20354.398),(71 23504.477),(72 23490.46),(73 23999.518),(74 22854.973),(75 24219.28),(76 23044.242),(77 24428.658),(78 24148.348),(79 24371.898),
(1 4417.371),(2 5255.6865),(3 6562.8247),(4 6050.1704),(5 8079.972),(6 7448.997),(7 9472.626),(8 9639.358),(9 10399.22),(10 8034.098),(11 11243.999),(12 11291.53),(13 11924.079),(14 10796.221),(15 12278.64),(16 11180.726),(17 12697.125),(18 12422.98),(19 12751.006),(20 10018.397),(21 13244.834),(22 13373.204),(23 14042.668),(24 12982.69),(25 14504.176),(26 13478.804),(27 15056.176),(28 14820.932),(29 15173.351),(30 12520.591),(31 15566.178),(32 15535.813),(33 16018.984),(34 14841.679),(35 16192.9375),(36 15051.012),(37 16464.72),(38 16106.671),(39 16330.86),(40 13553.669),(41 16831.814),(42 17010.57),(43 17745.707),(44 16794.543),(45 18368.096),(46 17417.197),(47 19054.549),(48 18895.023),(49 19336.357),(50 16836.164),(51 19812.69),(52 19720.104),(53 20194.686),(54 18978.742),(55 20311.957),(56 19132.393),(57 20494.451),(58 20064.6),(59 20201.205),(60 17420.156),(61 20629.531),(62 20772.652),(63 21496.992),(64 20648.887),(65 22215.787),(66 21298.625),(67 22932.094),(68 22816.988),(69 23261.918),(70 20807.613),(71 23775.36),(72 23750.582),(73 24284.137),(74 23148.531),(75 24471.97),(76 23354.418),(77 24788.096),(78 24482.574),(79 24715.033),
(1 4278.5986),(2 5045.4287),(3 6369.5527),(4 5779.259),(5 7811.6064),(6 7178.303),(7 9239.232),(8 9331.713),(9 10095.127),(10 7782.486),(11 10957),(12 10984.211),(13 11688.952),(14 10550.8),(15 12036.487),(16 10952.654),(17 12547.817),(18 12218.659),(19 12570.952),(20 9954.132),(21 13097.697),(22 13202.766),(23 13953.692),(24 12885.061),(25 14391.381),(26 13382.383),(27 15014.44),(28 14745.831),(29 15133.833),(30 12549.92),(31 15526.6),(32 15482.564),(33 16043.341),(34 14805.1875),(35 16152.94),(36 14983.555),(37 16435.375),(38 15974),(39 16197.771),(40 13514.992),(41 16675.162),(42 16817.98),(43 17619.531),(44 16650.824),(45 18206.207),(46 17277.748),(47 18969.223),(48 18758.014),(49 19217.412),(50 16813.922),(51 19713.275),(52 19629.973),(53 20222.516),(54 19013.129),(55 20327.066),(56 19147.613),(57 20596.113),(58 20151.121),(59 20346.8),(60 17704.666),(61 20824.656),(62 20978.271),(63 21801.906),(64 20931.967),(65 22460.004),(66 21544.512),(67 23235.785),(68 23053.316),(69 23546.734),(70 21215.113),(71 24111.707),(72 24046.504),(73 24656.809),(74 23508.46),(75 24810.34),(76 23721.256),(77 25204.02),(78 24815.543),(79 25002.309),
(1 3994.7197),(2 4690.7524),(3 6029.3755),(4 5422.117),(5 7346.8804),(6 6743.8545),(7 8745.854),(8 8762.026),(9 9491.691),(10 7350.482),(11 10340.177),(12 10399.323),(13 11181.09),(14 10108.085),(15 11568.12),(16 10590.79),(17 12184.017),(18 11817.89),(19 12196.604),(20 9801.409),(21 12780.36),(22 12892.12),(23 13678.316),(24 12653.582),(25 14067.17),(26 13093.236),(27 14667.951),(28 14341.455),(29 14714.522),(30 12353.541),(31 15147.03),(32 15092.178),(33 15743.963),(34 14574.135),(35 15865.221),(36 14769.373),(37 16171.002),(38 15665.788),(39 15899.088),(40 13408.84),(41 16323.542),(42 16406.701),(43 17222.67),(44 16269.634),(45 17726.783),(46 16852.258),(47 18469.947),(48 18196.78),(49 18654.387),(50 16449.18),(51 19134.193),(52 19041.09),(53 19656.049),(54 18481.861),(55 19699.236),(56 18605.879),(57 20002.467),(58 19514.588),(59 19727.32),(60 17307.273),(61 20221.045),(62 20372.008),(63 21242.627),(64 20427.305),(65 21903.916),(66 21104.574),(67 22757.965),(68 22564.742),(69 23079.102),(70 20961.738),(71 23594.336),(72 23527.488),(73 24166.56),(74 23068.941),(75 24292.518),(76 23256.947),(77 24638.945),(78 24198.361),(79 24398.373),
(1 3734.387),(2 4440.608),(3 5757.193),(4 5176.307),(5 6962.2246),(6 6464.803),(7 8390.989),(8 8377.65),(9 9032.003),(10 7078.8706),(11 9855.471),(12 9949.964),(13 10704.64),(14 9684.103),(15 11004.778),(16 10103.923),(17 11611.294),(18 11209.743),(19 11511.965),(20 9278.77),(21 12032.063),(22 12151.103),(23 12946.007),(24 11961.564),(25 13277.452),(26 12436.786),(27 13959.667),(28 13624.3125),(29 13931.253),(30 11766.892),(31 14330.029),(32 14283.828),(33 14919.272),(34 13805.894),(35 14947.122),(36 13938.575),(37 15263.515),(38 14742.825),(39 14900.221),(40 12600.436),(41 15282.767),(42 15415.391),(43 16249.925),(44 15378.2),(45 16717.334),(46 15943.057),(47 17513.41),(48 17232.77),(49 17644.988),(50 15625.846),(51 18082.572),(52 18019.738),(53 18666.066),(54 17574.22),(55 18667.209),(56 17688.783),(57 19027.8),(58 18542.793),(59 18747),(60 16547.865),(61 19232.367),(62 19443.902),(63 20334.88),(64 19565.602),(65 20919.207),(66 20230.42),(67 21790.307),(68 21584.686),(69 22037.197),(70 20147.941),(71 22540.305),(72 22512.684),(73 23146.512),(74 22125.834),(75 23202.32),(76 22279.785),(77 23601.941),(78 23145.408),(79 23315.941),
(1 3513.877),(2 4209.8687),(3 5557.921),(4 5004.825),(5 6686.1772),(6 6272.1025),(7 8159.7886),(8 8074.8555),(9 8725.6875),(10 6941.9272),(11 9591.044),(12 9729.954),(13 10564.721),(14 9594.051),(15 10848.189),(16 10093.6875),(17 11614.554),(18 11214.717),(19 11545.929),(20 9511.38),(21 12135.11),(22 12304.481),(23 13193.125),(24 12288.159),(25 13561.869),(26 12855.55),(27 14378.812),(28 14026.267),(29 14360.829),(30 12395.125),(31 14783.292),(32 14771.84),(33 15470.967),(34 14397.165),(35 15447.088),(36 14564.074),(37 15888.648),(38 15364.794),(39 15550.356),(40 13477.666),(41 16029.772),(42 16195.823),(43 17082.596),(44 16237.042),(45 17471.006),(46 16801.021),(47 18315.787),(48 18004.236),(49 18407.512),(50 16565.775),(51 18881.713),(52 18840.324),(53 19543.316),(54 18513.732),(55 19524.563),(56 18696.016),(57 20014.47),(58 19503.004),(59 19701.754),(60 17690.225),(61 20186.766),(62 20395.172),(63 21324.89),(64 20597.682),(65 21866.623),(66 21314.83),(67 22867.809),(68 22630.145),(69 23074.95),(70 21371.98),(71 23608.959),(72 23599.666),(73 24295.982),(74 23328.637),(75 24325.498),(76 23531.045),(77 24811.9),(78 24364.203),(79 24553.455),
(1 3341.4365),(2 4054.625),(3 5390.0054),(4 4834.3857),(5 6404.336),(6 6086.3853),(7 7957.634),(8 7860.4434),(9 8476.117),(10 6831.174),(11 9342.696),(12 9518.793),(13 10408.758),(14 9479.643),(15 10647.966),(16 10005.5205),(17 11499.348),(18 11083.7705),(19 11392.645),(20 9530.16),(21 12051.241),(22 12278.252),(23 13201.564),(24 12343.367),(25 13536.368),(26 12962.343),(27 14494.517),(28 14155.106),(29 14512.075),(30 12726.457),(31 15013.165),(32 15068.7705),(33 15842.629),(34 14844.348),(35 15859.1875),(36 15122.005),(37 16476.672),(38 15971.566),(39 16177.504),(40 14267.58),(41 16686.445),(42 16900.844),(43 17830.883),(44 17031.559),(45 18205.285),(46 17672.336),(47 19189.408),(48 18889.268),(49 19286.486),(50 17626.352),(51 19826.162),(52 19850.986),(53 20605.725),(54 19644.479),(55 20585.174),(56 19886.613),(57 21175.285),(58 20692.143),(59 20898.553),(60 19075.66),(61 21437.744),(62 21680.193),(63 22628.361),(64 21943.52),(65 23115.555),(66 22654.107),(67 24163.938),(68 23919.125),(69 24354.23),(70 22814.248),(71 24921.152),(72 24954.459),(73 25703.621),(74 24805.617),(75 25728.191),(76 25071.38),(77 26340.865),(78 25902.924),(79 26114.547),
(1 3161.0244),(2 3859.8943),(3 5215.786),(4 4727.423),(5 6188.842),(6 5962.703),(7 7766.98),(8 7642.7886),(9 8258.663),(10 6773.2974),(11 9165.276),(12 9364.138),(13 10305.487),(14 9448.9),(15 10515.331),(16 10006.272),(17 11444.331),(18 11023.426),(19 11359.6875),(20 9660.912),(21 12038.458),(22 12284.414),(23 13260.513),(24 12501.292),(25 13612.275),(26 13168.586),(27 14662.772),(28 14322.405),(29 14719.243),(30 13132.923),(31 15269.451),(32 15333.466),(33 16134.191),(34 15202.015),(35 16118.919),(36 15531.392),(37 16845.6),(38 16329.752),(39 16549.848),(40 14815.696),(41 17087.861),(42 17306.203),(43 18271.53),(44 17529.654),(45 18581.268),(46 18145.475),(47 19586.762),(48 19247.604),(49 19639.549),(50 18133.922),(51 20190.295),(52 20245.201),(53 21041.133),(54 20144.863),(55 21031.578),(56 20480.797),(57 21743.1),(58 21245.33),(59 21482.67),(60 19837.627),(61 22036.826),(62 22260.723),(63 23204.742),(64 22526.95),(65 23567.738),(66 23192.508),(67 24604.766),(68 24302.266),(69 24713.266),(70 23307.61),(71 25249.137),(72 25276.188),(73 26029.293),(74 25175.434),(75 26000.023),(76 25457.598),(77 26652.11),(78 26175.271),(79 26392.203),
