1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 46923.785),(2 120002.445),(3 228615.2),(4 354052.16),(5 492098.84),(6 659831.8),(7 818681.94),(8 1001360.3),(9 1343350.3),(10 1548902.1),(11 1755852.4),(12 2031369.1),(13 2245230.3),(14 2474821.8),(15 2702882.5),(16 2977923.3),(17 3230476),(18 3514612),(19 3744251.3),(20 3990944.3),(21 4254235.5),(22 4477639.5),(23 4709871.5),(24 4958456),(25 5162673.5),(26 5389143.5),(27 5589849.5),(28 5760838),(29 5934964.5),(30 6046950),(31 6120592.5),(32 6232088),(33 6375606.5),(34 6533177.5),(35 6706216.5),(36 6914054),(37 7091493.5),(38 7271792),(39 7486092),(40 7790464.5),(41 8051112),(42 8288782),(43 8525697),(44 8772478),(45 9024197),(46 9298242),(47 9593951),(48 9902485),(49 10237347),(50 10547779),(51 10883897),(52 11461325),(53 11942875),(54 12353089),(55 12773040),(56 13168301),(57 13583393),(58 14004464),(59 14372293),(60 14728892),(61 15086607),(62 15417725),(63 15807325),(64 16173421),(65 16514509),(66 16863008),(67 17179974),(68 17482284),(69 17729214),(70 17955000),(71 18278166),(72 18574986),(73 18927790),(74 19591182),(75 20078000),(76 20549852),(77 21083558),(78 21723890),(79 22231030),
(1 38264.64),(2 113875.02),(3 224451.53),(4 353232.47),(5 499545.66),(6 667196.5),(7 836775),(8 1025009.3),(9 1280345),(10 1489924.1),(11 1720821.8),(12 1989837.6),(13 2249449.8),(14 2496821.3),(15 2740149.3),(16 3036287.5),(17 3310821.3),(18 3595133.5),(19 3900204.8),(20 4236595),(21 4625630.5),(22 5013940),(23 5428973),(24 5861838),(25 6415908.5),(26 6944713),(27 7481521.5),(28 8017602.5),(29 8555250),(30 9028443),(31 9612056),(32 10136385),(33 10783942),(34 11398755),(35 12053627),(36 12755597),(37 13417086),(38 14061990),(39 14771754),(40 15466640),(41 16065061),(42 16593619),(43 17159590),(44 17717228),(45 18244648),(46 18781550),(47 19292836),(48 19792884),(49 20258420),(50 20699798),(51 21089002),(52 21404954),(53 21739578),(54 22025206),(55 22274716),(56 22458244),(57 22684096),(58 22972064),(59 23191318),(60 23549124),(61 23779268),(62 23978402),(63 24104572),(64 24233882),(65 24331552),(66 24372122),(67 24338602),(68 24246272),(69 24143308),(70 24137888),(71 24236988),(72 24397808),(73 24659604),(74 25149794),(75 25462556),(76 25724246),(77 26028182),(78 26470378),(79 26752856),
(1 44999.223),(2 144807.95),(3 297068.13),(4 489658.84),(5 718791.5),(6 983011),(7 1254414.3),(8 1546739.1),(9 1870998.1),(10 2180898.8),(11 2515923),(12 2878856.3),(13 3231153.3),(14 3566631),(15 3894871.3),(16 4243706),(17 4582592.5),(18 4907734),(19 5230431),(20 5580446.5),(21 5938209.5),(22 6291388),(23 6664074.5),(24 7017766.5),(25 7453961.5),(26 7830895.5),(27 8205871.5),(28 8603135),(29 8977700),(30 9351835),(31 9875119),(32 10316841),(33 10862559),(34 11386733),(35 11921480),(36 12482497),(37 13069579),(38 13634945),(39 14227461),(40 14806432),(41 15344516),(42 15825715),(43 16326284),(44 16771711),(45 17177706),(46 17564746),(47 17948602),(48 18341372),(49 18728232),(50 19096664),(51 19458246),(52 20030256),(53 20369200),(54 20655874),(55 20925594),(56 21158600),(57 21381166),(58 21572682),(59 21699330),(60 21806188),(61 21866820),(62 21866034),(63 21854730),(64 21858430),(65 21889550),(66 21860642),(67 21813926),(68 21733530),(69 21667796),(70 21600106),(71 21603350),(72 21632370),(73 21606804),(74 21742128),(75 21755086),(76 21744930),(77 21772050),(78 21748254),(79 21738232),
(1 40229.07),(2 130873.53),(3 268167.72),(4 450168.78),(5 660575.5),(6 920017.94),(7 1179970.5),(8 1451463.6),(9 1721697.8),(10 2001415.5),(11 2292365),(12 2596345.5),(13 2904918.8),(14 3207448.5),(15 3505733),(16 3856823.5),(17 4198741),(18 4538290.5),(19 4881438.5),(20 5228810),(21 5567348.5),(22 5901301.5),(23 6218452.5),(24 6523972.5),(25 6832837.5),(26 7115555.5),(27 7366266.5),(28 7594601),(29 7836191),(30 8065347.5),(31 8367408),(32 8633175),(33 8923280),(34 9202928),(35 9500976),(36 9816894),(37 10136261),(38 10423279),(39 10739166),(40 11027554),(41 11277532),(42 11479442),(43 11692753),(44 11874724),(45 12034188),(46 12173463),(47 12301458),(48 12462309),(49 12647932),(50 12830384),(51 13030999),(52 13387676),(53 13608713),(54 13844900),(55 14064580),(56 14298690),(57 14512754),(58 14712263),(59 14887210),(60 15031492),(61 15152341),(62 15248192),(63 15358112),(64 15516185),(65 15693035),(66 15836681),(67 15973813),(68 16088068),(69 16199900),(70 16260491),(71 16324345),(72 16376752),(73 16336068),(74 16375612),(75 16324002),(76 16285831),(77 16252903),(78 16164457),(79 16109895),
(1 46567.76),(2 150117.23),(3 303750.72),(4 502757.9),(5 735321.8),(6 1016254.2),(7 1305605.6),(8 1611399.6),(9 1943953.1),(10 2253618.3),(11 2577106.3),(12 2910520),(13 3256602.3),(14 3614123.3),(15 3970796.3),(16 4377147.5),(17 4755224),(18 5106993.5),(19 5465036.5),(20 5809335.5),(21 6130851),(22 6441373),(23 6711192),(24 6962236.5),(25 7182688.5),(26 7381290),(27 7570220.5),(28 7721568.5),(29 7882070.5),(30 8012681.5),(31 8200688),(32 8345569.5),(33 8470660),(34 8594641),(35 8725504),(36 8886159),(37 9024910),(38 9177425),(39 9349317),(40 9499985),(41 9631476),(42 9806209),(43 9986080),(44 10172256),(45 10372628),(46 10583892),(47 10815558),(48 11039965),(49 11249988),(50 11480304),(51 11731292),(52 12159953),(53 12469283),(54 12794892),(55 13107465),(56 13432422),(57 13754321),(58 14084595),(59 14390950),(60 14710214),(61 15026877),(62 15344161),(63 15665129),(64 15995575),(65 16288393),(66 16548726),(67 16778574),(68 16971502),(69 17083414),(70 17179718),(71 17240348),(72 17291360),(73 17274162),(74 17310304),(75 17289972),(76 17271472),(77 17236152),(78 17171794),(79 17089248),
(1 59125.105),(2 183668.4),(3 363249.3),(4 588832.1),(5 847967.2),(6 1159800.6),(7 1482033.8),(8 1826503.3),(9 2223899.3),(10 2576972),(11 2957967.3),(12 3365384),(13 3764010),(14 4167500.8),(15 4554227),(16 4993241),(17 5405595),(18 5811594.5),(19 6213626.5),(20 6600108.5),(21 6985269),(22 7357188),(23 7704481),(24 8026626.5),(25 8299928),(26 8545413),(27 8805134),(28 9038742),(29 9286590),(30 9509861),(31 9741930),(32 9901019),(33 10013862),(34 10130498),(35 10245634),(36 10375928),(37 10485333),(38 10606051),(39 10724822),(40 10805325),(41 10856344),(42 10887394),(43 10936362),(44 10955128),(45 10973735),(46 10994776),(47 11032478),(48 11061008),(49 11105709),(50 11133566),(51 11160293),(52 11242678),(53 11326030),(54 11414217),(55 11521193),(56 11655863),(57 11803057),(58 11969136),(59 12136812),(60 12359811),(61 12570803),(62 12795518),(63 13030454),(64 13281480),(65 13533568),(66 13777715),(67 13995691),(68 14187150),(69 14307781),(70 14407325),(71 14490846),(72 14589206),(73 14648694),(74 14766157),(75 14826208),(76 14887328),(77 14903434),(78 14875245),(79 14811434),
(1 69853.88),(2 216954.5),(3 423840.66),(4 683327.56),(5 978548.3),(6 1315379.8),(7 1644638.6),(8 1984982.8),(9 2313401.5),(10 2595034.8),(11 2881044.5),(12 3153101.5),(13 3412753.8),(14 3652583.5),(15 3881404),(16 4148161.3),(17 4376746.5),(18 4602927.5),(19 4839771.5),(20 5077791.5),(21 5310167),(22 5539880),(23 5758145),(24 5974018),(25 6171908.5),(26 6380134),(27 6588633),(28 6796492.5),(29 7011201),(30 7184860.5),(31 7330064.5),(32 7479510),(33 7607877),(34 7736191.5),(35 7872654),(36 8014912),(37 8117914.5),(38 8210979),(39 8271931),(40 8291994.5),(41 8265126),(42 8180398),(43 8108312),(44 8013453.5),(45 7904406),(46 7793080.5),(47 7687644.5),(48 7555240),(49 7388634),(50 7198923),(51 7001842),(52 6859892.5),(53 6718194.5),(54 6621499),(55 6543235.5),(56 6492906.5),(57 6454152),(58 6431032.5),(59 6426952.5),(60 6445402.5),(61 6466142),(62 6512818.5),(63 6581729),(64 6667157.5),(65 6768907.5),(66 6889693.5),(67 7001553),(68 7104953),(69 7203593),(70 7295294),(71 7399435.5),(72 7519664.5),(73 7617176.5),(74 7754312.5),(75 7857529),(76 7971554),(77 8048715.5),(78 8113426),(79 8166487.5),
(1 63467.586),(2 198284.08),(3 389796.13),(4 631130.25),(5 910874.8),(6 1252986.5),(7 1591600),(8 1960725.5),(9 2423259),(10 2843037.8),(11 3310500.3),(12 3800491.8),(13 4317400),(14 4832077),(15 5355518),(16 5928037.5),(17 6441759),(18 6947812.5),(19 7443917),(20 7929507.5),(21 8395674),(22 8825623),(23 9230218),(24 9609943),(25 9944314),(26 10263522),(27 10530746),(28 10788444),(29 11038070),(30 11229325),(31 11386933),(32 11505399),(33 11584951),(34 11632855),(35 11675575),(36 11704762),(37 11695923),(38 11655155),(39 11592751),(40 11500597),(41 11361918),(42 11210052),(43 11051068),(44 10869132),(45 10668207),(46 10481632),(47 10305698),(48 10139607),(49 9972884),(50 9793673),(51 9621134),(52 9533092),(53 9435889),(54 9371151),(55 9311037),(56 9262859),(57 9221797),(58 9183690),(59 9151247),(60 9117229),(61 9095641),(62 9094806),(63 9099285),(64 9117783),(65 9149817),(66 9200899),(67 9245303),(68 9291827),(69 9327622),(70 9361654),(71 9407772),(72 9452123),(73 9477993),(74 9535731),(75 9617115),(76 9710239),(77 9789728),(78 9906645),(79 10012329),
(1 71089.484),(2 226048.52),(3 456996.3),(4 749044),(5 1086080.4),(6 1474526.4),(7 1863410.5),(8 2268862.5),(9 2664792),(10 3032135.5),(11 3393910),(12 3740644),(13 4056491.3),(14 4336684),(15 4577712),(16 4793151.5),(17 4948173),(18 5065350.5),(19 5153939),(20 5222203.5),(21 5264767),(22 5300434),(23 5325235),(24 5352242),(25 5369648.5),(26 5387167.5),(27 5398030),(28 5433367.5),(29 5504831.5),(30 5613628),(31 5794714.5),(32 5983607),(33 6211587.5),(34 6443122),(35 6681252.5),(36 6919626.5),(37 7152641),(38 7383012),(39 7611953.5),(40 7801895),(41 7970503.5),(42 8146881),(43 8300124),(44 8411428),(45 8497540),(46 8557008),(47 8593352),(48 8602627),(49 8590918),(50 8550931),(51 8483711),(52 8445793),(53 8374597.5),(54 8289186),(55 8178388),(56 8051055),(57 7926257),(58 7812462),(59 7709334),(60 7640118.5),(61 7579626.5),(62 7563836.5),(63 7571142.5),(64 7597833),(65 7658012.5),(66 7717105.5),(67 7770549.5),(68 7810436.5),(69 7812693.5),(70 7818097),(71 7827005),(72 7824906),(73 7785413.5),(74 7734975),(75 7719532.5),(76 7725540.5),(77 7753730),(78 7812487.5),(79 7856973.5),
(1 74201.31),(2 238484.56),(3 482581.44),(4 793565.6),(5 1155732.9),(6 1579943.5),(7 2001632.3),(8 2433739.5),(9 2857972),(10 3251489),(11 3633311),(12 3985096.5),(13 4287030.5),(14 4546570),(15 4772328),(16 4973994),(17 5107704),(18 5199855),(19 5250913),(20 5283626.5),(21 5304700.5),(22 5325619.5),(23 5358550.5),(24 5390421.5),(25 5428714.5),(26 5458304),(27 5478234),(28 5515206),(29 5578099.5),(30 5681476.5),(31 5798456.5),(32 5917011.5),(33 6052942),(34 6182329.5),(35 6302346),(36 6436562),(37 6573043.5),(38 6720711),(39 6869294.5),(40 7023455),(41 7193274),(42 7440506.5),(43 7670078),(44 7890227.5),(45 8096050),(46 8292471),(47 8481209),(48 8677465),(49 8877847),(50 9047921),(51 9182232),(52 9311111),(53 9404286),(54 9439099),(55 9438762),(56 9383156),(57 9276077),(58 9152435),(59 8975237),(60 8748187),(61 8517840),(62 8280734),(63 8058726),(64 7841019.5),(65 7642394),(66 7460633),(67 7314814),(68 7179266),(69 7052354),(70 6956884),(71 6899614),(72 6872014.5),(73 6874321.5),(74 6919172.5),(75 6986134.5),(76 7083251.5),(77 7196363),(78 7321887.5),(79 7435208.5),
(1 71719.25),(2 229797.67),(3 459602.94),(4 747110.3),(5 1075511.5),(6 1455205.3),(7 1825923.6),(8 2202511.3),(9 2605237),(10 2970142),(11 3321163.5),(12 3646373.8),(13 3941336.5),(14 4206477.5),(15 4448941.5),(16 4695117),(17 4885832),(18 5040957),(19 5182629.5),(20 5307312),(21 5418452),(22 5518450),(23 5615779),(24 5698041),(25 5767556),(26 5808716),(27 5827128),(28 5837224),(29 5840171.5),(30 5838052.5),(31 5850044),(32 5851857),(33 5871841),(34 5882711.5),(35 5903917.5),(36 5933114.5),(37 5960002),(38 5988013.5),(39 6019485.5),(40 6049898.5),(41 6100176),(42 6169189),(43 6230079.5),(44 6280401),(45 6314803),(46 6339431.5),(47 6382091),(48 6445100),(49 6513199.5),(50 6581683),(51 6647169),(52 6690795.5),(53 6713704.5),(54 6713488),(55 6686670),(56 6626234.5),(57 6526260.5),(58 6410284),(59 6256695.5),(60 6086928),(61 5901807),(62 5704371.5),(63 5518328.5),(64 5345572),(65 5176857),(66 5043182),(67 4933728.5),(68 4831072),(69 4762865),(70 4724827.5),(71 4729655.5),(72 4767150),(73 4834368),(74 4947808),(75 5073300),(76 5227368.5),(77 5402503.5),(78 5598907),(79 5799524),
