1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 114255.46),(2 221001.23),(3 331838.2),(4 387908.34),(5 523272.6),(6 701961.5),(7 876763.5),(8 841722.8),(9 882427.7),(10 951233.06),(11 984074.3),(12 922474.8),(13 918091.7),(14 976569.2),(15 981302.2),(16 991517.3),(17 986909.25),(18 1076241),(19 1128285.1),(20 1180304.9),(21 1202184),(22 1255953.9),(23 1318091),(24 1382296.9),(25 1399808),(26 1436873),(27 1508901),(28 1565401.6),(29 1637799.6),(30 1657420.5),(31 1714800.6),(32 1811369.4),(33 1970134.6),(34 1958990),(35 1980926),(36 1991465.4),(37 2073880.6),(38 1992827),(39 1925245.4),(40 1853256.1),(41 1812138.6),(42 1766508.9),(43 1706106.4),(44 1651991.4),(45 1606194.5),(46 1535402.1),(47 1485478.1),(48 1456857),(49 1519614.6),(50 1504579),(51 1443202.4),(52 1457630.4),(53 1504423.4),(54 1547216.6),(55 1550621.6),(56 1535003.6),(57 1631723.6),(58 1630272),(59 1638542.4),(60 1577478.6),(61 1582361),(62 1630271),(63 1630434.9),(64 1579126),(65 1538209),(66 1599158),(67 1680504.6),(68 1634296.4),(69 1661047),(70 1689385.1),(71 1754982.4),(72 1787021.6),(73 1849323),(74 1928653),(75 2020078.4),(76 2036019.6),(77 2087212.5),(78 2116014.8),(79 2176664.3),
(1 53324.773),(2 142997.97),(3 269523.78),(4 394746.3),(5 542606.3),(6 701831.75),(7 874483.6),(8 1018653.2),(9 1163339.4),(10 1307752.3),(11 1455980.3),(12 1590555.3),(13 1713964.8),(14 1820706.3),(15 1920150.3),(16 2042774),(17 2168534),(18 2302952),(19 2437060.5),(20 2589516.3),(21 2709724.8),(22 2765724.5),(23 2858799.5),(24 2932524.5),(25 2983953.5),(26 3024038.5),(27 3052556.8),(28 3061937.8),(29 3078066.8),(30 3069602.8),(31 3068230),(32 2993800.5),(33 2944547.5),(34 2899095.5),(35 2852851.3),(36 2817050.8),(37 2803749.5),(38 2727154.8),(39 2667561.8),(40 2608611.3),(41 2543269.8),(42 2461018.5),(43 2411073.3),(44 2366125.3),(45 2307254),(46 2237036.8),(47 2183570.5),(48 2160842.8),(49 2162476),(50 2153498),(51 2150183.5),(52 2132393.8),(53 2139020.3),(54 2170913),(55 2205442),(56 2244104),(57 2307868),(58 2333749.5),(59 2395552.8),(60 2485641.5),(61 2591368),(62 2661444),(63 2720323.3),(64 2809637.5),(65 2904895.5),(66 3022261.3),(67 3145534.5),(68 3233909.5),(69 3315764.5),(70 3369828.8),(71 3423915.3),(72 3443435.3),(73 3478889.5),(74 3476253.5),(75 3497879.5),(76 3468450.5),(77 3491026.5),(78 3484610.8),(79 3508135.3),
(1 54301.8),(2 148990.55),(3 259247.95),(4 375157.47),(5 508194.6),(6 652807.7),(7 800573),(8 908933),(9 1032344.44),(10 1134922.4),(11 1229527.1),(12 1319440.5),(13 1392637.4),(14 1455923.9),(15 1506645),(16 1570877.6),(17 1662275.4),(18 1758418.9),(19 1869442.4),(20 2027054),(21 2165421.8),(22 2293558),(23 2432273),(24 2566468.8),(25 2690328.3),(26 2795355.8),(27 2892984),(28 2946214.3),(29 2994911.3),(30 3019774),(31 3031678.8),(32 3001380),(33 2996582),(34 2976080.8),(35 2945211.3),(36 2912144),(37 2895401.8),(38 2843705),(39 2804187.8),(40 2784577),(41 2734734.8),(42 2685813.3),(43 2634894.8),(44 2602674.3),(45 2558314.8),(46 2518018.5),(47 2495923.3),(48 2463427.5),(49 2425339.8),(50 2405440.8),(51 2397545.3),(52 2408850.8),(53 2437457.8),(54 2482891.3),(55 2515935),(56 2550766.8),(57 2615168.3),(58 2659216),(59 2726660.8),(60 2807888.3),(61 2897811.3),(62 2985705),(63 3083238),(64 3179385.3),(65 3286798.8),(66 3395039.3),(67 3488837),(68 3583040.8),(69 3633494.8),(70 3696383.8),(71 3775505.3),(72 3837813.3),(73 3923456),(74 3993603.3),(75 4073009.3),(76 4153840.3),(77 4277682.5),(78 4328965.5),(79 4384042),
(1 40681.832),(2 114689.234),(3 209250.61),(4 313674.8),(5 435864.38),(6 556998.44),(7 662779.7),(8 747919.3),(9 836097.3),(10 917546.06),(11 995156.25),(12 1061320.6),(13 1126213.1),(14 1197840.6),(15 1252782.6),(16 1305555.9),(17 1376231.8),(18 1465523.5),(19 1538258.9),(20 1616399.8),(21 1704253.6),(22 1811259.1),(23 1897437.8),(24 1996823.5),(25 2093099.5),(26 2171877.8),(27 2236343.5),(28 2298742.5),(29 2369220.8),(30 2418595),(31 2453265),(32 2476481),(33 2492983.3),(34 2467830.8),(35 2462551.8),(36 2442723),(37 2430776.3),(38 2416316),(39 2430409.3),(40 2442087.3),(41 2462337.3),(42 2491207),(43 2533492.5),(44 2583770.8),(45 2650232),(46 2698956.5),(47 2784327),(48 2866163),(49 2956265.3),(50 3069391.5),(51 3196693),(52 3326947),(53 3478342.8),(54 3646789),(55 3821964),(56 3988017.8),(57 4178044.5),(58 4353957.5),(59 4516695.5),(60 4635772.5),(61 4758502),(62 4861810),(63 4960583),(64 5035906),(65 5114036.5),(66 5172673.5),(67 5251747.5),(68 5332932),(69 5412728),(70 5514671.5),(71 5627298),(72 5734922),(73 5840014),(74 5934721),(75 6031205),(76 6079869.5),(77 6131897),(78 6157503),(79 6199564),
(1 36723.027),(2 103809.48),(3 190255.36),(4 287032.3),(5 404411.72),(6 517546.97),(7 609562.5),(8 689684.1),(9 760822.94),(10 825481.94),(11 881001.06),(12 921844.75),(13 966806.4),(14 997283.6),(15 1007790.4),(16 1032219.25),(17 1072287.9),(18 1127801.6),(19 1169061.5),(20 1214583.6),(21 1283504),(22 1358325.1),(23 1414489.5),(24 1470202.6),(25 1527595.3),(26 1574278.5),(27 1620132),(28 1672888.4),(29 1729699.3),(30 1767035.1),(31 1805793.5),(32 1838881.6),(33 1853354.9),(34 1842753.9),(35 1856560.9),(36 1859219.9),(37 1878335.5),(38 1881905.9),(39 1906843.1),(40 1932623.6),(41 1973055.3),(42 2010954.5),(43 2055374.8),(44 2115394.3),(45 2171529.8),(46 2221527.5),(47 2283381.5),(48 2322976.3),(49 2361426.8),(50 2399597.8),(51 2446833.8),(52 2503908),(53 2565069.5),(54 2639426),(55 2723843.8),(56 2800418),(57 2889419.8),(58 2973803.3),(59 3055375.3),(60 3122591.8),(61 3200392),(62 3252560),(63 3316864.3),(64 3366225.5),(65 3402822.5),(66 3431908.8),(67 3467190.5),(68 3489805.5),(69 3508389.8),(70 3542274.5),(71 3582741),(72 3626139),(73 3662583.8),(74 3713067.8),(75 3751864.3),(76 3768039),(77 3784949.5),(78 3830432.8),(79 3890220.8),
(1 40744.87),(2 116126.25),(3 213188.72),(4 320959),(5 446218.16),(6 566491.8),(7 672889.75),(8 779100.2),(9 872651.4),(10 950944.6),(11 1026271.2),(12 1076887.4),(13 1129591.3),(14 1163455),(15 1164755),(16 1175674.9),(17 1189148.6),(18 1211001.5),(19 1241111.6),(20 1286375.8),(21 1347604),(22 1411880.8),(23 1455358.9),(24 1499465.9),(25 1564111.3),(26 1598629.6),(27 1635699.5),(28 1668784.8),(29 1701511),(30 1704502.3),(31 1710667),(32 1700677.4),(33 1703295.3),(34 1688889.6),(35 1686141.8),(36 1701140),(37 1726041.6),(38 1745137),(39 1774494),(40 1793827.6),(41 1806396.4),(42 1799087.4),(43 1795125.6),(44 1786504.8),(45 1784991.3),(46 1769943.6),(47 1757126),(48 1745208.8),(49 1727206.8),(50 1713281.4),(51 1728804),(52 1745749.6),(53 1769536.8),(54 1790988.6),(55 1822500.8),(56 1846418.8),(57 1865728.6),(58 1881677.6),(59 1920628),(60 1966302),(61 2008554.6),(62 2039609.3),(63 2093530.3),(64 2161317.3),(65 2230094.8),(66 2300216.8),(67 2368284.5),(68 2430484.5),(69 2480596.5),(70 2536512.5),(71 2592910.5),(72 2627996.5),(73 2673384.8),(74 2712618.3),(75 2747325.8),(76 2784038),(77 2834698.8),(78 2862806),(79 2885680.5),
(1 34484.39),(2 99629.34),(3 193803.75),(4 292457.84),(5 412212),(6 523448.47),(7 630424.3),(8 742855.56),(9 852987.44),(10 951441.44),(11 1050852.5),(12 1144938.1),(13 1241071.9),(14 1317838.1),(15 1390521.4),(16 1461329.9),(17 1529992.9),(18 1605303.5),(19 1667362.6),(20 1733179.4),(21 1810010),(22 1866099.5),(23 1915248.3),(24 1969141.9),(25 2030942.8),(26 2082903.1),(27 2133999.3),(28 2198086.5),(29 2247160.3),(30 2290478.3),(31 2350580.3),(32 2397393),(33 2461619.3),(34 2504612),(35 2530289.8),(36 2567392.8),(37 2629049),(38 2667313.5),(39 2714492.5),(40 2749586.8),(41 2789945),(42 2810519),(43 2844238.3),(44 2881476),(45 2910640.3),(46 2944993.8),(47 2986265.5),(48 3009832.3),(49 3019610.5),(50 3004015),(51 2988950.8),(52 2951633.8),(53 2914720),(54 2870129.8),(55 2835617),(56 2806871.5),(57 2788329.8),(58 2752857.8),(59 2726587.5),(60 2707832.3),(61 2684479),(62 2652082.8),(63 2638496.5),(64 2614559.5),(65 2600753.3),(66 2589478.8),(67 2587327.5),(68 2572668.5),(69 2551356.5),(70 2532052.8),(71 2520466),(72 2497314.3),(73 2469395.8),(74 2441498.5),(75 2420123.8),(76 2405702),(77 2394028),(78 2392753.5),(79 2422304.5),
(1 35006.473),(2 100694.54),(3 190373.58),(4 291459.34),(5 410574.44),(6 535761.3),(7 658371.4),(8 796175.56),(9 929477.44),(10 1047488.1),(11 1159630.4),(12 1254386.9),(13 1355944.3),(14 1449625.6),(15 1541866.8),(16 1625481.9),(17 1706408.6),(18 1787759.3),(19 1855366.5),(20 1922221.3),(21 1974714.6),(22 2032761.5),(23 2076785.3),(24 2118655.5),(25 2159292.8),(26 2201451.5),(27 2230420.8),(28 2253525),(29 2262021.3),(30 2265357),(31 2263008.3),(32 2259029),(33 2254057.5),(34 2250321),(35 2248137.8),(36 2257241.5),(37 2281697.5),(38 2305501),(39 2339544.5),(40 2368884),(41 2396937),(42 2416984),(43 2435427.8),(44 2443043.3),(45 2453151.8),(46 2460014.5),(47 2466675.8),(48 2478093.5),(49 2484813),(50 2489156.5),(51 2498429.3),(52 2502389.5),(53 2507187.3),(54 2504918.5),(55 2504596.5),(56 2503668.3),(57 2507121),(58 2507322.8),(59 2519413.8),(60 2540083),(61 2563463.8),(62 2578132),(63 2600646.5),(64 2627243.5),(65 2664059),(66 2703835),(67 2752199),(68 2782186.3),(69 2804868.3),(70 2831664.3),(71 2859001.5),(72 2879109),(73 2896229.8),(74 2910925.5),(75 2926991),(76 2959973.8),(77 2980265),(78 2998663.3),(79 3020373),
(1 31657.988),(2 92133.414),(3 172992.13),(4 259534.38),(5 353623.28),(6 444686.28),(7 529478.9),(8 612367.9),(9 690771.44),(10 759507.94),(11 832421.5),(12 897540),(13 970538.8),(14 1039183.3),(15 1107132),(16 1167074.9),(17 1236218.4),(18 1295899.5),(19 1343872.3),(20 1395476.4),(21 1457532),(22 1514963),(23 1561229.5),(24 1604859.8),(25 1652338.1),(26 1694748.3),(27 1731829.8),(28 1769602.6),(29 1811497.3),(30 1839260.5),(31 1868828.1),(32 1894109.5),(33 1929603.8),(34 1953689.5),(35 1976913.4),(36 2005538.6),(37 2047670.1),(38 2090822.9),(39 2128012.3),(40 2161440.8),(41 2193507),(42 2214521.8),(43 2225822.3),(44 2238230.3),(45 2251153.5),(46 2263082.3),(47 2282674.8),(48 2288980.3),(49 2278550.5),(50 2256362.8),(51 2241445.3),(52 2214182),(53 2191823.8),(54 2164072.8),(55 2150563),(56 2145118),(57 2148001.3),(58 2150028.3),(59 2158515.5),(60 2175970.3),(61 2187132.5),(62 2187167.5),(63 2199953.5),(64 2218515.8),(65 2249681.8),(66 2277058.5),(67 2308007.5),(68 2327100.5),(69 2345787.3),(70 2356964.5),(71 2378025),(72 2387560.5),(73 2394578.3),(74 2398347),(75 2410033.8),(76 2422664.8),(77 2443007.8),(78 2449218),(79 2459641),
(1 33926.98),(2 102712.27),(3 204350.58),(4 318115.94),(5 445899.34),(6 567283.06),(7 685220.06),(8 790501.25),(9 883135.75),(10 969703.1),(11 1046342.9),(12 1125994.6),(13 1199827.4),(14 1272260.5),(15 1345878.5),(16 1418433.5),(17 1488441.5),(18 1555001.1),(19 1619764.1),(20 1690498),(21 1745611.5),(22 1796720.6),(23 1848898.5),(24 1888855.4),(25 1914436.6),(26 1949526.3),(27 1982761.8),(28 2010161.5),(29 2035412.6),(30 2054224.9),(31 2081179.4),(32 2099698.3),(33 2121081),(34 2138089.5),(35 2155555.8),(36 2184184.5),(37 2212612.5),(38 2239001),(39 2272866),(40 2295356.8),(41 2323989.3),(42 2349097.8),(43 2382176.5),(44 2405906),(45 2427881.8),(46 2448569.8),(47 2461638),(48 2465588),(49 2458986.8),(50 2442345.5),(51 2430418),(52 2409689),(53 2391548.5),(54 2359938.5),(55 2324182.5),(56 2290617),(57 2262636.5),(58 2235974),(59 2214001),(60 2196665.8),(61 2175759.5),(62 2144025.8),(63 2113794.5),(64 2083612.6),(65 2058749.4),(66 2037473.5),(67 2022924.5),(68 2006228.5),(69 1997075.5),(70 1989783.5),(71 2002351.1),(72 2000448.3),(73 2002579.8),(74 1997801.4),(75 1995097.4),(76 1993246.3),(77 1995888.9),(78 2000812.5),(79 2004502.9),
(1 36022.01),(2 108230.234),(3 202279.89),(4 303273.2),(5 413875.16),(6 514955.34),(7 602755.8),(8 680245.75),(9 758936.3),(10 835365.44),(11 908138.5),(12 983965.9),(13 1067468.8),(14 1140093.4),(15 1210990.6),(16 1283955.8),(17 1364227.4),(18 1441924.3),(19 1513595.3),(20 1591331.6),(21 1666367.8),(22 1733510),(23 1778379.8),(24 1818710.9),(25 1859693.9),(26 1889774.5),(27 1916249.5),(28 1943293.3),(29 1970201.3),(30 1987788.5),(31 2010167.5),(32 2022042.6),(33 2037222.6),(34 2051735),(35 2071961.9),(36 2096559.8),(37 2123577.8),(38 2131039.5),(39 2132208.8),(40 2137442.3),(41 2149995.5),(42 2153686),(43 2156746.3),(44 2149393),(45 2148140.8),(46 2142617.5),(47 2142450.8),(48 2127185.8),(49 2117344.3),(50 2113463.8),(51 2120803.3),(52 2114444.3),(53 2112494),(54 2107870),(55 2107120.3),(56 2089319.3),(57 2074037.1),(58 2064963.8),(59 2069212.8),(60 2069773.6),(61 2066588.3),(62 2069327),(63 2079145.4),(64 2091132),(65 2108472.5),(66 2123839.3),(67 2140744.3),(68 2148182),(69 2164719.5),(70 2178101.8),(71 2193251.3),(72 2194918),(73 2190098),(74 2174357.3),(75 2169218),(76 2156794),(77 2154748.3),(78 2152578.3),(79 2159527.5),
