1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 3762.9346),(2 8889.938),(3 11427.818),(4 12099.753),(5 12303.991),(6 12655.585),(7 12717.604),(8 12931.264),(9 13251.305),(10 13167.057),(11 13234.773),(12 13388.055),(13 13302.675),(14 13138.651),(15 13159.64),(16 13481.958),(17 13469.75),(18 13297.267),(19 13527.725),(20 13721.441),(21 13808.05),(22 13697.428),(23 13428.131),(24 13580.672),(25 14045.894),(26 14269.195),(27 14213.583),(28 14017.331),(29 13855.95),(30 13932.632),(31 13921.373),(32 14196.848),(33 14479.29),(34 14688.291),(35 14887.646),(36 14850.926),(37 15019.14),(38 14965.745),(39 14844.267),(40 14737.093),(41 14690.854),(42 14551.545),(43 14239.324),(44 14124.254),(45 14191.325),(46 14106.09),(47 13943.651),(48 13896.294),(49 13920.885),(50 13855.185),(51 13722.647),(52 13635.164),(53 13652.173),(54 13691.386),(55 13757.882),(56 13850.917),(57 14312.177),(58 14501.131),(59 14395.7),(60 14251.622),(61 14233.223),(62 14143.258),(63 14066.87),(64 14062.033),(65 14152.144),(66 14176.805),(67 14227.55),(68 14429.697),(69 14478.028),(70 14143.909),(71 14175.954),(72 14305.984),(73 14034.823),(74 13527.496),(75 13329.716),(76 13588.046),(77 13768.811),(78 13816.566),(79 14178.013),
(1 3720.659),(2 8698.411),(3 11043.871),(4 11697.366),(5 11936.696),(6 12267.737),(7 12387.485),(8 12614.728),(9 13091.655),(10 13279.513),(11 13318.893),(12 13389.765),(13 13321.359),(14 13155.7705),(15 13054.716),(16 12961.429),(17 12733.244),(18 12739.196),(19 13153.835),(20 13481.958),(21 13586.647),(22 13471.637),(23 13271.476),(24 13190.415),(25 13264.091),(26 13556.3545),(27 13500.973),(28 13473.307),(29 13507.925),(30 13550.582),(31 13472.123),(32 13544.32),(33 14021.746),(34 14035.146),(35 14000.569),(36 14001.392),(37 14238.961),(38 14341.3955),(39 14192.199),(40 14147.32),(41 14265.73),(42 14483.991),(43 14421.118),(44 14438.448),(45 14450.259),(46 14255.39),(47 14068.08),(48 14027.105),(49 14238.825),(50 14183.168),(51 13912.604),(52 13853.335),(53 14069.133),(54 14107.768),(55 13990.716),(56 13986.49),(57 14023.641),(58 13773.814),(59 13643.223),(60 13665.152),(61 13591.404),(62 13394.916),(63 13348.31),(64 13628.946),(65 13808.27),(66 13816.453),(67 13836.02),(68 13796.557),(69 13695.742),(70 13813.067),(71 14119.694),(72 14313.996),(73 14337.168),(74 14119.548),(75 13975.9),(76 13897.866),(77 13871.744),(78 13815.103),(79 13786.862),
(1 3637.0996),(2 8599.773),(3 11093.906),(4 11493.315),(5 11573.759),(6 11718.553),(7 11967.558),(8 12253.523),(9 12868.168),(10 13139.118),(11 13005.02),(12 12770.887),(13 12542.418),(14 12534.717),(15 12573.348),(16 12607.447),(17 12607.255),(18 12794.258),(19 13123.834),(20 13354.607),(21 13382.104),(22 13157.103),(23 12957.588),(24 12801.386),(25 12889.787),(26 13226.598),(27 13372.375),(28 13279.853),(29 13160.966),(30 13354.916),(31 13631.124),(32 13765.772),(33 13767.103),(34 13812.859),(35 13781.521),(36 13722.48),(37 13744.001),(38 13723.65),(39 13523.451),(40 13478.541),(41 13557.497),(42 13814.303),(43 13964.688),(44 13947.383),(45 13680.355),(46 13531.545),(47 13559.475),(48 13569.526),(49 13686.785),(50 13565.408),(51 13343.114),(52 13410.463),(53 13573.47),(54 13614.891),(55 13579.193),(56 13595.151),(57 13556.727),(58 13210.696),(59 13093.884),(60 12993.116),(61 13029.11),(62 13060.753),(63 13255.853),(64 13653.001),(65 13900.37),(66 13969.687),(67 13866.533),(68 13662.655),(69 13463.479),(70 13416.45),(71 13583.376),(72 13771.702),(73 13790.598),(74 13840.086),(75 13876.337),(76 13803.353),(77 13559.418),(78 13550.207),(79 13498.882),
(1 3419.26),(2 7904.4214),(3 10089.206),(4 10760.059),(5 11060.628),(6 11183.03),(7 11217.819),(8 11332.526),(9 11619.09),(10 11826.873),(11 12063.8125),(12 12138.43),(13 12089.206),(14 12034.937),(15 12189.969),(16 12255.055),(17 11992.98),(18 12000.563),(19 12263.158),(20 12364.957),(21 12310.166),(22 12305.07),(23 12427.57),(24 12603.729),(25 12659.868),(26 12770.171),(27 12706.207),(28 12738.117),(29 12892.425),(30 13099.031),(31 13258.775),(32 13534.19),(33 13603.889),(34 13608.549),(35 13457.891),(36 13370.111),(37 13516.152),(38 13555.155),(39 13218.28),(40 13008.861),(41 12923.421),(42 12910.721),(43 12710.166),(44 12626.739),(45 12568.701),(46 12407.006),(47 12327.029),(48 12326.491),(49 12633.76),(50 12672.819),(51 12325.633),(52 12274.353),(53 12615.079),(54 12722.935),(55 12646.431),(56 12574.595),(57 12577.907),(58 12494.908),(59 12568.251),(60 12609.609),(61 12472.082),(62 12387.623),(63 12482.413),(64 12925.235),(65 13139.024),(66 13128.295),(67 12999.249),(68 12723.849),(69 12542.604),(70 12664.011),(71 12851.165),(72 13013.123),(73 13071.02),(74 13167.495),(75 13133.539),(76 12939.109),(77 12815.682),(78 12841.716),(79 12793.661),
(1 3404.7102),(2 7915.8467),(3 10014.83),(4 10502.167),(5 10773.886),(6 10991.346),(7 10961.05),(8 10990.762),(9 11083.29),(10 11267.902),(11 11496.353),(12 11531.233),(13 11442.357),(14 11487.083),(15 11573.039),(16 11549.34),(17 11496.851),(18 11794.4375),(19 12381.998),(20 12665.476),(21 12595.026),(22 12451.162),(23 12438.0205),(24 12515.654),(25 12587.185),(26 12786.826),(27 12834.144),(28 12736.988),(29 12879.626),(30 12927.714),(31 12991.765),(32 13115.233),(33 13112.827),(34 12949.316),(35 12714.075),(36 12622.604),(37 12776.393),(38 12932.64),(39 12803.147),(40 12641.612),(41 12475.442),(42 12699.277),(43 12771.637),(44 12895.434),(45 12904.97),(46 12623.205),(47 12599.23),(48 12943.065),(49 13212.751),(50 12958.97),(51 12579.836),(52 12547.542),(53 12761.056),(54 12893.401),(55 12860.204),(56 12759.031),(57 12600.015),(58 12458.81),(59 12551.474),(60 12731.561),(61 12630.956),(62 12555.806),(63 12422.883),(64 12438.434),(65 12485.619),(66 12441.094),(67 12424.999),(68 12269.805),(69 12430.988),(70 12472.103),(71 12351.289),(72 12321.517),(73 12333.581),(74 12280.053),(75 11921.805),(76 11835.619),(77 12029.9795),(78 12158.105),(79 12254.004),
(1 3230.3833),(2 7445.2607),(3 9489.217),(4 10093.738),(5 10437.279),(6 10624.1),(7 10688.858),(8 10851.86),(9 11119.319),(10 11280.941),(11 11414.81),(12 11257.226),(13 11098.439),(14 11101.765),(15 11294.738),(16 11456.345),(17 11480.898),(18 11720.219),(19 12203.307),(20 12526.743),(21 12478.109),(22 12343.686),(23 12199.335),(24 12189.515),(25 12351.3),(26 12534.055),(27 12574.583),(28 12632.908),(29 12667.459),(30 12551.171),(31 12503.864),(32 12660.556),(33 12630.291),(34 12658.296),(35 12672.28),(36 12735.271),(37 12799.57),(38 12911.837),(39 13001.99),(40 12858.078),(41 12705.544),(42 12742.041),(43 12726.477),(44 12736.795),(45 12710.044),(46 12550.243),(47 12560.391),(48 12819.861),(49 12989.036),(50 12814.917),(51 12619.48),(52 12745.731),(53 12927.414),(54 12882.476),(55 12783.386),(56 12819.921),(57 12799.276),(58 12617.771),(59 12578.898),(60 12538.161),(61 12351.5),(62 12289.533),(63 12527.336),(64 12604.434),(65 12481.699),(66 12193.631),(67 12047.269),(68 12073.296),(69 12328.201),(70 12625.96),(71 12537.962),(72 12421.224),(73 12362.689),(74 12293.675),(75 11902.794),(76 11595.425),(77 11714.226),(78 11895.153),(79 11947.092),
(1 3095.1836),(2 7261.336),(3 9191.589),(4 9713.384),(5 9984.267),(6 10027.845),(7 10099.771),(8 10519.867),(9 10952.301),(10 11081.027),(11 11132.487),(12 11038.939),(13 10976.46),(14 10990.877),(15 11121.643),(16 11254.977),(17 11309.172),(18 11487.71),(19 11990.683),(20 12126.633),(21 11997.899),(22 11753.352),(23 11652.343),(24 11775.779),(25 11858.752),(26 11848.054),(27 11821.55),(28 12003.99),(29 12006.407),(30 11853.405),(31 11777.55),(32 11831.457),(33 12025.271),(34 12059.06),(35 12075.668),(36 12115.748),(37 11978.328),(38 11967.111),(39 11897.109),(40 11752.245),(41 11477.501),(42 11255.682),(43 11197.661),(44 11210.048),(45 11189.284),(46 11251.002),(47 11399.9795),(48 11492.533),(49 11680.847),(50 11640.554),(51 11661.727),(52 11687.461),(53 11838.337),(54 11873.314),(55 11877.071),(56 11819.943),(57 11611.485),(58 11560.987),(59 11634.831),(60 11619.267),(61 11687.743),(62 11622.578),(63 11522.751),(64 11546.794),(65 11726.439),(66 11721.628),(67 11629.918),(68 11589.3125),(69 11854.423),(70 11890.754),(71 11768.076),(72 11606.851),(73 11681.371),(74 11795.531),(75 11845.21),(76 11967.518),(77 12019.118),(78 12069.9795),(79 12006.739),
(1 3189.636),(2 7361.9087),(3 9298.983),(4 9651.803),(5 9791.014),(6 9887.983),(7 10060.199),(8 10446.815),(9 10867.436),(10 11041.539),(11 11143.711),(12 11075.161),(13 10847.232),(14 10705.336),(15 10776.136),(16 10868.131),(17 10854.119),(18 11047.99),(19 11241.236),(20 11173.376),(21 11186.226),(22 11122.716),(23 11139.214),(24 11094.627),(25 11087.751),(26 11184.221),(27 11318.536),(28 11467.206),(29 11334.264),(30 11172.277),(31 11267.753),(32 11425.593),(33 11722.304),(34 11962.649),(35 12035.652),(36 11942.727),(37 11763.627),(38 11599.798),(39 11512.022),(40 11493.079),(41 11436.621),(42 11332.996),(43 11196.202),(44 11159.84),(45 11035.25),(46 10983.634),(47 11263.322),(48 11526.501),(49 11656.566),(50 11471.372),(51 11316.123),(52 11225.911),(53 11354.806),(54 11389.01),(55 11388.105),(56 11426.155),(57 11343.4),(58 11305.294),(59 11222.461),(60 11198.958),(61 11208.666),(62 11132.714),(63 11078.038),(64 11065.603),(65 11103.665),(66 11137.02),(67 11110.515),(68 11152.528),(69 11233.399),(70 11137.208),(71 10907.701),(72 10948.282),(73 11150.053),(74 11350.383),(75 11325.386),(76 11130.643),(77 11184.567),(78 11472.171),(79 11590.231),
(1 3122.5156),(2 7151.39),(3 8929.364),(4 9293.583),(5 9388.744),(6 9476.964),(7 9568.393),(8 9759.111),(9 9959.2705),(10 10152.604),(11 10298.037),(12 10167.851),(13 9840.508),(14 9749.25),(15 9928.128),(16 10036.829),(17 10178.096),(18 10256.089),(19 10326.015),(20 10378.188),(21 10555.666),(22 10658.241),(23 10678.156),(24 10526.896),(25 10476.758),(26 10661.95),(27 10868.209),(28 10981.376),(29 10955.481),(30 10901.47),(31 10977.19),(32 11098.401),(33 11172.768),(34 11149.775),(35 11063.674),(36 10981.422),(37 10972.486),(38 10963.151),(39 10810.16),(40 10782.074),(41 10787.11),(42 10745.696),(43 10839.051),(44 10847.505),(45 10833.591),(46 11002.196),(47 11180.6875),(48 11290.289),(49 11210.786),(50 11092.871),(51 10957.676),(52 10737.566),(53 10494.771),(54 10398.265),(55 10480.863),(56 10481.396),(57 10474.643),(58 10460.265),(59 10362.966),(60 10208.3955),(61 10227.226),(62 10159.846),(63 10142.955),(64 10328.03),(65 10546.059),(66 10481.154),(67 10406.48),(68 10370.878),(69 10584.078),(70 10821.27),(71 10856.574),(72 10739.477),(73 10658.506),(74 10739.707),(75 10796.672),(76 10754.902),(77 10749.866),(78 10753.873),(79 10675.046),
(1 3092.0227),(2 6991.622),(3 8848.365),(4 9306.217),(5 9336.272),(6 9309.544),(7 9336.109),(8 9626.313),(9 9990.142),(10 10362.169),(11 10496.882),(12 10298.305),(13 9827.05),(14 9811.222),(15 10002.506),(16 10004.71),(17 10068.254),(18 10185.46),(19 10322.051),(20 10270.601),(21 10266.468),(22 10261.552),(23 10457.2295),(24 10732.611),(25 10769.387),(26 10838.915),(27 11052.226),(28 11313.072),(29 11455.665),(30 11488.254),(31 11480.17),(32 11586.644),(33 11701.035),(34 11725.33),(35 11747.597),(36 11696.473),(37 11747.402),(38 11830.352),(39 11946.451),(40 12191.193),(41 12250.459),(42 12073.927),(43 12047.761),(44 11992.637),(45 11968.943),(46 12005.593),(47 11998.868),(48 12030.941),(49 11964.074),(50 12008.722),(51 12024.385),(52 11799.57),(53 11577.669),(54 11477.723),(55 11528.754),(56 11454.778),(57 11372.282),(58 11320.385),(59 11418.227),(60 11460.666),(61 11432.857),(62 11457.455),(63 11446.482),(64 11304.767),(65 11203.437),(66 11068.42),(67 11016.067),(68 11078.738),(69 11333.29),(70 11331.922),(71 11219.632),(72 11201.479),(73 11186.965),(74 11216.876),(75 11084.993),(76 10863.47),(77 10759.303),(78 10876.62),(79 10902.505),
(1 3059.4773),(2 7158.198),(3 9170.48),(4 9571.7295),(5 9435.24),(6 9302.24),(7 9554.543),(8 9912.484),(9 10235.132),(10 10325.668),(11 10348.803),(12 10226.994),(13 10199.571),(14 10258.258),(15 10310.824),(16 10312.094),(17 10378.225),(18 10352.169),(19 10302.864),(20 10164.292),(21 10098.648),(22 10144.826),(23 10383.726),(24 10636.994),(25 10841.197),(26 10960.433),(27 11074.994),(28 11370.75),(29 11532.641),(30 11563.775),(31 11458.372),(32 11473.792),(33 11741.122),(34 11774.656),(35 11768.755),(36 11795.725),(37 11535.975),(38 11255.94),(39 11270.351),(40 11476.596),(41 11521.322),(42 11393.179),(43 11068.641),(44 10822.707),(45 10842.576),(46 10829.741),(47 10824.643),(48 10813.421),(49 10858.7295),(50 10952.846),(51 10781.858),(52 10546.015),(53 10427.299),(54 10366.076),(55 10493.901),(56 10503.203),(57 10462.069),(58 10462.604),(59 10473.518),(60 10536.834),(61 10620.904),(62 10710.079),(63 10741.457),(64 10617.013),(65 10539.734),(66 10563.443),(67 10612.058),(68 10652.66),(69 10810.6875),(70 10841.062),(71 10775.761),(72 10817.434),(73 10942.799),(74 10888.366),(75 10876.76),(76 10900.137),(77 10984.129),(78 11103.651),(79 11331.114),
(1 2950.5984),(2 6762.544),(3 8579.541),(4 8973.215),(5 8969.847),(6 8825.215),(7 8976.551),(8 9454.662),(9 9924.567),(10 10146.029),(11 10173.429),(12 10048.901),(13 9803.098),(14 9793.132),(15 9797.741),(16 9867.045),(17 10079.596),(18 10136.596),(19 10100.198),(20 10135.489),(21 10272.05),(22 10385.257),(23 10493.689),(24 10457.664),(25 10347.872),(26 10384.399),(27 10492.312),(28 10688.47),(29 10870.227),(30 10883.881),(31 10841.318),(32 10847.048),(33 10931.577),(34 10876.959),(35 10730.334),(36 10793.4375),(37 10803.632),(38 10603.085),(39 10373.585),(40 10213.378),(41 10323.313),(42 10303.944),(43 10183.09),(44 10048.531),(45 10048.237),(46 10252.172),(47 10341.152),(48 10179.546),(49 10213.713),(50 10295.899),(51 10019.713),(52 9780.709),(53 9813.604),(54 9892.354),(55 10000.941),(56 10111.752),(57 10078.287),(58 9938.157),(59 9935.624),(60 9940.456),(61 10093.861),(62 10047.288),(63 9954.992),(64 9947.355),(65 9836.396),(66 9775.788),(67 9749.672),(68 9619.939),(69 9720.444),(70 9761.857),(71 9541.111),(72 9428.682),(73 9557.054),(74 9731.289),(75 9887.654),(76 10032.185),(77 10030.146),(78 9895.083),(79 9848.041),
(1 2914.9612),(2 6599.4087),(3 8407.901),(4 9022.228),(5 9345.543),(6 9446.438),(7 9599.132),(8 9950.694),(9 10316.412),(10 10257.314),(11 10093.491),(12 9899.333),(13 9735.93),(14 9854.133),(15 9941.727),(16 9960.052),(17 9899.971),(18 9904.7295),(19 9974.486),(20 9960.52),(21 9854.575),(22 9956.818),(23 10143.739),(24 10306.562),(25 10362.933),(26 10340.679),(27 10536.969),(28 10720.039),(29 10893.092),(30 10698.883),(31 10483.902),(32 10381.558),(33 10553.417),(34 10614.594),(35 10559.846),(36 10470.117),(37 10473.314),(38 10609.451),(39 10690.268),(40 10661.293),(41 10621.473),(42 10568.626),(43 10440.799),(44 10352.431),(45 10294.213),(46 10384.723),(47 10208.161),(48 9909.874),(49 9756.636),(50 9665.39),(51 9628.401),(52 9651.13),(53 9627.087),(54 9467.132),(55 9445.732),(56 9487.204),(57 9435.233),(58 9370.148),(59 9451.306),(60 9471.417),(61 9504.037),(62 9551.61),(63 9663.863),(64 9699.062),(65 9699.557),(66 9804.33),(67 9667.048),(68 9596.996),(69 9743.733),(70 9713.161),(71 9534.904),(72 9605.046),(73 9835.898),(74 9950.725),(75 10062.204),(76 10172.306),(77 10192.1875),(78 10112.371),(79 10099.564),
(1 2799.8223),(2 6284.699),(3 7998.5317),(4 8348.976),(5 8478.538),(6 8562.52),(7 8626.218),(8 8859.384),(9 9078.239),(10 9146.709),(11 9347.169),(12 9258.063),(13 9023.791),(14 8999.87),(15 9107.172),(16 9266.613),(17 9291.629),(18 9109.509),(19 9132.263),(20 9335.724),(21 9426.181),(22 9499.986),(23 9514.185),(24 9627.203),(25 9733.585),(26 9700.75),(27 9600.724),(28 9622.804),(29 9903.413),(30 9945.347),(31 9792.317),(32 9753.484),(33 9709.872),(34 9740.579),(35 9847.405),(36 9820.55),(37 9791.2705),(38 9923.731),(39 9933.548),(40 10040.342),(41 10061.9375),(42 10000.08),(43 9910.331),(44 9918.347),(45 10044.475),(46 10071.21),(47 10040.518),(48 10006.242),(49 9987.627),(50 9870.79),(51 9826.776),(52 9883.945),(53 9824.027),(54 9726.406),(55 9696.113),(56 9674.774),(57 9762.243),(58 9692.506),(59 9692.513),(60 9704.702),(61 9692.117),(62 9650.779),(63 9564.298),(64 9515.553),(65 9600.673),(66 9604.577),(67 9544.641),(68 9578.609),(69 9611.964),(70 9476.547),(71 9316.8),(72 9453.905),(73 9509.405),(74 9448.093),(75 9317.871),(76 9353.12),(77 9414.128),(78 9261.251),(79 9199.273),
(1 2766.973),(2 6184.333),(3 7821.534),(4 8152.6597),(5 8265.268),(6 8298.456),(7 8357.226),(8 8695.066),(9 9087.347),(10 9071.558),(11 8994.993),(12 9004.496),(13 8933.318),(14 9098.268),(15 9185.405),(16 9231.223),(17 9282.146),(18 9174.492),(19 9095.379),(20 9074.134),(21 9040.588),(22 9042.137),(23 9162.31),(24 9158.082),(25 9133.784),(26 9176.537),(27 9240.28),(28 9438.992),(29 9719.674),(30 9707.43),(31 9591.981),(32 9649.501),(33 9639.497),(34 9712.903),(35 9818.015),(36 9847.732),(37 9720.335),(38 9673.487),(39 9704.358),(40 9713.095),(41 9586.696),(42 9500.852),(43 9435.776),(44 9479.85),(45 9656.642),(46 9643.672),(47 9527.882),(48 9707.595),(49 9811.77),(50 9839.918),(51 9725.085),(52 9570.258),(53 9475.222),(54 9522.021),(55 9474.227),(56 9452.547),(57 9320.406),(58 9204.205),(59 9343.649),(60 9493.277),(61 9640.74),(62 9707.063),(63 9692.924),(64 9623.895),(65 9649.402),(66 9718.534),(67 9688.751),(68 9702.19),(69 9796.575),(70 9651.132),(71 9561.739),(72 9618.357),(73 9653.745),(74 9521.342),(75 9507.446),(76 9735.29),(77 9865.839),(78 9708.531),(79 9509.078),
(1 2692.6157),(2 5955.732),(3 7433.482),(4 7769.288),(5 7854.7886),(6 7831.8105),(7 7895.8555),(8 8065.1504),(9 8310.6045),(10 8322.515),(11 8230.235),(12 8121.36),(13 8153.665),(14 8414.442),(15 8483.467),(16 8514.061),(17 8640.73),(18 8766.024),(19 8900.127),(20 9003.398),(21 8924.739),(22 8927.8125),(23 9177.213),(24 9349.312),(25 9288.115),(26 9150.827),(27 9231.023),(28 9413.552),(29 9484.299),(30 9319.816),(31 9273.319),(32 9196.07),(33 9008.564),(34 9105.596),(35 9217.386),(36 9270.938),(37 9163.158),(38 9118.809),(39 9089.952),(40 9273.733),(41 9411.876),(42 9287.1455),(43 8999.145),(44 9010.085),(45 9123.482),(46 9168.569),(47 9080.848),(48 9115.606),(49 9187.313),(50 9152.194),(51 9123.031),(52 9042.126),(53 8939.754),(54 8851.998),(55 8879.5205),(56 8891.852),(57 8873.916),(58 8854.586),(59 8798.143),(60 8774.048),(61 8923.626),(62 8947.685),(63 8848.736),(64 8874.497),(65 9055.129),(66 8968.166),(67 8783.39),(68 8715.38),(69 8777.043),(70 8775.025),(71 8704.887),(72 8673.354),(73 8667.381),(74 8694.369),(75 8698.202),(76 8779.843),(77 8962.636),(78 8969.01),(79 8815.324),
(1 2572.3364),(2 5641.4766),(3 6822.8823),(4 7111.5713),(5 7327.425),(6 7410.142),(7 7458.696),(8 7650.693),(9 7821.25),(10 7856.741),(11 7851.059),(12 7779.6196),(13 7842.546),(14 8134.468),(15 8306.349),(16 8479.976),(17 8532.686),(18 8458.501),(19 8374.856),(20 8315.391),(21 8378.821),(22 8404.988),(23 8334.812),(24 8110.4834),(25 7916.3286),(26 7898.347),(27 8109.7095),(28 8326.992),(29 8392.479),(30 8363.779),(31 8453.186),(32 8493.616),(33 8539.043),(34 8460.663),(35 8378.142),(36 8350.433),(37 8405.808),(38 8580.049),(39 8795.4375),(40 8859.172),(41 8848.1045),(42 8599.579),(43 8446.769),(44 8566.576),(45 8714.344),(46 8766.585),(47 8673.656),(48 8621.011),(49 8607.215),(50 8665.1),(51 8520.449),(52 8355.972),(53 8373.798),(54 8484.071),(55 8560.653),(56 8522.828),(57 8457.509),(58 8460.367),(59 8479.119),(60 8408.076),(61 8393.35),(62 8373.071),(63 8303.318),(64 8248.118),(65 8355.473),(66 8383.182),(67 8268.892),(68 8323.017),(69 8335.372),(70 8115.3823),(71 7884.8594),(72 7925.9966),(73 8048.2676),(74 8124.9966),(75 8216.207),(76 8284.29),(77 8391.68),(78 8386.088),(79 8398.966),
(1 2584.4885),(2 5690.2153),(3 7007.325),(4 7286.2393),(5 7363.4785),(6 7397.4175),(7 7337.2783),(8 7543.293),(9 7791.2095),(10 7853.3994),(11 7686.05),(12 7631.7026),(13 7760.763),(14 8024.5845),(15 8185.4526),(16 8338.982),(17 8325.903),(18 8295.227),(19 8208.15),(20 8292.509),(21 8345.009),(22 8306.964),(23 8312.63),(24 8338.624),(25 8314.078),(26 8440.876),(27 8554.897),(28 8633.16),(29 8647.065),(30 8640.093),(31 8713.636),(32 8744.918),(33 8724.092),(34 8676.95),(35 8668.624),(36 8607.903),(37 8727.577),(38 9013.494),(39 9205.406),(40 9351.934),(41 9373.969),(42 9218.985),(43 9130.613),(44 9076.6875),(45 8996.069),(46 8932.739),(47 8808.644),(48 8790.645),(49 8833.847),(50 9020.099),(51 9031.576),(52 8931.492),(53 8818.939),(54 8733.979),(55 8774.61),(56 8703.029),(57 8730.772),(58 8796.781),(59 8656.786),(60 8465.025),(61 8346.351),(62 8397.097),(63 8452.251),(64 8630.228),(65 8761.667),(66 8771.411),(67 8664.299),(68 8591.979),(69 8470.138),(70 8270.225),(71 8235.245),(72 8392.443),(73 8422.46),(74 8270.182),(75 8250.928),(76 8329.097),(77 8345.9375),(78 8378.265),(79 8313.419),
