1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 506001.72),(2 1981244),(3 4415576.5),(4 7843569.5),(5 12029848),(6 17030354),(7 22740774),(8 28968968),(9 35608990),(10 42552732),(11 49552108),(12 56704332),(13 63954908),(14 71091870),(15 78189560),(16 84669620),(17 90695810),(18 95896450),(19 100495010),(20 104151450),(21 106871170),(22 108798750),(23 110058820),(24 110426340),(25 109688600),(26 108038970),(27 105705280),(28 103129960),(29 98528616),(30 92452030),(31 87906810),(32 83636650),(33 79683544),(34 76220650),(35 73517416),(36 71453336),(37 70126904),(38 69728856),(39 70098376),(40 71281256),(41 73168190),(42 75935610),(43 79334664),(44 83133544),(45 87714696),(46 92643864),(47 97888040),(48 103392200),(49 108743000),(50 113045350),(51 116337624),(52 119699010),(53 122341400),(54 124142840),(55 125667240),(56 126740730),(57 127403224),(58 127802720),(59 127609064),(60 126981920),(61 126129430),(62 124913240),(63 123502776),(64 121886664),(65 120254730),(66 118399320),(67 116372904),(68 114139620),(69 111626856),(70 108883510),(71 106141256),(72 103496320),(73 100877720),(74 98580960),(75 96784160),(76 95420600),(77 94559576),(78 93786020),(79 93829800),
(1 1055047.3),(2 4068908),(3 8953529),(4 15626451),(5 23720420),(6 33061664),(7 43442660),(8 54305910),(9 65503390),(10 76967656),(11 88352264),(12 99277800),(13 109478780),(14 118768230),(15 127031860),(16 134199064),(17 140119600),(18 144534190),(19 147437920),(20 148852400),(21 148686720),(22 147012580),(23 143891300),(24 139404380),(25 133475096),(26 126480870),(27 118803660),(28 110592430),(29 99589100),(30 87068220),(31 77614120),(32 69181100),(33 61926292),(34 56004468),(35 51641210),(36 48882250),(37 47696904),(38 48033804),(39 49548090),(40 52226750),(41 56043080),(42 60901172),(43 66468290),(44 72539816),(45 78892770),(46 85219480),(47 91466650),(48 97474990),(49 103035080),(50 107077750),(51 109704430),(52 111795380),(53 113273840),(54 114050330),(55 114219480),(56 113602010),(57 112493040),(58 111208810),(59 109380140),(60 107116170),(61 104650490),(62 101967880),(63 99325610),(64 96690420),(65 94231870),(66 91784216),(67 89627970),(68 87332536),(69 85181944),(70 83113310),(71 81155750),(72 79379240),(73 77683860),(74 76094340),(75 74679256),(76 73319340),(77 71970320),(78 70971570),(79 69923176),
(1 691772.06),(2 2646565.3),(3 5699738.5),(4 9661155),(5 14300831),(6 19374642),(7 24681696),(8 29784970),(9 34597596),(10 38896396),(11 42590148),(12 45642164),(13 47963644),(14 49576564),(15 50608684),(16 51142690),(17 51344172),(18 51111260),(19 50704304),(20 50037676),(21 49192684),(22 48233500),(23 47270690),(24 46123916),(25 44920404),(26 43706124),(27 42531200),(28 41507484),(29 40984430),(30 40593524),(31 40007668),(32 39497852),(33 38921916),(34 38290776),(35 37496156),(36 36444932),(37 35102130),(38 33622210),(39 32005984),(40 30473858),(41 28904874),(42 27620998),(43 26707184),(44 26334954),(45 26623376),(46 27598274),(47 29410912),(48 32152184),(49 35740764),(50 39833920),(51 43785170),(52 47780384),(53 51498276),(54 54937524),(55 57852256),(56 60120876),(57 61397372),(58 61852304),(59 61350252),(60 59850164),(61 57509996),(62 54668108),(63 51502516),(64 48213508),(65 45079140),(66 42110600),(67 39497444),(68 37293710),(69 35625996),(70 34494972),(71 33938668),(72 33864560),(73 34248770),(74 35000456),(75 36081630),(76 37406252),(77 38801844),(78 40001920),(79 41226276),
(1 458776.22),(2 1761992.6),(3 3753854.8),(4 6276747.5),(5 9111797),(6 12061219),(7 14973799),(8 17620114),(9 19918168),(10 21815702),(11 23282212),(12 24213412),(13 24622256),(14 24611224),(15 24307112),(16 23834044),(17 23311084),(18 22788240),(19 22367412),(20 22045756),(21 21872748),(22 21882026),(23 22125590),(24 22482824),(25 22937382),(26 23416768),(27 23868810),(28 24217090),(29 24212770),(30 23454500),(31 22864270),(32 22126380),(33 21360364),(34 20638270),(35 19999268),(36 19494866),(37 19088426),(38 18836462),(39 18703304),(40 18736298),(41 18881528),(42 19155616),(43 19501614),(44 19741326),(45 19931684),(46 19988150),(47 20005358),(48 20024694),(49 20070990),(50 20242594),(51 20612784),(52 21082290),(53 21639780),(54 22287240),(55 22935804),(56 23558770),(57 24050816),(58 24438050),(59 24769720),(60 24968088),(61 25059786),(62 25018484),(63 24867976),(64 24601384),(65 24229068),(66 23819244),(67 23355736),(68 22882494),(69 22398872),(70 21886648),(71 21349448),(72 20766068),(73 20188686),(74 19637166),(75 19193478),(76 18937164),(77 18908492),(78 18952344),(79 19250296),
(1 494548.53),(2 1887884.4),(3 3909069.8),(4 6259622),(5 8590365),(6 10642284),(7 12150372),(8 13149329),(9 13570929),(10 13584134),(11 13349308),(12 13043119),(13 12804682),(14 12810788),(15 13096963),(16 13573913),(17 14207846),(18 14871773),(19 15484538),(20 15849812),(21 15974681),(22 15917409),(23 15739553),(24 15541639),(25 15345223),(26 15287657),(27 15466410),(28 15913670),(29 16716890),(30 17246964),(31 17725842),(32 18057964),(33 18147774),(34 18028680),(35 17703214),(36 17238510),(37 16636106),(38 16044977),(39 15516076),(40 15186780),(41 15089996),(42 15287916),(43 15681300),(44 16112748),(45 16464855),(46 16539802),(47 16191418),(48 15454124),(49 14434067),(50 13282121),(51 12389956),(52 11778477),(53 11615776),(54 11896719),(55 12590223),(56 13541871),(57 14510621),(58 15333027),(59 15911623),(60 16140425),(61 16060372),(62 15689597),(63 15187183),(64 14682445),(65 14321433),(66 14212841),(67 14313748),(68 14685401),(69 15185747),(70 15695197),(71 16104778),(72 16323265),(73 16357933),(74 16156764),(75 15814476),(76 15417079),(77 15087171),(78 14867674),(79 14792180),
(1 365258.2),(2 1322995.8),(3 2621023.8),(4 3981328.8),(5 5171269),(6 6060448),(7 6584080),(8 6874616),(9 7042329.5),(10 7265571),(11 7632479),(12 8145968),(13 8739470),(14 9347512),(15 9886997),(16 10312756),(17 10659914),(18 10948002),(19 11227528),(20 11486685),(21 11717406),(22 11908374),(23 12104166),(24 12308954),(25 12569049),(26 12912526),(27 13284830),(28 13657635),(29 13916794),(30 13785914),(31 13726885),(32 13662368),(33 13642301),(34 13689757),(35 13763266),(36 13854184),(37 13841475),(38 13681512),(39 13367328),(40 12978994),(41 12618123),(42 12449006),(43 12528718),(44 12820237),(45 13200531),(46 13486051),(47 13561061),(48 13322766),(49 12829374),(50 12246393),(51 11864842),(52 11554792),(53 11327552),(54 11179085),(55 11138498),(56 11138435),(57 11151977),(58 11153872),(59 11167890),(60 11161832),(61 11122576),(62 11013570),(63 10781739),(64 10512771),(65 10298674),(66 10198203),(67 10371214),(68 10617999),(69 10950184),(70 11296944),(71 11596447),(72 11740922),(73 11686601),(74 11425001),(75 11115638),(76 10857253),(77 10767015),(78 10896811),(79 11142996),
(1 642899.56),(2 2331927),(3 4605320.5),(4 6881120.5),(5 8643087),(6 9554671),(7 9532095),(8 8801510),(9 7719938.5),(10 6804939),(11 6416637.5),(12 6707566),(13 7544584),(14 8674802),(15 9745166),(16 10510860),(17 10784762),(18 10581086),(19 10068316),(20 9501507),(21 9133516),(22 9134086),(23 9527166),(24 10196027),(25 10989570),(26 11667700),(27 12006916),(28 11918097),(29 10897753),(30 10999447),(31 10821653),(32 10688874),(33 10464705),(34 10139250),(35 9750297),(36 9418758),(37 9265817),(38 9329052),(39 9569286),(40 9841814),(41 10057646),(42 10135382),(43 10069580),(44 9918981),(45 9826119),(46 9799417),(47 9872636),(48 10047870),(49 10235910),(50 10418417),(51 10572523),(52 10459625),(53 10047353),(54 9489156),(55 8995819),(56 8646019),(57 8506626),(58 8531270),(59 8597865),(60 8572191),(61 8374311),(62 8016352),(63 7591509),(64 7209016),(65 6984846),(66 6958216.5),(67 7068845),(68 7367550),(69 7735135.5),(70 8045903),(71 8193669.5),(72 8085156.5),(73 7719260.5),(74 7211333.5),(75 6741118),(76 6419451.5),(77 6371941),(78 6559850),(79 7036803),
(1 430429.3),(2 1524090.4),(3 2936155.8),(4 4277023.5),(5 5253373),(6 5772309),(7 5881096.5),(8 5752348.5),(9 5606889),(10 5606518.5),(11 5775998),(12 6072080.5),(13 6402017),(14 6672655.5),(15 6779956.5),(16 6752563),(17 6571313),(18 6306983.5),(19 6057552),(20 5928814.5),(21 5986855.5),(22 6230026.5),(23 6583317),(24 6907477.5),(25 7136376.5),(26 7238113.5),(27 7239064.5),(28 7179439),(29 7224862),(30 7323168),(31 7292150),(32 7220320),(33 7039067.5),(34 6771096.5),(35 6438395.5),(36 6177089.5),(37 6054183.5),(38 6052328),(39 6094467),(40 6093283.5),(41 6052782),(42 6009709),(43 6036232.5),(44 6217712),(45 6596259),(46 7089368.5),(47 7582797.5),(48 7947190),(49 8093842.5),(50 8109629.5),(51 7969898.5),(52 7880325.5),(53 7950060.5),(54 8165973),(55 8319563),(56 8171817.5),(57 7658057.5),(58 6859421),(59 6025788.5),(60 5490407),(61 5471130),(62 5944193),(63 6669252.5),(64 7253841.5),(65 7420182),(66 7112596.5),(67 6586286.5),(68 5968470.5),(69 5571053),(70 5485857),(71 5640915),(72 5859037),(73 5938529),(74 5790245),(75 5454579),(76 5060193.5),(77 4767034),(78 4689063.5),(79 4777341),
(1 461252.66),(2 1662484.6),(3 3145486.5),(4 4439580.5),(5 5224222.5),(6 5525060),(7 5600064),(8 5734644),(9 6142169.5),(10 6833214.5),(11 7579855),(12 8118950.5),(13 8275316.5),(14 7988406.5),(15 7364866),(16 6705146),(17 6249733.5),(18 6157179.5),(19 6401428.5),(20 6822504),(21 7213776),(22 7420281.5),(23 7383114.5),(24 7178580),(25 6936587.5),(26 6800515),(27 6875046.5),(28 7123009),(29 7472245.5),(30 7697716),(31 7790842.5),(32 7707461.5),(33 7444245.5),(34 7104328.5),(35 6791852.5),(36 6583549),(37 6474945.5),(38 6413411.5),(39 6336013.5),(40 6215931.5),(41 6082694.5),(42 6020746),(43 6124215.5),(44 6400977),(45 6786381.5),(46 7108273),(47 7229364),(48 7170998),(49 7044958),(50 6971964),(51 7010395.5),(52 7023190.5),(53 7002055),(54 6923342.5),(55 6829404.5),(56 6716719),(57 6522365),(58 6261124.5),(59 5976190),(60 5788657.5),(61 5819718),(62 6054658),(63 6487888),(64 6920649.5),(65 7187947.5),(66 7211146.5),(67 7009524.5),(68 6771262),(69 6624182.5),(70 6602538),(71 6664816),(72 6739816),(73 6784990.5),(74 6753876.5),(75 6638892),(76 6456788),(77 6285903),(78 6209766.5),(79 6232896),
(1 644465.44),(2 2280163),(3 4158771),(4 5614734),(5 6348897.5),(6 6531189),(7 6583716),(8 6939518),(9 7769130),(10 8894128),(11 9946994),(12 10559715),(13 10575780),(14 10129201),(15 9502502),(16 8930704),(17 8564862),(18 8455316),(19 8549897),(20 8765160),(21 8969663),(22 9066404),(23 9054135),(24 8983306),(25 8910807),(26 8947583),(27 9150844),(28 9469899),(29 9749901),(30 10094628),(31 10216382),(32 10135341),(33 9837868),(34 9453079),(35 9111829),(36 8881790),(37 8769666),(38 8744035),(39 8745805),(40 8776108),(41 8771756),(42 8717220),(43 8684561),(44 8792122),(45 9058679),(46 9375210),(47 9567147),(48 9534548),(49 9379422),(50 9234399),(51 9170417),(52 9159696),(53 9168556),(54 9158449),(55 9100590),(56 9020173),(57 8907780),(58 8721414),(59 8463828),(60 8192357.5),(61 8024456),(62 8088729),(63 8395684),(64 8782980),(65 9123708),(66 9351471),(67 9404949),(68 9413168),(69 9368255),(70 9280074),(71 9169491),(72 9072987),(73 9089780),(74 9202516),(75 9393444),(76 9570094),(77 9657394),(78 9628951),(79 9504010),
(1 924250.9),(2 3084436.3),(3 5207635),(4 6449499.5),(5 6877124.5),(6 7201335.5),(7 8040886.5),(8 9433502),(9 10968653),(10 12216916),(11 13042850),(12 13536506),(13 13844972),(14 14033019),(15 14059867),(16 13845064),(17 13449877),(18 13062525),(19 12902747),(20 12972570),(21 13117811),(22 13129410),(23 13009115),(24 12959701),(25 13121416),(26 13454161),(27 13763494),(28 13916979),(29 13967180),(30 13825752),(31 13751203),(32 13685691),(33 13559459),(34 13339619),(35 12975762),(36 12488628),(37 12019884),(38 11803915),(39 11876721),(40 12125312),(41 12318756),(42 12352092),(43 12249421),(44 12250800),(45 12515802),(46 13030565),(47 13583595),(48 13868482),(49 13776073),(50 13377297),(51 12973302),(52 12855785),(53 13009865),(54 13277474),(55 13434370),(56 13421660),(57 13236356),(58 12953962),(59 12706676),(60 12503848),(61 12348399),(62 12269517),(63 12212458),(64 12124150),(65 12022204),(66 12003246),(67 12135912),(68 12286985),(69 12301652),(70 12140959),(71 11894929),(72 11727700),(73 11749934),(74 11941924),(75 12218662),(76 12459186),(77 12558500),(78 12510701),(79 12331481),
