1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1305624),(2 4778769.5),(3 10103526),(4 16857928),(5 24841968),(6 33763364),(7 43747256),(8 54369580),(9 65167660),(10 75995990),(11 86559970),(12 96953896),(13 106595330),(14 115260696),(15 122785816),(16 129500420),(17 134763380),(18 138972060),(19 142114990),(20 144501460),(21 146183260),(22 147275660),(23 148049220),(24 148418180),(25 148444910),(26 148136460),(27 147791020),(28 147164050),(29 146703090),(30 146353940),(31 145628740),(32 145303860),(33 144992340),(34 144874220),(35 144103020),(36 142968560),(37 141870930),(38 141417780),(39 140597500),(40 140022050),(41 139517580),(42 139164500),(43 138601980),(44 138053440),(45 137654610),(46 136954580),(47 135866770),(48 133980990),(49 130514270),(50 126426880),(51 122455550),(52 118688260),(53 114909500),(54 111250500),(55 107439770),(56 102583040),(57 97460510),(58 94192570),(59 90758210),(60 88400930),(61 87266950),(62 87300030),(63 88740600),(64 91932230),(65 96536856),(66 102584320),(67 109951400),(68 118624260),(69 128491370),(70 138832420),(71 150145810),(72 161786540),(73 173972370),(74 186784020),(75 199889200),(76 213398860),(77 226516880),(78 238965040),(79 249725010),
(1 1125581.3),(2 4284863),(3 9257630),(4 15738384),(5 23547038),(6 32358182),(7 41934890),(8 51926150),(9 61938110),(10 71789840),(11 81185470),(12 89791860),(13 97508900),(14 104334800),(15 110002200),(16 114489780),(17 117971570),(18 120541390),(19 122300610),(20 123303920),(21 123662800),(22 123280424),(23 122551220),(24 121322470),(25 119869630),(26 118109420),(27 116269260),(28 114179610),(29 112173530),(30 110187560),(31 108453144),(32 106912640),(33 105497280),(34 104317040),(35 102847910),(36 101072090),(37 100130610),(38 99566550),(39 99464680),(40 99532720),(41 99934184),(42 100720380),(43 101582950),(44 102915896),(45 104393600),(46 105799464),(47 106765980),(48 107166020),(49 106254850),(50 104755670),(51 102736800),(52 100716330),(53 98516060),(54 96209480),(55 93422150),(56 89794344),(57 85662480),(58 81457730),(59 77232460),(60 73349760),(61 70126380),(62 67385740),(63 65381224),(64 64455990),(65 64547290),(66 65623732),(67 67687920),(68 70742230),(69 74912504),(70 79808110),(71 85521960),(72 91886070),(73 98873580),(74 106266904),(75 113856664),(76 121612590),(77 129200080),(78 136381860),(79 143028320),
(1 1445451),(2 5587605.5),(3 12139875),(4 20728410),(5 31051158),(6 42682724),(7 55222016),(8 68202490),(9 81024160),(10 93426920),(11 105153730),(12 115829240),(13 125301350),(14 133614590),(15 140516530),(16 145914240),(17 150004880),(18 152849820),(19 154610700),(20 155220820),(21 154971410),(22 153913100),(23 152264060),(24 149938560),(25 147154370),(26 143944900),(27 140537170),(28 136821200),(29 133031260),(30 129194240),(31 125354410),(32 121612824),(33 118071640),(34 114830730),(35 111674216),(36 108651270),(37 105772010),(38 103283870),(39 101136700),(40 99432664),(41 98073944),(42 97159510),(43 96556536),(44 96068330),(45 95894910),(46 95834904),(47 95678530),(48 95412410),(49 94615210),(50 93329160),(51 91469990),(52 88825460),(53 85778824),(54 82526220),(55 79189816),(56 75830080),(57 72337384),(58 69094250),(59 66114380),(60 63445440),(61 61398610),(62 60093956),(63 59769364),(64 60616544),(65 62724852),(66 65931852),(67 70236680),(68 75627530),(69 82018584),(70 89144460),(71 96619100),(72 104348216),(73 112459750),(74 120733864),(75 129101910),(76 137190350),(77 144720430),(78 151568900),(79 157472940),
(1 1419948.5),(2 5496018.5),(3 11859870),(4 20075606),(5 29771016),(6 40465836),(7 51696684),(8 63113700),(9 74076264),(10 84428424),(11 94020590),(12 102564660),(13 110071930),(14 116431310),(15 121596190),(16 125464760),(17 128218280),(18 129845544),(19 130556290),(20 130389544),(21 129495700),(22 127991864),(23 125979050),(24 123532730),(25 120749470),(26 117669010),(27 114393690),(28 110954680),(29 107472376),(30 103898024),(31 100296490),(32 96841230),(33 93504830),(34 90470620),(35 87681410),(36 85260700),(37 82904290),(38 80772936),(39 78932230),(40 77370620),(41 76139590),(42 75209510),(43 74561140),(44 74028810),(45 73661110),(46 73441450),(47 73198330),(48 72888580),(49 72466720),(50 71746760),(51 70715976),(52 68873630),(53 66613164),(54 64055908),(55 61298220),(56 58792600),(57 56402188),(58 54384784),(59 52802420),(60 51650744),(61 51063744),(62 51289330),(63 52493710),(64 54700524),(65 57813896),(66 61814884),(67 66556270),(68 72052456),(69 78292830),(70 85134820),(71 92339870),(72 99636936),(73 107008300),(74 114109450),(75 121029704),(76 127399390),(77 133119176),(78 138022370),(79 142038820),
(1 1191328.4),(2 4558478),(3 9709401),(4 16185581),(5 23594740),(6 31495476),(7 39475250),(8 47206744),(9 54282856),(10 60663720),(11 66336540),(12 71207500),(13 75400840),(14 78834040),(15 81558150),(16 83554920),(17 84900200),(18 85548936),(19 85640860),(20 85323510),(21 84697590),(22 83840216),(23 82834760),(24 81744650),(25 80611820),(26 79515520),(27 78523010),(28 77624296),(29 76928080),(30 76395560),(31 76075300),(32 76016110),(33 76166856),(34 76626590),(35 77178850),(36 77870710),(37 78707336),(38 79731976),(39 80835360),(40 81926610),(41 83073250),(42 84187130),(43 85230616),(44 86164320),(45 86922050),(46 87547670),(47 87972690),(48 88128310),(49 88018420),(50 87538820),(51 86590890),(52 84920820),(53 82672510),(54 79967496),(55 76875190),(56 73579970),(57 70225890),(58 66856524),(59 63730650),(60 60976932),(61 58624092),(62 56878620),(63 55885108),(64 55603268),(65 55915068),(66 56716976),(67 57925748),(68 59545304),(69 61610460),(70 64119604),(71 66999530),(72 70101770),(73 73200290),(74 76246470),(75 79127970),(76 81700424),(77 83931704),(78 85571610),(79 86603820),
(1 951421.2),(2 3560507.3),(3 7364116),(4 11821850),(5 16506672),(6 21078716),(7 25303972),(8 28811748),(9 31472432),(10 33359926),(11 34712424),(12 35667810),(13 36331930),(14 36866856),(15 37344216),(16 37768170),(17 38137690),(18 38404416),(19 38576200),(20 38695748),(21 38828456),(22 38964040),(23 39152628),(24 39435196),(25 39835770),(26 40319424),(27 40930630),(28 41615532),(29 42375840),(30 43196396),(31 44090148),(32 45079500),(33 46138732),(34 47285600),(35 48497930),(36 49695030),(37 50726424),(38 51729240),(39 52812136),(40 53858330),(41 54900340),(42 55902388),(43 56938390),(44 57842056),(45 58731870),(46 59594710),(47 60567692),(48 61627904),(49 63022196),(50 64350376),(51 65546624),(52 66174732),(53 66431384),(54 66357696),(55 66010624),(56 65448376),(57 64749144),(58 64116564),(59 63351476),(60 62681344),(61 62165730),(62 61805068),(63 61811430),(64 62052310),(65 62448116),(66 62726810),(67 62832844),(68 62783668),(69 62740788),(70 62716200),(71 62745492),(72 62835660),(73 62839384),(74 62692300),(75 62253890),(76 61458516),(77 60351084),(78 58893376),(79 57129730),
(1 863109),(2 3195464),(3 6498439),(4 10213977),(5 13892628),(6 17239818),(7 20134078),(8 22390102),(9 24071244),(10 25287808),(11 26225778),(12 27073122),(13 27889756),(14 28771306),(15 29763890),(16 30813188),(17 31894072),(18 32921112),(19 33838664),(20 34647348),(21 35353630),(22 35931230),(23 36461204),(24 36927610),(25 37373444),(26 37788344),(27 38225950),(28 38698036),(29 39200964),(30 39704972),(31 40300704),(32 40954820),(33 41653136),(34 42364444),(35 43113508),(36 43910564),(37 44664070),(38 45302820),(39 45935384),(40 46486096),(41 46976812),(42 47368624),(43 47682092),(44 47859790),(45 47917244),(46 47866364),(47 47763436),(48 47615276),(49 47606616),(50 47616788),(51 47731480),(52 47652204),(53 47396550),(54 46999620),(55 46420080),(56 45525570),(57 44559470),(58 43704110),(59 42962044),(60 42409276),(61 42081416),(62 41985308),(63 42203196),(64 42611330),(65 43067732),(66 43367836),(67 43420612),(68 43258070),(69 43025130),(70 42862330),(71 42779388),(72 42888636),(73 43153130),(74 43511270),(75 43760940),(76 43755204),(77 43431428),(78 42749204),(79 41815060),
(1 847031.1),(2 3071944),(3 6033324.5),(4 9076734),(5 11735083),(6 13782291),(7 15133693),(8 15780700),(9 15950655),(10 15957935),(11 16089914),(12 16545817),(13 17312344),(14 18449670),(15 19815328),(16 21268352),(17 22629620),(18 23785934),(19 24659736),(20 25240840),(21 25579678),(22 25721270),(23 25731684),(24 25670348),(25 25582718),(26 25488550),(27 25401084),(28 25355854),(29 25385572),(30 25491822),(31 25745000),(32 26073294),(33 26474816),(34 26966456),(35 27389384),(36 27825080),(37 28441026),(38 29255148),(39 30234166),(40 31282666),(41 32388488),(42 33468600),(43 34416970),(44 35112084),(45 35623980),(46 35912332),(47 36052690),(48 36079252),(49 35895830),(50 35628044),(51 35258044),(52 34899244),(53 34684664),(54 34561140),(55 34325800),(56 33720430),(57 32726700),(58 31417938),(59 29885466),(60 28247788),(61 26778202),(62 25697786),(63 25141590),(64 25052382),(65 25120518),(66 25037376),(67 24603072),(68 23797994),(69 22838068),(70 21939742),(71 21340172),(72 21174306),(73 21413052),(74 21972504),(75 22631108),(76 23286682),(77 23838242),(78 24089772),(79 24000180),
(1 839227.8),(2 3043736),(3 5909571),(4 8731386),(5 11062663),(6 12731480),(7 13769295),(8 14273133),(9 14434791),(10 14508923),(11 14724214),(12 15194801),(13 15937088),(14 16920684),(15 18030118),(16 19124452),(17 20070054),(18 20770308),(19 21201372),(20 21354110),(21 21301452),(22 21119684),(23 20884850),(24 20698820),(25 20633712),(26 20699888),(27 20922062),(28 21272106),(29 21716450),(30 22181840),(31 22705904),(32 23226094),(33 23746962),(34 24252182),(35 24790014),(36 25241052),(37 25448768),(38 25637956),(39 25864760),(40 26189720),(41 26513988),(42 26812072),(43 27006600),(44 26937184),(45 26652430),(46 26136200),(47 25544972),(48 24960684),(49 24499902),(50 24044484),(51 23436808),(52 22484986),(53 21507560),(54 20668614),(55 20126424),(56 19842198),(57 19662852),(58 19481110),(59 19021968),(60 18240008),(61 17414476),(62 16879224),(63 16835488),(64 17283880),(65 17996378),(66 18631592),(67 18940368),(68 18870682),(69 18525230),(70 18142972),(71 17876602),(72 17818468),(73 17962268),(74 18228368),(75 18480244),(76 18587552),(77 18465318),(78 18134832),(79 17646468),
(1 829273.94),(2 2992115),(3 5709190),(4 8221772.5),(5 10080329),(6 11220709),(7 11851412),(8 12199301),(9 12421830),(10 12659508),(11 12974236),(12 13431724),(13 14022733),(14 14639756),(15 15270757),(16 15810142),(17 16215771),(18 16498940),(19 16650345),(20 16694704),(21 16663227),(22 16563920),(23 16448958),(24 16362532),(25 16330231),(26 16350555),(27 16453499),(28 16635904),(29 16828184),(30 16986486),(31 17132728),(32 17233632),(33 17270470),(34 17274434),(35 17224824),(36 17155708),(37 16994608),(38 16822728),(39 16679138),(40 16607472),(41 16648094),(42 16767038),(43 16933454),(44 17018424),(45 17006280),(46 16875852),(47 16678174),(48 16488919),(49 16368519),(50 16325381),(51 16272014),(52 16136574),(53 15959228),(54 15791934),(55 15728807),(56 15824331),(57 15973749),(58 16063657),(59 15918146),(60 15595420),(61 15290825),(62 15296245),(63 15798151),(64 16680267),(65 17666840),(66 18360426),(67 18475462),(68 18021938),(69 17172894),(70 16301024),(71 15650688),(72 15260231),(73 15040587),(74 14851610),(75 14582100),(76 14181787),(77 13617353),(78 12917750),(79 12143984),
(1 880447.8),(2 3098026.5),(3 5686139),(4 7795766),(5 9018670),(6 9503393),(7 9688517),(8 9948104),(9 10444815),(10 11154091),(11 11962496),(12 12761096),(13 13476075),(14 14041480),(15 14451247),(16 14724269),(17 14862758),(18 14920639),(19 14936274),(20 14964500),(21 15023573),(22 15118285),(23 15224019),(24 15331061),(25 15428753),(26 15522193),(27 15614336),(28 15704110),(29 15760057),(30 15786556),(31 15803068),(32 15811189),(33 15834464),(34 15843061),(35 15855435),(36 15790140),(37 15510802),(38 15149570),(39 14846596),(40 14671834),(41 14629967),(42 14706639),(43 14843930),(44 14924767),(45 14910327),(46 14818506),(47 14729551),(48 14717088),(49 14996115),(50 15240840),(51 15242176),(52 14765451),(53 14164579),(54 13757081),(55 13770658),(56 14285528),(57 15005665),(58 15429980),(59 15208154),(60 14321526),(61 13217093),(62 12510145),(63 12647731),(64 13608410),(65 14935002),(66 15996582),(67 16389918),(68 16023302),(69 15166326),(70 14287184),(71 13777335),(72 13678946),(73 13855526),(74 14028049),(75 13982085),(76 13649924),(77 13063359),(78 12332073),(79 11607068),
