1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 10290.403),(2 27869.549),(3 41104.984),(4 46641.582),(5 47168.105),(6 46425.543),(7 46804.293),(8 48164.965),(9 50305.016),(10 52763.844),(11 54533.984),(12 55461.695),(13 55376.875),(14 56057.348),(15 57947.594),(16 59744.605),(17 61017.67),(18 62009.176),(19 64409.797),(20 67088.37),(21 69331.8),(22 71465.38),(23 73494.91),(24 75507.766),(25 77997.51),(26 81218.54),(27 84156.77),(28 87552.44),(29 90549.086),(30 93613.055),(31 96455.39),(32 98250.6),(33 99731.38),(34 101236.52),(35 102866.35),(36 104993.69),(37 106888.39),(38 108316.7),(39 109449.84),(40 109720.234),(41 108479.82),(42 107358.945),(43 107808.21),(44 108784.49),(45 109503.164),(46 109838.14),(47 109339.55),(48 107925.43),(49 106526.78),(50 105985.984),(51 105510.73),(52 104412.88),(53 102907.26),(54 101657.38),(55 100608.305),(56 100500.01),(57 101465.75),(58 102293.68),(59 102819.78),(60 102184.51),(61 100923.07),(62 100991.53),(63 101909.83),(64 101941.83),(65 102240.83),(66 103239.125),(67 104698.94),(68 105647.984),(69 105868.73),(70 105531.766),(71 104789.9),(72 105117.87),(73 105524.22),(74 106025.055),(75 106264.086),(76 106129.055),(77 106130.62),(78 105545.16),(79 104002.414),
(1 10870.567),(2 30137.889),(3 44689.426),(4 50826.816),(5 51347.89),(6 49848.703),(7 50337.33),(8 52681.414),(9 55989.66),(10 58788.926),(11 59157.12),(12 58105.47),(13 57360.652),(14 58755.727),(15 61957.2),(16 66412.73),(17 70000.984),(18 72800.195),(19 75126.836),(20 77321.36),(21 78779.77),(22 79980.21),(23 81689.2),(24 84128),(25 86707.62),(26 89031.2),(27 92052.664),(28 94942.58),(29 97097.98),(30 99508.555),(31 102483.09),(32 104219.695),(33 105437.27),(34 106170.07),(35 107519.33),(36 110392.234),(37 112427.016),(38 112421.15),(39 112132.84),(40 111379.3),(41 110906.336),(42 111121.28),(43 111730.125),(44 111842),(45 111374.42),(46 110963.445),(47 111272.7),(48 111136.87),(49 111636.11),(50 111475.86),(51 109754.945),(52 107564.64),(53 104511.77),(54 103185.36),(55 103834.61),(56 105372.32),(57 106608.695),(58 106419.94),(59 105961.71),(60 105819.73),(61 105356.65),(62 105385.17),(63 104822.78),(64 104238.766),(65 104582.445),(66 105284.8),(67 106730.1),(68 107900.42),(69 108550.18),(70 108688.63),(71 108750.234),(72 110930.27),(73 113328.125),(74 115204.81),(75 116193.68),(76 115316.47),(77 113787.62),(78 111577.94),(79 109260.7),
(1 10304.017),(2 28194.205),(3 41443.555),(4 47945.97),(5 49400.676),(6 49299.6),(7 50640.633),(8 53129.36),(9 55520.27),(10 57477.44),(11 58378.867),(12 58024.992),(13 57946.51),(14 60032.74),(15 63153.23),(16 65955.86),(17 68021.13),(18 69849.32),(19 71423.87),(20 72028.625),(21 72399.055),(22 74036.99),(23 75629.195),(24 76848.86),(25 77998.4),(26 79146.68),(27 80783.555),(28 83547.09),(29 85980.99),(30 88751.125),(31 90191.945),(32 91036.92),(33 92387.34),(34 94034.18),(35 95907.695),(36 97659.08),(37 99877.91),(38 101196.83),(39 101925.09),(40 102574.2),(41 103292.016),(42 104675.15),(43 106196.516),(44 107056.64),(45 107391.016),(46 107178.5),(47 106839.66),(48 105905.88),(49 105867.914),(50 105964.31),(51 105622.06),(52 104729.125),(53 104080.42),(54 104498.81),(55 105701.4),(56 106048.31),(57 106078.89),(58 105631.31),(59 106160.42),(60 106375.164),(61 105284.13),(62 104182.62),(63 103340.44),(64 103187.195),(65 103517.43),(66 103675.664),(67 103899.33),(68 103584.4),(69 103499.29),(70 103615.44),(71 103985.2),(72 105449.984),(73 107611.74),(74 108928.12),(75 109075.5),(76 108193.41),(77 108040.76),(78 107781.414),(79 107241.734),
(1 10739.16),(2 29702.195),(3 43631.41),(4 49702.086),(5 50672.67),(6 49776.035),(7 49367.03),(8 50474.84),(9 52740.152),(10 54318.734),(11 54080.598),(12 53597.215),(13 53535.188),(14 55423.02),(15 58318.79),(16 60780.79),(17 62214.17),(18 63609.867),(19 64224.25),(20 64281.098),(21 65659.38),(22 67639.875),(23 69925.08),(24 71196.625),(25 72572.914),(26 74562.79),(27 78452.93),(28 83043.64),(29 86592.92),(30 89522.11),(31 91709.5),(32 92431.01),(33 93171.734),(34 95235.83),(35 97515.9),(36 99439.7),(37 99970.49),(38 99509.81),(39 99431.9),(40 99857.875),(41 99899.17),(42 99921.02),(43 100413.07),(44 100741.57),(45 100435.16),(46 99720.39),(47 98850.26),(48 98012.734),(49 97398.87),(50 96601.31),(51 93972.4),(52 90611.97),(53 88678.89),(54 88831.875),(55 89396.66),(56 89272.42),(57 88415.945),(58 87730.016),(59 87737.24),(60 88449.22),(61 88337.234),(62 87946.61),(63 87299.42),(64 86397.49),(65 86052.586),(66 87002.195),(67 88138.81),(68 88860.34),(69 88761.79),(70 88903.02),(71 89642.61),(72 90703.52),(73 90903.86),(74 89986.34),(75 88981.42),(76 88225.91),(77 88317.41),(78 88424.19),(79 88222.266),
(1 10438.725),(2 28251.805),(3 40486.684),(4 45773.53),(5 46179.066),(6 45571.27),(7 46188.42),(8 48428.715),(9 51451.027),(10 53871.742),(11 54483.973),(12 54361.266),(13 53844.18),(14 54629.316),(15 56355.05),(16 58169.35),(17 59955.03),(18 62010.363),(19 64243.133),(20 66334.46),(21 67654.9),(22 69083.43),(23 70304.83),(24 72103.58),(25 74186.34),(26 76143.055),(27 78375.47),(28 80408.43),(29 81549.11),(30 82864.4),(31 84649.75),(32 86577.586),(33 88461.04),(34 91023.195),(35 92850.43),(36 94552.805),(37 95797.09),(38 95890.016),(39 95181.57),(40 94466.31),(41 94282.68),(42 93740.9),(43 93027.62),(44 92455.27),(45 91283.57),(46 90099.55),(47 89783.414),(48 89113.28),(49 88821.54),(50 87505.39),(51 85133.01),(52 84791.164),(53 84966.4),(54 85962.05),(55 86049.75),(56 84798.31),(57 83784.266),(58 83142.41),(59 84109.97),(60 85693.53),(61 85999.234),(62 85534.516),(63 84722.24),(64 84316.984),(65 84584.516),(66 86168.16),(67 87554.44),(68 87623.71),(69 87408.59),(70 87740.266),(71 87873.96),(72 88668.64),(73 89245.87),(74 88287.336),(75 86899.6),(76 85634.24),(77 85546.94),(78 85526.92),(79 84985.56),
(1 10519.773),(2 28591.398),(3 40831.387),(4 45274.277),(5 45448.082),(6 44916.793),(7 45139.383),(8 46236.316),(9 48035.98),(10 49472.42),(11 50520.22),(12 52147.516),(13 54019.434),(14 55689.89),(15 56363.46),(16 57717.33),(17 59802.54),(18 62405.28),(19 64417.63),(20 66169.76),(21 67631.14),(22 68833.37),(23 69875.13),(24 71483.41),(25 73125.44),(26 75409.31),(27 78193.02),(28 80585.03),(29 82473.484),(30 84345.65),(31 85921.93),(32 87160.15),(33 88273.26),(34 89146.57),(35 90342.6),(36 91581.26),(37 92464.75),(38 92057.79),(39 91013.43),(40 90345.32),(41 89639.234),(42 89264.76),(43 89226.07),(44 89139.7),(45 88540.93),(46 87613.24),(47 87554.43),(48 87318.07),(49 86786.78),(50 85492.12),(51 84106.48),(52 83560.35),(53 83128.92),(54 82556.02),(55 81861.73),(56 81493.414),(57 81944.44),(58 82335.1),(59 82418.79),(60 82968.03),(61 83260.234),(62 83350.5),(63 82971),(64 82693.95),(65 82791.05),(66 82268.78),(67 81786.8),(68 82083.06),(69 83823.54),(70 85636.69),(71 86050.086),(72 86360.24),(73 85661.086),(74 84636.67),(75 84071.52),(76 83873.47),(77 84682.37),(78 84917.5),(79 84130.17),
(1 10621.032),(2 28427.174),(3 40258.95),(4 44374.613),(5 44208.496),(6 43476.688),(7 44847.508),(8 46871.66),(9 49322.137),(10 50806.383),(11 50441.996),(12 50367.22),(13 50563.668),(14 51859.516),(15 53452.023),(16 55723.637),(17 57491.598),(18 59389.473),(19 60215.23),(20 61567.176),(21 63281.117),(22 64519.125),(23 64836.56),(24 65218.71),(25 66387.18),(26 68074.734),(27 70404.13),(28 72675.484),(29 75162.69),(30 76961.625),(31 77853.65),(32 79265.55),(33 80761.89),(34 82387.35),(35 84002.75),(36 84997.93),(37 85612.26),(38 86018.26),(39 85972.16),(40 86252.016),(41 86733.945),(42 87555.02),(43 88023.67),(44 87411.04),(45 86618.77),(46 86094.04),(47 86555.664),(48 87450.05),(49 87716.586),(50 86890.73),(51 85809.64),(52 85859.46),(53 85512.5),(54 85217.96),(55 84478.89),(56 84671.12),(57 85575.67),(58 86420.89),(59 86497.125),(60 86123.16),(61 84996.45),(62 84626.016),(63 85416.99),(64 86527.14),(65 87168.09),(66 86975.02),(67 86310.695),(68 86265.27),(69 87332.24),(70 88560.15),(71 89463.484),(72 90385.695),(73 90526.08),(74 89848.3),(75 89451.08),(76 89023.07),(77 88838.17),(78 89064.09),(79 89495.95),
(1 10179.842),(2 27108.326),(3 38200.566),(4 42156.1),(5 42388.984),(6 43074.656),(7 44765.426),(8 47731.797),(9 50857.19),(10 52657.406),(11 52147.92),(12 50989.395),(13 50792.66),(14 51854.504),(15 53745.082),(16 56456.465),(17 59024.46),(18 60337.066),(19 60800.203),(20 62120.727),(21 63801.34),(22 65414.23),(23 66911.71),(24 68602.21),(25 70211.586),(26 71749.18),(27 73009.65),(28 74651.37),(29 76554.99),(30 77595.16),(31 77779.47),(32 78731.875),(33 80972.41),(34 83507.04),(35 84835.78),(36 85629.26),(37 86599.234),(38 87245.016),(39 88457.625),(40 89242.43),(41 89127.69),(42 88896.57),(43 88599.78),(44 88312.13),(45 87792.57),(46 87683.76),(47 87568.72),(48 86539.55),(49 85226.05),(50 83881.14),(51 82473.58),(52 81848.22),(53 81573.34),(54 81200.78),(55 80464.41),(56 80446.414),(57 80610.05),(58 80465.66),(59 79756.805),(60 79250.77),(61 78100.15),(62 77658.336),(63 77907.41),(64 78783.46),(65 79160.18),(66 78214.95),(67 77353.14),(68 77402.73),(69 78410.16),(70 79685.07),(71 80649.6),(72 81012.05),(73 79995.73),(74 79493.664),(75 79722.875),(76 79834.59),(77 79891.67),(78 79325.54),(79 78399.23),
(1 10090.82),(2 26742.314),(3 37229.977),(4 40407.617),(5 40784.695),(6 41188.246),(7 42765.477),(8 45277.316),(9 47846.387),(10 49368.395),(11 49131.742),(12 49036.336),(13 49653.52),(14 50619.77),(15 52869.05),(16 56052.28),(17 58890.83),(18 60285.543),(19 60910.08),(20 61607.438),(21 62086.734),(22 62648.453),(23 63005.65),(24 64431.92),(25 66959.27),(26 70137.18),(27 72320.79),(28 74397.67),(29 76188.375),(30 77153.32),(31 77630.195),(32 78538.53),(33 79869.016),(34 81709.05),(35 83361.13),(36 84447.04),(37 85859.29),(38 85865.32),(39 85998.69),(40 86236.94),(41 85766.83),(42 85534.08),(43 84879.32),(44 84753.07),(45 84984.99),(46 85463),(47 85229.45),(48 83917.24),(49 82706.18),(50 81733.83),(51 80764.39),(52 80568.875),(53 79600.805),(54 78835.914),(55 78011.39),(56 77541.07),(57 77517.11),(58 77894.32),(59 77933.46),(60 77338.07),(61 75955.05),(62 75508.516),(63 74834.44),(64 74522.484),(65 74890.37),(66 75497.086),(67 76119.484),(68 75990.61),(69 75547.51),(70 76029.06),(71 75740.3),(72 74954.38),(73 73708.43),(74 72937.35),(75 72759.19),(76 72404.71),(77 72773.5),(78 72875.88),(79 72404.19),
(1 10060.838),(2 26525.902),(3 37081.67),(4 40376.715),(5 40027.375),(6 39768.543),(7 40710.73),(8 43519.598),(9 46090.73),(10 46841.754),(11 46770.367),(12 47493.992),(13 49195.418),(14 50880.973),(15 51996.83),(16 53336.62),(17 54434.492),(18 55405.543),(19 56627.387),(20 58212.434),(21 59571.91),(22 60493.754),(23 61344.54),(24 62652.887),(25 63738.613),(26 65633.41),(27 68034.195),(28 70780.12),(29 72679.51),(30 74560.25),(31 76390.22),(32 78707.68),(33 80971.625),(34 82088.39),(35 82217.63),(36 82258.06),(37 82371.62),(38 83016.3),(39 83144.59),(40 82279.69),(41 81533.36),(42 81113.82),(43 80792.1),(44 80782.9),(45 80336.89),(46 79864.38),(47 79786.44),(48 79338.875),(49 78798.06),(50 77612.85),(51 75981.96),(52 74976.95),(53 73604.82),(54 72891.875),(55 72795.74),(56 72942.98),(57 72666.53),(58 72062.21),(59 71661.95),(60 71037.914),(61 71018.48),(62 71763.73),(63 72609.266),(64 73165.88),(65 73766.266),(66 74229.31),(67 74167.08),(68 73722.61),(69 73390.164),(70 73498.77),(71 73027.76),(72 73013.555),(73 72640.13),(74 72167.05),(75 72431.29),(76 72296.38),(77 71791.19),(78 70611.414),(79 70010.13),
(1 9653.519),(2 25366.936),(3 35136.8),(4 38629.02),(5 38299.91),(6 38069.11),(7 39305.69),(8 41860.11),(9 43864.09),(10 43992.938),(11 43080.51),(12 42781.543),(13 43764.95),(14 45525.914),(15 46876.254),(16 48474.855),(17 49727.777),(18 50185.44),(19 50802.613),(20 52100.215),(21 53675.11),(22 55655.6),(23 58329.72),(24 60838.836),(25 62864.69),(26 65098.62),(27 66733.79),(28 68228.7),(29 69104.53),(30 70471.19),(31 71814.78),(32 73977.016),(33 76867.36),(34 77966.34),(35 78018.945),(36 77937.17),(37 78570.14),(38 79845.34),(39 80124.24),(40 79081.01),(41 77774.04),(42 76964.9),(43 76550.02),(44 75789.35),(45 74667.95),(46 74149.18),(47 73511.32),(48 72721.19),(49 71994.51),(50 71051.65),(51 70505.24),(52 70568.34),(53 69494.9),(54 67789.22),(55 67277.45),(56 67635.766),(57 67776.7),(58 67224.35),(59 67100.64),(60 66667.68),(61 66380.94),(62 66187.29),(63 65847.83),(64 65736.82),(65 66309.1),(66 67223.61),(67 67990.88),(68 68508.76),(69 68629.26),(70 68432.734),(71 68500.25),(72 68909.17),(73 68763.35),(74 68123),(75 67973.17),(76 67686.01),(77 67601.24),(78 67528.414),(79 67283.41),
(1 9761.748),(2 25344.947),(3 34566.992),(4 37444.703),(5 37631.305),(6 38721.586),(7 41465.453),(8 44508.15),(9 47238.66),(10 47687.3),(11 46956.527),(12 46601.867),(13 47204.637),(14 47943.855),(15 49138.984),(16 51051.043),(17 52154.43),(18 52482.652),(19 53491.227),(20 55035.81),(21 56613.637),(22 58447.223),(23 60286.844),(24 62165.547),(25 63903.48),(26 65052.75),(27 66456.73),(28 67815.9),(29 67837.875),(30 68442.93),(31 70223.98),(32 72908.484),(33 75467.88),(34 76727.305),(35 76576.43),(36 76356.9),(37 76226.4),(38 76797.85),(39 77304.35),(40 77840.195),(41 78128.85),(42 77567.71),(43 76609.28),(44 75994.43),(45 75430.8),(46 75515.71),(47 75703.49),(48 74650.43),(49 73107.516),(50 71791.86),(51 70205.195),(52 69212.516),(53 68249.94),(54 68787.87),(55 70248.17),(56 70483.3),(57 69311.625),(58 67954.664),(59 67474.8),(60 67843.12),(61 67516.64),(62 66867.125),(63 65653.53),(64 64769.477),(65 65039.637),(66 65696.03),(67 66588.96),(68 66425.04),(69 65263.035),(70 64242.867),(71 64237.688),(72 64871.51),(73 65397.313),(74 65470.39),(75 65161.598),(76 64413.83),(77 63442.504),(78 62322.93),(79 61441.164),
(1 9958.733),(2 25895.592),(3 35052.992),(4 36911.38),(5 35561.066),(6 35504.207),(7 37290.96),(8 40819.676),(9 44201.27),(10 45647.926),(11 45689.617),(12 45676.426),(13 46668.227),(14 48429.49),(15 50552.676),(16 52799.305),(17 53709.7),(18 53939.316),(19 54371.277),(20 56170.496),(21 58442.83),(22 59951.883),(23 60882.926),(24 61242.684),(25 62931.277),(26 65355.47),(27 67269.7),(28 68773.2),(29 69779.984),(30 70428.37),(31 71666.51),(32 73191.48),(33 74334.484),(34 75263.02),(35 74852.26),(36 74726.43),(37 75475.8),(38 75481.4),(39 74623.29),(40 73804.89),(41 72969.03),(42 71629.56),(43 70707.766),(44 70820.54),(45 70738.44),(46 69692.805),(47 68969.484),(48 67674.71),(49 66575.19),(50 65351.813),(51 64745.8),(52 64414.027),(53 64365.4),(54 65067.016),(55 65353.938),(56 64509.484),(57 63367.047),(58 62151.152),(59 61875.64),(60 61708.836),(61 60602.684),(62 59900.957),(63 59887.035),(64 60024.19),(65 61137.793),(66 62505.28),(67 63196.426),(68 62329.613),(69 60681.504),(70 60028.867),(71 60372.387),(72 60984.75),(73 61185.11),(74 60998.863),(75 60125.02),(76 58820.82),(77 58706.406),(78 58929.145),(79 59155.938),
(1 9602.224),(2 24581.057),(3 33138.492),(4 35105.715),(5 34637.332),(6 35078.74),(7 37158.35),(8 39550.242),(9 41041.504),(10 41600.43),(11 41949.57),(12 43331.18),(13 44766.426),(14 45694.543),(15 47119.07),(16 48873.35),(17 50305.07),(18 51216.902),(19 52033.984),(20 52997.984),(21 54377.707),(22 55486.188),(23 56221.74),(24 56976.977),(25 58049.918),(26 59107.637),(27 61094.89),(28 62931.78),(29 64543.848),(30 66429.16),(31 67914.94),(32 68516.89),(33 68598.02),(34 69145.24),(35 69479.164),(36 69665.6),(37 69713.79),(38 69030.06),(39 68004.31),(40 67264.32),(41 67302.39),(42 67011.84),(43 67087.69),(44 67813.54),(45 67913.68),(46 66938.36),(47 66179.3),(48 64794.973),(49 63819.008),(50 63307.984),(51 63213.945),(52 63145.137),(53 63027.684),(54 63117.355),(55 62571.598),(56 61584.574),(57 60738.555),(58 60051.516),(59 59796.547),(60 59965.79),(61 60057.445),(62 60530.516),(63 60843.7),(64 60824.246),(65 61477.137),(66 62510.773),(67 63529.984),(68 62992.07),(69 61701.37),(70 61250.656),(71 61034.645),(72 60757.547),(73 59936.137),(74 59447.445),(75 59581.563),(76 59590.33),(77 59708.31),(78 59565.063),(79 58595.164),
(1 9143.957),(2 23047.045),(3 30596.05),(4 32158.531),(5 31967.422),(6 33002.17),(7 35030.695),(8 38347.348),(9 39907.8),(10 39402.46),(11 39092.918),(12 40296.137),(13 41980.12),(14 43505.297),(15 45535.12),(16 47567.156),(17 48920.438),(18 49967.71),(19 51007.895),(20 52005.758),(21 52584.617),(22 53150.887),(23 54491.355),(24 56160.29),(25 57554.313),(26 59159.36),(27 60814.66),(28 62661.51),(29 64028.176),(30 66234.04),(31 68052.47),(32 69130.41),(33 69583.78),(34 70055.81),(35 70826.195),(36 71343.76),(37 71119.46),(38 70680.945),(39 70747.445),(40 70961.56),(41 70262.87),(42 69600.92),(43 69342.695),(44 69304.17),(45 68608.266),(46 67329.98),(47 66023.95),(48 64061.066),(49 62670.164),(50 62064.43),(51 61335.375),(52 61405.64),(53 61647.75),(54 61829.273),(55 60981.66),(56 59788.855),(57 59285.434),(58 59143.11),(59 59781.566),(60 60203.99),(61 59934.46),(62 59953.598),(63 59851.035),(64 59725.723),(65 59936.695),(66 60097.934),(67 59846.67),(68 59255.047),(69 59209.49),(70 59833.87),(71 59765.457),(72 60039.47),(73 59699.17),(74 59561.367),(75 59179.543),(76 58635.074),(77 58538.55),(78 58362.566),(79 57815.36),
(1 9166.638),(2 23079.111),(3 30197.986),(4 31414.287),(5 30658.432),(6 31568.574),(7 33548.03),(8 36324.145),(9 37889.457),(10 37745.2),(11 37257.92),(12 37935.934),(13 39515.375),(14 41306.016),(15 43285.047),(16 44690.176),(17 45086.16),(18 44976.95),(19 46233.445),(20 47865.66),(21 49160.844),(22 50465.85),(23 51665.934),(24 53633.977),(25 55265.574),(26 57483.04),(27 59534.73),(28 60851.23),(29 62060.07),(30 63065.18),(31 63840.418),(32 64795.38),(33 65704.89),(34 66232.81),(35 67040.94),(36 67902.34),(37 68553.06),(38 67865.836),(39 66978.414),(40 66221.31),(41 65567.914),(42 65252.99),(43 64977.64),(44 64172.418),(45 63046.69),(46 62317.434),(47 61790.23),(48 61038.297),(49 60872.2),(50 60461.633),(51 60168.426),(52 60695.117),(53 60774.582),(54 59797.97),(55 58416.05),(56 57423.227),(57 57318.594),(58 57195.117),(59 57257.605),(60 57226.38),(61 56808.473),(62 56720.2),(63 56988.266),(64 57886.438),(65 58431.418),(66 57727.426),(67 57094.824),(68 57003.703),(69 57117.12),(70 57231.33),(71 56738.04),(72 56814.76),(73 56354.86),(74 56278.285),(75 56281.246),(76 55542.734),(77 55254.87),(78 54866.1),(79 54081.582),
(1 8732.73),(2 21665.723),(3 28724.1),(4 30590.705),(5 31067.924),(6 32782.477),(7 34841.805),(8 36880.46),(9 37568.273),(10 37617.855),(11 37728.195),(12 39293.684),(13 40866.3),(14 42177.785),(15 43734.816),(16 44604.234),(17 44168.535),(18 44276.266),(19 45620.203),(20 47161.367),(21 48553.977),(22 49883),(23 51590.668),(24 53478.41),(25 55324.58),(26 56662.484),(27 57550.164),(28 58608.383),(29 60187.754),(30 62205.59),(31 63479.33),(32 64211.402),(33 64947.02),(34 65558.805),(35 65978.15),(36 65980.555),(37 65928.29),(38 65849.42),(39 65105.426),(40 64391.957),(41 63537.793),(42 62981.11),(43 62357.246),(44 61367.26),(45 60151.543),(46 59122.543),(47 58147.492),(48 57382.34),(49 57045.453),(50 56935.168),(51 56175.92),(52 55421.906),(53 55011.625),(54 54038.793),(55 52994.598),(56 52400.52),(57 52807.906),(58 52866.395),(59 52707.047),(60 52722.895),(61 52330.504),(62 52693.39),(63 53173.316),(64 53464.355),(65 53233.293),(66 51881.227),(67 51598.438),(68 52227.19),(69 53228.492),(70 53775.41),(71 53339.39),(72 52903.57),(73 52680.668),(74 52715.074),(75 52653.67),(76 52141.176),(77 51401.555),(78 50271.234),(79 49631.723),
(1 8784.657),(2 21874.506),(3 29017.588),(4 31101.664),(5 31237.438),(6 32419.088),(7 34169.47),(8 35289.62),(9 35642.3),(10 35234.273),(11 35393.49),(12 36518.64),(13 37828.418),(14 39375.05),(15 40991.97),(16 42515.87),(17 42892.27),(18 43152.684),(19 44474.227),(20 45856.164),(21 47236.44),(22 48569.887),(23 49768.71),(24 50805.45),(25 51433.902),(26 52320.25),(27 53389.19),(28 54643.402),(29 56155.13),(30 57427.477),(31 57968.254),(32 58387.293),(33 59212.83),(34 60701.11),(35 61374.33),(36 61163.62),(37 60349.496),(38 60005.65),(39 59963.35),(40 59638.465),(41 59087.4),(42 58577.11),(43 58316.895),(44 57982.94),(45 57453.137),(46 56712.047),(47 56087.29),(48 55683.09),(49 55562.38),(50 54798.086),(51 54052.53),(52 53811.426),(53 52750.31),(54 51701.35),(55 50981.883),(56 50742.047),(57 50899.49),(58 51318.35),(59 51527.25),(60 51585.92),(61 51293.203),(62 51078.45),(63 51355.355),(64 51617.445),(65 50942.836),(66 49920.03),(67 50020.37),(68 50839.086),(69 51329.688),(70 51962.69),(71 51398.32),(72 50713.164),(73 50082.17),(74 49898.81),(75 50077.89),(76 50127.53),(77 49712.434),(78 49087.844),(79 48877.266),
