1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 18523.568),(2 42512.586),(3 62977.145),(4 106227.75),(5 136960.86),(6 168024.98),(7 196027.38),(8 221660.83),(9 251718.67),(10 283548.38),(11 311289.72),(12 334793.34),(13 369914.16),(14 399529.6),(15 428988.5),(16 456713.88),(17 490498.25),(18 520883.72),(19 556225.7),(20 588132.75),(21 624022.44),(22 677595.2),(23 727766.2),(24 768286.7),(25 857054.7),(26 916244),(27 969661.75),(28 1046093.3),(29 1120675.6),(30 1217008.5),(31 1335604),(32 1427992.9),(33 1500207.6),(34 1570289.6),(35 1624148),(36 1667196.1),(37 1711026.5),(38 1762098.6),(39 1803420.6),(40 1841187.5),(41 1841621.5),(42 1857196.4),(43 1861919.6),(44 1853774),(45 1844677.1),(46 1858994.5),(47 1854062),(48 1854667.9),(49 1861259.1),(50 1858583),(51 1839819),(52 1830258.1),(53 1796196),(54 1761803.1),(55 1726275.4),(56 1685652.4),(57 1650132),(58 1614926.5),(59 1578746),(60 1566241.5),(61 1559834.1),(62 1564459),(63 1549167.9),(64 1538498.9),(65 1532260.5),(66 1513203.4),(67 1519624.6),(68 1523360.9),(69 1605427.1),(70 1632149.1),(71 1667560.4),(72 1647562.1),(73 1669018.6),(74 1668677.9),(75 1675639),(76 1716176.6),(77 1743385.5),(78 1757084.6),(79 1824954.4),
(1 10719.8545),(2 28965.371),(3 52719.574),(4 84350.37),(5 118415.77),(6 149543.89),(7 179973.28),(8 208950.25),(9 236166.78),(10 268519.34),(11 301889.3),(12 338732.44),(13 388055.8),(14 440094.06),(15 496952.5),(16 556539.4),(17 623313.25),(18 680825),(19 745206.7),(20 795143.5),(21 855242.2),(22 917914.8),(23 978080.5),(24 1034533.2),(25 1114892.8),(26 1181981),(27 1249985.6),(28 1329123),(29 1419532),(30 1512883.4),(31 1629010.4),(32 1730234.6),(33 1835314.8),(34 1929028.6),(35 2001651.6),(36 2070111.3),(37 2134830.5),(38 2191238.5),(39 2246602.5),(40 2305629.8),(41 2352432),(42 2413152),(43 2475169.5),(44 2532831.3),(45 2596319.5),(46 2658563.3),(47 2738284.8),(48 2802034.5),(49 2858688.5),(50 2912895.3),(51 2965755.3),(52 3004561),(53 3026516.5),(54 3064181.5),(55 3080554),(56 3110206.8),(57 3138092.5),(58 3156417.3),(59 3176435.5),(60 3194787.3),(61 3211378.8),(62 3209420.5),(63 3213719.3),(64 3223550.5),(65 3229641.3),(66 3240154.5),(67 3240512.8),(68 3239057.3),(69 3279552.5),(70 3278354),(71 3296536),(72 3313851.5),(73 3349443.5),(74 3400151.3),(75 3443587.5),(76 3488038.8),(77 3553496),(78 3617286),(79 3665319.3),
(1 10116.886),(2 28032.953),(3 49069.637),(4 83306.1),(5 122858.29),(6 164226.95),(7 207403.67),(8 256081.89),(9 305291.75),(10 357005.72),(11 410445.47),(12 467456.1),(13 537015.06),(14 609882.7),(15 692540.8),(16 771236.8),(17 858416.5),(18 935852.94),(19 1018804.94),(20 1101176.8),(21 1187593.6),(22 1284360.9),(23 1374203.4),(24 1461282.4),(25 1564613.4),(26 1652503.6),(27 1739929.4),(28 1828417.4),(29 1923284.6),(30 2013735.6),(31 2133734.5),(32 2231629.8),(33 2332629.8),(34 2419839.8),(35 2499159.3),(36 2584025.5),(37 2660299.8),(38 2736900.8),(39 2808942.8),(40 2892972),(41 2985829.3),(42 3076599.8),(43 3158154.8),(44 3241333.8),(45 3340052.8),(46 3419425.3),(47 3543484.8),(48 3656908),(49 3767316.8),(50 3866524),(51 3979249.3),(52 4086089),(53 4180052),(54 4302446.5),(55 4412959.5),(56 4532588.5),(57 4631578),(58 4725045.5),(59 4812138.5),(60 4895967.5),(61 4998185.5),(62 5073255),(63 5142894.5),(64 5219637.5),(65 5270494),(66 5341243.5),(67 5401953),(68 5446067.5),(69 5525771.5),(70 5580799.5),(71 5658377.5),(72 5717546.5),(73 5817368),(74 5912274.5),(75 5994430.5),(76 6107684),(77 6214630.5),(78 6312700),(79 6407891.5),
(1 11604.364),(2 34476.74),(3 63823.11),(4 114921.68),(5 165821.56),(6 223427.78),(7 284874.38),(8 353967.7),(9 431588.88),(10 516991.63),(11 613064.3),(12 720156.8),(13 851626.75),(14 978160.7),(15 1106450.5),(16 1242714.9),(17 1388048.5),(18 1536055.5),(19 1692886),(20 1844698.5),(21 2000885.8),(22 2178878.3),(23 2346176),(24 2499732.5),(25 2663228.5),(26 2817975),(27 2970097.3),(28 3129667.5),(29 3298524),(30 3460973),(31 3649351),(32 3806159),(33 3969579.5),(34 4119617.8),(35 4255725.5),(36 4394058),(37 4518850.5),(38 4632994.5),(39 4751121),(40 4865667),(41 4984696.5),(42 5098319),(43 5196231),(44 5285611),(45 5375320),(46 5456638.5),(47 5548730),(48 5635816),(49 5716345.5),(50 5788653.5),(51 5855827.5),(52 5907806),(53 5945670),(54 5984959.5),(55 6010980),(56 6041677.5),(57 6076116.5),(58 6089637.5),(59 6126722),(60 6139230),(61 6131490),(62 6137142),(63 6142234),(64 6149506.5),(65 6147535.5),(66 6142376.5),(67 6139773.5),(68 6145193.5),(69 6115319),(70 6120713),(71 6132101.5),(72 6154721),(73 6192565),(74 6235161.5),(75 6266339.5),(76 6354429.5),(77 6423065),(78 6461514),(79 6525554),
(1 12841.86),(2 38548.87),(3 71881.09),(4 125817.67),(5 182157.23),(6 241940.19),(7 305380.8),(8 370534.94),(9 442628.2),(10 522595.6),(11 609141.94),(12 705595.06),(13 831408.2),(14 953837.2),(15 1076671.1),(16 1206304.9),(17 1343469),(18 1489064.9),(19 1634426.1),(20 1787929.9),(21 1940639.6),(22 2122522.3),(23 2288664.5),(24 2452435.3),(25 2626816.3),(26 2789471),(27 2945100.8),(28 3104724.3),(29 3281996.8),(30 3457307.8),(31 3667404.8),(32 3845277),(33 4033354.5),(34 4205113.5),(35 4367031),(36 4535395),(37 4685724.5),(38 4831342.5),(39 4981065.5),(40 5125555.5),(41 5270567.5),(42 5411326),(43 5533803.5),(44 5646983.5),(45 5747872),(46 5839286.5),(47 5946968.5),(48 6037861),(49 6121563),(50 6184213),(51 6234534.5),(52 6261072),(53 6277638.5),(54 6279271.5),(55 6273429),(56 6273690),(57 6272340.5),(58 6264938),(59 6264139.5),(60 6251523.5),(61 6219390),(62 6197672.5),(63 6177077),(64 6138147),(65 6106792.5),(66 6061145.5),(67 6018531.5),(68 5979135.5),(69 5897262.5),(70 5839594),(71 5787461),(72 5745944),(73 5715430),(74 5691358),(75 5668269),(76 5646195),(77 5619083.5),(78 5575121),(79 5532887.5),
(1 15951.622),(2 51169.75),(3 98968.83),(4 171048.89),(5 255066.8),(6 347658.16),(7 445879.2),(8 551529.94),(9 662105.2),(10 776082.06),(11 896853.7),(12 1021006.6),(13 1163489.3),(14 1304712.5),(15 1449068.6),(16 1589556.8),(17 1736078.6),(18 1881245.8),(19 2023900.4),(20 2171681.8),(21 2315231.3),(22 2478016.8),(23 2620863.8),(24 2766605.8),(25 2907899.8),(26 3032355),(27 3159945),(28 3276714.5),(29 3394867.3),(30 3513743.3),(31 3664088),(32 3784290.5),(33 3901720.8),(34 4015490.5),(35 4123992.8),(36 4221582.5),(37 4319885),(38 4415259),(39 4517638.5),(40 4621235.5),(41 4733507),(42 4857900),(43 4974679),(44 5090335),(45 5201793),(46 5339845),(47 5526741),(48 5667534.5),(49 5809967),(50 5933494.5),(51 6057449),(52 6143221),(53 6229896),(54 6306711.5),(55 6364967),(56 6434374.5),(57 6492731.5),(58 6541579),(59 6591384),(60 6623504.5),(61 6660939),(62 6709944),(63 6767973),(64 6817872),(65 6871686.5),(66 6917833.5),(67 6952134.5),(68 6960789),(69 6931362.5),(70 6914883),(71 6895045),(72 6864243),(73 6865740),(74 6854409.5),(75 6854096),(76 6817941),(77 6772712),(78 6719376),(79 6657443),
(1 14206.771),(2 43921.67),(3 85409.266),(4 157141.28),(5 239030.25),(6 330400.5),(7 421391.2),(8 524276.94),(9 628854.9),(10 738520),(11 855942.7),(12 971635.94),(13 1094961.5),(14 1224578.1),(15 1352761.5),(16 1476059.3),(17 1608654.5),(18 1733593.8),(19 1862192.1),(20 1991370.1),(21 2123482.8),(22 2273475.8),(23 2408750.5),(24 2543903.5),(25 2689144),(26 2813829),(27 2935867.5),(28 3042928.3),(29 3151883),(30 3257415),(31 3381511.8),(32 3477657.8),(33 3563007),(34 3645246.8),(35 3705752),(36 3763415.8),(37 3809835.8),(38 3838602.8),(39 3870139.5),(40 3886727),(41 3904246.5),(42 3915232.3),(43 3917973.3),(44 3918386.8),(45 3906380.5),(46 3912586.5),(47 3933126.8),(48 3932871.5),(49 3926865),(50 3920406.8),(51 3907762.5),(52 3896033.5),(53 3886838.8),(54 3883103.5),(55 3876011),(56 3890341.5),(57 3904436.5),(58 3930157.8),(59 3971865),(60 4008660),(61 4044866.8),(62 4099142.8),(63 4154813.3),(64 4210817),(65 4258719),(66 4310441.5),(67 4352391.5),(68 4408909),(69 4486111.5),(70 4547404.5),(71 4603921),(72 4661248.5),(73 4724385),(74 4794724.5),(75 4855062.5),(76 4896722),(77 4925559.5),(78 4954031),(79 4967009),
(1 15882.295),(2 51562.484),(3 100739.664),(4 183030.75),(5 279926.5),(6 381866),(7 486840.34),(8 602406.2),(9 719541.06),(10 844247.56),(11 978762.9),(12 1116974),(13 1278053.4),(14 1429240.5),(15 1583899.8),(16 1731400.4),(17 1885876.5),(18 2035910),(19 2184374.5),(20 2328565.3),(21 2470145),(22 2618686.3),(23 2755534.5),(24 2880272),(25 2995936.3),(26 3102897.8),(27 3208522.8),(28 3303252),(29 3395773),(30 3496172),(31 3606898.8),(32 3703339.8),(33 3796827.3),(34 3877287.5),(35 3942170.8),(36 4007854.8),(37 4073368.5),(38 4142545),(39 4211620.5),(40 4288016),(41 4407338),(42 4508336),(43 4618691.5),(44 4724868.5),(45 4832303.5),(46 4949384),(47 5096280),(48 5226670),(49 5351622.5),(50 5472702),(51 5584305),(52 5680781.5),(53 5763189),(54 5838178),(55 5896625),(56 5946785),(57 5981822.5),(58 6022135.5),(59 6034186.5),(60 6061850),(61 6086990),(62 6100725),(63 6106259),(64 6108729.5),(65 6092882.5),(66 6080753),(67 6052489.5),(68 6012990),(69 5937151),(70 5885379),(71 5827693),(72 5769912.5),(73 5719289.5),(74 5669310.5),(75 5620409),(76 5560681.5),(77 5515113.5),(78 5474363),(79 5435551.5),
(1 17792.729),(2 58491.566),(3 112992.414),(4 200572.14),(5 312385.94),(6 433466.06),(7 559912.8),(8 697629.5),(9 844684.8),(10 1003725.06),(11 1176272),(12 1357974.6),(13 1585130.5),(14 1791979.8),(15 1997930.4),(16 2194785.5),(17 2394920.8),(18 2596224.8),(19 2798576.5),(20 2987905),(21 3176547.8),(22 3389156.8),(23 3576521.5),(24 3746794),(25 3916859.3),(26 4068378.8),(27 4202444),(28 4328107),(29 4455845.5),(30 4580106.5),(31 4682373),(32 4769904.5),(33 4831006),(34 4862355.5),(35 4864152),(36 4852225),(37 4825975.5),(38 4785908),(39 4741909),(40 4691129),(41 4662340.5),(42 4624075.5),(43 4587117.5),(44 4557336.5),(45 4519289.5),(46 4496334),(47 4504504.5),(48 4503862),(49 4525513.5),(50 4539413.5),(51 4554999.5),(52 4580916),(53 4615456.5),(54 4655517.5),(55 4710622),(56 4775313),(57 4840821.5),(58 4914444.5),(59 4984753),(60 5044915),(61 5101143.5),(62 5151803.5),(63 5209588.5),(64 5268012),(65 5313892),(66 5363258),(67 5404492.5),(68 5424923.5),(69 5419692),(70 5424893.5),(71 5441134),(72 5449904.5),(73 5465699),(74 5472797),(75 5470900),(76 5456409.5),(77 5439126.5),(78 5421910),(79 5405053.5),
(1 15412.944),(2 49950.348),(3 97754.19),(4 168967.61),(5 255895.69),(6 348207.88),(7 442926.34),(8 544355.75),(9 651709),(10 765563.56),(11 888377.2),(12 1017767.3),(13 1178536),(14 1322840.9),(15 1466654.8),(16 1606271.9),(17 1744600.6),(18 1876875.1),(19 2016246.3),(20 2150979),(21 2281423.5),(22 2433757),(23 2573156),(24 2693410),(25 2815039),(26 2922647.5),(27 3018966.8),(28 3108667),(29 3192320.5),(30 3281679.3),(31 3372125.3),(32 3444007.5),(33 3514891.8),(34 3574021.5),(35 3624454),(36 3675339.3),(37 3721149),(38 3752102.8),(39 3782242.8),(40 3799713.3),(41 3818105),(42 3825069),(43 3826776),(44 3818475.5),(45 3815577),(46 3806747.5),(47 3805741.8),(48 3797788.5),(49 3773455.5),(50 3740358.3),(51 3711881),(52 3678327),(53 3640370.3),(54 3604402.8),(55 3565826.5),(56 3533467),(57 3501058.8),(58 3475602.8),(59 3448981),(60 3429988.5),(61 3409132.8),(62 3395254.3),(63 3376703),(64 3356326.8),(65 3328508),(66 3301762.8),(67 3278101.8),(68 3246140),(69 3228591.5),(70 3213569),(71 3208683.3),(72 3202358.3),(73 3209944.3),(74 3216069),(75 3229523.5),(76 3267540.3),(77 3301228.5),(78 3339034.3),(79 3386739.8),
(1 16622.012),(2 55072.39),(3 109247.95),(4 192409.45),(5 293704.88),(6 400255.25),(7 508128.75),(8 621798.44),(9 737505.56),(10 854573.1),(11 974990.75),(12 1104036.4),(13 1253989.8),(14 1390833.1),(15 1531662.3),(16 1669757.6),(17 1805030.1),(18 1940777.4),(19 2067072.5),(20 2195041.5),(21 2313784.5),(22 2438452.5),(23 2548868.8),(24 2650419.3),(25 2747062),(26 2826347.8),(27 2892733.5),(28 2953964.8),(29 3009705.5),(30 3067585),(31 3118433.5),(32 3173391.5),(33 3222351),(34 3271597.8),(35 3326158.3),(36 3374842.8),(37 3434318.3),(38 3486907.8),(39 3549113.5),(40 3607856),(41 3695052.3),(42 3771554.3),(43 3848298),(44 3926067.3),(45 3996189.3),(46 4076209.5),(47 4173547.3),(48 4262575),(49 4353268.5),(50 4438815.5),(51 4518375.5),(52 4594595),(53 4661827),(54 4723115),(55 4773400.5),(56 4826726.5),(57 4870553),(58 4911257.5),(59 4942523.5),(60 4966844.5),(61 4982503),(62 4987322.5),(63 4981792),(64 4968297.5),(65 4952679.5),(66 4929220),(67 4898634),(68 4866844),(69 4798140),(70 4764343),(71 4729770.5),(72 4693550),(73 4655106.5),(74 4619698),(75 4586573.5),(76 4555312),(77 4521159.5),(78 4482427.5),(79 4439261),
