1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 163047.39),(2 555505.6),(3 1111277.9),(4 1748039.9),(5 2431500.5),(6 3166634.8),(7 3928789.3),(8 4726218.5),(9 5546374.5),(10 6393225.5),(11 7255646.5),(12 8181403.5),(13 9107907),(14 10025417),(15 11172259),(16 12476199),(17 13755648),(18 15189288),(19 16725772),(20 18428184),(21 20318320),(22 22127586),(23 24090928),(24 26153878),(25 28431808),(26 30846136),(27 33408638),(28 36402900),(29 39372188),(30 42529364),(31 45761076),(32 49162676),(33 52531904),(34 56045716),(35 59867056),(36 63870740),(37 67910020),(38 71910590),(39 76319030),(40 80587670),(41 85200020),(42 90031300),(43 95601864),(44 100926920),(45 106806780),(46 112780220),(47 118880904),(48 125005976),(49 131383870),(50 137633340),(51 144101010),(52 150675000),(53 157329520),(54 163694530),(55 170493940),(56 176842080),(57 183512910),(58 190525250),(59 197107630),(60 203755780),(61 210825330),(62 217924880),(63 225567060),(64 232808450),(65 240057300),(66 246955260),(67 253804270),(68 260587570),(69 268043950),(70 274993630),(71 282658850),(72 290148450),(73 297964400),(74 305212000),(75 312771800),(76 320269920),(77 327937800),(78 335042720),(79 342379230),
(1 123979),(2 453655.9),(3 982297.7),(4 1683693.3),(5 2531905),(6 3505504),(7 4606444),(8 5777081),(9 7047301),(10 8362805),(11 9767049),(12 11216984),(13 12718449),(14 14245981),(15 15844746),(16 17492020),(17 19214324),(18 21033824),(19 22956364),(20 24965490),(21 26979500),(22 29003308),(23 31086298),(24 33145002),(25 35257856),(26 37382572),(27 39517600),(28 41649510),(29 43748996),(30 45853292),(31 47987936),(32 50054384),(33 52101580),(34 54190164),(35 56368364),(36 58602600),(37 60715124),(38 62782104),(39 64908468),(40 66789516),(41 68750220),(42 70683960),(43 72650060),(44 74649520),(45 76758910),(46 78811660),(47 80929800),(48 83029100),(49 85245620),(50 87511830),(51 89870650),(52 92290504),(53 94817360),(54 97290730),(55 99915580),(56 102327000),(57 104731330),(58 107274440),(59 109620310),(60 112015976),(61 114577640),(62 117003496),(63 119607910),(64 122123440),(65 124670420),(66 127004620),(67 129322240),(68 131523096),(69 133782680),(70 135893150),(71 138161900),(72 140210420),(73 142013380),(74 143694320),(75 145321700),(76 146946320),(77 148547360),(78 150166830),(79 151962340),
(1 144345),(2 526645.2),(3 1128128.6),(4 1935775),(5 2912620.3),(6 4038636),(7 5317420),(8 6699241.5),(9 8203904.5),(10 9782649),(11 11461315),(12 13235427),(13 15116820),(14 17009530),(15 18949016),(16 20961328),(17 22980544),(18 25074592),(19 27163326),(20 29283882),(21 31414304),(22 33531192),(23 35705452),(24 37866050),(25 40069230),(26 42280580),(27 44436124),(28 46650772),(29 48724370),(30 50806484),(31 52942148),(32 55007904),(33 57068780),(34 59125916),(35 61227840),(36 63362176),(37 65526548),(38 67675336),(39 69952390),(40 72086720),(41 74350710),(42 76550120),(43 78836580),(44 81055750),(45 83339720),(46 85629690),(47 88075864),(48 90557120),(49 93071740),(50 95594690),(51 98321380),(52 101061864),(53 103873750),(54 106674410),(55 109486170),(56 112148160),(57 114809800),(58 117507944),(59 119965144),(60 122276520),(61 124634410),(62 126672570),(63 128876710),(64 130931560),(65 133072480),(66 135144320),(67 137136830),(68 138843570),(69 140502990),(70 141921870),(71 143376720),(72 144621810),(73 145748700),(74 146497650),(75 147027650),(76 147527090),(77 148084620),(78 148558720),(79 149092220),
(1 170349.19),(2 631504.7),(3 1360783.8),(4 2352282.5),(5 3539508.5),(6 4897565),(7 6440954.5),(8 8122052.5),(9 9966679),(10 11913762),(11 13991863),(12 16198169),(13 18536392),(14 20857638),(15 23229992),(16 25598248),(17 27942632),(18 30382446),(19 32786902),(20 35357136),(21 37995420),(22 40632520),(23 43319360),(24 45961016),(25 48654390),(26 51280596),(27 53807680),(28 56200520),(29 58417890),(30 60490796),(31 62537124),(32 64349228),(33 66080940),(34 67746520),(35 69333310),(36 70906880),(37 72526770),(38 74194184),(39 75989080),(40 77649900),(41 79275610),(42 80773100),(43 82087000),(44 83231950),(45 84239900),(46 85194360),(47 86107270),(48 87000920),(49 87909150),(50 88753140),(51 89632630),(52 90530824),(53 91454296),(54 92309650),(55 93112370),(56 93765160),(57 94290180),(58 94709830),(59 94887440),(60 94949430),(61 94920060),(62 94663300),(63 94500580),(64 94244600),(65 94011870),(66 93876020),(67 93783720),(68 93548400),(69 93340690),(70 92966104),(71 92694130),(72 92285256),(73 91885700),(74 91428170),(75 90979896),(76 90488620),(77 90112150),(78 89691900),(79 89450990),
(1 160880.05),(2 591177.75),(3 1280788.9),(4 2211217),(5 3307434.3),(6 4549915),(7 5919347),(8 7429498),(9 9057264),(10 10775868),(11 12617068),(12 14559111),(13 16557318),(14 18552834),(15 20581740),(16 22621556),(17 24688142),(18 26768430),(19 28844678),(20 31060632),(21 33317640),(22 35589108),(23 37926196),(24 40246172),(25 42636184),(26 45062180),(27 47466656),(28 49844828),(29 52091204),(30 54213956),(31 56326096),(32 58274830),(33 60153600),(34 61965590),(35 63699516),(36 65396356),(37 66987124),(38 68528350),(39 70064440),(40 71487620),(41 72820000),(42 74060860),(43 75299290),(44 76425430),(45 77382630),(46 78312710),(47 79096930),(48 79858540),(49 80558460),(50 81115620),(51 81831710),(52 82578020),(53 83240264),(54 83845176),(55 84350856),(56 84683920),(57 84989940),(58 85252300),(59 85211980),(60 85193704),(61 85114696),(62 84861010),(63 84669130),(64 84401320),(65 84132310),(66 83793400),(67 83496600),(68 83030730),(69 82541336),(70 81945770),(71 81368660),(72 80619640),(73 79844870),(74 79030584),(75 78156620),(76 77215430),(77 76257280),(78 75248990),(79 74275656),
(1 164445.63),(2 605513),(3 1315762.5),(4 2286460),(5 3486054.5),(6 4884745),(7 6480413),(8 8254285),(9 10193171),(10 12244872),(11 14443651),(12 16754429),(13 19176772),(14 21628676),(15 24074790),(16 26560422),(17 29031258),(18 31489644),(19 33909530),(20 36347450),(21 38808310),(22 41114292),(23 43404260),(24 45547170),(25 47588830),(26 49517376),(27 51280240),(28 52871920),(29 54273868),(30 55460600),(31 56534024),(32 57441612),(33 58164504),(34 58694216),(35 58967680),(36 59149950),(37 59131540),(38 59033324),(39 58886400),(40 58657176),(41 58380692),(42 58014590),(43 57773772),(44 57480584),(45 57146664),(46 56847788),(47 56521324),(48 56268492),(49 55994110),(50 55729830),(51 55563276),(52 55449012),(53 55258750),(54 55068840),(55 54821772),(56 54594828),(57 54363956),(58 54089196),(59 53844360),(60 53625676),(61 53389704),(62 53083290),(63 52800564),(64 52505240),(65 52239224),(66 51992812),(67 51808050),(68 51608010),(69 51434510),(70 51344296),(71 51177324),(72 51000212),(73 50891028),(74 50856700),(75 50781844),(76 50628564),(77 50496756),(78 50477370),(79 50462136),
(1 167671.34),(2 633747.44),(3 1391723.3),(4 2451173),(5 3769471),(6 5326639),(7 7111337),(8 9076146),(9 11226411),(10 13519108),(11 15901317),(12 18461320),(13 21124008),(14 23846596),(15 26657810),(16 29489102),(17 32357600),(18 35266784),(19 38155830),(20 41069450),(21 43928950),(22 46703450),(23 49363324),(24 51873536),(25 54339172),(26 56635876),(27 58766010),(28 60629810),(29 62340076),(30 63846844),(31 65193750),(32 66315816),(33 67227144),(34 68001100),(35 68522616),(36 68956510),(37 69129310),(38 69177630),(39 69127256),(40 68852910),(41 68466510),(42 67930900),(43 67289944),(44 66514840),(45 65648770),(46 64721170),(47 63710844),(48 62582252),(49 61439790),(50 60225870),(51 59016280),(52 57781668),(53 56575960),(54 55380052),(55 54241492),(56 53136836),(57 52035804),(58 51013924),(59 50041108),(60 49188744),(61 48444870),(62 47684700),(63 47013970),(64 46408090),(65 45940132),(66 45526884),(67 45189296),(68 44907860),(69 44689224),(70 44524764),(71 44386050),(72 44257284),(73 44139780),(74 43913904),(75 43704804),(76 43430770),(77 43096964),(78 42789680),(79 42446320),
(1 142916.73),(2 528195.7),(3 1142298.6),(4 1992713.4),(5 3034266.3),(6 4242005.5),(7 5595358),(8 7070241.5),(9 8640492),(10 10308109),(11 12047069),(12 13862572),(13 15735127),(14 17607524),(15 19526580),(16 21431172),(17 23260610),(18 25069770),(19 26753502),(20 28333116),(21 29839620),(22 31238998),(23 32583034),(24 33881556),(25 35145290),(26 36407500),(27 37616560),(28 38745960),(29 39785252),(30 40743972),(31 41706160),(32 42618964),(33 43489844),(34 44418924),(35 45248436),(36 46000108),(37 46661188),(38 47268216),(39 47881140),(40 48470684),(41 49068620),(42 49586004),(43 50122810),(44 50537428),(45 50958600),(46 51305004),(47 51602064),(48 51783850),(49 51823496),(50 51701936),(51 51484504),(52 51176010),(53 50772588),(54 50238210),(55 49624844),(56 48967084),(57 48251896),(58 47564136),(59 46874868),(60 46196760),(61 45539124),(62 44775604),(63 44046960),(64 43319530),(65 42666800),(66 42063910),(67 41458140),(68 40834332),(69 40223280),(70 39629030),(71 39098188),(72 38612484),(73 38142200),(74 37679760),(75 37258120),(76 36827756),(77 36394184),(78 36001936),(79 35630000),
(1 221564.27),(2 807815.56),(3 1744350.6),(4 3046816),(5 4628965.5),(6 6450676),(7 8458348),(8 10617842),(9 12894193),(10 15273801),(11 17734782),(12 20250800),(13 22761966),(14 25210850),(15 27625886),(16 29935688),(17 32038588),(18 34014000),(19 35769840),(20 37238870),(21 38476296),(22 39458730),(23 40243440),(24 40825684),(25 41219876),(26 41496348),(27 41627296),(28 41594000),(29 41448636),(30 41201948),(31 40907292),(32 40559740),(33 40203972),(34 39941516),(35 39664436),(36 39474780),(37 39361484),(38 39289772),(39 39318780),(40 39387852),(41 39541668),(42 39758590),(43 40078348),(44 40447336),(45 40865236),(46 41384456),(47 41979210),(48 42588680),(49 43170596),(50 43700110),(51 44212240),(52 44651896),(53 44993724),(54 45286670),(55 45547450),(56 45709516),(57 45776936),(58 45815424),(59 45752292),(60 45683990),(61 45578772),(62 45396276),(63 45228510),(64 45033016),(65 44832052),(66 44620908),(67 44368656),(68 44053120),(69 43772220),(70 43470480),(71 43143852),(72 42809976),(73 42382640),(74 41913970),(75 41411476),(76 40884610),(77 40311076),(78 39737440),(79 39150976),
(1 249978),(2 925195),(3 2014338.5),(4 3532871),(5 5387849.5),(6 7525529),(7 9894788),(8 12404304),(9 15058900),(10 17777338),(11 20522198),(12 23261670),(13 25844692),(14 28241610),(15 30505216),(16 32501902),(17 34213830),(18 35663420),(19 36776220),(20 37595556),(21 38087280),(22 38320310),(23 38302052),(24 38056692),(25 37636764),(26 37020124),(27 36300530),(28 35485412),(29 34603256),(30 33704188),(31 32860224),(32 32056960),(33 31340526),(34 30713052),(35 30198966),(36 29760296),(37 29439008),(38 29173358),(39 28968104),(40 28868408),(41 28860374),(42 28958494),(43 29151786),(44 29460318),(45 29878994),(46 30399502),(47 31004092),(48 31578552),(49 32084504),(50 32550414),(51 32978056),(52 33334976),(53 33624710),(54 33857600),(55 34038716),(56 34167610),(57 34246692),(58 34281170),(59 34281748),(60 34276124),(61 34254336),(62 34204880),(63 34202510),(64 34154320),(65 34067730),(66 33958840),(67 33809924),(68 33603630),(69 33385578),(70 33143676),(71 32842056),(72 32495848),(73 32092266),(74 31668974),(75 31244814),(76 30839434),(77 30415780),(78 30002696),(79 29579060),
(1 179217.1),(2 657615.06),(3 1417007.8),(4 2476627.3),(5 3761837),(6 5269551),(7 6942785.5),(8 8710019),(9 10556303),(10 12409043),(11 14246935),(12 16035448),(13 17709706),(14 19224336),(15 20648060),(16 21850966),(17 22829350),(18 23610434),(19 24203312),(20 24598946),(21 24862898),(22 24973116),(23 24897976),(24 24703632),(25 24385878),(26 23952832),(27 23447812),(28 22827966),(29 22182822),(30 21512520),(31 20863824),(32 20256490),(33 19687038),(34 19123482),(35 18659366),(36 18228080),(37 17859070),(38 17514998),(39 17178282),(40 16885868),(41 16629252),(42 16422216),(43 16256546),(44 16142769),(45 16096008),(46 16089897),(47 16097958),(48 16127096),(49 16219919),(50 16333929),(51 16465638),(52 16595535),(53 16740597),(54 16906442),(55 17102004),(56 17297588),(57 17502338),(58 17700614),(59 17939268),(60 18223210),(61 18534150),(62 18878294),(63 19213516),(64 19561984),(65 19894612),(66 20224100),(67 20556548),(68 20868484),(69 21188336),(70 21512958),(71 21816290),(72 22124662),(73 22455184),(74 22783092),(75 23114590),(76 23448190),(77 23779856),(78 24124788),(79 24436250),
