1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 19017.395),(2 27662.42),(3 29835.771),(4 30131.223),(5 30999.445),(6 32330.385),(7 32758.418),(8 33923.793),(9 34202.55),(10 34957.875),(11 35016.87),(12 35376.06),(13 35762.418),(14 36364.17),(15 36460.29),(16 36132.87),(17 36386.766),(18 37623.723),(19 37690.664),(20 38084.883),(21 38452.547),(22 39263.125),(23 39969.38),(24 39985.844),(25 40528.38),(26 40953.23),(27 41237.313),(28 40741.492),(29 40229.992),(30 40765.46),(31 41815.5),(32 42713.035),(33 42661.77),(34 42057.984),(35 41761.34),(36 42489.61),(37 42594.273),(38 42313.652),(39 42590.12),(40 42412.8),(41 42341.363),(42 42192.79),(43 41629.242),(44 41417.664),(45 40532.06),(46 41003.18),(47 40861.83),(48 40615.14),(49 41459.016),(50 40596.18),(51 41167.98),(52 41047.387),(53 41284.89),(54 41913.813),(55 42176.074),(56 41784.55),(57 41886.555),(58 42896.3),(59 43127.12),(60 42599.45),(61 41379.32),(62 41483.32),(63 41877.465),(64 42137.96),(65 42375.465),(66 42484.28),(67 43418.945),(68 43522.223),(69 42964.152),(70 42565.438),(71 42792.15),(72 43474.305),(73 43613.402),(74 42930.32),(75 43264.063),(76 43161.227),(77 43281.67),(78 44425.813),(79 44291.05),
(1 18555.27),(2 26712.844),(3 28647.508),(4 28686.234),(5 29161.273),(6 29950.66),(7 30719.152),(8 31703.271),(9 31943.662),(10 31904.123),(11 32286.79),(12 32109.146),(13 32893.88),(14 33930.684),(15 34139.53),(16 33933.91),(17 33849.41),(18 35087.875),(19 35282.027),(20 35230.375),(21 35554.51),(22 36427.895),(23 36727.945),(24 36193.945),(25 36446.75),(26 37145.254),(27 37551.95),(28 37207.58),(29 36880.96),(30 37007.957),(31 37555.926),(32 37674.773),(33 37213.727),(34 37083.527),(35 37395.72),(36 37716.453),(37 37626.855),(38 37846.59),(39 38716.652),(40 38566.332),(41 38495.996),(42 39040.707),(43 38981.78),(44 38588.207),(45 38149.15),(46 38945.688),(47 39100.12),(48 38102.703),(49 38344.95),(50 38413.473),(51 38681.473),(52 38815.83),(53 38755.23),(54 38977.027),(55 38972.664),(56 38757.43),(57 38086.207),(58 38710.285),(59 39521.066),(60 39117.67),(61 39002.688),(62 38609.527),(63 39033.027),(64 38996.004),(65 39306.617),(66 39218.93),(67 39792.098),(68 40668.453),(69 40182.18),(70 39899.688),(71 40150.258),(72 40121.836),(73 40591.02),(74 40310.613),(75 40519.363),(76 40480.99),(77 40652.56),(78 41547.57),(79 41301.406),
(1 17540.582),(2 25901.89),(3 27880.5),(4 27752.309),(5 28222.225),(6 28805.822),(7 29951.496),(8 31118.344),(9 31626.328),(10 31431.982),(11 31853.12),(12 32259.754),(13 33198.754),(14 33593.668),(15 34111.074),(16 33706.77),(17 34170.875),(18 34999.56),(19 35424.78),(20 35508.848),(21 36029.77),(22 36925.07),(23 37143.62),(24 36596.645),(25 36856.105),(26 37052.188),(27 36993.414),(28 36481.184),(29 36190.035),(30 36718.88),(31 36739.527),(32 36722.785),(33 36214.86),(34 36687.42),(35 37143.438),(36 36890.652),(37 37460.805),(38 36916.52),(39 36789.297),(40 36568.65),(41 36512.19),(42 37588.82),(43 38094.984),(44 37931.617),(45 37556.78),(46 38133.53),(47 38755.813),(48 38068.645),(49 38643.066),(50 38797.875),(51 39120.707),(52 38960.91),(53 38966.293),(54 39714.336),(55 39458.715),(56 39745.066),(57 39512.38),(58 40087.42),(59 40944.254),(60 40065.75),(61 39884.438),(62 39804.17),(63 39980.637),(64 40224.793),(65 40623.52),(66 40538.367),(67 41182.63),(68 41493.2),(69 40848.863),(70 40299.41),(71 40321.42),(72 40552.402),(73 41252.81),(74 40662.953),(75 40453.457),(76 40250.844),(77 39846.957),(78 40378.938),(79 40766.438),
(1 16979.12),(2 24768.904),(3 26638.053),(4 26605.988),(5 27208.174),(6 27501.607),(7 28637.996),(8 30179.277),(9 30857.041),(10 30950.479),(11 30822.223),(12 30840.582),(13 32088.74),(14 32702.826),(15 32622.205),(16 33258.465),(17 33783.953),(18 34588.215),(19 34580.285),(20 35440.02),(21 35202.926),(22 34917.68),(23 35210.152),(24 35335.19),(25 35714.83),(26 36322.58),(27 36201.48),(28 35860.273),(29 35510.04),(30 36147.58),(31 35724.04),(32 36004.47),(33 35819.242),(34 35186.875),(35 35127.453),(36 34763.324),(37 35333.926),(38 34889.465),(39 34999.664),(40 34738.215),(41 34465.105),(42 34461.12),(43 34459.64),(44 34911.348),(45 34972.28),(46 35007.355),(47 34952.426),(48 35086.566),(49 35900.9),(50 35450.47),(51 35616.164),(52 36236.62),(53 36533.555),(54 36980.54),(55 36346.71),(56 36882),(57 36880.47),(58 36887.348),(59 36986.28),(60 36670.063),(61 36097.918),(62 35882.773),(63 36533.26),(64 37127.867),(65 37473.09),(66 37466.637),(67 36892.773),(68 37594.785),(69 37540.934),(70 37619.273),(71 37745.066),(72 36972.367),(73 37338.56),(74 36781.055),(75 37034.625),(76 36994.344),(77 36888.42),(78 36808.56),(79 37210.844),
(1 17114.654),(2 23987.793),(3 25638.975),(4 26231.264),(5 27153.69),(6 27201.084),(7 28292.902),(8 29536.848),(9 29436.896),(10 30091.727),(11 29727.693),(12 30446.572),(13 31906.81),(14 32249.164),(15 32114.104),(16 32278.598),(17 32433.324),(18 33349.01),(19 33710.73),(20 34187.977),(21 33679.6),(22 33427.25),(23 33880.77),(24 34368.35),(25 34767.977),(26 35066.43),(27 34739.2),(28 34021),(29 34286.746),(30 35197.617),(31 34610.793),(32 34403.56),(33 34415.516),(34 34638.5),(35 34788.805),(36 33616.152),(37 34324.824),(38 33975.668),(39 34838.848),(40 34676.844),(41 34699.52),(42 34019.46),(43 34773.418),(44 34940.434),(45 35181.44),(46 34640.063),(47 34427.992),(48 34706.105),(49 35683.19),(50 35533.555),(51 35942.496),(52 36229.715),(53 36482.563),(54 36550.906),(55 36715.77),(56 36016.83),(57 35679.57),(58 36229.8),(59 36138.008),(60 34950.543),(61 35719.77),(62 35382.574),(63 35759.242),(64 35423.613),(65 35361.25),(66 35783.39),(67 35488.09),(68 36070.785),(69 35831.617),(70 35927.777),(71 36196.305),(72 36355.76),(73 36000.37),(74 35564.375),(75 35958.55),(76 35499.168),(77 34970.406),(78 35524.43),(79 35793.277),
(1 16276.317),(2 22632.215),(3 23914.297),(4 24755.652),(5 25586.742),(6 25701.098),(7 26420.766),(8 27137.326),(9 27871.307),(10 28040.475),(11 28044.494),(12 28005.143),(13 29876.816),(14 29805.977),(15 30381.555),(16 30330.2),(17 30171.545),(18 30492.543),(19 31396.271),(20 31702.205),(21 31291.885),(22 31511.582),(23 32283.05),(24 33025.074),(25 33205.78),(26 33077.766),(27 32664.148),(28 31902.242),(29 31817.643),(30 32575.963),(31 32216.89),(32 32466.05),(33 32921.15),(34 33518.125),(35 34294.1),(36 33563.637),(37 34475.477),(38 34156.637),(39 34137.79),(40 33815.32),(41 33987.293),(42 34680.188),(43 34797.31),(44 34525.824),(45 34069.72),(46 34191.152),(47 34455.65),(48 33893.95),(49 34559.59),(50 34579.59),(51 34864.863),(52 34634.426),(53 34797.406),(54 35426.938),(55 35073.68),(56 34730.984),(57 34696.105),(58 34959.863),(59 34967.992),(60 34213.74),(61 34371.234),(62 34417.63),(63 34848.29),(64 34551.453),(65 34804.145),(66 34763.156),(67 34321.035),(68 34677.61),(69 34581.93),(70 34105.547),(71 33867.984),(72 33251.96),(73 33564.27),(74 33716.93),(75 33876.957),(76 33479.57),(77 33227.77),(78 33296.652),(79 33262.055),
(1 15837.446),(2 22095.426),(3 23866.625),(4 23504.672),(5 24135.348),(6 24651.805),(7 25651.918),(8 26192.387),(9 26415.906),(10 26607.998),(11 27104.115),(12 26858.234),(13 28560.215),(14 28498.986),(15 29051.242),(16 28974.313),(17 28847.912),(18 29140.125),(19 30228.902),(20 30434.014),(21 30568.62),(22 30677.088),(23 31642.586),(24 31619.268),(25 31149.56),(26 31159.713),(27 31371.635),(28 30905.855),(29 31040.822),(30 31946.988),(31 31549.754),(32 32306.873),(33 32771.79),(34 32628.727),(35 32370.72),(36 32335.627),(37 32584.434),(38 32304.525),(39 31951.215),(40 31691.262),(41 31362.96),(42 31967.469),(43 32382.352),(44 32469.48),(45 31304.38),(46 31506.951),(47 32022.998),(48 32536.838),(49 32524.3),(50 32625.252),(51 33107.418),(52 33051.973),(53 33380.74),(54 33587.016),(55 33311.83),(56 33623.4),(57 33135.902),(58 33215.27),(59 32925.094),(60 32760.168),(61 32909.703),(62 32721.354),(63 32816.84),(64 32453.354),(65 32781.61),(66 33466.223),(67 32456.145),(68 32855.91),(69 33238.547),(70 32389.625),(71 31914.715),(72 31281.271),(73 32141.547),(74 31638.389),(75 31836.871),(76 31304.828),(77 31219.367),(78 31766.072),(79 31981.973),
(1 15688.337),(2 21839.39),(3 23197.402),(4 23159.297),(5 23627.885),(6 23678.076),(7 25136.455),(8 25947.982),(9 25675.098),(10 26160.037),(11 26901.486),(12 26786.293),(13 27774.973),(14 27758.633),(15 27943.822),(16 27995.93),(17 28223.877),(18 28040.502),(19 28602.242),(20 29511.295),(21 29124.396),(22 28679),(23 29029.633),(24 29073.691),(25 29586.393),(26 29714.887),(27 29935.809),(28 29753.955),(29 30174.662),(30 31083.719),(31 31132.338),(32 30873.148),(33 31561.32),(34 31895.936),(35 31549.002),(36 31507.23),(37 31988.225),(38 32209.154),(39 32160.262),(40 31724.898),(41 31352.896),(42 31756.932),(43 31932.129),(44 31917.93),(45 30884.133),(46 30702.994),(47 30933.326),(48 30649.576),(49 31011.045),(50 30965.053),(51 31617.322),(52 31464.342),(53 31282.957),(54 31455.598),(55 31263.732),(56 31104.494),(57 31107.293),(58 31208.023),(59 31363.986),(60 31103.39),(61 31754.91),(62 30887.64),(63 31524.633),(64 31652.887),(65 31556.607),(66 31722.383),(67 31345.576),(68 31966.52),(69 32113.354),(70 32149.531),(71 31552.857),(72 31582.691),(73 32194.658),(74 31685.871),(75 31808.412),(76 31198.758),(77 31241.838),(78 31493.047),(79 31745.482),
(1 15048.7295),(2 20781.705),(3 22318.375),(4 22146.752),(5 22920.45),(6 23196.291),(7 24213.08),(8 24366.404),(9 24664.826),(10 25662.04),(11 26390.02),(12 26133.959),(13 27337.096),(14 26573.758),(15 27165.826),(16 27619.129),(17 28025.18),(18 27740.059),(19 28907.045),(20 29075.115),(21 29064.318),(22 28880.318),(23 29472.494),(24 29215.857),(25 29498.994),(26 29071.55),(27 29834.39),(28 29527.033),(29 29859.447),(30 30121.008),(31 30302.553),(32 30410.207),(33 30473.033),(34 30508.955),(35 30609.277),(36 30145.404),(37 30587.057),(38 30759.924),(39 30738.648),(40 30279.66),(41 30048.836),(42 30250.137),(43 30419.246),(44 29770.396),(45 29302.742),(46 29672.07),(47 29911.37),(48 29810.617),(49 30453.963),(50 30226.43),(51 30681.182),(52 30424.332),(53 30143.826),(54 30335.385),(55 30467.428),(56 30577.07),(57 29729.605),(58 29765.998),(59 29874.098),(60 29752.973),(61 30048.576),(62 29421.44),(63 29253.74),(64 29516.838),(65 29526.701),(66 29190.414),(67 29474.664),(68 29968.748),(69 29920.291),(70 29799.98),(71 29430.219),(72 29204.072),(73 29892.52),(74 30065.305),(75 30066.135),(76 29758.402),(77 29524.902),(78 29831.664),(79 29948.297),
(1 15329.705),(2 21054.37),(3 21671.51),(4 21755.512),(5 22704.969),(6 23139.455),(7 24303.395),(8 24829.105),(9 24539.379),(10 25240.059),(11 26250.38),(12 26348.773),(13 26557.545),(14 26577.129),(15 26971.064),(16 27275.756),(17 27542.768),(18 27792.285),(19 28688.223),(20 29408.918),(21 28999.621),(22 28903.043),(23 29684.498),(24 29454.016),(25 29881.037),(26 29568.693),(27 30053.244),(28 29798.977),(29 29699.178),(30 30109.363),(31 29598.965),(32 30257.89),(33 30029.904),(34 29700.111),(35 29736.51),(36 29420.814),(37 29926.777),(38 30107.91),(39 30137.254),(40 29509.723),(41 29478.74),(42 29659.145),(43 29932.6),(44 29594.338),(45 29219.023),(46 29253.186),(47 29307.252),(48 29306.42),(49 29766.344),(50 29422.21),(51 30152.912),(52 29925.09),(53 29694.104),(54 29555.695),(55 29793.555),(56 30251.506),(57 29533.047),(58 29772.383),(59 29939.96),(60 29574.47),(61 29726.117),(62 29192.555),(63 29456.45),(64 29063.154),(65 28963.38),(66 29306.932),(67 29067.006),(68 29262.404),(69 29332.01),(70 29517.08),(71 29390.498),(72 29463.3),(73 29087.926),(74 28988.158),(75 29538.27),(76 28985.71),(77 28475.188),(78 28760.695),(79 29186.127),
(1 14285.872),(2 19874.268),(3 20737.154),(4 20472.264),(5 21395.871),(6 22179.426),(7 23092.29),(8 23759.309),(9 23407.166),(10 23642.44),(11 24429.705),(12 24023.32),(13 24703.7),(14 25259.652),(15 25842.438),(16 26096.691),(17 26359.3),(18 26609.115),(19 27210.316),(20 27548.238),(21 27578.861),(22 27556.488),(23 28060.574),(24 27977.256),(25 28089.453),(26 27629.992),(27 28072.938),(28 27712.041),(29 27911.893),(30 28529.492),(31 28012.488),(32 28131.672),(33 27911.775),(34 27967.76),(35 27839.703),(36 27326.959),(37 27858.02),(38 28187.219),(39 28080.35),(40 27682.508),(41 27560.643),(42 27799.598),(43 27210.652),(44 27288.307),(45 27095.576),(46 27448.357),(47 27339.703),(48 26854.93),(49 27707.945),(50 27654.7),(51 27847.625),(52 27879.488),(53 27845.293),(54 27943.389),(55 28138.049),(56 28189.256),(57 28039.102),(58 28067.055),(59 28084.967),(60 27809.645),(61 28094.781),(62 28396.012),(63 28740.48),(64 28101.234),(65 27951.883),(66 27951.398),(67 27893.793),(68 28057.22),(69 27811.205),(70 27663.855),(71 27549.623),(72 27398.78),(73 27572.725),(74 27736.824),(75 28011.926),(76 27340.629),(77 27105.746),(78 26618.93),(79 26996.035),
(1 13390.249),(2 18343.512),(3 19433.87),(4 19081.748),(5 20047.016),(6 20826.736),(7 21717.45),(8 22478.063),(9 22297.826),(10 22833.248),(11 23601.305),(12 23520.783),(13 23831.873),(14 24246.256),(15 24931.082),(16 25066.184),(17 25452.893),(18 25678.81),(19 26442.412),(20 26476.336),(21 26278.92),(22 26613.654),(23 27167.918),(24 26790.664),(25 26271.857),(26 26728.846),(27 26750.54),(28 26712.734),(29 26526.002),(30 26947.725),(31 27209.225),(32 27269.434),(33 27326.012),(34 27851.363),(35 27636.006),(36 27102.09),(37 27207.305),(38 27147.34),(39 27218.242),(40 26252.48),(41 25852.295),(42 26463.22),(43 26411.338),(44 26377.703),(45 26344.92),(46 26224.986),(47 26166.59),(48 26557.354),(49 26889.082),(50 26518.77),(51 26859.998),(52 27013.387),(53 26962.1),(54 26466.31),(55 26550.021),(56 26609.654),(57 26084.283),(58 26057.17),(59 25997.791),(60 26023.041),(61 26464.088),(62 26151.58),(63 26412.615),(64 26058.81),(65 26145.572),(66 26524.182),(67 26060.709),(68 26177.863),(69 26129.266),(70 26055.656),(71 25741.703),(72 25130.934),(73 25711.418),(74 26101.705),(75 26064.857),(76 25934.69),(77 25885.035),(78 25928.78),(79 26041.041),
(1 12509.617),(2 17984.203),(3 18602.252),(4 18884.832),(5 19409.94),(6 19955.643),(7 20568.8),(8 21555.156),(9 21335.736),(10 21477.19),(11 22239.713),(12 22369.908),(13 22633.791),(14 23102.445),(15 23883.674),(16 23861.014),(17 23979.379),(18 24288.752),(19 24798.846),(20 25188.393),(21 24994.07),(22 25463.584),(23 25915.8),(24 25631.113),(25 25634.234),(26 26242.91),(27 26538.28),(28 26099.139),(29 26058.709),(30 26584.02),(31 27148.53),(32 27517.113),(33 27221.465),(34 27484.09),(35 27391.578),(36 27109.754),(37 27173.838),(38 27093.797),(39 27095.822),(40 26472.586),(41 26188.59),(42 26444.97),(43 26245.084),(44 26395.1),(45 26050.36),(46 26037.5),(47 26105.803),(48 25934.918),(49 26456.27),(50 26153.607),(51 26064.252),(52 25813.76),(53 25760.104),(54 25876.09),(55 26079.656),(56 26244.248),(57 25716.324),(58 25347.564),(59 25222.262),(60 24554.064),(61 25454.713),(62 25479.443),(63 25112.154),(64 24990.994),(65 24925.822),(66 25737.162),(67 24941.176),(68 25432.549),(69 25249.53),(70 25161.55),(71 24876.1),(72 24039.81),(73 24701.865),(74 24563.262),(75 25052.443),(76 24893.266),(77 24718.186),(78 24064.068),(79 24559.617),
(1 12333.365),(2 17049.97),(3 17638.494),(4 17736.68),(5 18620.625),(6 19533.793),(7 20211.773),(8 20342.7),(9 20003.063),(10 20276.97),(11 21195.87),(12 21493.502),(13 21417.295),(14 21382.205),(15 22231.31),(16 22256.068),(17 22256.201),(18 22917.623),(19 23108.178),(20 23233.094),(21 23391.28),(22 23648.152),(23 24148.578),(24 24134.232),(25 23633.713),(26 23693.49),(27 23869.152),(28 23495.46),(29 23335.055),(30 24354.902),(31 24171.607),(32 24525.762),(33 24926.469),(34 25291.771),(35 25569.229),(36 25247.754),(37 26058.816),(38 26010.553),(39 25959.531),(40 25425.61),(41 25099.633),(42 25354.459),(43 25570.215),(44 25555.055),(45 25464.055),(46 25551.328),(47 25801.375),(48 25519.951),(49 26099.963),(50 25206.328),(51 25194.549),(52 25058.283),(53 24728.129),(54 24813.154),(55 24569.33),(56 24870.102),(57 24563.209),(58 24102.637),(59 24125.684),(60 23776.385),(61 24209.443),(62 24030.652),(63 23795.785),(64 23373.902),(65 23490.785),(66 23874.549),(67 23555.252),(68 23724.574),(69 23843.86),(70 23521.836),(71 23169.934),(72 22768.645),(73 23270.021),(74 23161.32),(75 23575.46),(76 23047.115),(77 22936.008),(78 22993.105),(79 23414.379),
(1 12084.168),(2 16534.326),(3 17262.072),(4 17202.62),(5 17991.959),(6 18722.346),(7 19553.254),(8 20144.338),(9 19771.393),(10 20026.713),(11 20988.998),(12 20823.49),(13 20864.758),(14 20828.521),(15 21377.705),(16 21707.463),(17 21447.922),(18 22302.068),(19 22922.803),(20 23140.596),(21 22788.69),(22 23255.584),(23 23360.203),(24 23029.742),(25 22985.023),(26 22938.54),(27 23066.24),(28 22894.463),(29 22684.518),(30 22430.709),(31 22568.072),(32 22697.307),(33 22872.729),(34 22779.463),(35 23081.234),(36 22818.813),(37 23691.838),(38 23652.092),(39 23666.764),(40 22920.662),(41 22676.146),(42 22956.783),(43 23136.553),(44 22937.701),(45 22978.729),(46 22925.549),(47 23151.773),(48 23153.377),(49 23677.328),(50 23435.174),(51 23627.156),(52 23459.883),(53 23325.432),(54 23423.045),(55 23745.563),(56 24064.547),(57 23719.713),(58 23599.049),(59 23317.12),(60 22913.13),(61 23447.928),(62 23200.01),(63 23234.768),(64 22975.4),(65 22896.268),(66 23505.844),(67 23028.701),(68 22969.111),(69 23007.135),(70 22885.615),(71 22833.063),(72 22246.814),(73 22859.893),(74 22640.764),(75 23110.47),(76 22673.588),(77 22558.416),(78 22752.303),(79 22687.875),
(1 12152.796),(2 16508.494),(3 17277.29),(4 17192.008),(5 17882.875),(6 18296.889),(7 19382.33),(8 19364.092),(9 19376.545),(10 19491.363),(11 20018.625),(12 20262.613),(13 20409.262),(14 20371.918),(15 20781.105),(16 20689.232),(17 20269.23),(18 20920.672),(19 21407.338),(20 21550.62),(21 21180.326),(22 21649.73),(23 21943.166),(24 21712.502),(25 21815.467),(26 21778.531),(27 21732.2),(28 21531.014),(29 21594.527),(30 21602.875),(31 21740.592),(32 21894.99),(33 22039.457),(34 21764.36),(35 22072.053),(36 21866.107),(37 22288.207),(38 22414.418),(39 22222.21),(40 21856.549),(41 21893.197),(42 22111.816),(43 22208.328),(44 22434.27),(45 22042.996),(46 22155.44),(47 22135.1),(48 22049.152),(49 22320.629),(50 22449.314),(51 22344.36),(52 22597.445),(53 22524.254),(54 22740.625),(55 22886.928),(56 23084.543),(57 22933.482),(58 23068.207),(59 22729.03),(60 22396.36),(61 23177.436),(62 22787.322),(63 22860.45),(64 22635.777),(65 22762.674),(66 23151.857),(67 23056.777),(68 22962.555),(69 22865.977),(70 22944.291),(71 22921.725),(72 22563.688),(73 22820.44),(74 22598.248),(75 22775.117),(76 22620.756),(77 22909.531),(78 22676.174),(79 22476.018),
(1 11327.147),(2 15632.25),(3 16108.505),(4 16305.782),(5 16976.984),(6 17338.576),(7 17829.266),(8 18422.291),(9 18488.184),(10 18729.992),(11 19387.4),(12 19660.365),(13 19427.086),(14 19485.553),(15 19844.615),(16 19711.857),(17 19466.672),(18 20111.78),(19 20748.332),(20 20554.693),(21 20236.596),(22 20523.541),(23 20797.424),(24 20672.33),(25 20749.719),(26 20626.203),(27 21015.326),(28 20686.617),(29 20687.291),(30 21069.943),(31 20882.463),(32 20903.766),(33 20810.543),(34 21201.555),(35 21262.117),(36 21065.344),(37 21167.053),(38 21581.184),(39 21502.316),(40 21069.066),(41 20993.633),(42 21406.252),(43 21790.082),(44 21894.754),(45 21278.332),(46 21537.48),(47 21340.824),(48 21329.688),(49 21895.01),(50 21452.314),(51 21428.057),(52 20882.154),(53 21019.389),(54 21184.139),(55 21831.35),(56 21950.137),(57 21820.174),(58 22148.795),(59 22027.395),(60 21693.49),(61 21898.918),(62 22081.459),(63 22091.664),(64 21722.006),(65 21577.646),(66 21668.818),(67 21448.19),(68 21837.766),(69 21644.574),(70 22081.607),(71 22037.773),(72 21816.174),(73 21944.69),(74 21810.13),(75 21828.785),(76 21399.48),(77 21194.336),(78 20761.258),(79 20754.59),
(1 11033.053),(2 14626.483),(3 15472.316),(4 15552.621),(5 16614.348),(6 16652.12),(7 16981.49),(8 17647.691),(9 17599.889),(10 17806.451),(11 18127.852),(12 18312.21),(13 18505.588),(14 18681.904),(15 18531.727),(16 18630.21),(17 18407.563),(18 19275.172),(19 19609.326),(20 19477.24),(21 19564.756),(22 19827.336),(23 20005.082),(24 19727.557),(25 19939.41),(26 19889.66),(27 19760.764),(28 19750.701),(29 19671.777),(30 19683.082),(31 20121.303),(32 20060.607),(33 20010.943),(34 20261.52),(35 20557.254),(36 20287.957),(37 20441.502),(38 20356.41),(39 20176.31),(40 20104.28),(41 19938.076),(42 20136.82),(43 20393.473),(44 20390.602),(45 19955.477),(46 20101.408),(47 19955.11),(48 20129.111),(49 20420.035),(50 20383.475),(51 20591.559),(52 20143.068),(53 20265.064),(54 20691.777),(55 21064.719),(56 20913.527),(57 20572.84),(58 20633.611),(59 20554.668),(60 20118.035),(61 20332.781),(62 20438.168),(63 20712.764),(64 20497.36),(65 20553.043),(66 21086.842),(67 20795.373),(68 20551.504),(69 20218.38),(70 20517.664),(71 20801.914),(72 20210.582),(73 20302.158),(74 20525.998),(75 20358.848),(76 20122.443),(77 20216.799),(78 19937.39),(79 19859.34),
