1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 89102.02),(2 315194.3),(3 630956.3),(4 1013582.94),(5 1410893.5),(6 1867401.6),(7 2329679.3),(8 2733127.8),(9 3032591.3),(10 3299556),(11 3554622.8),(12 3904032),(13 4355074),(14 4886665.5),(15 5415057.5),(16 5942387.5),(17 6533862),(18 7052522.5),(19 7569811.5),(20 7933914.5),(21 8210248),(22 8295641.5),(23 8373144.5),(24 8425420),(25 8671425),(26 9001905),(27 9367571),(28 9795100),(29 10239081),(30 10726045),(31 11139531),(32 11492772),(33 11671289),(34 11740455),(35 11759780),(36 11748467),(37 11734640),(38 11763309),(39 11804053),(40 11775856),(41 11733080),(42 11698437),(43 11708125),(44 11580997),(45 11463127),(46 11261837),(47 11012031),(48 10745560),(49 10442671),(50 10186489),(51 10030701),(52 10042473),(53 10083641),(54 10151999),(55 10202923),(56 10291908),(57 10392111),(58 10464894),(59 10588323),(60 10854931),(61 11194533),(62 11699445),(63 12333359),(64 13092972),(65 13917280),(66 14869723),(67 15941175),(68 17060192),(69 18213422),(70 19503474),(71 20799556),(72 22044158),(73 23198752),(74 24428878),(75 25589358),(76 26824768),(77 28131718),(78 29575726),(79 31069320),
(1 119302.61),(2 418463.25),(3 822453.25),(4 1327915.1),(5 1926236.6),(6 2611403.5),(7 3351130),(8 4042895.3),(9 4693839),(10 5301179),(11 5933885.5),(12 6596079),(13 7289122.5),(14 7957028),(15 8579704),(16 9166438),(17 9721536),(18 10225466),(19 10669213),(20 11023520),(21 11314134),(22 11545426),(23 11777419),(24 12059782),(25 12437517),(26 12929179),(27 13439776),(28 13956661),(29 14450794),(30 14998061),(31 15555541),(32 16173949),(33 16643498),(34 16966452),(35 17229036),(36 17479774),(37 17813052),(38 18194452),(39 18633928),(40 18922772),(41 19072780),(42 19205908),(43 19270698),(44 19159948),(45 18957734),(46 18702480),(47 18332190),(48 18025568),(49 17833132),(50 17810484),(51 17841004),(52 18070374),(53 18421618),(54 18855708),(55 19369232),(56 19966944),(57 20583392),(58 21203014),(59 21964384),(60 22867874),(61 23734116),(62 24782788),(63 26040244),(64 27436454),(65 28807072),(66 30352060),(67 32173526),(68 34107140),(69 36072108),(70 38020270),(71 39874868),(72 41657110),(73 43480556),(74 45493656),(75 47568310),(76 49621830),(77 51656948),(78 53661932),(79 55932684),
(1 116532.75),(2 410705.88),(3 813386),(4 1289074.8),(5 1786470),(6 2293569.8),(7 2801659),(8 3273528.8),(9 3665443.3),(10 4007327.3),(11 4354540.5),(12 4736550.5),(13 5172268.5),(14 5577316.5),(15 5952497.5),(16 6265548),(17 6578642.5),(18 6873994),(19 7212696),(20 7607834),(21 8060832),(22 8543403),(23 9049432),(24 9554919),(25 10042099),(26 10558127),(27 11004623),(28 11396448),(29 11725597),(30 12077957),(31 12437979),(32 12801395),(33 13094141),(34 13228271),(35 13327519),(36 13404096),(37 13506821),(38 13669597),(39 13902381),(40 14104104),(41 14297385),(42 14457349),(43 14518299),(44 14461345),(45 14327695),(46 14102137),(47 13768221),(48 13531285),(49 13424165),(50 13516473),(51 13711976),(52 14006767),(53 14444395),(54 15008395),(55 15749265),(56 16484156),(57 17253758),(58 18100162),(59 19109186),(60 20316026),(61 21548462),(62 22877606),(63 24356638),(64 25965942),(65 27521528),(66 29149912),(67 30887990),(68 32664168),(69 34511292),(70 36403616),(71 38164276),(72 39883228),(73 41650740),(74 43424548),(75 45062270),(76 46534676),(77 48110676),(78 49685056),(79 51172780),
(1 125198.445),(2 453428.22),(3 930714.75),(4 1509367.8),(5 2115479.5),(6 2755287.5),(7 3418936),(8 4074909),(9 4682510),(10 5221666),(11 5700906.5),(12 6140208),(13 6645303),(14 7183573.5),(15 7719553),(16 8167279),(17 8626382),(18 9026198),(19 9391707),(20 9708403),(21 10026612),(22 10355927),(23 10700812),(24 11088455),(25 11523484),(26 11991004),(27 12475245),(28 12945497),(29 13301863),(30 13572940),(31 13774414),(32 13931808),(33 13934667),(34 13782496),(35 13546560),(36 13335568),(37 13168671),(38 13096163),(39 13142332),(40 13304711),(41 13471851),(42 13586099),(43 13717229),(44 13861364),(45 14045135),(46 14137791),(47 14225296),(48 14376265),(49 14557455),(50 14784652),(51 15033676),(52 15307330),(53 15596078),(54 15888932),(55 16220668),(56 16578183),(57 16992078),(58 17453352),(59 18018312),(60 18702920),(61 19474816),(62 20270286),(63 21157102),(64 22121778),(65 23136352),(66 24195676),(67 25259722),(68 26244640),(69 27243170),(70 28322176),(71 29305864),(72 30187708),(73 30921820),(74 31594290),(75 32256548),(76 32776832),(77 33204882),(78 33613196),(79 34042740),
(1 121603.41),(2 430451.88),(3 857761.44),(4 1334981.9),(5 1817180),(6 2313208.8),(7 2802640),(8 3288217.8),(9 3776987.8),(10 4263592.5),(11 4733848),(12 5176366),(13 5592568.5),(14 5996374),(15 6368889.5),(16 6711479.5),(17 7043357),(18 7401128.5),(19 7759311.5),(20 8081534.5),(21 8400468),(22 8732835),(23 9035656),(24 9298497),(25 9587172),(26 9926154),(27 10359931),(28 10891623),(29 11456399),(30 12006097),(31 12558214),(32 13064457),(33 13452713),(34 13785178),(35 14134500),(36 14532897),(37 14969952),(38 15530115),(39 16192762),(40 16901206),(41 17543046),(42 18155392),(43 18774370),(44 19365176),(45 20038776),(46 20610528),(47 21127496),(48 21691192),(49 22236440),(50 22719712),(51 23165998),(52 23582440),(53 23969072),(54 24456544),(55 24955502),(56 25438168),(57 25894760),(58 26450466),(59 27160494),(60 27884032),(61 28551720),(62 29212532),(63 29876468),(64 30394590),(65 30817754),(66 31174082),(67 31437184),(68 31651314),(69 31812736),(70 31980456),(71 32174072),(72 32214464),(73 32069086),(74 31864136),(75 31692454),(76 31503474),(77 31254630),(78 31045132),(79 30878456),
(1 153583.72),(2 554112.56),(3 1122144.6),(4 1797452.8),(5 2547701),(6 3338699),(7 4137007.5),(8 4946182.5),(9 5749581.5),(10 6568695.5),(11 7399306.5),(12 8167805),(13 8900857),(14 9594562),(15 10232118),(16 10836202),(17 11399804),(18 11933286),(19 12376526),(20 12682278),(21 12871493),(22 13006506),(23 13114513),(24 13243541),(25 13425520),(26 13660614),(27 13968358),(28 14388074),(29 14902195),(30 15509194),(31 16216328),(32 16917150),(33 17548988),(34 18163908),(35 18785424),(36 19407240),(37 19988980),(38 20650898),(39 21432102),(40 22282404),(41 23135990),(42 24089372),(43 25031146),(44 25884384),(45 26722252),(46 27503412),(47 28188538),(48 28857040),(49 29537900),(50 30106036),(51 30604620),(52 30997178),(53 31350640),(54 31735978),(55 32025868),(56 32299974),(57 32518656),(58 32713856),(59 32855648),(60 32886106),(61 32859468),(62 32947478),(63 33033772),(64 33055028),(65 33013206),(66 33003814),(67 33005600),(68 33067264),(69 33160288),(70 33229830),(71 33241626),(72 33188208),(73 33118534),(74 32937612),(75 32641932),(76 32260044),(77 31821958),(78 31425260),(79 31049696),
(1 184264.86),(2 695062.9),(3 1446791.3),(4 2369784.5),(5 3392638.8),(6 4497037.5),(7 5624010.5),(8 6725590),(9 7788626.5),(10 8794975),(11 9757010),(12 10670998),(13 11509958),(14 12299772),(15 13029472),(16 13734169),(17 14431845),(18 15057968),(19 15564750),(20 15919446),(21 16113908),(22 16226810),(23 16284433),(24 16304544),(25 16292148),(26 16308432),(27 16379292),(28 16591433),(29 16935166),(30 17412236),(31 17994338),(32 18557760),(33 19016938),(34 19337262),(35 19599382),(36 19863258),(37 20101936),(38 20392606),(39 20737118),(40 21153272),(41 21578750),(42 22075438),(43 22556082),(44 23005308),(45 23404640),(46 23743372),(47 23950776),(48 24084216),(49 24149646),(50 24091576),(51 23826434),(52 23515506),(53 23159658),(54 22794936),(55 22554176),(56 22534026),(57 22646100),(58 22830468),(59 23039202),(60 23275284),(61 23445790),(62 23535092),(63 23568800),(64 23674334),(65 23890346),(66 24234336),(67 24675614),(68 25187560),(69 25776576),(70 26302068),(71 26733558),(72 27055672),(73 27252972),(74 27340840),(75 27392734),(76 27403118),(77 27363812),(78 27316402),(79 27200146),
(1 199250.78),(2 743850.6),(3 1531121.4),(4 2466453.3),(5 3447938.8),(6 4481640.5),(7 5548654),(8 6568855.5),(9 7550838),(10 8499039),(11 9402599),(12 10248371),(13 11017972),(14 11692954),(15 12241186),(16 12692146),(17 13201650),(18 13697621),(19 14156715),(20 14564470),(21 14921115),(22 15266158),(23 15638976),(24 15995275),(25 16336819),(26 16732902),(27 17135040),(28 17562698),(29 18009664),(30 18450568),(31 18867434),(32 19197824),(33 19404386),(34 19475094),(35 19426946),(36 19329724),(37 19162070),(38 18958916),(39 18739166),(40 18491898),(41 18225728),(42 17955566),(43 17682154),(44 17389164),(45 17093546),(46 16780346),(47 16412194),(48 16005387),(49 15517024),(50 14946047),(51 14318071),(52 13731967),(53 13274258),(54 13010069),(55 12996266),(56 13195823),(57 13545297),(58 13986529),(59 14477195),(60 14998901),(61 15477938),(62 15943905),(63 16401329),(64 16872350),(65 17294892),(66 17713812),(67 18104340),(68 18487448),(69 18837018),(70 19148992),(71 19475234),(72 19814772),(73 20169404),(74 20411910),(75 20567388),(76 20627908),(77 20721330),(78 20893018),(79 21125070),
(1 206515.38),(2 755365.06),(3 1518385.1),(4 2351494.3),(5 3164738.8),(6 3952947.8),(7 4706349),(8 5423416.5),(9 6115547.5),(10 6814408.5),(11 7513474.5),(12 8159430.5),(13 8698886),(14 9144883),(15 9496026),(16 9794071),(17 10053975),(18 10286911),(19 10497986),(20 10686722),(21 10899592),(22 11101429),(23 11275407),(24 11417887),(25 11523543),(26 11592450),(27 11636262),(28 11626124),(29 11624424),(30 11588453),(31 11513653),(32 11366123),(33 11195006),(34 11061913),(35 11000296),(36 10982837),(37 10991187),(38 11025933),(39 11136525),(40 11292441),(41 11427751),(42 11570588),(43 11693909),(44 11794666),(45 11846120),(46 11850184),(47 11830297),(48 11759811),(49 11635958),(50 11487170),(51 11356568),(52 11271122),(53 11284181),(54 11381572),(55 11576200),(56 11810895),(57 12080255),(58 12322411),(59 12533747),(60 12737446),(61 12932960),(62 13102480),(63 13281910),(64 13479466),(65 13664328),(66 13845970),(67 14054644),(68 14319957),(69 14581624),(70 14819600),(71 15084525),(72 15377242),(73 15674035),(74 15906714),(75 16046328),(76 16139106),(77 16220427),(78 16268136),(79 16280971),
(1 187893.64),(2 700865.56),(3 1426819.8),(4 2251048.5),(5 3101220.8),(6 3973981),(7 4861730),(8 5704555.5),(9 6480976),(10 7219882),(11 7905386),(12 8501065),(13 8986869),(14 9381643),(15 9735671),(16 10058073),(17 10354648),(18 10647911),(19 10910708),(20 11136748),(21 11328740),(22 11482279),(23 11591139),(24 11655131),(25 11650436),(26 11615618),(27 11558008),(28 11455561),(29 11338450),(30 11235781),(31 11146581),(32 11073735),(33 11030432),(34 11017445),(35 11020409),(36 10993914),(37 10924148),(38 10804775),(39 10715875),(40 10684709),(41 10695482),(42 10727380),(43 10749259),(44 10812967),(45 10938054),(46 11051957),(47 11201692),(48 11368862),(49 11539332),(50 11692319),(51 11826087),(52 11986505),(53 12163809),(54 12325780),(55 12490174),(56 12695244),(57 12951596),(58 13304914),(59 13728257),(60 14135463),(61 14526964),(62 14910766),(63 15270857),(64 15576544),(65 15857484),(66 16073826),(67 16241097),(68 16391308),(69 16459858),(70 16499550),(71 16527001),(72 16534711),(73 16494921),(74 16426507),(75 16283959),(76 16074041),(77 15791911),(78 15420395),(79 15016327),
(1 204888.38),(2 748104.1),(3 1508868.8),(4 2367654.5),(5 3262823),(6 4191017.5),(7 5114050),(8 6017857),(9 6880088),(10 7703438),(11 8465993),(12 9121013),(13 9656764),(14 10075392),(15 10420324),(16 10692932),(17 10912674),(18 11111994),(19 11299270),(20 11466806),(21 11618933),(22 11766436),(23 11927245),(24 12078465),(25 12183932),(26 12221260),(27 12212141),(28 12188309),(29 12111283),(30 11958879),(31 11784308),(32 11595225),(33 11398596),(34 11275576),(35 11233609),(36 11250019),(37 11253777),(38 11213711),(39 11208691),(40 11249182),(41 11319921),(42 11434003),(43 11565576),(44 11816008),(45 12152648),(46 12514208),(47 12990509),(48 13537899),(49 14120640),(50 14728549),(51 15316546),(52 15883029),(53 16417498),(54 16851198),(55 17153246),(56 17320896),(57 17398334),(58 17462784),(59 17532484),(60 17606738),(61 17653854),(62 17683374),(63 17745194),(64 17812934),(65 17840506),(66 17854294),(67 17906874),(68 18010966),(69 18124264),(70 18233938),(71 18309584),(72 18365394),(73 18405406),(74 18448486),(75 18451924),(76 18471624),(77 18446466),(78 18360922),(79 18195704),
