(1 11.655156),(2 43.501804),(3 50.995544),(4 51.001343),(5 56.47896),(6 60.067932),(7 58.565456),(8 58.584137),(9 53.82867),(10 55.308937),(11 58.529446),(12 58.54297),(13 55.064415),(14 59.05348),(15 60.049),(16 60.068188),(17 60.735588),(18 62.55813),(19 62.244358),(20 62.205627),(21 64.4427),(22 66.41316),(23 66.34177),(24 66.31839),(25 66.53823),(26 63.74989),(27 63.008846),(28 62.993053),(29 67.105896),(30 66.81717),(31 69.09549),(32 68.97723),(33 68.26734),(34 67.64811),(35 70.52475),(36 70.51869),(37 76.60863),(38 72.0317),(39 75.3099),(40 75.4099),(41 71.60522),(42 84.02747),(43 79.59931),(44 79.58385),(45 75.81178),(46 72.8114),(47 71.426025),(48 71.30678),(49 73.70615),(50 73.69308),
(1 12.922414),(2 41.00759),(3 46.652565),(4 46.576107),(5 47.75535),(6 47.598568),(7 45.63689),(8 45.630215),(9 44.649315),(10 46.14116),(11 45.72678),(12 45.70242),(13 49.095467),(14 51.569733),(15 55.25463),(16 55.243275),(17 58.055954),(18 62.64375),(19 60.99377),(20 60.98606),(21 60.17849),(22 64.1728),(23 65.200836),(24 65.15348),(25 63.538307),(26 73.94609),(27 67.22268),(28 67.20246),(29 69.13144),(30 70.79864),(31 73.815674),(32 73.8255),(33 76.13138),(34 80.02675),(35 82.54205),(36 82.4802),(37 79.60494),(38 76.529434),(39 78.23359),(40 78.25094),(41 78.75656),(42 81.03284),(43 77.04386),(44 77.05197),(45 77.72824),(46 70.10442),(47 73.342384),(48 73.33347),(49 75.62445),(50 75.57653),
(1 11.947656),(2 32.456707),(3 32.239044),(4 32.2355),(5 35.03249),(6 35.85547),(7 37.81836),(8 37.82813),(9 34.352135),(10 31.589497),(11 36.267605),(12 36.25763),(13 37.289803),(14 43.33295),(15 46.708683),(16 46.730145),(17 44.80565),(18 44.430275),(19 46.898838),(20 47.000267),(21 49.994926),(22 50.987125),(23 52.647667),(24 52.606323),(25 53.803097),(26 57.16167),(27 55.158337),(28 55.268276),(29 59.228283),(30 59.030567),(31 55.75452),(32 55.688026),(33 55.65185),(34 58.336445),(35 61.124146),(36 61.164627),(37 59.599186),(38 68.215034),(39 69.20176),(40 69.282646),(41 60.40829),(42 61.16031),(43 59.542564),(44 59.6249),(45 61.20258),(46 60.280388),(47 59.51012),(48 59.519466),(49 60.31915),(50 60.127247),
(1 8.739782),(2 25.749588),(3 25.48049),(4 25.50653),(5 29.911173),(6 31.462759),(7 33.27535),(8 33.353767),(9 31.657143),(10 31.955215),(11 33.257015),(12 33.307487),(13 34.884346),(14 36.97533),(15 39.663456),(16 39.65667),(17 38.47043),(18 41.563297),(19 41.976917),(20 42.079815),(21 44.389442),(22 46.3593),(23 48.656437),(24 48.659817),(25 48.091854),(26 53.885506),(27 50.849976),(28 50.85003),(29 48.370327),(30 46.893642),(31 48.720757),(32 48.731434),(33 50.847538),(34 53.45979),(35 58.077374),(36 58.078697),(37 56.429996),(38 57.0656),(39 53.89074),(40 54.02677),(41 55.533817),(42 56.62942),(43 56.069748),(44 56.074642),(45 57.79048),(46 54.205166),(47 52.27361),(48 52.2954),(49 53.693394),(50 53.70328),
(1 9.290444),(2 24.805384),(3 28.701874),(4 28.785664),(5 30.033571),(6 30.32352),(7 29.925495),(8 29.926207),(9 30.709234),(10 31.039576),(11 33.018513),(12 33.041187),(13 35.586597),(14 31.725069),(15 34.337246),(16 34.31525),(17 37.129322),(18 35.974922),(19 36.40267),(20 36.437767),(21 38.68773),(22 41.21543),(23 43.91966),(24 43.99199),(25 43.644817),(26 44.983917),(27 42.86008),(28 42.905304),(29 44.440895),(30 45.018547),(31 48.592915),(32 48.731384),(33 47.87951),(34 47.34163),(35 51.124355),(36 51.088657),(37 52.41659),(38 54.791332),(39 55.03461),(40 55.067078),(41 48.61348),(42 48.668358),(43 46.25083),(44 46.20577),(45 48.896862),(46 45.91271),(47 48.30904),(48 48.2939),(49 49.94861),(50 49.972538),
(1 9.558458),(2 23.953718),(3 27.476376),(4 27.516562),(5 28.13329),(6 31.93838),(7 34.295116),(8 34.31434),(9 32.942005),(10 32.50877),(11 36.048237),(12 36.128838),(13 38.029457),(14 38.006413),(15 40.34349),(16 40.408375),(17 40.913292),(18 40.25955),(19 40.42057),(20 40.485188),(21 40.33466),(22 38.046425),(23 42.132885),(24 42.169193),(25 44.5323),(26 45.51795),(27 45.743916),(28 45.759068),(29 49.755325),(30 48.700363),(31 50.600704),(32 50.555954),(33 51.66917),(34 53.12866),(35 53.10247),(36 53.043453),(37 52.676598),(38 55.03538),(39 59.493034),(40 59.506542),(41 53.812614),(42 53.4301),(43 55.407967),(44 55.37956),(45 54.45536),(46 45.537895),(47 47.27377),(48 47.283035),(49 48.91477),(50 48.992985),
(1 7.206037),(2 21.840061),(3 25.193365),(4 25.192532),(5 28.012299),(6 27.141533),(7 28.110535),(8 28.084019),(9 28.658846),(10 32.172626),(11 34.04477),(12 34.146564),(13 34.557877),(14 40.42093),(15 40.31198),(16 40.30872),(17 39.593147),(18 40.545868),(19 44.27766),(20 44.383034),(21 44.719124),(22 44.032677),(23 45.65218),(24 45.64834),(25 44.691532),(26 42.648006),(27 45.590786),(28 45.533047),(29 45.64062),(30 42.544064),(31 46.76543),(32 46.764664),(33 48.569767),(34 45.170547),(35 46.85298),(36 46.982105),(37 49.457706),(38 49.82205),(39 46.084824),(40 46.036335),(41 46.377914),(42 49.129787),(43 47.16851),(44 47.180763),(45 48.024357),(46 43.729385),(47 47.64867),(48 47.639336),(49 49.359634),(50 49.58381),
(1 7.905449),(2 20.305513),(3 22.925362),(4 22.952915),(5 23.880947),(6 24.846699),(7 27.324638),(8 27.356869),(9 30.49554),(10 31.490122),(11 32.165462),(12 32.201992),(13 31.548126),(14 33.892902),(15 34.09732),(16 34.112015),(17 33.54951),(18 36.94873),(19 38.303986),(20 38.329613),(21 36.71515),(22 36.637985),(23 37.36465),(24 37.34174),(25 40.430153),(26 39.483948),(27 41.6842),(28 41.666664),(29 44.451546),(30 43.20328),(31 44.845623),(32 44.76277),(33 46.309105),(34 48.696815),(35 48.17379),(36 48.14311),(37 44.76403),(38 46.851307),(39 46.596207),(40 46.64087),(41 44.801064),(42 42.124462),(43 42.97097),(44 42.962578),(45 47.22706),(46 44.21238),(47 45.14253),(48 45.20318),(49 42.887196),(50 42.95636),
(1 6.0909953),(2 17.025148),(3 19.182314),(4 19.201302),(5 19.157745),(6 20.90538),(7 22.81954),(8 22.84855),(9 23.327501),(10 24.176907),(11 24.895464),(12 24.969751),(13 26.087307),(14 27.663082),(15 29.608538),(16 29.677149),(17 30.618633),(18 33.505257),(19 35.21016),(20 35.25716),(21 33.96323),(22 34.035755),(23 31.832125),(24 31.890295),(25 33.26997),(26 35.543045),(27 32.602283),(28 32.58249),(29 32.697773),(30 34.857243),(31 38.341152),(32 38.34204),(33 38.737995),(34 35.55713),(35 37.422215),(36 37.38506),(37 37.431946),(38 41.317123),(39 41.241585),(40 41.244686),(41 38.684258),(42 39.045082),(43 40.66693),(44 40.575985),(45 41.2287),(46 38.69175),(47 38.324753),(48 38.37565),(49 39.48213),(50 39.499443),
(1 6.24037),(2 15.010421),(3 17.736847),(4 17.72151),(5 17.093693),(6 18.872519),(7 19.91601),(8 19.945784),(9 22.278236),(10 23.40633),(11 24.994019),(12 25.006943),(13 25.883728),(14 28.258244),(15 28.46986),(16 28.452826),(17 28.953138),(18 29.70265),(19 30.79194),(20 30.753258),(21 31.12806),(22 31.469795),(23 31.029192),(24 31.053768),(25 30.674301),(26 33.057556),(27 34.030003),(28 34.066635),(29 34.04652),(30 33.018475),(31 34.851856),(32 34.838764),(33 36.436584),(34 38.277676),(35 39.759586),(36 39.75425),(37 41.959263),(38 41.303776),(39 40.199413),(40 40.22809),(41 39.683384),(42 40.25274),(43 38.96413),(44 38.932877),(45 37.582504),(46 37.041176),(47 36.82568),(48 36.82475),(49 34.63765),(50 34.660248),
