1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 8.516256),(2 24.50063),(3 32.291126),(4 32.29381),(5 37.893185),(6 44.453476),(7 45.927532),(8 45.945217),(9 47.45426),(10 51.954365),(11 54.378864),(12 54.37863),(13 54.984436),(14 57.99006),(15 57.817486),(16 57.8292),(17 58.115864),(18 59.190056),(19 60.356377),(20 60.36343),(21 59.538982),(22 59.714302),(23 59.510845),(24 59.541424),(25 59.60709),(26 62.097656),(27 63.886154),(28 63.88746),(29 64.43915),(30 63.70662),(31 65.1331),(32 65.11828),(33 65.83488),(34 70.33182),(35 71.32848),(36 71.33415),(37 68.60296),(38 68.556404),(39 68.92557),(40 68.928314),(41 69.447975),(42 70.02849),(43 69.152916),(44 69.157295),(45 68.63909),(46 69.903854),(47 70.09163),(48 70.10883),(49 70.53291),(50 70.52692),
(1 7.055458),(2 18.799221),(3 23.071354),(4 23.072449),(5 26.09506),(6 27.763805),(7 28.481968),(8 28.49065),(9 27.42318),(10 28.430208),(11 29.665977),(12 29.675516),(13 30.334843),(14 31.573599),(15 33.127556),(16 33.137005),(17 34.100727),(18 34.706287),(19 35.137268),(20 35.15739),(21 34.019165),(22 35.422684),(23 35.72233),(24 35.729256),(25 36.671818),(26 38.34831),(27 39.55526),(28 39.549866),(29 39.42507),(30 39.547485),(31 38.68227),(32 38.67633),(33 39.141308),(34 40.13531),(35 40.630966),(36 40.62282),(37 40.204315),(38 40.03313),(39 40.361755),(40 40.371475),(41 39.08622),(42 38.527466),(43 39.40248),(44 39.405632),(45 39.584953),(46 38.999096),(47 38.932537),(48 38.930595),(49 39.044556),(50 39.049324),
(1 4.5735292),(2 11.310136),(3 13.287184),(4 13.289539),(5 14.363754),(6 15.440165),(7 15.742632),(8 15.745856),(9 16.191525),(10 16.886194),(11 17.602182),(12 17.609406),(13 17.830399),(14 18.33498),(15 19.33014),(16 19.335493),(17 19.231333),(18 19.336454),(19 19.94479),(20 19.96323),(21 19.528519),(22 19.90463),(23 20.42435),(24 20.428232),(25 20.403915),(26 20.729786),(27 21.568087),(28 21.570292),(29 21.66104),(30 21.481909),(31 21.41566),(32 21.426575),(33 21.047298),(34 21.244284),(35 22.080536),(36 22.084654),(37 22.581512),(38 22.774382),(39 22.682188),(40 22.684502),(41 22.289457),(42 22.297302),(43 22.283257),(44 22.27969),(45 22.157045),(46 21.761257),(47 21.778341),(48 21.78145),(49 21.63974),(50 21.647215),
(1 3.9740677),(2 8.719459),(3 10.008205),(4 10.012158),(5 10.690674),(6 11.275869),(7 11.489119),(8 11.498322),(9 11.629804),(10 12.412112),(11 12.854266),(12 12.858895),(13 12.977252),(14 13.843049),(15 14.112201),(16 14.111797),(17 13.637361),(18 14.023781),(19 14.538894),(20 14.543093),(21 14.741501),(22 14.698158),(23 15.27553),(24 15.284664),(25 15.171474),(26 15.46392),(27 15.643508),(28 15.646732),(29 15.7764845),(30 15.612796),(31 16.045422),(32 16.041954),(33 15.659278),(34 15.860146),(35 16.591452),(36 16.587133),(37 16.511623),(38 17.077137),(39 17.141031),(40 17.140516),(41 16.900953),(42 16.65721),(43 16.827183),(44 16.827059),(45 16.641502),(46 16.259804),(47 16.365255),(48 16.36385),(49 16.35386),(50 16.353703),
(1 2.826388),(2 6.529448),(3 7.4199214),(4 7.422449),(5 7.6997194),(6 7.9383755),(7 8.223628),(8 8.222699),(9 8.474118),(10 9.185726),(11 9.64077),(12 9.645001),(13 9.549004),(14 9.880947),(15 10.264318),(16 10.266065),(17 10.094483),(18 10.291666),(19 10.665623),(20 10.669895),(21 10.574586),(22 10.857798),(23 11.449894),(24 11.45163),(25 11.393091),(26 11.741063),(27 11.924532),(28 11.9204855),(29 11.544748),(30 11.385442),(31 11.711252),(32 11.711694),(33 11.557661),(34 11.789836),(35 12.310917),(36 12.303074),(37 11.988855),(38 12.305243),(39 12.503975),(40 12.507723),(41 12.206553),(42 11.984826),(43 12.386209),(44 12.387936),(45 12.125124),(46 11.942715),(47 12.119466),(48 12.110635),(49 11.950729),(50 11.953907),
(1 1.6931189),(2 3.7943985),(3 4.3364887),(4 4.338439),(5 4.44007),(6 4.570377),(7 4.8758),(8 4.8759785),(9 5.132052),(10 5.551617),(11 5.7157063),(12 5.7203717),(13 5.59979),(14 5.593511),(15 5.9689527),(16 5.9694767),(17 5.9056387),(18 5.9648795),(19 6.2759547),(20 6.2775617),(21 6.2304516),(22 6.2535114),(23 6.489991),(24 6.4899006),(25 6.4732122),(26 6.6566315),(27 6.8431187),(28 6.839488),(29 6.6322417),(30 6.500928),(31 6.5631504),(32 6.558505),(33 6.3756704),(34 6.6026955),(35 6.8313756),(36 6.829773),(37 6.674499),(38 6.84265),(39 6.9201236),(40 6.9219112),(41 6.689327),(42 6.7781987),(43 7.1497526),(44 7.1439223),(45 7.058057),(46 6.9677386),(47 7.0854015),(48 7.081226),(49 6.913971),(50 6.9188547),
(1 1.4027156),(2 3.0418398),(3 3.5265749),(4 3.527798),(5 3.6021867),(6 3.7371595),(7 4.0411034),(8 4.042779),(9 4.0984445),(10 4.357907),(11 4.6042867),(12 4.606834),(13 4.4685464),(14 4.634399),(15 4.888262),(16 4.88895),(17 4.7998333),(18 4.825313),(19 4.9336343),(20 4.929933),(21 4.9198256),(22 4.9895825),(23 5.2925515),(24 5.2887683),(25 5.260232),(26 5.47718),(27 5.6870804),(28 5.6873865),(29 5.52395),(30 5.356747),(31 5.3815513),(32 5.3768797),(33 5.275282),(34 5.407112),(35 5.5674653),(36 5.561271),(37 5.5051713),(38 5.4596057),(39 5.565441),(40 5.5635),(41 5.3785124),(42 5.4697676),(43 5.655733),(44 5.6527505),(45 5.4892654),(46 5.477382),(47 5.6629663),(48 5.6568327),(49 5.534657),(50 5.5292344),
(1 1.0944711),(2 2.2255628),(3 2.6058161),(4 2.6062958),(5 2.706314),(6 2.886013),(7 3.0579743),(8 3.0571427),(9 3.059707),(10 3.273326),(11 3.4202206),(12 3.4218228),(13 3.4140704),(14 3.4833944),(15 3.6074262),(16 3.6057882),(17 3.5157554),(18 3.6195118),(19 3.785541),(20 3.7857978),(21 3.7365515),(22 3.7672532),(23 3.9368527),(24 3.9347317),(25 3.8869414),(26 4.0372553),(27 4.234552),(28 4.2321506),(29 4.097443),(30 4.0559506),(31 4.1674457),(32 4.1635466),(33 4.0230308),(34 4.149301),(35 4.3312387),(36 4.326429),(37 4.221875),(38 4.2230945),(39 4.3140717),(40 4.311732),(41 4.179674),(42 4.098168),(43 4.196222),(44 4.1936374),(45 4.066734),(46 4.1498876),(47 4.3083153),(48 4.301404),(49 4.14581),(50 4.1476326),
(1 0.81088144),(2 1.6510574),(3 1.9780357),(4 1.9786909),(5 2.023466),(6 2.1339536),(7 2.2874887),(8 2.286999),(9 2.2564487),(10 2.4549494),(11 2.5684638),(12 2.5680616),(13 2.5460413),(14 2.5901022),(15 2.7506647),(16 2.7480514),(17 2.6977642),(18 2.7967076),(19 2.9614954),(20 2.959506),(21 2.8680975),(22 2.879951),(23 3.0359626),(24 3.034212),(25 3.001615),(26 3.0856962),(27 3.2325525),(28 3.2315454),(29 3.1597335),(30 3.1240242),(31 3.1708608),(32 3.1662807),(33 3.0902796),(34 3.1711833),(35 3.2863834),(36 3.2824795),(37 3.2044175),(38 3.2104733),(39 3.237015),(40 3.233509),(41 3.222194),(42 3.1605327),(43 3.2619078),(44 3.2609909),(45 3.152539),(46 3.096427),(47 3.2069175),(48 3.2031226),(49 3.149924),(50 3.1548991),
(1 0.6405327),(2 1.3098044),(3 1.5618327),(4 1.5619944),(5 1.5797801),(6 1.6911273),(7 1.801806),(8 1.8004563),(9 1.8215699),(10 1.9463707),(11 2.0887241),(12 2.0880542),(13 2.02823),(14 2.0641184),(15 2.1790977),(16 2.1772048),(17 2.1164696),(18 2.1883569),(19 2.3260949),(20 2.324171),(21 2.2752404),(22 2.2527997),(23 2.3754869),(24 2.3737144),(25 2.321216),(26 2.4031394),(27 2.5326133),(28 2.5312042),(29 2.445529),(30 2.4093761),(31 2.4700918),(32 2.4657214),(33 2.3699179),(34 2.4854565),(35 2.576265),(36 2.5742383),(37 2.506926),(38 2.4393601),(39 2.5208716),(40 2.51903),(41 2.4588933),(42 2.4106367),(43 2.5105903),(44 2.5077164),(45 2.4181225),(46 2.41538),(47 2.5027642),(48 2.4999626),(49 2.4625626),(50 2.4643605),
(1 0.4621422),(2 0.89357865),(3 1.0747741),(4 1.074291),(5 1.1103786),(6 1.2228699),(7 1.3028276),(8 1.3030497),(9 1.3050917),(10 1.3942149),(11 1.5120072),(12 1.5103085),(13 1.4635782),(14 1.5106226),(15 1.5814658),(16 1.5808493),(17 1.5360163),(18 1.5727565),(19 1.6796272),(20 1.6787707),(21 1.6487457),(22 1.622661),(23 1.7084177),(24 1.7071912),(25 1.6505966),(26 1.6753215),(27 1.7669268),(28 1.7656772),(29 1.6983705),(30 1.6691172),(31 1.7351764),(32 1.7336521),(33 1.6541708),(34 1.7538444),(35 1.8370464),(36 1.8344842),(37 1.7734987),(38 1.7697616),(39 1.8169007),(40 1.8142503),(41 1.7431895),(42 1.7347136),(43 1.8071918),(44 1.8063507),(45 1.7346617),(46 1.6974844),(47 1.7713649),(48 1.7674806),(49 1.7336814),(50 1.7363247),
(1 0.42643556),(2 0.8247184),(3 0.99935937),(4 0.99958634),(5 1.0277659),(6 1.1215067),(7 1.2217101),(8 1.2210351),(9 1.2050097),(10 1.2668995),(11 1.3669025),(12 1.3670775),(13 1.3322285),(14 1.3931115),(15 1.4724729),(16 1.4715248),(17 1.4106208),(18 1.4307519),(19 1.5190458),(20 1.5169168),(21 1.4974736),(22 1.4792411),(23 1.5560576),(24 1.5547748),(25 1.5074074),(26 1.5394251),(27 1.6200273),(28 1.6178647),(29 1.5824428),(30 1.5495975),(31 1.6224425),(32 1.6193228),(33 1.5640532),(34 1.6124583),(35 1.6868166),(36 1.6832511),(37 1.6363246),(38 1.6322813),(39 1.6870309),(40 1.6843035),(41 1.631717),(42 1.5930743),(43 1.642267),(44 1.6390814),(45 1.5798036),(46 1.5395999),(47 1.5838127),(48 1.5781851),(49 1.556182),(50 1.5572317),
(1 0.34006217),(2 0.66265935),(3 0.7934549),(4 0.79356176),(5 0.82031065),(6 0.87116265),(7 0.96280646),(8 0.9619386),(9 0.9452551),(10 1.0182883),(11 1.0901898),(12 1.0899202),(13 1.0403811),(14 1.0965451),(15 1.1647357),(16 1.1638492),(17 1.121721),(18 1.1249713),(19 1.1936715),(20 1.1908163),(21 1.1469862),(22 1.1489034),(23 1.2199444),(24 1.2179592),(25 1.1982931),(26 1.2279464),(27 1.2883028),(28 1.2866735),(29 1.2442576),(30 1.2516836),(31 1.2763482),(32 1.2739168),(33 1.2377709),(34 1.2767657),(35 1.3297552),(36 1.3272011),(37 1.281378),(38 1.3146554),(39 1.3642384),(40 1.3623744),(41 1.3104287),(42 1.2798083),(43 1.3146532),(44 1.3121814),(45 1.2686491),(46 1.2447149),(47 1.3017492),(48 1.2974361),(49 1.2623776),(50 1.2631202),
(1 0.27440348),(2 0.5333174),(3 0.61855555),(4 0.6186124),(5 0.64379525),(6 0.6907283),(7 0.7381976),(8 0.73795635),(9 0.7311332),(10 0.7957989),(11 0.85736066),(12 0.85686624),(13 0.81911093),(14 0.8531968),(15 0.8931156),(16 0.8915478),(17 0.8732031),(18 0.8708797),(19 0.9098143),(20 0.9082664),(21 0.8865834),(22 0.9208765),(23 0.97090644),(24 0.96903867),(25 0.94731045),(26 0.9543039),(27 1.0099305),(28 1.0090439),(29 0.97231215),(30 0.9718211),(31 0.9935816),(32 0.9909425),(33 0.970577),(34 0.9701487),(35 1.011062),(36 1.0094756),(37 0.99847955),(38 1.0202298),(39 1.0431628),(40 1.041893),(41 1.0101889),(42 0.99856865),(43 1.0412002),(44 1.0394017),(45 0.9916671),(46 0.98474145),(47 1.0047177),(48 1.0015932),(49 0.97232586),(50 0.97347057),
(1 0.21872306),(2 0.4356524),(3 0.49780715),(4 0.4977364),(5 0.5207799),(6 0.56497204),(7 0.60011846),(8 0.5993693),(9 0.59755707),(10 0.6383257),(11 0.69836915),(12 0.6977438),(13 0.6660344),(14 0.7057343),(15 0.7376038),(16 0.7366359),(17 0.7194659),(18 0.7099033),(19 0.7473592),(20 0.74622047),(21 0.72656786),(22 0.74702924),(23 0.7942228),(24 0.7922117),(25 0.76319903),(26 0.7833495),(27 0.82958883),(28 0.8282637),(29 0.78532356),(30 0.7947735),(31 0.8200767),(32 0.8177344),(33 0.7918872),(34 0.8052287),(35 0.8407647),(36 0.8396796),(37 0.8301348),(38 0.83086103),(39 0.8558193),(40 0.85446876),(41 0.8254672),(42 0.8132252),(43 0.8499574),(44 0.84882694),(45 0.8205478),(46 0.8105271),(47 0.84043753),(48 0.83858407),(49 0.8125343),(50 0.813372),
