1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 7.4963684),(2 25.82331),(3 33.174335),(4 33.17046),(5 40.88022),(6 49.080635),(7 50.592354),(8 50.602184),(9 54.2774),(10 61.115997),(11 63.489338),(12 63.49081),(13 63.798805),(14 61.827335),(15 62.641724),(16 62.65293),(17 61.947323),(18 62.55916),(19 64.36468),(20 64.37336),(21 64.19899),(22 65.63391),(23 64.45687),(24 64.45591),(25 63.373634),(26 62.74932),(27 66.50528),(28 66.51023),(29 69.32562),(30 71.41274),(31 71.61685),(32 71.60221),(33 73.84599),(34 77.82354),(35 78.39554),(36 78.39862),(37 76.554535),(38 80.25315),(39 83.223694),(40 83.23003),(41 83.76271),(42 82.156296),(43 82.84394),(44 82.84421),(45 84.07388),(46 85.486885),(47 84.20306),(48 84.20442),(49 81.26369),(50 81.27345),
(1 8.986474),(2 26.171955),(3 34.35149),(4 34.35096),(5 40.938858),(6 46.479637),(7 47.97685),(8 47.996574),(9 48.879864),(10 56.118652),(11 58.402763),(12 58.404575),(13 58.330864),(14 58.922874),(15 59.952293),(16 59.967003),(17 59.85138),(18 61.195553),(19 62.024426),(20 62.043255),(21 62.384636),(22 63.446407),(23 62.597187),(24 62.613907),(25 62.33247),(26 65.687805),(27 67.042595),(28 67.03823),(29 68.08231),(30 68.00489),(31 67.61835),(32 67.62324),(33 68.553764),(34 69.85678),(35 70.91594),(36 70.92865),(37 70.72172),(38 69.28716),(39 69.39075),(40 69.40377),(41 68.30271),(42 69.83848),(43 68.89707),(44 68.91249),(45 68.33928),(46 69.96519),(47 70.94907),(48 70.97186),(49 71.78087),(50 71.76646),
(1 6.5817842),(2 17.18131),(3 21.147497),(4 21.156143),(5 23.348787),(6 26.160112),(7 26.438555),(8 26.447231),(9 27.03148),(10 28.537132),(11 29.798685),(12 29.801764),(13 29.83364),(14 30.950108),(15 31.747633),(16 31.76079),(17 32.133408),(18 32.007053),(19 32.316734),(20 32.33694),(21 31.61304),(22 34.10762),(23 35.430096),(24 35.446228),(25 36.182034),(26 35.85872),(27 37.02938),(28 37.028374),(29 36.935196),(30 37.83302),(31 37.223328),(32 37.219067),(33 36.513077),(34 36.903893),(35 37.074326),(36 37.074776),(37 37.214413),(38 38.232906),(39 38.41679),(40 38.421562),(41 38.58722),(42 37.086765),(43 38.032066),(44 38.036606),(45 37.736046),(46 37.1428),(47 37.312634),(48 37.324482),(49 37.583893),(50 37.581104),
(1 5.388382),(2 14.246594),(3 17.174086),(4 17.175259),(5 18.83368),(6 19.947872),(7 20.27815),(8 20.286884),(9 19.780767),(10 21.01868),(11 22.164314),(12 22.174534),(13 22.21804),(14 24.284353),(15 25.360386),(16 25.360796),(17 25.359837),(18 24.802536),(19 24.924448),(20 24.944601),(21 24.456005),(22 26.151838),(23 26.754679),(24 26.754622),(25 26.555109),(26 27.182388),(27 27.408743),(28 27.407455),(29 27.503038),(30 27.587),(31 27.887287),(32 27.87473),(33 27.565222),(34 27.847273),(35 28.27591),(36 28.27278),(37 28.34212),(38 29.380646),(39 29.958515),(40 29.969025),(41 28.8761),(42 28.34844),(43 28.682306),(44 28.67283),(45 28.701979),(46 27.927956),(47 28.413435),(48 28.414663),(49 28.441475),(50 28.442165),
(1 4.3511963),(2 10.6213),(3 12.565228),(4 12.569245),(5 13.315816),(6 13.965656),(7 14.4860525),(8 14.48951),(9 14.7173),(10 15.536697),(11 16.585968),(12 16.598036),(13 16.546612),(14 17.461594),(15 18.24991),(16 18.255516),(17 18.003368),(18 17.915565),(19 18.720875),(20 18.727951),(21 18.373592),(22 18.724512),(23 19.386261),(24 19.39332),(25 19.305874),(26 19.687553),(27 20.005072),(28 20.004042),(29 19.92113),(30 19.827211),(31 20.356153),(32 20.358652),(33 20.303009),(34 20.549295),(35 21.235813),(36 21.230679),(37 21.242065),(38 21.676481),(39 22.318424),(40 22.32056),(41 21.38421),(42 20.984901),(43 21.562494),(44 21.557142),(45 21.234371),(46 20.642893),(47 20.955706),(48 20.952524),(49 20.603876),(50 20.605463),
(1 2.5803885),(2 6.0402765),(3 7.2397633),(4 7.244095),(5 7.478347),(6 8.053965),(7 8.318146),(8 8.321522),(9 8.56731),(10 9.2287855),(11 9.584449),(12 9.588368),(13 9.608845),(14 10.241808),(15 10.6777725),(16 10.683589),(17 10.386482),(18 10.498472),(19 10.927261),(20 10.930007),(21 10.707544),(22 11.085598),(23 11.420586),(24 11.425445),(25 11.170652),(26 11.630128),(27 11.879017),(28 11.880473),(29 11.632152),(30 11.544536),(31 11.830206),(32 11.8298),(33 11.649134),(34 11.757477),(35 12.184449),(36 12.185788),(37 11.93692),(38 12.491501),(39 12.663577),(40 12.667877),(41 12.297281),(42 12.4075165),(43 12.664166),(44 12.659882),(45 12.619269),(46 12.555158),(47 12.658576),(48 12.651438),(49 12.485789),(50 12.48914),
(1 2.239295),(2 5.5081654),(3 6.46135),(4 6.463331),(5 6.6808796),(6 6.95471),(7 7.22554),(8 7.2264547),(9 7.461118),(10 8.120464),(11 8.551412),(12 8.5591),(13 8.466005),(14 8.970287),(15 9.284383),(16 9.278626),(17 8.926946),(18 9.0826645),(19 9.58681),(20 9.593598),(21 9.2646055),(22 9.359805),(23 9.885108),(24 9.881933),(25 9.736542),(26 9.869742),(27 10.175325),(28 10.175486),(29 9.926546),(30 10.022603),(31 10.415827),(32 10.413914),(33 10.194314),(34 10.275651),(35 10.687264),(36 10.680251),(37 10.553199),(38 10.723444),(39 10.913954),(40 10.909277),(41 10.539385),(42 10.374308),(43 10.733849),(44 10.728962),(45 10.503242),(46 10.3771105),(47 10.650174),(48 10.643857),(49 10.360301),(50 10.3621435),
(1 1.8337158),(2 4.224296),(3 4.97862),(4 4.9803014),(5 5.0907207),(6 5.2563295),(7 5.6261015),(8 5.6288333),(9 5.7840595),(10 6.2719364),(11 6.6117654),(12 6.616556),(13 6.524879),(14 6.796549),(15 7.18697),(16 7.1923985),(17 6.948849),(18 6.995418),(19 7.367189),(20 7.3687086),(21 7.225664),(22 7.397706),(23 7.703823),(24 7.704473),(25 7.576659),(26 7.689192),(27 7.992635),(28 7.9906125),(29 7.804698),(30 7.7057014),(31 7.921341),(32 7.91589),(33 7.6845393),(34 7.74994),(35 8.088726),(36 8.086877),(37 7.983956),(38 8.120902),(39 8.370792),(40 8.3712015),(41 8.092064),(42 8.026149),(43 8.338765),(44 8.337247),(45 8.122118),(46 8.132386),(47 8.305977),(48 8.297572),(49 8.189296),(50 8.190435),
(1 1.4767001),(2 3.1875024),(3 3.8302345),(4 3.8321583),(5 3.9027207),(6 4.0286818),(7 4.369161),(8 4.3712163),(9 4.4766164),(10 4.8269925),(11 5.0485716),(12 5.0504293),(13 4.919564),(14 5.11121),(15 5.3510222),(16 5.3499556),(17 5.296373),(18 5.3620763),(19 5.6609674),(20 5.6616044),(21 5.4804835),(22 5.5353346),(23 5.8308034),(24 5.831019),(25 5.732479),(26 5.8825226),(27 6.190453),(28 6.1881275),(29 6.0144067),(30 5.965492),(31 6.0739408),(32 6.0673265),(33 5.857329),(34 5.9566684),(35 6.2217956),(36 6.2168894),(37 6.176279),(38 6.2471356),(39 6.351204),(40 6.3499603),(41 6.032785),(42 6.03894),(43 6.2137794),(44 6.209767),(45 6.076797),(46 6.1543617),(47 6.30528),(48 6.2985454),(49 6.1489563),(50 6.1510634),
(1 1.1430694),(2 2.4479692),(3 2.8796096),(4 2.8797786),(5 2.9880505),(6 3.190396),(7 3.4814587),(8 3.4814467),(9 3.5114877),(10 3.753379),(11 3.9414673),(12 3.943813),(13 3.9124672),(14 4.090247),(15 4.2621636),(16 4.2609534),(17 4.157895),(18 4.2154493),(19 4.402606),(20 4.398621),(21 4.292127),(22 4.3320675),(23 4.531331),(24 4.529247),(25 4.46576),(26 4.6333284),(27 4.8544),(28 4.853914),(29 4.6942816),(30 4.684925),(31 4.765379),(32 4.7611847),(33 4.6208777),(34 4.6711154),(35 4.8679957),(36 4.864014),(37 4.81647),(38 4.799797),(39 4.974259),(40 4.973091),(41 4.810586),(42 4.7055),(43 4.8410788),(44 4.8375483),(45 4.717318),(46 4.716075),(47 4.8490934),(48 4.8428984),(49 4.745857),(50 4.7502627),
(1 0.83609426),(2 1.7635999),(3 2.122023),(4 2.1225805),(5 2.195378),(6 2.3651283),(7 2.5426917),(8 2.5419402),(9 2.5261254),(10 2.6871772),(11 2.8741415),(12 2.873927),(13 2.849362),(14 2.9402232),(15 3.0948553),(16 3.0935204),(17 3.0243526),(18 3.020759),(19 3.1872244),(20 3.186476),(21 3.1304445),(22 3.198771),(23 3.3374548),(24 3.3362908),(25 3.3463483),(26 3.4574592),(27 3.6660519),(28 3.66562),(29 3.544861),(30 3.477676),(31 3.5638258),(32 3.5602982),(33 3.4061985),(34 3.5224686),(35 3.6888444),(36 3.685323),(37 3.6499214),(38 3.6056507),(39 3.6915874),(40 3.6882467),(41 3.6180012),(42 3.549085),(43 3.664415),(44 3.6617093),(45 3.526668),(46 3.5567913),(47 3.6589265),(48 3.6559515),(49 3.586563),(50 3.589259),
(1 0.80126864),(2 1.6406938),(3 2.0118725),(4 2.0131514),(5 2.0493748),(6 2.2232435),(7 2.411995),(8 2.4098027),(9 2.365183),(10 2.4831865),(11 2.6847544),(12 2.685004),(13 2.65768),(14 2.7786925),(15 2.9352527),(16 2.9340186),(17 2.8422182),(18 2.9239526),(19 3.105509),(20 3.1013334),(21 2.9876752),(22 3.0033512),(23 3.1791353),(24 3.1785061),(25 3.099111),(26 3.210266),(27 3.369164),(28 3.3676195),(29 3.2710617),(30 3.20879),(31 3.2958496),(32 3.2911754),(33 3.1776316),(34 3.2461557),(35 3.3938909),(36 3.39108),(37 3.3268394),(38 3.3133461),(39 3.427753),(40 3.4254627),(41 3.3393893),(42 3.290071),(43 3.3885841),(44 3.3850446),(45 3.2893898),(46 3.255832),(47 3.4007046),(48 3.3943791),(49 3.298538),(50 3.3000474),
(1 0.65206033),(2 1.3308233),(3 1.6397256),(4 1.6390526),(5 1.6563499),(6 1.801993),(7 1.952302),(8 1.9511298),(9 1.946898),(10 2.0696373),(11 2.2434378),(12 2.242882),(13 2.1786215),(14 2.2634609),(15 2.4044812),(16 2.4025946),(17 2.3479698),(18 2.3924956),(19 2.5263202),(20 2.5246859),(21 2.4650137),(22 2.4490283),(23 2.5958984),(24 2.5936353),(25 2.5041924),(26 2.5230892),(27 2.7029696),(28 2.7011595),(29 2.6293273),(30 2.5804899),(31 2.7232034),(32 2.7188187),(33 2.58409),(34 2.6326294),(35 2.735744),(36 2.7317722),(37 2.7134113),(38 2.6688952),(39 2.763993),(40 2.7633724),(41 2.6679513),(42 2.5961142),(43 2.6726775),(44 2.669706),(45 2.5843484),(46 2.5624344),(47 2.6844177),(48 2.6798098),(49 2.655518),(50 2.6571248),
(1 0.5130167),(2 1.0304909),(3 1.2681093),(4 1.268472),(5 1.2928277),(6 1.3957856),(7 1.5276408),(8 1.5264012),(9 1.5239735),(10 1.6249131),(11 1.7489762),(12 1.7482045),(13 1.6964393),(14 1.7706014),(15 1.8762507),(16 1.8749831),(17 1.8024423),(18 1.8469441),(19 1.9694371),(20 1.965333),(21 1.8913289),(22 1.8855894),(23 1.9973478),(24 1.995606),(25 1.959119),(26 1.9969239),(27 2.1275587),(28 2.1261783),(29 2.0424054),(30 1.9978433),(31 2.064483),(32 2.060964),(33 2.0035107),(34 2.054723),(35 2.1800194),(36 2.1772544),(37 2.1237676),(38 2.1064692),(39 2.1980667),(40 2.195985),(41 2.1203372),(42 2.0444732),(43 2.107064),(44 2.1044118),(45 2.0154366),(46 2.0217652),(47 2.1071913),(48 2.1034942),(49 2.078725),(50 2.0808825),
(1 0.4171362),(2 0.8271818),(3 1.0053596),(4 1.0051459),(5 1.0335674),(6 1.1373268),(7 1.2383869),(8 1.2370557),(9 1.2218668),(10 1.3091434),(11 1.4158056),(12 1.4144635),(13 1.3796207),(14 1.4635177),(15 1.5519221),(16 1.5508015),(17 1.4958409),(18 1.5019214),(19 1.5999608),(20 1.5981575),(21 1.5381626),(22 1.5190524),(23 1.6113564),(24 1.6094599),(25 1.5491245),(26 1.5984244),(27 1.6996087),(28 1.6978228),(29 1.6338356),(30 1.613812),(31 1.6972857),(32 1.6951625),(33 1.6153575),(34 1.6530566),(35 1.7307707),(36 1.7290652),(37 1.6884477),(38 1.7009659),(39 1.77417),(40 1.7723705),(41 1.7066114),(42 1.6570058),(43 1.702172),(44 1.7006657),(45 1.642967),(46 1.6387465),(47 1.7240002),(48 1.7178911),(49 1.6879791),(50 1.6889586),
