1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 88896.16),(2 292732.03),(3 605527.2),(4 1032595.3),(5 1577867.9),(6 2204158.3),(7 2875019),(8 3644136.3),(9 4354212.5),(10 5140851.5),(11 5923248),(12 6705922),(13 7493973.5),(14 8239054.5),(15 9029049),(16 9845652),(17 10626463),(18 11414989),(19 12241317),(20 13118216),(21 14051335),(22 15007809),(23 16154381),(24 17121662),(25 18122216),(26 19102728),(27 20072338),(28 21051182),(29 21912782),(30 22822352),(31 23800886),(32 24830634),(33 25976182),(34 27082838),(35 28224746),(36 29338746),(37 30452674),(38 31636922),(39 32601824),(40 33753052),(41 34804092),(42 35923470),(43 37176890),(44 38355380),(45 39758156),(46 41228876),(47 42693130),(48 44232308),(49 45892340),(50 47813108),(51 49792964),(52 51737236),(53 53492252),(54 55328828),(55 57305090),(56 59264910),(57 61153044),(58 62896428),(59 64603036),(60 66287680),(61 67899384),(62 69517620),(63 71029416),(64 72342000),(65 73501490),(66 74538860),(67 75464020),(68 76247080),(69 76915210),(70 77618250),(71 77901950),(72 77729160),(73 77341070),(74 77092040),(75 76657410),(76 76096730),(77 75356160),(78 74515704),(79 73829976),
(1 61838.2),(2 201874.67),(3 405254.38),(4 645376.4),(5 902954.8),(6 1151084.8),(7 1395170.3),(8 1675542),(9 1896898),(10 2105066.8),(11 2300161.5),(12 2491644.5),(13 2703176.8),(14 2893428.8),(15 3088014),(16 3294061.8),(17 3519528.8),(18 3746224.8),(19 3997399.3),(20 4270491),(21 4552685.5),(22 4819776),(23 5079535.5),(24 5302316),(25 5556675),(26 5878639),(27 6226805.5),(28 6604273.5),(29 6923819),(30 7283685),(31 7688781.5),(32 8097557.5),(33 8584570),(34 9091403),(35 9615366),(36 10133254),(37 10689125),(38 11156965),(39 11535109),(40 11839366),(41 12092179),(42 12329397),(43 12566507),(44 12870460),(45 13213047),(46 13623069),(47 14018469),(48 14457749),(49 14973342),(50 15535136),(51 16120654),(52 16639338),(53 17167180),(54 17663226),(55 18137724),(56 18547654),(57 18967228),(58 19279372),(59 19639686),(60 20069372),(61 20603280),(62 21233956),(63 21956204),(64 22649674),(65 23337668),(66 24081508),(67 24821318),(68 25511180),(69 26244266),(70 26803828),(71 27229472),(72 27506842),(73 27676758),(74 27756192),(75 27927216),(76 27974778),(77 28071340),(78 28152564),(79 28300736),
(1 67990.88),(2 238528.94),(3 494181.47),(4 806311.44),(5 1128370.9),(6 1453442.9),(7 1790941.6),(8 2141745.8),(9 2491205.3),(10 2839350),(11 3197090.8),(12 3593542),(13 4043150),(14 4525660.5),(15 5055142.5),(16 5614692),(17 6239684),(18 6889090),(19 7549346.5),(20 8226632),(21 8913720),(22 9624044),(23 10337421),(24 11009553),(25 11693241),(26 12427839),(27 13204508),(28 13961159),(29 14740131),(30 15525296),(31 16285097),(32 16977190),(33 17684854),(34 18344960),(35 19001208),(36 19607018),(37 20195102),(38 20635526),(39 20862784),(40 20954360),(41 20907110),(42 20781524),(43 20560882),(44 20304052),(45 19988358),(46 19673878),(47 19365070),(48 19020982),(49 18721872),(50 18410496),(51 18039874),(52 17702192),(53 17402402),(54 17061358),(55 16783568),(56 16545893),(57 16342603),(58 16206408),(59 16188671),(60 16268996),(61 16533989),(62 16933254),(63 17470318),(64 18132928),(65 18925144),(66 19855142),(67 20857422),(68 21872276),(69 22902094),(70 23975592),(71 24982746),(72 25952662),(73 26873402),(74 27601114),(75 28376224),(76 29115350),(77 29958734),(78 30833848),(79 31782826),
(1 69996.47),(2 244685.78),(3 511214.22),(4 843052.9),(5 1211395.5),(6 1624565.6),(7 2076080),(8 2585700.5),(9 3112787),(10 3697500.3),(11 4304835),(12 4930560),(13 5578908.5),(14 6222751.5),(15 6889196.5),(16 7569330),(17 8262200),(18 8985797),(19 9728044),(20 10456384),(21 11185097),(22 11960469),(23 12695684),(24 13444620),(25 14235748),(26 15010809),(27 15799733),(28 16508185),(29 17165218),(30 17820296),(31 18446808),(32 19027734),(33 19593412),(34 20070396),(35 20514870),(36 20899768),(37 21263512),(38 21517198),(39 21675414),(40 21746044),(41 21690970),(42 21593128),(43 21380020),(44 21181696),(45 20971096),(46 20688834),(47 20394536),(48 20068692),(49 19765748),(50 19485578),(51 19182692),(52 18860496),(53 18597552),(54 18354272),(55 18152352),(56 17975356),(57 17883068),(58 17840432),(59 17909780),(60 18094514),(61 18360426),(62 18718520),(63 19161068),(64 19647036),(65 20145394),(66 20655960),(67 21191720),(68 21749726),(69 22319410),(70 22863964),(71 23319746),(72 23693212),(73 23965652),(74 24160786),(75 24385032),(76 24521214),(77 24719878),(78 24974578),(79 25250984),
(1 62996.434),(2 216338.77),(3 442909),(4 720845.44),(5 1029465.25),(6 1360045.1),(7 1717666.9),(8 2116080),(9 2521589.5),(10 2958629.3),(11 3424844.3),(12 3886943.3),(13 4345856.5),(14 4808066),(15 5241550),(16 5701020.5),(17 6144032),(18 6585080.5),(19 7026884.5),(20 7441642),(21 7838523),(22 8257226),(23 8669879),(24 9110602),(25 9573785),(26 10017989),(27 10499120),(28 10963940),(29 11402231),(30 11846849),(31 12327453),(32 12803450),(33 13274307),(34 13713027),(35 14128775),(36 14533542),(37 14956711),(38 15365799),(39 15793798),(40 16216596),(41 16657661),(42 17086546),(43 17508304),(44 17992558),(45 18468460),(46 18992262),(47 19510668),(48 20022592),(49 20529888),(50 20958578),(51 21335500),(52 21635678),(53 21916588),(54 22198102),(55 22424872),(56 22623474),(57 22866264),(58 23104312),(59 23394254),(60 23667916),(61 23925062),(62 24177706),(63 24456894),(64 24709562),(65 24869358),(66 25003508),(67 25134272),(68 25244660),(69 25388518),(70 25441548),(71 25483910),(72 25472814),(73 25413740),(74 25309228),(75 25196078),(76 25048166),(77 24931700),(78 24795334),(79 24656564),
(1 87247.7),(2 308066.16),(3 644401.56),(4 1077654),(5 1583112.6),(6 2148146.8),(7 2771278.8),(8 3438033.3),(9 4138476.8),(10 4883276.5),(11 5690290.5),(12 6530428),(13 7404134.5),(14 8324973.5),(15 9224084),(16 10190592),(17 11126808),(18 12056021),(19 12982504),(20 13835296),(21 14645419),(22 15461848),(23 16242406),(24 16998988),(25 17733978),(26 18418704),(27 19125396),(28 19759014),(29 20298764),(30 20786824),(31 21250476),(32 21631574),(33 21946112),(34 22152518),(35 22266260),(36 22330612),(37 22353266),(38 22331200),(39 22309290),(40 22281716),(41 22305826),(42 22387342),(43 22522588),(44 22719900),(45 22947340),(46 23251212),(47 23587180),(48 23952224),(49 24298182),(50 24585952),(51 24849094),(52 25054108),(53 25190884),(54 25226346),(55 25230304),(56 25174828),(57 25084996),(58 24946116),(59 24783772),(60 24605300),(61 24407212),(62 24189158),(63 23946748),(64 23663396),(65 23339596),(66 22989026),(67 22604128),(68 22230374),(69 21844854),(70 21445622),(71 21061464),(72 20719932),(73 20392828),(74 20103510),(75 19866844),(76 19703504),(77 19604588),(78 19514948),(79 19454738),
(1 108002.95),(2 391434.88),(3 822975.44),(4 1384373.1),(5 2043410.8),(6 2769262.3),(7 3560512),(8 4384042),(9 5247859.5),(10 6123053.5),(11 7002387),(12 7859868.5),(13 8722619),(14 9586720),(15 10369563),(16 11097067),(17 11737276),(18 12288560),(19 12764697),(20 13130825),(21 13399877),(22 13587908),(23 13658715),(24 13645296),(25 13585686),(26 13508809),(27 13411231),(28 13272625),(29 13142614),(30 12990599),(31 12862929),(32 12710732),(33 12563751),(34 12423196),(35 12289685),(36 12221442),(37 12197054),(38 12205678),(39 12278001),(40 12353743),(41 12535729),(42 12756137),(43 13038491),(44 13403738),(45 13768870),(46 14186906),(47 14604052),(48 15036002),(49 15423487),(50 15753324),(51 16045879),(52 16288319),(53 16428761),(54 16481269),(55 16495589),(56 16460070),(57 16406239),(58 16354538),(59 16308859),(60 16272318),(61 16255702),(62 16251598),(63 16261473),(64 16277552),(65 16325897),(66 16401282),(67 16541678),(68 16720619),(69 16877780),(70 17067246),(71 17281278),(72 17557550),(73 17891708),(74 18198578),(75 18485674),(76 18799010),(77 19106734),(78 19382824),(79 19608336),
(1 115757.2),(2 432035.34),(3 938966.56),(4 1626556.9),(5 2449554.5),(6 3395287.5),(7 4466312),(8 5596769),(9 6727593.5),(10 7851853),(11 8929607),(12 9977335),(13 10963599),(14 11859839),(15 12666298),(16 13374675),(17 13915182),(18 14263386),(19 14474076),(20 14553926),(21 14517578),(22 14373775),(23 14193214),(24 13978291),(25 13732121),(26 13517967),(27 13317943),(28 13183987),(29 13117506),(30 13123927),(31 13246438),(32 13424212),(33 13702324),(34 13996288),(35 14311659),(36 14643474),(37 14964309),(38 15343290),(39 15754762),(40 16155635),(41 16577395),(42 17005986),(43 17504614),(44 18060028),(45 18657272),(46 19189422),(47 19731916),(48 20253810),(49 20698692),(50 21057098),(51 21330332),(52 21516438),(53 21618738),(54 21616478),(55 21561960),(56 21447826),(57 21262254),(58 21047804),(59 20767546),(60 20432276),(61 20028904),(62 19551086),(63 19050112),(64 18504366),(65 17938712),(66 17391468),(67 16824340),(68 16303907),(69 15846812),(70 15420369),(71 15068507),(72 14802177),(73 14579795),(74 14414450),(75 14323285),(76 14246932),(77 14248605),(78 14259132),(79 14313350),
(1 143449.77),(2 552056.4),(3 1217287.8),(4 2110688.5),(5 3195017.5),(6 4398316),(7 5739092.5),(8 7122160),(9 8529224),(10 9946103),(11 11328425),(12 12600597),(13 13734957),(14 14735391),(15 15514222),(16 16115588),(17 16502545),(18 16660371),(19 16596410),(20 16422505),(21 16191042),(22 15896787),(23 15621976),(24 15379545),(25 15117763),(26 14914730),(27 14668280),(28 14458347),(29 14259815),(30 14070949),(31 13929448),(32 13809675),(33 13687517),(34 13617604),(35 13543524),(36 13472962),(37 13417442),(38 13351831),(39 13356301),(40 13309167),(41 13290351),(42 13272456),(43 13281328),(44 13324288),(45 13394952),(46 13430379),(47 13455157),(48 13491200),(49 13591032),(50 13722782),(51 13878647),(52 14076269),(53 14332303),(54 14636706),(55 14977415),(56 15377484),(57 15804518),(58 16215977),(59 16618443),(60 16981602),(61 17310246),(62 17586256),(63 17817570),(64 17988048),(65 18105588),(66 18182618),(67 18206704),(68 18185394),(69 18088748),(70 17965794),(71 17837794),(72 17679594),(73 17475636),(74 17229496),(75 16944900),(76 16628021),(77 16304998),(78 15955336),(79 15564498),
(1 111881.95),(2 418246.34),(3 902491),(4 1537807.4),(5 2293139.3),(6 3106346.3),(7 3978631),(8 4885440),(9 5817014),(10 6769148.5),(11 7704566),(12 8569012),(13 9356681),(14 10087819),(15 10692364),(16 11193249),(17 11573705),(18 11869904),(19 12087022),(20 12254035),(21 12382955),(22 12410467),(23 12418820),(24 12415801),(25 12333947),(26 12251452),(27 12076794),(28 11887828),(29 11629011),(30 11310183),(31 10975830),(32 10631666),(33 10221115),(34 9872538),(35 9523442),(36 9209945),(37 8937589),(38 8651845),(39 8458812),(40 8253791),(41 8125688),(42 8005689),(43 7922166),(44 7875884.5),(45 7863283.5),(46 7898814),(47 7955358),(48 8032207),(49 8105786.5),(50 8194899.5),(51 8266564.5),(52 8381291.5),(53 8525374),(54 8698187),(55 8887691),(56 9091111),(57 9329292),(58 9587051),(59 9860548),(60 10139049),(61 10406340),(62 10660002),(63 10884723),(64 11060076),(65 11147895),(66 11191497),(67 11199140),(68 11185441),(69 11161255),(70 11175918),(71 11248580),(72 11328816),(73 11425284),(74 11538908),(75 11700686),(76 11839009),(77 11992684),(78 12114756),(79 12215657),
(1 100125),(2 367024.4),(3 775139.3),(4 1300020),(5 1906630.9),(6 2550209.8),(7 3253060.3),(8 3998229.8),(9 4708898),(10 5412051.5),(11 6075989.5),(12 6692100),(13 7260709),(14 7791438.5),(15 8217048.5),(16 8567514),(17 8784508),(18 8908262),(19 8949391),(20 8929631),(21 8856832),(22 8752627),(23 8622362),(24 8452919),(25 8261389),(26 8094194),(27 7930022.5),(28 7786945.5),(29 7646948.5),(30 7496927),(31 7372924),(32 7274221),(33 7175974.5),(34 7143613),(35 7109925),(36 7125343.5),(37 7165499.5),(38 7187922),(39 7231332),(40 7248497),(41 7317542.5),(42 7342968.5),(43 7355153),(44 7370081),(45 7372945),(46 7393716.5),(47 7399700),(48 7423455),(49 7383048.5),(50 7301478.5),(51 7198753.5),(52 7095958.5),(53 6979350.5),(54 6887754.5),(55 6795426),(56 6694921.5),(57 6601061.5),(58 6525689),(59 6461226),(60 6407743),(61 6361619),(62 6319979.5),(63 6297526),(64 6293896.5),(65 6332511),(66 6396112),(67 6457770),(68 6540133),(69 6612134.5),(70 6712632.5),(71 6835248.5),(72 6941134.5),(73 7031222.5),(74 7118185.5),(75 7225717.5),(76 7330071.5),(77 7447068.5),(78 7547850.5),(79 7681109.5),
