1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 61526.88),(2 120394.79),(3 143732.36),(4 154819.7),(5 164837.92),(6 174391.45),(7 184665.69),(8 188388.11),(9 191289.48),(10 198789.38),(11 203612.19),(12 205110.72),(13 207185.86),(14 209516.78),(15 208312.34),(16 206110.66),(17 211464.23),(18 216466.67),(19 219682.72),(20 219225.06),(21 221384.03),(22 225922.98),(23 223336.44),(24 220388.4),(25 219337.78),(26 216652.02),(27 219513.94),(28 221911.61),(29 221780.73),(30 222606.75),(31 224126.84),(32 225363.34),(33 225340.98),(34 225396.02),(35 227423.08),(36 226267.48),(37 223347.23),(38 220652.95),(39 221740.2),(40 224124.08),(41 224351.89),(42 223207.77),(43 222309.44),(44 224929.22),(45 227649.06),(46 225393.34),(47 227105.28),(48 229546.42),(49 229875.98),(50 228353.13),(51 223783.6),(52 218798.84),(53 217513.03),(54 217186.9),(55 215102.6),(56 213313.98),(57 211221.44),(58 211954.22),(59 219611.8),(60 225234.83),(61 223343.69),(62 220358.11),(63 224442.48),(64 228711.39),(65 228123.19),(66 229424.4),(67 231184.63),(68 234373.98),(69 235299.34),(70 233743.97),(71 233331.3),(72 233201.9),(73 230911.69),(74 231870.52),(75 235068.67),(76 235922.14),(77 236676.81),(78 240513.3),(79 245091.28),
(1 61638.08),(2 118072.266),(3 140129.3),(4 154056.64),(5 166935.7),(6 177205.8),(7 183278.73),(8 187294.44),(9 191138.97),(10 194584.72),(11 199276.44),(12 205762.2),(13 207210.16),(14 208149.56),(15 209271.92),(16 211973.4),(17 215763.17),(18 218651.45),(19 220365.31),(20 219859.1),(21 221670.17),(22 222735.17),(23 223611.63),(24 221631.58),(25 218625.1),(26 221636.77),(27 222657.98),(28 221386.97),(29 220893.27),(30 221610.38),(31 221593.58),(32 223523.36),(33 224197.53),(34 222860.1),(35 222452.42),(36 222488.17),(37 222485.58),(38 221947.66),(39 222486.98),(40 224589.42),(41 224719.8),(42 224928.77),(43 225523.28),(44 224193.78),(45 222452.16),(46 221672.36),(47 222996.08),(48 221929.63),(49 221321.58),(50 225059.13),(51 228019.61),(52 226101.75),(53 222801.8),(54 222104.6),(55 222931.92),(56 224089.95),(57 222183.56),(58 221949.16),(59 223400.28),(60 223215.4),(61 225493.84),(62 229878.64),(63 228215.02),(64 223079.66),(65 221156.98),(66 221283.4),(67 221282.88),(68 223700.31),(69 228313.02),(70 229676.13),(71 228378.6),(72 224801.42),(73 224175.95),(74 226340.34),(75 230319.4),(76 232669.19),(77 232723.78),(78 236493.13),(79 240941.05),
(1 56841.9),(2 107335.086),(3 129098.734),(4 142659.52),(5 155549.02),(6 164571.28),(7 173839.13),(8 180989.97),(9 182414.52),(10 185694.77),(11 191682.52),(12 195774.08),(13 196850.22),(14 196808.48),(15 194298.13),(16 193889.36),(17 196618.9),(18 200805.97),(19 203910.9),(20 206681.72),(21 208286.67),(22 206197.81),(23 205000.23),(24 203418.88),(25 201256.9),(26 200853.69),(27 200340.34),(28 200223.98),(29 200570.92),(30 202969.55),(31 203619.19),(32 207698.28),(33 212213.1),(34 213136.83),(35 214608.25),(36 218595.81),(37 219632.73),(38 216986.39),(39 217458.56),(40 219140.3),(41 220383.13),(42 221501.5),(43 219337.13),(44 219712.5),(45 217858.2),(46 219614.56),(47 221791.22),(48 221611.38),(49 222994.17),(50 222842.6),(51 218215.3),(52 216798.61),(53 218746.67),(54 218876.92),(55 217418.63),(56 216367.4),(57 215303.5),(58 213763.38),(59 216209.06),(60 218785.08),(61 217613.4),(62 214179.3),(63 215128.63),(64 214970.1),(65 217042.3),(66 218756.13),(67 217745.14),(68 216820.3),(69 217460.94),(70 219014.94),(71 214786.34),(72 213343.13),(73 215878.73),(74 214900.55),(75 214453.75),(76 218608.22),(77 221430.94),(78 225730.95),(79 229172.7),
(1 55201.4),(2 106703.875),(3 128787.41),(4 139112.1),(5 150647.2),(6 160063.48),(7 168197.3),(8 175455.06),(9 180541.33),(10 184237.61),(11 184757.56),(12 185939.05),(13 185000.17),(14 182441.28),(15 180589.75),(16 181047.42),(17 184860.81),(18 187842.44),(19 190548.31),(20 191576.56),(21 191678.66),(22 191868.48),(23 193792.55),(24 194797.19),(25 192650.45),(26 189474.98),(27 189021),(28 191572.25),(29 195517.86),(30 195803.6),(31 193237.1),(32 193559),(33 195400.86),(34 198681.34),(35 199217.13),(36 199433.06),(37 198634.84),(38 196618.19),(39 193576.11),(40 190911.8),(41 189291.86),(42 190576.45),(43 191851.88),(44 191535.58),(45 189948.52),(46 193648.45),(47 197346.33),(48 196205.3),(49 194369.3),(50 193757.03),(51 193168.13),(52 192117.94),(53 195302.95),(54 196217.67),(55 195557.48),(56 193870.28),(57 194261.14),(58 196710.48),(59 197186.25),(60 196180.28),(61 195960.1),(62 197021.77),(63 197237.6),(64 196731.42),(65 193287.23),(66 190518.56),(67 190004.95),(68 188244.72),(69 187196.42),(70 190436.33),(71 191021.16),(72 191774.1),(73 193535.53),(74 191909.1),(75 191222.17),(76 194389.16),(77 196284.11),(78 197162.67),(79 197199.77),
(1 56375.785),(2 108194.35),(3 130753.68),(4 142808.88),(5 155343.81),(6 169369.33),(7 179305.9),(8 181568.34),(9 187685.53),(10 193002.17),(11 193184.94),(12 195279.45),(13 195818.66),(14 194931.75),(15 190216.2),(16 187679.97),(17 191814.25),(18 194447.48),(19 196183.55),(20 197418.58),(21 199331.45),(22 199622.7),(23 202192.4),(24 203100.8),(25 201698.52),(26 198885.53),(27 196962.88),(28 197052.28),(29 196325.31),(30 193312.83),(31 191743.7),(32 194624.45),(33 199314.98),(34 198811.89),(35 196937.64),(36 197398.31),(37 200888.17),(38 202138.47),(39 201157.33),(40 195946.6),(41 194198.47),(42 200769.3),(43 205933.23),(44 204226.64),(45 200547.56),(46 197557.27),(47 196621.5),(48 193265.83),(49 191891.89),(50 190983.16),(51 191835.25),(52 191646.28),(53 192840.83),(54 193832.67),(55 194524.94),(56 194290.44),(57 194847.3),(58 194794.06),(59 194468.48),(60 194568.2),(61 196643.6),(62 197408.88),(63 193944.58),(64 190440.44),(65 189708.66),(66 187339.06),(67 188226.47),(68 191700.28),(69 194140.47),(70 199305.9),(71 201232.56),(72 199535.02),(73 200997.72),(74 203688.88),(75 204100.47),(76 203441.16),(77 204752.77),(78 207702.7),(79 208104.39),
(1 56584.355),(2 104109.555),(3 122190.125),(4 136008.27),(5 150742.27),(6 160745.47),(7 168437.13),(8 174126.77),(9 176170.83),(10 177823.25),(11 177912.23),(12 180431.61),(13 180181.44),(14 177260.98),(15 176974.34),(16 179027.72),(17 179642.34),(18 180994.72),(19 183873.02),(20 186808.08),(21 187562.7),(22 185675.05),(23 182604.44),(24 183700.53),(25 183688.13),(26 179780.39),(27 179279.25),(28 182084.39),(29 184292.92),(30 184414.1),(31 183604.95),(32 186901.72),(33 190831.97),(34 190901.63),(35 192389.47),(36 192292.17),(37 190962.23),(38 187357.72),(39 183244.3),(40 180116.95),(41 179553.83),(42 181203.6),(43 181152.64),(44 180128.4),(45 180349.97),(46 178849.34),(47 176231.03),(48 173783.78),(49 173441.48),(50 173922.77),(51 176661.83),(52 180536.22),(53 182302.81),(54 185209.05),(55 186203.42),(56 184970.98),(57 180870.9),(58 178967.69),(59 178426.19),(60 177947.47),(61 178524.36),(62 180964.14),(63 181545.55),(64 182524.56),(65 184203.98),(66 183756),(67 182965.86),(68 185831.61),(69 186976.39),(70 189640.66),(71 191483.78),(72 191871.88),(73 192500.67),(74 191264.31),(75 190458.4),(76 189759.89),(77 192833.77),(78 196810.58),(79 196742.98),
(1 54068.004),(2 98578.87),(3 115087.01),(4 126429),(5 137017.19),(6 147356.69),(7 156902.11),(8 163214.83),(9 165486.08),(10 165867.88),(11 168297.13),(12 173262.08),(13 173447.73),(14 171866.17),(15 174655.33),(16 181810.61),(17 181760.61),(18 179049.33),(19 182017.8),(20 184942.89),(21 182574.44),(22 181039.6),(23 181188.63),(24 179569.13),(25 179157.8),(26 180042.92),(27 181034.72),(28 180638.11),(29 182253.1),(30 183307.72),(31 185277.44),(32 186431.22),(33 186638.86),(34 187988.19),(35 185791.92),(36 182438.61),(37 179683.69),(38 178553.48),(39 178817.33),(40 176763.72),(41 177583.14),(42 178926.63),(43 179679.23),(44 183887.86),(45 185463.67),(46 183710.23),(47 180704.14),(48 176367.4),(49 175147.58),(50 177575.98),(51 179133.83),(52 178011.73),(53 177921.9),(54 179800.17),(55 180706.08),(56 182357.11),(57 181292.11),(58 180176.33),(59 178356.92),(60 176548.86),(61 179642.19),(62 182998.94),(63 180851.7),(64 181728.38),(65 183866.44),(66 182404.6),(67 179874.64),(68 180442.97),(69 182553.53),(70 182043.97),(71 179203.31),(72 180804.27),(73 180268.19),(74 177983.06),(75 176949.11),(76 176201.17),(77 174433.89),(78 176508.69),(79 176304.47),
(1 50242.23),(2 92600.45),(3 110107.45),(4 121160.15),(5 130046.42),(6 138862.45),(7 144321.52),(8 152431.72),(9 158073.56),(10 159779.89),(11 158186.14),(12 157503.86),(13 158657.11),(14 158763.75),(15 157600.03),(16 158771.02),(17 160436.53),(18 164312.94),(19 167912.39),(20 167387.69),(21 166087.73),(22 167967.13),(23 171484.95),(24 171068.78),(25 169490.03),(26 171339.55),(27 174057.7),(28 171682.56),(29 169673.33),(30 172660.38),(31 174335.9),(32 173159.17),(33 173316.02),(34 174796.8),(35 174579.95),(36 175688.14),(37 177109.39),(38 176980.77),(39 176892.14),(40 174100.5),(41 173275.28),(42 172586.31),(43 173671.94),(44 177202.39),(45 178526.19),(46 178689.22),(47 178201.38),(48 176932.58),(49 175692.55),(50 174318.95),(51 172311.23),(52 174848.08),(53 175436.63),(54 171627.73),(55 171476.11),(56 173842.66),(57 172276.22),(58 167881.58),(59 164775.73),(60 166330.69),(61 170144.16),(62 170880.23),(63 169088.45),(64 170082.86),(65 172051.27),(66 170640.86),(67 169624.31),(68 171458.3),(69 174384.28),(70 177973.42),(71 179488.22),(72 178772.08),(73 178243.17),(74 179545.55),(75 178914.7),(76 176758.25),(77 176532.67),(78 178254.94),(79 177820.31),
(1 52375.094),(2 95898.086),(3 111657.484),(4 121772.84),(5 130074.67),(6 138014.5),(7 145249.38),(8 148069.27),(9 151235.08),(10 153236.89),(11 151754.34),(12 150203.13),(13 149963.03),(14 150422.61),(15 150152.89),(16 153376.92),(17 158681.95),(18 160016.06),(19 161823.47),(20 162890.83),(21 160009.88),(22 156796.75),(23 157528.14),(24 157452.89),(25 157633.36),(26 158427.63),(27 160254.5),(28 159625.33),(29 160501.84),(30 161986.45),(31 162925.03),(32 163548.42),(33 162022.72),(34 162032.38),(35 162582.95),(36 161133.05),(37 161148.19),(38 162544.98),(39 164088.34),(40 163974.31),(41 165085.06),(42 165753.64),(43 167423.5),(44 168526.83),(45 167031.66),(46 163832.02),(47 161004.81),(48 162542.3),(49 165720.53),(50 164983.95),(51 162524.63),(52 164407.83),(53 166915.58),(54 167123.11),(55 168866.23),(56 169654.14),(57 169510.73),(58 168247.86),(59 165785.39),(60 165233.95),(61 164294),(62 162866.84),(63 165303.53),(64 165999.72),(65 167689.84),(66 165901.45),(67 167458.28),(68 170628.05),(69 172913.9),(70 175627.13),(71 175488.17),(72 171786.64),(73 170749.03),(74 170520.36),(75 169634.36),(76 169412.63),(77 170018.53),(78 168630.66),(79 168251.63),
(1 47955.43),(2 87562.88),(3 104313.39),(4 115313.74),(5 122763.32),(6 128764.03),(7 134708.13),(8 139269.61),(9 144156.88),(10 147078.81),(11 148766.78),(12 149980.53),(13 150918.83),(14 151149.2),(15 152317.9),(16 155491.02),(17 157552.39),(18 157361.42),(19 156740.19),(20 155671.02),(21 152406.63),(22 149890.67),(23 149715.75),(24 149162.88),(25 147041.7),(26 146949.7),(27 149789.97),(28 150236.22),(29 151162.88),(30 152884.17),(31 154161.7),(32 155099.39),(33 157676.44),(34 159272.92),(35 156840.83),(36 156157.67),(37 156332.7),(38 156229.97),(39 157714.45),(40 160915.2),(41 162136.66),(42 161658.92),(43 163838.94),(44 166718.55),(45 165307.4),(46 162366.56),(47 160736.2),(48 160352.61),(49 161939.47),(50 163273.73),(51 162915.02),(52 163735.5),(53 162885.5),(54 162317.25),(55 163769.98),(56 165040.73),(57 164323.94),(58 162892.16),(59 162693.44),(60 162652.02),(61 160330.38),(62 158168),(63 159970.88),(64 159819.31),(65 159130.7),(66 158455.47),(67 158927.36),(68 159484.53),(69 160127.81),(70 161634.11),(71 161006.86),(72 161774.67),(73 161374.23),(74 160777.44),(75 161322.22),(76 163137.02),(77 162590.75),(78 162248.28),(79 162184.97),
(1 46018.77),(2 84542.07),(3 101493.76),(4 111593.2),(5 120337.734),(6 124925.37),(7 130241.98),(8 135769.14),(9 139773.67),(10 142669.23),(11 143057.31),(12 142672.95),(13 145182.86),(14 146275.22),(15 146622.31),(16 144895.3),(17 145401.66),(18 146725.61),(19 149238.72),(20 148790.77),(21 145126.19),(22 143851.48),(23 146099.33),(24 147922.92),(25 147582.72),(26 145862.27),(27 147005.7),(28 145720.02),(29 144133.22),(30 144432.97),(31 146971.28),(32 150025.61),(33 150372.14),(34 148601.6),(35 150331.42),(36 152917.66),(37 151789.53),(38 150811.9),(39 152637.52),(40 154228.48),(41 153745.83),(42 153281.97),(43 154615.47),(44 153888.53),(45 152910.42),(46 152632.72),(47 151479.94),(48 150169.94),(49 150732.53),(50 148524.36),(51 146312.17),(52 147260.81),(53 147360.73),(54 147027.36),(55 148881.1),(56 151250.8),(57 153082.4),(58 154274.7),(59 155527.8),(60 156104.78),(61 155951.44),(62 157889.06),(63 161231.75),(64 160705.14),(65 157895.36),(66 158814.11),(67 157727.77),(68 157516.81),(69 158546.4),(70 157088.67),(71 154776.05),(72 154823.53),(73 156433.98),(74 158041.6),(75 157442.1),(76 157360.8),(77 156741.69),(78 155000.19),(79 153182.77),
(1 43487.63),(2 80701.14),(3 96480.62),(4 109241.67),(5 117092.8),(6 121147.08),(7 128978.68),(8 133159.4),(9 134881.97),(10 137852.75),(11 140056.36),(12 141463.45),(13 142445.72),(14 142666.16),(15 144628.06),(16 146184.1),(17 147489.81),(18 148530.69),(19 150432.61),(20 149501.81),(21 145938.39),(22 144158.47),(23 144959.47),(24 146858.2),(25 147962.45),(26 147217.81),(27 148698.11),(28 150641.11),(29 151054.77),(30 149727.9),(31 150176.36),(32 152712.17),(33 151035.44),(34 148045.6),(35 148187.44),(36 149173.02),(37 148683.14),(38 147382.84),(39 147184.95),(40 149327.9),(41 150816.63),(42 151174.94),(43 149866.05),(44 150994.84),(45 151353.34),(46 153051.52),(47 153787.31),(48 153301.66),(49 153303.08),(50 151683.08),(51 153167.27),(52 153961.34),(53 151850.94),(54 150503.6),(55 151536.83),(56 152102.84),(57 151054.64),(58 149423.22),(59 150033.6),(60 151480.6),(61 151228.8),(62 154631.13),(63 156771.8),(64 156484.56),(65 156384.9),(66 154902.1),(67 154475.44),(68 154815.2),(69 153670.98),(70 150663.4),(71 149784.66),(72 149684.13),(73 151100.23),(74 152265.36),(75 154939.14),(76 157270.5),(77 154790.28),(78 150626.69),(79 149882.05),
(1 42412.695),(2 76221.086),(3 89547.26),(4 99963.664),(5 107492.31),(6 114349.95),(7 123254.27),(8 126882.96),(9 127789.195),(10 130332.2),(11 130924.41),(12 131887.05),(13 133219.36),(14 133769.23),(15 134823.66),(16 134894.9),(17 136973.64),(18 138364.38),(19 139948.31),(20 139624.63),(21 136480.16),(22 132345.02),(23 132878.36),(24 132541.34),(25 131196.36),(26 131223.4),(27 131452.45),(28 132625.05),(29 134018.08),(30 132646.14),(31 132651.69),(32 134156.73),(33 135104.48),(34 133541.81),(35 134009.48),(36 136442.73),(37 135741.98),(38 135833.89),(39 138091.38),(40 137837.95),(41 137176.72),(42 139778.48),(43 138899.6),(44 138406.89),(45 139263.75),(46 139597.02),(47 138544.38),(48 138135.84),(49 137662.73),(50 135563.34),(51 135660.8),(52 136303.52),(53 136833.95),(54 136459.11),(55 135916.56),(56 135017.89),(57 134251.06),(58 134850.81),(59 134947.73),(60 134552.22),(61 135068.72),(62 137685.2),(63 138291.97),(64 138052.36),(65 138956.97),(66 137536.86),(67 136842.89),(68 136813.42),(69 137671.1),(70 137405.7),(71 136903.13),(72 138452.61),(73 138922.39),(74 139970.67),(75 141861.14),(76 141544.06),(77 143020.67),(78 145802.28),(79 145953.9),
(1 42575.555),(2 75214.984),(3 89322.8),(4 100525.234),(5 109045.09),(6 114560.8),(7 120730.86),(8 123067.99),(9 123632.266),(10 125254.47),(11 126191.05),(12 126249.15),(13 126660.664),(14 129106.05),(15 131416.7),(16 130717.53),(17 131361.28),(18 132769.69),(19 134109.56),(20 132436.34),(21 130654.13),(22 131847.94),(23 132380.11),(24 133523.95),(25 133350.31),(26 132910.94),(27 133716.23),(28 134948.19),(29 134847.92),(30 136014.72),(31 137099.94),(32 139032.98),(33 141041.53),(34 139114.11),(35 140227.22),(36 143148.67),(37 143440.34),(38 144092.78),(39 146140.14),(40 146206.03),(41 147173.8),(42 147320.44),(43 143691.83),(44 141922.61),(45 144173.67),(46 145044.97),(47 144802.56),(48 146046.48),(49 146359.67),(50 144068.22),(51 143894.77),(52 142608.53),(53 141143.22),(54 140399.16),(55 141686.75),(56 142207.25),(57 142623.78),(58 144258.86),(59 144114.23),(60 143248.5),(61 144981.16),(62 144576.7),(63 144402.6),(64 144060.52),(65 143200.73),(66 141828.95),(67 139932.28),(68 138965.06),(69 139758.16),(70 138811.19),(71 140259.36),(72 142781.42),(73 142903.23),(74 142376.77),(75 142067.44),(76 142845.94),(77 144940.95),(78 144834.06),(79 144198.9),
(1 41015.9),(2 73260.68),(3 84246.87),(4 92604.75),(5 100305.9),(6 106303.22),(7 112626.05),(8 116199.86),(9 118304.19),(10 120285.06),(11 121892.38),(12 123136.375),(13 124908.586),(14 126100.055),(15 127189.02),(16 128534.03),(17 130406),(18 131478),(19 131763.89),(20 131186.31),(21 130369.78),(22 130226.79),(23 130465.92),(24 130609.49),(25 128685.37),(26 126660.17),(27 126732.28),(28 128964.71),(29 129505.44),(30 128877.625),(31 129492.945),(32 131161.69),(33 132659.73),(34 132087.77),(35 133044.03),(36 132616.06),(37 131779.03),(38 132398.39),(39 133920.66),(40 134515.9),(41 134023.1),(42 132220.44),(43 131801.84),(44 132226.02),(45 131868.86),(46 131643.36),(47 132520.63),(48 134718.6),(49 134687.31),(50 134379.44),(51 136520.97),(52 137825.33),(53 136798.8),(54 138148.92),(55 139271.48),(56 137860.05),(57 137901.25),(58 137645.5),(59 138188.63),(60 140576.19),(61 141787.89),(62 141718.95),(63 143840.98),(64 142784.03),(65 141547.97),(66 141947.94),(67 141212.13),(68 138812.23),(69 139334.33),(70 140258.16),(71 139260.86),(72 138063.89),(73 138689.48),(74 138918.53),(75 136672.95),(76 135950.3),(77 134725.1),(78 134118.66),(79 133810.89),
(1 42991.89),(2 75716.76),(3 88697.95),(4 99334.125),(5 106588.5),(6 111674.38),(7 116232.49),(8 119512.87),(9 119763.97),(10 119954.59),(11 121866.09),(12 125394.734),(13 126911.13),(14 127054.29),(15 129911.79),(16 131357.14),(17 133451.27),(18 133346.72),(19 132119.95),(20 133336.3),(21 135322.27),(22 135136),(23 133825.88),(24 135551.1),(25 135628.45),(26 134564.88),(27 134157.64),(28 135050.48),(29 135085.88),(30 136205.8),(31 136440.13),(32 135576.58),(33 135153.6),(34 136740.16),(35 137374.92),(36 136206.45),(37 136541.98),(38 136385.67),(39 136142.44),(40 136857.31),(41 137652.5),(42 137388.89),(43 137289.34),(44 138558.11),(45 139803.31),(46 138554.69),(47 137641.63),(48 137918.13),(49 139628.42),(50 141396.55),(51 141786.64),(52 141289.23),(53 141022.69),(54 140975.83),(55 139878.06),(56 138900.06),(57 139289.83),(58 139077.97),(59 140169.11),(60 141555.72),(61 143509.22),(62 144156.06),(63 143894.16),(64 142684.86),(65 142484.95),(66 139976.73),(67 138727.88),(68 138843.75),(69 140482.7),(70 139936.31),(71 139151.31),(72 138335.69),(73 138160.97),(74 138177.53),(75 138662.36),(76 138579.5),(77 137111.75),(78 136238.88),(79 134274.56),
(1 41209.945),(2 71262.09),(3 82195.85),(4 92412.23),(5 99246.08),(6 103948.164),(7 109434.74),(8 116160.43),(9 117162),(10 119686.25),(11 119952.97),(12 120547.336),(13 122946.71),(14 124579.04),(15 126032.055),(16 126293.87),(17 126278.26),(18 126906.375),(19 127552.92),(20 126258.35),(21 123036.99),(22 122162.72),(23 123302.19),(24 123167.09),(25 124205.29),(26 123242.33),(27 121536.164),(28 120331.016),(29 122687.734),(30 124727.16),(31 122697.95),(32 121309.016),(33 121964.17),(34 123334.086),(35 124458.98),(36 126581.84),(37 128759.31),(38 128750.59),(39 128547.95),(40 129046.05),(41 128875.305),(42 130213.89),(43 130885.25),(44 131277.53),(45 129892.414),(46 128363.164),(47 128165.04),(48 128336.914),(49 128029.49),(50 128947.45),(51 129286.45),(52 128980.36),(53 129568.86),(54 127700.9),(55 127749.47),(56 129288.71),(57 128942.74),(58 128921.63),(59 131157.02),(60 130926.34),(61 129916.5),(62 130656.97),(63 130412.516),(64 130539.195),(65 131461.61),(66 130093.27),(67 130150.65),(68 131886.08),(69 132593.61),(70 131767.86),(71 131469.86),(72 130267.305),(73 128303.17),(74 127075.52),(75 127848.43),(76 127996.984),(77 128787.67),(78 128469.21),(79 129823.62),
(1 36408.92),(2 64572.742),(3 75517.984),(4 85152.445),(5 92321.125),(6 97557.21),(7 101859.66),(8 106644.516),(9 109848.29),(10 111806.5),(11 113018.15),(12 113068.4),(13 115218.125),(14 117564.305),(15 119351.46),(16 119904.484),(17 118897.82),(18 119046.54),(19 115808.664),(20 114344.33),(21 115428.2),(22 117253.484),(23 117683.54),(24 117499.36),(25 117278.43),(26 117289.99),(27 118021.59),(28 118108.81),(29 120249.766),(30 121995.44),(31 119576.09),(32 119765.59),(33 120945.125),(34 121957.734),(35 122869.6),(36 124576.22),(37 121244.29),(38 120170.664),(39 121079.56),(40 121178.79),(41 120880.805),(42 122977.5),(43 122805.97),(44 121686.79),(45 120722.875),(46 121848.79),(47 123417.945),(48 122253.91),(49 122540.91),(50 123288.96),(51 123165.98),(52 122081.734),(53 121616.49),(54 121628.65),(55 121510.266),(56 121299.23),(57 121491.164),(58 122130.56),(59 122380.555),(60 122433.266),(61 123134.68),(62 123787.6),(63 122330.46),(64 122634),(65 125084.59),(66 125141.57),(67 126877.97),(68 126752.98),(69 125636.59),(70 127209.64),(71 128974.33),(72 128383.69),(73 127165.75),(74 127564.83),(75 128177.01),(76 128469.5),(77 130269.75),(78 128909.805),(79 128369.21),
