1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 241143.3),(2 797311.7),(3 1565499.1),(4 2482456.8),(5 3547232.8),(6 4565589),(7 5519220.5),(8 6338905.5),(9 6974606.5),(10 7430843.5),(11 7863196.5),(12 8208728),(13 8455673),(14 8348529.5),(15 8032759.5),(16 7968920),(17 8159429.5),(18 7907617.5),(19 7399996.5),(20 7130688.5),(21 7088966.5),(22 7278935.5),(23 7601120),(24 7868096),(25 8400692),(26 8808971),(27 9072301),(28 9424925),(29 9639621),(30 9632455),(31 9598157),(32 9536704),(33 9465681),(34 9526344),(35 9575504),(36 9346929),(37 9292525),(38 9462811),(39 9719731),(40 9719693),(41 9844804),(42 10212411),(43 10596291),(44 11027269),(45 11429881),(46 11672509),(47 11851204),(48 11941477),(49 12036479),(50 12051923),(51 11844893),(52 11444304),(53 10948449),(54 10431696),(55 9846453),(56 9166908),(57 8584295),(58 8101682.5),(59 7953189.5),(60 7922650.5),(61 8033942.5),(62 8117508),(63 7989794.5),(64 8001716),(65 8309319.5),(66 8610626),(67 8825893),(68 8861380),(69 9035886),(70 9073899),(71 8958543),(72 8989535),(73 9206873),(74 9506874),(75 9657632),(76 9600233),(77 9480003),(78 9260565),(79 9158085),
(1 313735.2),(2 1039245.5),(3 2023438.8),(4 3194650.5),(5 4409101.5),(6 5515721.5),(7 6521773.5),(8 7414843),(9 8024479),(10 8635969),(11 9083870),(12 9389203),(13 9665023),(14 9660570),(15 9492870),(16 9653294),(17 10083651),(18 9997685),(19 9537779),(20 9136284),(21 8916104),(22 8977187),(23 9143702),(24 9348587),(25 9848163),(26 10133640),(27 10095459),(28 10275540),(29 10418053),(30 10390042),(31 10425570),(32 10524870),(33 10550900),(34 10789920),(35 11056355),(36 11033901),(37 11004026),(38 11096110),(39 11292302),(40 11447715),(41 11581469),(42 11737178),(43 11964343),(44 12351749),(45 12792797),(46 13146870),(47 13456659),(48 13693813),(49 13713379),(50 13708733),(51 13608490),(52 13373243),(53 12882082),(54 12372367),(55 11777002),(56 11062550),(57 10385250),(58 9835622),(59 9453282),(60 9111630),(61 8863916),(62 8771395),(63 8697086),(64 8656440),(65 8598462),(66 8501793),(67 8380990.5),(68 8064838.5),(69 7828112),(70 7551027),(71 7136120),(72 6831557.5),(73 6629399),(74 6513298.5),(75 6467863),(76 6336264),(77 6122641.5),(78 5827101.5),(79 5625305),
(1 321496.8),(2 1085552.4),(3 2112886.3),(4 3289042),(5 4508139),(6 5639954),(7 6652517.5),(8 7387516),(9 7776538.5),(10 8029169.5),(11 8209957.5),(12 8361016),(13 8472425),(14 8372624),(15 8134279.5),(16 7939525.5),(17 7766014),(18 7546677.5),(19 7334206),(20 6981162.5),(21 6574924),(22 6378585.5),(23 6339572),(24 6333384),(25 6499893.5),(26 6613169.5),(27 6550550),(28 6595729.5),(29 6823809.5),(30 7093374),(31 7443802.5),(32 7808065.5),(33 8164013.5),(34 8577904),(35 8957917),(36 9165268),(37 9359056),(38 9505711),(39 9666287),(40 9829267),(41 10066198),(42 10503664),(43 11010563),(44 11646123),(45 12318228),(46 12816332),(47 13134805),(48 13340996),(49 13393269),(50 13382484),(51 13216528),(52 12932720),(53 12563389),(54 12125393),(55 11577535),(56 10928051),(57 10333616),(58 9811073),(59 9396053),(60 9038333),(61 8823644),(62 8758193),(63 8758921),(64 8889663),(65 8970509),(66 8897353),(67 8705065),(68 8547636),(69 8583731),(70 8463063),(71 8148486),(72 7964830.5),(73 7921524.5),(74 7782472),(75 7573582),(76 7384074),(77 7239861.5),(78 7085258.5),(79 6939519.5),
(1 362476.06),(2 1177677.6),(3 2093969.8),(4 2997311),(5 3787274.3),(6 4386940.5),(7 4752670.5),(8 4947004.5),(9 5010133.5),(10 5105140.5),(11 5231073),(12 5542189.5),(13 6016999.5),(14 6367061.5),(15 6543706),(16 6748151.5),(17 6916619),(18 6955634.5),(19 6935804.5),(20 6788852),(21 6610778.5),(22 6671046),(23 6815593),(24 6913421.5),(25 7174895),(26 7370250.5),(27 7316923.5),(28 7113417.5),(29 6846764.5),(30 6504789.5),(31 6153938.5),(32 5988946.5),(33 6072189),(34 6219847),(35 6417166),(36 6527923.5),(37 6550466),(38 6579593),(39 6579704),(40 6637930.5),(41 6844346.5),(42 7179170),(43 7607090),(44 8069818.5),(45 8374899.5),(46 8449400),(47 8415092),(48 8327890),(49 8202085.5),(50 8029262),(51 7831097),(52 7707729),(53 7632112),(54 7531733.5),(55 7291180),(56 6896706),(57 6459276.5),(58 6100114),(59 5846376),(60 5735345.5),(61 5803047),(62 5959942),(63 6112553),(64 6175668.5),(65 6082011.5),(66 5938401),(67 5679698),(68 5435292.5),(69 5336895),(70 5158138),(71 4937283.5),(72 4893443.5),(73 4980369),(74 5136196.5),(75 5246877),(76 5344194.5),(77 5535986),(78 5853345),(79 6124007),
(1 371609.72),(2 1197644.1),(3 2088763.9),(4 2848740),(5 3419310.5),(6 3820007.3),(7 4041213.5),(8 4145355.8),(9 4144083),(10 4130518.5),(11 4162493),(12 4288758.5),(13 4506873.5),(14 4693508.5),(15 4842896.5),(16 4928163),(17 4923250),(18 4816157.5),(19 4680488.5),(20 4554102),(21 4438024),(22 4528851),(23 4760043),(24 4952968.5),(25 5209604.5),(26 5379333.5),(27 5367600),(28 5243772),(29 5113629),(30 4970678),(31 4811410.5),(32 4683378.5),(33 4689161.5),(34 4786227),(35 5014678),(36 5197436.5),(37 5250322),(38 5241150.5),(39 5162698.5),(40 5166448),(41 5264895.5),(42 5485891.5),(43 5783857.5),(44 6076113.5),(45 6275335.5),(46 6311088),(47 6302960.5),(48 6257419),(49 6189818),(50 6060880.5),(51 5864395.5),(52 5685217),(53 5497156.5),(54 5343487.5),(55 5241560),(56 5095922),(57 4899843.5),(58 4653438.5),(59 4498898),(60 4455908),(61 4461976),(62 4487739),(63 4478345.5),(64 4431647.5),(65 4356352.5),(66 4263032.5),(67 4126773.8),(68 4049334.5),(69 4110323),(70 4146849.5),(71 4168851),(72 4251379.5),(73 4387727.5),(74 4549548.5),(75 4675432.5),(76 4726647.5),(77 4805256.5),(78 4973020.5),(79 5141408.5),
(1 354147.3),(2 1100037.8),(3 1853164.8),(4 2350928.5),(5 2574959),(6 2661407.5),(7 2706407.5),(8 2718004.5),(9 2759289.3),(10 2818133.8),(11 2890954.3),(12 2952068.8),(13 2999776),(14 3061630.8),(15 3194923.3),(16 3352227.5),(17 3524646.5),(18 3550704),(19 3460532),(20 3382327.3),(21 3355790.5),(22 3409061.5),(23 3587603.3),(24 3795320),(25 4012900.8),(26 4155775.3),(27 4157513.5),(28 4026392.8),(29 3889715.3),(30 3742026.5),(31 3500010.8),(32 3291561.5),(33 3177775.5),(34 3202174.5),(35 3476886),(36 3838319.3),(37 4157907.5),(38 4385317.5),(39 4406315),(40 4384000),(41 4485012),(42 4597147),(43 4683695),(44 4661701),(45 4622664),(46 4573707),(47 4544328),(48 4492303),(49 4498032),(50 4501038.5),(51 4379107.5),(52 4199876),(53 3977808.8),(54 3795050),(55 3675734.5),(56 3562524.5),(57 3427319.3),(58 3352663.5),(59 3398265.5),(60 3580034.5),(61 3798144),(62 3920509.5),(63 3922766),(64 3875155.3),(65 3843912),(66 3883818.5),(67 3915582.5),(68 3927598.8),(69 3983909.3),(70 3969376.5),(71 3913046.5),(72 3865719.3),(73 3926397.5),(74 4076881.5),(75 4203110.5),(76 4243485),(77 4232016),(78 4204739.5),(79 4151432.5),
(1 358820.38),(2 1131399.1),(3 1894016.5),(4 2361512.5),(5 2611576.5),(6 2714292.5),(7 2712362.5),(8 2654828.5),(9 2596026.5),(10 2488347.8),(11 2396453.5),(12 2443864.5),(13 2697986.5),(14 2997321.5),(15 3268376.3),(16 3419791.5),(17 3468288),(18 3334939),(19 3152175.5),(20 3049852.3),(21 3057032),(22 3137817.5),(23 3239471.8),(24 3324468.3),(25 3514399.8),(26 3738364.3),(27 3833506.8),(28 3728709.8),(29 3560915.5),(30 3393483.5),(31 3232530.8),(32 3107386.8),(33 3099595.5),(34 3084383),(35 3150129.3),(36 3244288.5),(37 3371772.5),(38 3465281.8),(39 3519211),(40 3534278.5),(41 3578500.3),(42 3694592.3),(43 3905600),(44 4115557.3),(45 4268379),(46 4348931.5),(47 4424879.5),(48 4361943),(49 4269200.5),(50 4141078.3),(51 3980201.5),(52 3754780.5),(53 3574933),(54 3515201.3),(55 3555605.8),(56 3589577.3),(57 3647852),(58 3693209.5),(59 3753422.3),(60 3867636),(61 3995665.5),(62 3978645),(63 3779162.5),(64 3524710.8),(65 3342794.3),(66 3219758.5),(67 3203505.5),(68 3159295.8),(69 3126424.5),(70 3176946.3),(71 3327857.3),(72 3440414.5),(73 3494634.8),(74 3554977.8),(75 3656532.3),(76 3723366.5),(77 3753159.8),(78 3761458.3),(79 3708368.3),
(1 345553.53),(2 1073102.3),(3 1762151.3),(4 2144378.5),(5 2344192.3),(6 2433876.3),(7 2508294.5),(8 2494749),(9 2435363.8),(10 2352599.5),(11 2316849.3),(12 2380633.5),(13 2573495.3),(14 2753983.5),(15 2863609),(16 2907300.3),(17 2942127),(18 2882093.8),(19 2824913.5),(20 2826918.8),(21 2965341.3),(22 3093003.8),(23 3156045),(24 3173666.5),(25 3205714.5),(26 3292004),(27 3363570.8),(28 3292045.8),(29 3154567.8),(30 3003476.8),(31 2907731.8),(32 2830102.5),(33 2856868.8),(34 2956027.8),(35 3131458.8),(36 3322016),(37 3506040.5),(38 3659971.5),(39 3797749.3),(40 3826664),(41 3780533.8),(42 3762625.3),(43 3875359.5),(44 4070331.8),(45 4286632.5),(46 4381383),(47 4454761),(48 4394609),(49 4191263.3),(50 3899173.8),(51 3654325.5),(52 3388445),(53 3191933.8),(54 3112811.3),(55 3175397),(56 3241660.8),(57 3300709.5),(58 3331028),(59 3362386.8),(60 3459732.3),(61 3565179.3),(62 3550782.3),(63 3383102.3),(64 3109651.3),(65 2920276.5),(66 2857267.3),(67 2879545),(68 2780386.3),(69 2684301.5),(70 2684379.5),(71 2726191.8),(72 2755687.5),(73 2781260),(74 2792410.5),(75 2853788.3),(76 2888638.3),(77 2887168.5),(78 2818758.5),(79 2691290.8),
(1 322864.56),(2 977638.9),(3 1541749.4),(4 1834753.6),(5 2008893),(6 2068731.3),(7 2066678.4),(8 1997634.4),(9 1922804.8),(10 1814268.3),(11 1808954.1),(12 1911578.4),(13 2045825.1),(14 2166414),(15 2309379.3),(16 2381588),(17 2438730.3),(18 2462478),(19 2449674),(20 2427064),(21 2427304),(22 2453902),(23 2425915),(24 2367895.8),(25 2422911.5),(26 2539990),(27 2622545.5),(28 2548980.5),(29 2349243.8),(30 2170220.8),(31 2109548.3),(32 2100457.5),(33 2143856.3),(34 2271601),(35 2436181.8),(36 2563368.8),(37 2676963.3),(38 2749451.8),(39 2803143),(40 2741690.8),(41 2602494),(42 2541079.5),(43 2632439.8),(44 2737526),(45 2805734),(46 2848744),(47 2948479),(48 3015269.3),(49 2933023.8),(50 2697254),(51 2464150),(52 2363686),(53 2345601),(54 2319575.5),(55 2378495.5),(56 2474012.3),(57 2625837.8),(58 2762011),(59 2873589),(60 3011096),(61 3122198),(62 3107964.8),(63 3031103.5),(64 2910452),(65 2711054),(66 2597662.3),(67 2618767),(68 2581024),(69 2538406.8),(70 2561065.5),(71 2641486),(72 2711492.8),(73 2720615.5),(74 2605695),(75 2513456),(76 2451211.8),(77 2471870.3),(78 2477831),(79 2465658),
(1 329880.2),(2 985721.25),(3 1559540.8),(4 1922853.8),(5 2178161),(6 2261853),(7 2181373),(8 2009599.8),(9 1876159.4),(10 1756267),(11 1691708.9),(12 1769671.5),(13 1894425.5),(14 1992982.3),(15 2155433.8),(16 2293866.3),(17 2365925.8),(18 2383287),(19 2350274.3),(20 2327097),(21 2321455),(22 2263066.3),(23 2135761),(24 1991279.1),(25 2018995.8),(26 2191932.5),(27 2384143),(28 2480642.8),(29 2489779),(30 2404918.3),(31 2283611.5),(32 2221753.5),(33 2161268.5),(34 2138493),(35 2167969.8),(36 2215312.5),(37 2327467.3),(38 2430466.8),(39 2494543),(40 2520794.8),(41 2509351),(42 2460252.3),(43 2525919),(44 2604640.3),(45 2664291.5),(46 2687430.3),(47 2752873),(48 2813149),(49 2718758.5),(50 2515959.5),(51 2351098.8),(52 2311416.5),(53 2336218.3),(54 2265067),(55 2206116.5),(56 2216119),(57 2336793.5),(58 2445531.8),(59 2496974.3),(60 2504499.5),(61 2569192.8),(62 2607366),(63 2626975.8),(64 2669375),(65 2587082.3),(66 2458176),(67 2412324.3),(68 2430084.3),(69 2468723),(70 2465181.3),(71 2498674),(72 2529169.5),(73 2512812),(74 2481873.5),(75 2415342.5),(76 2304514.8),(77 2287095.5),(78 2363306),(79 2452933),
(1 297106.97),(2 883020.4),(3 1340947.3),(4 1589018.6),(5 1735376.5),(6 1768364.6),(7 1703342.4),(8 1632934.4),(9 1620611.5),(10 1608770.1),(11 1569691.3),(12 1549225.5),(13 1614607.5),(14 1681275.8),(15 1739847),(16 1763605.8),(17 1804198.3),(18 1837281.4),(19 1869255.5),(20 1889708.3),(21 1926456.6),(22 1863841.8),(23 1727350.1),(24 1621678.3),(25 1671210.1),(26 1785153.4),(27 1881986.8),(28 1963654.5),(29 1999580.8),(30 1974443.3),(31 1930025.6),(32 1876634.8),(33 1850344.1),(34 1789578.5),(35 1739450.1),(36 1742278.5),(37 1844276.3),(38 1952377.4),(39 2015849.9),(40 2023078.1),(41 2108732.8),(42 2114414.3),(43 2113138),(44 2135658.3),(45 2146318),(46 2123509.8),(47 2026505.4),(48 1978927),(49 1957000.4),(50 1900507.3),(51 1881852.8),(52 1880648.8),(53 1929475.9),(54 1916421.6),(55 1873242.6),(56 1878523.5),(57 1884249.9),(58 1841146.1),(59 1760142.1),(60 1689210.9),(61 1750058.1),(62 1859884.1),(63 1974968),(64 2060329.4),(65 2049048.3),(66 1975908.8),(67 1942390.5),(68 1885585.6),(69 1914139.9),(70 1865013.4),(71 1902310.3),(72 2030761.9),(73 2065986.9),(74 1979582.9),(75 1875837),(76 1804569),(77 1806653.6),(78 1858113.6),(79 1940613.6),
