1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 12271.816),(2 39055.855),(3 83020.586),(4 139796.11),(5 203716.58),(6 261375.33),(7 325685.97),(8 404015.34),(9 474964.63),(10 550506.44),(11 633567.56),(12 739941.44),(13 852312.75),(14 986349),(15 1151457.4),(16 1324302.5),(17 1502736.1),(18 1688173.4),(19 1904986.6),(20 2134763),(21 2352161.3),(22 2584254.8),(23 2808211.3),(24 3057122.8),(25 3312610.8),(26 3599530.8),(27 3975324),(28 4358986.5),(29 4740877),(30 5218119.5),(31 5658296.5),(32 6129092),(33 6561521.5),(34 6991064),(35 7414197.5),(36 7833580),(37 8244606.5),(38 8672944),(39 9130784),(40 9625225),(41 10093247),(42 10614895),(43 11158509),(44 11746789),(45 12311741),(46 12912591),(47 13522744),(48 14081125),(49 14619725),(50 15144451),(51 15666651),(52 16199063),(53 16730783),(54 17278808),(55 17860766),(56 18465258),(57 19057558),(58 19565448),(59 20105330),(60 20671052),(61 21229990),(62 21774966),(63 22338758),(64 22912498),(65 23428762),(66 23957478),(67 24483190),(68 24963554),(69 25535390),(70 26092608),(71 26690170),(72 27251594),(73 27821310),(74 28352438),(75 28885934),(76 29394880),(77 29925494),(78 30441018),(79 31039186),
(1 12976.971),(2 45856.293),(3 94601.164),(4 154815.22),(5 220301),(6 288955.2),(7 364963.6),(8 448464.6),(9 537228.9),(10 634385.9),(11 743872.8),(12 870224.8),(13 993319.3),(14 1135854.6),(15 1296371.8),(16 1454416.8),(17 1618841.9),(18 1801699.3),(19 2001199.8),(20 2208193.3),(21 2407315.5),(22 2607302),(23 2804034),(24 3014188),(25 3229514.5),(26 3477184),(27 3738574.5),(28 4008233.5),(29 4287171),(30 4618311),(31 4930089),(32 5264282.5),(33 5595315),(34 5937222.5),(35 6283575.5),(36 6654971.5),(37 7024334.5),(38 7391203),(39 7769061),(40 8149841.5),(41 8508229),(42 8890863),(43 9288917),(44 9705006),(45 10122332),(46 10553243),(47 10978501),(48 11386478),(49 11798397),(50 12193509),(51 12605058),(52 13012790),(53 13404218),(54 13781656),(55 14142998),(56 14479568),(57 14746592),(58 14982288),(59 15242400),(60 15457502),(61 15653395),(62 15809002),(63 15972918),(64 16140981),(65 16296114),(66 16449760),(67 16584978),(68 16754190),(69 16967212),(70 17177812),(71 17400404),(72 17605874),(73 17804152),(74 17961038),(75 18136494),(76 18298500),(77 18480982),(78 18667100),(79 18865494),
(1 17838.025),(2 66646.625),(3 145379.05),(4 249761.38),(5 374316.53),(6 517256.84),(7 678888.2),(8 858172.3),(9 1052990.5),(10 1262965),(11 1492312),(12 1740922.6),(13 2003953.6),(14 2282143.8),(15 2585078.3),(16 2903244),(17 3231668),(18 3578557),(19 3939851.8),(20 4307495),(21 4682295),(22 5049730.5),(23 5419811.5),(24 5786791.5),(25 6165550),(26 6534988),(27 6903040),(28 7275409.5),(29 7642512),(30 8030010.5),(31 8398461),(32 8761920),(33 9139828),(34 9479955),(35 9825325),(36 10156384),(37 10471913),(38 10748319),(39 11020897),(40 11277016),(41 11501100),(42 11738741),(43 11975085),(44 12200912),(45 12443956),(46 12644304),(47 12847080),(48 13038144),(49 13231496),(50 13397348),(51 13568672),(52 13716979),(53 13873147),(54 14014319),(55 14155995),(56 14261283),(57 14323504),(58 14374945),(59 14481129),(60 14538037),(61 14610645),(62 14634201),(63 14647529),(64 14631383),(65 14618567),(66 14569155),(67 14526868),(68 14515187),(69 14545227),(70 14557221),(71 14606892),(72 14638177),(73 14692856),(74 14705485),(75 14734907),(76 14768320),(77 14807341),(78 14845620),(79 14893152),
(1 20127.992),(2 75236.63),(3 162460.47),(4 278268.5),(5 417527.28),(6 580167.3),(7 767716.56),(8 978600.25),(9 1208591.8),(10 1459354.5),(11 1728916),(12 2011254.3),(13 2305865),(14 2613659.5),(15 2937733),(16 3274453),(17 3626722),(18 3989204.5),(19 4360461.5),(20 4743161),(21 5147610),(22 5554834.5),(23 5968994.5),(24 6377213),(25 6813985.5),(26 7240912),(27 7685693.5),(28 8141913),(29 8612939),(30 9095548),(31 9557397),(32 10010464),(33 10457141),(34 10867477),(35 11267959),(36 11609908),(37 11937520),(38 12231796),(39 12511343),(40 12791695),(41 13021728),(42 13236614),(43 13431211),(44 13606688),(45 13777102),(46 13905070),(47 14013828),(48 14079774),(49 14128955),(50 14135687),(51 14143959),(52 14144101),(53 14142811),(54 14134966),(55 14120219),(56 14093658),(57 14066578),(58 14018905),(59 13998914),(60 13956412),(61 13905814),(62 13838592),(63 13753108),(64 13645227),(65 13535419),(66 13419340),(67 13308756),(68 13204845),(69 13123376),(70 13035792),(71 12956060),(72 12872592),(73 12779988),(74 12664549),(75 12549981),(76 12428118),(77 12305328),(78 12192975),(79 12082039),
(1 17584.465),(2 64452.76),(3 138067.63),(4 231299.69),(5 343324.3),(6 471955.4),(7 617003.44),(8 777627.06),(9 950446.94),(10 1136651.3),(11 1333967.1),(12 1537408),(13 1743076.8),(14 1951054.5),(15 2182459),(16 2429488.5),(17 2685762.5),(18 2944555.8),(19 3215784.8),(20 3495916),(21 3794286.3),(22 4092523.8),(23 4393761.5),(24 4685572.5),(25 4985026),(26 5269694),(27 5566004.5),(28 5880291.5),(29 6201077),(30 6532566.5),(31 6864279.5),(32 7195664),(33 7524352),(34 7837320.5),(35 8141453),(36 8415315),(37 8675677),(38 8910465),(39 9145847),(40 9387533),(41 9601226),(42 9797499),(43 9985788),(44 10161743),(45 10338938),(46 10498585),(47 10639693),(48 10775004),(49 10903066),(50 10987207),(51 11105370),(52 11210135),(53 11305531),(54 11396971),(55 11473357),(56 11544519),(57 11608918),(58 11654300),(59 11725432),(60 11774618),(61 11816391),(62 11824193),(63 11833822),(64 11816529),(65 11813429),(66 11809524),(67 11806009),(68 11800378),(69 11809231),(70 11799085),(71 11806740),(72 11789023),(73 11775239),(74 11733418),(75 11687651),(76 11644567),(77 11612003),(78 11574977),(79 11540164),
(1 19153.254),(2 73324.266),(3 161028.42),(4 276962.4),(5 417114.3),(6 575706.9),(7 756281),(8 962563.3),(9 1188613.8),(10 1435956.6),(11 1698678.4),(12 1974523),(13 2260325.5),(14 2560778.5),(15 2885594.8),(16 3233185.8),(17 3584084.8),(18 3941066.5),(19 4293863),(20 4648923.5),(21 5008197),(22 5362373.5),(23 5710237.5),(24 6042593.5),(25 6371066.5),(26 6676227),(27 6978014.5),(28 7268885),(29 7563042.5),(30 7845619),(31 8132216),(32 8395222),(33 8656891),(34 8890755),(35 9099581),(36 9250882),(37 9371954),(38 9459205),(39 9542190),(40 9605037),(41 9645470),(42 9655807),(43 9679014),(44 9686470),(45 9693793),(46 9677678),(47 9652513),(48 9612794),(49 9570510),(50 9500169),(51 9435974),(52 9343300),(53 9262794),(54 9166675),(55 9077635),(56 8997293),(57 8950494),(58 8894482),(59 8870771),(60 8857057),(61 8872006),(62 8879501),(63 8895974),(64 8904358),(65 8916318),(66 8911027),(67 8898035),(68 8882606),(69 8900075),(70 8891864),(71 8891770),(72 8880466),(73 8871909),(74 8831294),(75 8804288),(76 8753543),(77 8711906),(78 8655105),(79 8596456),
(1 18294.635),(2 68449.484),(3 148090.33),(4 253435.83),(5 383542.03),(6 539025.4),(7 717456.1),(8 922719.44),(9 1144697.1),(10 1382910),(11 1637056.9),(12 1913469.8),(13 2195892),(14 2482163.8),(15 2785727),(16 3092962.3),(17 3406296.3),(18 3730598.3),(19 4046884.5),(20 4356678),(21 4659333.5),(22 4951065.5),(23 5221666),(24 5474023.5),(25 5718875.5),(26 5933483.5),(27 6125661),(28 6305002),(29 6468183),(30 6607992),(31 6744474),(32 6863258),(33 6965629),(34 7038270),(35 7100752),(36 7146959.5),(37 7188041),(38 7197272.5),(39 7197535.5),(40 7191485.5),(41 7175932.5),(42 7157587),(43 7145189),(44 7132447),(45 7117016),(46 7090094),(47 7066439.5),(48 7046369),(49 7033240),(50 7000263),(51 6961605),(52 6912181.5),(53 6865362),(54 6804462),(55 6747650),(56 6667144.5),(57 6578807.5),(58 6464492.5),(59 6355452.5),(60 6238397.5),(61 6127203.5),(62 6020706.5),(63 5921986),(64 5821123),(65 5723091.5),(66 5630691.5),(67 5541480),(68 5452242),(69 5376723),(70 5296626.5),(71 5229400.5),(72 5171670),(73 5123586),(74 5076746),(75 5044316.5),(76 5024732),(77 5034839),(78 5057372.5),(79 5096809),
(1 24405.084),(2 91590.87),(3 198515.9),(4 338105.84),(5 505334.06),(6 697996),(7 914457.44),(8 1149618.9),(9 1399291.6),(10 1662204.5),(11 1934856.3),(12 2207452.3),(13 2471881),(14 2731073),(15 2986032),(16 3234832),(17 3473543.5),(18 3692782.8),(19 3908791.8),(20 4106337),(21 4298833.5),(22 4475298.5),(23 4632337),(24 4772170.5),(25 4905593.5),(26 5036283.5),(27 5174038),(28 5324829),(29 5481905.5),(30 5637572.5),(31 5787983.5),(32 5934174.5),(33 6086314.5),(34 6223374),(35 6346577),(36 6470594),(37 6586857.5),(38 6674976.5),(39 6769081.5),(40 6859137),(41 6938646),(42 7013802.5),(43 7097477),(44 7162146.5),(45 7228319),(46 7289929.5),(47 7341780.5),(48 7377671),(49 7416893),(50 7427440),(51 7438705),(52 7450909.5),(53 7467494.5),(54 7466197),(55 7460662.5),(56 7429625.5),(57 7397058.5),(58 7357813),(59 7323256),(60 7270165.5),(61 7211009),(62 7139510.5),(63 7057638.5),(64 6953279),(65 6860562),(66 6761837),(67 6666705),(68 6559410.5),(69 6450939),(70 6336801),(71 6218227.5),(72 6088313.5),(73 5953117),(74 5804241),(75 5656085.5),(76 5513911.5),(77 5389501.5),(78 5269206.5),(79 5155547),
(1 22249.309),(2 82848.25),(3 177068.13),(4 301621.94),(5 448811.72),(6 620994.1),(7 811343),(8 1015312),(9 1228681.6),(10 1452782.6),(11 1680063.5),(12 1910044.9),(13 2140166),(14 2361567),(15 2581014.5),(16 2798956.5),(17 3011325.3),(18 3208333.8),(19 3391328.5),(20 3562778.3),(21 3722209.8),(22 3862587.8),(23 3988831.5),(24 4101422),(25 4202804.5),(26 4284759),(27 4366890.5),(28 4440761.5),(29 4512015.5),(30 4575787.5),(31 4629547),(32 4679010.5),(33 4718687.5),(34 4748658.5),(35 4772541),(36 4796526),(37 4813363),(38 4818786.5),(39 4834504.5),(40 4839345.5),(41 4851159.5),(42 4849821),(43 4856148),(44 4857984),(45 4871664),(46 4883884),(47 4903129),(48 4916479.5),(49 4939355),(50 4945861),(51 4951813.5),(52 4959001.5),(53 4963078.5),(54 4954986.5),(55 4940860),(56 4909582.5),(57 4871355.5),(58 4819414.5),(59 4759404),(60 4689431.5),(61 4623204),(62 4554258),(63 4487141.5),(64 4418436),(65 4365727.5),(66 4316164.5),(67 4267805),(68 4222379.5),(69 4176874.3),(70 4133408),(71 4105680.5),(72 4079946.8),(73 4060350),(74 4039140.8),(75 4021033.5),(76 4001374),(77 3991125.3),(78 3976439),(79 3965127.5),
(1 26247.813),(2 99700.125),(3 217164.08),(4 371511.38),(5 556757.6),(6 769458.5),(7 1001750.9),(8 1251050.3),(9 1509355.9),(10 1778039.1),(11 2056029.5),(12 2338121.3),(13 2635157),(14 2931353),(15 3222348.3),(16 3501669),(17 3772002.3),(18 4017982.8),(19 4247570),(20 4460063.5),(21 4657168),(22 4832526),(23 4988985),(24 5120958),(25 5235188.5),(26 5321808.5),(27 5393154),(28 5444611.5),(29 5489608.5),(30 5521510),(31 5538230),(32 5531558),(33 5520155.5),(34 5484087.5),(35 5438665),(36 5381214),(37 5313418),(38 5236186.5),(39 5167111),(40 5094808),(41 5030618),(42 4974627.5),(43 4933594),(44 4889606),(45 4858497),(46 4820132.5),(47 4788150.5),(48 4756054.5),(49 4727342.5),(50 4694078),(51 4664529),(52 4639617.5),(53 4609078),(54 4572489),(55 4532890.5),(56 4479066),(57 4422151),(58 4355098),(59 4297213.5),(60 4240090),(61 4192262.3),(62 4135474.8),(63 4072888),(64 4000425),(65 3924103),(66 3839703.5),(67 3760758.3),(68 3683337.8),(69 3606396.8),(70 3530829.5),(71 3462390.3),(72 3401099.5),(73 3352102.3),(74 3314881),(75 3284540),(76 3257989),(77 3242584.5),(78 3223730.8),(79 3211964.8),
(1 22661.734),(2 86097.57),(3 185930.38),(4 316562.6),(5 470653.72),(6 645974.8),(7 836537.6),(8 1038075.3),(9 1245613.3),(10 1458138.6),(11 1665800.8),(12 1865670.8),(13 2057630.6),(14 2245813.3),(15 2425544),(16 2600738),(17 2781029.3),(18 2948811.8),(19 3118769),(20 3285857),(21 3448075.3),(22 3606782.8),(23 3754043.5),(24 3886937.3),(25 4012730.3),(26 4126893.3),(27 4241852),(28 4340346.5),(29 4417720.5),(30 4485968),(31 4546739),(32 4598410.5),(33 4643524),(34 4686505),(35 4733353),(36 4777925.5),(37 4817692),(38 4846331.5),(39 4868388),(40 4879702.5),(41 4875995.5),(42 4859733.5),(43 4827576),(44 4781910.5),(45 4722508),(46 4655950.5),(47 4583717),(48 4498569.5),(49 4419863),(50 4342566),(51 4273815),(52 4216985.5),(53 4168788.3),(54 4115429.8),(55 4069140.8),(56 4022577),(57 3980142),(58 3944112.8),(59 3916944.5),(60 3892335.5),(61 3873765.5),(62 3858069),(63 3842711.3),(64 3823903.3),(65 3801225.3),(66 3772351.5),(67 3750030.5),(68 3729081.3),(69 3709048.5),(70 3666553.5),(71 3620650.5),(72 3563486.5),(73 3501233),(74 3430958.3),(75 3358040.5),(76 3285520),(77 3219662),(78 3164340.5),(79 3122171),
