(1 1898194.4),(2 1895816.4),(3 3428362.5),(4 8346008.5),(5 9803876),(6 9811693),(7 10276353),(8 11921038),(9 11078525),(10 11081163),(11 11499402),(12 12754255),(13 12367304),(14 12366474),(15 13308936),(16 15356701),(17 18311866),(18 18314686),(19 20265668),(20 18846060),(21 18292182),(22 18293348),(23 19183252),(24 18015412),(25 17918952),(26 17928798),(27 20371236),(28 22520922),(29 25372254),(30 25400690),(31 24324616),(32 26465484),(33 23767780),(34 23769968),(35 23532780),(36 24034474),(37 23404004),(38 23413552),(39 24364564),(40 26562982),(41 27267216),(42 27242334),(43 24399130),(44 24395952),(45 24395522),
(1 1465214.6),(2 1462831.5),(3 3269593.3),(4 7810704),(5 11401535),(6 11401648),(7 11317661),(8 10294523),(9 13895524),(10 13900320),(11 14831179),(12 12532833),(13 11597991),(14 11594061),(15 13868249),(16 15997045),(17 20648954),(18 20632054),(19 20679690),(20 22048880),(21 21157170),(22 21151336),(23 22876360),(24 26705472),(25 23978952),(26 23969370),(27 20184290),(28 20082104),(29 22094930),(30 22093334),(31 18570578),(32 25147008),(33 22326912),(34 22328226),(35 22881418),(36 26118518),(37 24679630),(38 24680462),(39 27107488),(40 32540776),(41 30507610),(42 30510106),(43 28275360),(44 28294794),(45 28291570),
(1 1397537.9),(2 1395047.6),(3 2460869),(4 6848908),(5 8071211.5),(6 8072785.5),(7 8854833),(8 9447634),(9 11398333),(10 11392003),(11 14036901),(12 13261198),(13 12735695),(14 12743932),(15 12779817),(16 14088961),(17 14518892),(18 14521932),(19 15336576),(20 17568076),(21 17579076),(22 17563026),(23 18615744),(24 20766750),(25 17976690),(26 17962020),(27 20173392),(28 18802734),(29 19512912),(30 19505896),(31 18771846),(32 21104252),(33 20159020),(34 20163648),(35 20030792),(36 20379490),(37 21592866),(38 21569776),(39 21391024),(40 16546555),(41 15993673),(42 15984973),(43 15918277),(44 15926812),(45 15935825),
(1 1247023),(2 1247620.6),(3 2156074.3),(4 4145755),(5 5715556),(6 5705821),(7 6531704.5),(8 8630961),(9 9766997),(10 9767578),(11 9062351),(12 8893580),(13 9225658),(14 9219927),(15 10312124),(16 12137385),(17 14386303),(18 14394113),(19 14366452),(20 14296991),(21 14105862),(22 14100291),(23 12975681),(24 15975282),(25 12588330),(26 12580897),(27 13317489),(28 14823918),(29 15277015),(30 15264906),(31 14378886),(32 15576340),(33 15837669),(34 15833861),(35 13483909),(36 14118506),(37 15656346),(38 15665536),(39 14094353),(40 14656582),(41 16037901),(42 16047424),(43 15149034),(44 15165473),(45 15172612),
(1 1018239.44),(2 1016686.3),(3 2522296),(4 3901404.3),(5 4591900),(6 4596238),(7 5758220),(8 5453540.5),(9 6600878),(10 6602143.5),(11 6644141),(12 8924113),(13 8777978),(14 8780213),(15 8726764),(16 10072127),(17 11431736),(18 11437024),(19 12282748),(20 12472839),(21 11975354),(22 11979226),(23 12761841),(24 11370956),(25 11002426),(26 11008933),(27 11613445),(28 10288735),(29 12675761),(30 12695961),(31 12244129),(32 12017672),(33 11864485),(34 11868289),(35 10638118),(36 9387383),(37 9825427),(38 9835594),(39 10022381),(40 10045242),(41 10663358),(42 10668895),(43 10300117),(44 10286235),(45 10286938),
(1 1104953.1),(2 1104117.4),(3 2014954),(4 3547177),(5 3927588.3),(6 3929818.3),(7 4995423.5),(8 4983065),(9 5951661),(10 5950577),(11 5753265.5),(12 7472414),(13 7355963.5),(14 7348807.5),(15 7546658),(16 7256016),(17 7370509.5),(18 7379975),(19 8059195),(20 7614772.5),(21 8574578),(22 8578148),(23 10102885),(24 9405143),(25 8642490),(26 8646444),(27 8417137),(28 9796276),(29 9962812),(30 9962427),(31 10037438),(32 8487047),(33 9011063),(34 9000716),(35 9562855),(36 9159314),(37 8654595),(38 8656710),(39 9071630),(40 9144130),(41 9021809),(42 9027038),(43 9601408),(44 9596654),(45 9593021),
(1 807754.75),(2 807683.3),(3 1796996.9),(4 3266699.8),(5 4291333.5),(6 4293765.5),(7 4117609.3),(8 5526484.5),(9 6411235),(10 6413507.5),(11 5932820.5),(12 6634634.5),(13 6674507.5),(14 6671793.5),(15 6565133.5),(16 6574889.5),(17 6305968),(18 6309978),(19 6764594.5),(20 7188111),(21 8569787),(22 8569748),(23 9043339),(24 9376097),(25 9399630),(26 9393724),(27 8189967),(28 8403696),(29 8140604),(30 8136405.5),(31 9463585),(32 9010749),(33 9173917),(34 9180071),(35 9245035),(36 9915499),(37 9451061),(38 9455662),(39 9131612),(40 9622749),(41 9060564),(42 9061638),(43 8950069),(44 8948062),(45 8949820),
(1 609703),(2 609001.1),(3 1638764.6),(4 2773608.3),(5 3177796),(6 3182303.8),(7 3386556.5),(8 4788004),(9 6041550.5),(10 6045471),(11 5364198),(12 6233016),(13 5860112),(14 5870685.5),(15 5989386.5),(16 5814189),(17 5772151.5),(18 5768925.5),(19 5609786),(20 6361922.5),(21 7090627),(22 7096906.5),(23 8486329),(24 8345411),(25 7784317.5),(26 7782257),(27 8153289.5),(28 7078200),(29 7728925.5),(30 7726513.5),(31 7710425),(32 7166320.5),(33 8530017),(34 8528630),(35 8576157),(36 8556071),(37 7858998),(38 7862239.5),(39 7616536),(40 6417906.5),(41 6590032),(42 6591532),(43 7132178.5),(44 7141895.5),(45 7143612),
(1 519594.7),(2 521532.72),(3 1265850.5),(4 2015102.3),(5 3103752.5),(6 3106607.5),(7 3509286.8),(8 3342876),(9 4216893),(10 4219634.5),(11 5058963),(12 4880249.5),(13 4908050),(14 4912329),(15 4997255),(16 5592595.5),(17 5622548),(18 5625056),(19 6464335),(20 5781343),(21 6967701.5),(22 6970566),(23 7191442),(24 7263877),(25 7133026),(26 7137855.5),(27 6802820.5),(28 6652207),(29 7439533),(30 7434977),(31 7103035.5),(32 7365659.5),(33 8523438),(34 8521643),(35 8129522.5),(36 8819657),(37 8527311),(38 8532425),(39 8538943),(40 8465692),(41 7460918),(42 7464181),(43 8053990),(44 8051587),(45 8052328),
(1 478448.38),(2 477715.47),(3 1133311.5),(4 2564689.5),(5 2889742),(6 2888829.5),(7 3314784.3),(8 3372350.8),(9 4031813.3),(10 4030821.3),(11 4965057.5),(12 5694845.5),(13 5316436.5),(14 5317821.5),(15 5812084),(16 5814818),(17 6023013),(18 6021118.5),(19 6371644.5),(20 6373038.5),(21 6635611),(22 6643479.5),(23 6614235.5),(24 6241349),(25 6461205),(26 6458413.5),(27 6656946),(28 6106043),(29 6877240),(30 6879897),(31 6707966),(32 5872899.5),(33 5822133.5),(34 5826843),(35 5464431),(36 5981353.5),(37 5655278.5),(38 5652446.5),(39 5889201.5),(40 5626673.5),(41 6489534.5),(42 6499067),(43 6960996.5),(44 6961715),(45 6961630.5),
