1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 726318.06),(2 2043110),(3 3419749.8),(4 4336164),(5 5234471.5),(6 6104669.5),(7 7037050.5),(8 8217792),(9 9678833),(10 10774543),(11 11633835),(12 11964169),(13 12451037),(14 13263048),(15 14565968),(16 15811289),(17 17571978),(18 19285386),(19 20172176),(20 20895414),(21 21310664),(22 21877842),(23 22717472),(24 23505146),(25 24222208),(26 24825272),(27 25033264),(28 25013058),(29 25039654),(30 25312808),(31 25422678),(32 26106912),(33 26736698),(34 27120304),(35 26868288),(36 26884336),(37 27416266),(38 28570558),(39 29620738),(40 30360258),(41 30740752),(42 31372808),(43 32232000),(44 32775090),(45 33289712),(46 33300682),(47 33638436),(48 34386236),(49 34706884),(50 35061810),(51 35587970),(52 35995276),(53 37033668),(54 38781748),(55 40720132),(56 42467212),(57 43424144),(58 43422364),(59 44400124),(60 45539996),(61 47232660),(62 48858450),(63 50782156),(64 52198420),(65 53533588),(66 53829764),(67 54630370),(68 56302468),(69 57341748),(70 57908850),(71 58223584),(72 58716588),(73 60438060),(74 61752896),(75 62905860),(76 63828864),(77 64885390),(78 65315820),(79 66165580),
(1 695549.1),(2 2099984.5),(3 3649011.3),(4 5085321),(5 6460621),(6 7711989),(7 9027162),(8 10504091),(9 12268878),(10 13908787),(11 15107174),(12 15986125),(13 16646608),(14 17391448),(15 18503878),(16 19550352),(17 20654182),(18 21745224),(19 22436704),(20 22836410),(21 22670372),(22 22444524),(23 22113724),(24 21806332),(25 21279690),(26 20851254),(27 20418128),(28 20163112),(29 20134416),(30 20126244),(31 19877328),(32 19976420),(33 19853830),(34 19580644),(35 19133620),(36 18711980),(37 18257980),(38 18036492),(39 17987904),(40 18236952),(41 18633180),(42 19188116),(43 19627322),(44 20165818),(45 20875794),(46 21375036),(47 21995036),(48 22410372),(49 22598550),(50 22628020),(51 22194700),(52 21768554),(53 21556576),(54 21117980),(55 20415012),(56 19580704),(57 18663910),(58 18082922),(59 17753956),(60 17635674),(61 17369940),(62 16782308),(63 16369942),(64 15892290),(65 15217549),(66 14549808),(67 14133626),(68 13805510),(69 13505909),(70 13175917),(71 12785011),(72 12451422),(73 12416515),(74 12520973),(75 12942237),(76 13591776),(77 14408206),(78 15416302),(79 16231942),
(1 742328.3),(2 2280242.5),(3 4163808.8),(4 6123353.5),(5 8111902.5),(6 10212500),(7 12616035),(8 15069501),(9 17448696),(10 19858294),(11 21943118),(12 23778880),(13 25031808),(14 26134742),(15 27218534),(16 28217624),(17 29059578),(18 29767878),(19 30586608),(20 30930254),(21 30523306),(22 29755442),(23 28988488),(24 28371758),(25 27895682),(26 27848502),(27 27688342),(28 27681024),(29 27895472),(30 27840800),(31 27940848),(32 28524326),(33 29065334),(34 29572432),(35 30025792),(36 30225750),(37 30055104),(38 30197784),(39 30198470),(40 30167538),(41 29903928),(42 29913072),(43 30323040),(44 30528806),(45 30687728),(46 30916590),(47 30769882),(48 30537462),(49 30145680),(50 29727334),(51 29277358),(52 28922560),(53 28321354),(54 27643766),(55 26877424),(56 26142424),(57 25433546),(58 24999056),(59 24485728),(60 24204704),(61 23735754),(62 23284890),(63 23018720),(64 22854808),(65 22595152),(66 22396960),(67 22572470),(68 22812592),(69 23174474),(70 23408144),(71 23361894),(72 23136024),(73 22814512),(74 22652870),(75 22782598),(76 23104614),(77 23495706),(78 23854846),(79 24164032),
(1 736337.3),(2 2387273),(3 4604149.5),(4 7037429.5),(5 9567228),(6 12240971),(7 15050016),(8 18013258),(9 20788318),(10 23370246),(11 25582666),(12 27270140),(13 28288440),(14 28508006),(15 28428570),(16 28248168),(17 27865020),(18 27402130),(19 26674894),(20 25911104),(21 25164210),(22 24297440),(23 23532160),(24 22992192),(25 22690870),(26 22605084),(27 22820196),(28 23049564),(29 23654308),(30 24394018),(31 25068548),(32 25681994),(33 26140724),(34 26661792),(35 27514970),(36 28326532),(37 28885316),(38 29316502),(39 29502202),(40 29618378),(41 29552744),(42 29284938),(43 29083868),(44 28621192),(45 28077528),(46 27567658),(47 26787146),(48 25902858),(49 24941486),(50 23878568),(51 22889542),(52 22156634),(53 21576686),(54 21257096),(55 21186180),(56 21470724),(57 21870972),(58 22417092),(59 23096600),(60 23857754),(61 24793042),(62 25802990),(63 26726778),(64 27493714),(65 28060802),(66 28721316),(67 28921666),(68 28998676),(69 28947618),(70 28718834),(71 28556420),(72 28207884),(73 27873576),(74 27742134),(75 27882024),(76 27871008),(77 27663136),(78 27559998),(79 27457048),
(1 1050391.9),(2 3519977),(3 6938747),(4 10977789),(5 15231089),(6 19499098),(7 23726258),(8 27494272),(9 30412102),(10 32315938),(11 33240856),(12 33746628),(13 33511808),(14 32171072),(15 30449094),(16 28725004),(17 26822444),(18 25012322),(19 23515496),(20 22663014),(21 22337568),(22 22289566),(23 22436302),(24 23115102),(25 23830408),(26 24462584),(27 25064134),(28 25649152),(29 26116562),(30 26647936),(31 26985632),(32 27358690),(33 27458900),(34 27414216),(35 27390638),(36 27621242),(37 28075974),(38 28612690),(39 29305606),(40 30070888),(41 30616664),(42 31114338),(43 31406360),(44 31605160),(45 31180358),(46 30749574),(47 30168014),(48 29392958),(49 28416936),(50 27429726),(51 26239238),(52 25098118),(53 24159282),(54 23559826),(55 23313732),(56 23420374),(57 23598994),(58 23875312),(59 24259656),(60 24512512),(61 24519810),(62 24638254),(63 24839674),(64 24912934),(65 24740314),(66 24603020),(67 24340316),(68 24013598),(69 23552264),(70 22943236),(71 22181848),(72 21571966),(73 21194514),(74 20932162),(75 20856766),(76 20842002),(77 20900742),(78 21332238),(79 21959982),
(1 1154810.4),(2 3725486.5),(3 7064382.5),(4 10682079),(5 14314278),(6 17849164),(7 20777484),(8 23089156),(9 24332192),(10 24700780),(11 24343490),(12 23864820),(13 23123616),(14 21975318),(15 20642520),(16 19502550),(17 18498684),(18 18105908),(19 17978012),(20 17961316),(21 18200522),(22 18614488),(23 19151884),(24 19873968),(25 20243288),(26 20327172),(27 20412490),(28 20537382),(29 20813638),(30 21226500),(31 21274404),(32 21049066),(33 20585436),(34 20028388),(35 19628924),(36 19482484),(37 19521650),(38 19781168),(39 20512090),(40 21401378),(41 22140260),(42 22640326),(43 22678412),(44 22556724),(45 21933852),(46 21163284),(47 20245846),(48 19248604),(49 18404804),(50 17741328),(51 17180620),(52 16775872),(53 16636803),(54 16488309),(55 16500618),(56 16671202),(57 16983208),(58 17491380),(59 18330308),(60 19268684),(61 20265616),(62 21113892),(63 21531852),(64 21869454),(65 22014708),(66 22288110),(67 22529328),(68 22544826),(69 22285148),(70 21529948),(71 20442964),(72 19325244),(73 18339260),(74 17440956),(75 16743066),(76 16354336),(77 16385126),(78 16783652),(79 17341258),
(1 1212994.5),(2 3970777.8),(3 7372017),(4 10802233),(5 13985839),(6 16719621),(7 18719196),(8 20046580),(9 20457166),(10 20034068),(11 19084210),(12 18224662),(13 17456188),(14 16624396),(15 15877355),(16 15488357),(17 15329002),(18 15256602),(19 15029495),(20 14612974),(21 14363236),(22 14244710),(23 14376955),(24 14659707),(25 15150372),(26 15696038),(27 16265894),(28 17014562),(29 17546150),(30 17939422),(31 18142604),(32 18389826),(33 18483600),(34 18523264),(35 18421270),(36 18203980),(37 17849120),(38 17502616),(39 17197416),(40 16909552),(41 16718626),(42 16572175),(43 16261879),(44 16041776),(45 15783698),(46 15700306),(47 15815116),(48 16015065),(49 16251897),(50 16463950),(51 16557088),(52 16372703),(53 15916647),(54 15442950),(55 14977076),(56 14721460),(57 14436864),(58 14401790),(59 14736706),(60 15479440),(61 16653808),(62 18124412),(63 19605110),(64 21077088),(65 22279332),(66 23067222),(67 23480874),(68 23409298),(69 22918430),(70 22143080),(71 21179380),(72 20124050),(73 19293162),(74 18639182),(75 18224984),(76 18298020),(77 18481276),(78 19030240),(79 19646260),
(1 1540850.6),(2 5224759.5),(3 9809322),(4 14397035),(5 18203558),(6 20788290),(7 21933102),(8 22073674),(9 21233326),(10 19959500),(11 18722354),(12 17639094),(13 17027820),(14 17060326),(15 17465362),(16 18039630),(17 18682798),(18 19186880),(19 18927534),(20 18251406),(21 17456264),(22 16868580),(23 16473856),(24 16662128),(25 17156136),(26 17564170),(27 18070062),(28 18383464),(29 18320798),(30 18017484),(31 17533902),(32 16964556),(33 16695066),(34 16915406),(35 17301502),(36 17617052),(37 17673578),(38 17444770),(39 16877444),(40 16217777),(41 15804813),(42 15671504),(43 15643484),(44 15871623),(45 16245235),(46 16706183),(47 17320462),(48 17993010),(49 18682414),(50 19138678),(51 19150984),(52 18784564),(53 18125980),(54 17289956),(55 16588177),(56 16302493),(57 16419200),(58 16893298),(59 17656052),(60 18208706),(61 18600756),(62 18663572),(63 18456038),(64 18366602),(65 18535970),(66 18932724),(67 19321842),(68 19633186),(69 19718590),(70 19239834),(71 18561888),(72 17911710),(73 17279684),(74 17063892),(75 17167524),(76 17534830),(77 17959846),(78 18113490),(79 18068566),
(1 2069214.1),(2 7292068),(3 14004977),(4 20181842),(5 24677658),(6 26630896),(7 25987724),(8 23592152),(9 20715254),(10 18339576),(11 16915696),(12 16794246),(13 18068114),(14 20297382),(15 22589020),(16 24105574),(17 24150894),(18 22645186),(19 19994944),(20 17181466),(21 15364568),(22 14946937),(23 15862423),(24 17605870),(25 19709072),(26 21599854),(27 22808806),(28 22830736),(29 21793754),(30 20140024),(31 18247198),(32 16542837),(33 15403412),(34 14961124),(35 14926854),(36 15385697),(37 15919160),(38 16566618),(39 16913826),(40 16982652),(41 17040312),(42 17085250),(43 17156744),(44 17195954),(45 17283268),(46 17246160),(47 17073724),(48 16784078),(49 16580907),(50 16367567),(51 16039535),(52 15681421),(53 15530804),(54 15753301),(55 16178095),(56 16956410),(57 17864822),(58 18439666),(59 18676826),(60 18601814),(61 17966870),(62 16902950),(63 15939136),(64 15203256),(65 15090802),(66 15784843),(67 16718935),(68 17625296),(69 18016336),(70 17683282),(71 16862232),(72 15991659),(73 15498431),(74 15493609),(75 16009261),(76 16795756),(77 17732864),(78 18440472),(79 18696670),
(1 2239405.3),(2 7791617),(3 14507964),(4 20499848),(5 24354730),(6 25606286),(7 24142966),(8 20842538),(9 17114004),(10 14076145),(11 12366244),(12 12307340),(13 13754388),(14 16016133),(15 18225308),(16 19714300),(17 20270244),(18 19901586),(19 18867474),(20 17942894),(21 17358096),(22 17048412),(23 16839772),(24 16642460),(25 16736021),(26 17298784),(27 17893554),(28 18484782),(29 18797924),(30 18751890),(31 18296810),(32 17352366),(33 16046247),(34 14742628),(35 13728814),(36 13684720),(37 14480786),(38 16032996),(39 17802366),(40 19258802),(41 20029180),(42 20112728),(43 19748800),(44 18958752),(45 18245978),(46 17725796),(47 17549146),(48 17680174),(49 17882520),(50 17793000),(51 17319438),(52 16362628),(53 15370919),(54 14845711),(55 14987826),(56 16023163),(57 17847484),(58 19821800),(59 21598232),(60 22455112),(61 22105248),(62 20657652),(63 18581814),(64 16476380),(65 15069540),(66 14999904),(67 16192409),(68 18175272),(69 20172922),(70 21322934),(71 21425280),(72 20427784),(73 18701320),(74 16964546),(75 15729508),(76 15403111),(77 16118048),(78 17593432),(79 19381596),
(1 3569969.5),(2 12150713),(3 21854704),(4 29295356),(5 31749168),(6 28848218),(7 22239724),(8 15005884),(9 10623867),(10 10527988),(11 14233816),(12 20129426),(13 25646364),(14 28753558),(15 28667996),(16 25655014),(17 21550860),(18 18260864),(19 17002786),(20 17866050),(21 20313516),(22 22861796),(23 24293718),(24 24221854),(25 22822348),(26 20840580),(27 19203344),(28 18304332),(29 18375220),(30 19251208),(31 20583176),(32 21642248),(33 21900948),(34 21221240),(35 19784256),(36 18089090),(37 16865328),(38 16526543),(39 17123830),(40 18566370),(41 20202870),(42 21238298),(43 21049374),(44 19596032),(45 17794966),(46 16290575),(47 16101342),(48 17091920),(49 18838272),(50 20769498),(51 21963332),(52 21686286),(53 19971448),(54 17753778),(55 15899578),(56 15377544),(57 16572290),(58 19257350),(59 22298544),(60 24573756),(61 25139132),(62 23861000),(63 21256802),(64 18473184),(65 16896076),(66 16842376),(67 18561390),(68 21068990),(69 23607126),(70 24945170),(71 24316756),(72 21786402),(73 18206712),(74 15145789),(75 13700605),(76 14509815),(77 17065642),(78 20222500),(79 22663174),
