1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 24891.19),(2 73112.555),(3 113977.02),(4 142179.89),(5 160427.47),(6 172478.63),(7 182236.86),(8 192507.06),(9 202101.6),(10 211507.6),(11 218969.13),(12 221951.5),(13 222906.73),(14 222253.81),(15 222700.53),(16 224508.72),(17 227218.8),(18 229673.28),(19 231286.6),(20 230480.88),(21 229470.69),(22 229160.53),(23 227695.72),(24 226204.25),(25 225249.4),(26 225125.7),(27 224811.84),(28 224639.67),(29 225142.88),(30 225863.4),(31 227449.47),(32 228322.55),(33 231819.94),(34 233376.55),(35 235319.4),(36 237731.47),(37 240321.72),(38 241771.98),(39 241397.28),(40 242392.67),(41 244794.06),(42 246509.63),(43 248176.38),(44 250474.84),(45 251566.3),(46 252962.8),(47 254617.63),(48 255208.14),(49 258166.69),(50 259135.33),(51 257961.06),(52 258126.25),(53 256307.03),(54 255367.22),(55 255535.8),(56 256695.77),(57 255274.39),(58 253625.94),(59 254101.02),(60 257571.8),(61 261148.28),(62 263937.94),(63 267359.7),(64 270587.3),(65 271647.25),(66 271173.88),(67 268013.75),(68 265396.8),(69 264594.78),(70 263869.1),(71 263034.72),(72 263347.53),(73 263496.3),(74 262678.28),(75 260286.39),(76 258660.78),(77 255962.39),(78 254462.8),(79 254486.23),
(1 24651.178),(2 72901.14),(3 112161.48),(4 138022.14),(5 154079.88),(6 166287.84),(7 177746.45),(8 190632.06),(9 200805.31),(10 208550.73),(11 213296.16),(12 217464.86),(13 217931.14),(14 218000.23),(15 219543.05),(16 220689.05),(17 220738.45),(18 219625.73),(19 219508.9),(20 219003.47),(21 222206.23),(22 223032.4),(23 221410.16),(24 220232.7),(25 222327.31),(26 224139.6),(27 224887.89),(28 225312.23),(29 225140.02),(30 224457.03),(31 222422.64),(32 220406.16),(33 218627.83),(34 219352.22),(35 221404.34),(36 223427.13),(37 225819.89),(38 229079.47),(39 231930.27),(40 231664.7),(41 229035.16),(42 226723.81),(43 225756.64),(44 226187.95),(45 228051.5),(46 230444.02),(47 232772),(48 236648.97),(49 241360.1),(50 240518.05),(51 241178.36),(52 242368.58),(53 244397.39),(54 246395.25),(55 246321.56),(56 247757.61),(57 243787.95),(58 242383.39),(59 243102.67),(60 244739.03),(61 246758.97),(62 250254.34),(63 256740.69),(64 263615.75),(65 265921.7),(66 266818.94),(67 266554.2),(68 265897.34),(69 266164.25),(70 264379.28),(71 264952.44),(72 268247.3),(73 270709.8),(74 272055.7),(75 271291.13),(76 269506.72),(77 268779.7),(78 268457.97),(79 267866.6),
(1 24398.389),(2 70663.99),(3 106585.44),(4 129837.36),(5 145526.5),(6 159253.6),(7 172994.27),(8 187145.56),(9 199118.66),(10 208504.56),(11 215740.83),(12 220196.44),(13 218401.11),(14 216201.16),(15 217359.88),(16 220140.88),(17 220768.22),(18 220361.95),(19 220372.67),(20 221094.84),(21 223472.02),(22 223978.02),(23 223533.3),(24 224963.83),(25 227498.05),(26 226840.44),(27 225013.39),(28 223104.17),(29 222951.02),(30 223434.6),(31 222992),(32 224023.02),(33 226962.38),(34 228175.39),(35 228261.56),(36 228191.33),(37 228206.16),(38 229726.05),(39 230854.95),(40 227997.22),(41 225848.72),(42 226663.4),(43 229496.8),(44 232207.72),(45 234189.16),(46 236676.28),(47 240482.66),(48 242812.61),(49 239666.6),(50 235544.8),(51 232058.16),(52 232899.77),(53 234502.7),(54 236074.28),(55 235608.38),(56 233240.61),(57 231197.66),(58 230924.66),(59 230873.95),(60 231606.13),(61 233713.56),(62 235818.1),(63 238743.72),(64 241999.73),(65 243369.05),(66 245379.56),(67 249047.33),(68 250877.39),(69 250075.88),(70 248247.52),(71 247382.23),(72 248872.61),(73 249887.33),(74 249441.77),(75 248530.72),(76 249552.39),(77 254158.95),(78 257388.39),(79 259505),
(1 24361.31),(2 70209.63),(3 104977.75),(4 124499.484),(5 136314.77),(6 148168.69),(7 162940.66),(8 177363.2),(9 188828.38),(10 198767.2),(11 207319.28),(12 213989.88),(13 215058.53),(14 217047.95),(15 220750.9),(16 222397.64),(17 222413.05),(18 221526.6),(19 220878.25),(20 222095.23),(21 222212.44),(22 219324.84),(23 216160.11),(24 215438.06),(25 215819.31),(26 214723.16),(27 212678.28),(28 212200.53),(29 213513.95),(30 216216.44),(31 218998.08),(32 219372.48),(33 218827.69),(34 218047.63),(35 216864.5),(36 215187.03),(37 216051.58),(38 218660.73),(39 222596.38),(40 223470.38),(41 224270.78),(42 226310.36),(43 228610.61),(44 230755.14),(45 232282.31),(46 233159.77),(47 235067.2),(48 235010.8),(49 230559.22),(50 227883.47),(51 227613.47),(52 227457.11),(53 224473.53),(54 222477.64),(55 218980.25),(56 218231.5),(57 219206.02),(58 218613.38),(59 218420.66),(60 220846.02),(61 223908.61),(62 226313.89),(63 227826.92),(64 230419.38),(65 233801.94),(66 239568.66),(67 242874.11),(68 244930.9),(69 245908.44),(70 247550.9),(71 247670.78),(72 246832.83),(73 245464.02),(74 244302.72),(75 243887.69),(76 246398.19),(77 248089.98),(78 248799.16),(79 250338.67),
(1 24550.896),(2 71010.33),(3 107424.14),(4 129789.9),(5 144213.03),(6 156523.42),(7 169180.64),(8 181015.88),(9 189914.23),(10 196572.73),(11 201633.98),(12 204195.72),(13 204105.17),(14 205656.61),(15 207179.42),(16 206155.23),(17 203267.88),(18 202910.89),(19 205409.86),(20 206742.75),(21 207137.86),(22 206998.44),(23 207313.75),(24 209206.44),(25 211084.47),(26 211711.42),(27 211071.88),(28 209921.13),(29 208809.23),(30 208612.16),(31 207446.83),(32 206653.72),(33 209190.47),(34 210078.84),(35 210254.66),(36 210912.75),(37 212999.7),(38 214695.13),(39 216186.73),(40 214979.17),(41 216517.55),(42 219157.75),(43 220879.64),(44 222969.7),(45 223768.44),(46 223689.7),(47 223498.25),(48 221171.17),(49 222030.58),(50 223264.5),(51 221095.8),(52 217779.23),(53 214059.64),(54 211932.02),(55 208119.64),(56 206780.23),(57 206312.44),(58 205990.9),(59 206810.06),(60 209248.72),(61 213204),(62 216127.06),(63 219394.14),(64 223695.95),(65 227495.23),(66 232988.2),(67 235348.02),(68 235442.45),(69 235430.53),(70 235363.61),(71 234585.17),(72 233699.13),(73 231977.7),(74 231156.52),(75 233594.14),(76 233298.31),(77 236072.13),(78 240042.16),(79 244455.69),
(1 23646.566),(2 68976.555),(3 104878.49),(4 127923.81),(5 142662.97),(6 154794.28),(7 166134.1),(8 176583.27),(9 185018.8),(10 190573.14),(11 194834.81),(12 198790.34),(13 200230.13),(14 202716.63),(15 203647.88),(16 201887.08),(17 200136.86),(18 199763),(19 201807.2),(20 203206.58),(21 202709.72),(22 201253.25),(23 201047.66),(24 202654.4),(25 203378.88),(26 202394.94),(27 201507.89),(28 200126.81),(29 198556.11),(30 198946.14),(31 200252.89),(32 202970.39),(33 204782.08),(34 203492),(35 202059.31),(36 202905.63),(37 205393.02),(38 208655.14),(39 211116.28),(40 211386.61),(41 212212.58),(42 214403.72),(43 216296.66),(44 216959.38),(45 216753.55),(46 216739.31),(47 215663.14),(48 215109.11),(49 216336.95),(50 217478.72),(51 216615.34),(52 214129.31),(53 213045.66),(54 213466.84),(55 214719.25),(56 216059.34),(57 216528.75),(58 217130.39),(59 216498),(60 216143.27),(61 217754.63),(62 220180.86),(63 222827.19),(64 224387.19),(65 226277.55),(66 230551.38),(67 233206.6),(68 234814.78),(69 237931.78),(70 241029.52),(71 241082.19),(72 238225.13),(73 234285.05),(74 231142.13),(75 229860.16),(76 229839.05),(77 231315.78),(78 231405.42),(79 231200.53),
(1 23545.791),(2 66841.27),(3 100939.38),(4 123013.31),(5 137030.81),(6 148610.84),(7 158411.53),(8 168228.89),(9 178815.92),(10 187828.13),(11 193681.84),(12 200738.48),(13 205096.81),(14 208205.64),(15 208950.67),(16 208758.06),(17 207565.7),(18 208168.28),(19 210302.7),(20 210911.08),(21 208278.83),(22 206903.75),(23 204956.89),(24 204644.08),(25 204416.4),(26 205476.14),(27 208826.42),(28 212284.98),(29 213594.63),(30 213474),(31 214652.22),(32 214852.56),(33 214090.34),(34 212093.58),(35 210430.83),(36 211604.28),(37 213243.95),(38 217191.58),(39 222347.5),(40 223982.58),(41 224924.61),(42 225411.81),(43 226189.67),(44 226556.55),(45 225800),(46 222865.36),(47 220051.38),(48 219356.3),(49 218505.67),(50 216687.3),(51 214947.25),(52 214263.66),(53 215046.83),(54 215066.05),(55 216142.64),(56 218570.14),(57 219190.34),(58 220114.81),(59 221601.53),(60 223943.6),(61 226291.31),(62 227988.73),(63 228110.19),(64 228668.92),(65 230250.34),(66 233301.7),(67 235436.63),(68 236903.53),(69 238005.86),(70 237743.84),(71 237018.22),(72 234860.14),(73 233463.81),(74 233016.27),(75 234336.75),(76 234559.38),(77 232846.58),(78 230439.23),(79 228079.52),
(1 22613.074),(2 63927.926),(3 97843.98),(4 121317.53),(5 137431.48),(6 147649.39),(7 155475.72),(8 163671.53),(9 173398.81),(10 182226.39),(11 188078.06),(12 194820.08),(13 199688.72),(14 204321.58),(15 205615.02),(16 204147.27),(17 201869.06),(18 201466.06),(19 201215.84),(20 200718.22),(21 200257.94),(22 199584.84),(23 198275.31),(24 198361.31),(25 198338.84),(26 198187.34),(27 199641.47),(28 199683.5),(29 198193.48),(30 196374.66),(31 196029.5),(32 196054.52),(33 197728.45),(34 199511.69),(35 201647.53),(36 204321.66),(37 207296.81),(38 210654.53),(39 213056.97),(40 213506.47),(41 215139.11),(42 217518.16),(43 218595.92),(44 219186.17),(45 218629.58),(46 217781.5),(47 218369.28),(48 219751.7),(49 220520.61),(50 217191.34),(51 213358.94),(52 209591.83),(53 207075.69),(54 206416.31),(55 205926.36),(56 206079.94),(57 207562.66),(58 209771.5),(59 213340.64),(60 218131.16),(61 222100.1),(62 224548.94),(63 225966.66),(64 227000.34),(65 227834.22),(66 227592.31),(67 230324.14),(68 233563.34),(69 235572.02),(70 236259.1),(71 236974.69),(72 237636.16),(73 235782.08),(74 231893.66),(75 231222.55),(76 232513.7),(77 232644.98),(78 232258.97),(79 232398.77),
(1 22752.686),(2 62884.523),(3 94405.45),(4 115364.58),(5 129488.63),(6 139676.61),(7 148018.17),(8 155925.44),(9 163491.84),(10 170250.64),(11 176784.27),(12 183184.94),(13 188755.73),(14 192477.3),(15 194269.81),(16 193085.83),(17 191967.02),(18 192140.72),(19 193987.08),(20 195908.53),(21 197514.66),(22 199377.45),(23 201002.42),(24 202543.06),(25 203649.89),(26 204068.45),(27 204549.38),(28 204074.98),(29 203140.64),(30 202428.25),(31 202991.42),(32 201332.38),(33 200855.55),(34 199459.92),(35 196871.19),(36 197732.2),(37 200761.33),(38 204257.03),(39 206254.2),(40 205278.53),(41 205037.94),(42 205404.42),(43 205251.33),(44 203748.13),(45 201227.64),(46 199969.03),(47 199744.52),(48 200281.08),(49 200099.92),(50 198755.84),(51 198888.66),(52 200070.75),(53 201114.08),(54 199946.16),(55 199317.45),(56 201564.81),(57 205058.89),(58 206959.03),(59 209607.66),(60 213444.48),(61 217951.81),(62 220688.16),(63 223139.78),(64 225648.13),(65 226603.33),(66 225921.52),(67 224933.47),(68 223343.89),(69 221651.16),(70 221236.17),(71 221022.48),(72 222457.97),(73 223994.88),(74 225254.52),(75 226644.94),(76 224889.39),(77 222938.19),(78 220977.2),(79 221636.33),
(1 22720.834),(2 62669.375),(3 93449.73),(4 114183.26),(5 128923.695),(6 139557.78),(7 147647.72),(8 154124.64),(9 159936.56),(10 165949.56),(11 170956.2),(12 175455.89),(13 179775.13),(14 184732.34),(15 187259.94),(16 186392.73),(17 185022.53),(18 185491.4),(19 188022.45),(20 191253.52),(21 195105.34),(22 198783.52),(23 200546.11),(24 201132.52),(25 199681.78),(26 198076.39),(27 197850.25),(28 197412.33),(29 195283.7),(30 193621.67),(31 193405.06),(32 191236.6),(33 190233.02),(34 188374.19),(35 188077.88),(36 191866.19),(37 196863.06),(38 200897.1),(39 201955.52),(40 201629.19),(41 202050.23),(42 201032.86),(43 199018.11),(44 197575.52),(45 199105.13),(46 202085.5),(47 204107.56),(48 202914.73),(49 202758.86),(50 202649.92),(51 201576.77),(52 200135.86),(53 199506.92),(54 198850.34),(55 199310.33),(56 199441.17),(57 199767.08),(58 200960.81),(59 204343.22),(60 208399.52),(61 211945.97),(62 215332.45),(63 218624.11),(64 221019.45),(65 222579.6),(66 223374.97),(67 222103.05),(68 221225.69),(69 222131.8),(70 222467.77),(71 222947.83),(72 223510.02),(73 224322.94),(74 222645.98),(75 220872.36),(76 217465.47),(77 216251.16),(78 215569.14),(79 214725.22),
(1 22566.877),(2 61701.996),(3 90532.71),(4 110350.23),(5 127434.85),(6 140961.58),(7 149469.19),(8 154446.13),(9 159854.17),(10 165697.11),(11 169649.61),(12 174958.55),(13 180648.31),(14 185704.8),(15 187001.64),(16 185582.38),(17 184333.88),(18 184856.64),(19 187839.16),(20 191461.16),(21 193275.1),(22 194364.95),(23 193325.45),(24 195116.97),(25 196889.84),(26 197771.02),(27 197330.3),(28 196311.84),(29 194541.77),(30 193424),(31 192380.52),(32 191325.53),(33 191411.36),(34 191590.5),(35 191929.92),(36 193749.5),(37 194404.61),(38 193320.98),(39 192043.25),(40 192229.8),(41 191658.08),(42 189792.17),(43 188798.34),(44 190853.02),(45 194612.6),(46 195501.45),(47 195248.53),(48 195366.38),(49 196063.05),(50 195534.6),(51 194087.17),(52 194555.47),(53 196585.06),(54 197924.95),(55 199161.27),(56 199279.36),(57 201955.42),(58 206426.6),(59 209993.11),(60 212222.42),(61 215565.88),(62 217496.58),(63 219059.33),(64 219399.78),(65 217565.53),(66 215118.22),(67 214463.39),(68 214749.2),(69 212591.17),(70 211734.69),(71 211733.28),(72 211270.08),(73 208766.06),(74 204141.95),(75 201205.27),(76 198074.67),(77 197865.42),(78 199238.1),(79 200162.02),
(1 21808.996),(2 58600.78),(3 84928.83),(4 101828.695),(5 116792.93),(6 130408.63),(7 140052.39),(8 146490.56),(9 152998.7),(10 160117.13),(11 165143.34),(12 169777.77),(13 171346.75),(14 172911.92),(15 173673.97),(16 172135.16),(17 171835.06),(18 173951.13),(19 178271.16),(20 181714.72),(21 182710.13),(22 181215.16),(23 179911.45),(24 181136.55),(25 183545.23),(26 184260.92),(27 184958.94),(28 187184.17),(29 189557.03),(30 191468.67),(31 191741.58),(32 191036.84),(33 189883.69),(34 189653.52),(35 189794.31),(36 190917.36),(37 191711.27),(38 193969.36),(39 197152.92),(40 197035.78),(41 194829.3),(42 192789.06),(43 191267.8),(44 191035.19),(45 190121.16),(46 189542.3),(47 189899.19),(48 190323.16),(49 189853.38),(50 188157.61),(51 186776.33),(52 186723.67),(53 188724.77),(54 192402.63),(55 193742.11),(56 195041.58),(57 194512.13),(58 195483.86),(59 196159.5),(60 197358.78),(61 199133.36),(62 199036.95),(63 199182.25),(64 198628.55),(65 197255.48),(66 196138.45),(67 194959.8),(68 195004.67),(69 195184.42),(70 193419.08),(71 192878.78),(72 193155.66),(73 192372.9),(74 191331.23),(75 189788.95),(76 188292.92),(77 186893.5),(78 186682.06),(79 185522.92),
(1 21849.186),(2 59563.51),(3 85026.97),(4 100444.86),(5 114212.234),(6 127654.72),(7 137013.03),(8 142935.63),(9 148046.23),(10 153929.72),(11 158883.53),(12 160869.55),(13 162441.47),(14 163998.73),(15 165779.42),(16 165351.4),(17 165876.14),(18 167317.28),(19 168253.69),(20 166777.56),(21 165523.69),(22 166552.28),(23 167845.75),(24 169973.66),(25 171490.06),(26 173419.06),(27 175522.73),(28 176680.81),(29 178376.63),(30 179661.7),(31 178359.31),(32 177794.14),(33 179361.33),(34 180363.05),(35 180437.33),(36 179651.13),(37 179727.52),(38 181248.48),(39 182382.06),(40 181222.8),(41 180749.44),(42 182042.3),(43 182010.63),(44 182078.94),(45 182473.44),(46 182779.19),(47 182431.23),(48 180297.47),(49 180494.77),(50 180689.66),(51 181231.67),(52 182436.75),(53 184304.13),(54 186761.67),(55 188471.02),(56 187876.77),(57 184644.52),(58 185462.53),(59 187564.11),(60 190001.52),(61 191182.06),(62 190274.9),(63 189788.02),(64 189598.61),(65 188127.81),(66 186098.61),(67 186018.58),(68 186108.28),(69 185557.1),(70 184344.13),(71 184071.33),(72 182223.88),(73 179902.48),(74 178537.72),(75 177639.06),(76 175963.44),(77 176575.83),(78 177305.14),(79 178975.05),
(1 22331.826),(2 60845.41),(3 85037.05),(4 98753.94),(5 112988.62),(6 129190.336),(7 141347.55),(8 148691.97),(9 154080.03),(10 159240.5),(11 161186.95),(12 162180.64),(13 163677.25),(14 165532.1),(15 165194.03),(16 164861.92),(17 166190.25),(18 168615.2),(19 170098.66),(20 169176.13),(21 168487.66),(22 169704.34),(23 170817.31),(24 173067.84),(25 176091.11),(26 178077.23),(27 178361.03),(28 178116.2),(29 178030.25),(30 178045.61),(31 178232.56),(32 177913.03),(33 179440.22),(34 180007.84),(35 180712.02),(36 182797.3),(37 185908.86),(38 188484.86),(39 190035.56),(40 190416.45),(41 191773.4),(42 194054.8),(43 193409.33),(44 193691.73),(45 194801.48),(46 193672.3),(47 190757.55),(48 186561.6),(49 186838.95),(50 185973.45),(51 185414.95),(52 186533.88),(53 189865.78),(54 191832.22),(55 192016.67),(56 190519.64),(57 186852.48),(58 186264.2),(59 184690.45),(60 184297.7),(61 184915.8),(62 184891.9),(63 182739.92),(64 180081.61),(65 178379.6),(66 179647.9),(67 180709.17),(68 182103.34),(69 182225.55),(70 180426.48),(71 178026.89),(72 175738.95),(73 174655.48),(74 175130.55),(75 176492.73),(76 178830.38),(77 179095.7),(78 176760.78),(79 175733.45),
(1 22075.832),(2 58566.355),(3 82483.32),(4 96771.66),(5 109110.414),(6 121471.055),(7 131028.23),(8 138060.34),(9 143123.31),(10 147903.75),(11 152572.63),(12 155265.2),(13 157889.5),(14 159684.39),(15 160434.8),(16 161611.97),(17 162669.81),(18 162540.25),(19 162071.89),(20 161756.3),(21 162462.89),(22 163302.61),(23 164319.73),(24 165502.72),(25 166285.77),(26 166673.7),(27 167178.72),(28 166752.52),(29 165822.92),(30 164007.03),(31 163457.42),(32 161776.7),(33 159289.34),(34 157247.63),(35 155499.52),(36 156136.81),(37 157474.02),(38 158756.19),(39 160112.63),(40 161079.55),(41 162884.72),(42 163403.36),(43 162588.52),(44 163062.77),(45 164139.36),(46 163910.9),(47 161797.58),(48 159450.9),(49 159808.8),(50 159294.88),(51 160027.36),(52 161966.4),(53 163805.83),(54 163582.38),(55 166582.3),(56 168731.63),(57 168237.42),(58 169263.36),(59 171541.89),(60 175752.67),(61 177908.69),(62 175933.97),(63 173357.97),(64 172551.48),(65 172383.31),(66 174892.31),(67 177434.97),(68 178363.44),(69 178599.39),(70 176682.39),(71 172937.9),(72 171002.23),(73 171569.23),(74 173175.6),(75 177598.94),(76 175701.11),(77 173493.77),(78 170058.3),(79 167132.44),
(1 21800.467),(2 57911.3),(3 81564.61),(4 95897.18),(5 108423.11),(6 119044.66),(7 127214.01),(8 133004.48),(9 136690.64),(10 140120.53),(11 142450.13),(12 147257.02),(13 151645.28),(14 154589.17),(15 156349.9),(16 157522.63),(17 157681.08),(18 158484.86),(19 159988.11),(20 160091.63),(21 159500.11),(22 158925.44),(23 158598.86),(24 158694.58),(25 158168.97),(26 157278.03),(27 156148.6),(28 154598.88),(29 153415.98),(30 153171.52),(31 152564.7),(32 151299.73),(33 149837.63),(34 149729.23),(35 149527.39),(36 149463.19),(37 149345.19),(38 149501.67),(39 150519.56),(40 151875.3),(41 154291.88),(42 156328.27),(43 158241.48),(44 159476.8),(45 159749.02),(46 160707.6),(47 162081.36),(48 162904.89),(49 161711.89),(50 164248.08),(51 166370.61),(52 168070.4),(53 169097.13),(54 170358.61),(55 173503.28),(56 174782.22),(57 175118.53),(58 178112.3),(59 181016.06),(60 181440.89),(61 180289.6),(62 176724.13),(63 172929.14),(64 171686.36),(65 172021.88),(66 174117.64),(67 176272.4),(68 176528.88),(69 174890.44),(70 173011.86),(71 170801.58),(72 168886.8),(73 168493.92),(74 169589.97),(75 172453.36),(76 170928.58),(77 169554.78),(78 168558.8),(79 167076.5),
(1 20989.492),(2 56579.723),(3 79179.95),(4 92317.21),(5 103057.195),(6 110961.45),(7 117519.05),(8 123730.95),(9 129258.74),(10 131843.05),(11 133253.05),(12 135897.2),(13 139189.53),(14 139419.3),(15 138686.22),(16 138879.16),(17 140150.38),(18 141885.17),(19 144739.33),(20 145374.14),(21 141967.34),(22 139718.81),(23 140013.2),(24 143567.3),(25 147374.25),(26 148739.92),(27 148175.63),(28 147401.14),(29 147122.69),(30 147025.55),(31 147283.45),(32 146959.42),(33 145573.55),(34 145354.28),(35 143711.1),(36 142255.81),(37 141205.81),(38 141480.19),(39 142673.3),(40 144526.42),(41 146467.52),(42 149594.08),(43 151469.33),(44 150768.7),(45 149204.5),(46 148563.58),(47 148799.7),(48 150025.95),(49 151530.5),(50 152678.77),(51 153392.67),(52 153568.14),(53 153000.8),(54 153045.72),(55 154967.23),(56 155067.44),(57 153916.61),(58 154675.72),(59 155376.5),(60 156472.56),(61 156290.9),(62 154684.5),(63 154659.67),(64 155603.98),(65 155964.94),(66 158717.56),(67 160626.69),(68 161410.53),(69 161215.86),(70 159934.75),(71 158393.53),(72 157922.48),(73 158492.48),(74 159129.28),(75 158616.05),(76 156811.97),(77 155457.6),(78 153545.47),(79 153912.3),
(1 21497.404),(2 56617.668),(3 78525.375),(4 91380.32),(5 102120.016),(6 109375.59),(7 114343.84),(8 119815.47),(9 124601.29),(10 127520.76),(11 130039.03),(12 134660.36),(13 137284.16),(14 137874.89),(15 138604.8),(16 140146.8),(17 142212.4),(18 143373.77),(19 144216.86),(20 143545.78),(21 142488.83),(22 141610.14),(23 141796.75),(24 143793.86),(25 144982.8),(26 144954.5),(27 145116.72),(28 145426.02),(29 145160.03),(30 144856.16),(31 144567.98),(32 144104.23),(33 143644.06),(34 143290.83),(35 144020.08),(36 145741.78),(37 147928.77),(38 149806.88),(39 151402.38),(40 153168.64),(41 154812.83),(42 156503.48),(43 156364.22),(44 154910.27),(45 153018.7),(46 152383.02),(47 150803.8),(48 148495.98),(49 146984.61),(50 146303.05),(51 146192.05),(52 147304.38),(53 148464.36),(54 149983.72),(55 150177.69),(56 149741.8),(57 148144.45),(58 148459.03),(59 150710.28),(60 151285.08),(61 149813.88),(62 148468.13),(63 149511.13),(64 151795.6),(65 153319.84),(66 154264.25),(67 153536.77),(68 151971.4),(69 150930.67),(70 151797.4),(71 153174.08),(72 154223.48),(73 156000.53),(74 156574.88),(75 156345.1),(76 154657.58),(77 154888.4),(78 155781.3),(79 156851.05),
