1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 52914.11),(2 162064.8),(3 291417.5),(4 437319.9),(5 581726.7),(6 744296.5),(7 886697.8),(8 1023094.94),(9 1148563.5),(10 1248484.6),(11 1340092.6),(12 1426317.4),(13 1540060),(14 1684680.4),(15 1821752.4),(16 1965965.4),(17 2122831.8),(18 2250421.3),(19 2354403.3),(20 2403085.3),(21 2431438),(22 2442068.3),(23 2434105.8),(24 2423256),(25 2410689),(26 2431707),(27 2477258.3),(28 2529107.8),(29 2614715.5),(30 2710544.3),(31 2774201),(32 2819536),(33 2893143.8),(34 2917842),(35 2953782.8),(36 2991723.3),(37 3009402),(38 3066218.8),(39 3112338.8),(40 3166067.3),(41 3258550),(42 3376950.8),(43 3503230),(44 3641734),(45 3731980),(46 3764671.3),(47 3773460.8),(48 3765257.3),(49 3744215.3),(50 3669106.8),(51 3587520.8),(52 3525502.3),(53 3490424.8),(54 3465317.3),(55 3443119.3),(56 3450115.3),(57 3453036),(58 3456209.3),(59 3485122),(60 3503202.3),(61 3527066.8),(62 3592733.8),(63 3620244.8),(64 3658682.8),(65 3750343.3),(66 3826976.8),(67 3940305.8),(68 4067504),(69 4213712.5),(70 4385745.5),(71 4574145.5),(72 4729052.5),(73 4932953.5),(74 5117874),(75 5301267),(76 5499442),(77 5696279.5),(78 5901048.5),(79 6116144.5),
(1 51925.234),(2 155435.89),(3 278442.53),(4 421829.8),(5 584816.9),(6 761923.75),(7 936092.2),(8 1122353.4),(9 1296195),(10 1471322.6),(11 1648078.3),(12 1819955.6),(13 2008304.8),(14 2204790.5),(15 2376242.3),(16 2549662.3),(17 2721120),(18 2866720.8),(19 3014867.5),(20 3113092.8),(21 3186745),(22 3244957.5),(23 3289623.3),(24 3340619.5),(25 3385918.5),(26 3430919.3),(27 3463361.5),(28 3500993.3),(29 3551700.8),(30 3602899.3),(31 3634504.8),(32 3640632.5),(33 3683227.3),(34 3711465.5),(35 3748998.8),(36 3775450.5),(37 3791003.3),(38 3809048.8),(39 3856295.3),(40 3901291.5),(41 3951200.5),(42 4029695.5),(43 4114724.8),(44 4210171.5),(45 4313392),(46 4398374.5),(47 4511323.5),(48 4631928),(49 4718896.5),(50 4778546.5),(51 4808998.5),(52 4847031.5),(53 4877450.5),(54 4896250.5),(55 4974589.5),(56 5046517.5),(57 5137439.5),(58 5235178),(59 5344154.5),(60 5460086),(61 5569372),(62 5674582),(63 5727365),(64 5796355),(65 5877468),(66 5929598),(67 6020166.5),(68 6112799),(69 6203978.5),(70 6314138.5),(71 6459556),(72 6593767),(73 6738757),(74 6852483),(75 6942558.5),(76 7046278.5),(77 7162483),(78 7305408),(79 7440190.5),
(1 57666.105),(2 179387.58),(3 341981.63),(4 547761.75),(5 774423.7),(6 1008554.44),(7 1245024.6),(8 1488081.5),(9 1724781.6),(10 1973681.9),(11 2216781.8),(12 2460079.8),(13 2721395.3),(14 2978325.3),(15 3225325.3),(16 3464641),(17 3688540),(18 3886904.8),(19 4077649),(20 4220883.5),(21 4325628),(22 4406122.5),(23 4472113.5),(24 4509993.5),(25 4523218.5),(26 4509034),(27 4488571),(28 4473089),(29 4467417),(30 4480865),(31 4499189.5),(32 4512286),(33 4546495.5),(34 4580451),(35 4647545.5),(36 4688281.5),(37 4749816.5),(38 4810954.5),(39 4873585.5),(40 4933634.5),(41 4989582.5),(42 5059965.5),(43 5150042.5),(44 5264057.5),(45 5405535.5),(46 5572994.5),(47 5777198.5),(48 5993804),(49 6202540),(50 6403788),(51 6549726),(52 6711110.5),(53 6834938.5),(54 6979273.5),(55 7141080.5),(56 7268300),(57 7423666.5),(58 7569029.5),(59 7706174),(60 7835019.5),(61 7973547.5),(62 8065775.5),(63 8149264),(64 8212616),(65 8271818.5),(66 8302282.5),(67 8314528),(68 8314099.5),(69 8306128),(70 8282683.5),(71 8277410.5),(72 8259462),(73 8249970),(74 8262613.5),(75 8211623.5),(76 8133935.5),(77 8080054),(78 7998696.5),(79 7938557.5),
(1 48273.797),(2 153436.14),(3 289580.94),(4 448257.88),(5 616917.56),(6 795102.9),(7 967375.3),(8 1127856.5),(9 1277795.5),(10 1417257.8),(11 1542592.9),(12 1648219.9),(13 1742607.1),(14 1833215.4),(15 1917303.1),(16 1996678),(17 2072958.3),(18 2164667.5),(19 2256393.3),(20 2371629.3),(21 2497503.5),(22 2645262.3),(23 2809794.3),(24 2947070.8),(25 3072866.8),(26 3181555.3),(27 3287251.5),(28 3389931.8),(29 3499750),(30 3635150.8),(31 3773271.5),(32 3922662.3),(33 4119464),(34 4320642),(35 4533637.5),(36 4731614),(37 4924227.5),(38 5120577),(39 5299679.5),(40 5465833.5),(41 5613633),(42 5768808),(43 5910252.5),(44 6073853.5),(45 6266933.5),(46 6494846.5),(47 6744978),(48 7001348.5),(49 7285814),(50 7606477.5),(51 7876554.5),(52 8155242),(53 8365810),(54 8595615),(55 8848211),(56 9073049),(57 9297534),(58 9483365),(59 9673939),(60 9826265),(61 9967504),(62 10100384),(63 10231652),(64 10333534),(65 10447381),(66 10550229),(67 10640110),(68 10716770),(69 10795255),(70 10834758),(71 10860358),(72 10896636),(73 10910306),(74 10953733),(75 10963895),(76 10934651),(77 10895211),(78 10817484),(79 10739265),
(1 37301.824),(2 115856.43),(3 209861.3),(4 317105.3),(5 428987.2),(6 535218.06),(7 633610.75),(8 720953.8),(9 803954.2),(10 873019.25),(11 940941.8),(12 1006277.6),(13 1084562.9),(14 1173072.1),(15 1279498),(16 1391118.1),(17 1513945.1),(18 1636109.5),(19 1747751.6),(20 1849141.3),(21 1927670),(22 2008311.6),(23 2083548.8),(24 2155055.5),(25 2220630.5),(26 2290675),(27 2364010.3),(28 2448090.5),(29 2548232.3),(30 2642023),(31 2746086.3),(32 2841785.8),(33 2931529.8),(34 3022811),(35 3096825),(36 3170412.3),(37 3250613),(38 3346879.3),(39 3437867),(40 3557253),(41 3684619),(42 3821044.3),(43 3993457.5),(44 4141216.8),(45 4324068.5),(46 4499572.5),(47 4694930),(48 4871317),(49 5036184),(50 5189639.5),(51 5347611),(52 5505736.5),(53 5668079.5),(54 5866465.5),(55 6086103.5),(56 6304803),(57 6544398.5),(58 6753287.5),(59 6972499),(60 7159025.5),(61 7340571.5),(62 7509008),(63 7654350.5),(64 7771825.5),(65 7894256),(66 7996987.5),(67 8086547),(68 8175902),(69 8226334.5),(70 8292040.5),(71 8357556.5),(72 8418688),(73 8486947),(74 8586961),(75 8651395),(76 8715833),(77 8777540),(78 8863143),(79 8944998),
(1 42223.375),(2 134349.97),(3 259684.45),(4 410228.78),(5 573492.1),(6 746465.1),(7 909563.2),(8 1078913.3),(9 1244923.5),(10 1404154.6),(11 1559925.8),(12 1721897.6),(13 1883288),(14 2085644.6),(15 2284533.3),(16 2499418.8),(17 2694628.3),(18 2864310.8),(19 2999712),(20 3127519.3),(21 3210170.3),(22 3288767.5),(23 3354721.5),(24 3406400),(25 3449352.8),(26 3491925.5),(27 3537761.5),(28 3600869.3),(29 3681151.3),(30 3771955.3),(31 3879400),(32 3983672),(33 4088206.8),(34 4226028),(35 4356825.5),(36 4502880.5),(37 4632019),(38 4811503),(39 4984412),(40 5171568.5),(41 5351628),(42 5567719),(43 5793505.5),(44 6017935),(45 6218020.5),(46 6434123.5),(47 6639921),(48 6842619),(49 7012053),(50 7165373),(51 7315265),(52 7453269),(53 7585974.5),(54 7752457.5),(55 7910264),(56 8076720),(57 8233817),(58 8391430),(59 8559816),(60 8703888),(61 8835952),(62 8990422),(63 9101775),(64 9187630),(65 9272962),(66 9356477),(67 9450290),(68 9570254),(69 9644262),(70 9721490),(71 9830982),(72 9934005),(73 10032113),(74 10119643),(75 10207729),(76 10290691),(77 10397275),(78 10526110),(79 10666475),
(1 39239.2),(2 124262.07),(3 232174.25),(4 354347.94),(5 482701.34),(6 618100.4),(7 745215.1),(8 862856.56),(9 959897.25),(10 1046714.1),(11 1108635.5),(12 1170599.9),(13 1235394.3),(14 1314632.8),(15 1400999.3),(16 1507994.6),(17 1615798.8),(18 1727994.5),(19 1835867.5),(20 1922024.1),(21 1989053.8),(22 2047730),(23 2108884.8),(24 2163798.5),(25 2229336.8),(26 2303091),(27 2372089.3),(28 2479653.8),(29 2617995.8),(30 2764549.8),(31 2921129.5),(32 3081590.5),(33 3244382.8),(34 3394848.5),(35 3561950.3),(36 3709186.8),(37 3841813.5),(38 3997291),(39 4135785.8),(40 4256455),(41 4359205),(42 4476869),(43 4598294),(44 4728800.5),(45 4846193),(46 4976362),(47 5092062),(48 5211602.5),(49 5321334),(50 5433402.5),(51 5523465),(52 5598943),(53 5697442),(54 5776067),(55 5865221),(56 5936112.5),(57 6015075.5),(58 6089159.5),(59 6168098.5),(60 6262189),(61 6348499),(62 6490645.5),(63 6585538),(64 6696186),(65 6804535.5),(66 6891759),(67 6948802),(68 6976970.5),(69 7004029),(70 6984645),(71 6984078),(72 6995747.5),(73 7015183.5),(74 7058426),(75 7099203),(76 7165824),(77 7281367),(78 7416510),(79 7555925),
(1 37760.176),(2 123058.87),(3 233101.64),(4 361743.47),(5 496583.4),(6 636446.56),(7 779644.4),(8 918328.6),(9 1040120.25),(10 1162531.1),(11 1272346.4),(12 1376409.1),(13 1489044.8),(14 1623286.3),(15 1759803.8),(16 1909196.8),(17 2059169.4),(18 2200762.3),(19 2323570.3),(20 2432806.3),(21 2525213.5),(22 2603688.3),(23 2678854.5),(24 2758016.5),(25 2827656.5),(26 2913373.8),(27 3008021),(28 3117297.5),(29 3239538.8),(30 3386040.5),(31 3535179.8),(32 3691883.5),(33 3846785),(34 3989578.3),(35 4129468.8),(36 4281242.5),(37 4416774),(38 4585490),(39 4715605),(40 4840114.5),(41 4931441),(42 5035857),(43 5131759.5),(44 5242499),(45 5380078.5),(46 5524038),(47 5653896.5),(48 5821838.5),(49 5996735.5),(50 6188181.5),(51 6389807),(52 6604005.5),(53 6830976),(54 7069371.5),(55 7297437),(56 7553448.5),(57 7797208),(58 8035152.5),(59 8238705),(60 8429829),(61 8610815),(62 8789396),(63 8945637),(64 9081707),(65 9204732),(66 9305840),(67 9399398),(68 9476284),(69 9558257),(70 9618148),(71 9685323),(72 9749360),(73 9802234),(74 9829333),(75 9844961),(76 9891987),(77 9951909),(78 10026985),(79 10107913),
(1 39707.676),(2 126783.734),(3 239847.31),(4 370974.3),(5 508253.25),(6 654278.06),(7 804538.9),(8 961377.5),(9 1106286.4),(10 1248428.3),(11 1389331.1),(12 1532608),(13 1675766.1),(14 1842052.1),(15 2009034.6),(16 2184153.5),(17 2364181.3),(18 2545503.8),(19 2699488.3),(20 2854102),(21 2962273.3),(22 3064009.5),(23 3151916.5),(24 3242434.3),(25 3333401.8),(26 3442712.5),(27 3547470),(28 3655087.3),(29 3763279.3),(30 3907717.8),(31 4050877.3),(32 4212082.5),(33 4403241.5),(34 4602800),(35 4819339),(36 5043096.5),(37 5232114),(38 5433204),(39 5601268),(40 5771919),(41 5948475.5),(42 6128819),(43 6315221),(44 6512798),(45 6715017),(46 6919406.5),(47 7104479),(48 7304248),(49 7490192),(50 7690668),(51 7873177.5),(52 8041594.5),(53 8197933),(54 8368822.5),(55 8513636),(56 8696012),(57 8883242),(58 9051204),(59 9233830),(60 9415023),(61 9599853),(62 9764428),(63 9909191),(64 10053676),(65 10191791),(66 10336700),(67 10518637),(68 10708405),(69 10904568),(70 11066663),(71 11228520),(72 11380339),(73 11545353),(74 11678316),(75 11810717),(76 11971654),(77 12137856),(78 12286784),(79 12422408),
(1 40837.207),(2 134326.08),(3 262449.56),(4 413716.22),(5 575432.7),(6 749086.3),(7 930661.25),(8 1119903.5),(9 1310442.6),(10 1500278.3),(11 1686400.3),(12 1866696),(13 2021495.1),(14 2189821.8),(15 2330067),(16 2464851),(17 2579141.5),(18 2675219),(19 2748122.8),(20 2793167.5),(21 2813720.3),(22 2825582.8),(23 2838387),(24 2839346.8),(25 2852001.8),(26 2889893.5),(27 2921861.3),(28 2969339.5),(29 3036366),(30 3119380.5),(31 3198233.8),(32 3280449.8),(33 3386849),(34 3488992.5),(35 3597441.8),(36 3700419),(37 3787347),(38 3903141.3),(39 4027108.5),(40 4155665.8),(41 4292654),(42 4437164.5),(43 4586502.5),(44 4754443.5),(45 4921382),(46 5090081),(47 5243803.5),(48 5431801),(49 5623133.5),(50 5820358),(51 6007368),(52 6208870),(53 6389680),(54 6585507.5),(55 6757671.5),(56 6951000.5),(57 7137632),(58 7308410),(59 7471481),(60 7624755.5),(61 7764436.5),(62 7893117.5),(63 8019218.5),(64 8142567),(65 8264364.5),(66 8399799),(67 8544612),(68 8662502),(69 8764471),(70 8849641),(71 8922430),(72 8980237),(73 9058150),(74 9147929),(75 9223945),(76 9299619),(77 9382823),(78 9430372),(79 9469920),
(1 43630.676),(2 145945.48),(3 289387.28),(4 462468.25),(5 653751.6),(6 860678.9),(7 1080845),(8 1299109.9),(9 1517174.1),(10 1730567.3),(11 1939497),(12 2142854),(13 2328624.3),(14 2506323.5),(15 2665414.5),(16 2819166),(17 2964755),(18 3084067.3),(19 3178238),(20 3245615.8),(21 3298235.8),(22 3341077.8),(23 3397892.8),(24 3463241.3),(25 3533977),(26 3614013),(27 3711652),(28 3836788.8),(29 3974137.5),(30 4129051.3),(31 4304347.5),(32 4478439.5),(33 4659716.5),(34 4816241.5),(35 4952998.5),(36 5095562.5),(37 5228554.5),(38 5363731),(39 5472542.5),(40 5573455.5),(41 5682204),(42 5783229),(43 5890302),(44 5984006),(45 6074312.5),(46 6160844),(47 6245871),(48 6338578),(49 6468330.5),(50 6614296.5),(51 6771756.5),(52 6956891.5),(53 7154839.5),(54 7360028),(55 7578120.5),(56 7817689.5),(57 8055147.5),(58 8266149.5),(59 8482471),(60 8690571),(61 8894626),(62 9090278),(63 9242590),(64 9411422),(65 9592584),(66 9800355),(67 9993093),(68 10188512),(69 10357379),(70 10507445),(71 10641681),(72 10759816),(73 10875669),(74 10985781),(75 11075336),(76 11161176),(77 11216826),(78 11256759),(79 11285702),
