1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 2330.9763),(2 4399.509),(3 5808.784),(4 6853.866),(5 7408.17),(6 7789.1475),(7 7967.856),(8 8080.007),(9 8249.664),(10 8536.238),(11 8856.655),(12 9094.958),(13 9350.852),(14 9760.396),(15 10111.032),(16 10283.25),(17 10532.258),(18 10620.326),(19 10709.696),(20 10773.633),(21 10958.021),(22 11044.3125),(23 10933.813),(24 10924.522),(25 11122.306),(26 11209.731),(27 11305.935),(28 11368.746),(29 11336.29),(30 11248.418),(31 11338.901),(32 11405.923),(33 11582.384),(34 11544.322),(35 11459.735),(36 11742.769),(37 12048.274),(38 12317.3),(39 12445.454),(40 12467.185),(41 12511.093),(42 12507.371),(43 12643.705),(44 12628.41),(45 12687.08),(46 12881.167),(47 12955.866),(48 13085.557),(49 13112.701),(50 13146.181),(51 13477.817),(52 13787.881),(53 14083.874),(54 14420.964),(55 14484.729),(56 14600.406),(57 14837.531),(58 15032.643),(59 15112.415),(60 14968.825),(61 14973.337),(62 15021.633),(63 15189.196),(64 15561.27),(65 15903.043),(66 15972.655),(67 15898.217),(68 15719.565),(69 15798.714),(70 15684.121),(71 15775.36),(72 15959.774),(73 15902),(74 15992.075),(75 16094.947),(76 16011.476),(77 16023.258),(78 15980.614),(79 15862.763),
(1 2278.058),(2 4214.908),(3 5461.2017),(4 6370.6426),(5 6936.6694),(6 7326.826),(7 7538.2466),(8 7628.3774),(9 7734.892),(10 7901.7637),(11 8088.3237),(12 8372.397),(13 8646.743),(14 8924.64),(15 8993.356),(16 9144.572),(17 9576.4795),(18 9874.078),(19 9996.297),(20 10034.309),(21 10091.905),(22 10123.8955),(23 10140.517),(24 10292.566),(25 10394.889),(26 10403.791),(27 10459.997),(28 10473.262),(29 10403.075),(30 10416.235),(31 10547.859),(32 10670.861),(33 10846.042),(34 10746.683),(35 10686.275),(36 10899.447),(37 11141.3125),(38 11230.898),(39 11341.524),(40 11297.2),(41 11356.894),(42 11245.37),(43 11366.126),(44 11450.739),(45 11472.44),(46 11564.063),(47 11704.391),(48 11951.394),(49 12068.644),(50 12221.674),(51 12443.351),(52 12538.231),(53 12806.066),(54 12983.879),(55 13152.188),(56 13228.3),(57 13250.181),(58 13461.349),(59 13538.486),(60 13569.051),(61 13738.109),(62 13876.6455),(63 13991.973),(64 14040.474),(65 14167.566),(66 14283.787),(67 14309.509),(68 14309.623),(69 14344.718),(70 14182.756),(71 14189.821),(72 14286.422),(73 14298.02),(74 14436.132),(75 14568.429),(76 14518.2295),(77 14448.489),(78 14360.458),(79 14262.811),
(1 2262.203),(2 4281.781),(3 5671.0664),(4 6612.822),(5 7089.07),(6 7433.783),(7 7598.6523),(8 7846.3823),(9 8067.7),(10 8394.448),(11 8614.54),(12 8951.21),(13 9168.611),(14 9427.085),(15 9499.134),(16 9600.936),(17 9812.293),(18 10128.117),(19 10278.681),(20 10332.697),(21 10406.038),(22 10354.535),(23 10390.836),(24 10422.962),(25 10518.082),(26 10571.002),(27 10604.372),(28 10609.093),(29 10526.166),(30 10550.949),(31 10778.089),(32 10901.626),(33 11102.082),(34 11053.476),(35 10969.294),(36 11019.872),(37 11099.786),(38 11086.35),(39 11115.423),(40 11166.84),(41 11386.865),(42 11570.764),(43 11748.744),(44 11767.049),(45 11834.245),(46 11805.226),(47 11778.93),(48 11989.856),(49 12117.457),(50 12245.686),(51 12394.708),(52 12569.853),(53 12811.95),(54 13105.97),(55 13366.711),(56 13557.633),(57 13716.101),(58 13767.356),(59 13903.194),(60 14137.933),(61 14133.173),(62 14163.078),(63 14363.516),(64 14561.299),(65 14694.659),(66 14761.688),(67 14592.949),(68 14497.959),(69 14513.376),(70 14433.076),(71 14477.914),(72 14505.818),(73 14581.108),(74 14705.021),(75 14709.435),(76 14707.219),(77 14842.08),(78 14930.5),(79 14811.854),
(1 2254.6091),(2 4281.527),(3 5642.5996),(4 6603.8184),(5 7147.953),(6 7524.814),(7 7813.39),(8 8145.281),(9 8414.456),(10 8624.964),(11 8846.514),(12 9117.359),(13 9437.331),(14 9746.851),(15 9859.962),(16 9970.409),(17 10138.534),(18 10236.531),(19 10352.676),(20 10431.544),(21 10596.971),(22 10559.214),(23 10513.231),(24 10747.014),(25 10968.859),(26 10931.988),(27 10927.6455),(28 10905.506),(29 10862.518),(30 10947.17),(31 11095.758),(32 11291.693),(33 11430.039),(34 11427.096),(35 11544.682),(36 11681.554),(37 11699.84),(38 11729.483),(39 11579.722),(40 11579.28),(41 11930.817),(42 12221.319),(43 12472.021),(44 12568.263),(45 12686.127),(46 12588.905),(47 12702.923),(48 12893.209),(49 13052.051),(50 13297.99),(51 13528.732),(52 13685.985),(53 13833.576),(54 14011.815),(55 14125.389),(56 14060.682),(57 13986.074),(58 13995.029),(59 14165.389),(60 14207.044),(61 14288.262),(62 14271.313),(63 14390.779),(64 14455.952),(65 14633.702),(66 14696.91),(67 14752.389),(68 14627.244),(69 14695.176),(70 14726.676),(71 14681.51),(72 14616.202),(73 14494.718),(74 14435.135),(75 14517.535),(76 14539.934),(77 14575.241),(78 14724.7705),(79 14708.438),
(1 2239.0981),(2 4255.7266),(3 5533.27),(4 6344.0557),(5 6834.216),(6 7141.3955),(7 7305.7393),(8 7509.2188),(9 7638.9136),(10 7756.6953),(11 7814.2266),(12 8036.5254),(13 8300.198),(14 8457.4375),(15 8507.669),(16 8683.889),(17 8953.635),(18 9014.751),(19 9073.326),(20 9298.536),(21 9348.143),(22 9273.001),(23 9353.463),(24 9572.603),(25 9840.118),(26 9912.285),(27 10040.674),(28 10039.5),(29 9969.713),(30 9971.366),(31 10060.614),(32 10119.056),(33 10210.405),(34 10123.094),(35 10097.079),(36 10119.105),(37 10101.933),(38 10180.951),(39 10274.961),(40 10370.458),(41 10458.458),(42 10538.699),(43 10776.956),(44 10845.618),(45 10785.631),(46 10764.658),(47 10814.471),(48 10920.149),(49 11067.501),(50 11087.075),(51 11178.038),(52 11225.223),(53 11307.715),(54 11476.489),(55 11584.535),(56 11547.119),(57 11554.042),(58 11795.438),(59 12033.329),(60 12086.373),(61 12009.442),(62 12072.964),(63 12229.501),(64 12340.749),(65 12404.4795),(66 12463.879),(67 12368.285),(68 12217.742),(69 12210.882),(70 12175.607),(71 12314.886),(72 12405.732),(73 12317.96),(74 12285.909),(75 12313.497),(76 12235.337),(77 12325.317),(78 12296.72),(79 12288.031),
(1 2187.4172),(2 4079.8308),(3 5443.943),(4 6300.33),(5 6839.488),(6 7105.801),(7 7249.308),(8 7406.8696),(9 7603.2397),(10 7696.607),(11 7755.737),(12 7973.823),(13 8219.832),(14 8383.363),(15 8387.318),(16 8557.492),(17 8802.018),(18 8795.051),(19 8931.142),(20 9090.894),(21 9218.806),(22 9323.218),(23 9358.572),(24 9444.965),(25 9515.504),(26 9653.001),(27 9778.577),(28 9868.744),(29 9817.132),(30 9918.553),(31 10003.177),(32 10082.274),(33 10014.121),(34 9855.769),(35 9799.997),(36 9806.114),(37 9860.422),(38 9912.599),(39 9904.01),(40 10035.832),(41 10112.801),(42 10153.206),(43 10248.684),(44 10353.634),(45 10245.134),(46 10173.055),(47 10269.894),(48 10355.93),(49 10389.754),(50 10526.468),(51 10569.767),(52 10590.671),(53 10545.921),(54 10674.523),(55 10881.767),(56 10862.158),(57 10964.162),(58 11103.825),(59 11194.757),(60 11232.472),(61 11284.488),(62 11527.569),(63 11674.551),(64 11734.862),(65 11706.305),(66 11685.59),(67 11653.06),(68 11643.184),(69 11685.0625),(70 11598.699),(71 11459.617),(72 11425.794),(73 11509.068),(74 11657.352),(75 11779.751),(76 11852.621),(77 11945.744),(78 11730.259),(79 11601.613),
(1 2145.7358),(2 3986.2122),(3 5336.414),(4 6131.064),(5 6556.643),(6 6777.76),(7 6879.436),(8 7071.7817),(9 7316.409),(10 7448.901),(11 7617.008),(12 7875.34),(13 8179.067),(14 8378.786),(15 8362.553),(16 8557.4375),(17 8647.474),(18 8654.143),(19 8761.116),(20 8838.173),(21 8905.84),(22 8912.403),(23 8919.537),(24 8919.929),(25 9050.1455),(26 9179.67),(27 9314.131),(28 9352.139),(29 9267.564),(30 9273.886),(31 9248.344),(32 9320.99),(33 9291.781),(34 9288.591),(35 9260.848),(36 9292.452),(37 9316.762),(38 9453.523),(39 9580.957),(40 9658.043),(41 9737.147),(42 9880.454),(43 10051.11),(44 10096.963),(45 10109.069),(46 10051.314),(47 10024.721),(48 10083.983),(49 10123.504),(50 10208.572),(51 10329.638),(52 10381.484),(53 10447.29),(54 10657.857),(55 10952.03),(56 11030.974),(57 11051.924),(58 11053.626),(59 11101.84),(60 11094.027),(61 11184.801),(62 11277.791),(63 11214.924),(64 11256.452),(65 11251.026),(66 11245.66),(67 11216.881),(68 11210.099),(69 11241.757),(70 11201.353),(71 11240.528),(72 11263.84),(73 11337.218),(74 11457.637),(75 11684.877),(76 11767.81),(77 11773.948),(78 11646.491),(79 11615.181),
(1 2153.5537),(2 4047.5027),(3 5302.6714),(4 6084.5728),(5 6514.902),(6 6703.1514),(7 6715.544),(8 6877.7666),(9 7015.766),(10 7100.505),(11 7253.4053),(12 7463.674),(13 7617.5903),(14 7732.856),(15 7887.0845),(16 8094.214),(17 8230.16),(18 8250.669),(19 8331.4795),(20 8323.96),(21 8392.856),(22 8519.451),(23 8574.114),(24 8663.988),(25 8841.715),(26 8931.378),(27 9053.139),(28 8797.15),(29 8577),(30 8547.887),(31 8634.589),(32 8772.066),(33 8861.492),(34 8966.413),(35 9050.761),(36 9258.291),(37 9194.44),(38 9233.304),(39 9264.753),(40 9319.919),(41 9348.046),(42 9480.613),(43 9591.803),(44 9591.304),(45 9616.474),(46 9668.135),(47 9575.314),(48 9502.585),(49 9416.688),(50 9416.478),(51 9619.598),(52 9876.724),(53 10022.199),(54 10117.448),(55 10208.761),(56 10333.884),(57 10532.546),(58 10613.562),(59 10525.657),(60 10467.026),(61 10612.232),(62 10652.849),(63 10668.26),(64 10781.782),(65 10836.644),(66 10640.1045),(67 10620.876),(68 10575.595),(69 10638.343),(70 10577.903),(71 10664.882),(72 10633.152),(73 10519.11),(74 10559.167),(75 10629.633),(76 10538.95),(77 10551.014),(78 10395.177),(79 10337.911),
(1 2085.8389),(2 3984.7598),(3 5334.549),(4 6136.3486),(5 6528.484),(6 6712.741),(7 6785.0596),(8 7048.529),(9 7260.6064),(10 7373.1396),(11 7503.7305),(12 7656.0405),(13 7770.4756),(14 7778.9966),(15 7853.8896),(16 8012.091),(17 8195.788),(18 8403.735),(19 8526.177),(20 8535.774),(21 8741.181),(22 8798.289),(23 8863.257),(24 8928.995),(25 8919.538),(26 8888.323),(27 9017.63),(28 8919.913),(29 8815.576),(30 8882.002),(31 9030.917),(32 9090.044),(33 9111.558),(34 9170.211),(35 9303.27),(36 9241.218),(37 9307.732),(38 9454.08),(39 9583.126),(40 9666.041),(41 9646.24),(42 9713.36),(43 9733.371),(44 9591.776),(45 9658.501),(46 9810.123),(47 9824.299),(48 9850.237),(49 9952.772),(50 9869.107),(51 9800.948),(52 9930.321),(53 10027.288),(54 10090.541),(55 10175.98),(56 10336.026),(57 10472.657),(58 10572.795),(59 10638.045),(60 10641.116),(61 10639.488),(62 10725.554),(63 10724.204),(64 10706.327),(65 10635.257),(66 10587.822),(67 10577.019),(68 10546.269),(69 10656.722),(70 10529.107),(71 10533.156),(72 10619.738),(73 10664.054),(74 10851.407),(75 10953.183),(76 10851.166),(77 10751.247),(78 10611.724),(79 10487.519),
(1 2038.4126),(2 3791.1455),(3 4938.904),(4 5681.8066),(5 6022.128),(6 6227.106),(7 6365.5366),(8 6744.916),(9 6969.3584),(10 7072.5703),(11 7165.1367),(12 7302.112),(13 7536.6704),(14 7574.3887),(15 7663.0474),(16 7926.187),(17 8096.1846),(18 8168.23),(19 8217.01),(20 8365.774),(21 8585.095),(22 8559.736),(23 8615.554),(24 8642.678),(25 8568.698),(26 8535.162),(27 8701.817),(28 8627.439),(29 8543.679),(30 8669.189),(31 8876.598),(32 9001.052),(33 8984.075),(34 9037.179),(35 9008.973),(36 8923.504),(37 8963.055),(38 9099.001),(39 9209.303),(40 9370.213),(41 9413.947),(42 9513.735),(43 9386.534),(44 9283.659),(45 9344.134),(46 9383.646),(47 9393.824),(48 9528.113),(49 9581.011),(50 9672.088),(51 9710.916),(52 9861.142),(53 9988.725),(54 10017.587),(55 10068.291),(56 10063.524),(57 10115.811),(58 10181.863),(59 10187.048),(60 10201.267),(61 10218.378),(62 10268.387),(63 10254.945),(64 10166.968),(65 10185.712),(66 10162.317),(67 10260.241),(68 10293.176),(69 10323.458),(70 10293.921),(71 10225.683),(72 10312.859),(73 10349.002),(74 10475.221),(75 10515.885),(76 10381.047),(77 10276.183),(78 10156.45),(79 10113.626),
(1 2066.146),(2 3865.5134),(3 5030.818),(4 5738.0996),(5 6021.5933),(6 6169.7344),(7 6338.28),(8 6668.7646),(9 6938.736),(10 7073.3228),(11 7209.121),(12 7424.565),(13 7510.5547),(14 7721.4644),(15 7916.2603),(16 8083.905),(17 8243.447),(18 8237.476),(19 8310.437),(20 8499.264),(21 8731.197),(22 8752.053),(23 8804.218),(24 8836.106),(25 8974.777),(26 9046.239),(27 9153.316),(28 9001.83),(29 8956.918),(30 9029.693),(31 9201.797),(32 9338.55),(33 9422.616),(34 9457.044),(35 9324.627),(36 9304.437),(37 9469.382),(38 9531.6),(39 9687.63),(40 9846.98),(41 9811.264),(42 9739.834),(43 9702.701),(44 9699.162),(45 9787.836),(46 9936.213),(47 10089.841),(48 10198.717),(49 10264.853),(50 10385.861),(51 10510.137),(52 10523.19),(53 10437.463),(54 10388.446),(55 10468.601),(56 10636.669),(57 10653.71),(58 10638.101),(59 10587.573),(60 10696.933),(61 10872.822),(62 10782.546),(63 10722.253),(64 10812.719),(65 10908.472),(66 10954.874),(67 10999.03),(68 10958.6),(69 11000.68),(70 10912.441),(71 10858.917),(72 10842.854),(73 10812.673),(74 10796.41),(75 10832.381),(76 10750.0625),(77 10642.782),(78 10563.132),(79 10519.479),
(1 1951.9188),(2 3697.1853),(3 4770.782),(4 5449.905),(5 5717.6445),(6 5942.853),(7 6128.1436),(8 6317.161),(9 6529.3086),(10 6677.977),(11 6865.359),(12 6973.089),(13 7088.6743),(14 7128.6025),(15 7205.1616),(16 7364.3706),(17 7505.5176),(18 7475.817),(19 7470.064),(20 7533.2583),(21 7630.0273),(22 7746.342),(23 7805.064),(24 7965.1895),(25 7991.5317),(26 7995.6143),(27 8122.986),(28 7988.6016),(29 8070.459),(30 8112.6265),(31 8297.193),(32 8453.188),(33 8457.344),(34 8430.268),(35 8316.211),(36 8379.945),(37 8423.605),(38 8506.2),(39 8678.216),(40 8750.726),(41 8741.923),(42 8771.411),(43 8803.737),(44 8869.656),(45 9009.539),(46 9055.054),(47 9026.89),(48 9102.726),(49 9181.784),(50 9230.711),(51 9391.43),(52 9383.951),(53 9304.867),(54 9271.112),(55 9299.384),(56 9367.884),(57 9395.224),(58 9293.296),(59 9233.905),(60 9328.386),(61 9467.684),(62 9432.603),(63 9385.213),(64 9402.797),(65 9388.269),(66 9400.651),(67 9385.559),(68 9390.659),(69 9494.873),(70 9612.428),(71 9656.496),(72 9562.871),(73 9597.975),(74 9702.555),(75 9814.713),(76 9728.501),(77 9702.96),(78 9513.596),(79 9404.37),
(1 2007.037),(2 3856.2002),(3 5030.0933),(4 5781.247),(5 6115.226),(6 6275.313),(7 6448.017),(8 6781.0933),(9 7053.4067),(10 7132.8237),(11 7319.409),(12 7407.5894),(13 7603.885),(14 7581.7803),(15 7719.9214),(16 7972.729),(17 8188.3247),(18 8219.317),(19 8215.14),(20 8310.559),(21 8395.21),(22 8464.697),(23 8570.263),(24 8736.092),(25 8706.748),(26 8646.318),(27 8631.906),(28 8540.63),(29 8648.603),(30 8774.26),(31 9097.571),(32 9179.324),(33 9267.129),(34 9199.926),(35 9076.947),(36 9042.013),(37 9001.391),(38 9071.294),(39 9215.393),(40 9227.745),(41 9181.947),(42 9205.717),(43 9245.181),(44 9254.518),(45 9273.728),(46 9302.271),(47 9250.746),(48 9307.503),(49 9450.605),(50 9566.794),(51 9680.348),(52 9696.303),(53 9582.455),(54 9509.471),(55 9571.079),(56 9783.248),(57 9827.341),(58 9760.306),(59 9672.901),(60 9728.867),(61 9799.009),(62 9851.276),(63 9762.24),(64 9714.5),(65 9720.827),(66 9841.309),(67 9861.385),(68 9885.136),(69 9929.775),(70 9850.82),(71 9668.17),(72 9572.005),(73 9735.611),(74 9856.254),(75 9988.693),(76 9981.025),(77 10061.917),(78 10032.027),(79 10054.361),
(1 1989.7424),(2 3688.6255),(3 4771.472),(4 5380.812),(5 5694.4365),(6 5828.1094),(7 5970.3804),(8 6244.107),(9 6404.7524),(10 6391.6963),(11 6553.346),(12 6703.0576),(13 6930.141),(14 7103.4307),(15 7337.955),(16 7444.3975),(17 7538.8853),(18 7575.6885),(19 7674.9688),(20 7696.8467),(21 7914.372),(22 8015.67),(23 8184.996),(24 8350.273),(25 8384.264),(26 8361.823),(27 8207.251),(28 8030.1494),(29 8065.185),(30 8139.7227),(31 8384.399),(32 8428.265),(33 8510.448),(34 8443.427),(35 8382.005),(36 8449.182),(37 8450.909),(38 8465.395),(39 8451.178),(40 8325.533),(41 8349.505),(42 8484.585),(43 8557.581),(44 8581.814),(45 8641.692),(46 8738.691),(47 8717.267),(48 8760.343),(49 8919.194),(50 9013.059),(51 9149.255),(52 9230.817),(53 9178.866),(54 9216.442),(55 9302.685),(56 9302.312),(57 9284.735),(58 9258.437),(59 9258.898),(60 9327.29),(61 9411.501),(62 9372.357),(63 9320.508),(64 9323.053),(65 9431.261),(66 9544.509),(67 9530.963),(68 9514.109),(69 9501.67),(70 9465.742),(71 9450.599),(72 9250.566),(73 9255.4),(74 9255.881),(75 9444.194),(76 9542.687),(77 9599.013),(78 9580.158),(79 9647.602),
(1 1902.8129),(2 3479.886),(3 4515.8877),(4 5079.082),(5 5454.567),(6 5545.8916),(7 5792.708),(8 5903.7153),(9 6005.6987),(10 6033.695),(11 6101.365),(12 6246.6455),(13 6455.287),(14 6749.4106),(15 6958.9683),(16 7057.22),(17 7099.8267),(18 7190.8755),(19 7291.143),(20 7384.672),(21 7560.4463),(22 7538.265),(23 7553.0747),(24 7667.576),(25 7643.2026),(26 7519.1313),(27 7477.6675),(28 7417.948),(29 7559.621),(30 7773.768),(31 8022.494),(32 8062.469),(33 8149.9546),(34 8030.261),(35 8008.4),(36 8099.093),(37 8093.668),(38 8074.7524),(39 8015.831),(40 8098.0483),(41 8322.477),(42 8387.053),(43 8504.2295),(44 8592.68),(45 8636.634),(46 8600.939),(47 8642.015),(48 8714.498),(49 8848.079),(50 8929.199),(51 9011.525),(52 8988.9795),(53 8962.829),(54 8990.992),(55 9008.555),(56 8873.981),(57 8742.81),(58 8744.159),(59 8801.924),(60 8790.218),(61 8906.573),(62 8957.345),(63 8890.036),(64 8798.646),(65 8758.18),(66 8753.916),(67 8742.742),(68 8813.311),(69 8870.45),(70 8857.785),(71 8887.3545),(72 8743.515),(73 8636.613),(74 8618.693),(75 8671.152),(76 8609.273),(77 8570.248),(78 8569.082),(79 8518.917),
(1 1884.4125),(2 3434.2737),(3 4357.3022),(4 4868.3804),(5 5175.831),(6 5301.714),(7 5484.0537),(8 5642.0444),(9 5743.9785),(10 5747.094),(11 5933.375),(12 6099.7686),(13 6301.6675),(14 6420.5776),(15 6624.5107),(16 6752.921),(17 6801.8066),(18 6868.324),(19 6967.606),(20 7120.194),(21 7297.861),(22 7364.4956),(23 7506.657),(24 7506.15),(25 7486.361),(26 7516.3877),(27 7580.2373),(28 7622.8267),(29 7823.79),(30 7944.379),(31 7953.8145),(32 7993.699),(33 8017.7295),(34 7895.3345),(35 7909.4453),(36 7994.728),(37 8050.336),(38 8002.6753),(39 7990.062),(40 8126.6133),(41 8290.77),(42 8412.61),(43 8409.036),(44 8401.37),(45 8457.407),(46 8437.381),(47 8536.221),(48 8700.721),(49 8813.097),(50 8897.962),(51 9010.104),(52 9076.5),(53 9060.46),(54 9098.355),(55 9075.755),(56 8976.911),(57 8985.099),(58 8988.171),(59 8985.852),(60 8917.075),(61 8913.763),(62 8931.13),(63 8908.1),(64 8937.566),(65 8889.061),(66 8951.779),(67 9103.613),(68 9081.118),(69 9000.756),(70 8946.466),(71 9003.905),(72 8993),(73 9002.575),(74 8996.561),(75 8987.474),(76 8970.817),(77 8947.278),(78 8945.167),(79 9086.216),
(1 1897.0996),(2 3408.817),(3 4322.7915),(4 4790.2686),(5 5033.5723),(6 5084.7656),(7 5232.026),(8 5396.121),(9 5544.981),(10 5604.9297),(11 5810.289),(12 6041.3066),(13 6288.954),(14 6484.705),(15 6689.9624),(16 6689.4204),(17 6787.827),(18 6893.3726),(19 6968.039),(20 7052.3193),(21 7151.0693),(22 7171.419),(23 7280.793),(24 7281.5605),(25 7358.53),(26 7400.506),(27 7513.45),(28 7538.869),(29 7537.3145),(30 7523.573),(31 7591.4736),(32 7554.8115),(33 7472.659),(34 7488.5215),(35 7545.948),(36 7627.626),(37 7650.9814),(38 7651.1294),(39 7636.964),(40 7737.4453),(41 7878.241),(42 7954.298),(43 7968.417),(44 8055.1196),(45 8215.73),(46 8253.417),(47 8288.57),(48 8375.245),(49 8355.756),(50 8382.751),(51 8596.523),(52 8745.314),(53 8822.581),(54 8858.793),(55 8792.316),(56 8693.653),(57 8749.039),(58 8761.693),(59 8751.172),(60 8702.421),(61 8636.979),(62 8671.688),(63 8650.437),(64 8639.442),(65 8545.405),(66 8455.024),(67 8370.707),(68 8341.307),(69 8295.888),(70 8241.469),(71 8261.314),(72 8226.049),(73 8247.969),(74 8252.444),(75 8312.551),(76 8383.783),(77 8475.088),(78 8501.441),(79 8524.628),
(1 1855.7535),(2 3334.9558),(3 4244.593),(4 4737.193),(5 4944.3335),(6 5051.6006),(7 5191.111),(8 5378.3936),(9 5553.751),(10 5668.4653),(11 5797.9053),(12 5971.83),(13 6341.7134),(14 6523.92),(15 6742.5874),(16 6856.4536),(17 6969.3345),(18 7047.919),(19 7101.4097),(20 7166.0635),(21 7232.788),(22 7253.78),(23 7245.9053),(24 7171.6953),(25 7138.6787),(26 7102.704),(27 7103.6226),(28 7035.236),(29 7055.0884),(30 7139.395),(31 7243.379),(32 7270.7017),(33 7262.6333),(34 7320.826),(35 7370.886),(36 7439.34),(37 7372.2896),(38 7242.6694),(39 7211.4844),(40 7330.078),(41 7347.6284),(42 7299.4546),(43 7277.259),(44 7249.17),(45 7207.9985),(46 7239.0083),(47 7366.075),(48 7512.602),(49 7787.886),(50 7874.391),(51 7922.3057),(52 8071.517),(53 8193.825),(54 8212.251),(55 8229.799),(56 8293.967),(57 8349.907),(58 8277.034),(59 8296.01),(60 8339.191),(61 8346.297),(62 8355.668),(63 8279.156),(64 8292.3125),(65 8239.925),(66 8200.934),(67 8228.295),(68 8181.4966),(69 8202.649),(70 8191.066),(71 8288.697),(72 8330.67),(73 8301.168),(74 8299.377),(75 8389.929),(76 8485.546),(77 8456.046),(78 8355.195),(79 8402.135),
