1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 71872.94),(2 201894.63),(3 399591.5),(4 617583.3),(5 865222.25),(6 1125526.1),(7 1405236.5),(8 1699198.6),(9 2018341.4),(10 2353807.3),(11 2715349.3),(12 3092166),(13 3477120),(14 3829288.8),(15 4127780),(16 4435180.5),(17 4705360.5),(18 4999050.5),(19 5306492.5),(20 5633370.5),(21 5940004.5),(22 6252483.5),(23 6567780.5),(24 6853701.5),(25 7168338.5),(26 7446158.5),(27 7793746),(28 8104359.5),(29 8430867),(30 8687978),(31 8959927),(32 9185623),(33 9409381),(34 9615467),(35 9829779),(36 10093895),(37 10441825),(38 10792473),(39 11172001),(40 11460640),(41 11734992),(42 11990625),(43 12176603),(44 12351679),(45 12521741),(46 12723756),(47 12916164),(48 13068796),(49 13267841),(50 13406455),(51 13633309),(52 13829569),(53 14136412),(54 14461705),(55 14750312),(56 14990591),(57 15183360),(58 15333957),(59 15516117),(60 15642045),(61 15651056),(62 15624676),(63 15594133),(64 15509131),(65 15463392),(66 15518143),(67 15495068),(68 15468277),(69 15526235),(70 15581939),(71 15644776),(72 15636963),(73 15588997),(74 15457444),(75 15275781),(76 15184432),(77 15020369),(78 14913921),(79 14900805),
(1 77450.95),(2 251676.22),(3 497985.9),(4 789644.6),(5 1117979.3),(6 1492706.3),(7 1884915.6),(8 2344423.3),(9 2851276.5),(10 3426348.5),(11 4041856.8),(12 4730685.5),(13 5446224),(14 6124459),(15 6727754.5),(16 7343663),(17 7898742.5),(18 8534780),(19 9267323),(20 10040552),(21 10783260),(22 11543787),(23 12311244),(24 13001722),(25 13726283),(26 14363246),(27 15124822),(28 15832342),(29 16526752),(30 17187302),(31 17951004),(32 18563844),(33 19235952),(34 19792652),(35 20390890),(36 21038568),(37 21751504),(38 22559494),(39 23559152),(40 24459576),(41 25353542),(42 26226886),(43 27037862),(44 27752960),(45 28457088),(46 29065584),(47 29595264),(48 30067532),(49 30369604),(50 30540192),(51 30865068),(52 31078790),(53 31485014),(54 31832000),(55 32136624),(56 32340602),(57 32498496),(58 32554508),(59 32432900),(60 32295168),(61 31979248),(62 31627270),(63 31249872),(64 30891804),(65 30573108),(66 30346010),(67 29998036),(68 29735654),(69 29478900),(70 29277120),(71 29123612),(72 28927386),(73 28826784),(74 28699348),(75 28437046),(76 28266278),(77 28096390),(78 27860620),(79 27644730),
(1 71932.984),(2 239842.56),(3 484838.22),(4 783831),(5 1125864.1),(6 1508079),(7 1915112.9),(8 2341628),(9 2797634.8),(10 3277827.3),(11 3742818.8),(12 4199484.5),(13 4605422.5),(14 4985895.5),(15 5323700),(16 5645225.5),(17 5914551.5),(18 6249709.5),(19 6666614),(20 7096062),(21 7519952.5),(22 7934150.5),(23 8301496),(24 8600226),(25 8926171),(26 9239719),(27 9596393),(28 9882391),(29 10142579),(30 10395932),(31 10688569),(32 10985360),(33 11358952),(34 11763304),(35 12193548),(36 12616728),(37 13082739),(38 13642896),(39 14180208),(40 14641368),(41 15191932),(42 15679891),(43 16265675),(44 16745488),(45 17258032),(46 17861130),(47 18381246),(48 18801482),(49 19193042),(50 19557426),(51 19950682),(52 20334958),(53 20720658),(54 21019168),(55 21286266),(56 21458248),(57 21613450),(58 21778494),(59 21890932),(60 21931372),(61 21933662),(62 21935616),(63 21993530),(64 22052700),(65 22117782),(66 22233694),(67 22320996),(68 22354926),(69 22349464),(70 22388408),(71 22440634),(72 22441018),(73 22516878),(74 22571712),(75 22602050),(76 22692144),(77 22818842),(78 22921630),(79 23075350),
(1 94247.09),(2 328990.56),(3 670528.5),(4 1090600.6),(5 1585381.5),(6 2132349.3),(7 2705705.5),(8 3284781),(9 3858361.8),(10 4442916),(11 4981198),(12 5514068.5),(13 6022638.5),(14 6516400),(15 6954850),(16 7348043.5),(17 7646729),(18 7953668.5),(19 8225846),(20 8479723),(21 8688517),(22 8866428),(23 8966981),(24 8980262),(25 9043253),(26 9125566),(27 9262956),(28 9347851),(29 9497546),(30 9673615),(31 9895202),(32 10172204),(33 10495936),(34 10842537),(35 11165332),(36 11564071),(37 12018528),(38 12499691),(39 12961135),(40 13406794),(41 13863519),(42 14289356),(43 14777310),(44 15230148),(45 15656928),(46 16050036),(47 16392587),(48 16623947),(49 16806112),(50 16879946),(51 16852084),(52 16791740),(53 16670091),(54 16458674),(55 16266862),(56 16020551),(57 15766661),(58 15435845),(59 15137058),(60 14739013),(61 14416204),(62 14068068),(63 13785653),(64 13549467),(65 13347792),(66 13178434),(67 13065044),(68 12986272),(69 12834520),(70 12693412),(71 12579190),(72 12510576),(73 12452792),(74 12415531),(75 12371387),(76 12347751),(77 12335477),(78 12294001),(79 12263102),
(1 112474.38),(2 399238.72),(3 830947.8),(4 1384596.4),(5 2027847.6),(6 2746073.5),(7 3543464.3),(8 4367016),(9 5183485),(10 6008897.5),(11 6809262),(12 7603339.5),(13 8337525),(14 9060208),(15 9713989),(16 10296589),(17 10801935),(18 11282638),(19 11678713),(20 11968477),(21 12205249),(22 12398704),(23 12548090),(24 12625591),(25 12765297),(26 12907404),(27 13144707),(28 13405780),(29 13691055),(30 13958895),(31 14293615),(32 14656492),(33 15002026),(34 15368384),(35 15661876),(36 16005284),(37 16403690),(38 16810930),(39 17254116),(40 17638600),(41 17996982),(42 18242216),(43 18394938),(44 18451740),(45 18444790),(46 18404030),(47 18299462),(48 18160982),(49 17961244),(50 17691686),(51 17398602),(52 17131508),(53 16806734),(54 16563450),(55 16376499),(56 16253072),(57 16208673),(58 16138723),(59 16137521),(60 16134097),(61 16161341),(62 16175421),(63 16272257),(64 16406540),(65 16577620),(66 16800178),(67 17058194),(68 17310560),(69 17509166),(70 17704432),(71 17862814),(72 17980334),(73 18056894),(74 18117022),(75 18112840),(76 18069068),(77 17928820),(78 17765914),(79 17603194),
(1 105854.14),(2 370011.63),(3 760645.75),(4 1265915.3),(5 1859598.8),(6 2493170),(7 3140722),(8 3779819.3),(9 4387177.5),(10 4955322),(11 5485857.5),(12 5958828),(13 6339697),(14 6697537),(15 6968543),(16 7158640),(17 7296169.5),(18 7401409.5),(19 7496595),(20 7541249),(21 7593549),(22 7625513),(23 7657718.5),(24 7690056),(25 7749270.5),(26 7855969.5),(27 7974833.5),(28 8097325),(29 8214197),(30 8319949.5),(31 8406626),(32 8491259),(33 8600227),(34 8733435),(35 8845215),(36 9002205),(37 9184179),(38 9360977),(39 9556852),(40 9750109),(41 9908899),(42 10036396),(43 10152076),(44 10272932),(45 10415040),(46 10616250),(47 10814810),(48 11026162),(49 11269796),(50 11515786),(51 11793336),(52 12055080),(53 12296014),(54 12514758),(55 12710324),(56 12874806),(57 13038434),(58 13148418),(59 13215126),(60 13209965),(61 13153034),(62 13004713),(63 12791110),(64 12517018),(65 12233906),(66 11948690),(67 11671040),(68 11358794),(69 11035034),(70 10709229),(71 10431347),(72 10170059),(73 9921656),(74 9748144),(75 9625368),(76 9503442),(77 9372490),(78 9239322),(79 9188516),
(1 107516.625),(2 378386.53),(3 771357.9),(4 1245179.1),(5 1761383.5),(6 2289346.3),(7 2810206.8),(8 3301296),(9 3759107.5),(10 4186570.5),(11 4589226),(12 4983273),(13 5317419.5),(14 5600406),(15 5836096.5),(16 6018762),(17 6165495),(18 6259584),(19 6337505),(20 6403657),(21 6489781.5),(22 6583145),(23 6673377),(24 6802807),(25 6956040.5),(26 7147127),(27 7359158),(28 7588511),(29 7811811.5),(30 7996600.5),(31 8146647.5),(32 8282405),(33 8381427.5),(34 8454431),(35 8436666),(36 8415799),(37 8402202),(38 8390190),(39 8376347),(40 8383607.5),(41 8366138.5),(42 8382375),(43 8449558),(44 8565448),(45 8752071),(46 8985112),(47 9228348),(48 9398460),(49 9609302),(50 9761775),(51 9909263),(52 10082711),(53 10225890),(54 10279154),(55 10272979),(56 10174201),(57 10054334),(58 9934593),(59 9808122),(60 9679152),(61 9553983),(62 9388896),(63 9228977),(64 9068319),(65 8903009),(66 8746256),(67 8658660),(68 8607489),(69 8645449),(70 8726206),(71 8794668),(72 8814756),(73 8852641),(74 8902610),(75 8998537),(76 9110899),(77 9229641),(78 9349721),(79 9544755),
(1 120481.914),(2 426428.28),(3 870164.6),(4 1413930.9),(5 2013367.8),(6 2659271.8),(7 3300240.5),(8 3906257.5),(9 4431413.5),(10 4892789.5),(11 5254799),(12 5539673),(13 5736974),(14 5849744),(15 5920863),(16 5932869.5),(17 5910243),(18 5870373),(19 5846885),(20 5865609),(21 5941154),(22 6096414),(23 6262314.5),(24 6441810),(25 6636624.5),(26 6810896.5),(27 6935199),(28 7025869),(29 7033849.5),(30 7011565),(31 6980947),(32 6938405.5),(33 6910480),(34 6863180.5),(35 6838389.5),(36 6838363),(37 6885000),(38 6990599),(39 7150917.5),(40 7384226),(41 7616584.5),(42 7857295),(43 8079440),(44 8327299),(45 8549266),(46 8735654),(47 8906343),(48 8999746),(49 9079206),(50 9173566),(51 9292834),(52 9428449),(53 9621865),(54 9812510),(55 10022425),(56 10226743),(57 10432880),(58 10678736),(59 10946620),(60 11213971),(61 11452832),(62 11658855),(63 11861495),(64 12042350),(65 12199582),(66 12317083),(67 12394740),(68 12414193),(69 12430323),(70 12415127),(71 12347285),(72 12228182),(73 12056913),(74 11828201),(75 11610860),(76 11435023),(77 11247433),(78 11088870),(79 10935059),
(1 123355.3),(2 437058.34),(3 886271.6),(4 1429836.5),(5 2029613.1),(6 2654133.8),(7 3264483),(8 3807952),(9 4244156),(10 4592317),(11 4831234),(12 4978670.5),(13 5038295),(14 5088612),(15 5127486.5),(16 5194372),(17 5296900),(18 5437707.5),(19 5625420),(20 5819897.5),(21 6043483),(22 6276081),(23 6455825.5),(24 6571897.5),(25 6650346),(26 6652575.5),(27 6581931),(28 6449676.5),(29 6312816),(30 6189220.5),(31 6096258),(32 6044189),(33 6054037.5),(34 6127927.5),(35 6235302.5),(36 6402288.5),(37 6562007.5),(38 6714347.5),(39 6876669.5),(40 6979040.5),(41 7044468),(42 7086495.5),(43 7062940.5),(44 6981013.5),(45 6859632),(46 6660285),(47 6425521),(48 6253194.5),(49 6104178),(50 6040383),(51 6053632),(52 6105480.5),(53 6227730),(54 6365508.5),(55 6529100),(56 6739597),(57 6981087),(58 7216692),(59 7392784),(60 7503325),(61 7601725),(62 7683904),(63 7757601),(64 7818660),(65 7888474),(66 7950119.5),(67 8005605.5),(68 8089910.5),(69 8205096.5),(70 8374911),(71 8535407),(72 8662035),(73 8756994),(74 8809563),(75 8844935),(76 8884870),(77 8888140),(78 8884888),(79 8904980),
(1 133937.17),(2 467259.22),(3 945741.3),(4 1510328.6),(5 2145439.5),(6 2797093),(7 3427651),(8 3958729),(9 4380274.5),(10 4698684.5),(11 4925831),(12 5100009.5),(13 5236238),(14 5384946),(15 5586724),(16 5862145),(17 6170923.5),(18 6511210),(19 6881099),(20 7215167),(21 7485280),(22 7699015),(23 7831430),(24 7932323.5),(25 7948540.5),(26 7942519),(27 7876644.5),(28 7779595.5),(29 7677278),(30 7571568),(31 7477051.5),(32 7423054),(33 7450899),(34 7517191),(35 7598302),(36 7690148.5),(37 7744056),(38 7718727),(39 7647506),(40 7524670),(41 7373004),(42 7243007.5),(43 7101157),(44 6973863),(45 6875112),(46 6800938.5),(47 6730410),(48 6708556.5),(49 6751542),(50 6837106),(51 6960266.5),(52 7067164.5),(53 7170205),(54 7247970.5),(55 7291350),(56 7293229),(57 7274722),(58 7248071.5),(59 7188307),(60 7126418),(61 7069682),(62 7036366),(63 7032839),(64 7018594),(65 7023850.5),(66 7010763.5),(67 6946239),(68 6854047),(69 6791350),(70 6773279),(71 6805539.5),(72 6859899),(73 6936091.5),(74 7027910),(75 7135939),(76 7265079),(77 7386821.5),(78 7520300.5),(79 7666478),
(1 154845.1),(2 551580.56),(3 1127001.5),(4 1813573.8),(5 2548722),(6 3273572.8),(7 3963022.5),(8 4587060.5),(9 5111728),(10 5552593),(11 5927953),(12 6278791),(13 6608586.5),(14 6962903.5),(15 7310672.5),(16 7637491),(17 7964657),(18 8225800.5),(19 8430568),(20 8526460),(21 8530088),(22 8430008),(23 8235604.5),(24 8019556),(25 7779092.5),(26 7542983),(27 7366298),(28 7259102),(29 7228086.5),(30 7263063.5),(31 7358956),(32 7490412),(33 7584394.5),(34 7603157),(35 7496188),(36 7306685),(37 7061918),(38 6824794),(39 6624676),(40 6468594.5),(41 6353966),(42 6316332),(43 6306636.5),(44 6341262.5),(45 6422330.5),(46 6536026.5),(47 6733528.5),(48 6899294),(49 7121746),(50 7287683),(51 7404264.5),(52 7486868),(53 7550685),(54 7607470),(55 7640228),(56 7673333),(57 7706927.5),(58 7696373.5),(59 7646247.5),(60 7537261),(61 7352842.5),(62 7128454.5),(63 6885571),(64 6637263.5),(65 6396643),(66 6190388.5),(67 6056105),(68 5937178),(69 5876983.5),(70 5860242.5),(71 5892428.5),(72 5936417),(73 6041322),(74 6156270),(75 6258213.5),(76 6334196.5),(77 6370298.5),(78 6382621.5),(79 6378858),
