1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 7201.886),(2 17022.844),(3 23529.92),(4 28041.186),(5 31448.521),(6 34015.63),(7 36471.113),(8 38592.195),(9 39577.934),(10 39638.43),(11 39442.44),(12 39441.895),(13 39932.82),(14 39981.223),(15 39821.832),(16 40035.26),(17 40238.098),(18 40957.695),(19 41513.85),(20 41402.582),(21 41883.508),(22 42035.074),(23 41909.684),(24 41695.01),(25 41434.145),(26 41362.883),(27 41852.32),(28 42035.203),(29 42303.813),(30 42311.04),(31 42324.164),(32 42637.402),(33 42885.324),(34 42822.41),(35 43064.535),(36 42828.49),(37 43235.066),(38 43353.98),(39 43556.69),(40 43930.97),(41 44322.016),(42 44259.7),(43 44279.97),(44 44310.395),(45 43881.496),(46 43488.527),(47 43616.074),(48 43925.53),(49 44209.23),(50 43861.69),(51 43247.582),(52 42856.76),(53 42485.14),(54 42563.785),(55 43203.754),(56 44484.44),(57 44385.19),(58 44264.465),(59 44642.496),(60 45125.66),(61 45462.406),(62 45919.082),(63 46348.813),(64 46548.918),(65 46586.7),(66 46422.137),(67 46112.156),(68 45568.48),(69 45077.39),(70 44768.113),(71 44675.44),(72 44916.027),(73 45535.965),(74 45794.94),(75 46110.082),(76 46723.543),(77 46458.613),(78 46174.547),(79 46365.39),
(1 7090.332),(2 16728.986),(3 22826.36),(4 26755.627),(5 29789.527),(6 32057.574),(7 33973.54),(8 35662.742),(9 36398.42),(10 36384.72),(11 36253.32),(12 36740.387),(13 37453.438),(14 37856.445),(15 38004.906),(16 38503.98),(17 38647.92),(18 38641.316),(19 38709.76),(20 38992.434),(21 39656),(22 40251.426),(23 40331.492),(24 40411.535),(25 40295.54),(26 40601.402),(27 41038.824),(28 41685.938),(29 42190.285),(30 42048.246),(31 42026.527),(32 42469.83),(33 42691.234),(34 42552.258),(35 42649.84),(36 42064.63),(37 41811.824),(38 41810.055),(39 42194.2),(40 42631.324),(41 42545.906),(42 42585.11),(43 42590.766),(44 42381.69),(45 42357.76),(46 42492.91),(47 42908.02),(48 43347.996),(49 43629.875),(50 43495.457),(51 43071.17),(52 42736.383),(53 42112.26),(54 42080.863),(55 42354.19),(56 43120.94),(57 42973.93),(58 42909.426),(59 43313.78),(60 43393.383),(61 43489.37),(62 44077.543),(63 44362.117),(64 44383.39),(65 44251.027),(66 44145.805),(67 44079.746),(68 43931.066),(69 44025.535),(70 44430.71),(71 44669.742),(72 44631.973),(73 44760.55),(74 44372.473),(75 43977.21),(76 44139.57),(77 44115.12),(78 44171.58),(79 44347.89),
(1 6745.2266),(2 15465.446),(3 21000.291),(4 24566.617),(5 27527.908),(6 29651.514),(7 31578.69),(8 33737.78),(9 34993.43),(10 35508.875),(11 35864.656),(12 36547.41),(13 37722.793),(14 38666.09),(15 39438.62),(16 40347.914),(17 40491.473),(18 39793.535),(19 39754.457),(20 39589.418),(21 39867.207),(22 40061.746),(23 39929.688),(24 39782.89),(25 39601.45),(26 39952.715),(27 40579.656),(28 40454.734),(29 40698.402),(30 40800.48),(31 40961.344),(32 41466.383),(33 41162.547),(34 41164.215),(35 41357.41),(36 41030.953),(37 41010.91),(38 41189.723),(39 41571.48),(40 42219.652),(41 42321.17),(42 42325.816),(43 42077.953),(44 41914.496),(45 41625.754),(46 41353.133),(47 41563.57),(48 40946.625),(49 40986.855),(50 40822.82),(51 40960.652),(52 41237.49),(53 41582.793),(54 41636.2),(55 41730.47),(56 41447.8),(57 41326.42),(58 41567.227),(59 41878.277),(60 41737.47),(61 41946.273),(62 42307.992),(63 42456.8),(64 42058.613),(65 41955.684),(66 42017.55),(67 42235.53),(68 42305.305),(69 42782.01),(70 43623.676),(71 43625.535),(72 43886.53),(73 43865.41),(74 43374.49),(75 43548.69),(76 44523.582),(77 44534.797),(78 44763.45),(79 45560.64),
(1 6895.4517),(2 15504.3125),(3 20933.71),(4 24573.803),(5 27188.135),(6 29115.068),(7 30963.273),(8 32704.41),(9 33752.973),(10 34011.18),(11 34233.656),(12 34931.516),(13 35915.69),(14 36287.598),(15 36662.598),(16 37209.668),(17 37368.637),(18 37418.08),(19 37829.26),(20 38814.8),(21 39377.527),(22 39344.14),(23 39199.723),(24 39011.645),(25 38856.22),(26 38837.82),(27 39002.76),(28 39540.277),(29 40295.9),(30 40357.293),(31 40227.67),(32 40329.117),(33 40009.36),(34 39740.58),(35 39888.855),(36 39720.055),(37 40050.047),(38 39732.867),(39 39499.688),(40 39950.65),(41 40686.813),(42 41087.21),(43 41011.7),(44 40748.824),(45 40445.543),(46 40490.28),(47 40265.883),(48 40371.285),(49 40396.332),(50 40292.96),(51 39984.86),(52 40084.938),(53 40073.617),(54 39864.21),(55 39963.582),(56 39996.94),(57 40035.688),(58 40288.938),(59 40791.414),(60 40923.88),(61 40789.133),(62 40807.28),(63 40789.71),(64 40699.88),(65 40658.555),(66 40529.766),(67 40385.38),(68 40349.11),(69 40663.313),(70 40818.043),(71 40445.74),(72 40366.81),(73 40617.91),(74 40371.254),(75 40453.29),(76 40711.055),(77 40509.527),(78 40780.754),(79 41206.5),
(1 6747.696),(2 15572.401),(3 21133.785),(4 24902.71),(5 27766.863),(6 29642.695),(7 30990.61),(8 32280.023),(9 33038.3),(10 33134.21),(11 33018.617),(12 33298.66),(13 34127.586),(14 34761.535),(15 34940.063),(16 35218.6),(17 35531.695),(18 35953.895),(19 36415.426),(20 36782.855),(21 37007.203),(22 37078.855),(23 36678.43),(24 36209.063),(25 35797.813),(26 36029.844),(27 36627.06),(28 37089.18),(29 37615.62),(30 37760.68),(31 37756.133),(32 37907.688),(33 37702.098),(34 37506.613),(35 37374.38),(36 37037.605),(37 37250.355),(38 37164.445),(39 37390.586),(40 37562.246),(41 38052.145),(42 38330.664),(43 38797.797),(44 39063.58),(45 39070.64),(46 39201.19),(47 39335.484),(48 39524.293),(49 39496.26),(50 39701.05),(51 39866.477),(52 39890.79),(53 39758.188),(54 39758.277),(55 39621.824),(56 39569.71),(57 39602.824),(58 39642.656),(59 39884.594),(60 40032.35),(61 39973.73),(62 39802.816),(63 39093.543),(64 38636.086),(65 38144.8),(66 37958.066),(67 37978.63),(68 38276.82),(69 38299.805),(70 38577.484),(71 38703.89),(72 38543.742),(73 38623.91),(74 38779.324),(75 39035.574),(76 39818.15),(77 39634.402),(78 39555.406),(79 39938.867),
(1 6582.06),(2 15056.651),(3 20493.314),(4 24044.314),(5 26612.959),(6 28501.893),(7 29949.314),(8 31255.506),(9 31891.232),(10 32176.654),(11 32301.691),(12 32209.28),(13 32337.61),(14 32383.457),(15 32677.129),(16 33073.89),(17 33419.33),(18 34051.285),(19 35051.9),(20 35552.4),(21 35453.043),(22 35149.723),(23 34727.46),(24 34563.43),(25 34388.9),(26 34605.52),(27 34782.59),(28 35186.348),(29 35839.367),(30 35962.125),(31 35917.227),(32 36049.082),(33 35973.49),(34 35796.79),(35 35781.516),(36 35895.543),(37 35891.3),(38 35580.324),(39 35735.375),(40 36028.25),(41 36651.203),(42 36670.246),(43 36789.316),(44 36782.324),(45 36855.848),(46 37238.164),(47 37569.1),(48 37531.57),(49 37298.082),(50 37212.734),(51 37043.9),(52 37020.203),(53 36946.61),(54 36524.273),(55 36286.965),(56 36068.316),(57 36155.332),(58 36412.93),(59 36634.336),(60 36572.063),(61 36761.594),(62 36844.023),(63 37232.766),(64 37136.703),(65 36899.28),(66 36865.58),(67 36984.645),(68 37121.457),(69 37121.293),(70 37200.906),(71 36949.77),(72 36872.285),(73 37091.65),(74 37226.094),(75 37819.73),(76 38269.51),(77 38057.86),(78 38032.43),(79 38085.02),
(1 6297.637),(2 14233.831),(3 19279.547),(4 22658.55),(5 25546.46),(6 27769.926),(7 29602.094),(8 30992.855),(9 31403.791),(10 31396.145),(11 31712.99),(12 31908.928),(13 32234.586),(14 32608.832),(15 32804.703),(16 33063.215),(17 33341.523),(18 33744.613),(19 34531.277),(20 34875.844),(21 34564.44),(22 33805.11),(23 33334.47),(24 33144.402),(25 33114.69),(26 33620.125),(27 34291.863),(28 34817.19),(29 34866.297),(30 34596.344),(31 34545.438),(32 34855.934),(33 34546.727),(34 34442.06),(35 34950.75),(36 34782.99),(37 35079.5),(38 35196.477),(39 35805.75),(40 36393.53),(41 36923.473),(42 37012.273),(43 36925.53),(44 36946.543),(45 37255.223),(46 37383.844),(47 37612.945),(48 37012.703),(49 36369.113),(50 36107.707),(51 35762.836),(52 35466.234),(53 35327.824),(54 35374.293),(55 35774.137),(56 35997.54),(57 36354.645),(58 36531.7),(59 36936.96),(60 37000.18),(61 37226.996),(62 37339.32),(63 37182.184),(64 36862.39),(65 36576.195),(66 36284.3),(67 36533.51),(68 36771.617),(69 36791.203),(70 36907.797),(71 37122.137),(72 37328.5),(73 37692.004),(74 37628.145),(75 37280.277),(76 37156.125),(77 36855.957),(78 37077.863),(79 37534.93),
(1 6164.6074),(2 13691.572),(3 18563.688),(4 21653.236),(5 24421.568),(6 26912.604),(7 28836.691),(8 30260.215),(9 30821.748),(10 31148.055),(11 31633.736),(12 32027.854),(13 32714.176),(14 32982.996),(15 33293.438),(16 33490.527),(17 33777.516),(18 34132.133),(19 34783.44),(20 34719.41),(21 34383.004),(22 34237.535),(23 34128.215),(24 34084.883),(25 34190.01),(26 34607.4),(27 35189.27),(28 35185.316),(29 35072.652),(30 34729.746),(31 34788.344),(32 35093.71),(33 35103.883),(34 35277.805),(35 35638.805),(36 35665.543),(37 35976.24),(38 35952.07),(39 36068.82),(40 35991.324),(41 35930.79),(42 35951.176),(43 35960.28),(44 35824.51),(45 36049.156),(46 36115.91),(47 35949.223),(48 35288.457),(49 34752.383),(50 34536.89),(51 34431.28),(52 34676.65),(53 34964.32),(54 35202.77),(55 35585.93),(56 36092.19),(57 36419.223),(58 36318.6),(59 36318.254),(60 36362.42),(61 36537.156),(62 36927.836),(63 36544.03),(64 36365.723),(65 36033.96),(66 35912.656),(67 35901.438),(68 36026.965),(69 36191.777),(70 36518.207),(71 36492.96),(72 36732.91),(73 36716.117),(74 36525.67),(75 36269.965),(76 35828.98),(77 35487.92),(78 35902.5),(79 36631.484),
(1 5994.4023),(2 13549.124),(3 18169.457),(4 20776.855),(5 22926.81),(6 24662.166),(7 26177.53),(8 27508.35),(9 27699.125),(10 27711.82),(11 27982.102),(12 28225.768),(13 29101.879),(14 29640.277),(15 29849.486),(16 30242.803),(17 30653.615),(18 31201.063),(19 31700.586),(20 32053.62),(21 32100.453),(22 32092.648),(23 32298.865),(24 32565.95),(25 32657.102),(26 33116.49),(27 33813.574),(28 33775.543),(29 33484.98),(30 33282.145),(31 33845.47),(32 34417.027),(33 34341.934),(34 34141.67),(35 34146.26),(36 34045.563),(37 34143.258),(38 34191.92),(39 34454.086),(40 34704.734),(41 34933.477),(42 34759.82),(43 34561.816),(44 34375.563),(45 34245.438),(46 34279.44),(47 33753.586),(48 33142.64),(49 32357.629),(50 32161.988),(51 32231.889),(52 32289.08),(53 32364.268),(54 32513.582),(55 32781.203),(56 33307.723),(57 33515.492),(58 33377.945),(59 33508.68),(60 33764.883),(61 34198.73),(62 34604.742),(63 35487.89),(64 35515.258),(65 35469.03),(66 35676.316),(67 35455.676),(68 35503.984),(69 35646.19),(70 35594.34),(71 35615.266),(72 35556.133),(73 35459.195),(74 35072.973),(75 34614.316),(76 34558.246),(77 34759.77),(78 35505.664),(79 35953.73),
(1 5689.9106),(2 12888.234),(3 17475.809),(4 20329.88),(5 22429.252),(6 23957.16),(7 25178.123),(8 26431.568),(9 27047.242),(10 27201.248),(11 27470.672),(12 28191.584),(13 28913.256),(14 29343.795),(15 29689.17),(16 29818.02),(17 29946.844),(18 30391.738),(19 30768.344),(20 31010.625),(21 30715.84),(22 30640.324),(23 30536.662),(24 30726.188),(25 31001.875),(26 31495.865),(27 32026.14),(28 32144.074),(29 32259.102),(30 32211.285),(31 32467.152),(32 32734.89),(33 32461.129),(34 32137.783),(35 32223.314),(36 32224.512),(37 32407.195),(38 32235.207),(39 32544.232),(40 32781.023),(41 32564.135),(42 32607.217),(43 32707.59),(44 32805.168),(45 33040.77),(46 33137.605),(47 32844.637),(48 32345.188),(49 31711.37),(50 31653.6),(51 31763.344),(52 32089.521),(53 32209.348),(54 32142.703),(55 32072.803),(56 32301.299),(57 32248.904),(58 32013.727),(59 31943.416),(60 32332.928),(61 32694.293),(62 32800.105),(63 33549.96),(64 34083.758),(65 34001.184),(66 34110.58),(67 34149.72),(68 33993.51),(69 33743.676),(70 33575.48),(71 33481.105),(72 33652.324),(73 34144.293),(74 33802.613),(75 33452.297),(76 33268.004),(77 33419.152),(78 33779.773),(79 34223.473),
(1 5499.7676),(2 12593.083),(3 16797.066),(4 19270.781),(5 21289.326),(6 22979.688),(7 24428.77),(8 25625.482),(9 26269.527),(10 26833.934),(11 27656.492),(12 28267.357),(13 28923.592),(14 29053.61),(15 28992.371),(16 29033.523),(17 29080.35),(18 29068.67),(19 29207.236),(20 28952.129),(21 28862.363),(22 28828.842),(23 28626.521),(24 28578.844),(25 28527.082),(26 28981.87),(27 29440.477),(28 29284.396),(29 29464.037),(30 29634.879),(31 30008.248),(32 30345.477),(33 30101.418),(34 29887.758),(35 30032.287),(36 29788.9),(37 29677.951),(38 29590.656),(39 29822.137),(40 29928.252),(41 29977.148),(42 29986.768),(43 30118.738),(44 30414.621),(45 30578.84),(46 30832.002),(47 30813.898),(48 30769.246),(49 30811.262),(50 31138.611),(51 31211.146),(52 30916.857),(53 30587.99),(54 30419.668),(55 30094.627),(56 30127.773),(57 30449.352),(58 30684.75),(59 30931.129),(60 31257.209),(61 31819.723),(62 32195.752),(63 32692.707),(64 33037.664),(65 33140.883),(66 33205.05),(67 33071.703),(68 33022.004),(69 32852.543),(70 32684.666),(71 32394.477),(72 32081.973),(73 32088.889),(74 31564.19),(75 31006.307),(76 31149.348),(77 31417.502),(78 31729.61),(79 32195.088),
(1 5325.3477),(2 11900.112),(3 16019.473),(4 18599.38),(5 20551.182),(6 22188.943),(7 23573.707),(8 24662.764),(9 24985.885),(10 25405.72),(11 26100.922),(12 26384.79),(13 26521.28),(14 26386.248),(15 26407.201),(16 26529.72),(17 26549.742),(18 26635.578),(19 26904.879),(20 26937.285),(21 26806.152),(22 26865.686),(23 26807.74),(24 26909.064),(25 27001.98),(26 27506.004),(27 28138.498),(28 28244.121),(29 28333.123),(30 28397.498),(31 28407.654),(32 28395.445),(33 28144.957),(34 28217.781),(35 28559.389),(36 28521.459),(37 28701.99),(38 28525.826),(39 28597.643),(40 28678.121),(41 29004.49),(42 29360.168),(43 29684.604),(44 29883.965),(45 30083.867),(46 30083.512),(47 30304.168),(48 30437.434),(49 30870.734),(50 31526.768),(51 31528.5),(52 31409.29),(53 31233.293),(54 30891.438),(55 30619.207),(56 30551.23),(57 30682.83),(58 30745.504),(59 30859.643),(60 30832.275),(61 30898.896),(62 31365.555),(63 31965.908),(64 32457.922),(65 32573.809),(66 32756.553),(67 32770.81),(68 32707.63),(69 32580.23),(70 32191.354),(71 31606.748),(72 31296.041),(73 31144.611),(74 30678.979),(75 30447.22),(76 30960.313),(77 31159.434),(78 31454.703),(79 31934.22),
(1 5060.607),(2 11386.433),(3 15334.554),(4 17801.855),(5 19864.328),(6 21566.871),(7 22868.059),(8 23925.793),(9 24523.248),(10 25032.506),(11 25694.012),(12 26097.855),(13 26388.596),(14 26259.625),(15 26235.531),(16 26163.295),(17 25950.502),(18 26162.875),(19 26279.604),(20 26065.898),(21 26232.35),(22 26240.664),(23 26005.398),(24 26118.705),(25 26268.285),(26 26438.83),(27 26415.465),(28 26410.584),(29 26645.621),(30 26599.438),(31 26604.102),(32 26562.865),(33 26369.498),(34 26404.34),(35 27036.924),(36 26916.633),(37 27112.914),(38 27118.217),(39 27252.709),(40 27367.629),(41 27546.252),(42 27949.328),(43 28137.346),(44 28314.813),(45 28332.975),(46 28243.613),(47 28438.965),(48 28704.48),(49 29153.305),(50 29563.01),(51 29435.072),(52 29506.262),(53 29487.861),(54 29264.564),(55 29336.5),(56 29310.893),(57 29183.908),(58 29016.744),(59 29119.602),(60 29100.809),(61 29257.85),(62 29411.105),(63 29427.443),(64 29270.574),(65 29156.764),(66 29246.936),(67 29443.121),(68 29411.063),(69 29304.408),(70 29231.498),(71 29000.748),(72 28810.594),(73 29027.98),(74 28865.715),(75 28851.668),(76 29014.3),(77 28956.324),(78 29004.695),(79 29254.254),
(1 5036.348),(2 11258.129),(3 15209.902),(4 17836.988),(5 19755.787),(6 21032.412),(7 21994.395),(8 22934.662),(9 23334.783),(10 23869.027),(11 24517.938),(12 25129.768),(13 25363.594),(14 25495.908),(15 25803.541),(16 25961.844),(17 25712.887),(18 25753.914),(19 25668.324),(20 26019.998),(21 26113.787),(22 25997.23),(23 25901.707),(24 26201.322),(25 26439.805),(26 26778.086),(27 27178.586),(28 27242.47),(29 27557.363),(30 27331.695),(31 26988.22),(32 26793.016),(33 26440.781),(34 26573.97),(35 26795.975),(36 26593.068),(37 26798.613),(38 26877.154),(39 27209.182),(40 27263.986),(41 27478.295),(42 27695.383),(43 27780.412),(44 27912.113),(45 27863.195),(46 27849.85),(47 27994.754),(48 27968.885),(49 27928.838),(50 27973.06),(51 28007.549),(52 28004.232),(53 28000.496),(54 27990.975),(55 28033.893),(56 28254.756),(57 28207.928),(58 28205.637),(59 28353.162),(60 28568.496),(61 28717.428),(62 29099.988),(63 29068.932),(64 29263.848),(65 29214.68),(66 29220.857),(67 29532.813),(68 29510.967),(69 29705.672),(70 30005.965),(71 29912.936),(72 29873.666),(73 30222.307),(74 30019.996),(75 30028.03),(76 30175.672),(77 29836.807),(78 29505.656),(79 29647.756),
(1 4890.9272),(2 11010.734),(3 15113.66),(4 17801.955),(5 19929.406),(6 21496.682),(7 22582.287),(8 23463.6),(9 23767.615),(10 23958.705),(11 24493.242),(12 24762.746),(13 24892.527),(14 24861.828),(15 24944.02),(16 25054.469),(17 24902.727),(18 24764.873),(19 24752.27),(20 25156.947),(21 25440.822),(22 25722.254),(23 25515.084),(24 25693.947),(25 25872.355),(26 26074.695),(27 26650.078),(28 26929.146),(29 27287.152),(30 27141.549),(31 26741.104),(32 26572.523),(33 26308.334),(34 26653.525),(35 27130.637),(36 27171.146),(37 27160.855),(38 27288.703),(39 27481.762),(40 27351.379),(41 27086.93),(42 27243.11),(43 27360.752),(44 27758.965),(45 27934.555),(46 27807.104),(47 27681.266),(48 27501.598),(49 27306.588),(50 27233.834),(51 27306.91),(52 27408.473),(53 27511.582),(54 27351.986),(55 27052.666),(56 26969.11),(57 26958.578),(58 27146.887),(59 27395.783),(60 27496.104),(61 27598.436),(62 27628.492),(63 27657.375),(64 27837.32),(65 27978.07),(66 28039.48),(67 28234.105),(68 28374.076),(69 28695.527),(70 29233.953),(71 29318.467),(72 28956.15),(73 28936.408),(74 28717.988),(75 28735.127),(76 28822.09),(77 28756.44),(78 28590.383),(79 28688.271),
(1 4747.6123),(2 10486.454),(3 14251.281),(4 16736.406),(5 18575.564),(6 19861.744),(7 20759.941),(8 21596.871),(9 21841.254),(10 21895.291),(11 22221.963),(12 22532.016),(13 22783.197),(14 22837.578),(15 22962.629),(16 23181.994),(17 23356.377),(18 23459.51),(19 23844.28),(20 24353.123),(21 24318.482),(22 24142.434),(23 24176.867),(24 24392.81),(25 24549.918),(26 24530.88),(27 24855.842),(28 25120.99),(29 25302.434),(30 25241.025),(31 25236.975),(32 25388.31),(33 25491.51),(34 25921.563),(35 26267.188),(36 25861.135),(37 25738.865),(38 25715.412),(39 25853.676),(40 25883.145),(41 26404.576),(42 26507.766),(43 26679.582),(44 26866.426),(45 27001.367),(46 26902.729),(47 26831.152),(48 26558.688),(49 26713.945),(50 26743.932),(51 26546.615),(52 26673.898),(53 26833.217),(54 26735.035),(55 26632.158),(56 26761.182),(57 26724.068),(58 26933.379),(59 26956.219),(60 26704.96),(61 26744.69),(62 26733.664),(63 26357.273),(64 26213.63),(65 25920.688),(66 25545.973),(67 25564.541),(68 25400.586),(69 25713.422),(70 26183.092),(71 26023.691),(72 25820.385),(73 25977.705),(74 26010.79),(75 25752.54),(76 25775.791),(77 25728.809),(78 25875.281),(79 26060.285),
(1 4597.49),(2 9963.187),(3 13438.77),(4 15866.844),(5 17809.371),(6 19040.299),(7 20068.396),(8 21072.36),(9 21227.754),(10 21538.559),(11 21917.688),(12 22030.178),(13 21995.453),(14 21710.03),(15 21543.22),(16 21429.363),(17 21557.754),(18 21817.336),(19 22299.176),(20 22366.398),(21 22653.027),(22 22837.945),(23 23122.186),(24 23457.465),(25 23784.436),(26 23943.607),(27 24386.783),(28 24363.088),(29 24638.541),(30 24644.605),(31 24688.91),(32 24968.146),(33 25113.314),(34 25250.984),(35 25444.002),(36 25141.758),(37 24727.957),(38 24464.814),(39 24390.072),(40 24301.656),(41 24700.32),(42 24841.82),(43 24962.209),(44 25171.693),(45 25248.938),(46 25103.803),(47 25132.578),(48 25264.52),(49 25480.756),(50 25550.943),(51 25818.61),(52 26207.844),(53 26444.709),(54 26480.418),(55 26520.404),(56 26817.273),(57 26697.393),(58 26502.299),(59 26763.188),(60 26729.057),(61 26799.488),(62 26888.166),(63 27075.469),(64 27055.814),(65 26736.512),(66 26414.379),(67 26282.229),(68 26190.883),(69 26308.26),(70 26322.648),(71 26164.936),(72 26207.443),(73 26274.828),(74 26043.99),(75 25921.12),(76 26296.21),(77 26027.791),(78 25847.102),(79 26191.615),
(1 4402.5195),(2 9398.741),(3 12773.71),(4 15268.6045),(5 17167.938),(6 18441.176),(7 19293.89),(8 20252.955),(9 20723.672),(10 21084.209),(11 21552.691),(12 21683.785),(13 22127.525),(14 22183.064),(15 22038.008),(16 21863.787),(17 21786.088),(18 21932.037),(19 22203.61),(20 22374.8),(21 22484.313),(22 22446.791),(23 22539.04),(24 22718.713),(25 22619.654),(26 22562.75),(27 22737.66),(28 22695.541),(29 22863.533),(30 23026.86),(31 23319.482),(32 23854.055),(33 24015.248),(34 24087.896),(35 24075.967),(36 23737.805),(37 23710.22),(38 23694.516),(39 23649.629),(40 23739.484),(41 24143.725),(42 24211.51),(43 24343.072),(44 24249.611),(45 24152.17),(46 24053.69),(47 24431.389),(48 24475.453),(49 24647.604),(50 24769.648),(51 24892.828),(52 24967.578),(53 25033.428),(54 25029.197),(55 25107.7),(56 25370.783),(57 25077.152),(58 24864.924),(59 24609.393),(60 24395.365),(61 24503.883),(62 24605.162),(63 25161.324),(64 25587.498),(65 25648.975),(66 25318.592),(67 25044.287),(68 24818.287),(69 25013.21),(70 25154.148),(71 25256.814),(72 25316.389),(73 25714.223),(74 25803.963),(75 25775.8),(76 25713.291),(77 25424.164),(78 25411.275),(79 25522.672),
