1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 67437.26),(2 209642.8),(3 424239.66),(4 702046.5),(5 1018878.75),(6 1345658.9),(7 1655068.5),(8 1936773),(9 2252697.8),(10 2579778.8),(11 2899857.8),(12 3244435.3),(13 3654992),(14 4031615.3),(15 4369553.5),(16 4691650),(17 4956998),(18 5137656),(19 5286408),(20 5385737.5),(21 5441016.5),(22 5552704),(23 5665009.5),(24 5785449.5),(25 5932352.5),(26 6070136),(27 6225373.5),(28 6344564.5),(29 6456438.5),(30 6596846.5),(31 6715220.5),(32 6795341.5),(33 6895221.5),(34 6954262.5),(35 6918770.5),(36 6866672),(37 6816141.5),(38 6746829.5),(39 6725237.5),(40 6716457.5),(41 6688101.5),(42 6719789.5),(43 6769732),(44 6801220.5),(45 6993732),(46 7136812),(47 7313086),(48 7540572.5),(49 7756948),(50 7978847.5),(51 8205066.5),(52 8393614),(53 8622157),(54 8831288),(55 9045401),(56 9267077),(57 9416182),(58 9603682),(59 9720984),(60 9834207),(61 9924183),(62 9961799),(63 9982047),(64 10037744),(65 10033980),(66 10010247),(67 9980744),(68 9948543),(69 9903100),(70 10012008),(71 10055556),(72 10158575),(73 10288086),(74 10332837),(75 10449142),(76 10588087),(77 10733473),(78 11210264),(79 11464859),
(1 52133.97),(2 167993.8),(3 348799.75),(4 567836.75),(5 814853.9),(6 1075171.4),(7 1326903),(8 1562319.8),(9 1851655.8),(10 2170322),(11 2525889.5),(12 2908474.8),(13 3340489),(14 3765388.8),(15 4166142.8),(16 4547760.5),(17 4901359.5),(18 5199754),(19 5498369.5),(20 5773592),(21 6051655),(22 6342502),(23 6618041),(24 6858922.5),(25 7104190.5),(26 7295915),(27 7463805.5),(28 7563609),(29 7639129.5),(30 7753913.5),(31 7872289),(32 7955540),(33 8061629),(34 8119282.5),(35 8159198.5),(36 8157078.5),(37 8162957),(38 8161840),(39 8182953.5),(40 8203797),(41 8234049.5),(42 8302173.5),(43 8310552),(44 8287721.5),(45 8355292),(46 8386957),(47 8399469),(48 8472531),(49 8553645),(50 8651744),(51 8698454),(52 8711802),(53 8748010),(54 8722259),(55 8696613),(56 8624075),(57 8533700),(58 8517587),(59 8463295),(60 8381236),(61 8308904),(62 8217088),(63 8112942.5),(64 8015347),(65 7889285),(66 7733123),(67 7587519),(68 7474087),(69 7369447),(70 7335264),(71 7335745.5),(72 7420413),(73 7526128),(74 7607845.5),(75 7751966.5),(76 7866251),(77 8003643),(78 8241957.5),(79 8346794.5),
(1 42453.066),(2 130547.04),(3 252186.13),(4 397671.16),(5 539871.2),(6 677341.44),(7 812980.3),(8 951802.56),(9 1076731.5),(10 1221645.4),(11 1388988.9),(12 1557579.5),(13 1740897.6),(14 1931089),(15 2130645.3),(16 2330152.8),(17 2503417),(18 2641090.8),(19 2753414.3),(20 2903131.8),(21 3062647.8),(22 3238202),(23 3442800.3),(24 3651062),(25 3854788),(26 4066303.8),(27 4233471.5),(28 4361480),(29 4509298.5),(30 4688524),(31 4889058),(32 5073121.5),(33 5285346.5),(34 5505443.5),(35 5743450.5),(36 5958449.5),(37 6175341.5),(38 6414933.5),(39 6675144.5),(40 6936960),(41 7177042.5),(42 7451668),(43 7633778.5),(44 7804085.5),(45 7976588),(46 8138022),(47 8249899.5),(48 8421093),(49 8556136),(50 8699009),(51 8798993),(52 8957398),(53 9162172),(54 9338201),(55 9491901),(56 9677506),(57 9832773),(58 10029248),(59 10204553),(60 10314208),(61 10411269),(62 10494485),(63 10530089),(64 10558058),(65 10537936),(66 10478777),(67 10404603),(68 10320857),(69 10228758),(70 10164500),(71 10100159),(72 10016347),(73 9940638),(74 9824559),(75 9679553),(76 9584065),(77 9421489),(78 9235387),(79 9028169),
(1 44945.254),(2 143368.61),(3 282990.25),(4 440683.44),(5 593977.56),(6 744026.44),(7 865160.3),(8 1002639.25),(9 1121269.5),(10 1246033.9),(11 1376311.9),(12 1508582.3),(13 1658313.4),(14 1824225.9),(15 2004480),(16 2183679.8),(17 2350041.5),(18 2502337.5),(19 2611589),(20 2830087.5),(21 3040958.8),(22 3258191),(23 3488248),(24 3679303),(25 3871863),(26 4047336),(27 4226934),(28 4397567),(29 4595279),(30 4827823),(31 5113096),(32 5389052.5),(33 5722383),(34 6016345),(35 6266692.5),(36 6478859.5),(37 6701546),(38 6969701.5),(39 7256350),(40 7571006),(41 7860342),(42 8209861.5),(43 8545381),(44 8881344),(45 9249484),(46 9562501),(47 9832223),(48 10135388),(49 10387796),(50 10633365),(51 10874923),(52 11124283),(53 11403103),(54 11653434),(55 11916539),(56 12226219),(57 12456596),(58 12657159),(59 12815245),(60 12842245),(61 12884699),(62 12904086),(63 12843796),(64 12802153),(65 12745687),(66 12632775),(67 12540195),(68 12494036),(69 12407673),(70 12406818),(71 12351548),(72 12274105),(73 12234973),(74 12167337),(75 12063820),(76 11996846),(77 11890222),(78 11833847),(79 11802109),
(1 45206.016),(2 141817.19),(3 282919.53),(4 441806),(5 608457.06),(6 766465.6),(7 929619.75),(8 1097510),(9 1271078.8),(10 1458914.8),(11 1646679.5),(12 1841611.9),(13 2058582.9),(14 2289019.3),(15 2523289.8),(16 2764983),(17 2977181.8),(18 3176599),(19 3340126.5),(20 3548837),(21 3738320.8),(22 3922461),(23 4118708.3),(24 4303382.5),(25 4478966),(26 4636253),(27 4780776.5),(28 4919104),(29 5082362),(30 5226859),(31 5392199.5),(32 5563271.5),(33 5700256.5),(34 5813375.5),(35 5902578.5),(36 5986267),(37 6077523.5),(38 6200024.5),(39 6363717),(40 6526929.5),(41 6747575.5),(42 7050750),(43 7366215.5),(44 7697883),(45 8124630),(46 8469373),(47 8850089),(48 9280095),(49 9721660),(50 10174399),(51 10615988),(52 11068724),(53 11481437),(54 11873921),(55 12242586),(56 12634132),(57 12914064),(58 13194627),(59 13425043),(60 13614737),(61 13818185),(62 13957348),(63 14041309),(64 14116678),(65 14122545),(66 14110413),(67 14067247),(68 14033446),(69 13908282),(70 13766995),(71 13576579),(72 13385209),(73 13203999),(74 13082858),(75 12966937),(76 12846209),(77 12738321),(78 12705769),(79 12735159),
(1 45777.086),(2 149954.34),(3 303200.75),(4 481514.1),(5 673954),(6 864559.1),(7 1057254),(8 1261796.6),(9 1461370.4),(10 1661469),(11 1881613.8),(12 2108791.5),(13 2344163),(14 2587357.8),(15 2828369.3),(16 3078187.3),(17 3311892.8),(18 3552925.3),(19 3766576),(20 4045142.5),(21 4322609),(22 4630189),(23 4936112.5),(24 5256953),(25 5545040),(26 5810670.5),(27 6050693.5),(28 6282551),(29 6547454),(30 6780723),(31 6984261),(32 7163441),(33 7358650.5),(34 7510785.5),(35 7597621),(36 7681624),(37 7736769.5),(38 7775848),(39 7809187),(40 7791989.5),(41 7835763),(42 7878257),(43 7946941),(44 8038645.5),(45 8163136),(46 8218587),(47 8264793),(48 8327173),(49 8365723),(50 8387718.5),(51 8353278.5),(52 8355960),(53 8369253.5),(54 8396128),(55 8392416),(56 8448125),(57 8456875),(58 8494654),(59 8500226),(60 8557463),(61 8659486),(62 8780126),(63 8870464),(64 8993304),(65 9076915),(66 9123062),(67 9152733),(68 9216767),(69 9284978),(70 9333921),(71 9389514),(72 9442877),(73 9533303),(74 9656493),(75 9801620),(76 9956438),(77 10092010),(78 10218918),(79 10400056),
(1 40260.42),(2 135148.52),(3 276483.63),(4 445404.16),(5 641297.75),(6 850468.6),(7 1062614.8),(8 1295983.8),(9 1525857.5),(10 1782686.5),(11 2063270.9),(12 2337227),(13 2628414.8),(14 2933723.8),(15 3228947.5),(16 3531042.3),(17 3837323.8),(18 4136062.5),(19 4410727),(20 4700963),(21 4983203.5),(22 5270162.5),(23 5528653),(24 5781964.5),(25 6002912.5),(26 6170840),(27 6299397),(28 6409003),(29 6486563.5),(30 6559134),(31 6609011),(32 6604592.5),(33 6590883.5),(34 6547647.5),(35 6503536.5),(36 6416441),(37 6298587),(38 6172312),(39 6032443),(40 5871973),(41 5713995.5),(42 5541629),(43 5384885),(44 5259765),(45 5169520),(46 5039348),(47 4935957),(48 4876139),(49 4854200),(50 4846116.5),(51 4878408.5),(52 4952317),(53 5054610.5),(54 5164522),(55 5276262),(56 5402387.5),(57 5530865),(58 5669127),(59 5787052.5),(60 5935109),(61 6077687.5),(62 6202294),(63 6296293),(64 6376946.5),(65 6458888.5),(66 6503315),(67 6543870),(68 6592051.5),(69 6625635),(70 6659157),(71 6639981),(72 6601200),(73 6536585),(74 6479000.5),(75 6400835),(76 6359820.5),(77 6314208),(78 6310607),(79 6367863),
(1 48934),(2 161986.78),(3 328041.53),(4 530426.6),(5 769080.4),(6 1026584.06),(7 1299455.5),(8 1578158.4),(9 1845888.1),(10 2132515),(11 2425880.5),(12 2717700.5),(13 3018708.3),(14 3324455.3),(15 3604072),(16 3849801.8),(17 4083184),(18 4293713),(19 4487456.5),(20 4689731),(21 4869119.5),(22 5060145),(23 5232253),(24 5406118.5),(25 5555178.5),(26 5668553.5),(27 5777820.5),(28 5887902),(29 5989951.5),(30 6121336.5),(31 6254279.5),(32 6357008.5),(33 6490340.5),(34 6609712),(35 6760916.5),(36 6878375.5),(37 6981586),(38 7137751),(39 7281024.5),(40 7428914),(41 7537986),(42 7605096.5),(43 7675738.5),(44 7742496.5),(45 7772952.5),(46 7750545),(47 7706845),(48 7673781),(49 7656151),(50 7603507.5),(51 7581471),(52 7539954),(53 7498603),(54 7433688.5),(55 7382136.5),(56 7323547.5),(57 7304009.5),(58 7297809),(59 7332672),(60 7346086),(61 7343669.5),(62 7358614.5),(63 7389216),(64 7457492.5),(65 7536548.5),(66 7610725.5),(67 7715541.5),(68 7827651),(69 7962353),(70 8119288.5),(71 8234272.5),(72 8302384.5),(73 8341033),(74 8364235),(75 8356739),(76 8364597),(77 8351259.5),(78 8348174),(79 8377295),
(1 39015.773),(2 127731.35),(3 253563),(4 411996.72),(5 606782),(6 817463.75),(7 1054316.3),(8 1298230.4),(9 1543442.4),(10 1801229.9),(11 2040099.3),(12 2272634.8),(13 2504338),(14 2728747.8),(15 2936893.3),(16 3132654),(17 3310294),(18 3469707.8),(19 3622675.8),(20 3787091.3),(21 3958858),(22 4134805.8),(23 4288999.5),(24 4428207),(25 4571571),(26 4686523.5),(27 4794316),(28 4862974),(29 4926588),(30 4993538),(31 5044557),(32 5081635),(33 5140926),(34 5183135),(35 5241199),(36 5303407),(37 5369124),(38 5468072.5),(39 5629854),(40 5770495.5),(41 5905452),(42 6034883),(43 6174613.5),(44 6302140),(45 6412458.5),(46 6519351.5),(47 6603167),(48 6705199),(49 6769988.5),(50 6826583.5),(51 6858639.5),(52 6873539.5),(53 6869826),(54 6880125.5),(55 6882199),(56 6835374),(57 6769118),(58 6688796.5),(59 6614450),(60 6541694.5),(61 6469275.5),(62 6422964),(63 6410512.5),(64 6424403),(65 6421959.5),(66 6427763),(67 6400251),(68 6405901),(69 6421445.5),(70 6471434),(71 6499614.5),(72 6512738),(73 6521188.5),(74 6545236),(75 6560826.5),(76 6587979.5),(77 6647301),(78 6704568.5),(79 6792589),
(1 40401.57),(2 133871.08),(3 268214.25),(4 435021.03),(5 637223.4),(6 857199.2),(7 1093886.6),(8 1357364.6),(9 1638779.4),(10 1952520.3),(11 2248587.5),(12 2569365.3),(13 2912392.5),(14 3252882.5),(15 3588066),(16 3875313.8),(17 4153718.3),(18 4396201),(19 4631341.5),(20 4877619),(21 5128609),(22 5361713.5),(23 5560397.5),(24 5739164.5),(25 5900376),(26 6019568),(27 6151265.5),(28 6233549.5),(29 6293236.5),(30 6333363.5),(31 6326986),(32 6289769.5),(33 6231052.5),(34 6129054),(35 5978699.5),(36 5794344),(37 5615784),(38 5433977),(39 5297757),(40 5186316.5),(41 5094255),(42 5019534),(43 4963154.5),(44 4922498),(45 4910878),(46 4938780.5),(47 4997983),(48 5068238),(49 5143955),(50 5203518.5),(51 5255970.5),(52 5262850),(53 5240553),(54 5201703),(55 5141347.5),(56 5107812.5),(57 5050184),(58 4985738.5),(59 4984388.5),(60 4958555.5),(61 4953514),(62 4932120),(63 4926240),(64 4921307.5),(65 4927074),(66 4927659.5),(67 4921236),(68 4876874),(69 4874569),(70 4837478),(71 4801083.5),(72 4782326),(73 4759738),(74 4776789),(75 4802475),(76 4842938),(77 4910042),(78 4989718),(79 5094120.5),
(1 42119.496),(2 135653),(3 274726.28),(4 448310.94),(5 661021.4),(6 908122.3),(7 1157837.1),(8 1427338.4),(9 1708137.1),(10 2009325.6),(11 2325042.8),(12 2637502.3),(13 2956356),(14 3244416.3),(15 3487759),(16 3669084),(17 3804447.8),(18 3913030),(19 4008908.8),(20 4123151),(21 4217081),(22 4296396.5),(23 4347761.5),(24 4398713.5),(25 4419631.5),(26 4424877.5),(27 4461467),(28 4498193),(29 4551576.5),(30 4602433),(31 4655028),(32 4720489),(33 4781767.5),(34 4841164),(35 4906115.5),(36 4977637.5),(37 5073674.5),(38 5191860),(39 5303364.5),(40 5419701.5),(41 5518721),(42 5611536),(43 5680619.5),(44 5759931.5),(45 5883613),(46 6005044),(47 6154474.5),(48 6311369),(49 6432130.5),(50 6517025),(51 6574006.5),(52 6616513),(53 6629761),(54 6593950.5),(55 6544053.5),(56 6485114.5),(57 6373868),(58 6288978),(59 6236410.5),(60 6151610.5),(61 6084443.5),(62 6040018),(63 5992375.5),(64 5955212),(65 5945181.5),(66 5924415),(67 5900172),(68 5894845),(69 5905855),(70 5891688),(71 5879516.5),(72 5901703.5),(73 5926694),(74 5933868),(75 5929270.5),(76 5949275.5),(77 5963575.5),(78 5959284),(79 5938138.5),
